"Aaron Herrmann","Rennergasse 9
1150 Gmünd" 
"Fridolin Haider","Danglstr. 6/3
2791 Wiener Neustadt"
"Antonia Schilcher-Kaltenböck","Reitingerstraße 3
8430 Schwanenstadt"
"Nela Baldauf","Lea-Sophie-Dünser-Ring 6/3
6754 Krems an der Donau"
"Leo Brandtner","Grünerstraße 089
6831 Weiz"
"Igor Feichtner","Lena-Sturm-Weg 2/4
5300 Oberndorf bei Salzburg"
"Malena Bader-Müllner","Grünerstraße 806
2105 Deutschlandsberg"
"Franz Raab","Sieberring 2/0
7568 Pulkau"
"Sonja Brenner","Schranzstr. 6
9751 Zell am See"
"Sena Schiller","Puchnerweg 951
8828 Feldbach"
"Sahra Ullmann","Matteo-Bachmann-Gasse 648
1213 Fehring"
"Lydia Pröll","Amelie-Köck-Weg 2/0
6588 Mureck"
"Aurelio Haas","Greinergasse 6/7
9848 Liezen"
"Lina Vogt-Yilmaz","Kröllweg 0/1
4246 Drosendorf-Zissersdorf 1"
"Leo Braun","Schrammelstraße 99
5579 Mistelbach an der Zaya"
"Emmanuel Beck-Strasser","Marc-Dobler-Ring 5/0
1211 Hainfeld"
"William Pucher","Fuhrmannplatz 3
7018 Leoben"
"Leopold Guggenberger-Fritz","Malena-Leutgeb-Straße 0/3
7125 Scheibbs"
"Georg Ostermann","Krieglring 1
5084 Landeck"
"Univ.Prof. Maryam Leitgeb","Glückweg 18
5769 Steyregg"
"Victor Schöpf-Kratzer","Fankhauserstr. 449
2802 Geras"
"Johannes Langer","Leontina-Kurzmann-Weg 31
3496 Groß-Siegharts"
"Ela Santner","Ellie-Gritsch-Straße 9/3
7718 Zistersdorf"
"Frau Anita Penz","Putzstraße 61
4624 Bad Hall"
"Leo Kahr-Hofstetter","Lola-Schmid-Platz 697
7776 Ferlach"
"Erik Yilmaz-Walser","Fürstgasse 365
5312 Wörgl"
"Georg Brunner","Sturmstr. 148
9385 Schärding"
"Univ.Prof. Gabriela Kocher","Melina-Greiner-Platz 90
3531 Imst"
"Sena Nöbauer-Lampert","Loiblplatz 636
2549 Bludenz"
"Natan Zeiler","Freystr. 3/0
1736 Spittal an der Drau"
"Carina Jandl-Stefan","Ungerweg 31
6241 Villach"
"Leona Kessler","Sahra-Baumann-Gasse 0
7838 Schwanenstadt"
"Leopold Holzmann-Trauner","Doblerstraße 088
2357 Landeck"
"Liliane Lammer","Valentino-Knaus-Straße 943
1103 Laakirchen"
"Leon Bergmann","Krausgasse 8/6
8443 Vils"
"Valentino Köll-Schrenk","Moosbruggerstraße 5/2
2008 Gmünd"
"Matthias Baldauf-Gassner","Gabriela-Eberharter-Weg 8/1
8638 Hall in Tirol"
"Ing. Henry Niederl","Weissstr. 3
2357 Lienz"
"Anna-Maria Radl","Brandtnerplatz 72
2136 Hardegg"
"Andreas Dünser","Kohlerring 48
2814 Bludenz"
"Ruth Pfeffer-Wurm","Theresa-Blauensteiner-Ring 95
5295 Fehring"
"Jasper Schaffer","Tom-Röck-Ring 9/4
5065 Hardegg"
"Dr. Domenica Haindl","Andjela-Bergmann-Weg 973
1335 Oberpullendorf"
"Univ.Prof. Marko Lindner","Joseph-Ortner-Platz 6/6
6652 Pöchlarn"
"Leon Kocher","Nikolaus-Heissenberger-Platz 031
1312 Oberndorf bei Salzburg"
"Univ.Prof. Sahra Knapp","Diana-Ostermann-Platz 22
7697 Pinkafeld"
"Elyas Schön-Siller","Nagelplatz 8/2
3460 Scheibbs"
"Annalena Holzinger","Huttergasse 612
2372 Kindberg"
"Nick Hackl","Ajna-Gross-Straße 9
9098 Zell am See"
"Louis Macher-Prantl","Königplatz 7/2
8945 Wolkersdorf"
"Ruben Eberl","Hollring 4/1
3669 Feldkirch"
"Franziska Weidinger-Juen","Röckgasse 746
2237 Hall in Tirol"
"Joshua Hutter","Andrea-Weiser-Platz 232
7746 Fehring"
"Denise Bachmann","Moritz-Zöchling-Ring 620
8234 Gloggnitz"
"Leon Meyer","Kastnerstraße 54
1932 Leibnitz"
"Elisabeth Fabian","Maja-Hirschmann-Platz 672
4046 Melk"
"Jessica Steinbacher-Holzmann","Lennart-Ulrich-Weg 1
4661 Klagenfurt"
"Katharina Friedrich","Nicolas-Strohmaier-Ring 2/9
1495 Mautern an der Donau"
"Laurin Staudacher","Jasmine-Meyer-Ring 99
1790 Gerasdorf bei Wien"
"Juna Grasser","Kolmstr. 8/8
5514 Salzburg"
"Univ.Prof. Vito Anderl","Schatzstr. 7
2664 Leoben"
"Dipl.-Ing. Clarissa Kolar","Fabio-Steinlechner-Platz 526
9800 Scheibbs"
"Isabelle Schuh","Landlstraße 13
2029 Ebreichsdorf"
"Frau Sofija Gschaider","Pokornygasse 5/5
7013 Hardegg"
"Leona Bürger","Neumayrweg 2/6
8505 Sankt Andrä im Lavanttal"
"Kristian Schuster","Milo-Schalk-Gasse 375
3554 Lienz"
"Constanze Simic","Aaron-Holzmann-Gasse 7
1866 Allentsteig"
"Katharina Schaffer","Melanie-Schachinger-Platz 0/2
1117 Zwettl"
"Lilian Erlacher-Deutschmann","Burtscherstraße 6/2
3564 Zistersdorf"
"Dr. Johannes Seidl","Fritschstr. 76
2772 Berndorf"
"Raffael Bichler","Annika-Ecker-Weg 119
2913 Mattersburg"
"Clara Kober","Frida-Steinberger-Gasse 52
3714 Mattersburg"
"Luana Haas","Trattnerstraße 2/7
5465 Mariazell"
"Caroline Schinnerl","Wengergasse 418
6220 Oberndorf bei Salzburg"
"Leonard Baumgartner-Seebacher","Marcel-Dangl-Platz 9
6906 Hall in Tirol"
"Victor Zechner","Zeilingerweg 0
6980 Trofaiach"
"Rene Meixner","Kleinring 9
3043 Kapfenberg"
"Herr Daniel Frühwirth","Timo-Schwab-Ring 221
1708 Kufstein"
"John Kölbl","Patrik-Köll-Platz 7
6587 Ansfelden"
"Luisa Ferstl","Angelika-Fellinger-Gasse 218
9335 Geras"
"Kilian Wachter","Loidlplatz 8
7146 Mureck"
"Noah Rössler","Danilo-Frick-Weg 363
9518 Pregarten"
"Nicholas Steinberger","Löfflergasse 2
3366 Salzburg"
"Mika Thaler-Strauss","Weidingerstr. 6
3453 Eisenerz"
"Leonard Zotter","Spreitzergasse 6
6487 Laakirchen"
"Melisa Niederl-Grünwald","Nele-Praxmarer-Straße 2/5
7942 Purkersdorf"
"Emilie Hager","Deckerplatz 96
6332 Haag"
"Erik Heiss","Roman-Kraft-Gasse 0/3
8902 Liezen"
"Dipl.-Ing. Leon Schachinger","Reinischgasse 6/2
3384 Trofaiach"
"Univ.Prof. Ronya Gschaider","Anika-Holzer-Gasse 7/2
2188 Straßburg"
"Marina Gutmann","Schöffmannstraße 9/0
7304 Deutsch-Wagram"
"Philip Ebner","Nora-Fuhrmann-Gasse 5/4
9611 Kufstein"
"Karim Prenner","Tea-Eder-Weg 65
9142 Dornbirn"
"Jasmine Haumer","Böhlerring 550
9903 Rattenberg"
"Leonardo Draxler","Mühlbergerweg 3
8359 Schrattenthal"
"Hannah Eder","Haringring 48
3212 Gloggnitz"
"Antonio Füreder-Meier","Lucas-Stifter-Platz 6
3090 Pulkau"
"Ella Thalhammer","Bernhardstr. 21
3546 Neumarkt am Wallersee"
"Luca Gollner-Juen","Bianca-Walder-Weg 5
9547 Neusiedl am See"
"Aurelia Prager","Erik-Burtscher-Straße 3/2
3267 Rottenmann"
"Erik Oberhauser-Erhart","Springerring 4/3
3244 Grieskirchen"
"Jasmine Marx","Schranzplatz 6/7
7486 Hardegg"
"Stefanie Zotter","Burtscherweg 2/2
6514 Wolfsberg"
"Dipl.-Ing. Anabella Forstner","Hinterleitnerweg 31
8925 Köflach"
"Leonardo Höglinger","Erberweg 677
9829 Rottenmann"
"Selma Petz","Kitzlerplatz 257
2169 Fischamend"
"Amelie Bitschnau","Matthias-Stifter-Gasse 797
6224 Hartberg"
"Lucie Pucher","Lilly-Seiwald-Gasse 38
2973 Melk"
"Ing. Markus Polzer","Kastnerstraße 245
1624 Bad Aussee"
"Mathias Maier","Alex-Schuller-Ring 20
8048 Grieskirchen"
"Laetitia Maier","Juna-Lindner-Straße 49
1229 Oberwart"
"Jannik Schlosser","Tina-Pöschl-Ring 2
7990 Gerasdorf bei Wien"
"Leticia Fankhauser","Irina-Hutterer-Gasse 73
7607 Voitsberg"
"Erwin Kalcher","Marta-Schartner-Gasse 45
1872 Rattenberg"
"Leonardo Klammer-Teufl","Wurzerring 798
4860 Wels"
"Eric Sturm","Zeilingerstr. 413
7855 Langenlois"
"Nils Loibl","Ronja-Maringer-Platz 4/0
9121 Poysdorf"
"Alexa Karl","Melisa-Gratz-Straße 366
9305 Allentsteig"
"Ronya Fleischhacker","Alex-Enzinger-Straße 6
1547 Bad Sankt Leonhard im Lavanttal"
"Norah Reicher","Steinlechnerweg 3
8677 Wien"
"Patrick Hämmerle","Tothstraße 7/3
9764 Eggenburg"
"Fabio Lampert","Ruppgasse 099
8323 Sankt Andrä im Lavanttal"
"Alexandar Juen","Verena-Felber-Gasse 4/0
2008 Villach"
"Petra Stockinger-Lengauer","Kapellerstr. 60
9616 Braunau am Inn"
"Leonardo Kugler","Isabella-Wenger-Weg 2/8
4100 Graz"
"Vera Becker","Kratzerstraße 8/7
2999 Zwettl"
"Lara Kager","Vanessa-Erler-Gasse 74
4363 Schladming"
"Rebecca Walter","Antonio-Mark-Ring 976
3428 Neulengbach"
"Kyra Rauter-Schmidinger","Seitzstraße 366
3799 Steyr"
"Louis Scharf","Unterwegergasse 795
1093 Weiz"
"Jonas Nowak","Sonja-Beck-Straße 3
5777 Landeck"
"Angelika Koppensteiner","Braunstraße 23
1550 Köflach"
"Dipl.-Ing. Bernadette Simic","Frischstr. 98
7835 Amstetten"
"Simon Schenk","Mina-Pfeffer-Ring 594
8160 Schärding"
"Leonardo Rath","Laurin-Stoiber-Ring 4
3110 Marchtrenk"
"Tamara Schmölzer","Timon-Jauk-Gasse 13
6163 Fischamend"
"Dipl.-Ing. Nick Kaltenbrunner","Carl-Dietl-Platz 366
4511 Deutsch-Wagram"
"Prof. Finn Sammer","Sena-Mair-Platz 2/0
5178 Wieselburg"
"Simon Jung","Riedmannweg 828
2620 Pulkau"
"Jannik Mathis","Mittereggerweg 718
3587 Vöcklabruck"
"Sascha Schönberger","Ariane-Häusler-Gasse 9/7
2006 Pulkau"
"Raffael Burgstaller","Verena-Meusburger-Gasse 03
2756 Trieben"
"Mika Geier-Pfeiffer","Buchergasse 5
2829 Pulkau"
"Timo Fitz","Sophia-Kolm-Straße 5/6
4124 Amstetten"
"Leonhard Glück","Rabitschplatz 47
4694 Mödling"
"Dipl.-Ing. Hanna Kocher","Ajna-Schlosser-Gasse 1/1
2371 Purkersdorf"
"Antonius Kirchner","Schimplstraße 8/1
1659 Grein"
"Leopold Kastner-Pucher","Matheo-Anderl-Weg 32
3907 Stockerau"
"Laetitia Jahn","Seidlweg 70
8585 Hainburg an der Donau"
"Barbara Grasser","Lora-Reitbauer-Gasse 9/5
3480 Mank"
"Ing. Sofie Wild","Rayana-Knapp-Weg 5
1472 Bad Hall"
"Martin Lipp","Viktor-Stelzl-Platz 5/0
9208 Dürnstein"
"Petra Strauß","Annalena-Rauter-Ring 7
9331 Waidhofen an der Ybbs"
"Eleonora Dangl","Handlstraße 87
2542 Kapfenberg"
"Leonhard Santner","Linus-Ludwig-Platz 9/5
6361 Bad Radkersburg"
"Luka Dobler","Rotterstr. 154
8028 Braunau am Inn"
"Henrik Frick","Rottensteinerstr. 179
6355 Gmunden"
"Konrad Hochleitner","Macherstr. 0
2882 Wolkersdorf"
"Lora Jauk","Lehnerring 037
4142 Marchtrenk"
"Nikolaus Suppan","Winterstraße 4
1239 Hainfeld"
"Andrea Hoffmann","Esther-Schwaiger-Weg 5/3
4917 Imst"
"Johann Holzknecht","Johanna-Felber-Weg 34
1687 Krems an der Donau"
"Tristan Hofmeister","Gollnerstraße 4
1071 Mattighofen"
"Georg Winkler","Huterring 0/0
8477 Freistadt"
"Leonhard Stockinger","Dünserring 8
9239 Bad Ischl"
"Fabian Ritter-Neugebauer","Nadja-Kohl-Weg 701
3797 Gerasdorf bei Wien"
"Chris Klausner","Straussweg 6/1
7020 Traismauer"
"Emil Bader","Hattingerplatz 2/1
9856 Leoben"
"Florian Neumayr","Richard-Heiss-Gasse 6
2162 Stockerau"
"Benedict Ziegler","Hofingerstr. 1/6
6683 Linz"
"Kai Leutgeb","Wittmannweg 16
5905 Bad Vöslau"
"Esther Schrempf-Zenz","Hallergasse 057
1681 Bad Vöslau"
"Aylin Wilhelm","Madeleine-Pfleger-Platz 0
3477 Maissau"
"Karolina Klingler","Nikola-Hoffmann-Gasse 478
1909 Oberpullendorf"
"Leonhard Wilfinger-Kopp","Jannik-Wegscheider-Gasse 34
6149 Voitsberg"
"Ismail Urban","Ertlring 0
9815 Bad Ischl"
"Laila Kopp","Polzerring 448
3455 Peuerbach"
"Johanna Wirth-Dorn","Schützweg 979
7625 Mariazell"
"Ing. Viktor Kirchmair","Lucie-Obermayr-Gasse 9/1
8521 Köflach"
"Filip Erhart","Tina-Haindl-Platz 62
8499 Bruck an der Leitha"
"Benedikt Erlacher-Meier","Martina-Klinger-Gasse 3
6689 Ried im Innkreis"
"John Kappel","Angela-Reitinger-Platz 9
3106 Rust"
"John Luttenberger-Raab","Yvonne-Pröll-Platz 908
4320 Murau"
"Herr Simon Kölbl","Jacob-Lengauer-Ring 7/6
8699 Ferlach"
"Leoni Aichholzer","Schranzweg 4/8
9636 Freistadt"
"Natalie Gartner","Kuglerstraße 106
7818 Zistersdorf"
"Nicolai Wagner","Luna-Kasper-Platz 6/9
7277 Zistersdorf"
"Dominik Steinberger","Friedrichstr. 8
6244 Pöchlarn"
"Mateo Kaufmann-Mayr","Paulina-Kappel-Platz 0
1448 Haag"
"Prof. Manuel Zettl","Yasmina-Gattringer-Weg 108
9628 Peuerbach"
"Juliana Geier","Zöchlingweg 8/3
4893 Köflach"
"Henri Zeiler-Geyer","Petra-Höller-Platz 55
9050 Schwanenstadt"
"Naomi Ecker","Dornstraße 286
9760 Straßburg"
"Patrik Strauß","Hubmannplatz 1/4
6489 Allentsteig"
"Leoni Biedermann","Philipp-Zangerl-Ring 11
3270 Weitra"
"Adriano Jung","Baumannstr. 65
7332 Tulln an der Donau"
"Univ.Prof. Nino Klug","Sophia-Wirth-Weg 9/0
7757 Melk"
"Luis Pohl","Nele-Humer-Gasse 3/2
7087 Mariazell"
"Dr. Leonie Kirchmair","Wiesbauerweg 5
4800 Trofaiach"
"Anna-Maria Burgstaller","Evelyn-Eberhard-Ring 6
4162 Stadtschlaining"
"Dipl.-Ing. Christian Jauk","Beni-Hutterer-Ring 03
3612 Wien"
"Univ.Prof. Melina Tiefenbacher","Paulring 1
6524 Judenburg"
"Antonia Amon-Steinlechner","Wohlmuthweg 7
6701 Feldkirch"
"Angela Gosch-Aichinger","Pohlstr. 6
8566 Wels"
"Leoni Kummer","Anika-Geiger-Platz 3/6
4247 Ferlach"
"Oliver Metzler","Emely-Sagmeister-Straße 4
8275 Langenlois"
"Angelina Hübner","Kahrweg 695
5938 Marchegg"
"Florentina Scherzer-Linder","Leyla-Sieber-Platz 923
2595 Liezen"
"Clarissa Schweitzer","Sebastian-Spreitzer-Ring 5
8143 Güssing"
"Stefanie Thalhammer","Pfeiferstr. 8/6
6888 Deutschlandsberg"
"Univ.Prof. Nikolina Breuer","Alice-Wolf-Straße 7
2278 Weiz"
"Lena Nußbaumer","Rothring 8/0
2012 Baden"
"Cecilia Stolz","Melek-Eder-Ring 3
3554 Bregenz"
"Alara Holl","Hochleitnerstr. 6
9278 Bregenz"
"Leoni Rupp","Fleckplatz 34
7667 Berndorf"
"Melissa Ludwig","Maurice-Spitzer-Weg 926
4301 Hainburg an der Donau"
"Isabel Grünwald","Magdalena-Karrer-Straße 15
3215 Oberpullendorf"
"Lydia Kohler","Kaltenbrunnerstraße 04
9246 Traismauer"
"Christina Kerschbaum-Scheiber","Neumüllerplatz 18
3502 Sankt Andrä im Lavanttal"
"Aron Tischler","Eichhorngasse 533
5020 Trofaiach"
"Stephan Leibetseder","Matteo-Steger-Weg 22
2691 Hainfeld"
"Hannah Pölzl","Mira-Kramer-Straße 17
8510 Pregarten"
"Zoey Kober-Veit","Kollerplatz 0/1
2219 Bad Hall"
"Konrad Riedl","Tobias-Schenk-Ring 825
1579 Retz"
"Leoni Sigl","Eichhornweg 8/2
9617 Frauenkirchen"
"Dipl.-Ing. Lean Herzog","Konstantin-Bernhard-Weg 8/7
7354 Kufstein"
"Dr. Michelle Schön","Hartmannring 550
2857 Bad Aussee"
"Miriam Steinlechner","Magdalena-Thurner-Straße 9/5
5567 Neulengbach"
"Dipl.-Ing. Manuel Schenk","Johanna-Baldauf-Platz 90
3774 Pöchlarn"
"Heidi Ertl","Simonring 9
3892 Gloggnitz"
"Johanna Schlager-Hummel","Sauerstraße 055
6391 Schrattenthal"
"Kevin Baumann","Gabriela-Lammer-Straße 132
5683 Mattersburg"
"Nicolas Wandl","Straussweg 82
2343 Hainburg an der Donau"
"Clemens Gstrein","Selena-Leonhartsberger-Ring 5/1
9569 Wieselburg"
"Leonora Bittner","Henri-Rosner-Ring 28
6220 Traismauer"
"Florentin Berger","Noel-Huter-Ring 654
3957 Wörgl"
"Univ.Prof. Dilara Siller","Walchergasse 7/2
5620 Gmünd in Kärnten"
"Ronya Reinprecht-Kargl","Zechmeisterstr. 0/4
7260 Altheim"
"Leander Lindinger","Petergasse 4
8132 Ebenfurth"
"Franz Uhl","Wachtergasse 3/2
1242 Dornbirn"
"Lea-Sophie Bösch","Böckstraße 8/9
5416 Bleiburg"
"Elvira Bayer","Bianca-Sperl-Straße 76
5756 Deutschlandsberg"
"Lea-Sophie Lang","Schmidlgasse 3/5
8929 Freistadt"
"Felicitas Linder","Nathan-Neuwirth-Weg 05
5448 Frohnleiten"
"Leonora Erber","Malena-Winter-Platz 0/1
5580 Krems an der Donau"
"Anita Wittmann","Chris-Juen-Gasse 18
5782 Berndorf"
"Dipl.-Ing. Daniel Reisner","Brennerweg 0
6952 Weitra"
"Prof. Tim Böhler","Cornelius-Frank-Gasse 86
5709 Althofen"
"Andjelina Kellner","Kesslerplatz 0
2178 Stadtschlaining"
"Manuela Grabner","Hagengasse 8
1168 Pinkafeld"
"Marie Kellner","Barbara-Höfer-Weg 474
9818 Bad Ischl"
"Emilia Fichtinger","William-Gindl-Gasse 722
1713 Bruck an der Mur"
"Nikola Stecher-Peer","Scharfplatz 025
7724 Eisenerz"
"Valentin Schachner","Mathias-Ritter-Gasse 0/1
9776 Lilienfeld"
"Leonora Krammer","Ruth-Riepl-Ring 44
9731 Maissau"
"Dr. Ajna Holzer","Finkgasse 4/9
7409 Neulengbach"
"Jannis Aschauer","Danglring 7
8732 Ternitz"
"Lara-Sophie Taucher","Ariane-Obermüller-Weg 14
3613 Laakirchen"
"Maja Redl","Bartlweg 988
8089 Rottenmann"
"Anna-Lena Kaindl","Natalia-Held-Ring 8/0
6065 Steyregg"
"Mert Scherr-Spindler","Elma-Kopp-Gasse 01
4702 Hallein"
"Cristina Weigl-Sperl","Strohmeiergasse 8
9940 Waidhofen an der Ybbs"
"Dario Bogner","Dilara-Zeilinger-Gasse 3/6
3098 Gänserndorf"
"Milo Gutmann","Steinkellnerstraße 1
8699 Schrems"
"Leontina Fröhlich","Jana-Spitzer-Weg 8/6
3800 Murau"
"Mariana Göschl","Dirnbergerstraße 0
8730 Rohrbach in Oberösterreich"
"Ela Fiedler","Polzerring 5/6
1795 Dornbirn"
"Dipl.-Ing. Phillip Ulrich","Patricia-Helm-Ring 96
8657 Poysdorf"
"Madeleine Gärtner","Gmeinergasse 249
6688 Ried im Innkreis"
"Felix Arnold","Rossmannring 50
9309 Kufstein"
"Verena Knapp-Ferstl","Klotzstr. 3
6649 Althofen"
"Patrick Fitz","Schwaighoferstr. 9/9
6875 Groß-Enzersdorf"
"Simon Brenner","Grabherweg 0
7813 Trofaiach"
"Naomi Reindl","Dilara-Steinlechner-Gasse 6/3
5455 Gallneukirchen"
"Leontina Redl-König","Stockhammerring 732
1180 Ternitz"
"Christian Stangl","Aurelio-Pendl-Ring 2
1645 Frohnleiten"
"Victoria Wohlmuth","Götzstraße 3
3557 Hardegg"
"Jasmine Blümel-Harrer","Huttererstraße 944
6979 Oberwart"
"Timon Kriegl","Böschweg 481
6144 Leibnitz"
"Dr. Stella Seifert","Jamie-Steger-Ring 3/1
5816 Eggenburg"
"Gloria Trinkl","Voglerplatz 3
6016 Straßburg"
"Dr. Rita Sieber","Pfeifferplatz 409
7635 Bludenz"
"Severin Pfleger-Schachner","Sophie-Marie-Sammer-Ring 575
5420 Hall in Tirol"
"Dr. Maksim Decker","Fellingerstraße 3/1
9935 Radstadt"
"Leontina Sommer-Wohlmuth","Lettnerstraße 41
1942 Geras"
"Ing. Selina Scheucher","Puntigamstr. 5
6979 Neunkirchen"
"Nikita Kaindl","Nicole-Kaindl-Straße 908
5409 Neulengbach"
"Fernando Jovanovic","Jasper-Wittmann-Straße 30
8435 Sankt Valentin"
"Herr Lennard Frank","Wengergasse 58
9745 Völkermarkt"
"Nadin Riedl","Emil-Zangerl-Ring 797
2102 Fürstenfeld"
"Univ.Prof. Jan Griesser","Lindorferstraße 4/9
5523 Salzburg"
"Jovana Tauber","Zachring 3/1
3185 Feldkirch"
"Mike Mair","Hofmeisterring 9/7
8485 Korneuburg"
"Marko Gamsjäger","Scheucherstr. 6/5
6802 Neumarkt am Wallersee"
"Leopold Ender","Enzingerstraße 43
1451 Mistelbach an der Zaya"
"Alexandar Trauner","Nisa-Waldner-Weg 82
8027 Vils"
"Anastasia Schatz","Adriana-Scharf-Ring 904
2360 Mariazell"
"Leoni Göschl-Mitter","Hubert-Doppler-Ring 89
4514 Braunau am Inn"
"Lorenz Walch","Matheo-Fuhrmann-Straße 5/5
3215 Raabs an der Thaya"
"Ferdinand Enzinger-Enzinger","Holzknechtstr. 6/4
3792 Leoben"
"Emmanuel Mühlböck","Daniela-Zeller-Gasse 2
8331 Liezen"
"Tea Zeiner","Rosenbergergasse 9
8689 Bad Aussee"
"Sandro Radl","Schwarzlstraße 1/9
5662 Sankt Johann im Pongau"
"Annalena Braun","Mateo-Klotz-Weg 81
2597 Liezen"
"Leopold Hauser","Sofia-Kugler-Platz 7/2
2280 Bruck an der Leitha"
"Nelly Frühwirth-Schober","Weisergasse 108
3712 Zwettl"
"Henry Rosner-Dorfer","Hörlgasse 159
5711 Traiskirchen"
"Gabriela Mühlböck","Ullmannweg 5
7150 Zistersdorf"
"Ava Schandl","Hofstätterplatz 2/3
8947 Bischofshofen"
"Jan Held","Andrea-Schinagl-Weg 3/6
7332 Wieselburg"
"Lean Wurzinger","Mara-Aichholzer-Ring 4/3
4791 Frohnleiten"
"Gustav Postl","Nikolaus-Haindl-Gasse 23
3001 Kapfenberg"
"Kevin Pacher","Therese-Luger-Weg 0/6
7927 Oberndorf bei Salzburg"
"Berra Hebenstreit","Valentina-Jöbstl-Gasse 59
8425 Klosterneuburg"
"Leopold Lassnig","Traunerweg 37
5914 Mautern an der Donau"
"Dr. Viktoria Strohmayer","Maya-Wagner-Platz 02
6844 Laakirchen"
"Karolina Riedmann","Hammererring 1
4065 Feldkirchen"
"Antonella Bergmann","Evelyn-Mair-Straße 204
2648 Hainburg an der Donau"
"Felicitas Stadlbauer","Sigrid-Lutz-Gasse 4
6006 Voitsberg"
"Christopher Reinisch-Frick","Ariana-Engl-Gasse 9
5898 Eisenerz"
"Nick Schilcher","Alara-Rieger-Gasse 584
6491 Ebreichsdorf"
"Dipl.-Ing. Lydia Bader","Zechmeisterstraße 51
2592 Zwettl"
"Lennart Vogt","Marie-Sophie-Lampert-Straße 9/8
9087 Retz"
"Jovana Breuer-Kellner","Selma-Kummer-Platz 3/4
1579 Traiskirchen"
"Leopold Nemeth","Linus-Kitzler-Platz 9/3
5039 Oberndorf bei Salzburg"
"Mariam Konrad","Madeleine-Wimmer-Platz 4
1091 Steyr"
"Kevin Lang","Kobergasse 746
3023 Allentsteig"
"Tamara Rudolf","Annabelle-Neureiter-Straße 458
9468 Mattighofen"
"Univ.Prof. Sonja Schandl","Milica-Hammerl-Straße 7/0
5246 Gmünd"
"Karina Nagele","Widmannstr. 9/6
7171 Bad Vöslau"
"David Forster","Kreuzerstraße 0
3514 Deutschlandsberg"
"Marco Lutz","Luka-Schilcher-Straße 8/4
3991 Wiener Neustadt"
"Aaron Simic","Götzplatz 2/2
3037 Wörgl"
"Ing. Lea Kirschner","Thalhammergasse 17
9548 Neumarkt am Wallersee"
"Leopold Nemeth","Strohmaierstr. 29
3104 Eisenstadt"
"Nikolas Hinterleitner","Kirschnergasse 73
5952 Groß-Siegharts"
"Johanna Kraft-Maringer","Nathan-Schneeberger-Platz 956
9723 Wien"
"Nathan Blümel","Peter-Hainzl-Gasse 77
7161 Ferlach"
"Nicola Eberharter","Esther-Schachner-Platz 7
1435 Ebenfurth"
"Nikolas Schimpl","Luis-Schön-Platz 24
6080 Purkersdorf"
"Severin Draxler","Amonstr. 6/4
5066 Voitsberg"
"Linus Kaltenböck","Meierstr. 084
1938 Wels"
"Verena Wieser-Krall","Tiffany-Käfer-Platz 91
6423 Leoben"
"Dipl.-Ing. Milica Mitterlehner","Kristina-Strohmeier-Ring 5
2349 Schärding"
"Leopold Stecher","Carla-Nagele-Ring 1
7982 Heidenreichstein"
"Violetta Hummel","Luisa-Suppan-Platz 67
8609 Rust"
"Marvin Wurzinger","Adelina-Taferner-Weg 926
8414 Wiener Neustadt"
"John Feichtinger","Jeneweinplatz 106
1670 Bad Leonfelden"
"Nadia Heim","Lenzstr. 674
3304 Heidenreichstein"
"Jan Rohrer","Hahnweg 44
6003 Raabs an der Thaya"
"Maximilian Sorger","Bürgerplatz 1/2
1696 Bad Aussee"
"Ella Stern","Gartnerstraße 5
8383 Groß-Gerungs"
"Jasper Neulinger-Steinbauer","Sarah-Klaus-Weg 444
2648 Korneuburg"
"Emilian Schatz","Emilie-Geiger-Ring 6
3463 Neumarkt am Wallersee"
"Leticia Kirschner","Hagerplatz 7/7
1383 Wolkersdorf"
"Prof. Emilian Maurer","Walcherstraße 29
7242 Bruck an der Leitha"
"Ruth Linder-Ebner","Romy-Schatzl-Weg 7/7
2124 Schladming"
"Karina Zettl","Eichbergerstr. 8
3113 Freistadt"
"Marcus Sieber","Hörmannstraße 8/3
2642 Frauenkirchen"
"Marlene Stark","Chris-Frisch-Gasse 031
8501 Feldkirch"
"Ralph Neugebauer-Schweiger","Nicola-Amon-Weg 4/4
8996 Amstetten"
"Prof. Kyra Herzog","Breuerweg 614
4018 Gmunden"
"Romy Steger","Hollring 6
5162 Fehring"
"Ing. Julian Scheucher","Henri-Hafner-Gasse 7
4872 Traiskirchen"
"Leticia Rauter","Grundnerplatz 8/9
4527 Frohnleiten"
"Univ.Prof. Nino Rausch","Sofie-Reichl-Gasse 79
3888 Stockerau"
"Elyas Grassl","Kammererstraße 34
4438 Friesach"
