"Aaron Becker-Scheidl"	"Marta-Zehetner-Weg 454
8480 Zeltweg" 
"Moritz Frühwirth"	"Lionel-Kastner-Platz 997
3317 Schwanenstadt"
"Nikola Kloiber"	"Wegscheiderplatz 653
2747 Wieselburg"
"Clarissa Schwab"	"Badergasse 96
3801 Grein"
"Marlene Stöckl"	"Theodor-Mayer-Platz 395
1107 Feldkirchen"
"Thomas Polzer"	"Anna-Schwarzinger-Ring 3
4124 Feldkirch"
"Louisa Zechner"	"Auingerstraße 6/1
7335 Sankt Johann im Pongau"
"Elena Friedrich-Sulzer"	"Johannes-Altmann-Straße 4
1963 Bad Ischl"
"Stephanie Maringer"	"Landlring 016
6908 Friedberg"
"Marina Meyer"	"Pragergasse 13
4279 Bludenz"
"Robert Hölzl"	"Kocherplatz 4
6907 Pregarten"
"Viola Bayer-Feichtinger"	"Zaunerstr. 4/6
3776 Attnang-Puchheim"
"Samuel Loidl-Kuhn"	"Constantin-Jung-Platz 8/9
6833 Sankt Pölten"
"Ava Frisch-Kössler"	"Yvonne-Waldner-Ring 324
9098 Feldkirch"
"Jamie Schrammel"	"Reitingerplatz 3
4523 Mistelbach an der Zaya"
"Dipl.-Ing. Nick Mandl"	"Lukas-Prinz-Gasse 7
2683 Kapfenberg"
"Louise Fellner-Fehringer"	"Schnablgasse 40
1810 Gallneukirchen"
"Janine Schaffer"	"John-Hell-Straße 5/8
6335 Weiz"
"Aurelio Sailer"	"Schneebergerring 085
5447 Wilhelmsburg"
"Herr Jonathan Winkler"	"Heiglplatz 980
2795 Saalfelden am Steinernen Meer"
"Ing. Nikita Roth"	"Rettenbachergasse 59
3120 Schrattenthal"
"Jamie Lassnig"	"Hutterring 0
2706 Hainfeld"
"Oscar Neumayr"	"Alexandra-Geyer-Straße 44
5386 Judenburg"
"Rana Mühlbacher"	"Sigrid-Schuler-Gasse 0
8508 Schrattenthal"
"Univ.Prof. Sonja Moritz"	"Danningerplatz 2
3008 Bischofshofen"
"Dr. Louise Schantl"	"Merlin-Meister-Weg 1/1
7683 Zell am See"
"Louise Karl"	"Dennis-Margreiter-Platz 5
5599 Ebenfurth"
"Emilia Gutmann"	"Sabine-Pauer-Straße 76
1017 Traun"
"Dipl.-Ing. Georg Schneider"	"Pircherring 008
2176 Fehring"
"Zoe Wurm"	"Ebnergasse 1
5978 Fürstenfeld"
"Patrick Wechselberger"	"Aleksander-Konrad-Weg 10
4953 Landeck"
"Ing. Bruno Pollak"	"Luna-Schön-Straße 2
3764 Ebenfurth"
"Marina Pfeiffer"	"Pascal-Neuhauser-Straße 378
4503 Mank"
"Dr. Sam Wandl"	"Huberring 3/7
7619 Haag"
"Hannah Augustin"	"Schrenkstraße 4/6
4954 Amstetten"
"Eric Eberl"	"Amelia-Schweiger-Platz 6/8
6513 Traismauer"
"Louise Salzmann"	"Großweg 0/9
4539 Schrattenthal"
"Laurin Fuhrmann"	"Stockerstr. 4
7559 Dürnstein"
"Nicholas Hagen"	"Natan-Hechenberger-Straße 9/2
1815 Neusiedl am See"
"Theodora Erlacher-Rieder"	"Hörmannplatz 4
2725 Korneuburg"
"Ing. Michelle Klocker"	"Thallerstraße 514
8662 Wolkersdorf"
"Angelo Bürger"	"Annabella-Suppan-Platz 1
9322 Laakirchen"
"Jana Heger"	"Armin-Höller-Straße 87
8772 Kapfenberg"
"Daniela Hütter-Salzmann"	"Mark-Luger-Platz 3/7
7562 Ried im Innkreis"
"Annabell Rechberger-Kober"	"Friedrich-Klausner-Platz 31
2978 Schwaz"
"Rana Seitz-Hödl"	"Natascha-Buchegger-Weg 040
4637 Schwaz"
"Luana Petz"	"Leonard-Kogler-Weg 0
7427 Rattenberg"
"Dr. Irina Leitgeb"	"Huemerstraße 848
4487 Traiskirchen"
"Lorenz Kofler"	"Sommerweg 3
6289 Haag"
"Sandro Pendl"	"Fabio-Windisch-Gasse 965
9148 Oberpullendorf"
"Herr William Falkner"	"Kreuzerstr. 6
2674 Mureck"
"Chris Fürst-Holzinger"	"John-Kaltenbrunner-Ring 7/3
7452 Rottenmann"
"Max Achleitner"	"Eichhornweg 9/6
8769 Villach"
"Ing. Damian Messner"	"Florin-Hinteregger-Straße 8/5
9528 Amstetten"
"Univ.Prof. Naomi Pühringer"	"Stöcklstraße 38
8120 Raabs an der Thaya"
"Ismail Lechner"	"Ladnerring 962
6360 Gänserndorf"
"Luana Schulz-Holzinger"	"Eichingerplatz 2
6665 Stockerau"
"Mara Messner-Hubmann"	"Foidlstraße 025
8001 Feldbach"
"Ava Kriegl"	"Prennerstraße 5/9
4628 Freistadt"
"Constantin Hagen-Kröll"	"Sena-Aichinger-Straße 668
4859 Güssing"
"Prof. Lennart Neumüller"	"Ferdinand-Doppler-Straße 14
2272 Rottenmann"
"Florian Thurner-Leonhartsberger"	"Stieglerring 8
2535 Bruck an der Mur"
"Aron Blauensteiner"	"Lennart-Schlögl-Straße 597
6074 Waidhofen an der Thaya"
"Selena Heinz"	"Landlgasse 4/7
8548 Steyr"
"Prof. Sena Trinkl"	"Alexandra-Ender-Gasse 640
3986 Wels"
"Julian Herzog"	"Straussstraße 7
6401 Radstadt"
"Luana Steinberger"	"Ferstlstr. 469
8335 Trieben"
"Fabio Nagl"	"Irma-Bruckner-Platz 186
3775 Friedberg"
"Mona Juen"	"Angelina-Fellinger-Ring 53
3280 Murau"
"Maria Kasper"	"Schneebergerplatz 8/2
1115 Tulln an der Donau"
"Aleksander Haid-Karrer"	"Himmelbauerplatz 05
1465 Peuerbach"
"Nisa Puntigam-Schwaiger"	"Sigrid-Brugger-Weg 35
2927 Wörgl"
"Manuel Stiegler"	"Kirschnergasse 3/9
1213 Kapfenberg"
"Bernadette Mittermayr-Jauk"	"Meistergasse 4/8
7881 Baden"
"Dora Schlager-Jauk"	"Melissa-Taucher-Gasse 1/0
3216 Mattighofen"
"Marie-Louise Oberhofer"	"Wiesbauerstr. 713
6633 Oberwälz"
"Luca Auer"	"Hausbergergasse 56
9849 Grieskirchen"
"Patrick Geier"	"Burtscherstr. 3/2
2193 Gmünd in Kärnten"
"Magdalena Aschauer"	"Luka-Grundner-Straße 9/8
5651 Bad Sankt Leonhard im Lavanttal"
"Herr Ben Kager"	"Mariella-Blümel-Ring 96
4738 Lienz"
"Dipl.-Ing. Johanna Toth"	"Laetitia-Frey-Platz 3/5
9157 Amstetten"
"Selena Enzinger-Zehetner"	"Höglingerring 0
9964 Sankt Valentin"
"Marlene König"	"Alexia-Nußbaumer-Weg 1
8790 Hall in Tirol"
"Univ.Prof. Clarissa Eberhard"	"Sammerstraße 1
1598 Zistersdorf"
"Florian Hofmann"	"Andreas-Fürst-Straße 72
3468 Mariazell"
"Igor Holzer"	"Pockstr. 0/0
5065 Bad Leonfelden"
"Luca Eichinger-Eder"	"Leonardo-Pöll-Gasse 46
2606 Gmünd in Kärnten"
"Zoe Strohmayer"	"Stelzerweg 2
5301 Stockerau"
"Lionel Kaufmann-Schröder"	"Mert-Reinprecht-Gasse 9
1595 Bärnbach"
"Leander Kaufmann"	"Magdalena-Schrammel-Weg 7/0
7023 Mistelbach an der Zaya"
"Prof. Therese Felder"	"Zachstraße 11
1468 Braunau am Inn"
"Prof. Erik Kuhn"	"Manuel-Berthold-Gasse 0
9541 Ried im Innkreis"
"Lennard Hahn"	"Timon-Forster-Straße 0
1042 Schwanenstadt"
"Julijana Wittmann"	"Elisabeth-Stifter-Straße 6
5243 Laa an der Thaya"
"Danilo Reich"	"Leander-Wechselberger-Ring 2/3
4493 Schladming"
"Adriano Reiterer"	"Handlring 1/0
5353 Geras"
"Luca Haring"	"William-Varga-Straße 69
2385 Judenburg"
"Josefine Schaller"	"Schönplatz 6/6
9103 Hallein"
"Sofie Zotter"	"Neumayerstr. 1
5002 Schärding"
"Sofija Klein"	"Leonhard-Schweighofer-Ring 544
8769 Kapfenberg"
"Konrad Rossmann"	"Zettlplatz 7/0
9542 Lienz"
"Univ.Prof. Peter Angerer"	"Adelina-Krug-Ring 378
6358 Salzburg"
"Prof. Ruben Fichtinger"	"Selena-Eisl-Ring 537
2806 Kindberg"
"Marlene Pfeffer"	"Grillring 2
4841 Mattersburg"
"Barbara Reitbauer"	"Henri-Puchner-Platz 5/1
8742 Bad Ischl"
"Univ.Prof. Severin Wechselberger"	"Hofergasse 4
7013 Langenlois"
"Lucas Haller"	"Knausgasse 232
3813 Neumarkt am Wallersee"
"Thomas Reif-Rabitsch"	"Adamstr. 34
1345 Landeck"
"Mario Vogler"	"Santnerstraße 002
3076 Gloggnitz"
"Pauline Reiterer"	"Rana-Heinrich-Platz 6/4
2493 Rattenberg"
"Severin Buchner-Thaller"	"Maida-Guggenberger-Weg 451
6628 Litschau"
"Edda Wiener"	"Wiednerstr. 1/5
5911 Traiskirchen"
"Patrik Mitterlehner"	"Vivian-Decker-Straße 313
5536 Krems an der Donau"
"Clarissa Unterberger-Strohmeier"	"Ariana-Riedl-Straße 363
1753 Allentsteig"
"Dipl.-Ing. Erwin Krenn"	"Mila-Harrer-Ring 3
6746 Attnang-Puchheim"
"Teodor Denk"	"Jessica-Dorner-Gasse 3/3
9081 Ebreichsdorf"
"Lucas Hofmann"	"Bernhardgasse 92
6451 Deutsch-Wagram"
"Xavier Spitzer-Schweiger"	"Aurelio-Kargl-Straße 275
2512 Murau"
"Sophia Wurm"	"Fellnerstraße 8/6
6154 Mank"
"Gabriel Rabitsch"	"Mike-Lagler-Weg 5/0
4901 Neusiedl am See"
"Domenica Jöbstl"	"Höferstraße 2/1
5783 Lienz"
"Jakob Wilhelm"	"Pauline-Haller-Platz 2/4
2307 Eggenburg"
"Christian Glatz"	"Hartlplatz 06
9816 Hallein"
"Fernando Lichtenegger"	"Leopold-Klausner-Ring 4
7077 Deutschlandsberg"
"Dipl.-Ing. Armin Zechner"	"Hanna-Weiss-Platz 012
4110 Hardegg"
"Ricardo Lampl"	"Moritz-Reichel-Straße 1
5439 Enns"
"Lucas Pendl"	"Hübnerplatz 7/1
4267 Neusiedl am See"
"Dr. Noah Kogler"	"Eleonora-Stefan-Straße 4/8
8443 Enns"
"Matteo Heger"	"Auingerweg 084
4438 Raabs an der Thaya"
"Emmanuel Kurz"	"Berra-Bernhard-Straße 7/2
8341 Ybbs an der Donau"
"Ferdinand Holl"	"Salzmannplatz 1
5433 Allentsteig"
"Domenica Maierhofer"	"Lana-Langer-Ring 16
2451 Hall in Tirol"
"Jannik Kreuzer-Höller"	"Benedict-Gritsch-Straße 19
5111 Retz"
"Herr Christopher Raab"	"Reithoferplatz 52
6811 Traiskirchen"
"Adriana Schneider"	"Fabian-Mitterlehner-Gasse 26
1467 Laa an der Thaya"
"Norah Oswald-Hager"	"Schuhstr. 36
5114 Ferlach"
"Lucas Schweitzer"	"John-Bayer-Straße 7
5967 Langenlois"
"Jakob Zimmermann"	"Anna-Renner-Straße 2
2707 Traismauer"
"Elisa Seiwald"	"Bodnerplatz 427
8878 Radenthein"
"Sena Gutmann"	"Stephan-Albrecht-Weg 06
8200 Schärding"
"Nathan Salcher-Rudolf"	"Schilcherring 515
5446 Bad Sankt Leonhard im Lavanttal"
"Merlin Kapeller-Kratzer"	"Christina-Scherer-Ring 8/7
5364 Deutsch-Wagram"
"Elma Waldner-Eller"	"Nicole-Jank-Platz 08
7916 Groß-Enzersdorf"
"Rene Aichinger"	"Scherzweg 02
5402 Bad Leonfelden"
"Prof. Lucie Dittrich"	"Haindlgasse 9/5
8690 Schwaz"
"Elma Prem"	"Wöhrerring 0
9345 Bischofshofen"
"Lucas Sulzer-Häusler"	"Baierstraße 5/5
2781 Voitsberg"
"Leonhard Scherzer"	"Felix-Rechberger-Straße 2/8
4637 Friedberg"
"Andjela Burtscher"	"Bachingerring 3/8
1826 Traiskirchen"
"Amanda Denk"	"Nadine-Karner-Platz 43
1081 Mattersburg"
"Louis Pollak-Reicher"	"Kristian-Lammer-Straße 5/6
2541 Klagenfurt"
"Peter Wenzl"	"Mayerhoferplatz 615
5821 Krems an der Donau"
"Leonardo Kratzer"	"Mühlbachergasse 543
3499 Litschau"
"Nadia Reisner"	"Heiglstr. 738
5817 Purkersdorf"
"Dominik Heissenberger"	"Rosalie-Krainz-Weg 0
4663 Eisenerz"
"Univ.Prof. Cristina Holzer"	"Emil-Käfer-Weg 39
3952 Groß-Gerungs"
"Lucas Wurzer"	"Lara-Sophie-Gamsjäger-Gasse 2
7358 Ebreichsdorf"
"Anne Pühringer"	"Kahrweg 7/3
2541 Waidhofen an der Thaya"
"Michael Winkler"	"Sebastian-Scherz-Straße 850
1119 Ebenfurth"
"Univ.Prof. Nisa Nowak"	"Dietlring 69
8339 Sankt Johann im Pongau"
"Prof. Antonio Dobler"	"Scharingerring 526
8903 Heidenreichstein"
"Aurelia Janisch"	"Philippa-Ecker-Platz 34
9726 Bruck an der Mur"
"Mathias Reinprecht"	"Carl-Berner-Straße 792
7557 Salzburg"
"Jonas Rottensteiner"	"Leithnergasse 0/9
8771 Attnang-Puchheim"
"Nikola Pesendorfer"	"Stützstr. 4
6632 Steyr"
"Adrian Gutmann-Eberhard"	"Marius-Leber-Gasse 2/7
2304 Traun"
"Lucia Klement-Höglinger"	"Rayana-Lipp-Gasse 9
4817 Grein"
"Laetitia Ecker"	"Marie-Louise-Göschl-Platz 69
3533 Krems an der Donau"
"Vera Lintner"	"Lettnerring 1
6129 Pöchlarn"
"Therese Haller"	"Soraya-Grünberger-Weg 0/6
3752 Gerasdorf bei Wien"
"Jacob Krenn"	"Evelyn-Eller-Platz 7
3788 Zell am See"
"Dr. Louis Luger"	"Raffaela-Martin-Gasse 571
7784 Villach"
"Julius Meindl"	"Wernerplatz 4
8606 Ferlach"
"Raffael Weidinger"	"Christina-Tiefenbacher-Straße 64
4100 Geras"
"Dipl.-Ing. Tea Erlacher"	"Schrammelplatz 30
6234 Landeck"
"Frederik Bodner"	"Domenica-Hirsch-Straße 0
5239 Rottenmann"
"Lucia Krainz"	"Alice-Steinbacher-Ring 468
2421 Zeltweg"
"Dipl.-Ing. Laura Gartner"	"Reifweg 690
2904 Pulkau"
"Stephan Bischof"	"Steinacherweg 916
4530 Oberndorf bei Salzburg"
"Erik Schindler"	"Lia-Hebenstreit-Ring 3/6
7324 Zeltweg"
"Vera Hofinger"	"Klotzstraße 654
2243 Villach"
"Univ.Prof. Heidi Kolm"	"Kalina-Feichtner-Gasse 9
9275 Rohrbach in Oberösterreich"
"Oscar Steinwender"	"Steinböckring 43
8977 Deutsch-Wagram"
"Karl Kogler"	"Lilly-Stummer-Straße 748
9378 Mürzzuschlag"
"Elena Fröschl"	"Dietrichplatz 13
4708 Judenburg"
"Nicolai Jenewein"	"Neumüllerplatz 406
9114 Straßburg"
"Lucia Kreidl-Reisner"	"Leonie-Neuwirth-Ring 770
1461 Weitra"
"Dora Schreiner"	"Kraftweg 437
5947 Zwettl"
"Leonardo Schulz-Aichholzer"	"Steinwenderstr. 794
1945 Oberwart"
"Angelo Dengg"	"Walchgasse 4/2
5277 Langenlois"
"Dr. Oliver Heller"	"Forsterring 9/7
8456 Hallein"
"Univ.Prof. Pascal Yilmaz"	"Gasserstraße 7/1
6856 Gmünd in Kärnten"
"Henry Bartl"	"Draxlerstraße 5/4
4442 Schwechat"
"Lotte Strohmaier"	"Aichingerring 2
7597 Langenlois"
"Sebastian Simon"	"Linnea-Kahr-Straße 546
3735 Radstadt"
"Bianca Brugger-Dangl"	"Cristina-Kellner-Ring 0/4
6791 Gerasdorf bei Wien"
"Lucia Rossmann"	"Wittmannstraße 699
8867 Wörgl"
"Tina Berchtold"	"Kirschnerring 966
4076 Mattighofen"
"Sonja Hemetsberger"	"Kuglerstr. 2
1304 Sankt Johann im Pongau"
"Stefan Decker"	"Himmelbauergasse 09
1153 Fischamend"
"Diana Simon"	"Hochleitnerplatz 76
7971 Traiskirchen"
"Ismail Postl"	"Verena-Neumeister-Straße 233
9861 Neumarkt am Wallersee"
"Juliane Holler"	"Nicholas-Hummer-Ring 5
1845 Frauenkirchen"
"Viktor Leutgeb-Froschauer"	"Blumweg 85
7809 Bruck an der Mur"
"Dominik Loidl"	"Valentina-Göschl-Platz 1
4961 Sankt Valentin"
"John Hutter"	"Berchtoldweg 98
6078 Dürnstein"
"Lucie Heinrich"	"Valentino-Aigner-Platz 934
3758 Wels"
"Victoria Mitteregger-Handl"	"Benedict-Heigl-Straße 6/6
5840 Vils"
"Raffael Kollmann"	"Strohmaierstr. 2
1407 Fischamend"
"Prof. Lorenz Steiger"	"Anderlplatz 562
9039 Schladming"
"Prof. Rana Sailer"	"Beatrice-Mathis-Weg 8/0
9246 Vils"
"Univ.Prof. Georg Egger"	"Franziska-Pühringer-Gasse 5
5189 Wieselburg"
"Victor Scherzer"	"Mayrring 36
9291 Hainfeld"
"Dipl.-Ing. Ylvie Rohrmoser"	"Gregor-Schramm-Weg 3
9261 Eisenerz"
"Dipl.-Ing. Lisa-Marie Hackl"	"Karrerring 558
1820 Hallein"
"Prof. Vito Jauk"	"Steinacherstr. 374
2325 Sankt Valentin"
"Lucie Kopf"	"Dornring 3
4172 Sankt Andrä im Lavanttal"
"Bernadette Geyer"	"Thallerring 1/2
2491 Ybbs an der Donau"
"Dennis Haidinger-Kollmann"	"Rosalie-Gindl-Weg 270
7751 Mistelbach an der Zaya"
"Leah Spindler"	"Nicolas-Wieland-Gasse 6
6111 Geras"
"Herr Steven Prantl"	"Jacob-Leopold-Platz 396
7120 Zeltweg"
"Isabell Hebenstreit-Krug"	"Alexia-Macher-Ring 01
4705 Frohnleiten"
"Emilija Hacker-Reiterer"	"Grabherstr. 175
7292 Klosterneuburg"
"Ing. Stella Kollmann"	"Lammerstraße 52
2225 Amstetten"
"Dipl.-Ing. Natalia Fröhlich"	"Ulrichstraße 868
3731 Raabs an der Thaya"
"Philipp Schranz"	"Vera-Kunz-Weg 1/3
9794 Frauenkirchen"
"Lucie Lamprecht-Kraxner"	"Prinzstraße 0
1283 Laakirchen"
"Melissa Ludwig"	"Kerstin-Kogler-Ring 16
4382 Mürzzuschlag"
"Ruth Lettner"	"Ullmanngasse 1/9
4812 Neunkirchen"
"Sam Haider"	"Gstreingasse 9/5
1640 Zistersdorf"
"Bernadette Karner"	"Markus-Salzmann-Gasse 403
5131 Bischofshofen"
"Prof. Florian Hütter"	"Lara-Sophie-Praxmarer-Ring 5/1
9575 Lienz"
"Emil Haas"	"Vincent-Steiger-Platz 96
6211 Bleiburg"
"Nathan Radl"	"Langerweg 5/2
3138 Rohrbach in Oberösterreich"
"Gabriel Luttenberger"	"Gollnerstraße 3/7
1529 Mannersdorf am Leithagebirge"
"Timo Heiss-Kolar"	"Antonella-Sigl-Platz 62
5652 Güssing"
"Luis Baumgartner"	"Liststr. 416
2858 Deutschlandsberg"
"Univ.Prof. Luis Schranz"	"Herzogring 3
1956 Wien"
"Maurice Jenewein-Schinnerl"	"Eckerring 6/0
3362 Frauenkirchen"
"Rachel Enzinger"	"Santnerring 60
1017 Gmünd in Kärnten"
"Natan Schwab"	"Grabnerstraße 4
8080 Landeck"
"Amelie Pendl"	"Staudingerplatz 63
1572 Friesach"
"Rachel Zangerl-Hebenstreit"	"Veitring 83
5815 Bad Ischl"
"Eric Koppensteiner-Jung"	"Riederweg 3
3787 Stadtschlaining"
"Herr Alexandar Gratzl"	"Maida-Mairhofer-Straße 2/2
1563 Hainburg an der Donau"
"Sara Pammer"	"Luis-Zimmermann-Weg 2/0
9968 Saalfelden am Steinernen Meer"
"Luis Bogner-Arnold"	"Friedrich-Gritsch-Ring 888
7451 Enns"
"Theodor Bischof"	"Bichlerstr. 3/7
4445 Neunkirchen"
"Prof. Miriam Reinisch"	"Schöllergasse 39
3241 Lilienfeld"
"Julia Vogl"	"Damian-Wittmann-Gasse 9
4957 Schladming"
"Patrik Ebner"	"Kaiserplatz 058
2533 Poysdorf"
"Armin Sturm-Mitteregger"	"Krainzstraße 3
7955 Fehring"
"Matheo Häusler"	"Ferdinand-Hoffmann-Weg 8/4
8869 Imst"
"Aurelio Anderl-Hirschmann"	"Stroblgasse 1
2125 Imst"
"Kristian Pfeiffer-Hammer"	"Tea-Walter-Straße 7/3
7334 Bruck an der Leitha"
"Dipl.-Ing. Konstantin Pucher"	"Weinbergerplatz 9
1430 Weitra"
"Luis Salzmann"	"Meyerstr. 56
3828 Bad Sankt Leonhard im Lavanttal"
"Stefan Trauner"	"Lorenzo-Graf-Straße 25
3890 Schrems"
"Emanuela Neugebauer"	"Adam-Rohrmoser-Straße 971
7195 Langenlois"
"Viktoria Jandl"	"Rabitschplatz 1/8
6234 Deutsch-Wagram"
"Erina Paier"	"Maya-Schmied-Weg 385
6546 Raabs an der Thaya"
"Lorena Wenger"	"Grossweg 2/3
8266 Hainfeld"
"Charlotte Zechner"	"Köckring 6/0
4476 Bad Sankt Leonhard im Lavanttal"
"Prof. Samuel Werner"	"Bruno-Maierhofer-Ring 92
1120 Pregarten"
"Prof. Angelo Zimmermann"	"Blumring 1/8
9223 Traismauer"
"Lennart Feichtenschlager"	"Maida-Reinprecht-Straße 5/4
8299 Waidhofen an der Ybbs"
"Luis Sauer"	"Bianca-Rettenbacher-Straße 7
4830 Eisenstadt"
"Thomas Lampert"	"Angelika-Braun-Gasse 0/4
5528 Deutsch-Wagram"
"Emma Reisinger"	"Neubauerweg 3
7213 Gallneukirchen"
"Dipl.-Ing. Andreas Gahleitner"	"Brucknerstr. 7
6065 Mureck"
"Vito Rinner-Nagele"	"Postlstraße 55
8656 Vils"
"Jannis Haslauer"	"David-Gamsjäger-Straße 31
8248 Gallneukirchen"
"Dr. Matthias Sagmeister"	"Marxgasse 110
1269 Gföhl"
"Prof. Fridolin Friedl"	"Gartnerstraße 30
5904 Pinkafeld"
"Lorenzo Raab"	"Nino-Eberl-Weg 637
2598 Wieselburg"
"Anton Wegscheider"	"Sascha-Dietl-Ring 593
6981 Berndorf"
"Luisa Posch"	"Rieplstr. 8
2393 Rattenberg"
"Cristiano Wenzl-Hofbauer"	"Diana-Angerer-Platz 15
8836 Villach"
"Lars Hosp-Angerer"	"Laetitia-Prohaska-Gasse 62
5359 Drosendorf-Zissersdorf 1"
"Viktoria Brugger"	"Cristina-Grasser-Weg 93
6570 Braunau am Inn"
"Univ.Prof. Jessica Spiegl"	"Seebacherweg 398
6430 Schwechat"
"Matteo Koch"	"Stefanstr. 053
1814 Kufstein"
"Jonathan Pfister"	"Steigerweg 291
5366 Schrattenthal"
"Louisa Lettner"	"Rieplstr. 9
6514 Bad Leonfelden"
"Dennis Sturm"	"Sabrina-Fritz-Ring 879
9635 Gföhl"
"Madeleine Seiser-Mandl"	"Lia-Bösch-Ring 10
2496 Ybbs an der Donau"
"Luise Kessler"	"Irina-Moser-Ring 19
5603 Gleisdorf"
"Teodor Breuer"	"Braunring 5
2216 Knittelfeld"
"Prof. Chris Haderer"	"Victoria-Glaser-Platz 1
7660 Wolkersdorf"
"Benedikt Steinberger-Lichtenegger"	"Joseph-Krainz-Straße 95
3772 Grieskirchen"
"Lean Mann"	"Lilia-Glatz-Straße 0/7
6565 Gmünd"
"Mike Linder-Franz"	"Wechselbergerstraße 50
8508 Bad Radkersburg"
"Leandra Zeiler"	"Ronya-Gabriel-Straße 8
5167 Marchtrenk"
"Mina Stöger"	"Ricardo-Froschauer-Platz 554
7325 Oberpullendorf"
"Siena Sammer"	"Lercherstr. 6/4
4139 Steyr"
"Gabriela Schatz-Stelzl"	"Theodor-Ringhofer-Ring 856
4767 Weiz"
"Luka Amon"	"Melisa-Rechberger-Gasse 18
1290 Pinkafeld"
"Laureen Postl"	"Chris-Siegl-Straße 7
9696 Krems an der Donau"
"Hannah Reinprecht"	"Bergmannring 0
3737 Frauenkirchen"
"Igor Pfleger"	"Walserstraße 47
7447 Eferding"
"Valentino Schachinger"	"Jovana-Scheucher-Weg 8
9898 Ternitz"
"Emilija Grünberger"	"Natalia-Sagmeister-Gasse 44
7770 Melk"
"Ing. Jessica Reisner"	"Zoe-Kainz-Weg 1/5
8049 Bad Aussee"
"Univ.Prof. Anika Gratz"	"Meyerring 126
6741 Hartberg"
"Oliver Wittmann"	"Braunplatz 243
2311 Marchtrenk"
"Lars Hausberger"	"Geyerstraße 05
2229 Leoben"
"Luka Buchegger"	"Lorena-Müllner-Gasse 996
9090 Voitsberg"
"Andrea Scherr"	"Tristan-Hammer-Gasse 16
4717 Mattighofen"
"Klara Leibetseder-Strobl"	"Melina-Gasser-Straße 68
5917 Hainfeld"
"Univ.Prof. Mia Nemeth"	"Mariella-Kastner-Weg 34
5027 Ternitz"
"Noah Steiger-Pfleger"	"Petra-Salzmann-Straße 86
6171 Bruck an der Mur"
"Julia Schimpl"	"Anja-Rosenberger-Platz 7/6
1751 Schwanenstadt"
"Kevin Bayer"	"Franziska-Neugebauer-Straße 59
9027 Frohnleiten"
"Romy Aichinger"	"Geierplatz 3
7063 Wolkersdorf"
"Nathalie Dorner-Radl"	"Kloiberring 375
4024 Oberndorf bei Salzburg"
"Prof. Rebecca Trummer"	"Anna-Leutgeb-Ring 815
5123 Scheibbs"
"Luka Fasching"	"Gindlweg 93
9712 Imst"
"Emilija Nagele"	"Heidi-Hirsch-Ring 1
8202 Mautern an der Donau"
"Alan Ertl"	"Rauscherring 56
5699 Schwechat"
"Mona Kurzmann-Ullmann"	"Sieglgasse 38
9435 Bludenz"
"Ellie Neuwirth"	"Stadlerring 421
2484 Dornbirn"
"Univ.Prof. Philipp Lampert"	"Ernstgasse 56
4562 Krems an der Donau"
"Bruno Schmuck-Tanzer"	"Bruggerring 404
7090 Eggenburg"
"Dr. Ava Kiss"	"Emmanuel-Blümel-Ring 2/1
1030 Graz"
"Martha Wilfinger"	"Freitagstr. 8
6474 Krems an der Donau"
"Marc Hammerer"	"Anne-Walser-Straße 1/2
2600 Allentsteig"
"Luka Neumeister"	"Marie-Kaltenbrunner-Gasse 448
8129 Ried im Innkreis"
"Maurice Beer"	"Nikita-Böhm-Gasse 25
7767 Gloggnitz"
"Paula Fabian"	"Klinglerstraße 119
9505 Fischamend"
"Annabell Stiegler"	"Wöhrergasse 1/8
5562 Schrattenthal"
"Emil Foidl"	"Mert-Vogl-Weg 987
1296 Landeck"
"Antonio Schöpf"	"Florian-Dobler-Ring 52
1903 Ternitz"
"Arthur Steinlechner"	"Nicole-Meister-Gasse 03
2573 Laakirchen"
"Emmanuel Horn"	"Auingerstraße 5/9
6820 Radenthein"
"Phillip Mittermayr"	"Glaserring 305
5545 Kapfenberg"
"Lukas Seebacher"	"Lehnergasse 8
5596 Schladming"
"Luka Ott"	"Siena-Kocher-Weg 07
2112 Gföhl"
"Stefanie Koller"	"Spitzerring 5/8
4889 Deutschlandsberg"
"Herr Nicholas Klement"	"Klammerweg 076
9470 Wieselburg"
"Leopold Kober"	"Rayana-Posch-Gasse 509
1362 Trofaiach"
"Henri Tanzer"	"Luisa-Zeller-Gasse 07
3192 Mautern an der Donau"
"Jamie Rotter"	"Wiesbauerstr. 0
6846 Straßburg"
"Christopher Hofstätter"	"Cristiano-Kröll-Platz 489
5344 Fehring"
"Martina Paulitsch"	"Maida-Hofmeister-Platz 5/5
6030 Bad Leonfelden"
"Norah Schwendinger"	"Seidlstr. 12
2059 Murau"
"Rosa Meister"	"Lana-Felder-Ring 43
2755 Dornbirn"
"Luka Trauner"	"Aurora-Spreitzer-Straße 70
2129 Mattersburg"
"Manuela Mann"	"Louise-Hainzl-Gasse 42
9481 Vils"
"Dipl.-Ing. Luca Karner"	"Krainzring 057
7349 Ferlach"
"Lionel Maier-Schiller"	"Stützweg 2/4
8468 Innsbruck"
"Tristan Plattner"	"Pühringerstr. 002
7048 Feldbach"
"Lisa List"	"Wieserstr. 3/7
5628 Leoben"
