"Adolf Gorenc"|"Hribarjevo nabrežje 6a
7288 Kobarid" 
"Rudolf Koren"|"Ravbarjeva ulica 7b
4835 Nova Gorica"
"Tamara Kocjančič"|"Ulica Gubčeve brigade 198
5993 Črnomelj"
"Željko Zakrajšek"|"Berčonova pot 343
7462 Dravograd"
"Urška Simonič"|"Pot Draga Jakopiča 402
1057 Prevalje"
"Nuša Stopar"|"Matjanova pot 327
8487 Trbovlje"
"Tanja Kovačič"|"Pot v hribec 00
8961 Ptuj"
"Urša Sitar"|"Rožna dolina, cesta III 2b
7103 Lenart v Slovenskih goricah"
"Justina Tratnik"|"Cilenškova ulica 901
1831 Litija"
"Jernej Mlinarič"|"Ulica Andreja Kumarja 786
6260 Ljutomer"
"Magda Dolinar"|"Pečnikova ulica 9a
0270 Šentjur"
"Petra Kodrič"|"Rosna pot 2a
4470 Slovenska Bistrica"
"Katja Rožič"|"Vaška pot 1b
5944 Idrija"
"Niko Jamnik"|"Krovska ulica 35
7296 Žalec"
"Aleksandra Fras"|"Prijateljeva ulica 4
5313 Brežice"
"Janez Vidovič"|"Smoletova ulica 789
5848 Ljubljana"
"Petra Leban"|"Pesarska cesta 7a
4418 Gornji Grad"
"Kristina Mlinarič"|"Pot na Golovec 0
9324 Velenje"
"Stanka Cvetko"|"Petkova ulica 8b
9417 Laško"
"Justina Kaučič"|"Gorjupova ulica 1b
0533 Kranj"
"Magda Jovanović"|"Reber 33
7962 Slovenj Gradec"
"Petra Dolinšek"|"Anžurjeva ulica 7c
3925 Kranj"
"Damjana Tratnik"|"Koreninova ulica 6a
5732 Lendava"
"Martina Pintar"|"Dvorakova ulica 3a
6136 Metlika"
"Uroš Novak"|"Ob zeleni jami 7b
0402 Ptuj"
"Polona Zemljič"|"Windischerjeva ulica 2c
0800 Tolmin"
"Hermina Lebar"|"Ulica Minke Bobnar 81
4779 Ljubljana"
"Nina Dolenc"|"Glinškova ploščad 6
9881 Žiri"
"Matilda petek"|"Rožna dolina, cesta XV 506
1536 Kobarid"
"Matjaž Zalokar"|"Hafnerjeva ulica 1c
0176 Koper"
"Magda Knez"|"Ižanska cesta 7b
3258 Brežice"
"Andrejka Filipič"|"Kladezna ulica 3
8813 Prevalje"
"Špela Kosi"|"Trpinčeva ulica 8c
7088 Ajdovščina"
"Feliks Bezjak"|"Marice Kovačeve ulica 7a
0346 Domžale"
"Janko Železnik"|"Študentovska ulica 8b
9551 Cerknica"
"Zdravko Hribernik"|"Polje 7a
4628 Idrija"
"Petar Žižek"|"Pot k studencu 5c
5149 Kočevje"
"Damir Tomšič"|"Pod bukvami 0a
4410 Izola"
"Kristina Primožič"|"Vulčeva ulica 5c
4967 Črnomelj"
"Dragan Kovač"|"Ulica Staneta Severja 1
9032 Murska Sobota"
"Magda Pečnik"|"Bravničarjeva ulica 58
3140 Idrija"
"Izidor Kosi"|"Turnerjeva ulica 9b
3850 Vipava"
"Aleksander Pogačnik"|"Cesta na Bokalce 0b
2882 Logatec"
"Drago Lavrič"|"Kregarjeva ulica 5
3195 Sežana"
"Miloš Jovanović"|"Gasparijeva ulica 57
7861 Šoštanj"
"Franci Rozman"|"Srebrničeva ulica 650
2911 Trebnje"
"Samo Kuhar"|"Alešovčeva ulica 3
2925 Ljubljana"
"Adolf Kastelic"|"Ulica Polonce Čude 636
3988 Cerknica"
"Alojzij Koželj"|"Marincljeva ulica 32
3401 Šentjur"
"Marjanca Kočevar"|"Zidarjev štradon 0a
3046 Sežana"
"Magda Pintar"|"Turnsko nabrežje 4a
9958 Postojna"
"Timotej Hribar"|"Dalmatinova ulica 382
3590 Lendava"
"Filip Ilić"|"Črtomirova ulica 4
3455 Lendava"
"Matija Železnik"|"Premrlova ulica 100
1548 Litija"
"Zdenka Štrukelj"|"Hribovska pot 3c
1076 Lendava"
"Miha Zver"|"Nebotičnikov prehod 0
0970 Postojna"
"Sebastjan Toplak"|"Planinškova ulica 0
7980 Logatec"
"Štefka Breznik"|"Lemeževa ulica 5b
4938 Zagorje ob Savi"
"Zdenka Zakrajšek"|"Cesta na Urh 30
4629 Šempeter pri Gorici"
"Marjana Šuštar"|"Bežigrad 6b
2806 Sevnica"
"Magda Tratnik"|"Strniševa cesta 7
1684 Grosuplje"
"Pia Dolenc"|"Rožna dolina, cesta XIII 1b
6139 Šentjur"
"Jaka Kaučič"|"Brodska cesta 811
9023 Trebnje"
"Rudi Novak"|"Matjanova pot 8
6411 Ajdovščina"
"Daniel Maček"|"Novakova ulica 4
8545 Brežice"
"Blaž Pirc"|"Čižmanova ulica 54
1818 Žiri"
"Nastja Pintarič"|"Jarnikova ulica 3a
4313 Krško"
"Emil Kocjančič"|"Snebersko nabrežje 5
5316 Piran"
"Brigita Mrak"|"Dobrdobska ulica 8
9496 Metlika"
"Metod Miklavčič"|"Smrekarjeva ulica 349
1693 Mežica"
"Magda Vidic"|"Strugarska ulica 5a
8605 Maribor"
"Cecilija volk"|"Ulica Alme Sodnik 9a
6799 Vipavski Križ"
"Alenka Kuhar"|"Ovčakova ulica 9c
5227 Vipava"
"Erika Horvat"|"Drabosnjakova ulica 672
7292 Grosuplje"
"Jelena Kolenc"|"Štembalova ulica 4c
4523 Šoštanj"
"Katja Šuštar"|"Smrekarjeva ulica 1
9391 Piran"
"Iztok Krivec"|"Pšatska pot 5c
4830 Bovec"
"Milica Novak"|"Adamič-Lundrovo nabrežje 9c
9139 Šempeter pri Gorici"
"Borut Cvetko"|"Ellerjeva ulica 1b
3656 Črnomelj"
"Janko Debeljak"|"Lončarska steza 2a
9191 Bled"
"Magdalena Hočevar"|"Na klančku 7c
7244 Gornja Radgona"
"Blaž Žibert"|"Ulica bratov Škofov 009
3393 Laško"
"Anže Mlinarič"|"Oražnova ulica 700
3991 Cerknica"
"Karel Maček"|"Cankarjev vrh 092
8802 Žalec"
"Justina Golob"|"Brankova ulica 51
2697 Domžale"
"Sašo Vidic"|"Kanonijeva cesta 724
5337 Domžale"
"Frančišek Kokol"|"Ulica padlih borcev 514
2304 Idrija"
"Melita Košir"|"Kamnogoriška cesta 9c
9837 Ruše"
"Larisa Novak"|"Ob žici 9
2202 Ilirska Bistrica"
"Neža Kovač"|"Prašnikarjeva ulica 4a
2239 Koper"
"Magdalena Leban"|"Balinarska pot 9b
5455 Laško"
"Nuša Jug"|"Golouhova ulica 52
4128 Tržič"
"Irena Mlakar"|"Razgledna steza 4c
6909 Črnomelj"
"Viljem Jug"|"Medenska cesta 7b
2803 Velenje"
"Nenad žagar"|"Lakotence 1c
7803 Piran"
"Karol Kalan"|"Trtnikova ulica 0a
0423 Ptuj"
"Blaž Hrovat"|"Vrtna ulica 2
5195 Ljubljana"
"Miran Tavčar"|"Latinski trg 2
4200 Slovenska Bistrica"
"Špela Bezjak"|"Spodnji Rudnik II 59
2962 Trbovlje"
"Miroslava Žibert"|"Vzajemna ulica 4c
9140 Trbovlje"
"Magdalena Miklavčič"|"Friškovec 913
5026 Kostanjevica na Krki"
"Miroslav Jerič"|"Marinovševa cesta 47
1262 Radeče"
"Laura Rozman"|"Povšetova ulica 834
4950 Ptuj"
"Adolf Čuk"|"V Varde 93
7608 Rogaška Slatina"
"Slavko Popović"|"Študentovska ulica 765
9883 Šoštanj"
"Anita Zupan"|"Za vasjo 9a
4042 Slovenska Bistrica"
"Žan Babič"|"Letališka cesta 4
8243 Litija"
"Slavka Rozman"|"Dalmatinova ulica 40
1214 Murska Sobota"
"Davor Koren"|"Na Stolbi 2a
8112 Idrija"
"Petar Gregorič"|"Pot v hribec 3b
1745 Izola"
"Magdalena Pogačnik"|"Veliki štradon 29
9043 Metlika"
"Natalija petek"|"Ribji trg 064
8508 Trebnje"
"Miro Toplak"|"Novo Polje, cesta XVI 2a
5919 Trebnje"
"Danijel Nemec"|"Gasilska cesta 6a
9855 Vipavski Križ"
"Jelka Kramar"|"Ilovški štradon 5
3584 Bled"
"Polona Bergant"|"Rečna ulica 163
8493 Domžale"
"Leon Rus"|"Ulica Dušana Kraigherja 39
6178 Ptuj"
"Angela Pečnik"|"Ulica Malči Beličeve 4
7621 Kobarid"
"Rok Maček"|"Ferberjeva ulica 3c
1486 Radovljica"
"Rebeka Zupančič"|"Pot za Brdom 5c
7228 Gornja Radgona"
"Magdalena Sušnik"|"Gramozna pot 0
8041 Izola"
"Aleksander Kolenc"|"Ptujska ulica 7a
7929 Kočevje"
"Jelka Božič"|"Pribinova ulica 11
4225 Tolmin"
"Miloš Bajc"|"Balinarska pot 6c
2100 Mengeš"
"Alja Kovačič"|"Jarška cesta 2a
8636 Vipavski Križ"
"Gorazd Kovač"|"Kovačeva ulica 5a
2025 Ajdovščina"
"Metod Gregorič"|"Na Straški vrh 7b
4987 Dravograd"
"Tea Markovič"|"Zajčevi dvori 9b
1058 Kobarid"
"Alenka Šuštar"|"Pot v Goričico 653
5075 Prevalje"
"Ivan Kramberger"|"Jelinčičeva ulica 6c
0992 Slovenska Bistrica"
"Magdalena Žižek"|"Na Stolbi 426
3557 Trebnje"
"Sebastijan Cvetko"|"Fužinska cesta 760
5627 Kranj"
"Zvonka Gomboc"|"Funtkova ulica 6
9545 Ajdovščina"
"Živa Sušnik"|"Adamič-Lundrovo nabrežje 9b
6176 Kočevje"
"Erika Jenko"|"Dečkova ulica 0
5462 Metlika"
"Simon Blatnik"|"Jakhljeva ulica 4c
9868 Bled"
"Damjan Kolar"|"Topniška ulica 5b
5431 Krško"
"Zvonko Dolinar"|"Molekova ulica 260
9973 Grosuplje"
"Katja Štrukelj"|"Ulica 7. septembra 284
1858 Ajdovščina"
"Izidor Božič"|"Torkarjeva ulica 20
9832 Škofja Loka"
"Maj Likar"|"Kardeljeva ploščad 3b
6662 Tolmin"
"Uroš Blažič"|"Rožna dolina, cesta XVII 518
5255 Kočevje"
"Tilen Kotnik"|"Kovinarska ulica 3a
9448 Gornja Radgona"
"Neja Hribar"|"Parmska cesta 9
5533 Tolmin"
"Branka Vidovič"|"Koželjeva ulica 2
7994 Hrastnik"
"Mihaela Korošec"|"Ulica bratov Rozmanov 6a
9068 Mežica"
"Zvonko Dolenc"|"Velnarjeva ulica 369
9028 Kobarid"
"Rebeka Pirc"|"Jarška cesta 1a
8608 Hrastnik"
"Angela Cerar"|"Trebušakova ulica 163
5726 Dravograd"
"Laura Kočevar"|"Italijanska ulica 2
6534 Trebnje"
"Maja Kalan"|"Polje 6a
6204 Tolmin"
"Matija Kokalj"|"Ulica bratov Komel 5a
3569 Vipavski Križ"
"Kristina Mlinarič"|"Šentviška ulica 6a
1733 Brežice"
"Jani Marolt"|"Cesta na Bellevue 2
2218 Prevalje"
"Ksenija Kramberger"|"Uršičev štradon 5a
5605 Laško"
"Rok Jarc"|"Polje, cesta XXVI 86
6124 Kamnik"
"Jure Sušnik"|"Ulica Jožeta Jame 90
4088 Železniki"
"Živa Kuhar"|"Gosposka ulica 6c
4941 Ptuj"
"Janez Tomažič"|"Polje, cesta XXIV 4b
8068 Šentjur"
"Tatjana Kramar"|"Cizejeva ulica 1
6738 Ptuj"
"Maja Petrovič"|"Pot v mejah 3b
1361 Cerknica"
"Josip Popović"|"Vipavska ulica 8c
7281 Škofja Loka"
"Bojan Markovič"|"Soška ulica 43
5410 Tolmin"
"Tamara Zajc"|"Laknerjeva ulica 1
4704 Kobarid"
"Jerneja Mlakar"|"Borovniška ulica 4b
5762 Ptuj"
"Nuša Fras"|"Zvezdarska ulica 2
7413 Radovljica"
"Vanja petek"|"Levarjeva ulica 347
7254 Celje"
"Štefanija Lah"|"Štrekljeva ulica 2
7587 Ptuj"
"Bogomir Tomšič"|"Vrhovci, cesta XXXII 450
2557 Velenje"
"Kristijan Cvetko"|"Parmova ulica 8b
2799 Žalec"
"Maja Potočnik"|"Betettova cesta 6c
8704 Cerknica"
"Lara Blažič"|"Pot k ribniku 8b
2762 Žiri"
"Hedvika Furlan"|"Vrtna ulica 3b
7045 Trebnje"
"Ervin Rozman"|"Dvorni trg 39
9847 Slovenj Gradec"
"Tamara Pogačnik"|"Milčetova pot 871
3497 Ormož"
"Marjeta Pečnik"|"Štirnova ulica 3b
5515 Velenje"
"Dragica Vidovič"|"Berčonova pot 1c
5115 Višnja Gora"
"Romana volk"|"Trebušakova ulica 7b
5785 Krško"
"Vanja Hrovat"|"Spodnji Rudnik II 7a
4171 Trebnje"
"Dominik Logar"|"V Karlovce 2
0882 Sevnica"
"Maja Rus"|"Lepi pot 3a
0144 Logatec"
"Valter kuhar"|"Novakova pot 75
3354 Vrhnika"
"Filip Potočnik"|"Mačkova ulica 8c
8363 Sežana"
"Borut kuhar"|"Golarjeva ulica 5c
2642 Gornji Grad"
"Natalija Lah"|"Dolničarjeva ulica 9c
4986 Medvode"
"Alja Košir"|"Oražnova ulica 2
2580 Idrija"
"Dejan Rožič"|"Pot na Grič 273
0474 Domžale"
"Suzana Vodopivec"|"Ulica Nade Čamernikove 5a
6470 Zagorje ob Savi"
"Larisa Perko"|"Velnarjeva ulica 29
3082 Hrastnik"
"David Medved"|"Čevljarska ulica 31
5335 Velenje"
"Maja Čuk"|"Slapnikova ulica 0b
0186 Kočevje"
"Daniel Cvetko"|"Hlebčeva ulica 2b
8265 Trebnje"
"Marinka Zupančič"|"Hladilniška pot 9c
6404 Nova Gorica"
"Angela Hafner"|"Vrtnarska cesta 7c
3326 Vipava"
"Sonja Rožič"|"Polje, cesta XL 7c
3238 Slovenj Gradec"
"Damir Leskovar"|"Kanonijeva cesta 3a
5028 Vipavski Križ"
"Mirjam Majcen"|"Saškova ulica 4b
5641 Radeče"
"Albert Zalokar"|"Celovška cesta 5b
4113 Ruše"
"Borut Mavrič"|"Grška ulica 8b
5769 Sevnica"
"Gordana Dolenc"|"Ogrinčeva ulica 019
0916 Mengeš"
"Maks Medved"|"Martinčeva ulica 30
5597 Kobarid"
"Blaž Koren"|"Tometova ulica 4a
5209 Novo mesto"
"Vanja Ambrožič"|"Glavarjeva ulica 7b
7734 Logatec"
"Štefka Zemljič"|"Lovska ulica 91
2628 Višnja Gora"
"Dominik Hrovat"|"Žaucerjeva ulica 3b
9240 Lenart v Slovenskih goricah"
"Frančišek Kalan"|"Osojna steza 04
8276 Kočevje"
"Mira Kuhar"|"Ulica Rezke Dragarjeve 8b
1968 Kostanjevica na Krki"
"Joško Štrukelj"|"Med hmeljniki 86
2620 Višnja Gora"
"Mirsad Hrovat"|"Ulica borcev za severno mejo 5
8646 Radeče"
"Emil Lazar"|"Ob daljnovodu 6a
2329 Cerknica"
"Maks Mrak"|"Jurčičev trg 0
4207 Kočevje"
"Vincenc Černe"|"Stara Ježica 7a
6933 Železniki"
"Miro Knez"|"Lepodvorska ulica 5b
4189 Krško"
"Patricija Rožman"|"Ulica bratov Jančar 3c
2047 Jesenice"
"Rok Kokalj"|"Jazbečeva pot 8a
9078 Koper"
"Matilda Maček"|"Majde Vrhovnikove ulica 0
5210 Lendava"
"Mirko Lesjak"|"Makucova ulica 001
8269 Lenart v Slovenskih goricah"
"Iris Kovačič"|"Gašperšičeva ulica 687
7193 Dravograd"
"Jožica Toplak"|"Rjava cesta 92
4406 Trebnje"
"Rudolf Zorko"|"Polje, cesta VI 1b
0711 Žalec"
"Maks Popović"|"Dolinškova ulica 4c
5843 Tolmin"
"Ladislav Čeh"|"Polje, cesta XVI 865
6788 Sežana"
"Anica Erjavec"|"Vrbska ulica 8c
9240 Krško"
"Bernarda Kokalj"|"Kleče 921
2088 Koper"
"Davor Pečnik"|"Filipičeva ulica 55
4852 Železniki"
"Emilija Bizjak"|"Vilharjev podhod 7
8426 Bled"
"Olga Kovačič"|"Pot na Visoko 77
9658 Tržič"
"Ernest Žibert"|"Lorenzova cesta 1
9630 Koper"
"Miro Petrovič"|"Franketova ulica 8a
6436 Mengeš"
"Jan Bergant"|"Mačkov kot 0
3152 Laško"
"Maks Vidmar"|"Polje, cesta XXIV 5a
9895 Kranj"
"Stanko Žagar"|"Njegoševa cesta 4a
6599 Grosuplje"
"Štefanija Simonič"|"Švegljeva cesta 8b
5184 Ruše"
"Manca Erjavec"|"Spodnji Rudnik III 19
6702 Prevalje"
"Živa Babič"|"Cimermanova ulica 69
9769 Ljubljana"
"Gordana Leban"|"Trnovčeva ulica 0c
5499 Murska Sobota"
"Jožef Bregar"|"Osenjakova ulica 1
9283 Nova Gorica"
"Marinka Kočevar"|"Pot na Drenikov vrh 2b
1598 Bovec"
"Jasmina Kočevar"|"Rimska cesta 3b
0137 Šentjur"
"Melita Kolar"|"Travniška ulica 16
1890 Metlika"
"Maks Železnik"|"Govekarjeva ulica 51
6733 Idrija"
"Valentin Jamnik"|"Ulica borcev za severno mejo 0
9683 Trbovlje"
"Janko čeh"|"Travniška ulica 8b
5640 Prevalje"
"Petra Rožič"|"Mirje 0b
8594 Vrhnika"
"Bruno Žižek"|"Ulica Štefke Zbašnikove 3a
8758 Ilirska Bistrica"
"Manca Logar"|"Dolinarjeva ulica 01
0837 Kočevje"
"Blanka Žnidaršič"|"Hotimirova ulica 22
3605 Dravograd"
"Saša Kolar"|"Ulica Pariške komune 8
3188 Velenje"
"Suzana Lesjak"|"Prisojna ulica 3a
0241 Litija"
"Jelena Kramar"|"Pohlinova ulica 26
8119 Ribnica"
"Maksimiljan Eržen"|"Novo Polje, cesta XIX 2b
3688 Škofja Loka"
"Danijela Jovanović"|"Lepodvorska ulica 5c
6614 Metlika"
"Sandra Horvat"|"Usnjarska ulica 23
0865 Postojna"
"Mirjam Zupančič"|"Brglezov štradon 7
9322 Ljubljana"
"Valerija Vidovič"|"Joškov štradon 5a
8898 Sežana"
"Edvard Pintar"|"Ulica Ivice Pirjevčeve 756
7702 Jesenice"
"Matija Stopar"|"Laknerjeva ulica 5a
0958 Vipavski Križ"
"Nejc Hafner"|"Krožna pot 13
4597 Ormož"
"Nejc Kaučič"|"Kopališka ulica 4c
9371 Ljutomer"
"Iztok Ramšak"|"Pod bresti 349
4303 Kostanjevica na Krki"
"Maksimiljan Hodžić"|"Ulica Alme Sodnik 245
5230 Dravograd"
"Leon Jerman"|"Cesta v Legarico 3b
9597 Bovec"
"Jernej Vidovič"|"Polje, cesta XXX 1b
0684 Vipava"
"Rebeka Primožič"|"Ulica Minke Bobnar 2c
3706 Logatec"
"Davor Hrovat"|"Šestova ulica 1a
1497 Sežana"
"Lana Perko"|"Bizovški štradon 8b
0929 Kamnik"
"Mateja Bregar"|"Živinozdravska ulica 7a
9061 Črnomelj"
"Maksimiljan Bergant"|"Završje 976
9890 Višnja Gora"
"Anton Pečnik"|"Mlinska pot 14
0548 Gornja Radgona"
"Borut Rupnik"|"Mali trg 859
2817 Bled"
"Maksimiljan Krajnc"|"Dolharjeva ulica 7a
6380 Zagorje ob Savi"
"Anej Kobal"|"Sulčja ulica 7c
1328 Maribor"
"Anej Zver"|"Dalmatinova ulica 2b
5646 Turnišče"
"Dragan Logar"|"Praznikova ulica 00
7597 Ilirska Bistrica"
"Franci Zupan"|"Gregorinova ulica 204
8739 Lendava"
"Bogomir žagar"|"Gruberjevo nabrežje 0
0013 Jesenice"
"Suzana Jerman"|"Planinska cesta 8c
8438 Kočevje"
"Jadranka Simonič"|"Planinska cesta 2c
2221 Lendava"
"Rozalija Novak"|"Pod turnom 9a
8547 Mengeš"
"Lucija Cerar"|"Stegne 4b
1804 Velenje"
"Maksimiljan Lavrič"|"Murnova ulica 1
5411 Ptuj"
"Mirsad Žnidaršič"|"Chengdujska cesta 6
9606 Tolmin"
"Ernest Janežič"|"Preserska ulica 4c
4366 Ljubljana"
"Andrejka Tomažič"|"Mire Lenardičeve ulica 8c
0060 Laško"
"Sašo Jug"|"Zalaznikova ulica 8
5290 Logatec"
"Lara Marolt"|"Pipanova pot 0a
8229 Nova Gorica"
"Timotej Jamnik"|"Na Herši 32
7853 Mengeš"
"Darko Košir"|"Kanonijeva cesta 8a
1149 Grosuplje"
"Viktor Petek"|"Cesta Ljubljanske brigade 7c
8386 Lenart v Slovenskih goricah"
"Branko Rupnik"|"Vrhovci, cesta VI 9a
9733 Izola"
"Maksimiljan Žižek"|"Obrežna steza 4
4017 Ptuj"
"Jaka Erjavec"|"Mlinska pot 2
8106 Železniki"
"Ivana Golob"|"Matjanova pot 52
5322 Idrija"
"Gregor Kolenc"|"Kantetova ulica 9c
0734 Lendava"
"Jerica Bezjak"|"Puterlejeva ulica 162
3284 Bled"
"Zvonko Petek"|"Pod bukvami 0b
7003 Jesenice"
"Emil Pavlič"|"Martina Krpana ulica 67
5477 Izola"
"Eva Pavlič"|"Čučkova ulica 994
4527 Domžale"
"Jelena Černe"|"Vrhovci, cesta VI 752
7428 Kamnik"
"Kaja Medved"|"Detelova ulica 3b
6739 Črnomelj"
"Manca Babič"|"Tomačevo 95
8243 Piran"
"Sabina Mlinar"|"Prištinska ulica 36
5384 Trbovlje"
"Karl Bergant"|"Godeževa ulica 3b
4975 Turnišče"
"Gordana Zalokar"|"Cesta v Pečale 79
6818 Logatec"
"Mirko Korošec"|"Linhartova cesta 7a
3795 Tržič"
"Daniela Javornik"|"Gasilska cesta 1b
7590 Mežica"
"Štefka Lesjak"|"Prešernova cesta 6a
1204 Nova Gorica"
"Rudi Mihelič"|"Stara Ježica 1b
9585 Nova Gorica"
"Matej Rutar"|"Masarykova cesta 6b
5133 Sežana"
"Ines Pečnik"|"Porentova ulica 39
8163 Ravne na Koroškem"
"Manca Bregar"|"Zoisova cesta 228
3575 Slovenj Gradec"
"Jadranka Fras"|"Šestova ulica 151
0591 Dravograd"
"Elvis Rutar"|"Božičeva ulica 05
3552 Ljubljana"
"Albina Kos"|"Pleteršnikova ulica 3a
6046 Kostanjevica na Krki"
"Danilo Božič"|"Mali trg 2a
2495 Ilirska Bistrica"
"Erika Kumer"|"Snežniška ulica 9
3412 Prevalje"
"Justina Šinkovec"|"Murnikova ulica 681
6612 Žiri"
"Radovan Simonič"|"Andrićeva ulica 81
0487 Tržič"
"Simona Bevc"|"Ulica Rezke Dragarjeve 13
4183 Mežica"
"Ivan Sever"|"Gorjupova ulica 4b
9326 Hrastnik"
"Manca Kočevar"|"Gozdna pot 5c
7819 Laško"
"Slavko petek"|"Matjanova pot 89
9093 Žalec"
"Suzana Šinkovec"|"Kodrova ulica 0c
9606 Škofja Loka"
"Rado Lavrič"|"Ulica Lizike Jančarjeve 2b
6360 Črnomelj"
"Alja Pogačnik"|"Ulica Mirka Jurce 9
0820 Železniki"
"Eva Kumer"|"Polje, cesta XLII 59
7292 Mengeš"
"Cecilija Pavlin"|"Božičeva ulica 34
6997 Koper"
"Jasmin Dolinšek"|"Sojerjeva ulica 2b
7908 Črnomelj"
"Breda Pogačnik"|"Hauptmanca 5b
2029 Slovenj Gradec"
"Matilda Gomboc"|"Gruberjevo nabrežje 3a
5195 Grosuplje"
"Manca Novak"|"Jalnova ulica 853
8213 Višnja Gora"
"Mark Cerar"|"Breznikova ulica 073
5471 Novo mesto"
"Erik Sušnik"|"Ambrožev trg 38
5668 Sevnica"
"Alen Vodopivec"|"Ravnikova ulica 24
2584 Trbovlje"
"Stanislav Lebar"|"Ulica Rezke Klopčič 08
3913 Nova Gorica"
"Jani Bajc"|"Srebrničeva ulica 1
5150 Tolmin"
"Mihael Miklavčič"|"Frenkova pot 659
2241 Laško"
"Stanislav Zakrajšek"|"Na Palcah 1b
7369 Trbovlje"
"Klavdija Krajnc"|"Laknerjeva ulica 5b
0596 Laško"
"Branka Blažič"|"Vozna pot na Grad 6c
9881 Ljutomer"
"Manca Toplak"|"Pod gozdom 173
8572 Šentjur"
"Stanko Koželj"|"Kantetova ulica 5c
1191 Šoštanj"
"Bernard Bevc"|"Ulica Jožeta Jame 04
9097 Kočevje"
"Ludvik Cvetko"|"Kettejeva ulica 020
2989 Radeče"
"Liljana Filipič"|"Baznikova ulica 398
4771 Škofja Loka"
"Jani Klemenčič"|"Ulica Jožeta Jame 12
2336 Mengeš"
"Filip Bizjak"|"Ulica bratov Bezlajev 2
9734 Rogaška Slatina"
"Slavka Maček"|"Pot na Breje 5a
7557 Celje"
"Josip Mrak"|"Ptujska ulica 9
6581 Slovenska Bistrica"
"Antonija Hribernik"|"Rutarjeva ulica 759
4945 Trbovlje"
"Manca petek"|"Kurilniška ulica 698
4698 Hrastnik"
"Ljubica Gregorič"|"Ulica aktivistov 424
8427 Nova Gorica"
"Cvetka Blatnik"|"Stražarjeva ulica 120
9215 Gornji Grad"
"Nastja Bergant"|"Baznikova ulica 83
5274 Kočevje"
"Ervin Rutar"|"Novo Polje, cesta V 6
0707 Koper"
"Breda Erjavec"|"Ob pristanu 1c
2445 Ilirska Bistrica"
"Špela čeh"|"Vidergarjeva ulica 695
2819 Šempeter pri Gorici"
"Miloš Hribernik"|"Kodrova ulica 1
1433 Mežica"
"Stjepan Rozman"|"Joškov štradon 1a
5493 Lendava"
"Lana Bevc"|"Goljarjeva pot 69
3218 Laško"
"Manca petek"|"Robbova ulica 1
7254 Ajdovščina"
"Metka Bizjak"|"Na klančku 5
8170 Kranj"
"Valentin Kaučič"|"Malgajeva ulica 54
7315 Bled"
"Iztok Bezjak"|"Škofova ulica 0c
5208 Šentjur"
"Marinka Cvetko"|"Ob daljnovodu 35
4792 Vipavski Križ"
"Darko ribič"|"Ulica Francke Jerasove 937
7663 Slovenske Konjice"
"Maja Kranjc"|"Rjava cesta 3a
2951 Lendava"
"Adolf Horvat"|"Ulica Molniške čete 6
4672 Radeče"
"Katarina Gregorič"|"Pot v Mlake 7
4922 Kočevje"
"Slavka Blažič"|"Mirje 9c
6628 Ribnica"
"Manca Černe"|"Karingerjeva ulica 2b
6307 Piran"
"Polonca Zupanc"|"Grablovičeva ulica 3a
6821 Šoštanj"
"Lovro Zver"|"Pot v hribec 1
6721 Tolmin"
"Janez Potočnik"|"Lubejeva ulica 3c
0783 Prevalje"
"Žiga Zemljič"|"Kašeljska cesta 370
0495 Dravograd"
"Marica Kalan"|"Železnikarjeva ulica 5a
2448 Škofja Loka"
"Andrej Likar"|"Hribernikova ulica 65
5062 Mengeš"
"Iris žagar"|"Ob žici 543
8018 Laško"
"Matilda Furlan"|"Žalska ulica 926
8023 Litija"
"Tjaša Horvat"|"Forsterjeva ulica 6a
8917 Laško"
"Marica Bergant"|"Clevelandska ulica 3a
7647 Kranj"
"Pavel Cerar"|"Študentovska ulica 2b
6847 Izola"
"Jelka Žižek"|"Dečkova ulica 9c
8208 Novo mesto"
"Nejc Leskovar"|"Primorska ulica 49
9447 Izola"
"Albert Koren"|"Pot na Gradišče 2c
3047 Ptuj"
"Matic Tavčar"|"Cesta v Dvor 71
0075 Idrija"
"Damir Furlan"|"Merčnikova ulica 9
5377 Železniki"
"Metka Božič"|"Nahlikova ulica 3c
2465 Idrija"
"Marko Štrukelj"|"Sončna pot 8c
4253 Radovljica"
"Jaka Potočnik"|"Slomškova ulica 609
7969 Tolmin"
"Marica Filipič"|"Vrhovci, cesta XIV 031
7992 Postojna"
"Urška Gregorič"|"Predjamska cesta 1b
8304 Laško"
"Matjaž Kovač"|"Polje, cesta XXXII 2c
4568 Grosuplje"
"Ljudmila Godec"|"Carja Dušana ulica 8a
1705 Izola"
"Alojzij Božič"|"Mislejeva ulica 4a
8430 Litija"
"Pavla Jug"|"Vregova ulica 3
1052 Novo mesto"
"Štefka Rozman"|"Krovska ulica 8b
5437 Novo mesto"
"Maša Blatnik"|"Martina Krpana ulica 13
2203 Koper"
"Danijela Kolar"|"Bolgarska ulica 26
2961 Šempeter pri Gorici"
"Boris Lesjak"|"Majaronova ulica 7
9699 Ormož"
"Marica Jamnik"|"Gortanova ulica 0a
5674 Trbovlje"
"Julija Majcen"|"Zadružna ulica 96
1484 Murska Sobota"
"Rafael Mihelič"|"Cesta v Kostanj 0a
8750 Kobarid"
