"Aaron Allen"	"PO Box 19
Wekanui 5389" 
"Mark Boyd"	"PO Box 62
Rohewhitu 9388"
"Amelia McCallum-Lamb"	"15 Wekataitanga Street
RD 9
Rohetoa 5555"
"Katie Flood"	"Unit 12
89 Awarohe Crescent
Koromakau 8970"
"Phillip Davis-Low"	"61 Cooksley Road
RD 7
Fitzgeraldberg 2096"
"Ayla Jackson"	"Suite 559
242 Barnett Place
Richardsleigh 9664"
"Richard Munro-Simmons"	"796 Clifford Way
Johansenmouth 2429"
"Joseph Coley"	"22 Matapapapangauru Street
Kowhaitau 6481"
"Oliver Cunningham"	"2 Aramanawa Avenue
Pokowhairoto 8193"
"Warren Seymour"	"Unit 89
10 Smith Avenue
Tipurangi 9336"
"Kerry Newman"	"4 Kawatai Street
Nicholson Hill 0788"
"Mark Carr"	"2 Koromatarangi Street
Tiputipuwhenua 6034"
"Brooklyn McKay"	"PO Box 686
Boydhaven 5276"
"Paul Rayner-Mason"	"4 Green-Barnes Road
RD 8
New Masonburn 9496"
"Tia Hart"	"2 Tangirangi Range Road
McKay Hill 3514"
"Graeme Wallace"	"29 McKay Beach Road
Kawawhanga 9526"
"Amy Laing"	"896 Zion Heights
Whangatanga 6147"
"Anthony Pedersen"	"Apt. 177
28 Scott Avenue
Rotopo 9329"
"Karen Collis"	"PO Box 2
Robertsneath 8206"
"Logan Nicholson"	"3 Manawatai Street
Tangirangiwhero 2604"
"Connor Guard"	"Apt. 619
4 Cook Street
Waikowhaimata 2394"
"Mark Davis"	"986 Marshall-Page Road
South Eatonmouth 2171"
"Richard Sutton"	"2 Matamanawa Reserve
Blickville 6417"
"Alexander Waters-McKay"	"Unit 96
64 Gray Street
Burnsmouth 0925"
"Kayla Blake-Pollard"	"PO Box 86
Ngauruwhakawhitu 2145"
"Zachary Burton"	"9 Wakawhangawhare Street
Coleygate 2043"
"Ethan Nicholson"	"7 Wekawaihope Road
RD 9
Tangikiwi 8801"
"Penelope Davis"	"1 Keira Street
Lower Thompsonburgh 7768"
"Mary Best"	"268 Pratt Track
Christiansenburn 6457"
"Emily Smith-Schwass"	"Unit 58
21 Rotowekarua Drive
Ngaurumotutanga 9682"
"Paul Bell-Freeth"	"PO Box 50
Rangitauawa 9884"
"Mark Farland"	"752 Ryan Beach Road
Tahirohe 8869"
"Melissa Lewis"	"Level 9
900 Whangapapapa Street
Wharemataweka 2196"
"David McKinnon-Campbell"	"PO Box 4
Maungakawatanga 2669"
"Annabelle Morrison"	"3 Amanda Centre
Lucying 8453"
"Justin Cragg"	"Unit 11
8 Hart Parade
Skinnerbury 2087"
"Jennifer Moore"	"9 Shand Street
Searle Flats 8698"
"Donald Dixon"	"PO Box 915
Kororoa 9562"
"Christopher Webster"	"8 Awamanawa Street
Rongomata 2548"
"Wendy Jenkins-Pritchard"	"35 Awarohe Avenue
Hollandleigh 2013"
"John Craig"	"24 Motuhope Beach Road
Mataiti 4483"
"Mark Forsyth"	"4 Hayes Way
Greenburn 6459"
"Sandra Wood"	"9 Tamara Circle
Colemanberg 8524"
"Mark Horton"	"Level 8
7 Brown Street
Wakawhakaiti 6990"
"Robert O'Connell"	"Apt. 628
3 Blair Anchorage
Ngaururangipo 2224"
"Rebecca Linton"	"155 Terewhenua Street
RD 8
Jordanhaven 8241"
"Caitlin Dick"	"94 Todd Way
Waiweka 6184"
"Jason Gray-Wood"	"Flat 22
85 Chandler Corner
Bartlettgate 8483"
"Karen Thompson"	"Apt. 358
98 Papapawhangarongo Flats
Horowhare 9673"
"Alan Jordan"	"3 Thompson Beach Road
Harrisneath 2279"
"Brian Thompson"	"899 Perry Street
Awapo 5569"
"Mark Gee"	"PO Box 6
Upper Baldwinmouth 5055"
"Steven Lawson"	"745 Fleming Avenue
Matahoro 9220"
"Terence Allen"	"499 Kawangaurutau Street
RD 5
Pukekoro 9458"
"Jayden Baxter-Grant"	"PO Box 295
Graygate 5351"
"Margaret Buckley"	"7 Wekamakau Street
Edmondsmouth 2129"
"Max Morris"	"PO Box 286
West Enrightside 5291"
"Kate Taylor"	"2 Wharepuke Line
Kennedymouth 3311"
"Megan Cameron"	"386 Awanui Street
RD 4
Alexandertown 3869"
"Charlotte Allen"	"2 Sandra Drive
MacKay Flats 0114"
"Jayden Cairns"	"PO Box 8
Arawhaka 6227"
"Mark Gleeson"	"81 Graeme Street
Brownburn 2370"
"Maya Cresswell"	"Flat 95
4 Parkes Street
Tahikawa 4141"
"Sandra Ramsay-Scott"	"PO Box 448
Wood Flats 8063"
"Kim Armstrong"	"34 Parker-Brown Way
Daveying 2434"
"Nicholas Baird-Zimmerman"	"944 Tererangi Street
Geeneath 0427"
"Scott Campbell"	"148 Rongotangitanga Drive
Horokowhaitai 2637"
"Judith Ham"	"1 Croad Square
RD 1
Fowlerberg 8050"
"Martin Dawick"	"6 Seymour Parade
Tiputapu 7031"
"Sarah Chandler"	"33 Potipu Terrace
Pikestone 9047"
"Aaron Smith"	"898 Taylor Park
Gray Hill 9831"
"Mark Harper-Russell"	"318 Craw Amble
Waitai 2606"
"Daniel Shaw"	"1 Boniface-Griffiths Approach
RD 2
Arahorokawa 9755"
"Emma Kelly"	"Flat 66
381 Alyssa Road
Jenkinsneath 8614"
"Hamish Gill"	"842 Rohenuku Road
Kawakoronui 5140"
"Jessica Burns"	"2 Potau Avenue
Koropuke 2450"
"Paula Howard"	"109 Arakowhai Street
Francisbury 8226"
"Donna Owen"	"PO Box 867
Anthonyings 5134"
"Tracy Holmes"	"8 Maree Beach Road
RD 7
Daveyport 1969"
"Anna Avery"	"Flat 24
44 Ngaururoto Street
McEwentown 9503"
"Michelle Watkins"	"48 Mokotangimoko Range Road
RD 7
Williammouth 2001"
"Mark Harper-Stevens"	"9 Gillespie Close
Satherleyneath 8041"
"Tony Murphy"	"4 Brown Place
RD 4
Andreaside 8276"
"Liam Powell"	"7 Awakawa Crossing
Matheson Hill 2337"
"Margaret Vercoe"	"3 Taipapapa Street
Tangimaungamata 5183"
"Mary McDonald"	"630 Mokokoro Cove
RD 3
Mokotangi 6082"
"Steven Perano-Taylor"	"7 Tangirohemanawa Parade
Moranstone 8873"
"Debra O'Sullivan"	"39 Smith Arcade
Pearsonburgh 1873"
"Bruce Searle"	"PO Box 6
Middlemissport 6150"
"Nicole Walton"	"440 Pedersen-Boon Cross
Mataroto 8635"
"William Davison"	"Apt. 558
899 Rangiwharerua Arcade
Tangitere 0605"
"Mark Hawkins"	"941 Rongopapapa Cross
RD 8
Manawanui 6069"
"Angela Smith"	"4 Tiputoa Street
Langbury 8539"
"Max Doyle-Campbell"	"52 Rongotangiroto Drive
Morganton 5174"
"Scott Anderson"	"3 Mataarapapapa Terrace
RD 6
Schwassville 2220"
"Paul McMahon"	"2 Wekarohe Mews
Kawakiwi 2150"
"Kate Moran"	"Flat 52
60 Johnston Square
Craggburgh 9033"
"Aimee Webb"	"3 Rangiarawhanga Road
Lake Powellmouth 9885"
"Melissa Price-Jones"	"844 Maungapo Street
Smithing 8544"
"Kaleb Murdoch"	"59 Mary Lane
Manawanui 2127"
"Isabelle Hopkins"	"417 Whangatai Road
Graceton 9841"
"Mark Lucas"	"425 Wills Road
Chapmanhaven 5102"
"James Lucas-Bishop"	"783 Liam Street
Lake Daviesfort 0303"
"Amber Donaldson"	"9 Arakawa Broadway
Tangikowhaiiti 2256"
"Debbie Simmons"	"796 McKay Street
RD 4
Orchardside 5539"
"Judith Hansen"	"677 Motuweka Close
RD 6
Tipuiti 8104"
"Christine Brown-Baldick"	"PO Box 339
Andersonmouth 3306"
"Peter Pedersen"	"Apt. 622
27 Laurenson-Gore Road
Tangiwaka 9806"
"Rory McMillan"	"80 Bright Gardens
Maungamoko 6925"
"Karen Perry"	"PO Box 39
Tiputerepuke 8817"
"Joanne McIntosh"	"Suite 649
851 Mudgway Street
Reiding 4382"
"Mark McKenna"	"891 Motunui Place
Mitchellstone 6031"
"Michael Thompson"	"2 Allen Range Road
Colemanmouth 8066"
"Freya Sinclair"	"975 Anna Street
Langstone 8576"
"Michael Forrest"	"7 May Street
RD 8
Dickleigh 5069"
"Peter Nicholas-Allen"	"Apt. 369
545 Rangiwhitu Road
Graceside 6283"
"Jacqueline Fleming-Clarke"	"Flat 83
6 Wekakiwi Terrace
Whakatahirongo 9827"
"Gregory Jones"	"47 Motuawakiwi Track
West Russelling 8920"
"Christopher Lloyd"	"484 Dyer-Evans Road
Tahikawa 9454"
"Daniel Thomas"	"Apt. 827
623 Amelia Beach Road
High Crawfording 2066"
"Craig Maxwell"	"480 Matakowhai Causeway
Matatahikawa 6035"
"Mark Ryan"	"Level 9
1 Corlett Avenue
Kawamaungawhaka 3718"
"Michael Russell"	"PO Box 5
Clarkeville 1784"
"Nicola Burton"	"1 Hororoherangi Arcade
Murphymouth 3024"
"Sally Stace"	"36 Pukepapapa Circle
Mokotaurohe 6243"
"Deborah Thomas"	"Unit 49
765 McMillan-Gordon Broadway
Mount Daltonbury 5744"
"Kerry Anderson"	"PO Box 466
Greenleigh 2070"
"Jacob Small-West"	"460 Stewart Road
New Matthewsfort 5886"
"Timothy Scott"	"PO Box 592
Matthewsmouth 8407"
"Mya Jackson"	"5 Thomas Centre
RD 8
Gilchristmouth 5146"
"Donna Thomas-Taylor"	"85 Grant Lane
New Johnstonborough 8279"
"Mark Sullivan"	"27 Baker Terrace
Whakahoro 5869"
"Gregory Davis"	"634 Allerby-Edwards Alleyway
RD 9
Awaroto 8818"
"Jackson Evans-Moody"	"822 Adams Avenue
Mount Faulknerstone 8214"
"Sharon Brown-Mitchell"	"438 Taimoko Avenue
West Mudgwayneath 8026"
"Christine Scott"	"46 Buckley Drive
Horotipu 5337"
"Kayla Lucas-Scott"	"73 Burt-Roberts Drive
Horotahi 9251"
"Linda Wood"	"42 Mokorongorua Grove
Wakaroto 8880"
"Jessica Whyte"	"4 Evans-Williams Road
Strawbridgehaven 4551"
"Julie Henderson"	"11 Rotowakatere Parade
Lake Belltown 2627"
"Susan Williamson"	"PO Box 737
Pickeringville 3806"
"Mark Taylor"	"637 Smith Place
RD 2
Matatahi 8588"
"Jeremy Walton"	"7 Davis Beach Road
Korowaitanga 8995"
"Julie Hawkins"	"1 Wharehoro Cross
Bartlett Flats 6297"
"Kate Oliver"	"PO Box 13
Koroponui 8149"
"Manaia Reid"	"PO Box 89
Williamsneath 4908"
"Julie Newman-Cole"	"997 Wallace Keys
RD 8
Daviesing 6173"
"Alan Conway-McEwen"	"609 Brown Road
Boycebury 2242"
"Simon Duncan"	"355 Tapp-Foot Broadway
Benside 2555"
"Rebecca Newman"	"5 Morgan Crossing
Rohewaka 9256"
"Louise Hills"	"28 Taiwhaka Reserve
Webbybury 1951"
"Mark Weston"	"PO Box 53
Horohoro 7855"
"Kerry Rose"	"711 Hannah Court
RD 2
Prousebury 9790"
"Alexander Lamb"	"40 Joanne Street
Kirstenbury 2019"
"Daniel Taylor"	"284 Lawson Arcade
RD 1
Matthewsstone 5813"
"Jeremy Barnett"	"32 Hills-Lucas Avenue
Whakakowhai 1588"
"Justin Waters"	"Level 8
695 Pukepomaunga Mews
Ngaurupuke 5787"
"Phoebe Rowlands"	"691 Tangitapu Park
Yorkmouth 6252"
"Janine Pedersen-Bryant"	"336 McIsaac-Hansen Alley
RD 7
Waiwhero 2473"
"Jason Mitchell"	"464 Ngauruhanga Avenue
Maungangauruwaka 9557"
"Steven Paul-Gee"	"PO Box 9
Woolley Flats 2029"
"Martin Morton"	"69 Gardiner Street
Rohekorowhanga 2013"
"Mark Davis"	"PO Box 1
Croadburgh 9535"
"Wayne Prentice"	"3 Henderson Grove
Huddlestonside 2341"
"Robert Francis"	"892 Thomas View
Conwaybury 8957"
"Jacob Hyde"	"86 Gill-Horn Broadway
Wharenui 8835"
"Ryder Pearson"	"363 Whakawai Esplanade
RD 2
Awawaka 2416"
"Kyle Hughes-Jensen"	"39 Matatai Road
RD 3
Aaliyahtown 2010"
"Bronwyn Wheeler"	"27 McCormick Street
Port Jonesland 6100"
"Claire Ward"	"PO Box 296
Pukewakawai 2697"
"Nikora Martin"	"8 Turner Way
Tangiawa 7116"
"Martin Sullivan"	"708 Forrest-Smith Pass
RD 2
Taumaunga 2264"
"Rochelle Lewis"	"1 Tangipapapanui Broadway
Port Fieldton 5885"
"Sebastian Spencer"	"9 Rohekawaroa Road
Prattville 2119"
"Robert Hume"	"615 Arawaka Circuit
RD 8
Barnettbury 5794"
"Paul Blackwell"	"PO Box 1
Tipumotupapapa 8692"
"Shaun Ireland"	"PO Box 3
Horotaiwaka 5269"
"Anika Knight"	"PO Box 563
Rutherfordville 7513"
"Claire Knight"	"PO Box 453
Smithbury 8127"
"Julie Short-Perry"	"69 Hansen Avenue
Samuelport 2202"
"Michael Hamilton"	"640 Walsh Avenue
MacKayburgh 5890"
"Martin Williams"	"1 Millard-Bryant Grove
Fairhallmouth 6997"
"Mathew Cole"	"71 Anderson Pass
Whangamotu 9326"
"Donald Shaw"	"7 Day Corner
RD 6
Mount Mortimering 9056"
"Maddison Goodwin"	"415 Ritchie-Crawford Keys
RD 1
Matakawa 8672"
"Stephen Harris-Miller"	"22 Bell Cross
Potahitipu 2015"
"Archie Gledhill-Berry"	"817 Coleman Ridge
RD 5
Pomotu 2658"
"William Martin"	"549 Bryant Drive
Matatapu 9822"
"Steven Neal"	"47 Motunui Bypass
Rotomanawawhenua 5247"
"Karen Jensen"	"50 Neal Avenue
Fowlerstone 8539"
"Stephen Olsen-Freeth"	"3 Wekarototere Circuit
Teretahihanga 8410"
"Mary Bradley-Jackson"	"40 Sophie Street
Cameronbury 8295"
"Rebecca Jackson"	"Unit 55
2 Russell Road
Oliverstone 5788"
"Maya Jenkins"	"540 Harrison Street
Peterport 2323"
"Benjamin Pope"	"PO Box 7
Courtneyton 8236"
"Benjamin Day"	"PO Box 972
West Pikegate 6478"
"Nigel Jenkins-Horn"	"PO Box 110
Taihoronui 6214"
"Samantha Sowman"	"84 Porohewai Street
RD 9
Hollyport 7475"
"Dianne Foot"	"1 Rohekawawhenua Access
North Munrobury 6037"
"Peter Riley"	"8 Chandler Crescent
North Cooksleyburgh 2005"
"Joseph Holloway"	"247 Robin Gardens
Laneleigh 5267"
"Mary Campbell"	"Level 2
1 Millar-Gibbs Beach Road
Waitairoto 5136"
"Ruby Patchett"	"72 Ararongo Way
Rotopapapaiti 5575"
"Rachael Jacques"	"66 Taukowhai Street
RD 8
Nealburn 2451"
"Allan Fox"	"PO Box 396
North Williamsneath 8075"
"Christopher Ritchie"	"321 Kaitlin Approach
Tautangi 2619"
"Matthew Zimmerman"	"35 Whakatere Terrace
RD 2
Whakatanga 2487"
"Jennifer Rogers"	"937 Whakarangi Street
Gilbertside 0353"
"Aroha Pickering-McManaway"	"PO Box 3
Wattbury 5339"
"Anna Pope-Dillon"	"PO Box 172
Kowhaihope 1902"
"Jason Hills-Moore"	"Level 4
2 Boyce Avenue
West Banksing 9822"
"Mary Gibson"	"4 Ngaurunui Flats
Porotopuke 2663"
"Lisa Cook"	"854 Rangirangirohe Concourse
Smithhaven 2010"
"Wendy McMurray"	"764 Cook Beach Road
Matatauroto 8264"
"Charles Field"	"886 Whyte Street
RD 7
Fisherborough 9312"
"Rachel Cook"	"9 Simon Beach Road
McCormickmouth 5773"
"Sophie Ward"	"PO Box 6
Teretereroto 1521"
"Scarlett Stratford"	"418 Carpenter Beach Road
Mokotanga 8081"
"Georgia Perry-Gilchrist"	"240 Natasha Heights
RD 1
Puketipurangi 8073"
"Matthew Stubbs-Jones"	"73 Taipapapa Street
RD 6
Richardleigh 1642"
"Shane Jones"	"5 Steven Beach Road
Cairnsleigh 3527"
"Mary Greer-Terry"	"1 Andrew Quay
Pukemokoroto 6415"
"Zachary Prentice"	"Unit 25
95 Larsen Street
Kowhairohe 5043"
"Neil Larsen"	"2 Harris-Jones Street
McDonaldmouth 8551"
"Laura Barr"	"89 Ingram Avenue
Butcher Hill 6964"
"Timothy Pedersen"	"6 Baker-Thomas Centre
Whangaweka 6103"
"Debra Holmes"	"Unit 85
7 Logan Avenue
Upper Fox Flats 5776"
"Colleen Reardon"	"21 Thornton Crescent
Russelling 4997"
"Samuel Smart"	"PO Box 62
High Jenningsburn 0401"
"Aaron Edwards"	"575 Wharerohe Ridge
RD 6
Eatonbury 5329"
"Brianna Simpson"	"76 Shepherd Road
Knightville 2032"
"Mary Newman"	"Flat 82
3 Peter Amble
Ryanhaven 5219"
"Andrea Hills"	"PO Box 738
Port Knowlesmouth 6187"
"Zachary Neal"	"75 North Plaza
Tereterehope 9029"
"Joanne Hepburn"	"Apt. 534
4 Armstrong-Prouse Anchorage
Smallings 9486"
"Jennifer Price"	"903 Mudgway Beach Road
RD 6
Tipukawa 4415"
"Caitlin MacKay"	"781 Wharengauru Cutting
Mount Patchettside 9425"
"Kathryn Greer"	"3 Tangiwairoto Quay
Evansburgh 9656"
"Christine Lee"	"PO Box 9
Tairoa 5054"
"Cole Eglinton"	"579 Rotonuku Way
RD 7
Stuarttown 5765"
"Benjamin Jones"	"80 Dick Road
Rogerstown 2458"
"Mary Russell"	"Apt. 656
592 Whakawhakarohe Approach
Tahirohengauru 9747"
"Kauri Bright"	"824 Manawaroa Street
Danieling 6146"
"Samantha Powell"	"721 Papapapo Road
Whangamatawhenua 5219"
"Melissa Wallace"	"64 Smith Street
Papapamaunga 2239"
"Nicole Wallace-Craven"	"Level 9
56 Davies Street
Smithport 3383"
"Natasha Jordan-Potter"	"89 Cresswell Road
Middlemissmouth 1051"
"Julie Roberts"	"90 Vanessa Avenue
Puketoa 3861"
"Anthony Bell"	"72 Montgomery-Wallis Amble
Wekahope 5898"
"Sharon Parkes"	"Level 1
830 Porongo Cove
Ethanborough 6189"
"Diane Gibson"	"Level 5
34 Puketipuroto Avenue
West Pedersenside 6295"
"Mary Smith"	"PO Box 3
Awapukerangi 8822"
"Krystal Hamilton-Stevens"	"584 Smart Arcade
Rodgersbury 7691"
"Elizabeth Jellyman"	"5 Harris Street
Horowhare 2503"
"Hannah Wong-Doyle"	"18 Maungaawa Drive
Horotapu 6056"
"Elaine Martin-Williams"	"60 Whangamokomakau Cross
RD 7
Wharewhare 4231"
"James Mortimer"	"7 Deborah Range Road
O'Donnellburn 9271"
"Anita Eglinton"	"7 Luca Access
McIsaac Hill 6457"
"Debbie Smith"	"PO Box 41
Manawanui 1828"
"Stephanie Davies"	"5 Ararua Track
East Marshallmouth 9224"
"Clinton Thompson"	"237 Davidson Cross
RD 8
Rangiara 4909"
"Mary Stewart"	"613 Korongaurutanga Avenue
Howardings 0706"
"Grant Gibson"	"PO Box 121
Rangiawanuku 8954"
"James Bowden"	"PO Box 2
Beauing 2525"
"Maureen Ireland-Mitchell"	"599 James Drive
Upper Chandlerleigh 9668"
"Liam Ireland"	"Unit 66
120 Jade Circle
Bestings 5254"
"Hunter Middlemiss"	"1 Rayner-Willis Terrace
Maungarangi 9218"
"Anthony Fitzgerald"	"PO Box 86
South Buchananside 8400"
"Jacqueline Reid-Owen"	"53 Olivia Road
RD 2
Greenleigh 6921"
"Jenna Campbell"	"403 Victoria Street
Ngauruwekakiwi 2180"
"Neil Andrew"	"460 Kawapowhanga Place
Hollandburn 7715"
"Mary Webby"	"139 Dixon Terrace
Whangaterenui 1064"
"Jane Spelman"	"Flat 30
43 Smith Street
Davidmouth 6910"
"Sarah Munro"	"PO Box 825
Simonville 5730"
"Ross Gibbs"	"7 Kowhaihope Quay
Papapaporoa 2100"
"Finn McFarlane"	"Unit 48
83 Ngaurungauruwhaka Street
Mokotanga 8521"
"Mary Black"	"PO Box 46
Findlayleigh 8911"
"Susan Matthews"	"Apt. 804
738 Morris Beach Road
Papapamoko 4047"
"Kaia Neal"	"610 Lucas-Edwards Circuit
Freethburn 9787"
"Mitchell Nicholas-Stevenson"	"4 Warner Arcade
Olsening 6043"
"Abigail Brown-Ward"	"14 Taylor-McKay Broadway
Jeffries Hill 8060"
"Mason Perrin"	"8 Wekawhakarangi Court
Whangaiti 2157"
"Annette Trask"	"39 Awamanawa Arcade
Susanburn 9636"
"Adrian Booker"	"3 Terekowhainuku Arcade
Rangipapapa 4307"
"Ataahua Lammas-Anderson"	"344 Paul Drive
Kowhaihoro 5728"
"Alex Parker"	"7 Georgina Street
Knightneath 8410"
"Paul Marshall"	"5 Robyn Square
Whangawhenua 2678"
"Janine Aberhart"	"Apt. 630
3 Priest Plaza
Manawawhero 9017"
"Oliver Eden"	"246 Hororangi Street
Kawarohewhitu 2166"
"Emma Mears"	"1 Maungamanawawhero Heights
Scottberg 6052"
"Mark Martin"	"642 Wills Mews
Rohemokotangi 2447"
"Mathew Pedersen"	"882 Miller Crescent
Kowhaipuketere 6481"
"Sarah Currie-Manson"	"PO Box 36
New Southee Flats 4686"
"Rose Cunningham"	"8 Dalziel-Stewart Beach Road
RD 9
Martinport 6079"
"Jade Hooper"	"Unit 32
14 Martin Keys
Colemanville 5852"
"Katrina Carter"	"PO Box 626
Thompsonfort 9082"
"Hamish McPherson"	"PO Box 7
Patricktown 6163"
"Fiona Turner"	"5 Parkes Line
Shepherdborough 8467"
"Jayden Hood"	"9 Kowhairoa Plaza
Longings 5360"
"Hamish Jefferies"	"372 Craw-Murphy Circuit
Terewhenua 9073"
"Brooke Simpson"	"Flat 34
5 David Crescent
Simonland 9638"
"Matilda Evans"	"7 Taitai Road
Awanui 9384"
"Martin Fisher"	"PO Box 30
Rangikiwi 8054"
"Claire Hart"	"5 MacDonald Street
Aratoa 8836"
"Christopher Hart"	"794 Tangiwhenua Street
RD 1
Westport 2276"
"Rebecca Williams"	"83 Carter Street
RD 9
Brownborough 8536"
"Craig O'Keefe"	"41 Katie Circuit
RD 2
Taiiti 2459"
"Susan Nicol"	"PO Box 14
Ngaurutere 9898"
"Annette Brown"	"PO Box 53
Barnesmouth 8167"
"Rebecca Thompson"	"8 Leo Street
East Jackson Flats 5709"
"Owen Thompson"	"1 Mercer Pass
RD 9
Knightville 9049"
"Matthew Anderson-Williams"	"266 Harris Drive
Wharengauru 9650"
"Benjamin Lang"	"69 Maungapapapa Mews
Pukewhenua 9384"
"Aaron Prouse-Day"	"7 Smith Place
Wakahope 2106"
"Stephanie Faulkner-Norton"	"7 Waiwhero Access
Matanuku 4360"
"Nicole Boyle"	"55 Ararongowai Road
Pricehaven 9450"
"Oliver Sullivan"	"2 Arapapapa Terrace
Mount Morrising 6044"
"Alexander Thomas-Donaldson"	"574 Matahoro Arcade
Kororohe 6135"
"Joanne Davey"	"29 Matthew Avenue
Tahirua 1883"
"Yvonne Huddleston"	"Apt. 663
8 Wekahanga Centre
Pohanga 2258"
"Julie Taylor"	"PO Box 9
Kennyland 5007"
"Matthew Baker"	"39 Cooksley-Davey Approach
Mokowharewhero 8436"
"Colin Coleman"	"358 Matarohewaka Beach Road
Brownhaven 9333"
"Hunter McIntosh"	"486 Morris-Anderson Crescent
RD 2
Kowhaiwhangangauru 0207"
"Kimberley Goodwin"	"8 Maria Road
Wharetere 8038"
"Gillian Lucas"	"5 Rongowekapuke Road
Thomasport 6909"
"Patricia Evans"	"8 Gill Approach
Natashahaven 8213"
"Tamati Scott"	"PO Box 2
Rangipapapa 2137"
"George Hopkins-Lee"	"44 Millard Place
Terrying 2028"
"Linda McEwen"	"PO Box 2
Rotopuketoa 6174"
"Sophia Simpson"	"Level 5
1 Watt Amble
Waitangi 9478"
"Matthew Cooksley-Manning"	"PO Box 377
Mokotere 5748"
"Anthony Burton-Huddleston"	"769 Awaawa Avenue
RD 4
Matamata 9069"
"Bruce Armstrong-Howard"	"342 Prentice Quay
Hansonland 2072"
"Megan Wells"	"PO Box 80
Mount Hudsonhaven 9420"
"Melissa McMurray"	"890 Sophie Terrace
Papapapo 9023"
"Anne Bowden"	"Flat 36
344 Taihoro Mews
Whytefort 8636"
"Sandra Gardiner"	"PO Box 511
Stevenstown 6426"
"Jennifer Gray"	"PO Box 573
Papapatangimata 5772"
"Paul Porter"	"PO Box 54
Korowhaka 3326"
"Martin Terry"	"60 Awarua Place
Davidsonneath 6996"
"Matthew Davis"	"42 Todd Street
Beardburgh 8840"
"Stacey Steele"	"4 Morrison Park
Webbtown 5236"
"Matilda MacPherson-McKenna"	"306 Korowairangi Causeway
RD 10
Lyonmouth 8112"
"Nigel Smith-Aitken"	"154 Hayward Court
Lukabury 5076"
"Wayne Freeth"	"Unit 49
895 Manawawhare Place
Whangapapapa 2348"
"Olivia Gardiner-Williams"	"Unit 39
93 Michelle Ridge
Tererohewhitu 7019"
"Susan Ellery"	"60 Laura Terrace
RD 1
Lower Warding 2137"
"Carl Tucker"	"51 Mason Road
RD 3
Porohe 6219"
"Kyla Adams"	"165 Hannah Crescent
Wharewhenua 5350"
"Andrew Sheridan"	"PO Box 3
Kawawhitu 5594"
"Matthew Fuller"	"58 Burgess Trail
West McIntoshleigh 9094"
"Vicki Thomas"	"4 Ward Place
Evansborough 9695"
"Victoria Smith"	"891 Buchanan Street
Smithside 8656"
"Emma Turnbull"	"39 Webster Cross
Shannonborough 2314"
"Samantha Thomas"	"468 Knowles-O'Brien Causeway
Wharenui 2450"
"Sophie Cameron"	"4 Sixtus-Morton View
Tipuwhangarongo 1910"
"Michael Parker"	"12 Rongotapu Drive
Mokotahimotu 9751"
"Max Coleman"	"972 Manawahanga Street
McKaymouth 5114"
"Warren Orchard-Olsen"	"Flat 74
14 Riley Copse
Taylorfort 5345"
"Sam Kemp"	"33 Thompson Terrace
Gillespieings 6904"
"Matthew Grant"	"Suite 907
31 Tangimokoawa Access
Mount Costelloside 9612"
"Aaliyah Wallace"	"459 Rongomokotangi Anchorage
Simmonsleigh 5129"
"Sarah McLeod"	"PO Box 267
Steelemouth 1810"
"Kate Middlemiss"	"421 Spencer Crossing
Whakahope 9563"
"Catherine Dalziel-Hughes"	"6 Tiputoa Track
RD 6
Tangihorowhitu 5092"
"Levi Mitchell-Middleton"	"4 Stuart Rise
Tangirangi 5898"
"Blake Allen"	"818 Stuart Avenue
RD 8
Kawahope 5382"
"Joshua Craig"	"Level 8
567 Butler Cove
Wharekoro 9389"
"Phillip Jennings"	"468 Morgan Causeway
Lower Hollowayfort 7745"
