"Aaliyah Ritchie"|"467 Korokawa Anchorage
Smithleigh 6493" 
"Paul Little"|"PO Box 510
Herdburn 9489"
"Nigel Butler"|"PO Box 894
Wakapowhare 5109"
"Sam Baird"|"Suite 412
613 Davis-Rowlands Street
Taiiti 6954"
"Jared Oliver"|"4 Taitapu Road
RD 5
Rotonui 2531"
"Colin Ryan"|"PO Box 863
Morrisongate 5540"
"Zoe Harris"|"PO Box 104
Callummouth 9022"
"Sharon Thompson-Cox"|"9 Cunningham Arcade
Tipuiti 5323"
"Jayden McIntosh"|"116 O'Leary Avenue
Rotohope 6964"
"Jeremy Boyd"|"21 Jensen Avenue
Whakamanawa 9301"
"Susan Waugh"|"2 Cameron Mews
Northborough 6034"
"Sophie Stratford"|"Suite 477
6 Maungakawanuku Track
Wharemanawa 9220"
"Emily O'Neill"|"62 Julia Street
Rotowhaka 9474"
"Ethan Perrin"|"Level 6
99 Rowe-May Street
Ngaurumaungapapapa 5020"
"Lily Andrew"|"7 Baldick-Campbell Circle
Barkerneath 5182"
"Matthew Read-Potter"|"PO Box 5
Whangapuke 9707"
"Steven Barnett-Alexander"|"12 Smith-Green Crescent
Brownborough 8221"
"William Baker"|"42 Anderson-Wall Bypass
Pukemaunga 8089"
"Jayden West"|"71 Maungakorotoa Road
Tipumanawaweka 3687"
"Leslie Lee"|"Flat 40
47 Kenneth Crescent
Wakatai 9544"
"Daniel Dalton-Higgins"|"PO Box 9
Pukewhitu 2650"
"Alexander Dixon"|"5 Reardon Arcade
Rangipukepapapa 5885"
"Jesse Neal"|"2 Koronui Terrace
Michelleburgh 0105"
"Melissa Barr"|"95 Aranui Street
RD 4
Tangimanawa 5386"
"Kirsten Smith"|"1 Kelly Bypass
RD 6
Pukepapapahoro 9214"
"Sam Kelly"|"PO Box 654
Korowhenua 6063"
"Jordan Higgins"|"73 Broughan Terrace
High Boyce Flats 3958"
"Daniel Pike"|"2 Smith-Patterson Road
RD 4
Horonui 6299"
"Jeanette Christiansen"|"2 Lewis Crescent
Ngaurumoko 5049"
"Christina Little"|"7 Ferguson-Saunders Place
Maungahoro 4540"
"Rosemary Hansen"|"PO Box 592
Burkeside 6016"
"Ashley Smith"|"Flat 77
78 Motuwhangaweka Arcade
Miles Flats 9033"
"Lucia Sixtus"|"5 McEwen Road
Papapawaitanga 5311"
"Jonathan Taylor"|"3 Wekawhitu Beach Road
Arnottleigh 2131"
"Karen Rodgers"|"77 Zoe Esplanade
Rohehope 5869"
"Sally Kendall"|"51 Papaparohe Mews
Papapakiwi 8205"
"Hamish Barker"|"29 Kawangaurutoa Crossing
RD 9
East Hart Hill 3486"
"Jacqueline Gibbons"|"Apt. 170
27 Darryl Circle
Taimoko 9529"
"Jeffrey May"|"612 Smith Way
Whareawa 9882"
"Ruby Anderson"|"457 Lucas-Howard Crescent
Waughland 6988"
"Craig Curtis"|"Unit 68
626 Tahiara Terrace
Dixonland 0646"
"Finn Baxter"|"PO Box 12
Hayport 2022"
"Caroline Paul"|"432 Motukawa Corner
Wekawhaka 8263"
"Ruby Morrison"|"644 Lawson Mews
Motutangitangi 6153"
"Jamie Wilkinson"|"77 Hamilton Avenue
Mokowaka 8586"
"Isla McKinnon"|"Suite 482
4 Awatauroto Close
O'Keefeburn 9639"
"Levi Pratt"|"82 Todd Track
Taimaunga 8867"
"Tyler Conway"|"Flat 27
903 O'Leary Arcade
Waikowhairongo 2680"
"Jeffrey O'Connor"|"51 Manawataipuke Crest
RD 5
Motutahi 6043"
"Tane Ritchie"|"720 Taipapapa Range Road
RD 3
Jacquelinemouth 2691"
"Jessica MacDonald"|"PO Box 410
Whakawhenua 2378"
"Aaron Bell"|"762 Ryan Crest
Waimanawa 8559"
"Jason Thompson"|"PO Box 25
Taumanawawhenua 2198"
"Charlotte McMahon"|"Flat 12
2 Spencer Range Road
Wakahanga 2309"
"Michael Adams-Eglinton"|"23 Dean Road
RD 3
Kawarangimoko 2209"
"Jesse Woods"|"Level 3
60 Rongotanga Street
Wharetahi 6168"
"Damon Thompson"|"PO Box 47
Davidsonside 9471"
"Karen Higgins"|"853 Smart Pass
Rohetoa 8914"
"Jeffrey Payne"|"430 Burton-Cumming Lane
Mount Andrewville 2577"
"Kim Cairns"|"PO Box 55
Tauteretahi 5170"
"Susan Thomas"|"PO Box 3
Lucyville 5868"
"Peyton Wallace"|"4 Barnes Copse
Jessica Flats 8512"
"Henry Craw"|"60 Christopher Centre
RD 2
Jenkinsland 2442"
"Shelley Ham"|"1 Taiaramoko Approach
Jenniferbury 4297"
"Archie Williamson"|"PO Box 5
Alexanderneath 6468"
"Nigel Patterson-Findlay"|"PO Box 353
Pongauru 6464"
"Waimarie Patterson"|"Apt. 708
31 Wharemotu Mews
Lloydings 6239"
"Mark Neal"|"167 Tahikowhai Causeway
Adamsville 5021"
"Jeffrey Walsh-Drummond"|"978 Jamieson Avenue
Nicolfort 5067"
"Wayne Gardner"|"Flat 61
135 Williamson Street
Jacquesgate 2543"
"Megan Bailey"|"Level 1
46 Mokowhitu Terrace
Baldwinton 5396"
"Diane Perry-Gunn"|"6 Whangatapu Avenue
Rongotau 2099"
"Bella Bell-Smith"|"42 Wayne Road
Tahiteretipu 2385"
"Olivia Kemp"|"PO Box 98
Zimmermanberg 9768"
"Cheryl Burns"|"Level 2
672 Moore Range Road
Tahihanga 5833"
"Regan McMurray"|"PO Box 30
Smithstone 3799"
"Carl Newman-Carr"|"610 Waikoromakau Terrace
RD 4
Saunderston 6173"
"Peter Southee"|"233 Anderson Street
Port Dunnborough 5048"
"Jenna Woolley"|"Unit 51
82 Rangimakau Broadway
Guy Hill 9674"
"Graeme Pearce"|"PO Box 6
Wekamata 6280"
"William Smart"|"9 Whakamoko Park
RD 8
Smithhaven 5117"
"Paul Lamb"|"PO Box 81
Mount Marfellborough 5021"
"Laura Clunies-Ross-Nash"|"622 Lewis Street
Tipuwaka 7731"
"Frankie Martin"|"Flat 83
59 Pukewhenua Place
Port Ballton 9465"
"Katie Hodson"|"PO Box 43
Mataawarohe 2538"
"Brittany Buchanan"|"130 Wekaiti Avenue
Blakeing 8459"
"David Thomas"|"PO Box 74
Smalling 2522"
"Nicholas Jordan"|"PO Box 709
Koropo 5504"
"Jennifer Black"|"919 Jade Corner
Cameronbury 5804"
"Christine Miller"|"PO Box 159
Smithneath 2672"
"Sandra Pike"|"3 Harrison-Smith Avenue
RD 2
Mount Crawfordstone 4698"
"Caitlin Paton"|"22 Teretanga Cross
Motunui 5715"
"Andrew McMillan"|"PO Box 7
Elliotthaven 6042"
"James McDonald"|"PO Box 563
Awamata 8151"
"Kelly Davies"|"Flat 20
769 Wekatanga Drive
Rohetau 9239"
"Bradley Stone"|"236 Papapawai Beach Road
Rongotapu 9626"
"Graeme Taylor"|"PO Box 207
Wharewhero 9374"
"Joshua Smith"|"783 John Street
RD 5
Curtistown 5869"
"Jennifer Booker"|"59 Knight Alley
Woolley Hill 9874"
"Gavin Fisher"|"105 Jones-Fenton Concourse
South Barker Flats 5392"
"Paul Harris"|"PO Box 14
Martinville 5807"
"Joshua Knight-Baxter"|"PO Box 53
New Woodfort 2521"
"Lisa Williamson"|"PO Box 233
Anikagate 5202"
"John Hayward"|"9 Corlett Street
Martinstone 3827"
"Xavier Nicholson"|"25 Newman-Wood Street
Gordonfort 2090"
"Connor Little"|"708 Papaparangiawa Concourse
Simmonsberg 9607"
"Amber Davis"|"49 Davies Grove
Natalieburgh 9791"
"Yvonne Whyte"|"438 Boon Circle
Wharenui 2341"
"Jennifer Doyle-Hodson"|"Flat 71
9 Wekaroto Bypass
Wairongo 5833"
"Darryl Waugh"|"48 Rongonuku Street
Robertberg 8521"
"Melissa Jackson"|"57 Logan Drive
RD 5
Hollowayside 9016"
"Barbara Bailey"|"114 Whakakawamanawa Crest
Rohetapu 9887"
"Brian Morton"|"667 Rohetoa Close
Rongowhakangauru 2541"
"Faith Miles"|"PO Box 72
Kemp Hill 2572"
"Andrew Pratt"|"982 Gregory Street
RD 6
Andrewhaven 5762"
"Maddison Page"|"Apt. 196
93 Moody Drive
Perrinfort 5179"
"Gordon Johnston"|"718 Papapawharehoro Road
RD 9
Tipumaungarua 8649"
"Paul Grant"|"PO Box 421
Suttonside 9877"
"Jennifer Green"|"478 Waimatawaka Lane
Pippaburgh 9774"
"Mark Holloway-Doherty"|"1 Papapapapapa Plaza
RD 10
Wairongo 8481"
"Gemma Parsons"|"6 Alice Heights
RD 5
Manawaweka 4949"
"Adrienne Smith"|"PO Box 1
Gillespieville 1696"
"Nicola Allan"|"68 Thompson Keys
Ford Flats 5192"
"Jennifer Larsen"|"52 Ararua Street
Fordstone 9424"
"Gordon Thomas"|"Apt. 191
76 Aratahihoro Road
Ritchiemouth 6978"
"Lisa Connolly"|"4 Murphy Street
Olsenburgh 6453"
"Vicki Paton-Clarke"|"2 Horowhitu Grove
Muirside 5166"
"Gregory Riley"|"49 Joseph Circuit
Butlerbury 8653"
"Jennifer Larsen-Saunders"|"Unit 34
10 Hopkins Park
Beattieside 7123"
"Logan Morris"|"PO Box 650
Manawamakau 5800"
"Lisa Waller"|"742 Kawamaunga Broadway
Morris Flats 5894"
"Michael Todd"|"PO Box 963
Briannaland 9862"
"Erin Bryant"|"PO Box 31
Papapawhaka 5083"
"Peter Burke"|"12 Rees Way
Potaukiwi 3912"
"Andrew Kennedy"|"PO Box 494
Awapo 6139"
"Jonathan Jordan"|"650 Tairohetere Avenue
Rangiwhaka 8615"
"Robert Healy"|"Apt. 612
427 Harris Drive
Whangaarapapapa 8886"
"John Jenkins"|"7 Motutipupapapa Mews
Mooreing 2400"
"Jennifer McLean"|"90 Matapo Street
Erinside 9707"
"Brenda Pickering"|"74 Funnell Amble
South Gilmoreport 8868"
"Brittany Boyce-Hutchinson"|"921 McMahon Road
Mount Corbettside 5833"
"Natasha Edwards"|"Apt. 468
50 Korongauru Drive
Haywardland 3042"
"David Butler"|"PO Box 950
Wardburgh 5035"
"Richard Forrest"|"200 Anthony Park
Hooperside 5876"
"Damon Fletcher-Ward"|"220 Waihoro Street
RD 10
Hendersonmouth 9621"
"Amanda Little-Gardner"|"PO Box 927
Maungamokohanga 8135"
"Matthew Gill"|"PO Box 552
Birdville 2207"
"Timothy Moore"|"Apt. 667
9 Manawarangimotu Avenue
Hopegate 5830"
"Jennifer Oliver"|"PO Box 14
Webster Hill 6968"
"James Harris"|"96 Goodwin-Lewis Alley
Floodings 2008"
"Linda Graham"|"78 Zimmerman Avenue
Mount Perryside 8954"
"Joshua Taylor"|"811 Campbell Crossing
RD 6
Rotowaka 5599"
"Natasha Boyle"|"PO Box 595
Maungatangiroto 8501"
"Kaye Brown-Rush"|"430 Morris Gardens
Whangaara 6051"
"Jessica MacKay"|"1 Cunningham Cutting
Wharehanga 7195"
"Hamish Hutchinson-Buick"|"3 Davies Beach Road
Butlermouth 5369"
"Louise Barnes-Hansen"|"Unit 99
4 Whakaroa Avenue
Whangakiwi 8532"
"Kathryn Mitchell"|"371 McDonald Street
Rangitahinui 2197"
"Jennifer Seymour"|"2 Stephen Circuit
Bryantville 8231"
"Tane Morrison"|"1 Pukewhenua Crescent
Mokorongo 2359"
"Carl Carson"|"1 Terepapapatere Street
RD 3
South Pageville 2304"
"Ava Pearce"|"2 Bird-Smith Street
Southeeburn 5327"
"Donna Saunders-Smith"|"8 Emily Alleyway
Nicholasside 8558"
"Ava Stewart"|"PO Box 18
Harrisings 8013"
"Robyn Gore"|"6 Baker-Evans Lane
South Frostfort 5318"
"Gabrielle Smith"|"81 Tipuwaka Ridge
Phillipsville 8112"
"Rebecca Cole"|"9 Dunn Beach Road
RD 1
Awaaramanawa 1901"
"Jordan Clarke"|"33 Buchanan Crescent
Matatangitapu 2244"
"Jennifer Street-Leslie"|"87 Reid Way
Thomas Flats 7815"
"Lisa Fitzgerald"|"Suite 692
637 Vanessa Rise
Rogersfort 5786"
"Grace Bruce"|"Flat 34
6 Alexander Street
Waipapapaweka 5138"
"Ian Best"|"8 Simpson-Johnston Drive
Papapaawa 8182"
"Bruce Bull-Terry"|"23 Michael Terrace
Thompson Hill 8680"
"Regan Fox-O'Sullivan"|"307 Rangimaungatoa Avenue
Nikauborough 2682"
"Alice Norman-Bailey"|"PO Box 9
Lucyton 7936"
"Emily Lowe"|"16 Cherie Flats
Oliverside 9384"
"Catherine Howard"|"62 Michael Flats
Williamsoning 8669"
"Elizabeth Elliott"|"Flat 67
937 Awatoa Approach
Debra Hill 8628"
"Jennifer Williams-Bowater"|"Unit 84
56 Scott Terrace
Wonging 5593"
"Savannah Sanders"|"356 Craw Close
Brownstone 6467"
"Melissa Hood"|"Apt. 986
1 Whakapukemotu Crescent
East Harrisfort 8627"
"Anna O'Connell-Holmes"|"427 Terenui Approach
Horonui 8616"
"Wayne Robb-Freeth"|"16 Kawamakau Avenue
Lake Leegate 8859"
"Amelia Bailey"|"78 Ryan Range Road
RD 2
Mokowai 8147"
"Aidan Dean-Muir"|"220 Jensen Street
Manawapopo 6191"
"Ian Corlett"|"Level 9
4 Charlotte Beach Road
Zimmermangate 2161"
"Charlie Cox"|"56 Jones Park
Wharehanga 2614"
"Ashlee Scott"|"Flat 79
3 Denise Crescent
Ewartstone 8951"
"Jeremy Dickson"|"135 Kennedy-Scott Avenue
Hamiltonfort 6450"
"Jeremy Herd"|"207 Jennifer Street
RD 5
Terewai 8477"
"Judith Brown"|"8 Manawapo Crossing
Pukehanga 8594"
"Sharon Shaw"|"PO Box 32
Rohetangi 2070"
"Kelly Eden"|"11 Maunganuku Close
Wharetai 2339"
"Jesse Hadfield"|"5 Arawhero Road
RD 2
Awamata 3552"
"Angela Mason-Craig"|"Level 6
58 Whangarohe Grove
Rongopo 5199"
"Rebecca Davies-Hills"|"PO Box 33
Mokoawa 6981"
"Lisa Burnett"|"197 Tangikawamaunga Street
Harris Hill 2555"
"Karen Chambers"|"4 Tangimanawakawa Park
RD 6
Kowhaihanga 9216"
"Jeremy Matthews"|"2 Daniel Avenue
High Thomas Flats 7396"
"Andrea Morrison"|"6 Tracy Street
Whakakoromoko 2021"
"Rebecca Bailey-Black"|"5 Hooper Road
RD 3
Maungamata 5328"
"Mark Tait"|"62 Xavier Crescent
Horomaungatoa 2157"
"Steven Thompson"|"4 McIntosh Crest
RD 7
Leannefort 7533"
"Tracey Marsh"|"PO Box 4
Matawhenua 3101"
"Timothy Barrett-Haines"|"670 Grant-Moran Beach Road
Matawakatai 9417"
"Michael Oliver"|"61 McLeod Crescent
Nicholasburgh 6124"
"Benjamin Craw"|"Flat 60
89 Mitchell Avenue
Burtville 2529"
"Joanne Burton-Williams"|"821 Reynolds Place
Matamoko 2149"
"Jeremy Mitchell-Carson"|"PO Box 1
Mitchellstone 1222"
"Andrew Bryant"|"907 Teretangi Mews
Waipuke 9526"
"Mila Judd"|"5 Nelson Arcade
Matakowhairoto 5819"
"Paul Freeman"|"38 Michelle Street
RD 1
McLeodbury 5281"
"William McMahon"|"5 Webb Anchorage
Wharewhaka 2553"
"Kate Morrison"|"PO Box 2
Browning 6976"
"Tanya Cooksley"|"56 Watts Reserve
Dixon Hill 5101"
"Sandra Burt"|"Suite 609
2 Shaw Highway
New Popeneath 5891"
"Alan Armstrong"|"5 Mayo-Parkes Avenue
Tangitangi 6200"
"David Smith"|"PO Box 6
Mokomokohanga 4523"
"Jeremy Nelson-Taylor"|"2 Laura Street
Whakawhare 7369"
"Angela Ward"|"Suite 878
729 Whangawhanganui Road
Turnerneath 5898"
"Nicole Pike"|"PO Box 4
Mokotapu 2639"
"Fiona Hooper-Bright"|"6 Harris Beach Road
Nicholsongate 8927"
"Sarah Nielsen"|"172 Peter Arcade
Tuckerneath 8247"
"Michael Martin-Parker"|"4 Norman Range Road
Harrisonbury 8623"
"John Webster"|"7 Morris Street
RD 3
Brightland 9247"
"Graeme Clarke"|"87 Mokoiti Copse
Cumminging 9063"
"David Haines"|"Apt. 650
68 Cook Arcade
Kowhaimaungawhaka 9017"
"Judith Pike-Wood"|"632 Lily Place
Allenland 5555"
"Jeremy Smith"|"512 Whangawai Plaza
Rongomata 7886"
"Simon Pickering"|"403 Peter Gardens
Moorestone 9093"
"Hannah Freeman"|"165 Maungatiputere Cross
RD 5
Crawfordburgh 8581"
"John Godfrey"|"29 Christie Park
Waihoro 9506"
"Jack Buchanan"|"314 Law Way
Tangikiwi 5521"
"Cherie Nicholson"|"584 Kawataipuke Street
Caitlinside 9200"
"Rebecca Morrison"|"Level 1
291 Neal Bypass
Taikoronui 9725"
"Amy Anderson"|"Suite 746
88 Simon Crescent
Henryburn 5038"
"Patricia Millar-Mason"|"8 Motutahi Avenue
Waimoko 8682"
"Nicholas Miles-Fenton"|"PO Box 10
Rohemanawahoro 5198"
"Jesse Gilbert"|"PO Box 99
Rangiwaiwhaka 5898"
"Kelly Ferguson-Wells"|"79 Lucas Road
Campbellland 8185"
"Yvonne Judd"|"740 Short Trail
RD 2
Ngauruwekatangi 6243"
"Oliver Williams"|"PO Box 70
Manawatipu 5351"
"Renee Thompson"|"7 Price Mews
Port McGregorstone 6095"
"Rachel Lowe-Grant"|"59 Jason Street
RD 4
Motunuku 8043"
"Holly Hooper"|"404 Mereana Street
Ponui 8899"
"Jacob Mitchell"|"PO Box 5
Rongotipuhope 5101"
"Michelle Phillips"|"Flat 36
5 Anderson Street
Waihanga 9312"
"Annette Matheson"|"17 Lucas-Scott Way
Lower Blickville 8988"
"Jesse Mason"|"66 Anderson Road
Ngauruwhare 8181"
"Charlotte Moore-Lee"|"Apt. 685
42 Smith Road
Jones Hill 8170"
"Riley Morris-Watkins"|"Apt. 105
296 Harrison Street
Pokoro 6494"
"Harley Bradley"|"836 Wekanui Terrace
Wakatangi 5020"
"Olivia McPherson"|"30 Tangiroa Crescent
Lake Browntown 2507"
"Maia McLeod"|"62 Henderson Crescent
RD 1
Jones Flats 2057"
"Peter Fowler"|"157 Rongomakau Arcade
Whakawainuku 3852"
"Glenn Fairhall"|"803 Turner Range Road
RD 8
Maungakawa 8876"
"Thomas Gledhill"|"61 Brooks Esplanade
Hamburn 9825"
"John Reardon-Dick"|"PO Box 5
Wellsstone 6455"
"Jesse Nelson"|"2 Koroawawhaka Beach Road
Mokokowhaiara 0856"
"Marilyn Mitchell-Anderson"|"174 Rotongaurunui Alley
RD 5
Waipo 4559"
"Ethan Gibson-McFarlane"|"534 Wakamokotangi Terrace
New Bartletting 2308"
"Kora Hickey"|"862 Ford Place
John Flats 5836"
"Jennifer Gleeson"|"53 Pukewaihoro Cove
Tahirua 9427"
"Maria MacDonald"|"PO Box 90
Fox Hill 8995"
"Robert Smith"|"7 Shaw Drive
West MacPhersonside 9429"
"Michael Rossiter"|"806 Rotowhare Avenue
Thomastown 8522"
"Hemi Pike"|"355 Martin Place
Davisburgh 8475"
"Paul Moody-Booth"|"6 Korowhaka Court
Rangihope 9259"
"Jessica Browne"|"Suite 668
854 Manawataitapu Corner
Fullerberg 2429"
"Nigel Scott"|"57 Burnett Street
Tahimanawahoro 9577"
"Raewyn Gill"|"41 Pukewhenua Crescent
Marsh Hill 5332"
"Gregory Evans"|"421 Connolly-Christiansen Street
Rongorangi 9510"
"Andrew Burke"|"PO Box 16
Kowhaiweka 8487"
"James Chapman"|"PO Box 1
Nolanleigh 2049"
"Sophia Shailer"|"53 Mareikura Avenue
Readerburn 8569"
"John Healey"|"465 Mark Mews
Lake Martinhaven 5859"
"Robert Hayward"|"PO Box 779
Daltonberg 8277"
"Shannon Armstrong"|"PO Box 2
Davisonberg 1217"
"Jessica Coley"|"9 Cassandra Close
Motuiti 8823"
"Samuel Brown-Satherley"|"PO Box 785
Crawfordland 6948"
"William Rush"|"559 Larsen Drive
Fordneath 2473"
"Steven Smith"|"91 Claridge Arcade
RD 5
Thompsonneath 2299"
"Matthew Davies"|"Suite 855
6 Perry-Cox Alley
Curriegate 1552"
"Darren Dixon"|"PO Box 284
Lamb Flats 2365"
"Jesse Searle-Funnell"|"49 Ngaurukoro Drive
Burgessburn 9734"
"Donna Holmes"|"1 Turner Esplanade
Mokotahi 5515"
"Brian Giles"|"2 Papaparua Avenue
Harperland 5049"
"Robert May"|"206 Roheararoto Cove
RD 9
Papapamatatau 3518"
"Jessica Gray"|"6 Franklin Street
Healeyleigh 2294"
"Peter Reid"|"Suite 845
11 Parker Lane
Pukepuke 9686"
"Samantha Lane"|"73 Rongotauwai Street
Tahiroa 8131"
"Tiare Sutton"|"54 Jonathan Crescent
RD 3
South Corlett Hill 2269"
"Peter Saunders"|"Flat 93
59 Wekatapu Drive
Taimataroto 9542"
"Sonya Carter"|"42 Kenny Drive
Dyerbury 5849"
"Alan Barker-McCarthy"|"Level 4
49 Waitoa Street
Scottport 9599"
"Tracey Funnell"|"Apt. 411
7 Motumotu Avenue
South McMahonmouth 9827"
"Hannah Greig"|"PO Box 79
Taikawa 2305"
"Willow Marshall"|"Flat 28
9 Mokomaunga Square
Pukepapapa 9807"
"Jessica Higgins"|"349 Whangapapapahope Square
Mokonuku 8091"
"Paula Andrew"|"Level 7
66 Davison-McDonald Avenue
Wekahope 9445"
"Matthew Reid"|"PO Box 9
Perrymouth 6440"
"Brenda Hart"|"4 Morrison Approach
RD 5
Wekamata 2602"
"Shaun Hyde"|"813 Dunn Avenue
Wekaiti 6070"
"Glenys Eaton"|"6 Coleman-Richards Drive
Poweka 8058"
"Alice Low"|"7 Lucas-Dalton Street
Rongotipunui 2481"
"Melissa Evans-Anderson"|"PO Box 4
Wakawekarohe 6430"
"Natasha Moran"|"PO Box 17
Fullering 2043"
"Charlotte Reader"|"9 Campbell Centre
Bell Hill 9865"
"Jessica Higgins-Costello"|"Level 7
70 Samuel Rise
Laurensonside 8146"
"Stephen Thompson"|"PO Box 78
Porangi 1052"
"Julie Blackwell"|"8 Spencer-Martin Broadway
Davisbury 8522"
"Melissa Taylor-Laurenson"|"51 Ryan Mews
Kawaweka 5538"
"Brent Williams-Kendall"|"PO Box 5
Awanui 2420"
"John Hansen"|"3 Kawaawanui Avenue
Williams Flats 8925"
"Bryan Gray"|"46 Anna Beach Road
Waghornside 9251"
"Jamie Rutherford-Marshall"|"649 Maungapukewaka Crescent
Rangikawa 5788"
"Sophie Cook"|"PO Box 82
Port Doyleside 9630"
"Gregory Gray"|"Flat 62
56 Tautaurua Track
Pattersonstone 9532"
"Jessica Lamb"|"PO Box 900
Sullivanfort 6938"
"Paula Reader"|"763 Max Alley
Murphy Hill 9759"
"Karen Knight"|"11 Murphy Ridge
Wakamaunga 5211"
"Reuben Curtis"|"424 Papapapo Avenue
Kawangaurunui 6914"
"Jade Russell"|"PO Box 44
Smartgate 5754"
"Alison Currie-Jennings"|"29 Douglas Close
RD 8
Potangi 4482"
"Scott West"|"781 Ruby Road
Simonsenburgh 5809"
"Lynette Smith"|"PO Box 3
Chandlerstone 8544"
"Nigel Hart"|"PO Box 3
Vercoeburgh 5064"
"Samantha Smith-Jackson"|"6 Webb-Rickard Range Road
Taylormouth 2039"
"Jessica McLean"|"420 Nicola Causeway
Lake Watkinsbury 8939"
"Shane Davidson"|"PO Box 9
Wekamakau 2315"
"Susan Rutherford"|"58 Coley Crest
RD 8
Edwardville 6496"
"Sophie Spencer"|"35 Tauwekawhaka Beach Road
Korokoro 6218"
"Kerry Graham"|"46 Korohoromakau Cross
Karenhaven 9629"
"Maxwell Larsen"|"30 Carroll-Patchett Crescent
RD 7
Motuwaimata 2369"
"Sarah Taylor"|"7 Moore-Dean Place
RD 2
Forbesing 3002"
"Tony Hewitt"|"75 Rose Point
RD 6
Manawawhero 5171"
"Briana Gaskin"|"8 Rohepoweka Street
RD 2
Rangiawa 3687"
"Taylor Short-Wood"|"26 Donaldson Pass
Taikowhaiwhare 8969"
"Jessica Sinclair-Ford"|"46 Manawaaramanawa Cross
RD 2
Motuhope 9445"
"Joshua Nolan-Thompson"|"9 Thomas Mews
Tahirangi 8423"
"Beverley Waters"|"PO Box 4
Kowhaiwhero 8413"
"Sarah MacKay-Reid"|"PO Box 56
East Burtonhaven 1719"
"Blake Pearson"|"PO Box 2
Russellberg 3137"
"Chelsea Connolly"|"1 Rangiwhangawaka Street
Papapaarahanga 9493"
"Neil Patchett-Evans"|"4 Potautau Arcade
Taylorburgh 8085"
"Bernard Bowden"|"592 Horopohoro Street
Waghorning 0779"
"Angus Gardner"|"495 Awatanga Mews
Craw Hill 8913"
"Ryan Blake"|"PO Box 47
Tangiwharenui 2594"
"Jessica Ward-Johnston"|"7 May Drive
Wardside 9703"
"Michael Thomas"|"PO Box 8
Tahiwhenua 9323"
"Shirley Parsons"|"64 Tanginui Drive
Manawataikiwi 5326"
"Georgia Best"|"922 Tangingaurumaunga Court
RD 2
Waipotapu 4931"
"Michelle Lancaster"|"29 Tipumatanui Access
Ericside 6204"
"William Bull-Jensen"|"PO Box 586
Floodland 5077"
"Christine Roberts-Simmons"|"PO Box 2
Cummingstone 9583"
"Sarah Morgan-Jackson"|"866 Ngaurumaungaawa Ridge
Porangi 2091"
"Darren Hart"|"30 Lang Copse
RD 6
Davidson Hill 8098"
"Richard Bell"|"288 West-Cameron Street
Whangarohewhenua 6027"
"Jill Scott-Lane"|"834 Thompson Drive
New Guardtown 8411"
"Alicia Reader"|"758 McEwen Alleyway
Ritchieside 5009"
"John Wood-Short"|"816 Ponuku Crossing
RD 3
Smallside 5732"
"Margaret Johnston"|"PO Box 9
Orr Hill 5189"
"Stuart Hawkins"|"277 Rotoawamaunga Bypass
RD 6
High Williamsleigh 7639"
"Simon Hyde"|"PO Box 3
Ritchieneath 8426"
"Kelly Anderson"|"95 Butler-Beattie Street
Pukerotonui 6962"
"Timothy Gilbert"|"908 Papapamanawa Place
RD 2
O'Connellings 6132"
"Kristy Shaw-Lawson"|"PO Box 32
Lake Jonesstone 5133"
"Courtney Wallace"|"8 Koroawanuku Rise
Manawawhitu 5031"
"Jillian Kelly-Brown"|"2 Rangikawa Crescent
Enright Hill 3818"
"Max Fox"|"PO Box 2
Teretahi 3342"
"Karen McPherson"|"61 Louise Arcade
Irelandburn 9033"
"Carol Foote"|"341 Faulkner Beach Road
RD 3
Markings 8544"
"Tina Meads"|"87 Pamela Street
RD 8
Williamsbury 6030"
"David Skinner"|"Suite 846
23 Teremanawamotu Esplanade
Horonui 2577"
