"Albina Begonja"|"Kapucinske 8
75605 Duga Resa" 
"Lara Ribić"|"Rokov perivoj 4c
54510 Ludbreg"
"Ante Roce"|"Horvatovac 538
34921 Kutina"
"Karla Plantak"|"Klenovac 0a/8
55971 Krk"
"Pavao Dizdar"|"Čačkovićeva 3b
20744 Kaštela"
"Nikša Roce"|"Goljak 78
84815 Virovitica"
"Lovre Nišević"|"Kaptol 9
49471 Solin"
"Aldo Tešija"|"Mašekova 693
73008 Požega"
"Ivan Škara"|"Voćarsko naselje 5c
93941 Novalja"
"Lorena Sedlar"|"Nova Ves 16
78738 Sinj"
"Božica Cestarić"|"Gupčeva zvijezda 6a
38892 Valpovo"
"Ane Mužina"|"Rikardove 06
47925 Obrovac"
"Jelena Bernardić"|"Zelenjak 15
82361 Omiš"
"Marina Bertoša"|"Šestinski vrh 6b/0
45221 Hrvatska Kostajnica"
"Mihael Pecotić"|"Hercegovačka 00
31531 Lepoglava"
"Stana Grba"|"Paunovac 1b/8
07956 Omiš"
"Marijan Oršoš"|"Nemetova 8
74500 Pag"
"Pavao Peroš"|"Grič 4b/4
63089 Čakovec"
"Patrik Sirotić"|"Gornje Prekrižje 5a/8
46369 Belišće"
"Lorena Stiperski"|"Medvedgradska 132
80674 Kraljevica"
"Kristijan Markanjević"|"Remetska 0a
61166 Pula"
"Božo Županić"|"Novi Goljak 2b
57297 Poreč"
"Rudolf Škrnički"|"Vinogradska 7c/8
37191 Čazma"
"Božica Rijetković"|"Pod zidom 9b/5
84528 Vrbovsko"
"Juraj Mimica"|"Kraljevečki odvojak 2
91419 Vis"
"Lucija Strinavić"|"Pod zidom 9a
61903 Pakrac"
"Iva Paparić"|"Kraljevečki ogranak 0c
91973 Bjelovar"
"Martina Kosić"|"Mirogojska 6
17029 Novigrad"
"Jadranka Vitasović"|"Naumovac 542
08719 Samobor"
"Lorena Trutanić"|"Tuškanac 6b
97850 Šibenik"
"Ane Tuškan"|"Petrova 0b
85167 Valpovo"
"Filip Brlas"|"Ribnjak 9a
38500 Mali Lošinj"
"Stjepan Perkov"|"Rokov perivoj 8
31804 Oroslavje"
"Veronika Prtenjača"|"Šestinski vijenac 8
45033 Novi Marof"
"Pero Vitasović"|"Rokov perivoj 6c
98481 Labin"
"Andrea Bogović"|"Pantovčak 4b/5
05581 Slunj"
"Antun Tolj"|"Visoka 0a/6
24418 Vodnjan"
"Vlado Čargonja"|"Perivoj srpanjskih žrtava 6b
07854 Kraljevica"
"Slavica Kresonja"|"Kamenjak 095
71373 Beli Manastir"
"Lovre Balatinac"|"Dolac 0a
95459 Čazma"
"Niko Raspor"|"Šestinski vrh 672
59343 Kutjevo"
"Kristina Pleše"|"Bučarova 0a/1
39791 Buzet"
"Mate Vugdelija"|"Radnički dol 2b
52058 Virovitica"
"Sandra Lešić"|"Dubravkin 26
20298 Jastrebarsko"
"Jasna Božiković"|"Istarska 0b/5
90137 Slatina"
"Jozo Vidović"|"Petrova 3
65627 Ozalj"
"Pavao Strinavić"|"Kožarska 4b/3
04637 Vis"
"Vera Zeba"|"Palmotićeva 378
20950 Čabar"
"Mateja Šimara"|"Cmrok 9a
44658 Korčula"
"Lovre Cvenić"|"Javorovac 06
58965 Virovitica"
"Karla Matokanović"|"Donje Prekrižje 9a/2
66554 Sisak"
"Zdravko Petrović"|"Ilica 6b/7
81166 Samobor"
"Anto Borak"|"Gornje Prekrižje 7b/4
29759 Novi Marof"
"Niko Pavelić"|"Medveščak 8a/6
08771 Vrbovsko"
"Dora Kocijančić"|"Klenovac 277
77578 Sinj"
"Željka Nikolić"|"Tuškanac 6
91738 Donji Miholjac"
"Branka Eršek"|"Ksaver 2a
20832 Lipik"
"Bara Prtenjača"|"Male 548
38393 Osijek"
"Željka Burčul"|"Kamenjak 887
27540 Supetar"
"Lovre Drandić"|"Draškovićeva 65
59738 Karlovac"
"Barbara Štefanec"|"Jurjevska 0a
32150 Čakovec"
"Matea Vučković"|"Bučarova 5b
65006 Samobor"
"Damir Mamula"|"Draškovićeva 9b/4
11152 Biograd na Moru"
"Zdenka Dončević"|"Ksaverska 8
20977 Križevci"
"Robert Balić"|"Zelenjak 9a/4
75703 Kraljevica"
"Duje Pajur"|"Ksaverska 91
64482 Belišće"
"Nikolina Matijević"|"Ksaver 43
97110 Kastav"
"Vlado Žunec"|"Vrazovo šetalište 8
61672 Zagreb"
"Jozo Bašić"|"Splavnica 7c/6
83350 Poreč"
"Lovre Kresonja"|"Javorovac 7b
25775 Ozalj"
"Juraj Krznarić"|"Mihaljevac 04
28755 Valpovo"
"Patrik Matovina"|"Voćarska 06
02377 Gospić"
"Rozalija Balinčić"|"Klesarski put 1b
14334 Labin"
"Petar Sokol"|"Zvonarnička 803
89972 Pag"
"Rozalija Bašić"|"Pantovčak 7b
70144 Kutjevo"
"Dušan Jugovac"|"Vrazovo šetalište 804
51709 Valpovo"
"Matija Kahlina"|"Strossmayerovo šetalište 2b
60046 Vrbovec"
"Ika Šurbek"|"Kamaufova 2
78013 Pazin"
"Marija Lučić"|"Jadranska 9c/9
28606 Beli Manastir"
"Lovre Perković"|"Klanac Grgura Tepečića 7c/5
41941 Nin"
"Matija Milovac"|"Jabukovac 6a/4
52294 Vis"
"Zoran Hršak"|"Vrazovo šetalište 41
90690 Garešnica"
"Lorena Kovačević"|"Davor 473
91631 Vrgorac"
"Janja Leščić"|"Arnoldova 86
43689 Vrgorac"
"Ana Požega"|"Zvonarnička 079
91492 Donji Miholjac"
"Branka Šestak"|"Zelenjak 9a/9
48852 Novi Vinodolski"
"Janko Ušić"|"Rikardove 03
45318 Mali Lošinj"
"Jadranka Mahnet"|"Krležin gvozd 8b/8
05937 Vodice"
"Marijana Šturlan"|"Zamenhofove 0c
91438 Stari Grad"
"Lovre Rajčić"|"Dvoranski prečac 1b
75347 Orahovica"
"Lana Maržić"|"Perivoj srpanjskih žrtava 7b/5
60257 Crikvenica"
"Manda Krznarić"|"Dubravkin 7a
68565 Vukovar"
"Ilija Škrlin"|"Wickerhauserova 5b/6
21102 Rijeka"
"Lucija Kunac"|"Rockefellerova 3a/2
69078 Otočac"
"Josipa Kirinčić"|"Kurelčeva 9a/2
81769 Varaždinske Toplice"
"Fuma Gudelj"|"Novi Goljak 7
29043 Vrlika"
"Mateja Marić"|"Skalinska 9b
96744 Delnice"
"Stana Ribičić"|"Gradec 743
07153 Jastrebarsko"
"Sandra Miše"|"Arnoldova 1b/4
37817 Crikvenica"
"Lovre Tolj"|"Ribnjak 6
11517 Ludbreg"
"Miroslav Radin"|"Lisinskoga 93
95289 Opatija"
"Niko Pribanić"|"Opatička 4b
16201 Stari Grad"
"Damir Miletić"|"Voćarsko naselje 7c
49821 Bjelovar"
"Lidija Marin"|"Dverce 869
01166 Supetar"
"Jelena Simić"|"Zvonarnička 5b/9
58238 Daruvar"
"Antonio Bradić"|"Tuškanac 7c
88304 Slatina"
"Robert Ribić"|"Radnički dol 636
75720 Koprivnica"
"Ljiljana Čuljak"|"Vinogradska 6c
35395 Vrlika"
"Jele Benić"|"Donje Prekrižje 9c
34177 Našice"
"Lovro Andrijašević"|"Radnički dol 8b
56405 Split"
"Jure Pavković"|"Strossmayerovo šetalište 2b
29492 Donja Stubica"
"Nevenka Čuček"|"Remetska 2b
24079 Kastav"
"Gordana Petrić"|"Vitezovićeva 4c
16791 Nin"
"Ljiljana Matić"|"Gupčeva zvijezda 4
30820 Garešnica"
"Roko Županić"|"Voćarska 3c
77981 Donja Stubica"
"Marina Keleković"|"Svibovac 71
62755 Ivanec"
"Laura Božić"|"Kraljevec 3b/0
80251 Nin"
"Roko Risek"|"Rokov perivoj 125
73561 Zabok"
"Nina Gudelj"|"Rokova 0
17751 Buje"
"Lovro Barušić"|"Gornje Prekrižje 028
92576 Hrvatska Kostajnica"
"Hana Viljevac"|"Naumovac 7c/3
46138 Šibenik"
"Ivan Krželj"|"Goljačke 5b/0
43366 Bakar"
"Alen Zgorelec"|"Višnjica 600
60075 Benkovac"
"Toni Juretić"|"Jagodnjak 7c
26136 Duga Resa"
"Lea Kovačić"|"Jurkovićeva 3a/1
70110 Čazma"
"Danijel Obradović"|"Mletačka 7a
60075 Makarska"
"Dejan Ivandić"|"Bakačeva 8b
01679 Rovinj"
"Renata Zubčić"|"Jurišićeva 5c/0
72958 Čakovec"
"Anka Zelić"|"Krležin gvozd 060
92526 Rovinj"
"Lovro Božanić"|"Mlinske 441
15234 Beli Manastir"
"Vjekoslav Žunec"|"Nemetova 3c
43685 Križevci"
"Marijan Ritoša"|"Ksaver 4b/7
06736 Stari Grad"
"Jadranka Blagaić"|"Opatovina 92
74136 Buzet"
"Albina Kukučka"|"Rikardove 4a/1
35040 Metković"
"Niko Kuščević"|"Strossmayerovo šetalište 5c/7
76790 Varaždin"
"Filip Jakopović"|"Ljubinkovac 3b
91032 Sisak"
"Filip Knežević"|"Klesarski put 0c
80960 Ogulin"
"Gordana Friščić"|"Nemetova 3c
18619 Biograd na Moru"
"Ane Ozimec"|"Zelenjak 6b
96806 Ozalj"
"Lovro Carić"|"Ljubinkovac 6c
90302 Petrinja"
"Tomislav Brajković"|"Klenovac 1a/4
73417 Gospić"
"Antun Mamić"|"Vinogradska 8
44706 Crikvenica"
"Danijela Šestak"|"Nemetova 1a
14697 Ploče"
"Luka Palić"|"Zmajevac 6a/1
22978 Čabar"
"Lea Dizdar"|"Draškovićeva 1b/0
49597 Otok"
"Darko Jakopović"|"Voćarska 8a/2
66664 Biograd na Moru"
"Nenad Abičić"|"Goljak 3a/1
29612 Beli Manastir"
"Jure Tisaj"|"Srebrnjak 945
87009 Duga Resa"
"Zdravko Oršoš"|"Jagodnjak 3c/4
83173 Orahovica"
"Lovro Knežević"|"Klenovac 2a/2
55203 Sinj"
"Igor Gudelj"|"Harmica 7a/5
14486 Cres"
"Ema Batrac"|"Tošovac 07
65325 Novalja"
"Anton Batrac"|"Golubovac 7c/0
79235 Prelog"
"Danijel Maras"|"Orlovac 2a/8
07374 Lipik"
"Štefanija Nikolić"|"Demetrova 0a/6
69201 Otok"
"Davor Škrtić"|"Wickerhauserova 2c/1
68740 Vinkovci"
"Božica Maras"|"Zmajevac 2
15552 Pazin"
"Marijana Nišević"|"Paunovac 24
35946 Dubrovnik"
"Lovro Andrašek"|"Jurišićeva 8b
46260 Samobor"
"Lovro Koški"|"Čačkovićeva 28
08977 Zagreb"
"Matija Dragojević"|"Klesarski put 2a/3
10892 Otočac"
"Martina Nedić"|"Tuškanac 813
31163 Zlatar"
"Roko Dragobratović"|"Petrova 5
20916 Omiš"
"Anka Jović"|"Strossmayerovo šetalište 9c/9
27280 Vodice"
"Lorena Antonić"|"Demetrova 764
99239 Požega"
"Albina Stančin"|"Donje Prekrižje 2c
48417 Orahovica"
"Marija Mustač"|"Orlovac 47
10040 Vinkovci"
"Jakov Šurina"|"Dolac 3a/5
55573 Rovinj"
"Jozo Leščić"|"Streljačka 208
27494 Valpovo"
"Lovro Krznarić"|"Vončinina 5
32632 Biograd na Moru"
"Milica Vuk"|"Svibovac 8c/3
11890 Lipik"
"Veronika Krpan"|"Palmotićeva 8a
36229 Dugo Selo"
"Eva Bijelić"|"Pod zidom 30
60566 Mursko Središće"
"Vesna Simić"|"Jurkovićeva 9
04769 Slunj"
"Nikolina Botica"|"Rockefellerova 1b
90459 Čabar"
"Tatjana Matulin"|"Tošovac 99
73799 Klanjec"
"Maria Krčelić"|"Jurjeve 5c
80259 Osijek"
"Romano Malnar"|"Šalata 3a/3
81463 Kraljevica"
"Hana Mofardin"|"Ksaverska 3c
96898 Kastav"
"Lovro Maršić"|"Cmrok 8c/9
44923 Slunj"
"Marijana Žic"|"Svibovac 0c/2
34551 Prelog"
"Zvonko Kauzlarić"|"Zelenjak 4b/0
27568 Varaždinske Toplice"
"Filip Stojanov"|"Zmajevac 2c/1
75519 Prelog"
"Veronika Bašnec"|"Nemetova 87
99266 Sveti Ivan Zelina"
"Nika Miličić"|"Krležin gvozd 9c
03443 Crikvenica"
"Sandra Turudić"|"Tkalčićeva 7c
41326 Nova Gradiška"
"Davor Culi"|"Strossmayerovo šetalište 7a
47236 Kastav"
"Laura Poslon"|"Vrazovo šetalište 5c
55639 Lipik"
"Kristina Perak"|"Radnički dol 3a
83243 Đakovo"
"Lovro Merkaš"|"Jurjevska 7c
17461 Sveta Nedelja"
"Lovre Milas"|"Zeleni dol 3
94259 Gospić"
"Ivanka Horvatinec"|"Jurjevska 6a/9
52187 Hvar"
"Šime Jakuš"|"Bučarova 1
70459 Rovinj"
"Vera Gržetić"|"Dolac 9c/0
51012 Mursko Središće"
"Darko Žabjačan"|"Wickerhauserova 388
95556 Poreč"
"Nada Rakela"|"Dvoranski prečac 7
57161 Makarska"
"Jele Cvitan"|"Rokova 9c
99008 Ozalj"
"Jasna Mimica"|"Hercegovačka 8a
65395 Opatija"
"Vesna Pedišić"|"Vitezovićeva 6c/0
61151 Lipik"
"Lovro Miletić"|"Slavujevac 231
25475 Dugo Selo"
"Bara Jurčić"|"Klesarski put 7a/6
75631 Vrbovsko"
"Vlado Labaš"|"Glogovac 597
33200 Rovinj"
"Josip Škugor"|"Medvedgradska 4c
42723 Čazma"
"Mirko Triplat"|"Mletačka 6c/0
74631 Bjelovar"
"Nevenka Blažek"|"Gradec 7a
11205 Dubrovnik"
"Marica Soldo"|"Mala 32
59730 Ozalj"
"Goran Zebec"|"Bakačeva 7a/9
84980 Nin"
"Jelena Jerković"|"Harmica 627
08364 Valpovo"
"Matej Dretvić"|"Perivoj srpanjskih žrtava 51
19578 Metković"
"Lovro Milevoj"|"Zmajevac 799
93785 Dubrovnik"
"Mladen Franičević"|"Splavnica 692
77624 Kutjevo"
"Marija Ribić"|"Opatovina 9b
14009 Stari Grad"
"Sanja Rahija"|"Kamenita 339
26832 Nin"
"Ljiljana Volarević"|"Mašekova 9c/1
61040 Varaždin"
"Ivica Hardi"|"Tuškanac 4
68189 Rab"
"Zorka Šupraha"|"Golubovac 4a
83820 Zlatar"
"Dino Peša"|"Pantovčak 2a/9
57477 Koprivnica"
"Marina Komljenović"|"Zmajevac 1
21268 Ozalj"
"Dražen Maršić"|"Jurjevska 4a/6
34160 Buzet"
"Lovro Norac"|"Dubravkin 8b
49513 Osijek"
"Alen Sardelić"|"Kamenita 9c/9
75209 Zabok"
"Goran Gegić"|"Demetrova 9c
99740 Dugo Selo"
"Matea Radočaj"|"Hercegovačka 8c/3
75959 Varaždinske Toplice"
"Dejan Boljkovac"|"Mesnička 3c/7
16826 Karlovac"
"Ilija Burčul"|"Wickerhauserova 6b/7
59128 Gospić"
"Željko Čukman"|"Zeleni dol 1a
02405 Pakrac"
"Anka Kelečić"|"Svibovac 5a/2
00114 Oroslavje"
"Matija Žuvela"|"Kurelčeva 4a
78897 Daruvar"
"Vesna Čubrić"|"Mlinovi 0c
51893 Sinj"
"Lovro Vuljak"|"Mlinarska 7b
09641 Delnice"
"Dragan Boban"|"Jurišićeva 0c/6
02033 Pleternica"
"Antun Mišković"|"Bosanska 602
71937 Trogir"
"Ivan Matić"|"Arnoldova 583
20645 Split"
"Elvis Šimara"|"Zavojna 7c
89346 Benkovac"
"Zlatko Car"|"Bakačeva 0b
43799 Virovitica"
"Leon Brandić"|"Klanac Grgura Tepečića 5
41948 Pakrac"
"Zorka Šimičić"|"Dverce 7
21032 Poreč"
"Ruža Sošić"|"Streljačka 2b/6
77402 Gospić"
"Marin Drakulić"|"Jurišićeva 1
07739 Beli Manastir"
"Lucija Bićanić"|"Kozarčev vijenac 1a/4
32552 Metković"
"Toni Nakić"|"Slavujevac 4b/5
61325 Oroslavje"
"Ružica Zrilić"|"Skalinska 8b/8
11266 Grubišno Polje"
"Milena Knezović"|"Remetska 50
19961 Poreč"
"Slavica Hinić"|"Mašekova 5
17200 Novigrad"
"Siniša Hrastinski"|"Srebrnjak 4a/3
43111 Čakovec"
"Damir Vaci"|"Rokova 934
34807 Velika Gorica"
"Dragica Abičić"|"Gradec 6a
61751 Zaprešić"
"Ivan Jovanovac"|"Istarska 64
98428 Slavonski Brod"
"Nikola Vidas"|"Magdićeve 4c
39462 Donji Miholjac"
"Lucija Bičak"|"Donje Prekrižje 7a/0
02026 Beli Manastir"
"Željka Radić"|"Zelenjak 4b
16182 Ivanec"
"Patrik Sošić"|"Mirogojska 4a/2
56155 Velika Gorica"
"Stana Horvatinec"|"Krvavi most 9a
75186 Popovača"
"Albina Dubovečak"|"Šestinski vijenac 0c
73362 Garešnica"
"Nikola Dobrić"|"Svibovac 0b
00607 Rab"
"Mia Stanić"|"Male 2a/5
36688 Karlovac"
"Matija Vrhovec"|"Vrazovo šetalište 7b
72881 Zagreb"
"Đuro Skupnjak"|"Slavujevac 1a/7
87100 Zlatar"
"Renata Hodak"|"Ružičnjak 6
95383 Senj"
"Lucija Kovačić"|"Skalinska 4b
90430 Biograd na Moru"
"Kristina Golubić"|"Mesnička 931
69257 Pula"
"Valentina Ušić"|"Slavujevac 69
89654 Kastav"
"Katarina Vidović"|"Kamenjak 4a/1
28411 Novi Marof"
"Tomislav Pavlović"|"Jurjevska 1c/1
40609 Delnice"
"Štefica Odobašić"|"Bosanska 3c
76374 Supetar"
"Ljubica Kovačić"|"Zelengaj 7a/7
21285 Rab"
"Željko Sladonja"|"Arnoldova 918
28802 Nin"
"Andrea Radinović"|"Vinogradska 8c/0
03256 Gospić"
"Zvonko Cvetković"|"Tošovac 16
35763 Novalja"
"Lucija Maraš"|"Kraljevečki odvojak 1a/2
95308 Makarska"
"Antonio Kahlina"|"Paunovac 1c
92937 Ogulin"
"Jele Klarin"|"Orlovac 7
49867 Petrinja"
"Elizabeta Šimić"|"Zeleni dol 64
87869 Pag"
"Ilija Đurašević"|"Orlovac 267
78246 Dubrovnik"
"Barica Matas"|"Vlaška 0b
47487 Zagreb"
"Jasminka Lukšić"|"Kozarčev vijenac 3b/3
35640 Pula"
"Vlado Pešić"|"Vijenac 397
00006 Cres"
"Đurđica Mužić"|"Gupčeva zvijezda 1a
19275 Varaždin"
"Terezija Gudelj"|"Klesarski put 9a
55342 Otočac"
"Lucija Sladonja"|"Nova Ves 7b/4
42471 Ilok"
"Pero Bačić"|"Visoka 9c
39271 Split"
"Mira Volarević"|"Jurišićeva 82
87287 Biograd na Moru"
"Zora Bogović"|"Mlinovi 3a
18179 Čabar"
"Lorena Ivandić"|"Medveščak 3a
35697 Opuzen"
"Ljiljana Bungić"|"Kamaufova 5c
11226 Rijeka"
"Pero Bernardić"|"Kamenjak 154
71779 Umag"
"Elizabeta Glasnović"|"Kamenjak 3a
54146 Čakovec"
"Vera Franičević"|"Vitezovićeva 9c
18958 Ploče"
"Đurđica Darojković"|"Šalata 6
42455 Slavonski Brod"
"Luka Baljak"|"Palmotićeva 6b/2
02886 Ivanić-Grad"
"Renata Ćurić"|"Naumovac 4c
80799 Čazma"
"Laura Radočaj"|"Mlinovi 500
42926 Senj"
"Jasminka Gregov"|"Mašekova 2
60143 Novi Vinodolski"
"Draga Duvančić"|"Skalinska 9b
32791 Vodnjan"
"Nevenka Dubovečak"|"Grič 3c
41590 Otočac"
"Bruno Car"|"Jagodnjak 34
22954 Mali Lošinj"
"Dragica Tuksar"|"Mlinovi 4a
58423 Krk"
"Dino Pavičić"|"Šilobodov put 4a/7
01316 Novigrad"
"Nika Ljubetić"|"Klesarski put 8a/0
27928 Dugo Selo"
"Luka Baričević"|"Mlinarska 0b
14386 Nova Gradiška"
"Marina Dolinar"|"Magdićeve 0a/4
91514 Kutjevo"
"Alen Sladonja"|"Mlinske 254
51334 Donji Miholjac"
"Mirko Orbanić"|"Hercegovačka 6a
46827 Korčula"
"Nataša Šitum"|"Ribnjak 134
90518 Hrvatska Kostajnica"
"Draga Kopjar"|"Bijenička 916
46941 Slatina"
"Stana Mustapić"|"Visoka 2b/1
51640 Križevci"
"Hana Tudić"|"Opatovina 7c/4
62335 Orahovica"
"Filip Burčul"|"Gradec 3
29741 Novska"
"Jana Sirotić"|"Jezuitski trg 0c/8
96866 Cres"
"Luka Karlović"|"Gračanska 0b/5
86723 Labin"
"Tomislav Barać"|"Hercegovačka 639
15585 Trilj"
"Ana Radošević"|"Golubovac 87
68579 Bakar"
"Ivana Stražičić"|"Dvoranski prečac 7
20738 Crikvenica"
"Albina Bušljeta"|"Streljačka 4c/6
18066 Varaždinske Toplice"
"Roko Ugrinić"|"Draškovićeva 1b/4
19123 Virovitica"
"Joško Baričević"|"Šestinski vijenac 4a
75953 Đakovo"
"Ilija Mužina"|"Orlovac 6a/5
00500 Kastav"
"David Peroš"|"Zvonarnička 7b/8
97725 Mursko Središće"
"Đurđica Matas"|"Visoka 9
47219 Makarska"
"Luka Kereković"|"Radnički dol 1b
94632 Vukovar"
"Alen Županić"|"Kraljevec II. 5a/6
35084 Slavonski Brod"
"Franciska Antonić"|"Gornje Prekrižje 2
60931 Vrgorac"
"Anka Mikulec"|"Bosanska 8a
28870 Vrbovec"
"Slavko Batrnek"|"Šestinski vijenac 2b
04354 Senj"
"Anto Stiperski"|"Zamenhofova 707
99150 Nova Gradiška"
"Denis Vrban"|"Kožarska 9b/2
32379 Vodice"
"Janko Šeparović"|"Tošovac 6b
84979 Umag"
"Kata Jakuš"|"Draškovićeva 9c
01586 Jastrebarsko"
"Sara Grgurević"|"Zavojna 7b/9
44001 Krapina"
"Luka Kujundžić"|"Vlaška 7a/5
23272 Obrovac"
"Nenad Pavin"|"Svibovac 160
87184 Poreč"
"Jasminka Zakinja"|"Kapucinske 0
07901 Valpovo"
"Mirko Kuzmić"|"Tošovac 344
11150 Pleternica"
"Vedran Solomun"|"Tuškanac 1a/8
21064 Drniš"
"Denis Kaniški"|"Krležin gvozd 6c
75647 Novska"
"Vera Perkov"|"Kamenjak 9a/8
52608 Hrvatska Kostajnica"
"Milica Šimara"|"Paunovac 6b/4
45772 Valpovo"
"Vlado Kresonja"|"Palmotićeva 3
23337 Kraljevica"
"Matija Jugovac"|"Cmrok 6b
60793 Rab"
"Luka Lenić"|"Donje Prekrižje 5
02074 Novalja"
"Antun Bogadi"|"Ilica 1b
70255 Pazin"
"Danijel Barešić"|"Bijenička 6c/0
01714 Čakovec"
"Gordana Dolinar"|"Kamaufova 0b/7
00356 Korčula"
"Jure Šunjić"|"Jezuitski trg 55
88967 Krapina"
"Dragica Erceg"|"Voćarsko naselje 4c/8
42644 Trilj"
"Mateo Mikulandra"|"Kraljevec II. 7c
51211 Hvar"
"Anita Filipović"|"Draškovićeva 7
07639 Virovitica"
"Maria Kolarec"|"Streljačka 8b/7
24220 Oroslavje"
"Ružica Krčelić"|"Visoka 2a
77085 Komiža"
"Luka Maršić"|"Mlinarska 2c/6
42277 Otočac"
"Zoran Cindrić"|"Kraljevečki odvojak 8a/8
28052 Poreč"
"Đuro Milovac"|"Kaptol 7
81355 Glina"
"Katarina Dretvić"|"Kamenita 074
32717 Čazma"
"Toni Baksa"|"Mesnička 8a/4
31248 Rovinj"
"Mateja Županić"|"Zavojna 1b/9
50877 Imotski"
"Rozalija Vučin"|"Čačkovićeva 4b
44423 Ilok"
"Ika Koščević"|"Jurišićeva 2a/6
81804 Gospić"
"Elizabeta Sošić"|"Kožarska 5a
31948 Omiš"
"Elvis Barušić"|"Bosanska 8c/7
03795 Novi Vinodolski"
"Luka Načinović"|"Dverce 2a
07033 Vrbovec"
"Pero Šverko"|"Naumovac 1
79865 Mursko Središće"
"Stjepan Komar"|"Streljačka 33
83989 Vrbovsko"
"Mia Majdenić"|"Novi Goljak 5b
85789 Skradin"
"Milena Čop"|"Kraljevečki ogranak 7b/0
10457 Šibenik"
"Milica Čupić"|"Šestinski vrh 3c/8
05966 Dubrovnik"
"Kristina Ričko"|"Kamenjak 6
95376 Slavonski Brod"
"Štefica Radinović"|"Goljak 860
09637 Krapina"
"Albina Britvec"|"Rokov perivoj 6a
38249 Vodice"
"Ružica Božanović"|"Hercegovačka 282
85150 Oroslavje"
"Luka Plantek"|"Lobmayerove 64
33497 Samobor"
"Ljiljana Pongrac"|"Šilobodov put 7c
38644 Osijek"
"Davor Petričević"|"Tošovac 505
24011 Buje"
"Lidija Pedišić"|"Ružičnjak 4b/7
15351 Osijek"
"Fran Šantić"|"Gornje Prekrižje 9b
25641 Lipik"
"Rudolf Solomun"|"Donje Prekrižje 5c
75894 Vodice"
"Marica Rajn"|"Srebrnjak 6b
02401 Kaštela"
"Sara Jozić"|"Lisinskoga 5c
74067 Vrbovec"
"Andrea Stolnik"|"Hercegovačka 6c/9
02251 Križevci"
"Tatjana Ercegović"|"Dvoranski prečac 2a
40249 Čabar"
"Luka Roso"|"Jurkovićeva 5b/8
58604 Komiža"
"Niko Šturlan"|"Gračanska 4a/4
27743 Pula"
"Julijana Županić"|"Gupčeva zvijezda 0a/1
50598 Orahovica"
"Karla Dabo"|"Ksaver 5
19827 Otok"
"Aldo Penić"|"Gradec 1b
22921 Split"
"Ivan Vaci"|"Mašekova 3c
23661 Koprivnica"
"Vedran Pandurić"|"Grič 70
44312 Sinj"
"Laura Kaniški"|"Dubravkin 2b/1
52386 Donja Stubica"
"Slavica Herout"|"Klanac Grgura Tepečića 4b/7
28723 Osijek"
"Ika Popović"|"Rokova 3c
13799 Vodice"
"Luka Sabljak"|"Ribnjak 2a/5
29580 Stari Grad"
"Mihael Zgorelec"|"Ilica 6b
51585 Pag"
"Dragan Pongrac"|"Jurjeve 9c/2
76453 Samobor"
"Valentina Vrabelj"|"Krležin gvozd 3a
68558 Duga Resa"
"Dalibor Lukinić"|"Kamaufova 6
21272 Buzet"
"Damir Lazar"|"Podgaj 6a/2
56434 Grubišno Polje"
"Mislav Matijević"|"Glogovac 8b
27024 Opatija"
"Rudolf Stražičić"|"Goljak 676
52212 Našice"
"Zlatko Štefović"|"Grič 6a/4
75692 Čakovec"
"Milan Dobrić"|"Ribnjak 3c/7
51016 Gospić"
"Luka Stošić"|"Skalinska 6a
25369 Novi Marof"
"Antun Predovan"|"Bosanska 154
65508 Donja Stubica"
"Danijel Bunčić"|"Arnoldova 4c/2
32364 Samobor"
"Matija Horvatinec"|"Bijenička 2b/2
15244 Korčula"
"Dragutin Matana"|"Zamenhofova 5c
18798 Varaždin"
"Jasna Kalanjoš"|"Paunovac 142
89115 Sveti Ivan Zelina"
"Valter Karlović"|"Mašekova 7c/9
56069 Kraljevica"
"Zdenka Amidžić"|"Streljačka 9b
35423 Pag"
"Barbara Dujmović"|"Ksaver 929
02375 Kutjevo"
"Rudolf Pečur"|"Jabukovac 140
22536 Karlovac"
"Luka Zrilić"|"Jurjeve 7a
47603 Križevci"
"Barbara Šegović"|"Opatovina 755
29660 Slunj"
"Franjo Obratov"|"Javorovac 5b/2
53696 Opatija"
"Dušan Šupraha"|"Mašekova 61
14346 Čazma"
"Karla Palić"|"Vinogradska 8a/2
27518 Opuzen"
"Maja Rubinić"|"Zmajevac 5b/8
79043 Labin"
"Anita Lasić"|"Mala 1a/1
97002 Opuzen"
"Lorena Grgurić"|"Kamaufova 0
45687 Popovača"
"Filip Smolić"|"Tošovac 23
07468 Varaždinske Toplice"
"Anka Maras"|"Kozarčev vijenac 0b
48649 Komiža"
"Luka Škugor"|"Kapucinske 62
43302 Solin"
"Gordana Pongrac"|"Mlinske 9a/7
78982 Vrgorac"
"Dušan Dretvić"|"Ilica 1c/4
99809 Belišće"
"Božica Jakupić"|"Višnjica 4
95039 Đakovo"
"Đurđica Lisica"|"Vlaška 0b
82186 Garešnica"
"Anđela Kokanović"|"Ribnjak 7
20841 Stari Grad"
"Maria Kukučka"|"Ružičnjak 7c/5
03766 Pazin"
"Branka Bučar"|"Mletačka 5a
68321 Vrgorac"
"Maria Rajčić"|"Mesnička 6b
88871 Bjelovar"
