"Albina Babić","Davor 19
73856 Novska" 
"Željka Damjanović","Perivoj srpanjskih žrtava 9a/1
10740 Poreč"
"Duje Škrtić","Jurjevska 3b
47648 Samobor"
"Katica Šeparović","Mletačka 6c/9
61633 Sinj"
"Lara Miletić","Klenovac 2a
82489 Zadar"
"Sara Jagečić","Kožarska 416
13547 Bjelovar"
"Juraj Jakopović","Rikardove 72
81318 Vis"
"Dominik Dolinar","Podgaj 9b/1
81048 Sveti Ivan Zelina"
"Nina Dragojević","Bosanska 1a/1
12654 Ilok"
"Juraj Hrastinski","Davor 2a
64057 Orahovica"
"Barbara Filipčić","Zvonarnička 06
38690 Kutina"
"Kata Dragobratović","Radnički dol 5c/6
52765 Lepoglava"
"Petar Brlas","Slavujevac 3
80585 Hvar"
"Štefica Đurinić","Harmica 1a
56873 Oroslavje"
"Katarina Resanović","Demetrova 43
26557 Pleternica"
"Matija Balinčić","Dverce 1
20602 Lepoglava"
"Filip Simić","Medvedgradska 3c
14817 Vrbovec"
"Danijela Flego","Zamenhofove 613
59826 Otok"
"Zora Sinožić","Bijenička 1b/9
15315 Požega"
"Juraj Maras","Srebrnjak 8
81290 Osijek"
"Franjo Hrvojić","Remetska 4b/6
47429 Ludbreg"
"Mia Jović","Petrova 1b
21551 Solin"
"Zoran Tomljanović","Kamenita 25
79246 Slunj"
"Dalibor Žagar","Klesarski put 1b/7
07695 Slunj"
"Erik Barušić","Gračanska 7c
27486 Kutjevo"
"Ankica Piljek","Zelenjak 5b
10959 Labin"
"Lovre Stolnik","Mletačka 0b/5
17919 Prelog"
"Valentina Tomičić","Jadranska 43
14058 Virovitica"
"Biserka Grgurić","Bučarova 3a
32630 Nova Gradiška"
"Juraj Rakela","Šestinski vijenac 1c
68222 Solin"
"Stjepan Dretvić","Šestinski vijenac 1c
41712 Makarska"
"Sanja Maras","Javorovac 3
94990 Šibenik"
"Božica Smoković","Petrova 1c/6
06968 Ploče"
"Aldo Mraović","Remetska 2a
36461 Vukovar"
"Marica Ilijić","Davor 2a/0
44163 Trogir"
"Dušan Antolković","Jezuitski trg 7b/5
28673 Trilj"
"Marina Bungić","Kamenita 652
98259 Pazin"
"Zvonko Đurašević","Vinogradska 466
57651 Varaždinske Toplice"
"Dragica Špoljarić","Golubovac 036
21050 Dugo Selo"
"Juraj Žagar","Jadranska 66
19921 Vrbovsko"
"Zdravko Bertoša","Srebrnjak 3a/1
10415 Korčula"
"Petra Ilić","Perivoj biskupa Stjepana II. 75
33573 Buje"
"Fran Vuk","Šalata 756
52511 Varaždinske Toplice"
"Milka Perak","Perivoj biskupa Stjepana II. 44
39018 Zaprešić"
"Branko Vuković","Gradec 1b/5
06045 Dugo Selo"
"Štefanija Macan","Voćarsko naselje 6c
79072 Buzet"
"Bruno Grgurević","Jabukovac 19
68641 Osijek"
"Dragan Cvrtila","Gradec 0a
58415 Vrbovsko"
"Lara Vaci","Svibovac 2
62154 Valpovo"
"Jure Barković","Podgaj 9a/9
44409 Pazin"
"Zoran Barešić","Višnjičke 2c
31523 Metković"
"Ružica Bingula","Mlinarska 2c/6
83819 Buzet"
"Aldo Benić","Male 8c/2
32645 Vinkovci"
"Mario Šturlan","Jurišićeva 5c/6
75438 Šibenik"
"Ivka Poslon","Novi Goljak 546
92829 Zadar"
"Zdravko Derežić","Zamenhofove 3c/6
45627 Osijek"
"Kata Nimac","Jagodnjak 02
88425 Solin"
"Maria Gotić","Orlovac 0c/0
58849 Vinkovci"
"Anica Dončević","Kaptol 7b/2
33212 Pula"
"Jure Guberović","Kaptol 00
68264 Omiš"
"Ivan Radović","Visoka 1
24535 Glina"
"Ane Turina","Arnoldova 3c
39492 Vodnjan"
"Biserka Volarić","Šestinski vrh 1b
40962 Umag"
"Milka Lasić","Zamenhofova 085
49168 Rijeka"
"Danica Ćurić","Slavujevac 845
86710 Kutjevo"
"Franciska Halapir","Šilobodov put 9c
82870 Novi Vinodolski"
"Dražen Mirt","Klesarski put 4c/9
21140 Kastav"
"Ljubica Kovaček","Zeleni dol 8
69809 Kaštela"
"Šime Obratov","Dubravkin 8
09415 Pag"
"Jure Martić","Podgaj 7c/3
67106 Pregrada"
"Milica Šeparović","Kraljevec 2b/6
37170 Sinj"
"Danijela Božić","Jabukovac 9b
54022 Zaprešić"
"Božo Tomičić","Klesarski put 3b
96383 Pazin"
"Janja Hrastinski","Petrova 64
33634 Vrbovec"
"Saša Gegić","Tuškanac 9a
73482 Solin"
"Lana Škrtić","Radnički dol 62
42374 Lipik"
"Andrija Alković","Šalata 11
02753 Križevci"
"Ruža Radolović","Lobmayerove 53
48876 Buje"
"Goran Urlić","Kapucinske 2b/6
48488 Sinj"
"Jure Matokanović","Dolac 3b/3
57080 Karlovac"
"Mario Mesić","Rikardove 86
93768 Glina"
"Alen Škrtić","Kozarčev vijenac 556
58504 Makarska"
"Tea Lešić","Splavnica 9c
01993 Nova Gradiška"
"Zlatko Dautanec","Kamaufova 820
71597 Gospić"
"Albina Kovaček","Pod zidom 0a
04990 Vinkovci"
"Lara Škrtić","Ljubinkovac 3
07801 Sinj"
"Domagoj Govorčinović","Wickerhauserova 429
50968 Novska"
"Siniša Herceg","Tkalčićeva 2
79583 Umag"
"Milan Ivšić","Voćarsko naselje 832
17503 Ogulin"
"Jure Mihić","Jurjevska 2b/7
43585 Grubišno Polje"
"Mate Sobota","Ilica 2
21219 Opuzen"
"Dalibor Tepeš","Glogovac 6a
62648 Slunj"
"Lana Barišić","Vinogradska 1b
13307 Bjelovar"
"Pero Stojnić","Medveščak 4
14739 Lepoglava"
"Boris Franjić","Dubravkin 8c
75713 Trilj"
"Kristina Dizdar","Kožarska 8a
49975 Ploče"
"Mare Balatinac","Cmrok 1c/2
78256 Ploče"
"Dušan Turudić","Zamenhofova 0
13148 Delnice"
"Danijel Vranić","Grič 4b/8
06352 Belišće"
"Karla Akmačić","Tošovac 8
56719 Opuzen"
"David Kosanović","Zelenjak 4b/0
00108 Donji Miholjac"
"Dora Čotić","Petrova 4a/2
97705 Labin"
"Željka Pandurić","Wickerhauserova 0b
23278 Orahovica"
"Dino Obradović","Mlinske 414
68005 Čabar"
"Duje Rebić","Opatička 9c
61100 Pleternica"
"Zora Žerjav","Magdićeve 410
64639 Novska"
"Elvis Bogović","Kamaufova 093
88214 Zaprešić"
"Željka Kraljić","Podgaj 2
91221 Ludbreg"
"Slavica Kuščević","Bučarova 8
12340 Duga Resa"
"Karla Aničić","Zavojna 1a
12825 Zlatar"
"Zdenka Dragojević","Visoka 4b/4
29578 Prelog"
"Draga Kauzlarić","Rikardove 7b/7
51560 Sveta Nedelja"
"Karla Banko","Jurišićeva 5c
50935 Crikvenica"
"Goran Lovrić","Pantovčak 50
18955 Krk"
"Dejan Abičić","Kurelčeva 0b/3
55016 Rijeka"
"Branka Vukušić","Podgaj 6c/2
95536 Šibenik"
"Valentina Đurašević","Medveščak 8a
42006 Požega"
"Mia Petrić","Glogovac 72
25929 Ogulin"
"Lucija Zakinja","Klesarski put 965
75064 Omiš"
"Karla Barbir","Pantovčak 5c/0
59955 Trilj"
"Nenad Morić","Krvavi most 0
60441 Obrovac"
"Robert Pintarić","Zamenhofove 0c
37349 Solin"
"Marijana Šestan","Višnjičke 6b/3
65296 Krapina"
"Mirko Abičić","Zmajevac 2a
72618 Split"
"Leon Pleše","Rockefellerova 343
32541 Oroslavje"
"Milica Cestarić","Ilica 6b
60393 Petrinja"
"Anka Markovac","Tkalčićeva 878
07247 Opatija"
"Nevenka Bebić","Tuškanac 69
63978 Novi Marof"
"Stjepan Petričević","Gračanska 377
92283 Metković"
"Karla Bošnjaković","Mala 6b/6
95180 Novalja"
"Veronika Filipović","Tkalčićeva 382
96797 Ogulin"
"Lorena Borošak","Kamenjak 1b
89687 Nin"
"Mateo Lucić","Remetska 2c/6
76484 Trogir"
"Milica Barić","Javorovac 24
82856 Pakrac"
"Dejan Bradić","Zvonarnička 6b/9
05088 Kraljevica"
"Matija Jugovac","Tkalčićeva 01
71491 Vrgorac"
"Romano Ušić","Kraljevečki ogranak 7c
61998 Pag"
"Dominik Bičak","Mletačka 9a/6
10506 Nova Gradiška"
"Elizabeta Sinožić","Paunovac 7c/4
95144 Novska"
"Karla Marković","Visoka 620
80263 Ludbreg"
"Milena Šeparović","Golubovac 9c/2
02441 Karlovac"
"Ružica Karagić","Voćarska 57
06051 Ivanec"
"Rudolf Jovanović","Goljačke 3a/0
89477 Opatija"
"Slavica Varga","Golubovac 6a
18050 Slunj"
"Zorka Car","Mašekova 41
68345 Hrvatska Kostajnica"
"Milan Ljubetić","Strossmayerovo šetalište 9c/0
49046 Rab"
"Albina Paradi","Opatovina 97
99315 Vukovar"
"Ema Buljan","Zamenhofova 1b
42882 Rovinj"
"Saša Orešković","Ilica 6b
09345 Pazin"
"Karla Mirt","Vlaška 9b
35037 Split"
"Šime Božičković","Voćarska 9a/8
71919 Otok"
"Zora Kokanović","Slavujevac 289
37621 Pakrac"
"Snježana Knežević","Ružičnjak 7a
87352 Pakrac"
"Mladen Palić","Vlaška 0c/0
92221 Rab"
"Ivan Lukinić","Nemetova 9b
41657 Sveti Ivan Zelina"
"Rudolf Gregov","Visoka 4c
02831 Drniš"
"Božo Zubčić","Zmajevac 9b
81998 Kutjevo"
"Franjo Jurković","Mala 0c
30468 Lepoglava"
"Veronika Maćešić","Rockefellerova 2c
72444 Hrvatska Kostajnica"
"Karla Stančin","Medvedgradska 0
01269 Vrgorac"
"Danica Radolović","Mesnička 7b/5
83837 Grubišno Polje"
"Denis Franić","Bakačeva 9c/1
30057 Trilj"
"Ante Labinjan","Visoka 4
84888 Grubišno Polje"
"Nika Miše","Kozarčev vijenac 9c/0
24014 Trogir"
"Marin Kovačić","Šumski prečac 1a/1
65334 Zlatar"
"Kristina Grbac","Svibovac 902
66962 Vukovar"
"Joško Franičević","Medveščak 2b
51206 Korčula"
"Josip Vojković","Mihaljevac 2b
80125 Metković"
"Ruža Herceg","Naumovac 78
75470 Rijeka"
"Karlo Dobrić","Radnički dol 1a/3
73480 Poreč"
"Jadranka Crnković","Perivoj srpanjskih žrtava 9a/9
30813 Kastav"
"Barbara Hrastinski","Zavojna 5a/0
36760 Glina"
"Željka Kinkela","Zavojna 7b/2
79351 Makarska"
"Fran Bungić","Zelengaj 96
39475 Donja Stubica"
"Nika Stipanović","Dverce 0a/0
27940 Sveta Nedelja"
"Veronika Božiković","Male 233
01312 Čabar"
"Josipa Guštin","Gračanska 24
23538 Nin"
"Robert Požega","Mala 2b/4
53338 Trilj"
"Ružica Bučanac","Mihaljevac 545
18653 Delnice"
"Karlo Dragojević","Golubovac 2b
94802 Kutina"
"Ante Radman","Mlinovi 9a/1
26259 Nova Gradiška"
"Lana Poljak","Šumski prečac 8c
29046 Poreč"
"Mijo Milevoj","Javorovac 8
86498 Našice"
"Štefica Beletić","Kaptol 5c
33869 Poreč"
"Barbara Hren","Nemetova 10
77553 Zadar"
"Eva Sinožić","Kozarčev vijenac 2c/1
27809 Pakrac"
"Mare Kos","Jurjeve 177
58878 Varaždinske Toplice"
"Nikša Prtenjača","Vlaška 2b/0
24018 Sinj"
"Ruža Mudronja","Javorovac 9a/5
79189 Čakovec"
"Karlo Ivanović","Šestinski vijenac 5c
33024 Dubrovnik"
"Milica Jugovac","Vinogradska 8a
82499 Donja Stubica"
"Ivo Bjeliš","Vlaška 9
54057 Velika Gorica"
"Duje Kuzmić","Višnjičke 5b
73729 Velika Gorica"
"Nikola Dautović","Strossmayerovo šetalište 7
79412 Đakovo"
"Bruno Radman","Harmica 8a/0
53543 Otok"
"Jakov Prskalo","Bosanska 6b
64274 Virovitica"
"Kate Dončević","Rockefellerova 0
25862 Dugo Selo"
"Lovro Balić","Rokov perivoj 2a
06063 Cres"
"Šime Pavelić","Medveščak 8c
52963 Lipik"
"Karlo Jureško","Ribnjak 8
06503 Jastrebarsko"
"Ivana Pajur","Nemetova 8c/3
19266 Sveti Ivan Zelina"
"Mateo Butković","Ilica 3a
60582 Slatina"
"Katarina Botica","Mletačka 62
98313 Našice"
"Janja Đurinić","Kraljevečki ogranak 1a/7
40566 Biograd na Moru"
"Nika Marin","Šilobodov put 0a/4
78726 Pula"
"Jelena Maržić","Mlinarska 1a/8
82591 Klanjec"
"Dražen Ivančan","Streljačka 6c
38162 Donja Stubica"
"Ivo Sabljak","Ljubinkovac 1a/7
95255 Ogulin"
"Dejan Dobrić","Naumovac 3c/0
23616 Skradin"
"Karlo Krpan","Lobmayerove 0a/5
24510 Pag"
"Lorena Žeželić","Višnjičke 1
85693 Slavonski Brod"
"Marina Papak","Rokov perivoj 180
18626 Otok"
"Dragica Pleše","Kozarčev vijenac 7c/2
60374 Ivanić-Grad"
"Mateo Abramović","Mašekova 2b
28454 Beli Manastir"
"Matija Perić","Perivoj biskupa Stjepana II. 6b
71547 Koprivnica"
"Mirko Jurčić","Splavnica 3b/0
90303 Gospić"
"Lidija Kraljić","Bakačeva 0a/0
97070 Rab"
"Niko Antonić","Vlaška 691
22605 Valpovo"
"Vlado Mikulandra","Šilobodov put 4c
04511 Zabok"
"Karlo Maraš","Kurelčeva 6b
65858 Čazma"
"Ljiljana Perčić","Vijenac 7a
15168 Opuzen"
"Mirko Knezović","Slavujevac 3b/7
64789 Kutjevo"
"Nevenka Halambek","Kraljevečki ogranak 38
73735 Nova Gradiška"
"Jozo Krpan","Skalinska 9a/8
06728 Donja Stubica"
"Tomislav Škunca","Kamenjak 9a
95434 Slunj"
"Dino Vretenar","Visoka 8c/0
34613 Vrbovsko"
"Branka Markanjević","Rokova 9
12789 Našice"
"Snježana Barišić","Mala 1c/6
00166 Prelog"
"Đurđica Turudić","Mlinske 2b/9
89564 Garešnica"
"Karlo Meić","Vrazovo šetalište 16
34017 Kraljevica"
"Željka Madunić","Opatička 5a
83862 Cres"
"Dejan Vorkapić","Kamenjak 3b
16876 Kutjevo"
"Nada Šokčević","Pantovčak 9a
39743 Zabok"
"Alen Jurković","Kraljevec 5
92165 Drniš"
"Marica Jovanović","Klenovac 2b/9
72505 Ivanić-Grad"
"Franciska Frketić","Mlinovi 47
93465 Varaždin"
"Marija Oršolić","Javorovac 832
73027 Metković"
"Mateo Jurković","Mesnička 9a
65691 Slavonski Brod"
"Barbara Radović","Višnjičke 6b
71678 Nin"
"Karlo Morić","Dverce 4c/9
36227 Trilj"
"Anka Žic","Lobmayerove 9c
98845 Solin"
"Ante Kadija","Perivoj biskupa Stjepana II. 9c/3
55190 Križevci"
"Vesna Buršić","Gračanska 609
83061 Osijek"
"Mia Babić","Petrova 1a/8
60427 Sveti Ivan Zelina"
"Ema Palić","Jurjeve 1b/5
28939 Pregrada"
"Vedran Filipović","Novi Goljak 7a/7
22517 Kaštela"
"Boris Jovanović","Svibovac 5
83400 Krk"
"Katica Poslon","Novi Goljak 02
26697 Pakrac"
"Pero Kralj","Šestinski vrh 1a/7
61707 Samobor"
"Karlo Peharda","Višnjica 3a
28815 Opuzen"
"Jasminka Klanac","Šestinski vijenac 83
45695 Makarska"
"Kristijan Zakinja","Zelenjak 0a/8
30231 Krapina"
"Jasminka Abramović","Šestinski vijenac 99
94730 Ogulin"
"Nikola Bezić","Lisinskoga 0c
99499 Otočac"
"Dominik Milas","Golubovac 700
61494 Nova Gradiška"
"Renata Šelendić","Dvoranski prečac 3a
62539 Kaštela"
"Mare Šunjić","Kapucinske 5a/2
35806 Križevci"
"Marko Birtić","Opatička 6a/4
79689 Biograd na Moru"
"Joso Rubeša","Kožarska 2c/6
06477 Čazma"
"Karlo Šipek","Dverce 5
63786 Đakovo"
"Dragutin Gredičak","Novi Goljak 2b
60709 Omiš"
"Dražen Galić","Male 2c/1
35375 Hrvatska Kostajnica"
"Franjo Perišić","Ribnjak 2
68104 Sisak"
"Ivana Vozila","Paunovac 910
28402 Pula"
"Denis Rogošić","Kamaufova 9c
69308 Đurđevac"
"Dejan Milotić","Perivoj srpanjskih žrtava 8c/6
11934 Ludbreg"
"Josipa Šinković","Jurišićeva 2a/0
67153 Rovinj"
"Ema Koščević","Skalinska 0b
97021 Karlovac"
"Kristijan Madunić","Gradec 4a
48989 Skradin"
"Karlo Živić","Vrazovo šetalište 4c
48401 Donja Stubica"
"Juraj Bošnjak","Gupčeva zvijezda 1c
53236 Dubrovnik"
"Marijana Govorčinović","Bučarova 0c
17156 Petrinja"
"Anđela Viljevac","Goljačke 355
37136 Donji Miholjac"
"Siniša Jureško","Medveščak 5
03479 Rijeka"
"Antonija Đurinić","Bakačeva 7a/9
65462 Stari Grad"
"Božena Papak","Vlaška 2a/5
01307 Zlatar"
"Sanja Gulan","Jurkovićeva 6c
26047 Drniš"
"Albina Beraković","Bosanska 2a
13250 Novi Marof"
"Rozalija Vuljak","Svibovac 397
09833 Pregrada"
"Kata Blažević","Remetska 3c
57423 Varaždin"
"Lorena Žiković","Nova Ves 7a
65418 Koprivnica"
"Vesna Jagečić","Podgaj 5c
07544 Zlatar"
"Ruža Kraljević","Dvoranski prečac 7c/6
22752 Samobor"
"Ivana Jugovac","Magdićeve 4b
49196 Poreč"
"Snježana Krželj","Ksaverska 8c/2
90972 Glina"
"Kristijan Dražić","Jurjevska 1b
21151 Slunj"
"Sandra Pokas","Kraljevečki ogranak 9
84069 Zadar"
"Denis Pamić","Rockefellerova 8b/6
19683 Bakar"
"Petar Sobota","Mihaljevac 5b/8
76463 Hvar"
"Kata Halapir","Voćarsko naselje 09
04665 Opuzen"
"Karlo Staničić","Krvavi most 8a/2
89224 Opuzen"
"Ruža Cindrić","Čačkovićeva 9a
90355 Čabar"
"Ivo Bučar","Kožarska 6c
59106 Buzet"
"Viktor Mamić","Krležin gvozd 8b/9
47343 Glina"
"Davor Grba","Rockefellerova 021
40009 Duga Resa"
"Patrik Mudri","Wickerhauserova 09
83248 Otočac"
"Sanja Petek","Splavnica 5
91002 Obrovac"
"Biljana Crnković","Opatovina 786
94186 Garešnica"
"Mislav Turčinov","Šilobodov put 7a/7
51428 Nova Gradiška"
"Kata Herout","Dubravkin 43
04852 Bjelovar"
"Lovro Vuljak","Glogovac 8c/9
87608 Dugo Selo"
"Zlatko Špika","Jagodnjak 136
59782 Rijeka"
"Petar Bojanić","Dverce 4b
22925 Jastrebarsko"
"Davor Adžijević","Jurkovićeva 7c
04621 Mali Lošinj"
"Igor Barišić","Ružičnjak 7b/7
16384 Rovinj"
"Eva Eršek","Vijenac 7
56364 Ozalj"
"Ružica Čubrić","Opatička 934
90903 Novigrad"
"Mia Šibalić","Zelenjak 75
13637 Rijeka"
"Marija Stražičić","Streljačka 1b/2
63586 Popovača"
"Kata Jagečić","Bosanska 7a
70818 Otočac"
"Ivanka Surać","Nova Ves 3a/5
93225 Rab"
"Hrvoje Barušić","Mihaljevac 557
84362 Vodnjan"
"Barica Hardi","Zeleni dol 37
71803 Omiš"
"Lovre Josipović","Donje Prekrižje 6c
76519 Ozalj"
"Jasna Norac","Jagodnjak 7b/5
80935 Varaždin"
"Eva Risek","Hercegovačka 9c
39716 Vis"
"Romano Krznarić","Ružičnjak 50
74086 Pag"
"Renata Šegović","Lobmayerove 9a/4
58820 Poreč"
"Šime Pikec","Vijenac 3b/5
24806 Sveti Ivan Zelina"
"Kata Kaniški","Tuškanac 003
48737 Donji Miholjac"
"Lucija Hinić","Bosanska 6a/1
43157 Bakar"
"Boris Pavlović","Slavujevac 8b/6
32804 Sinj"
"Leon Lucić","Remetska 6b
36649 Skradin"
"Elizabeta Prpić","Mesnička 995
07218 Beli Manastir"
"Ilija Džapo","Dubravkin 3b
56206 Valpovo"
"Lara Govorčinović","Harmica 2c/3
03365 Trogir"
"Jana Roca","Klenovac 2c/8
80473 Varaždinske Toplice"
"Vera Gržetić","Krležin gvozd 1b
43888 Virovitica"
"Sara Vuković","Zmajevac 3a/8
88855 Benkovac"
"Kata Šimara","Svibovac 4a/6
96340 Oroslavje"
"Mijo Rađenović","Slavujevac 673
42734 Valpovo"
"Nina Špoljarić","Paunovac 7b
97337 Otok"
"Nikola Jakopović","Jagodnjak 9a
40785 Kutjevo"
"Duje Komljenović","Jurišićeva 2
40569 Ploče"
"Nataša Drakulić","Rokov perivoj 5c
98118 Opuzen"
"Antonija Božičković","Paunovac 3b
30654 Vrbovsko"
"Mara Božanović","Kozarčev vijenac 3b/7
30054 Đakovo"
"Jasna Vidas","Arnoldova 2a/9
84595 Lipik"
"Vera Radinović","Kraljevec 001
11166 Donji Miholjac"
"Kata Žugec","Srebrnjak 211
05276 Sveta Nedelja"
"Ružica Kraljević","Gornje Prekrižje 57
55773 Stari Grad"
"Toni Husnjak","Podgaj 5b
20188 Vodice"
"Kata Veić","Orlovac 1
85553 Kutjevo"
"Valentina Gudelj","Kraljevečki odvojak 5c
26720 Hrvatska Kostajnica"
"Robert Žic","Glogovac 7a/9
79757 Crikvenica"
"Goran Čupić","Istarska 4a/8
15389 Samobor"
"Sanja Šunjić","Mesnička 2c/0
95494 Dugo Selo"
"Slavko Novosel","Novi Goljak 65
03322 Bakar"
"Ivan Perkov","Remetska 0a
73558 Slunj"
"Katarina Barković","Paunovac 8a/0
97601 Slunj"
"David Vozila","Klanac Grgura Tepečića 8c
78930 Imotski"
"Vjekoslav Ribić","Vlaška 5c/8
30855 Čazma"
"Robert Odobašić","Ružičnjak 17
48877 Samobor"
"Nikolina Kinkela","Jabukovac 021
65371 Drniš"
"Sanja Kokorić","Davor 1
03825 Omiš"
"Mato Štefanec","Podgaj 3a
97993 Rijeka"
"Laura Baričević","Naumovac 8c/1
25316 Ludbreg"
"Marin Popović","Grič 285
37115 Sveta Nedelja"
"Jure Lukša","Vinogradska 4b/3
38476 Čabar"
"Katarina Eterović","Bučarova 4
71494 Vis"
"Zorka Ignac","Ljubinkovac 176
39767 Prelog"
"Barbara Slavica","Srebrnjak 9a/9
11341 Vrbovec"
"Petra Peterlik","Male 184
51321 Benkovac"
"Marija Kostelac","Ružičnjak 08
30345 Pregrada"
"Milica Novosel","Medvedgradska 23
06613 Zagreb"
"Fran Filipčić","Wickerhauserova 0a
47964 Ozalj"
"Ivanka Zubčić","Vlaška 6a/7
18122 Rovinj"
"Zora Jugovac","Pantovčak 5b
27746 Trogir"
"Katica Kolić","Rokov perivoj 2b
50279 Pregrada"
"Katarina Galović","Svibovac 66
85507 Mali Lošinj"
"Kata Dautanec","Paunovac 60
96603 Varaždin"
"Veronika Puharić","Višnjica 471
42077 Vinkovci"
"Mirjana Hren","Slavujevac 53
95468 Labin"
"Mira Matulin","Jurkovićeva 2a/4
19918 Supetar"
"Slavko Lelas","Ilica 4c
78989 Zaprešić"
"Filip Mihaljević","Vončinina 5a/2
15113 Čakovec"
"Pero Toić","Pantovčak 351
34981 Novska"
"Kristina Varga","Ribnjak 1c/9
72196 Krk"
"Lana Stančin","Zavojna 4c
75573 Otočac"
"Katarina Morić","Rockefellerova 8c/3
95470 Virovitica"
"Damir Brlas","Harmica 3a
17319 Virovitica"
"Igor Britvec","Tkalčićeva 18
78127 Krk"
"Jele Komljenović","Ljubinkovac 2c
73320 Ludbreg"
"Ljubica Marin","Bosanska 9a
55250 Rovinj"
"Dragan Svetličić","Ksaverska 35
97496 Ozalj"
"Ljiljana Svetličić","Mlinske 565
11683 Osijek"
"Sanja Labaš","Voćarsko naselje 2a/7
12359 Komiža"
"Ružica Rumora","Cmrok 7a/1
72924 Opatija"
"Dražen Lovrić","Palmotićeva 9c/3
64590 Vrlika"
"Katarina Palić","Paunovac 8
17416 Vinkovci"
"Damir Andrijević","Višnjičke 5c/3
09300 Sisak"
"Josip Borak","Ksaver 94
68031 Kutjevo"
"Tatjana Colić","Horvatovac 0b
70334 Otočac"
"Alen Oršolić","Mlinarska 4b
65031 Dugo Selo"
"Mladen Seničić","Podgaj 3a/3
70242 Čabar"
"Ema Begonja","Krležin gvozd 1b/9
29346 Vis"
"Antonija Božić","Ružičnjak 2b/9
31789 Križevci"
"Andrija Friščić","Harmica 1c
74461 Ozalj"
"Suzana Pavin","Krležin gvozd 2
78941 Krk"
"Katarina Rašeta","Ribnjak 1b/6
70102 Kraljevica"
"Romano Krznarić","Nemetova 69
79468 Pula"
"Slavko Mišak","Davor 0a/0
38983 Valpovo"
"Dalibor Žagar","Mala 4b/7
65469 Belišće"
"Tatjana Butković","Slavujevac 1b/8
83916 Križevci"
"Laura Sorić","Perivoj biskupa Stjepana II. 9a
71349 Koprivnica"
"Ilija Jukić","Zeleni dol 7b
33119 Pakrac"
"Šime Grba","Harmica 9
14794 Vrlika"
"Ema Ivančan","Jezuitski trg 5b/3
27787 Križevci"
"Vera Jureško","Krvavi most 7
64338 Pula"
"Katarina Tolj","Gornje Prekrižje 195
71756 Beli Manastir"
"Stana Lorencin","Pantovčak 8a/9
18998 Oroslavje"
"Vjekoslav Čagalj","Nova Ves 8b
02130 Ivanić-Grad"
"Anđa Stanić","Bosanska 4b/1
26926 Virovitica"
"Mateo Mofardin","Podgaj 3c/2
31816 Vinkovci"
"Gordana Bungić","Tuškanac 3
01354 Kastav"
"Boris Kučić","Kaptol 9
30557 Pakrac"
"Antun Viljevac","Strossmayerovo šetalište 7a/1
98177 Jastrebarsko"
