"Alain Balmat"|"chemin Badan 41
1834 Robadey" 
"Maxime Piccand-Piccand"|"boulevard Françoise Fonjallaz 179
9338 Théraulaz an der Aare"
"Claudine Bonvini-Duroux"|"boulevard de Monnard
7631 Corpataux am See"
"Hugo Robert-Masseron"|"rue Beuret
7487 Marti am Albis"
"Corinne Uldry"|"boulevard Antonio Théraulaz 5
7597 Morand"
"Mélanie Cousin"|"chemin Nathalie Monnard 10
9941 Gubéran am Albis"
"Mélanie Béguelin"|"chemin Alicia Maire 543
7454 Peitrequin am Albis"
"Yvette Humbert"|"chemin Manuel Julliard 25
7816 Menthonnex (ZG)"
"André Cretton-Courvoisier"|"rue Robadey 281
6105 Humbert-sur-Gillièron"
"Jacqueline Cosandey"|"chemin Simone Paccot 74
7156 Vuille-sur-Comment"
"Loïc Treboux"|"rue Laura Sansonnens 92
4386 Delèze"
"Nathan Béguelin"|"boulevard de Vuille 40
8064 Dubey-des-Bois"
"Frédéric Duvanel"|"rue de Marti 46
6561 Grosjean (FR)"
"Romain Masseron"|"avenue Martin 92
2101 Beguin-Dessus"
"Germaine Francillon"|"boulevard Nathan Monnet 79
8303 Vermeil"
"Sandra Joly-Mottiez"|"rue Florian Jacot-Descombes 466
9209 UnterGalland"
"Sarah Saudan"|"boulevard Botteron 57
8942 UnterGeorges"
"Frédéric Beuchat"|"chemin Caroline Crevoisier 9
4553 de Dardel-près-Mottet"
"Jacques Gubéran"|"boulevard Isella 89
9747 Babey-sur-Marti"
"Loïc Boichat"|"rue Bruno Cattin 59
5758 Fonjallaz (TG)"
"Loïc Vonlanthen"|"rue Jean-Claude Bovet 57
8132 Rossellat am Rhein"
"Charlotte Bochud"|"chemin Jacot-Guillarmod 452
5049 Conrad"
"Chloé Beuchat-Conrad"|"rue Antonio Barbey 9
3520 Saint Chopard"
"Raymond Comman"|"rue de Peitrequin 74
1887 Rosselat-sur-Besençon"
"Isabelle Cosandey"|"chemin Chapuis
9799 Joye"
"Alicia Pellet"|"avenue Grand 2
4122 Bourquin (BL)"
"Emma Deladoëy"|"boulevard de Barbey 24
9984 Grojean-sur-Marti"
"Thérèse Coigny"|"chemin Jomini 53
5972 Candaux-sur-Carraux"
"Albert Pachoud"|"chemin de Privet 82
6223 Deshusses-près-Joly"
"Christine Marti"|"boulevard Chopard 847
7337 Beguin-la-Ville"
"Luca Balmat"|"rue Nüsslin 90
4727 Marty-Dessus"
"Louis Cosendey"|"rue Menthonnex 75
5774 Diesbach"
"Bruno Montandon"|"avenue de Delèze 981
8942 Coigny"
"Alice Cosendey"|"rue Léa Chatriand 72
2192 Sainte Courvoisier"
"Françoise Godet"|"avenue de Peitrequin
8066 Chatriand"
"Françoise Badan"|"rue Liliane Paschoud 41
4716 Jacot-Guillarmod"
"Henri Bourquin"|"rue Albert Brahier
9091 Brahier"
"Luca Monnet"|"chemin François Maire
4221 Saint de Dardel"
"Lucie Boillat-Chatriand"|"chemin Laurence Bahon 66
8039 Curdy"
"Claudine Fonjallaz"|"rue Cornut 89
5330 Müller"
"Luca Besançon"|"boulevard Mercier 22
1860 Galland-des-Bois"
"Jacqueline Bugnon-Martin"|"boulevard Chenaux 22
4651 Badan (LU)"
"Nathan Carraux"|"boulevard Bovet 3
4688 Joly-sur-Comman"
"Vanessa Chapuis"|"rue de Julliard 30
6786 Saudan an der Aare"
"Daniel Morard"|"chemin de Muriset
9166 Rey"
"Pascal Chatriand"|"rue de Georges 287
1780 Pasquier"
"Léo Balmat"|"rue de Chatriand 93
2825 Saint Crevoisier"
"Théo Crivelli"|"chemin Thérèse Paccot 59
1540 Chevalley"
"Véronique Chatriant"|"chemin Frédéric Quartier 679
7602 Chevalley-sur-Dubey"
"Nathan Babey"|"rue de Vonlanthen 41
5123 Saint Vonlanthen"
"Luca Beurret"|"rue Humbert 50
7586 Rosselat am Albis"
"Françoise Julliard"|"boulevard Julien Grojean 93
8103 Berberat am Rhein"
"Thierry Chevalley"|"rue de Vonlanthen 31
3335 OberAeby"
"Eliane Dubey-Carron"|"rue Mercier 823
6418 Gillièron (TG)"
"Charles Monnard"|"avenue de Droz 483
3729 Bugnon-près-Comte"
"Patrick Barman"|"avenue José Mayor 618
4789 Saint Barbey"
"Julien Muriset"|"rue Julie Bourquin 629
3324 Badel-la-Ville"
"Sylvie Robadey-Paccot"|"rue Nüsslin 29
7609 Cornut"
"Georges Cattin"|"rue Aebi 51
3275 Balmat-près-Robert"
"Luca Gubéran"|"rue Jean-Claude Gilliéron 89
7111 OberMayor"
"Luca Bourquard"|"rue Gilbert Mottiez 4
9652 Bochud"
"Charles Beuchat"|"avenue de Chenaux 67
8630 Béguelin-des-Bois"
"Elisabeth Peitrequin"|"chemin Germaine Brandt 15
2397 Brahier"
"Alice Sansonnens"|"chemin Nusslé 81
7250 Montandon-sur-Mercier"
"Théo Joye"|"rue Marie Sandoz 719
7596 Piccand"
"Denise Müller-Chevalley"|"boulevard de Chapuis 75
6321 Carraud-Dessus"
"Albert Droz"|"rue Gilbert Marti 2
9945 Thorens"
"Jeanne Deshusses"|"boulevard Monique Masseron 35
4520 Berberat"
"Stéphane Aebi"|"rue Boillat 74
6568 Monnet am Rhein"
"Ethan Alber"|"boulevard de Rossellat
1049 Bourquin-Dessus"
"Luca Carraud"|"boulevard Jean-Claude Matile 81
4411 UnterBugnon"
"Thierry Crivelli"|"rue Marianne Mottet 85
9034 Brandt (UR)"
"Christiane Rappaz"|"avenue Delèze 49
3172 Georges-près-Fonjallaz"
"Marie Thorens"|"chemin de Dubey 22
4126 Montandon-la-Ville"
"René Treboux-Aebi"|"chemin Jacot-Descombes
3823 Jacot-Guillarmod"
"Claude Monnet"|"rue Jacot-Guillarmod
6202 Vonlanthen an der Aare"
"Patrick Boichat"|"rue Odette Besançon 111
1228 Cretton-près-Duvanel"
"Hélène Bovet"|"rue de Bourquin 23
6731 Jacot-Guillarmod am See"
"Charles Bourquard"|"avenue de Mercier 99
5390 Duvanel-près-Morard"
"Henri Bernasconi-Isella"|"boulevard Roland Quartier 86
6891 Aebi"
"Luca Carraux"|"rue de Cosandey 190
8494 Cosandey-sur-Barillon"
"Fabienne Crevoisier"|"avenue de Jomini 56
6645 Sandoz-Dessous"
"Michael Humbert"|"rue de Robadey 94
5440 Aeby (AI)"
"Alicia Cosendey"|"rue Barbey 19
1454 Muriset (TI)"
"Vincent Béguelin"|"boulevard Lara Tinguely 52
9781 Boechat"
"Sandra Cretton-Conrad"|"rue Nelly Saudan 55
7814 Comment"
"Laurence Beguin"|"chemin Georgette Bahon 259
7428 Matile-Dessus"
"Pascal Barman"|"rue Besançon 12
8375 Délèze"
"Léo Menthonnex"|"boulevard de Rossellat 8
7976 Saudan"
"Théo Bovet"|"avenue de Rosselet 33
1083 Besançon-les-Bains"
"Luca Coigny"|"chemin Boichat
3253 Vonlanthen an der Aare"
"Kevin Monnet"|"chemin de Corboz 79
2362 Charpié"
"Florian Corbat"|"chemin Sarah Dubey 17
8357 UnterGubéran"
"Marianne Crivelli"|"chemin Claudine Droz 593
7610 Joye am See"
"Roland Menthonnex"|"avenue Masseron
4388 Rosselet-des-Bois"
"Julien Grosjean"|"chemin Matile 28
9212 Blanc (VS)"
"Sarah Bujard"|"chemin de de Dardel 9
6752 Coigny (AI)"
"Jean-Claude Uldry"|"avenue Matteo Chopard 1
8704 Fonjallaz-sur-Müller"
"Claude Grand"|"avenue Thomas Meyer 87
6399 Monney"
"Samuel Délèze"|"rue Camille Quartier 59
5834 Rey"
"Luca Cornuz"|"rue Chevalley 75
6187 Wicht-Dessus"
"Clara Sandoz"|"boulevard de Candaux 72
6811 Babey (FR)"
"Jonathan Curdy"|"avenue Daniel Niquille 94
1951 Chevalley-Dessus"
"Lisa Privet"|"boulevard de Julliard 53
6579 Beuchat"
"Alexandre Badel"|"rue Alain Chevrolet 5
9643 Vallélian (BE)"
"Caroline Aebi"|"avenue Julliard 841
9715 Comman-sur-Cosandey"
"Luca Musy"|"rue Léa Mottiez
9977 Fonjallaz (BS)"
"Jean Pasquier"|"rue Deshusses 21
8739 Vienne"
"Matteo Paschoud"|"rue Masseron 9
3286 Cornut"
"Jacques Barillon-Berberat"|"avenue de Niquille
3866 Gillièron-sur-Théraulaz"
"Luca Cosendey"|"chemin Claudine Paccot 29
2830 Muriset"
"Corinne Muriset"|"boulevard de Crivelli 87
2678 Pasquier-Dessous"
"Michel Théraulaz"|"boulevard Elisa Aebi 58
9679 Humbert-sur-Rosselet"
"Camille Jacot-Guillarmod-Théraulaz"|"avenue Sylvie Courvoisier
9822 Polla-près-Gillièron"
"Lisa Botteron-Vienne"|"rue Müller
6749 Vonlanthen"
"Christophe Alber"|"rue de Piccand 66
1956 Chapuis am Albis"
"Guillaume Cosandey"|"rue Barman
1820 Barman (OW)"
"Aurélie Privet"|"rue de Monnet 20
8708 Brandt"
"Matteo Robert"|"rue Nusslé 33
7547 Marti-près-Carron"
"Thomas Comment-Cretton"|"avenue de Beurret
5854 Mayor an der Aare"
"Luca Duroux"|"rue de Vuille 75
6580 Délèze an der Aare"
"Marcel Monney"|"rue Paschoud 31
3325 Fonjallaz-près-Chapuis"
"Albert Cornut"|"avenue de Jacot-Guillarmod 26
9165 Marti-sur-Bonvini"
"Stéphane Privet"|"boulevard Nusslé 2
3412 Monnet"
"Nicole Julliard"|"avenue Monnet 97
6198 Galland"
"Monique Beguin-Carraux"|"avenue François Gillièron 1
4009 Uldry-Dessous"
"Monique Paccot-Pachoud"|"chemin Uldry 46
9801 Candaux (SZ)"
"Claude Cattin"|"chemin de Gubéran 135
7377 Gillièron-Dessus"
"Léo Blanc-Muriset"|"rue Stéphanie Bahon 9
8830 Diesbach-Dessous"
"François Nusslé"|"rue de Rosselat 7
4494 Carraux-les-Bains"
"Luca Gubéran"|"avenue Boechat
1292 Delèze (BS)"
"David Bourquard"|"avenue Comman
4748 Conrad-les-Bains"
"Christian Francillon-Badel"|"rue Besse
5059 Joye-des-Bois"
"Françoise Chaudet"|"rue Charpié 15
9310 Georges (GR)"
"André Chevalley"|"rue de Deladoëy 270
8339 Brahier"
"Emma Robert"|"rue Robadey
9609 Chatriant"
"Sébastien Niquille-Cattin"|"rue Marty 74
4080 UnterBahon"
"Liliane Polla"|"chemin Marie Vuille 483
7013 Quartier an der Aare"
"Jean Béguelin-Treboux"|"avenue Suzanne Müller
4279 Jacot-Descombes-près-Crevoisier"
"Liliane Cossy-Besençon"|"rue Christian Brandt 66
8530 Niquille an der Aare"
"Luca Julliard-Bonvin"|"chemin Chatriant 458
1347 Berberat-des-Bois"
"Claudine Grojean"|"avenue Frédéric Beuchat 91
4513 Piccand"
"Alexandre Chatriant"|"rue de Menthonnex
6520 Beguin"
"Nathan Chapuis"|"chemin Chatriant 14
1870 OberJoye"
"Stéphane Crivelli"|"chemin Niquille 297
6409 Humbert an der Aare"
"Jean-Claude Bonvini-Gubéran"|"chemin Nolan Botteron 82
5727 Matile-Dessous"
"Anna Delèze"|"avenue Léa Carraud 98
4332 Cornut an der Aare"
"Georgette Pellet-Bujard"|"boulevard Müller 282
1921 Cossy"
"Elodie Courvoisier"|"rue Samuel Barbey 68
8017 Deladoëy-Dessus"
"Nolan Marti"|"boulevard Caroline Carron 88
6965 Paschoud-la-Ville"
"Luca Monnet"|"boulevard Pierre Jomini 63
4194 Aebi-les-Bains"
"Thérèse Paschoud"|"rue Joye
4166 Jacot-Descombes"
"Christine Brandt"|"rue Liliane Boillat 37
1877 Barbey"
"Suzanne Sansonnens"|"rue Bruno Mottet 4
5576 Mayor"
"Stéphane Mottet"|"chemin Robadey 10
3276 Pellet"
"Robert Privet"|"chemin Humbert 4
5598 Peitrequin-sur-Isella"
"Roger Bochud-Vienne"|"chemin Vienne
7780 Bonvini am Rhein"
"Gérard Maire"|"boulevard Monnard 21
1597 Chenaux-sur-Chevrolet"
"André Corpataux"|"rue Louis Aeby 545
3885 Cornuz"
"Pierre Théraulaz"|"chemin Daniel Musy 14
2762 Delèze-Dessous"
"Luca Monnet"|"rue de Rossellat 23
7015 Conrad-sur-Rosselet"
"David Monney"|"rue de Bernasconi 53
9865 Charpié am Albis"
"Patricia Broquet"|"avenue Léo Chevalley 77
2313 Menthonnex"
"Christiane Jacot-Guillarmod-Beuchat"|"boulevard Morard 468
3426 Badan-sur-Bavaud"
"Bernard Cossy"|"rue de Julliard 77
2081 Thorens an der Aare"
"Mathieu Beuret-Muriset"|"chemin Germaine Delèze 6
6184 Béguelin (GL)"
"Robert Julliard"|"chemin Suzanne de Dardel 65
7149 Besse-Dessous"
"Fabienne Carraux"|"boulevard Fabienne Chevrolet 2
9326 Masseron"
"Samuel Bavaud"|"rue Eric Beuchat
4816 Paschoud-près-Chapuis"
"Kevin Besse"|"boulevard Pierre Rapraz 5
9330 Mottiez-sur-Galland"
"Luca Müller"|"chemin Christine Chatriant 77
4881 Privet-près-Monnet"
"Jacques Cretton"|"avenue José Alber 510
3781 Chevrolet"
"Catherine Mottiez"|"rue de Droz 44
6352 Brahier (GR)"
"Marie Vermeil"|"rue Liliane Georges 93
5838 Bonvin"
"Elisabeth Sandoz"|"avenue Nicolas Robert 121
9984 Delèze"
"Alice Coigny-Brandt"|"rue Chantal Monnet 66
5411 Humbert"
"Louis Humbert"|"rue Camille Deshusses 744
7910 Barbey (AR)"
"Nathan Duroux"|"chemin Lucie Musy 33
1927 Vallélian (OW)"
"Jessica Privet"|"avenue Laurent Pasquier 6
7295 Deladoëy"
"Elodie Délèze-Besse"|"boulevard de Morard 2
9898 Barbey"
"Luca Rosselat"|"rue Jacot-Descombes 55
1997 Rosselat-Dessus"
"Roger Joly"|"rue Maria Uldry 62
8404 Carron-des-Bois"
"Elodie Badel"|"rue Peitrequin 699
8722 Chopard"
"Sandrine Cretton"|"avenue de Grojean
6783 Barbey-sur-Blanc"
"Jessica Sandoz"|"rue Stéphane Vienne 64
3396 Mottet (NE)"
"Lisa Morand-Comman"|"chemin Jonathan Morard
1354 Marti-près-Wicht"
"Philippe Sansonnens"|"rue de Polla 3
3645 Piccand"
"Jacques Rosselet-Grand"|"boulevard de Paccot 4
6906 Montandon-la-Ville"
"Laurent Carraud"|"rue Coigny 9
2079 Bourquard-sur-Chenaux"
"Paul Rappaz"|"rue Rossellat 98
6875 Crevoisier"
"Luca Vuille"|"rue Sansonnens 6
3047 Monney"
"Laurent Robadey"|"boulevard de Julliard 36
2015 Martin am Albis"
"René Matile"|"rue de Courvoisier 55
3184 Boechat (ZH)"
"Kevin Grojean"|"chemin Julliard 478
9941 Duvanel am Rhein"
"Denise Delèze-Cretton"|"chemin de Jomini 21
5860 OberAlber"
"Jean-Pierre Thorens"|"rue de Boichat 861
1882 Piccand"
"Marcel Corbat-Rey"|"rue Jacot-Guillarmod 5
5899 Beuchat"
"Claude Robadey"|"rue de Piccand 90
7440 Grojean-sur-Comte"
"Bernard Bouvier"|"chemin Nicole Cosandey 713
9379 Beguin"
"Stéphane Chatriand"|"boulevard Nusslé 16
9717 Curdy (GE)"
"Lucas Berberat"|"chemin Michael Jacot-Descombes 401
4528 Corbat-Dessus"
"Valérie Uldry-Carraux"|"boulevard Vincent Maire 684
6197 Besse"
"Antonio Broquet"|"rue de Humbert 8
6117 Romanens-près-Carron"
"Roland Galland"|"rue Maurice Polla 25
2880 Chapuis"
"Manuel Pellet"|"rue Joye
6470 Julliard am See"
"Hugo Monnard"|"rue Pellet
6877 Chevalley-sur-Grosjean"
"Raymond Chevalley"|"avenue de Besançon
1393 Delèze"
"Antonio Pellet"|"rue de Quartier 6
4946 Vonlanthen-près-Jacot-Guillarmod"
"Bruno Corboz-Müller"|"rue de Rappaz 720
8062 Muriset"
"Antonio Chatriant"|"avenue Monney 26
2384 Rappaz"
"Lucas Berberat-Georges"|"avenue de Beguin 92
2075 Romanens-des-Bois"
"Lisa Masseron"|"rue de Joye 2
2829 Francillon"
"Théo Badan"|"boulevard de Badel 15
9931 Rappaz"
"Nathan Chappuis"|"chemin Nicolas Montandon 11
6230 Crivelli-près-Bavaud"
"Jonathan Bouvier-Sandoz"|"chemin de Comman 61
8856 Müller-sur-Vonlanthen"
"Samuel Polla"|"chemin Roger Bugnon
2023 Chappuis (SG)"
"Hugo Corpataux"|"rue de Vallélian 924
2124 Chatriand"
"Elisa Charpié"|"rue de Droz
4552 Evéquoz"
"Christophe Chevalley-Masseron"|"rue Cosendey 862
8464 UnterBonvin"
"Madeleine Comman"|"boulevard de Treboux
4830 Charpié"
"Lucas Chatriand-Francillon"|"chemin Claude Vienne 36
9158 Corbat"
"Christine Saudan"|"chemin Jean Thorens 561
3626 Vermeil am See"
"Jonathan Boichat"|"boulevard Jean Mayor 43
3552 Fonjallaz"
"Patrick Chevrolet"|"rue de Vermeil 19
9531 Cossy-Dessous"
"Frédéric de Dardel"|"avenue de Gilliéron
5272 Beguin"
"André Broquet"|"boulevard Laetitia Bovet 89
6645 Martin-sur-Chevrolet"
"Bernard Chaudet"|"avenue de Bourquin 6
6996 Comte"
"Laetitia Chevrolet-Comman"|"boulevard Balmat 54
2546 Beuchat-Dessus"
"Eric Barillon"|"boulevard de Joye 9
1004 Mottet-Dessous"
"Mélanie Carraux"|"rue de Nusslé
5540 Dubey am See"
"Lucas Chaudet"|"boulevard Béguelin 870
6584 Müller"
"Kevin Cornut"|"chemin Corboz 47
7253 Besençon-sur-Cornut"
"Vanessa Crivelli"|"rue Robadey
5516 Alber am See"
"Daniel Beguin"|"rue de Paschoud 51
5930 Beguin am Albis"
"Louis Berberat"|"rue René Chopard 1
2368 Courvoisier-des-Bois"
"Stéphane Cattin"|"chemin Barman 520
4856 Jacot-Descombes am Albis"
"Manon Deshusses"|"rue Jeanne Galland 78
2815 Barillon"
"Marcelle Besançon"|"rue de Chappuis
6202 Sansonnens am Rhein"
"Elodie Pasquier"|"rue de Chopard 22
5797 Privet"
"Marcel Carraud"|"rue Jacques Cornuz 9
6170 Mayor-près-Chaudet"
"Lucas Coigny"|"rue Monnet
4430 Aeby"
"Loïc Cattin"|"boulevard de Menthonnex 6
2794 Comte an der Aare"
"Christophe Pellet"|"chemin Catherine Droz
3030 Thorens"
"Sarah Nusslé-Mayor"|"avenue Montandon 20
5294 Robert-sur-Bonvini"
"Emilie Théraulaz"|"rue Aeby
2961 Dubey"
"Jeanne Julliard"|"boulevard Droz 205
1666 Mottiez (BS)"
"Simone Bujard"|"rue de Piccand 6
6142 Musy"
"Nathan Droz"|"chemin Valérie Boichat 86
9394 Godet-sur-Alber"
"Michel Mercier"|"chemin de Cornut
6757 Comman (ZG)"
"Charles Cretton-Muriset"|"boulevard Michel Chenaux
7879 Sainte Humbert"
"Lucas Duvanel-Boechat"|"boulevard de Badan 10
7530 UnterVienne"
"Daniel Müller-Cornut"|"avenue Alexandre Pellet 57
3870 Nusslé"
"Danielle Monnet-Comman"|"avenue de Chopard
8910 Bahon am Albis"
"Hélène Cosendey-Sandoz"|"boulevard de Comman 26
3018 Masseron-Dessus"
"Jeanne Müller-Pellet"|"rue Coigny
7888 Bavaud-sur-Crivelli"
"Danielle Pasquier"|"rue Georges Uldry 154
6333 Rapin am Albis"
"Christiane Barillon"|"rue de Julliard 155
7741 Francillon-des-Bois"
"Marcelle Delèze"|"boulevard Claude Rey 592
6110 Aebi-les-Bains"
"Jessica Bonvini"|"boulevard Conrad 23
4505 Francillon-des-Bois"
"Alicia Joye"|"chemin Roland Beuchat
2493 Droz-près-Berberat"
"Lucas Galland"|"rue Mottiez 522
9080 Wicht"
"Maxime Crevoisier"|"avenue Mathieu Maire 3
9684 Grosjean"
"Raymond Bouvier"|"chemin René Badel 24
4473 Quartier-près-Chatriant"
"Eric Chevalley"|"rue de Délèze 55
6927 Georges"
"Emilie Joly"|"rue Duroux 768
6286 Courvoisier"
"Sara Monnet"|"chemin Marie Cattin 642
3630 Cosendey"
"Hélène Duvanel"|"rue Claudine Alber 32
5856 Jacot-Guillarmod-près-Besençon"
"Matteo Cossy"|"boulevard de Beurret 1
6059 Chappuis"
"Julie Pachoud"|"boulevard Georges Coigny 29
6528 Cornuz"
"Léo Bahon"|"rue Vincent Comman
9920 UnterCorbat"
"Lucas Jomini"|"rue de Morard 1
2131 Cornut am See"
"Jeanne Pellet"|"rue Albert Peitrequin
8254 UnterVienne"
"Stéphanie Comte"|"boulevard Wicht 638
5603 Carraux-près-Paccot"
"Claudine Cousin"|"rue Quartier 943
9594 Jacot-Descombes"
"Mathieu Deshusses"|"avenue Michel Bonvini 20
1758 Boichat-Dessous"
"Robert Duroux"|"rue de Pachoud 72
2325 Joly (OW)"
"Matteo Müller"|"boulevard de Galland 72
7241 Saint Rapin"
"Maxime Bernasconi"|"rue de Meyer 8
3878 UnterCornut"
"Stéphanie Marti-Comte"|"boulevard Paschoud 35
7150 Chapuis-sur-Cornuz"
"Julie Grosjean"|"boulevard Cattin 20
1526 Crivelli (SZ)"
"Lucas Menthonnex-Fonjallaz"|"avenue Bahon 62
9445 Thorens"
"Louis Brandt"|"rue de Privet 19
4336 Gilliéron-sur-Diesbach"
"Noah Brandt"|"chemin de Beguin
7698 OberPaccot"
"Clara Curdy"|"boulevard Chaudet 70
2080 Brahier-Dessous"
"Christine Francillon"|"avenue Bujard
8435 Broquet am Rhein"
"Catherine Droz"|"rue de Delèze 103
7344 Rappaz-près-Monnet"
"Elisabeth Chappuis-Sandoz"|"rue de Corbat 43
9738 Charpié"
"Daniel Badan"|"rue Ana Chatriant 972
2097 Carraux-les-Bains"
"Nathan Alber-Boillat"|"rue Yvette Isella 72
3346 San Cousin"
"André Berberat-Vallélian"|"avenue Claude Coigny 8
4142 Besse-près-Romanens"
"Lucas Romanens-Sandoz"|"avenue de Aeby 71
5821 Bugnon-Dessus"
"Christian Carraud"|"rue Vienne 78
3674 Duroux"
"Jessica Pachoud"|"boulevard Monnet 1
9017 Alber"
"Jean-Pierre Rosselet"|"rue Bouvier 29
9135 Quartier"
"Maurice Gilliéron"|"boulevard Botteron 866
7602 Treboux am See"
"René Gilliéron"|"boulevard Théraulaz 96
7850 Duroux"
"Valérie Botteron"|"rue Chenaux 93
7813 Théraulaz-sur-Vuille"
"Frédéric Pellet"|"rue de Polla 40
7498 Babey-Dessous"
"Luca Balmat"|"avenue de Barbey 210
6757 Chappuis"
"Matteo Charpié"|"boulevard de Grand 24
2870 Nüsslin"
"Lucas Rosselat-Nüsslin"|"boulevard David Humbert 86
1967 Nusslé (ZH)"
"Pascal Jacot-Descombes-Bujard"|"rue Louis Chatriand 812
9486 Niquille am Rhein"
"Alicia Bourquin"|"avenue Chappuis 999
8115 Rosselet"
"Claudine Mottiez-Deladoëy"|"rue de Joye
2353 Godet"
"Gilbert Joly"|"rue de Jacot-Guillarmod 5
5930 Julliard"
"Maria Francillon"|"avenue Romanens 20
9321 Comte"
"Thierry Bahon"|"avenue de Peitrequin 30
1958 Treboux-Dessous"
"Manuel Bahon-Rapraz"|"chemin Gilbert Brandt 61
6866 Evéquoz (GR)"
"Sarah Vonlanthen"|"rue Jean Francillon 94
1506 Droz am Albis"
"Antonio Gilliéron-Coigny"|"rue Berberat 555
6692 Berberat"
"Lucas Saudan"|"rue de Gubéran 74
6791 Rapin"
"Jonathan Delèze"|"rue Sandoz 374
8276 Diesbach-la-Ville"
"Léo Paschoud"|"boulevard de Rappaz 6
9130 Bouvier"
"Gilbert Beuchat"|"chemin Monney 98
5662 Comment"
"Luca Galland"|"avenue Corbat 744
8803 Beguin-Dessus"
"Georges Delèze"|"rue de Carraux 931
4784 Robert-sur-Martin"
"Elisabeth Wicht"|"rue Théraulaz 11
2646 Rappaz an der Aare"
"André Vuille"|"rue Bonvini 6
9635 Brahier"
"Léa Bonvini"|"rue Carron 45
2620 Montandon"
"Emilie Besençon-Botteron"|"chemin Corinne Chopard
5461 Diesbach-sur-Boechat"
"Lucas Vienne"|"boulevard de Diesbach 45
3570 Müller an der Aare"
"Monique Evéquoz"|"boulevard Charlotte Rosselat 99
2976 Monney-Dessous"
"Noah Paccot"|"boulevard Monique Nusslé 3
1018 Béguelin am Rhein"
"Théo Bonvini"|"avenue Carraud 4
2003 Mercier"
"Isabelle Corpataux"|"boulevard Céline Besançon 74
2753 Bochud an der Aare"
"Fabienne Jomini"|"boulevard de Broquet 5
5072 Chenaux am Rhein"
"Catherine Barbey"|"avenue Eric Rapin 23
5899 Rosselat-Dessus"
"Monique Nusslé"|"boulevard Beurret 670
3340 San Carraud"
"Emma Boichat"|"avenue Besse 28
5478 Menthonnex am Rhein"
"Roger Vallélian"|"boulevard Chatriand 64
2188 Comment-Dessus"
"Lucie Besse"|"avenue de Mottiez
9231 Boechat-sur-Bouvier"
"Isabelle Menthonnex"|"boulevard Dubey 91
9377 Bavaud am See"
"Camille Rosselat"|"rue de Rosselet 79
2782 Corbat (GL)"
"Maurice Mayor-Crevoisier"|"rue Stéphane Marti 20
8144 Candaux-sur-Cosandey"
"Christian Marty-Broquet"|"rue de Rossellat 712
2930 San Cossy"
"Claude Robert-Broquet"|"chemin Pachoud
7247 OberVermeil"
