"அகண்டலன் எட்டப்பன்"|"746 இசைவேந்தன் ஷம்பு
தாவண்கரே 748806" 
"சத்யநாராயணன்"|"7/9 மணிமலர் தங்கமதி
ஈரோடு 005256"
"அகண்டலன்"|"27/50 உலகமணி மணியரசி
திருப்பூர் 146972"
"ஆதித்யா"|"11/44 அகிரா ஆகாஷ்
மங்களூர் 670778"
"வள்ளுவர் ஸ்ரீகலா"|"9 ஆனந்ததேவன்
ஜலந்தர்-274099"
"எழிற்குவளை பகவத்"|"19/55 ராதிகா
பொகாரோ 470864"
"தணிகைமணி"|"2 நடராஜன் உதயச்சல்
உதயப்பூர்-576594"
"பகவந்த்"|"5639 தங்கபாண்டியன் ஒளிவாணி
மைசூர்-114808"
"சதிஷ்வரன் உண்மையொளி"|"462 இந்திராணி
ஈரோடு-909843"
"சத்யநாராயணன்"|"0/5 ஷிஃபாலி
அகோலா 935728"
"ஆடல்"|"93 மஞ்சள்
கோரக்பூர்-811031"
"ஆகாஷ் பத்மா"|"03/65 ஷ்யாமல்
நான்தேட் 189274"
"சக்திவேல"|"7658 எயினி உமையம்மை
தாவண்கரே-273614"
"மங்கை சங்கரி"|"6/0 எழிற்கோ யாழிசை
ஸ்ரீநகர்-921560"
"எழிலி ஹரிஹரன்"|"2 ஷர்மிஸ்தா யோகலட்சுமி
தூத்துக்குடி-708031"
"நன்மாறன்"|"2 எட்டப்பன் வதனா
புனே-893088"
"ஸன்யுக்தா"|"1 ஸத்யா
புதுச்சேரி 948258"
"அகலிகை சந்தானலட்சுமி"|"553 ஷாந்தி
ஜம்சேத்பூர்-669177"
"சதிஷ்வரன் பவதாரணி"|"0270 உட்கர்ஷ் அங்கதன்
மைசூர் 399249"
"பவழமொழி"|"8/6 ஏழிசைச்செல்வம் கண்மயா
புனே-910630"
"எழிலன் கதிரோன்"|"00/016 உதயா
ரூர்கேலா-500767"
"ஹேமா"|"79 நந்தன்
அமராவதி-066055"
"ஆண்டாள் கணியன்"|"93 உத்தர் சசிரேகா
திருச்சிராப்பள்ளி-425049"
"எழிலிசை"|"53/65 ராகவன் ஆனந்தகிரி
திருவண்ணாமலை-419735"
"மகிழினி"|"2/7 ஸுரபி
புதுச்சேரி 039470"
"கசரா பத்ரிநாதன்"|"3/6 நாகமதி எழில்மலை
சண்டிகர்-992416"
"ஷ்வேதங்க்"|"6/3 வல்லரசு பகுபலி
அம்ரித்சர் 885389"
"இசைச்செல்வம் மணி"|"682 யாழரசன்
திருச்சிராப்பள்ளி-203361"
"சதிஷ்வரன்"|"08/148 வகேஷ்வரி
தூத்துக்குடி-327691"
"பாக்யஸ்ரீ"|"49/27 ஸுரபி சந்திர
பிரோசாபாத்-394447"
"வண்டார்குழலி"|"2/3 ஷ்ராவண்
புனே-552620"
"உத்கர்ஷா"|"52/862 நந்தன்
கொல்கத்தா பெருநகர்-021626"
"இக்ஷூ, மணிமாலா"|"6/6 பதுமை
நாக்பூர்-047672"
"சந்தானலட்சுமி ஸரளா"|"091 யாழ்நங்கை
பாவ்நகர்-145721"
"சத்யநாராயணன்"|"87/07 உதயமூர்த்தி
காரைக்குடி 800450"
"நாகம்மாள் ஒளிஒவியம்"|"05 பவழமொழி
பிகானேர்-789773"
"தங்கச்சுடர்"|"3998 மணி
குமாரபாளையம்-355698"
"கதிர்ச்செல்வி ஹர்ஷிதா"|"12/76 ஆசைத்தம்பி
நாகர்கோவில் 369903"
"சதீஷ்"|"11/52 மகிணன் வளவன்
ஜம்மு-885741"
"வசந்த்"|"6/6 கண்ணாயிரம் ஏழிசைச்செல்வி
ஈரோடு-413488"
"யாழின்"|"42/75 நடவரசி
கரக்பூர்-632248"
"யாழ்ப்பாணன் மங்கையர்க்கரசி"|"49/689 ஏகசிந்த் மகிழ்நன்
குடியாத்தம்-054915"
"யூவரானி"|"9498 உதயபரிதி கண்ணையன்
உஜ்ஜைன்-532516"
"மணவாளன் ஏழிசைக்கோமகள்"|"057 சத்தியவாணி
திருப்பூர் 858612"
"வண்டார்குழலி"|"71/572 உஜேஷ் சந்திர
நாக்பூர்-291766"
"இந்திரா"|"90/3874 உஜாகர்
தேராதூன்-504179"
"சக்தி சத்தியவாணி"|"20/52 யூதிகா வானமாமலை
திண்டுக்கல்-628839"
"நன்மொழியன் தசரதன்"|"50 கஜ்ரி இசைவேந்தன்
பாட்னா 263298"
"சதீஷ்"|"593 இடைக்காடன் ஆதித்தா
மதுரா 877493"
"நர்மதா அக்னேயி"|"18/557 கடல்வேந்தன்
ராய்ப்பூர்-726039"
"ஸ்ரீபிரசாத் உத்பல்"|"4/6 அகிலாண்டம் வள்ளல்
குவாலியர் 174902"
"யாழினி ஹேமலதா"|"4483 பஞ்சாமிர்தம் யோகாநந்தன்
இந்தோர்-632069"
"ஷியாம்"|"52/73 ஏகாபரனா
ஜல்கான் 297101"
"ஏழிசைக்கதிர் தனுஷ்கா"|"5 எழிற்குமரன்
நான்தேட்-106907"
"இடைக்காடன்"|"12/115 ரஜினி
சூரத்-356372"
"எழிலோவியம் நன்னன்"|"5 இக்பால் உதயபரிதி
அலகாபாத் 908731"
"அசிரா"|"22 ஹஷ்விந்ரன் தங்கக்கதிர்
கடலூர் 491471"
"கடற்கோ யாழ்நங்கை"|"960 ஆதித்யபிரபா சங்குப்பூவழகி
தூத்துக்குடி 053666"
"சதீஷ்"|"8851 ரஞ்சினி நம்பிள்ளை
கோரக்பூர்-069792"
"ஸுப்ரியா ஸ்ரீயாதித்யா"|"56/28 கஜ்ரி அகமணி
ராஜமுந்திரி 480651"
"தனபாக்கியம்"|"0 நயன்தாரா
மாலேகான்-935634"
"இந்திரநீல்"|"53/641 பச்சையம்மாள் ரதவனி
பாட்னா-300385"
"உதர்"|"1266 உண்மைவிளம்பி
சிவகாசி 253422"
"ஸ்வப்நில்"|"02/7399 ராஜகுரு ஏந்தல்
பிகானேர்-172991"
"ஆதிநாதன் யாழிசை"|"65 பதுமை ஷரண்
ஜம்மு 078077"
"ஆனந்ததேவன் சத்யேந்திரா"|"49 ராஜசேகர்
உதகமண்டலம்-074276"
"கங்கா"|"3682 ஷா
தேராதூன் 125445"
"யேகம்மை இசைநேயம்"|"3 ஆதித்தமிழ்
நெய்வேலி 161949"
"சத்தியலிங்கம்"|"71 தண்ணொளி
நாகர்கோவில்-519293"
"ஷிங்"|"14/350 கண்ணகி
தஞ்சாவூர் 564261"
"அகில்"|"112 இசக்கிமுத்து
கும்பகோணம் 169407"
"பதிரன் அகற்குறி"|"16/678 ஷைலேஷ்
கோரக்பூர் 264228"
"நங்கை அங்கம்மாள்"|"9624 இசைமொழி
ராமகுண்டம் 734448"
"ஷிச்சி ஷஷி"|"3864 ஷரண் இந்தரஜித்
நாக்பூர்-467595"
"நன்னூலன்"|"07/94 நக்கீரத்தமிழன்
கரக்பூர்-980871"
"இக்பால்"|"638 யோகாநந்தன் நக்கீரன்
ஜோத்பூர்-564042"
"ராசாத்தி"|"432 சதிகா
ஆசன்சோல்-550577"
"சடகோபன் தணிகைமுருகன்"|"805 வத்ஸலா ஸ்ரீகா
கோயம்புத்தூர் 191625"
"சத்தியலிங்கம்"|"71/052 ஊர்ஜித்
குண்டூர் 333258"
"நம்பியருள் பத்ராகன்"|"49/2178 ஏழிசைச்சுடர் தணிகைச்செல்வி
ராஜமுந்திரி-059659"
"சங்குப்பூ"|"5491 வண்டார்குழலி
ஜாம்நகர்-925479"
"ராஜலட்சுமி"|"72/6883 ராஜகோபால்
ராஜமுந்திரி-150137"
"ஸ்ரீநிவாஸ் தக்ஷேஷ்"|"72 இசைச்செல்வம்
ஓசூர்-237752"
"ஆதிசேஷா"|"5 தனுஷ்கா
ராய்ப்பூர்-980680"
"ராஜகோபால் எழிலன்பன்"|"89/62 அங்கால
வாரணாசி 890866"
"வண்ணநிலவன் கதிரோன்"|"0/6 ரமேஷ்கண்ணா
கொல்கத்தா பெருநகர் 733016"
"நம்பிகுட்டுவன் ஷர்மிஸ்தா"|"541 பரிமளம்
நாசிக்-259928"
