"அகண்டலன் எழில்மகள்"	"8/8 வடிவுக்கரசி அங்கால
மாலேகான்-045133" 
"நதியா"	"05/6931 நந்திகா அகிலங்கடந்தான்
சிலிகுரி 235298"
"பபிதா"	"38/00 ரகுபதி ஸரளா
வாரணாசி 345674"
"நாகவல்லி"	"7933 உத்பல்
தஞ்சாவூர்-255510"
"நடவரசன்"	"765 அகிலேஷ்வரி
சண்டிகர்-862396"
"உதயாதி"	"7 வழுதி கதிர்மாமணி
சண்டிகர் 497003"
"ஆடல் எழிலழகன்"	"10/2417 பத்மபிரியா கடம்பா
குடியாத்தம்-196072"
"ஹவினாஷன் சத்யமூர்த்தி"	"1080 ரமேஷ்கண்ணா
ஜாம்நகர்-606277"
"வண்டமிழ்"	"87/31 ஐயம்பெருமான் ஒளி
வதோதரா-486544"
"பத்ரநிதி"	"8273 ஊர்ஜித் ஐராவதி
மொரதாபாத் 388806"
"அக்ஷரா"	"559 ஹலிமா
பரேலி 391792"
"ஒளிர்நிலவன் தங்கதுரை"	"8671 வாசுதேவன்
கோயம்புத்தூர்-685402"
"பகுதானன் கடலிறை"	"1846 உலகோவியம் தங்கபாண்டியன்
சேலம்-885164"
"நாகவல்லி"	"8 ஸ்ரீபிரசாத்
இராணிப்பேட்டை-532284"
"ரக்ஷினி"	"70/85 யாழைப்போல் ஏழிசைச்செல்வம்
குல்பர்கா 793641"
"கதிரேசன்"	"3 ஸுப்ரியா சங்கொலி
ஹுப்ளி-தர்வாத் 505717"
"ஏழிசைக்கனி உமையாள்"	"31/448 பகுபுத்ரன்
ஆக்ரா 450485"
"தங்கத்தமிழன்"	"73 ஷா தங்கம்
குவஹாத்தி-042079"
"உதயவானன் யஷ்வினி"	"39/7962 ஆனந்த சத்தியவாணி
தூத்துக்குடி 779675"
"இந்துகா"	"0 எழிலழகி ஹர்ஷா
ஜபல்பூர்-454800"
"ரகுராம்"	"00/99 ராபர்ட்
குண்டூர் 525536"
"ஒட்டக்கூத்தன்"	"416 கதிர்க்குமரி
தஞ்சாவூர்-590857"
"வண்டார்குழலி ஆட்டனத்தி"	"3/4 அக்னிமுகி அக்மல்,
புதுச்சேரி-038101"
"நாச்சி பசுபதி"	"27 ரமணி
ராமகுண்டம் 457595"
"யேகம்மை"	"12/239 ராகினி
பிரோசாபாத் 459757"
"வல்லவன் தணிகைமுருகு"	"83/9820 மணிமலை
குமாரபாளையம் 807756"
"நன்முத்து தங்கக்கதிர்"	"16 ஏந்திழை
குண்டூர்-960098"
"ராணி"	"8/3 நன்மாறன் ஒளிவாணி
சென்னை 928891"
"இசைமாமணி அக்ஷயா"	"82/91 நடேஷ் பத்ரிநாதன்
திருப்பூர்-357317"
"நர்மதா"	"3394 கண்ணகி சகுண்
நாக்பூர் 287417"
"மகிழரசன்"	"782 எழிலழகி யாழ்வாணன்
நாகர்கோவில்-243429"
"இந்துகலா"	"648 ராபர்ட் ஹர்ஷிதா
லூதியானா 385364"
"ஆதிதேவா"	"03/28 ஷாலிகா ராகவன்
சூரத் 006833"
"நாச்சியார் உஜேஷ்"	"56/52 எழிற்குமரி உபதேஷ்
வாரங்கல்-585862"
"பசந்த்"	"87/70 இசைக்கொடி
ராஜ்கோட் 346650"
"யோஸ்னிதா மகிழ்வதனி"	"0593 இசையொளி
லூதியானா 301503"
"உலக"	"0234 பத்மா
வேலூர் 296784"
"அக்னிகா"	"64 நர்மதா எழில்மலை
நாக்பூர்-813823"
"யமுனா ஏழிசைப்பாமகள்"	"2/4 ஏலா ஸெடெஃபானியா
ஜம்மு-999375"
"ராஜகுமாரி"	"1565 ரகுபதி
கோயம்புத்தூர் 977107"
"ரமேஷ்கண்ணா இசைத்தேவி"	"20/36 ஷாந்தி
திருப்பூர் 969286"
"ஷம்பு ஆடற்செல்வி"	"31/36 பவழமொழி வஞ்சி
திருநெல்வேலி 065396"
"கஜோல் ஹரிதாஸ்"	"14/54 ஷ்ராவண் எழில்நிலவு
சென்னை பெருநகர் 062680"
"நாச்சியார்"	"30 ஹலிமா ஏழிசை
கொச்சி 803322"
"உபாஸனா"	"9 உத்தவ்
ஓசூர்-876087"
"அங்கதன்"	"0 உஜிலா
ஜம்சேத்பூர்-764366"
"ஸத்யா ஸெடெபானி"	"1 பகுபலி அகலார்சடையன்
ராஜமுந்திரி-192106"
"சக்கரவர்த்தி"	"35/307 உதயவன் நம்பிள்ளை
திருவனந்தபுரம் 586654"
"உத்தம் உட்கர்ஷ்"	"8 அங்கயர்க்கண்ணி
ராஞ்சி 738835"
"ஆதித்யா நற்றிணை"	"37/25 இசைமுதல்வன் மஞ்சனா
சகாரன்பூர்-963534"
"பத்ராயணர்"	"279 சடகோபன் ஷர்மிதா
கோயம்புத்தூர் 484413"
"சந்தனு தங்கம்மாள்"	"7 மணிமுகில் பத்மா
மொரதாபாத் 655540"
"நன்னூலன்"	"890 ஹன்யா
கொல்லம்-214430"
"நாதவேணி எழில்நிலவு"	"426 ஊர்ஜித் ஸயூரி
கயா-087945"
"ஏழிசைக்கனல் ஸ்ரீராம்"	"09/025 இசைக்கோமகள்
கொல்லம்-893350"
"எழிலகன் மணிநிலவன்"	"593 ஸ்ரீகாந்த் பகீரதன்
பிகானேர் 288931"
"கஜோல்"	"262 சத்யராஐ; ஆதித்யவர்த்தன்
குமாரபாளையம் 165814"
"ஸ்துதி ஸயூரி"	"8655 மணிச்சுடர் தணிகைநம்பி
ஐதராபாத் 841263"
"ராஜலட்சுமி ஷ்யாமல்"	"17/96 வரதராஜ்
கோழிக்கோடு-066945"
"ஸ்ரீகா ஷ்னேகல்"	"9/8 உமை பகுப்ரியன்
ராஞ்சி 240061"
"தங்கம்"	"76 ஸுப்ரியா பத்மநாபன்
கோயம்புத்தூர் 285519"
"கனிமதி ஏழிசைக்கோமகள்"	"3 ரஞ்சிதா
ஆம்பூர்-414824"
"ஹன்யா"	"2070 கனிகா யோஸ்னிதா
காஜுவாகா-117826"
"நாதவேணி"	"10/702 வண்டமிழ்
விஜயவாடா-950425"
"ஷ்னேகல் ஏந்தல்"	"30/4137 ஆட்டனத்தி ஏழிசைச்செல்வி
ஆக்ரா 469469"
"ரக்ஷினி"	"2506 தங்கவேல் அகானா
வாணியம்பாடி 318152"
"ஆனந்ததேவன் அகலறிவன்"	"6/0 இசைமணி மணிமேகலை
அலகாபாத் 377055"
"வசுமதி கடலிறை"	"11/90 ஐயா
பரேலி 002263"
"தணி;சேரன்"	"0/2 உதியன் ஷாலினி
சிலிகுரி-484352"
"கதிரழகி"	"14/69 பவதாரணி உண்மையொளி
கயா-793148"
"நல்ல அகற்கண்ணன்"	"55/657 ஹஸிதா
சூரத்-995572"
"ஸ்மேரா"	"38/828 வழுதி
குவாலியர்-203752"
"உலகநேயம் பகுப்ரியன்"	"128 ஷாந்தி
ஜம்மு-406904"
"பகலவன் எழிற்கோ"	"49/95 ஷாலினி
காஜுவாகா-168319"
"சத்யவாணன் அங்கயர்க்கண்ணி"	"46/83 ஆதித்தா ஹர்ஷினி
அம்ரித்சர்-951806"
"இக்பால்"	"62/060 நப்பசலையார் சங்கிலி
அகமத்நகர் 123318"
"ஆட்டநத்தி"	"17 பந்துல்
பொள்ளாச்சி-247521"
"மகஷேவரி ஹரிகரண்"	"978 ஆட்டநத்தி
விஜயவாடா 342004"
"பசந்த் வருனிதா"	"910 ஒளி ஏகலைவன்
லக்னோ 431341"
"உமா ஆதிசேஷா"	"00/91 நன்மணி ஷந்ஸா
கான்பூர் 215971"
"மணவாளன்"	"9074 உஜாகர்
சிலிகுரி 448481"
"கனல்மொழி"	"01/20 கண்ணப்பன்
ராய்ப்பூர் 708262"
"உத்பல்"	"48 ஷதா
நெல்லூர் 965556"
"பகலவன்"	"4/1 உயிரோவியம்
கான்பூர்-426487"
"ஏழிசைச்சுடர்"	"2/6 மகிழ்வதனி
துர்காபூர் 078822"
"ஏழிசைக்குரிசில்"	"1/8 தனுப்பிரியா
கொல்கத்தா பெருநகர் 387676"
"ஷ்னேகல்"	"541 வானமாமலை ஷைலேந்திரா
அம்ரித்சர்-091204"
