"Adrian Aasen"|"Bøeplassen 64, 8771 Aas" 
"Karen Johannessen-Johannessen"|"Hagenmarka 1C, 5349 Lunde"
"Camilla Aune"|"Vikåsen 01, 1137 Evaås"
"Ingrid Aas"|"Sivertsengrenda 80, 4582 Karlsen"
"Hilde Antonsen"|"Christensenhagen 1, 2454 Edvardsen"
"Kjersti Amundsen"|"Ahmedkollen 1, 2811 Thomaseid"
"Mona Knudsen"|"Strandholtet 6, 4827 Toreøy"
"Mette Johansen-Moen"|"Ahmedmyra 60, 4474 Olsen"
"Martin Halvorsen"|"Rasmussenvika 43C, 4291 Emilborg"
"Arild Abrahamsen"|"Brekkegata 16, 2925 Madsen"
"Randi Lien"|"Hagenroa 3, 6697 Stianhelle"
"Karen Larsen-Arnesen"|"Jørgensenholtet 84, 4879 Ingridhelle"
"Tore Pettersen"|"Lundvika 29A, 8524 Eirikvik"
"Dr. Torbjørn Abrahamsen"|"Sandvikhagen 3, 0789 Markusdal"
"Karin Antonsen"|"Pettersenengen 03, 1176 Iversen"
"Karin Andreassen"|"Simonsentoppen 13, 0846 Hanssen"
"Stine Myklebust"|"Andersenbråten 21B, 8339 Haug"
"Alexander Tangen-Hauge"|"Myklebusteggen 5, 3310 Danielsen"
"Gerd Hagen"|"Henriksenlyngen 26, 8971 Ellingsen"
"Ingrid-Sissel Sivertsen"|"Eideåsen 447, 9623 Sivertsen"
"Anita Birkeland"|"Gulbrandsenskogen 9, 2928 Andresen"
"Karen Nilsen"|"Aunegata 6, 7578 Kristinø"
"Bente-Tone Nilsen"|"Andresenbråten 848, 7717 Bjørgstrand"
"Kjetil Hanssen"|"Aunerøa 8, 9315 Rønning"
"Laila Hansen"|"Solbergstranda 36, 7779 Steinfoss"
"Kjell Henriksen-Pedersen"|"Mathisenfaret 67B, 6441 Vik"
"Petter Jørgensen"|"Bøegjerdet 6, 3955 Bakken"
"Laila Martinsen-Brekke"|"Thomassenkollen 41, 4384 Karlsen"
"Simen Tveit"|"Ruudekra 805, 8398 Sørensen"
"Emilie Strøm"|"Knudsenspranget 29, 0407 Roarstrand"
"Martin Hauge"|"Nielsenlunden 7, 3000 Kennethsand"
"Karen Rønning"|"Sætherkollen 64E, 0451 Knutsen"
"Prof. Sebastian Brekke"|"Haugeneggen 09, 0661 Elseby"
"Fredrik Pettersen"|"Vikkollen 9, 6745 Kristoffersen"
"Ann Halvorsen"|"Olsenkollen 39, 7004 Gulbrandsen"
"Egil Gundersen"|"Dahlgropa 6, 8864 Hagen"
"Bjørn Madsen"|"Kristiansenstranda 464, 5918 Pedersen"
"Karen Rønning"|"Brekkelyngen 42A, 1164 Aune"
"Maren Jensen"|"Ruudstykket 781, 6403 Mikkelsen"
"Finn Abrahamsen"|"Ødegårdvollen 4, 2183 Birkeland"
"Sara Olsen-Gundersen"|"Birkelandkroken 74B, 4801 Steinarhavn"
"Karen Sæther-Hansen"|"Jørgensengata 8C, 9512 Solheim"
"Hanna Edvardsen-Andresen"|"Ellingsenrøa 9, 3736 Lund"
"Kjell Aas"|"Evensenjordet 731, 9216 Christensen"
"Marianne Eide"|"Strømgrenda 1, 9836 Olastrøm"
"Helge-Håvard Myhre"|"Ruudkroken 48, 9624 Hanssen"
"Egil-Steinar Kristoffersen"|"Dahlstranda 4, 1182 Svendsen"
"Rune Edvardsen"|"Solheimfaret 30, 7701 Astridgrunn"
"Tone Antonsen"|"Evensenberget 97A, 8603 Lindaås"
"Espen Johannessen"|"Ruudbakken 11E, 1236 Livsand"
"Fredrik Holm"|"Andersenskogen 80, 1188 Helland"
"Karen-Helene Madsen"|"Johansengata 53A, 1338 Eriksen"
"Kari Hansen"|"Haugenmyra 3, 0740 Berg"
"Petter Johannessen"|"Viklyngen 40, 9344 Olsen"
"Anders Amundsen"|"Eideåsen 1, 7837 Magnusberg"
"Thomas-Terje Mathisen"|"Birkelandbakken 5A, 5915 Vidarborg"
"Rolf-Nils Eriksen"|"Mathisengrenda 2, 9877 Jacobsen"
"Maren Strand"|"Martinsenløkka 34, 0628 Saraeid"
"Lise Pettersen-Andersen"|"Ahmedholtet 371, 6766 Petterfjell"
"Frank Lunde"|"Simonsenhagen 35C, 3726 Rasmussen"
"Anders Paulsen"|"Rasmussenhavna 97, 6913 Edvardsen"
"Karen-Hilde Antonsen"|"Thomassenjordet 46, 7661 Vegardstad"
"Erik Pedersen"|"Iversenskogen 3E, 8453 Wenchevær"
"Emma Danielsen"|"Hanssenlyngen 4, 3841 Berge"
"Hanne Kristensen"|"Liekroken 44, 0920 Arnesen"
"Marie-Kristine Halvorsen"|"Bøealléen 46A, 1061 Siriborg"
"Rita Martinsen"|"Tveitgrenda 545, 7301 Holm"
"Laila-Line Jensen"|"Aastunet 2, 4212 Bakke"
"Maria Brekke"|"Jenssenmoen 7C, 5965 Brekke"
"Jorunn Haugen"|"Berggropa 5E, 9938 Martineodden"
"Trine Ahmed"|"Johansentjernet 6C, 3215 Jacobsen"
"Karen-Marianne Sørensen"|"Paulsentoppen 2, 8076 Siljeberg"
"Johan Ali-Isaksen"|"Mathisengjerdet 8C, 5113 Ali"
"Tommy Kristiansen"|"Brekkestykket 4, 0721 Kristianborg"
"Erling Kristoffersen-Aas"|"Rønninggata 07, 8990 Larsen"
"Aud Kristiansen"|"Aunespranget 2, 2647 Gretevær"
"Kjell Madsen"|"Aasenholtet 4, 1277 Halvorsen"
"Kirsten Vik"|"Nguyenmoen 53, 2630 Sandvik"
"Karl Nielsen"|"Nygårdbråten 887, 4164 Fredriksen"
"Stein Vik"|"Danielsenvika 07, 5676 Andreassen"
"Prof. Leif Eliassen"|"Birkelandringen 65, 3333 Eriksen"
"Karen-Thea Antonsen"|"Bergekroken 3, 7794 Erlingeid"
"Nina Berntsen-Thorsen"|"Brekkeskogen 2, 1996 Emilstrand"
"Tore Jenssen"|"Kristoffersenengen 6, 8414 Fredrikgrunn"
"Henrik Martinsen"|"Hansenfaret 62, 0071 Thomassen"
"Ellen-Grete Myhre"|"Nilsenvika 71, 2841 Livstad"
"Dr. Sebastian Johansen"|"Johansenlia 04, 1537 Sivvik"
"Hilde Amundsen"|"Jenssenroa 54, 0206 Amundsen"
"Irene Sørensen"|"Bakkeholtet 87, 5313 Ali"
"Prof. Johan Amundsen"|"Haugspranget 99, 9953 Tveit"
"Siv Haugland"|"Ahmedstranda 94B, 5872 Karlstad"
"Kari Berg-Jakobsen"|"Thorsenspranget 3F, 5451 Tommyvær"
"Martine Thorsen"|"Andreassenlia 3, 7173 Aune"
"Jon Holm"|"Brekkeplassen 582, 5728 Thomassen"
"Stine Berge"|"Johannessengrenda 67, 5980 Andreasborg"
"Lene Ruud"|"Hansenekra 2, 4698 Haugen"
"Ann-Elise Dahl"|"Aasenekra 7, 0304 Ellingsen"
"Terje Holm"|"Danielsenlunden 31, 0817 Johnsen"
"Geir Solberg"|"Ruudringen 6, 3148 Stigsand"
"Jørgen-Finn Lien"|"Bøetunet 18, 4720 Lindavik"
"Anders Haugen"|"Gundersenalléen 90, 6589 Marenfoss"
"Kari Engen"|"Brekkeskogen 9, 8222 Næss"
"Per-Frank Næss"|"Danielsenkollen 5, 4669 Kristoffersen"
"Nora Madsen-Lie"|"Martinsenhaugen 61, 5868 Emmaøy"
"Ida Kristoffersen-Madsen"|"Halvorsenstykket 74, 1810 Andreassjøen"
"Gunn Pedersen"|"Svendsenringen 309, 6015 Lenehelle"
"Sverre Simonsen"|"Berglia 6, 1138 Leifvær"
"Ruth Mikkelsen"|"Bergskrenten 7, 3295 Haugen"
"Magne-Robert Danielsen"|"Hauglia 72A, 9863 Andreasgrunn"
"Kenneth Strand"|"Næssmoen 2, 9592 Olavhavn"
"Geir Danielsen"|"Jørgensenrøa 5, 0086 Anitaberg"
"Kari Fredriksen"|"Pedersengrenda 25, 9320 Myklebust"
"Maria Jensen"|"Svendsenhøgda 034, 1399 Moen"
"Synnøve Martinsen"|"Aasspranget 040, 6760 Henrikdal"
"Stein Sæther"|"Brekkejordet 72, 1946 Jonø"
"Alf Bakke"|"Ellingsentjernet 70, 2276 Halvorsen"
"Roy Danielsen-Ali"|"Amundsenløkka 87C, 6995 Mariannehavn"
"Simen Pettersen"|"Lundvika 1, 9563 Jensen"
"Ragnhild Fredriksen"|"Strømlyngen 64, 1801 Haug"
"Silje-Nora Jakobsen"|"Brekkehavna 507, 6749 Livfoss"
"Jenny Henriksen"|"Martinsenflata 4C, 8555 Perstad"
"Kari Hanssen"|"Larsenåsen 58A, 0095 Irenesund"
"Camilla Tangen"|"Mikkelsenroa 63B, 9656 Andersen"
"Arild Gulbrandsen"|"Lietjernet 8, 0987 Ivareid"
"Ola Andresen"|"Haughaugen 5, 3640 Bjørgsjøen"
"Rune Berge"|"Andersentunet 2, 5065 Haraldsund"
"Lene Abrahamsen"|"Eliassenjordet 9, 7160 Hanssen"
"Dr. Magne Amundsen"|"Eriksenhaugen 2, 6409 Finnbø"
"Markus Birkeland"|"Nilsenvollen 6, 5150 Halvorsen"
"Prof. Eivind Lien"|"Alistykket 7A, 0971 Mettefoss"
"Frode-Kjell Eliassen"|"Solheimrøa 8, 6263 Ninaø"
"Kari Jensen"|"Holmstubben 6D, 3573 Sæther"
"Christian Lie"|"Tveitkollen 8, 6943 Isaksen"
"Emilie Jensen"|"Hanssenengen 5, 6822 Bakke"
"Daniel Larsen"|"Jenssenhaugen 1, 3426 Nguyen"
"Sissel Engen"|"Birkelandkollen 7, 0119 Linesand"
"Silje Sørensen"|"Edvardsenbråten 01, 2946 Bakken"
"Leif Moen-Jenssen"|"Moetoppen 63D, 5385 Martinsen"
"Stian-Eirik Andresen"|"Abrahamsenkollen 7, 4596 Hannanes"
"Cecilie Svendsen"|"Eriksenflata 51D, 7729 Hauge"
"Ingeborg Jensen"|"Halvorsenengen 2, 0179 Hanssen"
"Kari Kristiansen-Karlsen"|"Pettersengjerdet 1, 9217 Paulsen"
"Eirik Ellingsen"|"Jakobsenroa 5, 4221 Rolfstrøm"
"Magnus Hansen"|"Rønninghavna 28C, 3814 Tonjestad"
"Julie-Tone Johannessen"|"Aasenmarka 9, 4068 Larsmark"
"Odd Johansen"|"Solheimvollen 9, 7559 Tangen"
"Lars Olsen"|"Rasmussensvingen 48, 4794 Larsfjell"
"Siri Johansen"|"Jørgensenroa 63F, 4072 Solberg"
"Stine-Torill Vik"|"Larsenrøa 27A, 9070 Elistrøm"
"Martine-Inger Helland"|"Vikhøgda 32, 4493 Sverrefjord"
"Reidun Berg"|"Haugenbakken 2, 5285 Ahmed"
"Kari Martinsen"|"Gulbrandsenfaret 98A, 7530 Sæther"
"Sigrid Brekke-Henriksen"|"Bakkehagen 6C, 3106 Knudsen"
"Henrik Gundersen"|"Isaksenengen 89, 5407 Gulbrandsen"
"Marit Sivertsen"|"Kristoffersenjordet 01, 5275 Isaksen"
"Grethe Solberg-Isaksen"|"Halvorsenhavna 1, 9860 Trondby"
"Unni Haugland"|"Moenengen 6, 3874 Danielsen"
"Prof. Sondre Bøe"|"Bakkenmarka 4A, 4681 Karinbø"
"Magnus Dahl-Lie"|"Pettersenspranget 2, 6508 Olamark"
"Henrik Berntsen"|"Johansenekra 35A, 3813 Dahl"
"Inger Madsen"|"Nygårdåsen 3, 5242 Haraldborg"
"Kari-Jorunn Haugland"|"Paulsenroa 397, 7989 Birkeland"
"Pål Larsen"|"Johansenholtet 2, 8767 Jensen"
"Trine Tangen"|"Lietjernet 5, 2269 Karlborg"
"Jon Larsen"|"Haugenskogen 843, 5671 Mikkelsen"
"Olav Tangen"|"Sivertsenkroken 46, 0274 Roarfjell"
"Dr. Magnus Berg"|"Isaksengata 5, 4194 Isaksen"
"Silje-Hanne Olsen"|"Andresenbråten 9, 0725 Asbjørnstrøm"
"Elise Solberg"|"Bergetoppen 15A, 2418 Theahelle"
"Egil Haug-Arnesen"|"Nilsenlia 299, 7966 Andreassen"
"Gunn-Linn Rasmussen"|"Bergetoppen 207, 3584 Kennethfjord"
"Karin Birkeland"|"Pedersenrøa 6F, 3181 Larsstrøm"
"Cathrine Knutsen"|"Aasalléen 74B, 8299 Jenssen"
"Marie Sandvik"|"Kristensenrøa 8B, 8016 Hansborg"
"Stein Johnsen"|"Paulsenlia 239, 5928 Julieberg"
"Svein Pettersen"|"Hansenløkka 6, 0313 Vik"
"Thomas Strøm"|"Ruudalléen 9, 4928 Gundersen"
"Martine Olsen"|"Johannessenalléen 3, 4169 Nielsen"
"Hilde Dahl-Rønning"|"Danielsenlyngen 6, 6482 Magnussund"
"Svein Nygård"|"Fredriksenløkka 3C, 1758 Rønning"
"Dr. Torbjørn Aune"|"Svendsenåsen 6, 5804 Sigridsand"
"Karin Edvardsen"|"Hauglandkollen 7, 5615 Helland"
"Geir-Kjell Abrahamsen"|"Liejordet 35, 9184 Iversen"
"Vidar Abrahamsen"|"Birkelandtjernet 53, 5016 Næss"
"Vegard Mikkelsen"|"Dahlvollen 82, 2015 Holm"
"Helene-Elisabeth Sivertsen"|"Madsenbråten 34, 2231 Kårefjord"
"Håkon Hanssen"|"Bakkegropa 3A, 1665 Sanderstrand"
"Kim Engen"|"Andersenmyra 63, 2757 Elisabethø"
"Marius Moe-Næss"|"Kristofferseneggen 9, 3935 Eliassen"
"Synnøve Svendsen-Larsen"|"Ødegårdplassen 56, 1199 Torehamn"
"Eva Nilsen"|"Nygårdskrenten 00, 0961 Beritvik"
"Karin Eliassen"|"Lundvollen 000, 0866 Jorunnby"
"Martine Haug"|"Henriksenalléen 2, 1248 Karinstrand"
"Grethe Tveit"|"Solheimlunden 8, 7578 Frodeøy"
"Tom Aasen"|"Gulbrandsengrenda 72, 5189 Halvorsen"
"Leif Edvardsen"|"Iversenvika 9, 9372 Ragnhildvær"
"Rolf Lund"|"Birkelandhavna 8B, 0319 Lie"
"Per Strøm"|"Amundsenbakken 410, 4510 Antonsen"
"Aud Larsen"|"Holmstubben 8, 6350 Einarfjell"
"Torbjørn Evensen"|"Ahmedbakken 4, 3601 Trinevåg"
"Åse Ahmed-Halvorsen"|"Bergvollen 1A, 5090 Frodeø"
"Karin Hagen"|"Ødegårdmarka 39, 5453 Sandvik"
"Roy Isaksen"|"Sørensenberget 2, 8170 Kimvær"
"Knut Aune"|"Johannessenalléen 6, 3133 Tangen"
"Nina Bakke"|"Tveitengen 5E, 8839 Finnø"
"Vidar-Rune Vik"|"Haugeflata 4, 0493 Ruthborg"
"Marianne Nielsen"|"Martinsenengen 33, 2071 Christensen"
"Bjørn Simonsen"|"Ahmedgjerdet 02, 2233 Myklebust"
"Thor-Trond Arnesen"|"Hagenflata 98B, 1090 Edvardsen"
"Marte Abrahamsen"|"Eideskogen 8E, 8168 Solberg"
"Kjetil Jensen"|"Edvardsentjernet 9, 6140 Linenes"
"Karin Haugland"|"Larsenflata 5B, 2811 Thorsen"
"Monica Lien"|"Myhreekra 64, 1414 Anettestrand"
"Eli Kristensen"|"Kristensenhaugen 25A, 0591 Christensen"
"Magnus Kristoffersen"|"Jensenholtet 405, 9465 Ellenby"
"Jens Simonsen"|"Haugstubben 06, 7088 Næss"
"Gerd Lie"|"Jakobsenflata 8, 2248 Abrahamsen"
"Sigrid-Berit Knudsen"|"Solheimlyngen 29A, 4620 Egilhamn"
"Marianne Ruud"|"Thomassenplassen 6A, 8413 Sebastianvik"
"Thor-Thomas Jakobsen"|"Henriksenvollen 01, 7918 Larsen"
"Roar Aasen"|"Hagengrenda 7H, 2893 Johanodden"
"Karin Lund"|"Knudsenhagen 82, 3734 Malinmark"
"Trine Solberg"|"Moekollen 31, 8632 Astridvik"
"Stein Rønning-Vik"|"Martinsenfaret 7E, 1737 Johansen"
"Sander Bakken"|"Olsenvollen 27, 4806 Kristoffersen"
"Prof. Odd Kristoffersen"|"Ruudrøa 56E, 3754 Leifstad"
"Anette Madsen"|"Sørensenringen 2, 3702 Jørgenbø"
"Alexander Bakke-Halvorsen"|"Ruudmyra 3, 5658 Hannahavn"
"Gunnar Arnesen"|"Sætherhagen 1, 3996 Eliassen"
"Eirik Rasmussen"|"Knudsenroa 370, 6625 Torbjørnvåg"
"Johan Bøe"|"Isaksenlia 9D, 1871 Sisselgrunn"
"Karin Myklebust"|"Mathisenmyra 78B, 7343 Aas"
"Monica Berge"|"Andersenrøa 03, 7472 Ruud"
"Kristian Gundersen"|"Svendsenroa 6, 3236 Lund"
"Morten Eide"|"Knutsenstien 41, 9793 Knuthelle"
"Prof. Christian Strøm"|"Larsenstubben 15, 3351 Thorstrand"
"Hans Dahl"|"Antonsenberget 2, 4011 Beritvær"
"Egil Isaksen"|"Aunehøgda 1, 1486 Brittgrunn"
"Sara Vik"|"Abrahamsengropa 49, 7665 Larsvær"
"Tom-Sander Hauge"|"Svendsenstubben 36A, 5858 Alexandersand"
"Sindre Sæther"|"Halvorsenringen 3H, 9833 Hansen"
"Karin Nielsen"|"Lundengen 4, 0930 Svendsen"
"Henrik Sørensen"|"Alitunet 8A, 0882 Danielsen"
"Kenneth Andreassen"|"Isaksenhagen 6A, 8923 Tovesund"
"Irene Knudsen"|"Andreassentunet 99E, 1537 Sebastiansjøen"
"Bente Paulsen-Pedersen"|"Aligata 3, 2619 Strøm"
"Egil Lien"|"Lundevika 6, 5453 Holm"
"Lars-Erling Aas"|"Bøeåsen 1, 2619 Andresen"
"Geir-Daniel Martinsen"|"Myhretunet 50B, 2847 Groøy"
"Anita Aune"|"Aasengata 2, 6070 Strøm"
"Jan Tangen"|"Rasmussengropa 571, 8941 Sandervåg"
"Karin Næss"|"Larsenringen 6, 7413 Vik"
"Ida Berg-Arnesen"|"Pettersenbakken 9, 8247 Stinesjøen"
"Alexander Antonsen-Myhre"|"Ahmedvika 11F, 8707 Berntsen"
"Tone Dahl"|"Abrahamsenbråten 7B, 5220 Johannessen"
"Liv Karlsen"|"Hanssenroa 5, 7666 Andresen"
"Finn Svendsen"|"Antonsenberget 36, 2316 Henrikøy"
"Emilie Moen"|"Antonsenringen 821, 4720 Ninaås"
"Sander Aasen"|"Ødegårdlia 37, 7167 Vik"
"Kristoffer-Karl Bakke"|"Nilsenskogen 2, 4399 Berge"
"Britt Thomassen-Rønning"|"Kristoffersenengen 51, 0905 Arnesen"
"Karin Solberg"|"Martinsenberget 5, 2817 Vik"
"Else Sivertsen"|"Halvorsensvingen 88, 5417 Thorsen"
"Steinar Bakke"|"Paulsenhaugen 28, 4497 Solheim"
"Rolf Hansen"|"Ruudholtet 9B, 1839 Gunnarhavn"
"Tobias Jacobsen"|"Hanssenstykket 686, 5098 Ivarhavn"
"Hilde Haugen"|"Hansenkollen 02A, 3720 Tovesand"
"Malin Jenssen"|"Eriksenengen 541, 3140 Helland"
"Kim Gulbrandsen"|"Johnsenhavna 2, 2700 Randiodden"
"Rita Christensen"|"Knutsenåsen 4, 6180 Maritstrøm"
"Erling-Adrian Eide"|"Andreassenkroken 3, 5015 Robertdal"
"Karin Strand"|"Birkelandjordet 7, 4714 Jonvåg"
"Svein Karlsen"|"Næssåsen 5, 6143 Pettersen"
"Ragnhild Hagen"|"Abrahamsenfaret 819, 6478 Torbjørneid"
"Aud Mikkelsen"|"Nygårdlia 7, 0250 Siljestrøm"
"Lene Hagen"|"Edvardsenstranda 6, 7399 Åsehelle"
"Siv Amundsen"|"Haugenengen 106, 7970 Vidarås"
"Torbjørn-Rune Edvardsen"|"Dahlmoen 65A, 6728 Moe"
"Anna Vik"|"Fredriksenflata 5, 3979 Heidisund"
"Mona Haug"|"Gulbrandsengjerdet 5, 0420 Annastad"
"Julie Isaksen"|"Lundlia 1, 4572 Åsedal"
"Karin Strand"|"Lienbråten 2D, 3657 Næss"
"Marit Johnsen-Olsen"|"Thomassenlyngen 3B, 6704 Evensen"
"Johannes-Bjørn Arnesen"|"Mikkelsenspranget 2, 9294 Kårebø"
"Helge-Vidar Ruud"|"Sørensenhaugen 36, 0087 Amundsen"
"Petter Hagen"|"Andresenengen 445, 0826 Kimstrøm"
"Ingrid Nielsen"|"Iversentoppen 33, 0546 Sandvik"
"Malin Ellingsen-Eliassen"|"Lundeeggen 91, 0527 Berg"
"Eivind Sæther"|"Mathisenmoen 21B, 7126 Grofoss"
"Andreas Edvardsen"|"Ahmedløkka 01, 5151 Haraldhavn"
"Einar Jensen"|"Evensenengen 58, 4428 Aasen"
"Karin Ødegård"|"Eriksenrøa 13, 2491 Sandersand"
"Malin Sandvik"|"Johannessenstien 8, 3133 Mikkelsen"
"Sander Dahl"|"Sivertseneggen 08G, 2391 Mariannehelle"
"Linda Eide"|"Bergåsen 1, 8294 Berntsen"
"Erik Amundsen"|"Paulsenhøgda 1G, 8967 Dahl"
"Rita-Line Engen"|"Haugenvika 3F, 1077 Evensen"
"Jon Strand"|"Hansenringen 3, 4386 Madsen"
"Erling Helland"|"Sørensengata 7, 5477 Thomassen"
"Ole Lund"|"Ruudåsen 7, 7834 Jakobsen"
"Mette-Nina Edvardsen"|"Bakkekroken 88F, 5129 Knutsen"
"Karin-Sigrid Jenssen"|"Aasenkroken 3, 0929 Solheim"
"Jon Halvorsen"|"Amundsenlyngen 46, 8288 Eide"
"Adrian Thorsen"|"Jensenringen 86A, 0297 Audeid"
"Gro Haug"|"Mikkelsensvingen 52F, 9599 Bøe"
"Grethe-Linda Karlsen"|"Ahmedgjerdet 66, 8843 Myhre"
"Sofie Paulsen"|"Christensenhavna 6, 4504 Olastrøm"
"Camilla Sørensen"|"Haugeholtet 91, 2118 Sofiehamn"
"Prof. Steinar Birkeland"|"Liensvingen 6, 6805 Moen"
"Kjersti Tangen"|"Thorsenringen 04, 8093 Arnesen"
"Marie Lund"|"Jacobsentoppen 123, 2908 Sveingrunn"
"Karl Antonsen"|"Henriksenplassen 217, 4481 Mariteid"
"Liv Knutsen"|"Liengjerdet 6, 8326 Ellingsen"
"Ivar Rønning-Jakobsen"|"Edvardsenmoen 61, 1200 Ødegård"
"Eirik-Johan Solheim"|"Lienalléen 836, 7000 Mariusø"
"Helge Aasen"|"Svendsenlyngen 41, 7690 Roarsand"
"Karoline Arnesen-Gundersen"|"Holmtunet 8, 7069 Karinstrand"
"Sverre Ødegård"|"Pettersenskrenten 39, 7130 Sindrestrand"
"Adrian Aasen"|"Johansenlia 9, 6626 Einarby"
"Mathias Danielsen"|"Vikhøgda 2B, 7986 Lie"
"Maria Rønning"|"Halvorsenmyra 08A, 1540 Stinestrøm"
"Karl Brekke"|"Pettersenvollen 41, 9561 Monicagrunn"
"Kristoffer Larsen"|"Thorsenvika 4, 8884 Maritås"
"Siri-Sissel Antonsen"|"Dahlengen 8, 2314 Eide"
"Finn Haugland"|"Haugegata 85, 6771 Monicastad"
"Linda-Sofie Larsen"|"Strømmarka 4F, 6530 Ali"
"Elisabeth-Karoline Edvardsen"|"Mikkelsenplassen 45, 8582 Audeid"
"Daniel Larsen"|"Danielsentoppen 7, 9754 Elsevåg"
"Frode Andresen"|"Hellandengen 18, 4109 Evensen"
"Bjørn Christensen-Tangen"|"Sørensensvingen 7, 7329 Johnsen"
"Martine Bakke"|"Thorsenstien 7, 9156 Tomfjord"
"Karl Danielsen"|"Jørgensenfaret 7, 9610 Aune"
"Nils-Rune Sandvik"|"Knudsenekra 1, 5722 Karinbø"
"Helene-Eva Danielsen"|"Andersenløkka 2F, 3643 Madsen"
"Tove Myhre"|"Amundsenlyngen 8, 3585 Torbjørnnes"
"Stig Paulsen"|"Ahmedplassen 49, 1836 Simenfoss"
"Kristin Andreassen"|"Kristiansenberget 3, 5976 Andreassen"
"Petter Solberg"|"Danielsenkroken 7, 2974 Ruud"
"Torbjørn Hansen"|"Næssåsen 89, 3687 Jennyøy"
"Vidar-Tor Lund"|"Svendsengropa 08B, 1396 Sandvik"
"Jan Mathisen"|"Evensenvollen 7, 5767 Torberg"
"Karl Ellingsen"|"Bergeskogen 8, 6104 Torvær"
"Mari Tveit-Sæther"|"Abrahamsenskogen 7, 5194 Linesjøen"
"Gunnar Bakken"|"Mikkelsentunet 7, 5282 Beritdal"
"Monica Lie-Jakobsen"|"Eriksengjerdet 03, 7534 Ruud"
"Nina Paulsen"|"Jakobsenskrenten 72, 1108 Strand"
"Bjørn Johansen"|"Eliassenskogen 94, 6134 Mikkelsen"
"Martine Halvorsen"|"Rasmussenhavna 05, 5808 Jørgensen"
"Espen Halvorsen"|"Ellingsenmoen 1, 6810 Evasjøen"
"Hege Simonsen"|"Kristoffersenhagen 9, 2307 Solheim"
"Jørgen Christensen"|"Sandvikkroken 8, 5220 Moe"
"Karl Olsen"|"Johannessenjordet 707, 4083 Simeneid"
"Helene-Sissel Jacobsen"|"Bergeskogen 356, 4269 Paulsen"
"Siv Ødegård"|"Aasgjerdet 05, 6607 Hannaodden"
"Siri Simonsen-Bøe"|"Fredriksenvika 8A, 3457 Hanneberg"
"Lise Helland"|"Tveitbakken 22, 2833 Gunnarfjell"
"Erling Arnesen"|"Simonsenholtet 323, 7833 Saravær"
"Arne Andreassen"|"Larsenstranda 21, 9248 Ahmed"
"Janne Gulbrandsen"|"Berggropa 2, 9829 Ali"
"Siri-Ida Aas"|"Haugekra 5, 0368 Stinestad"
"Line-Else Hauge"|"Tangengata 8, 8661 Ødegård"
"Karl Paulsen"|"Ahmedskogen 9, 9542 Kristensen"
"Henrik-Arne Hanssen"|"Thomassenplassen 99B, 4186 Danielsen"
"Silje Olsen"|"Haugenspranget 8, 8675 Martinhelle"
"Ruth Isaksen"|"Andreassenringen 7, 5655 Eivindbø"
"Karl Solberg"|"Haugemyra 5, 9600 Hannehavn"
"Karin Isaksen"|"Danielsenflata 3, 0930 Kjerstifjord"
"Prof. Kristian Gulbrandsen"|"Andersenåsen 15, 0005 Karolineberg"
"Sondre Christensen"|"Haugenalléen 11A, 2539 Helland"
"Tonje Eide-Martinsen"|"Strandmyra 4, 5026 Jakobsen"
"Joakim Lie"|"Andersenengen 5, 4985 Sindreøy"
"Karl Rønning"|"Haugelia 388, 0045 Nielsen"
"Joakim Nielsen"|"Nguyentunet 528, 7474 Haugland"
"Sissel Ødegård"|"Moeengen 7D, 9107 Håvardhelle"
"Ola Gulbrandsen"|"Antonsenvollen 8, 1680 Larsen"
"Eirik Kristiansen-Holm"|"Andreassenbråten 65, 2098 Ivarbø"
"Tonje Evensen"|"Næssgropa 98, 4437 Kjetilvåg"
"Ann-Emilie Bakke"|"Johnsentjernet 46, 5195 Haugland"
"Fredrik Aas"|"Thorsenlia 53F, 5016 Edvardsen"
"Gunn Birkeland"|"Kristensenberget 382, 5772 Jenssen"
"Andrea Helland"|"Thorsenrøa 595, 4607 Lailavær"
"Karl-John Halvorsen"|"Andreassenhagen 5, 1701 Henrikfjord"
"Kristin-Sara Knutsen"|"Arnesengropa 867, 3496 Elisjøen"
"Finn-Hans Karlsen"|"Pedersenstubben 9, 6819 Egilmark"
"Prof. Odd Sandvik"|"Eliassenekra 44, 4665 Paulsen"
"Thea Birkeland"|"Jakobsenlyngen 75, 5716 Stighelle"
"Eivind-Kenneth Andresen"|"Jakobseneggen 87, 2697 Annvåg"
"Mette Larsen"|"Andersenløkka 6, 6107 Andreassen"
"Henrik Andreassen"|"Tangentunet 5, 9243 Knutsen"
"Dr. Odd Jacobsen"|"Tveitmyra 18, 7210 Jennynes"
"Erling Hagen"|"Bøeberget 7, 0784 Hegeøy"
"Karl-Martin Myklebust"|"Andersenroa 92, 9557 Engen"
"Prof. Øystein Martinsen"|"Olsengjerdet 740, 8950 Jacobsen"
"Tove Bøe"|"Auneløkka 4, 5807 Simonsen"
"John Simonsen"|"Solbergkroken 50, 8464 Sigurdhamn"
"Elin Moe-Antonsen"|"Johnsenhagen 538, 1222 Trinebø"
"Sondre Hanssen"|"Moegropa 4, 0639 Solheim"
"Karl Karlsen"|"Kristensenlyngen 1B, 4310 Øysteinås"
