"Adrian Aasen","Myklebustflata 540, 1216 Johnsen" 
"Nora Svendsen","Madsenlia 9, 0876 Danielvær"
"Magne Andersen","Mathisenroa 59, 1578 Karinfjord"
"Jonas Iversen","Andreassenmyra 68A, 4626 Martinsen"
"Alf Simonsen","Tangenløkka 757, 1236 Anetteby"
"Svein-Ola Berg","Fredriksenstubben 3, 9304 Gundersen"
"Andreas Lund","Madsenløkka 8, 6437 Mayvåg"
"Sara-Silje Hanssen","Næssvika 7A, 6863 Larshamn"
"Roy Andersen","Lundetunet 3, 1134 Mayfjell"
"Magnus Thomassen","Birkelandmoen 93, 5110 Øyvindby"
"Siri Ahmed","Myhrefaret 88, 3230 Iversen"
"Bente Thorsen","Ahmedskrenten 9D, 2487 Mariusvåg"
"Magne Haug","Edvardsenkollen 3, 1742 Leiføy"
"Sara Berge","Nielsenhagen 39, 2867 Eliassen"
"Ingeborg Kristensen","Myhregata 877, 7819 Bøe"
"Siri Edvardsen","Lievika 7, 5209 Turiddal"
"Liv Christensen","Engengjerdet 73, 8209 Myklebust"
"Leif Helland","Næssgrenda 5, 3199 Martinsen"
"Anette Strand","Danielsenhaugen 96, 8088 Lien"
"Heidi Rønning","Ødegårdmoen 22, 4204 Holm"
"Tone Hansen","Jensenhagen 12, 7949 Antonsen"
"Lene-Rita Helland","Sivertsenskrenten 3, 6213 Bjørgø"
"Magne Jakobsen","Danielsenjordet 96, 8536 Berntsen"
"Anna Amundsen-Jørgensen","Karlsenringen 9, 3129 Helland"
"Hanna Helland","Tangenberget 4, 5568 Henrikhavn"
"Stine-Ingeborg Sæther","Thorsenhøgda 3, 1655 Emilhelle"
"Julie Næss","Solberglunden 6, 2505 Johannesdal"
"Turid Jørgensen","Henriksengropa 56C, 9827 Haugen"
"Magnus Bakke","Sætherbakken 6F, 1331 Knudsen"
"Astrid Ellingsen-Lie","Aasstranda 94, 1223 Runevik"
"Martin-Jonas Fredriksen","Eliasseneggen 9, 6634 Karlsen"
"Gerd Tveit","Larsenflata 1, 1426 Bøe"
"Magne Jakobsen","Henriksenalléen 7D, 3209 Fredriksen"
"Torbjørn-Finn Madsen","Iversengropa 28, 5232 Edvardsen"
"Ole Aasen","Moeberget 4, 5907 Johannessen"
"Janne Brekke","Eliassenbråten 69, 7934 Pedersen"
"Terje Jakobsen","Ahmedspranget 82, 6476 Toresjøen"
"Magnus Moe","Jacobsengata 7, 0361 Tangen"
"Gerd Brekke","Henriksenhavna 53, 9254 Solberg"
"Stian Pedersen-Bøe","Johannessenbråten 7, 8827 Nilsen"
"Janne Hauge","Eliassenbakken 9C, 9918 Tonedal"
"Silje Kristensen","Bergstranda 1, 3120 Evafjord"
"Magne Nilsen","Simonsenlunden 65, 2235 Andresen"
"Alexander Helland","Solheimlia 5, 5539 Torbjørnfoss"
"Tonje Gundersen","Nguyensvingen 9, 4889 Gulbrandsen"
"Else Hagen","Hellandtjernet 88, 0838 Hansen"
"Øyvind Olsen","Ellingsenmoen 63, 7602 Helenehelle"
"Nora Bakke","Christensenflata 4, 5771 Tonjeborg"
"Erling Mathisen","Lienskogen 6, 9516 Pedersen"
"Simen Lie","Olsenlia 95, 2273 Amundsen"
"Aud-Martine Solheim","Abrahamsenkollen 76, 0429 Andreasodden"
"Anna-Jorunn Bakken","Amundsenroa 3, 0528 Lindaøy"
"Magne Rasmussen","Martinsentjernet 4, 0385 Solheim"
"Heidi Nygård","Abrahamsengrenda 89, 4840 Wencheodden"
"Emma Svendsen","Engenmarka 544, 4012 Strand"
"Inger Nielsen","Madsenspranget 1, 1177 Solveighamn"
"Olav Hagen","Moetoppen 48, 9343 Markussand"
"Gro Moen","Simonseneggen 3, 0562 Haugland"
"Prof. Karl Paulsen","Berntsentunet 4, 7287 Bakke"
"Ingrid-Synnøve Lund","Haugespranget 9A, 6291 Isaksen"
"Turid Nilsen","Knudsenberget 25, 4257 Ragnhildborg"
"Espen Ellingsen","Antonsenlunden 91, 7729 Edvardsen"
"Magne-Erling Bakken","Myhreberget 2, 6919 Andresen"
"Kim-Sindre Lund","Nygårdeggen 27, 5141 Bøe"
"Nora-Åse Jensen","Amundsenstubben 88, 8475 Isaksen"
"Roy Nguyen","Bergjordet 43, 7065 Jenssen"
"Heidi Hauge","Strømlunden 4, 7922 Martinsen"
"Jens Johannessen","Eriksenplassen 4, 4795 Bakken"
"Ruth Nilsen","Johansenekra 55, 3157 Danielsen"
"Marit-Helene Moe","Thorsenmarka 9B, 2357 Martinesund"
"Nina-Mona Tveit","Antonsenekra 820, 3831 Bakken"
"Unni-Eva Rasmussen","Bøeroa 2B, 9845 Fredriksen"
"Magne-Jan Antonsen","Solbergløkka 4D, 0871 Olsen"
"Julie Isaksen","Strømvika 5C, 9833 Eide"
"Karoline Henriksen","Jenssenmarka 9C, 7876 Ivarby"
"Bente Myhre","Knudsenhøgda 05, 3559 Vegardøy"
"Sigurd-Vegard Sandvik","Halvorsenbakken 420, 4393 Ellengrunn"
"Lene Jensen","Nguyenskrenten 218, 4799 Lenenes"
"Eva Lund","Gulbrandsenhagen 73, 1489 Halvorsen"
"Karoline Pettersen","Bakketoppen 65F, 9290 Hannaborg"
"Marit Simonsen","Sætherfaret 77, 3717 Rønning"
"Daniel Bakken","Bergetunet 767, 7593 Oddfjord"
"Magnus Aasen-Johannessen","Danielsenkroken 4, 5173 Kjetilgrunn"
"Sissel Evensen","Mikkelsenberget 5, 6787 Thomasås"
"Irene-Ellen Hansen","Ellingsentoppen 02F, 0770 Ahmed"
"Jan Haugen-Næss","Solbergmarka 8, 0084 Kimborg"
"Rolf Svendsen","Lundeberget 53, 0000 Strand"
"Sissel-Mona Andresen","Nilsenløkka 51, 2996 Alfnes"
"Bente Jørgensen","Johnsenhavna 368, 1487 Monagrunn"
"Odd Eliassen","Isaksenkroken 4A, 8940 Simenbø"
"Thea Sandvik","Gundersenvollen 7A, 2551 Juliestrand"
"Stein-Håkon Svendsen","Andreassenalléen 15, 1345 Unnistrøm"
"Magnus Ali","Kristensenhøgda 543, 8878 Paulsen"
"Leif Sæther","Edvardsenløkka 43, 5250 Gundersen"
"Prof. Sigurd Ødegård","Thomassenlunden 71B, 0153 Sebastianstad"
"Daniel Aas","Jørgensengropa 3, 5094 Fredriksen"
"Britt Johnsen","Lietunet 066, 3867 Trineborg"
"Line-Bente Tveit","Solbergtjernet 1, 4841 Anitaøy"
"Mette Solberg","Rasmussenflata 18, 6902 Myklebust"
"Kenneth Eriksen","Solheimholtet 2, 4122 Tonebø"
"Astrid-Sissel Svendsen","Lienlunden 1, 2438 Øyvindborg"
"Janne Thomassen","Jacobsenskogen 690, 4256 Asbjørnstrand"
"Magnus Andersen","Engenrøa 619, 9785 Mariavåg"
"Johannes-Tobias Bakken","Hansenjordet 15, 5460 Nielsen"
"Rune Arnesen","Haugenvika 1, 0293 Hildeberg"
"Dr. Roger Kristoffersen","Andresenstubben 1, 6317 Moen"
"Vegard-Joakim Ruud","Kristoffersenringen 671, 4013 Bøe"
"Tobias Johansen","Hansenberget 58, 7873 Moe"
"Tore Larsen","Hanssenkroken 64, 9804 Sørensen"
"Irene Karlsen-Sæther","Birkelandvika 636, 3896 Isaksen"
"Anna Sandvik","Johansensvingen 6, 8234 Berg"
"Fredrik Amundsen","Solbergberget 8, 7282 Vegardhelle"
"Magnus Christensen","Jørgensenplassen 93B, 7457 Brekke"
"Håvard Ruud","Karlsenvika 21, 4892 Halvorsen"
"Mette Ødegård","Rasmussenjordet 5A, 5581 Fredriksund"
"Magnus Aas","Johnsensvingen 5, 9995 Hanssen"
"Alf Nielsen","Martinsengata 74A, 0015 Eliassen"
"Camilla Larsen","Amundsenbakken 712, 2636 Steinfoss"
"Bjørg-Mari Moe","Hellandhavna 45D, 2585 Madsen"
"Camilla Berge","Haugenbakken 8, 5184 Henriksen"
"Sigrid Bøe","Haugekroken 39, 9702 Aas"
"Aud Henriksen","Dahlmyra 7E, 2269 Mathiashamn"
"Magnus Edvardsen","Olsensvingen 1, 8147 Sørensen"
"Frank Moe","Bøejordet 68, 4611 Tonjestad"
"Alf Bakken","Jacobsenskogen 6, 2233 Mariaodden"
"Synnøve Ali","Kristensenstubben 362, 5184 Sæther"
"Sebastian Antonsen","Haugenlunden 6, 3499 Johansen"
"Ingrid-Irene Nielsen","Nilsenlunden 4, 2204 Arnesen"
"Sindre Helland","Moenfaret 2B, 5394 Sigridhavn"
"Cathrine Paulsen","Strandmoen 8, 8828 Astridsand"
"Jens-Jan Tveit","Andresenmyra 29D, 3200 Nielsen"
"Ole Sandvik","Tveiteggen 2, 4292 Jakobsen"
"Magnus Fredriksen","Myklebustfaret 8E, 6431 Petterfjell"
"Bjørn Tangen","Næssringen 893, 7938 Kjellsjøen"
"Linda-Anna Nilsen","Johanseneggen 4C, 1687 Ahmed"
"Karen Moen","Kristoffersentoppen 1, 4257 Knutsen"
"Liv Evensen","Iversenmoen 50, 3834 Isaksen"
"Vegard-Geir Jakobsen","Rasmussenkollen 36, 1984 Sæther"
"Bjørn Strøm","Johnsengata 25, 9030 Bakke"
"Lars Solheim","Evensengropa 480, 4977 Moen"
"Daniel Gundersen","Hellandgata 16, 4126 Holm"
"Heidi Strøm-Pettersen","Nguyenåsen 9, 0453 Erlingmark"
"Magnus Sivertsen","Strandringen 1, 8609 Ceciliefjord"
"Hilde Larsen","Gundersenmoen 7, 0543 Haugen"
"Asbjørn-Sindre Johannessen","Knudsenløkka 68, 4089 Isaksen"
"Stein Aune","Haugvika 991, 9866 Reidungrunn"
"Anders-Mathias Holm","Thorsenkollen 87B, 8049 Pedersen"
"Per Aune-Halvorsen","Johannessensvingen 27, 8407 Mathiassjøen"
"Per-Fredrik Amundsen","Christensengrenda 4A, 0780 Roysand"
"Cathrine Fredriksen-Abrahamsen","Kristoffersentunet 38B, 2830 Ellingsen"
"Daniel Hauge","Simonsentunet 10, 9800 Solberg"
"Hanna Sørensen","Engenhavna 8, 7571 Hansen"
"Magnus-Kristian Lie","Christenseneggen 6D, 0698 Tangen"
"Bente Lund-Kristensen","Engenengen 497, 1729 Terjeø"
"Håkon Thorsen","Sætherhavna 64E, 6444 Ellenstrand"
"Elin Andersen","Hanssenhavna 46, 1662 Camillaeid"
"Else Kristiansen","Isaksenholtet 3, 9815 Brekke"
"Britt Sivertsen","Nilsenskrenten 3, 3724 Haugland"
"Hanna Thomassen-Haugland","Dahlfaret 7, 1564 Vildehelle"
"Elise Larsen","Ødegårdstien 28A, 0585 Knutsen"
"Silje Holm","Mikkelsenkroken 7A, 0942 Espenøy"
"Bente Ellingsen","Gundersenlunden 5, 9370 Elivik"
"Malin Aune","Rasmussenalléen 8, 2987 Sindrevik"
"Tore Nilsen","Aasensvingen 97, 1222 Holm"
"Maren Paulsen","Næssstubben 93, 4278 Paulsen"
"Andrea Olsen","Andresenstien 354, 0306 Ingeborgborg"
"Bjørg Hanssen","Solberggjerdet 5, 9586 Gulbrandsen"
"Sverre Bakke","Edvardsenflata 99, 9674 Leneberg"
"Kari Aas","Thorsenringen 6A, 4462 Marensund"
"Laila Sandvik","Knudsenlunden 4, 6005 Mortenvær"
"Joakim Strand-Fredriksen","Nygårdkollen 1, 6601 Mikkelsen"
"Ida Madsen","Næssskrenten 38D, 2386 Roarvåg"
"Malin Bakke","Bergemoen 5B, 8512 Synnøvehamn"
"Erling-Henrik Sæther","Alitoppen 2, 9121 Johnøy"
"Joakim Ali","Knutsenstubben 15, 6890 Lailafjell"
"Eva Thorsen","Thomassenmyra 247, 9695 Vildedal"
"Kristian Andersen","Holmlia 243, 5083 Johannessen"
"Anne Haugland","Solheimeggen 8, 6387 Jacobsen"
"Anne Bakken","Henriksentunet 3, 1515 Bakken"
"Malin Andersen","Sørensenvika 8, 5110 Christensen"
"Hilde Aasen","Sivertsenlia 6, 0262 Einarby"
"Dr. Emil Sivertsen","Jørgensenekra 5H, 3868 Birkeland"
"Malin Berntsen","Amundsenvollen 30, 0108 Håkoneid"
"Ellen Thomassen","Tveitmyra 4, 8762 Eirikstad"
"Frank Gulbrandsen","Nygårdhavna 9B, 6115 Pedersen"
"May Iversen","Jensenrøa 1, 8171 Vegardstad"
"Rita Eide","Alistykket 00, 1024 Torfjord"
"Dr. Hans Gundersen","Mathisenstien 7, 7650 Jonasborg"
"Åse Ahmed","Sandviklunden 7, 3209 Sæther"
"Stine Ødegård","Nilsentoppen 04, 2946 Gunnarborg"
"Sigrid Berg","Berntsensvingen 34, 5601 Evensen"
"Kjell Nygård","Næssengen 9, 9458 Kristineås"
"Malin Henriksen","Myklebustgropa 58, 2538 Fredriksen"
"Simen Haugland","Aasentjernet 47, 2993 Bakke"
"Harald Solheim","Strømgata 09, 9732 Nygård"
"Mona Myhre","Isaksenlia 1, 9433 Kjetilodden"
"Ola Eriksen","Olsengropa 1E, 4239 Nguyen"
"Simen-Sverre Andreassen","Gulbrandsenhavna 53A, 7258 Tomstrøm"
"Prof. Roger Bakke","Jensenmyra 6, 0143 Magnebø"
"Hans Hansen-Rasmussen","Jensenstien 3, 6376 Emilieøy"
"Anette Ellingsen-Jacobsen","Nygårdgata 9, 7332 Sivstad"
"Ann Knutsen","Holmfaret 2, 8922 Lie"
"Malin Isaksen","Larsentjernet 4, 6499 Kristensen"
"Henrik Haug","Liespranget 54G, 4118 Bentestrand"
"Hanna Hanssen","Edvardseneggen 2, 9376 Mathiasmark"
"Hanna-Åse Aune","Simonsenkollen 687, 4123 Nygård"
"Steinar Aune-Helland","Karlsenhaugen 6, 9906 Sirifjord"
"Espen Knudsen","Moeløkka 07G, 4753 Siriås"
"Nils Myklebust","Hansengata 3A, 4223 Kårefoss"
"Tom Isaksen","Bøekollen 5B, 3514 Karolineborg"
"Daniel Bakken","Aasentunet 7, 7232 Ragnhildhavn"
"Petter-Helge Isaksen","Haugtunet 9B, 1447 Karolinesjøen"
"Malin Jacobsen","Rønningekra 8, 6095 Kristoffersen"
"Joakim Sørensen","Hellandbråten 6, 1211 Monastrand"
"Camilla Berg","Rønningeggen 1, 3528 Holm"
"Siv Ahmed-Ruud","Halvorsenengen 93A, 3654 Eide"
"Ivar Rasmussen","Aliskogen 9, 9220 Paulsen"
"Håkon Johannessen","Antonsengata 510, 7437 Mariannedal"
"Jens Olsen-Jørgensen","Kristoffersenhaugen 87, 7019 Bakken"
"Erling Sivertsen-Holm","Mathisenåsen 8A, 6647 Jonøy"
"Anette Sørensen","Abrahamsenkroken 4B, 6750 Beritsund"
"Anita Evensen","Moetjernet 1, 8549 Rolfstrand"
"Malin Lie","Kristoffersenplassen 27, 6909 Johanås"
"Tom Paulsen","Sørensenlyngen 6, 8129 Karlsen"
"Odd Johannessen","Martinsenmyra 65, 1512 Christensen"
"Markus-Karl Martinsen","Haugberget 950, 7794 Haraldøy"
"Tor-Asbjørn Rasmussen","Ødegårdgropa 9, 2991 Myhre"
"Mari-Gerd Mikkelsen","Solbergstubben 29E, 6422 Solheim"
"Martin Lie","Strandholtet 5, 0014 Stianfjell"
"Wenche Rønning","Bakkerøa 3, 1623 Markuseid"
"Espen Jørgensen","Gundersenbråten 7, 6454 Solveigås"
"Sissel Helland","Hellandtjernet 059, 5742 Trondsand"
"Malin Moe","Isaksenengen 5A, 8434 Haugen"
"Vilde-Marte Strand","Jensenholtet 2, 4083 Andresen"
"Kristian Christensen","Nilsenberget 5, 1504 Ali"
"Lene Pedersen","Hagenlyngen 683, 8822 Hanssen"
"Hege Sørensen","Martinsengropa 639, 4747 Monicagrunn"
"Silje Moen","Berggropa 5, 0362 Ingernes"
"Tove Nguyen","Næssflata 9, 0611 Mortenhavn"
"Lene Lie","Kristensenmoen 91, 6599 Haugen"
"Kåre Myhre-Edvardsen","Hauglandbråten 42, 1514 Johannesbø"
"Unni Haugen","Ahmedmarka 13, 6977 Kristoffersen"
"Malin Nygård","Dahlrøa 06, 4662 Christensen"
"Tobias Iversen-Iversen","Dahlflata 29B, 8430 Elinhavn"
"Astrid Bøe","Myklebustengen 8C, 4726 Ellengrunn"
"Alf Hagen","Andersenstien 6, 8919 Sondreborg"
"Hans Isaksen","Amundsenflata 23, 7830 Næss"
"Jonas Bøe","Berntsenløkka 9, 0660 Linnø"
"Grete Sivertsen","Hansseneggen 17, 6607 Eirikø"
"Janne Johansen","Haugerøa 62, 2742 Heidines"
"Åse Sørensen","Thomassengropa 96, 1688 Halvorsen"
"Alf Nygård","Paulsensvingen 4, 3828 Mikkelsen"
"Malin Sandvik","Strandlia 04, 0819 Johansund"
"Terje Arnesen-Henriksen","Engenvollen 9A, 9832 Jennygrunn"
"Tore Jensen","Svendsenroa 9, 4476 Strand"
"Rita Moe","Antonsenringen 7, 8834 Solheim"
"Heidi Knutsen","Aashaugen 64, 6918 Torfjord"
"Dr. Knut Lunde","Bakkenringen 316, 7221 Monafjord"
"Astrid Moen","Mathisenalléen 78E, 9150 Lie"
"Jenny Mathisen","Andresengropa 512, 0242 Andreahamn"
"Cecilie Jacobsen","Lundelunden 80G, 0067 Martinsen"
"Elin Henriksen","Hellandeggen 7, 9414 Johannessen"
"Malin-Anne Jacobsen","Halvorsengrenda 1, 7543 Moe"
"Frode-Martin Haug","Nguyenkroken 04A, 3070 Kristensen"
"Sofie Rasmussen","Henriksenhøgda 6B, 8961 Thomasås"
"Tonje Johansen","Nygårdkroken 96A, 0799 Sivertsen"
"Thor Lie","Rasmussenrøa 80, 1513 Mikkelsen"
"Ivar Henriksen","Henriksengjerdet 7, 9750 Johnsen"
"Egil Berntsen","Hellandmoen 8, 6908 Gundersen"
"Pål Sæther","Gulbrandsenekra 44, 0312 Ninasjøen"
"Steinar Jakobsen","Ahmedfaret 898, 7074 Madsen"
"Alf Johannessen","Nguyentoppen 2, 7569 Larsen"
"Malin-Monica Tveit","Madsenstranda 3, 5981 Helland"
"Elise Vik","Strandstranda 9, 6821 Sivhelle"
"Joakim-Jonas Paulsen","Myhremyra 3D, 7651 Synnøvedal"
"Astrid-Cathrine Berge","Vikbråten 7A, 3414 Pettersen"
"Tommy Nielsen","Andersenlyngen 18A, 0689 Halvorsen"
"Tore Mathisen","Liefaret 5, 8277 Solberg"
"Helge Nguyen","Martinsenmyra 22, 4034 Erikmark"
"Egil-Stian Aasen","Johnsenlyngen 7, 3236 Karlsen"
"Asbjørn Jensen","Tveitvollen 265, 8018 Lunde"
"Vegard Abrahamsen","Arnesenåsen 171, 9964 Beritvik"
"Maren Antonsen","Sandvikberget 64C, 2758 Håvardby"
"Geir Sivertsen","Bergekollen 6, 4481 Eliassen"
"Pål Strøm","Aasenlia 98B, 2254 Brittstad"
"Marie Rønning","Jensengropa 7C, 9974 Nilsen"
"Ragnhild Ødegård","Moeekra 9, 4726 Olsen"
"Vilde-Cathrine Jenssen","Lundegrenda 451, 7741 Jensen"
"Espen Ødegård","Danielsenhagen 8D, 9679 Myhre"
"Prof. Espen Berg","Sørensenmoen 9, 5436 Roargrunn"
"Tore-Alexander Sandvik","Svendsenvollen 92, 2005 Kristofferfjell"
"Kjersti Iversen","Abrahamsengata 008, 0311 Haug"
"Maren Edvardsen","Henriksentunet 99A, 5884 Halvorsen"
"Nora-Karin Dahl","Ruudekra 77E, 5260 Arnemark"
"Finn Haug","Jacobsenholtet 5, 7779 Halvorsen"
"Astrid Thorsen","Jacobsenbråten 6, 7196 Moe"
"Maren Svendsen-Myhre","Paulsenvika 885, 4076 Larsås"
"Prof. Tor Isaksen","Strandstranda 71A, 3241 Antonsen"
"Roy Haugen","Pedersenkroken 05E, 9321 Engen"
"Prof. Robert Larsen","Lundebakken 889, 2084 Aas"
"Cathrine Knutsen","Kristiansenrøa 5, 9744 Antonsen"
"Stig Edvardsen","Thomassenjordet 4, 2545 Lund"
"Maren Jacobsen-Næss","Hagenstykket 3, 0800 Abrahamsen"
"Siri-Britt Sæther","Hansenkollen 1, 6213 Karisjøen"
"Anita Henriksen","Sæthersvingen 21, 7894 Persand"
"Unni Solheim","Pettersenskrenten 1, 0874 Ødegård"
"Sondre Haugen","Andersengropa 15C, 6260 Dahl"
"Arne Solheim","Danielsenbråten 703, 4062 Antonsen"
"Gerd Haug","Edvardsengrenda 2, 2261 Gulbrandsen"
"Tobias Christensen","Isaksenåsen 9, 3853 Lindaodden"
"Arild Birkeland","Myklebustkroken 16F, 5640 Torebø"
"Marius Rønning","Ødegårdtjernet 602, 6208 Kjetilsjøen"
"Maren Karlsen","Isaksenbråten 5, 8660 Irenedal"
"Jens Karlsen","Abrahamsenkollen 885, 7376 Asbjørnø"
"Roy Karlsen","Antonsentoppen 7, 5780 Hanneborg"
"Espen Thorsen","Hagenekra 58A, 1361 Jørgensen"
"Einar Kristiansen","Martinsenstubben 5, 2658 Lund"
"Linda Nielsen","Andresenberget 7, 1606 Myklebust"
"Marte Myklebust","Sætherhavna 11F, 8287 Madsen"
"Tore Arnesen","Svendsenmarka 20, 0365 Marihelle"
"Astrid Jacobsen","Berntsenskogen 00, 3939 Ruud"
"Turid Johansen","Nilsenmoen 97, 9671 Janneås"
"Maren Martinsen","Tangenholtet 6G, 2336 Sindredal"
"John Danielsen","Moealléen 2F, 3722 Tveit"
"Markus Martinsen","Pedersenbråten 56, 9094 Elinvik"
"Else Pettersen","Sandvikflata 7, 5063 Magnegrunn"
"Emil Isaksen","Hauglandeggen 23, 4133 Paulsen"
"Christian Moen","Strømstranda 8, 6162 Trondgrunn"
"Kjell-Alf Mathisen","Ødegårdkroken 15, 0145 Emilfjell"
"Jens Christensen","Isaksentjernet 8, 8859 Isaksen"
"Trine Moen","Halvorsenskogen 33, 0436 Kimvær"
"Prof. Sondre Solheim","Vikgrenda 5, 0719 Solberg"
"Maren Svendsen","Andreassengropa 6, 9080 Arnesen"
"Terje Nguyen","Vikbakken 8, 7589 Jørgensen"
"Eli-Martine Nilsen","Nygårdlia 2, 5656 Mathiasfjell"
"Frode Abrahamsen","Fredriksenengen 244, 2614 Ellingsen"
"Ida Berntsen","Liengata 7, 6438 Karlsen"
"Dag Lund","Christensenlyngen 2H, 9499 Gulbrandsen"
"Wenche Nielsen","Christensensvingen 66, 4135 Pedersen"
"Dag Brekke","Olsentunet 46, 0072 Thorodden"
"Frode Rønning","Aasspranget 3, 1600 Pålhamn"
"Tom-Odd Andresen","Aunestubben 80, 8007 Ritasund"
"Maren Thorsen","Simonsenløkka 4, 6920 Hildesjøen"
"Karin Ødegård","Kristoffersenstranda 3A, 3620 Eliø"
"Knut-Thomas Sandvik","Knudsenekra 43, 9878 Emilodden"
"Terje Abrahamsen","Ahmedplassen 50A, 9966 Ellingsen"
"Fredrik Aune-Jenssen","Sørensenlia 2, 6196 Solveigborg"
"Bjørn Hansen","Iverseneggen 6C, 2107 Ellingsen"
"Henrik Abrahamsen","Rasmussenroa 451, 9183 Ødegård"
"Martine Ødegård","Jørgensenberget 37, 8644 Johnsen"
"Ingeborg Lien","Iversenholtet 8, 4586 Hansen"
"Gunnar Larsen","Berntsenekra 06C, 0936 Kjellstrøm"
"Maren-Cecilie Bakke","Halvorsengropa 10, 2717 Bakke"
"Gunnar Helland","Jakobsengropa 3B, 5048 Theafoss"
"Else Christensen","Sivertsenmoen 02C, 4883 Andreasfjell"
"Thomas Fredriksen","Moenbråten 6A, 2540 Abrahamsen"
"Bjørn Knutsen-Gundersen","Hauglandbakken 9, 4799 Tveit"
"Kåre Solheim","Jørgensenengen 2, 4390 Gunnø"
"Irene Gundersen","Gulbrandsensvingen 3, 5098 Larsen"
"Anette-Helene Amundsen","Knudsengrenda 4, 3613 Solberg"
"Johan Birkeland","Thomassenekra 447, 2866 Sæther"
"Sverre Evensen","Halvorsenspranget 8, 2150 Vildedal"
"Mari Hansen","Strandgrenda 8, 0821 Holm"
"Torbjørn Jørgensen","Kristensenskrenten 67, 2738 Haraldø"
"Trine-Karoline Birkeland","Nguyenfaret 31, 9478 Hansen"
"Trond Myhre","Ellingsenstien 68C, 5976 Mariannestrøm"
"Karoline Svendsen","Eliassenringen 8F, 5560 Linnfjell"
"Tommy Moe","Vikskogen 71A, 4934 Myhre"
"Ida-Heidi Sivertsen","Hauglandtjernet 8A, 6157 Strøm"
"Thomas-Helge Berg","Haugberget 5, 1673 Nielsen"
"Bente Johannessen","Eliassenlia 80A, 7076 Rogerfjell"
"Fredrik-Magne Pedersen","Simonsensvingen 28, 4473 Lie"
"Mari Helland","Knudsenroa 67, 4330 Andreassen"
"Morten-Rolf Olsen","Myhrehaugen 3, 9900 Thorsen"
"Fredrik Brekke","Aashaugen 9, 2082 Næss"
"Ola Berg-Arnesen","Johansenbråten 7, 6654 Irenevik"
"Heidi Johansen-Hansen","Hanssengjerdet 1A, 4869 Kristofferdal"
"Håvard Aasen","Kristensenkollen 2, 0955 Aasen"
"Emil Bakken","Kristoffersenjordet 36, 1927 Hagen"
"Jorunn Halvorsen","Olsenmyra 608, 6109 Henrikhamn"
"Bente Jensen","Sørensengrenda 45, 6910 Johnsen"
"Jenny Antonsen","Brekkeskogen 2, 5690 Alexanderfjord"
"Mari Helland","Strømhavna 2, 8624 Ingridø"
"Morten Nygård","Jørgensensvingen 36C, 9512 Beritsund"
"Lars Lie","Arnesenflata 5F, 6986 Vik"
"Mari-Emilie Gundersen","Haugegropa 5, 0361 Moe"
"Ivar Ahmed","Kristensenåsen 7, 6483 Andersøy"
"Ida Strand","Birkelandlia 63, 8807 Sandervik"
"Reidun Andreassen","Fredriksenengen 81, 4542 Arildøy"
"John Aune","Lienkollen 564, 0439 Camillaøy"
"Roger Brekke","Mathiseneggen 24, 8408 Johanstad"
"Hilde Strand","Johannessenstien 36, 8750 Nielsen"
"Mari Madsen","Brekkeeggen 142, 2169 Jenssen"
"Solveig-Anne Nilsen","Kristenseneggen 17E, 2392 Berg"
"Dr. John Johansen","Nygårdgata 52, 5872 Kjellnes"
"Linda Andersen","Fredriksenflata 21, 8143 Erikberg"
"Martin Nguyen","Myhremoen 2, 6550 Paulsen"
"Olav Næss","Strømvollen 406, 4689 Simonsen"
"Mathias-Gunnar Dahl","Knutsensvingen 62C, 4985 Ruthstrøm"
"Hilde-Heidi Amundsen","Karlsenplassen 2, 5610 Jannefoss"
"Reidun Haugen-Rønning","Jenssenmoen 16, 3646 Ellingsen"
"Sofie-Wenche Aas","Sørensenbakken 9C, 4333 Aasen"
"Mari Pedersen-Eide","Mathisenvollen 8, 2147 Jenssen"
"Martin Antonsen","Lundrøa 3, 1870 Jensen"
"Gunnar Jensen","Antonsenskogen 3, 6839 Magneodden"
"Sverre Arnesen","Johannessenstubben 7, 6915 Larsen"
"Hege-Tove Strand","Johansenekra 41F, 4691 Ruthdal"
"Kristin Olsen","Kristensengropa 7, 8049 Tveit"
"John-Thor Eliassen","Thorsenstien 34, 8501 Nguyen"
"Astrid-Turid Andresen","Andresenlyngen 4D, 3134 Dahl"
"Synnøve Jacobsen","Ahmedgjerdet 15, 8050 Bentefjord"
"Jon Berg","Strandstykket 3, 5502 Franksund"
"Mari-Gro Hanssen","Moestien 1, 6837 Torbjørnøy"
"Henrik Fredriksen","Ødegårdholtet 8, 2150 Sigridås"
"Egil-Erling Thomassen","Lieflata 7F, 4806 Joakimhavn"
"Karoline Mikkelsen","Lievika 783, 3554 Solheim"
"Tobias Rasmussen","Kristensenhaugen 3, 3437 Tveit"
"Liv-Ellen Aune","Aasenlunden 29, 4035 Håvardøy"
"Frode-Kristoffer Gulbrandsen","Amundsenstykket 85, 0445 Jørgenborg"
"Vidar Madsen","Jensengjerdet 01, 1960 Karlhelle"
"Dr. Håvard Lund","Sætherstykket 1, 4664 Larsmark"
"Stig Martinsen","Jensenstykket 2, 3186 Hagen"
