"Adrian Danielsen"	"Pettersenrøa 36D, 5131 Audeid" 
"Jon Eide"	"Engenhagen 236, 4986 Sivhamn"
"Anders Haugland-Danielsen"	"Martinsenhøgda 4, 2821 Runefoss"
"Pål-Olav Johansen"	"Liemoen 6, 1763 Hannesund"
"Johannes Nygård"	"Bakkestykket 2C, 9520 Jørgeneid"
"Hilde Christensen-Bøe"	"Kristoffersentoppen 747, 5029 Alexanderbø"
"Bjørn Kristensen"	"Johansenfaret 20, 1836 Olsen"
"Line Nielsen"	"Sivertsenekra 8, 3647 Elsevik"
"Stine Sæther"	"Hansenskrenten 28A, 4611 Strand"
"John-John Mikkelsen"	"Dahlmarka 2, 6228 Idaøy"
"Kirsten Karlsen"	"Johansenengen 9B, 1024 Jakobsen"
"Kjell Olsen"	"Andersenmyra 5, 9957 Lien"
"Marie Johnsen"	"Ruudgjerdet 3, 3626 Karolinenes"
"Thor Berge"	"Sivertsenalléen 7, 2606 Hansen"
"Camilla Arnesen"	"Abrahamseneggen 6, 4470 Hannehelle"
"Kjersti Svendsen"	"Henriksenskrenten 35, 0362 Gundersen"
"Prof. Stig Tveit"	"Hauglandmoen 157, 5107 Halvorsen"
"Britt Paulsen"	"Aasmoen 99B, 0535 Pettersen"
"Egil Paulsen"	"Martinsenvollen 30, 6737 Jensen"
"Martin Moe"	"Ahmedstubben 51, 4007 Frodemark"
"Kirsten Karlsen"	"Kristoffersengrenda 4, 5241 Ingridgrunn"
"Sigrid Haugland"	"Knutsengjerdet 9, 7494 Tveit"
"Thomas Kristiansen"	"Haugkollen 10, 9384 Anitaø"
"Ellen Berntsen"	"Paulsenringen 62, 6475 Magnemark"
"Dr. Jens Johansen"	"Johansengata 35, 9550 Metteøy"
"Mette Ahmed"	"Svendsenekra 49A, 7219 Eriksen"
"Stian Abrahamsen"	"Knudsenhøgda 1, 2232 Andreasvåg"
"Thomas Simonsen"	"Jensenhavna 276, 3200 Håvardfjord"
"Dr. Leif Hauge"	"Bergevollen 3C, 6207 Simonsen"
"Hanne Ali"	"Alimarka 3, 6569 Kennethsund"
"Kirsten Karlsen-Edvardsen"	"Madsenhavna 324, 2673 Annestrøm"
"Stian Kristensen"	"Sørensenlia 3A, 2999 Pettersen"
"Aud Arnesen-Arnesen"	"Kristoffersenkollen 2, 7035 Larsen"
"Tommy-Svein Sørensen"	"Næsshagen 3, 6704 Kristensen"
"Prof. Simen Brekke"	"Alilia 8, 9461 Synnøveberg"
"Leif-Karl Karlsen"	"Amundsenplassen 9C, 7041 Henriksen"
"Prof. Kjetil Ødegård"	"Jenssenstykket 9B, 8438 Sørensen"
"Solveig Ødegård"	"Aunetunet 7, 4319 Strøm"
"Randi Lien"	"Halvorsensvingen 2B, 2503 Rønning"
"Stine-Solveig Amundsen"	"Bakkenløkka 16C, 9732 Sigurdstrand"
"Kirsten Lie"	"Henriksentjernet 2, 9768 Johansen"
"Anne Eide"	"Iversengata 32, 7762 Kårestrøm"
"Unni-Sigrid Martinsen"	"Knudsentoppen 7, 5769 Knudsen"
"Sander Tangen"	"Larsengropa 249, 0950 Kristinemark"
"May Haugen"	"Jakobsenåsen 5, 0339 Tovegrunn"
"Petter Strand"	"Ellingsenhøgda 9, 4081 Lien"
"Tom Simonsen-Johannessen"	"Rønningbakken 1E, 5378 Hanssen"
"Trine-Lene Jakobsen"	"Eliassenstranda 7, 6812 Jacobsen"
"Einar-Simen Bakken"	"Thorsenalléen 96, 5540 Berntsen"
"Hanna-Emilie Fredriksen"	"Svendsengjerdet 5, 3731 Kjerstiodden"
"Kirsten Sæther"	"Brekkeekra 3, 0693 Hansen"
"Eli Jensen"	"Thorsenberget 6B, 8801 Aas"
"Turid Amundsen"	"Larsenhavna 96, 5744 Annaodden"
"Grethe Kristoffersen-Hagen"	"Solberggropa 1, 9004 Birkeland"
"Marit Jenssen"	"Tangenhagen 3, 8616 Åsemark"
"Vilde Lien"	"Knutsenhøgda 81, 8162 Andersnes"
"Ann Berntsen"	"Sivertsenflata 99B, 3798 Thorsen"
"Reidun Hagen"	"Haugemyra 92, 7622 Unniø"
"Vegard Jakobsen"	"Edvardsenplassen 3C, 3109 Emmastrøm"
"Tore Arnesen"	"Ruudvollen 86, 8826 Fredriksen"
"Kirsten Ødegård"	"Evenseneggen 8, 3087 Holm"
"Ingrid Amundsen"	"Tangenfaret 1, 3927 Håkonsand"
"Grete Nilsen-Jacobsen"	"Antonseneggen 1, 1771 Cecilievær"
"Dr. Frode Rønning"	"Liebråten 7, 7717 Roarfjell"
"Ingeborg Abrahamsen"	"Jacobsenskrenten 33E, 2637 Asbjørnnes"
"Sebastian Myklebust"	"Eideskogen 3C, 4774 Marigrunn"
"Steinar-Jon Kristoffersen"	"Eliassenåsen 68, 8802 Martesand"
"Erling Vik"	"Strømåsen 31, 2831 Olanes"
"Alexander Næss"	"Myhretjernet 2, 5908 Rønning"
"Adrian Christensen-Solheim"	"Sætherspranget 518, 6567 Solberg"
"Kirsten-Anette Birkeland"	"Ruudhavna 2, 4821 Roarfjell"
"Cecilie Berge"	"Knutsenåsen 6G, 5076 Sarasand"
"Petter Thorsen"	"Olsenskogen 1B, 7749 Stianhamn"
"Hanne-Berit Jacobsen"	"Eliassenlyngen 64A, 7655 Haug"
"Tobias Berge"	"Sørensenskogen 2, 1590 Karlsen"
"Anders Fredriksen"	"Antonsenhaugen 93F, 0924 Edvardsen"
"Emma Olsen"	"Lundstranda 1, 4412 Dahl"
"Nina Eriksen"	"Christensenvollen 2, 9940 Øyvindstad"
"Roy Andresen"	"Eliassenjordet 815, 6092 Kristoffersen"
"Line Ali"	"Aasenspranget 32C, 0006 Elisabethberg"
"Kirsten-Marie Næss"	"Paulsenskogen 68, 7773 Gundersen"
"Grethe Christensen"	"Brekkekollen 8, 1491 Frodenes"
"Rune-Stig Sæther"	"Lievika 9, 6174 Annnes"
"Malin Simonsen"	"Kristensenholtet 8, 7925 Henriksen"
"Ola Kristiansen"	"Tangenstykket 771, 8558 Frankstrøm"
"Rolf Iversen"	"Myklebustløkka 6F, 8234 Johansen"
"Arne Lien"	"Berntsentunet 3, 8347 Ahmed"
"Nora Isaksen"	"Hagenfaret 8B, 3314 Bøe"
"Astrid Strøm-Solheim"	"Olsenflata 9, 0403 Alexanderås"
"Jenny Strøm"	"Hansenhagen 42, 4525 Roareid"
"Kirsten-Monica Myklebust"	"Rønningstranda 1C, 0101 Engen"
"Rune Evensen"	"Mathisengata 246, 2686 Gulbrandsen"
"Roy Andresen-Ali"	"Hagenhaugen 4, 2937 Frankfjell"
"Espen Johnsen"	"Holmstykket 2, 7230 Magnushavn"
"Torill-Liv Myhre"	"Johannessenhøgda 5, 7092 Simenvær"
"Silje Bøe"	"Solheimjordet 97, 9213 Arildvær"
"Emma Arnesen"	"Berghagen 67A, 7155 Johansen"
"Berit-Berit Jørgensen"	"Dahlekra 5, 5373 Tonehamn"
"Kjersti-Åse Aas"	"Tangenbråten 53, 0307 Antonsen"
"Frode Amundsen"	"Christensenkollen 4, 5250 Kårestrøm"
"Kjell Berntsen"	"Sandviklunden 8C, 4963 Andreassen"
"Tone Arnesen"	"Myhretjernet 7A, 0668 Simonsen"
"Elisabeth Eliassen"	"Aliengen 9, 3847 Eivindborg"
"Berit Aune"	"Madsenstykket 6, 3374 Thorsen"
"Mari Bakken"	"Pedersengropa 1, 6025 Kristensen"
"Ole Eide"	"Nygårdstien 8, 3641 Simenby"
"Ivar Gulbrandsen"	"Antonsenhøgda 10, 0325 Elinmark"
"Kjersti Jørgensen"	"Evensentjernet 844, 3142 Gerdstad"
"Nina Bakke"	"Ahmedlyngen 6B, 2711 Heidines"
"Monica Pettersen-Haugland"	"Jakobsenrøa 98B, 0507 Ali"
"Kjell Holm"	"Alispranget 1, 0312 Gunnberg"
"Eivind-Markus Hauge"	"Gulbrandsenløkka 1, 9799 Kristofferås"
"Ida Bakken-Henriksen"	"Knutsenflata 094, 4796 Torbjørnbø"
"Thomas Paulsen"	"Haugspranget 5, 5280 Karifoss"
"Arne Johnsen"	"Vikalléen 9F, 3813 Einarhamn"
"Maren-Bjørg Johannessen"	"Karlsenstubben 41B, 9548 Næss"
"Bjørn Eriksen"	"Aasbakken 1A, 6718 Theahelle"
"Sander Andersen"	"Lienmyra 41, 1681 Ninavær"
"Frode Andresen"	"Evensenlunden 1, 8957 Fredriksen"
"Kari Eriksen"	"Dahlkollen 5B, 1969 Nilsø"
"Kjell Lien-Iversen"	"Nguyenmoen 30, 7800 Tangen"
"Sondre Arnesen"	"Gundersenstykket 30, 5254 Nguyen"
"Thea Holm"	"Haugelunden 63, 9622 Iversen"
"Gunn Myklebust-Sørensen"	"Eliassenengen 7, 8484 Andreassjøen"
"Randi Ødegård"	"Hellandløkka 60, 6719 Andresen"
"Vilde Simonsen"	"Solbergstubben 69F, 3258 Danielsen"
"Marie Johannessen"	"Hagenmoen 5, 2317 Oleodden"
"Andrea Sivertsen"	"Halvorsenfaret 2, 8794 Wencheø"
"Robert-Kåre Johansen"	"Bergeroa 11A, 5869 Thomassen"
"Else Larsen"	"Alialléen 80, 7371 Abrahamsen"
"Kjell Simonsen"	"Eriksenmoen 5, 5576 Lie"
"Harald Næss"	"Moespranget 7, 0253 Rolfgrunn"
"Jorunn Tangen"	"Karlsenlyngen 51, 5114 Torbjørnborg"
"Stig Myhre"	"Gulbrandsenlia 7, 4300 Isaksen"
"Torbjørn Ahmed"	"Tangenekra 56, 0248 Birkeland"
"Sara Nilsen"	"Holmgrenda 1, 4650 Andreastrøm"
"Harald Sæther"	"Christensenalléen 8, 8934 Trinenes"
"Trine Birkeland"	"Kristensenskogen 4, 0841 Sverrestrøm"
"Hege Moen"	"Johnsenvollen 26, 0733 Linneid"
"Marte Nilsen"	"Amundsenhøgda 4, 5426 Audborg"
"Kjell Solheim"	"Solheimsvingen 2D, 4443 Arnesen"
"Ingrid Kristiansen"	"Simonsenengen 281, 5368 Tobiasdal"
"Martine Haugen"	"Myhreeggen 6, 3753 Eliassen"
"Steinar Gulbrandsen-Tangen"	"Rønningtoppen 7, 7588 Stianby"
"Ola Berntsen"	"Hanssenringen 34, 6048 Kimøy"
"Leif Pettersen"	"Mikkelsenlyngen 8, 9350 Madsen"
"Jens Engen-Henriksen"	"Vikstranda 55, 2068 Kristinmark"
"Thomas Rasmussen"	"Johnseneggen 91, 5400 Nielsen"
"Lars Strand"	"Berntsenberget 6C, 6048 Johanstrand"
"Leif Helland"	"Sætherhavna 4, 6961 Thorsen"
"Kjell Thorsen"	"Johnsenberget 358, 3386 Petterstrøm"
"Tone Svendsen-Larsen"	"Knutsenåsen 253, 2314 Jørgensen"
"Prof. Morten Andreassen"	"Arnesenkollen 83A, 6872 Andreassen"
"Hilde-Linn Henriksen"	"Aasberget 9, 1005 Sandvik"
"Eirik Lie"	"Strandsvingen 6B, 1325 Auddal"
"Inger Pettersen"	"Bøestranda 6, 4774 Sindrestrand"
"Thor Nygård-Arnesen"	"Larsenmoen 1, 5134 Kjerstisjøen"
"Jonas Jakobsen"	"Haugstien 6, 7916 Næss"
"Kristine Rønning"	"Aasengen 670, 1348 Sæther"
"Sissel Tangen"	"Holmbakken 39, 9436 Larsen"
"Kjell-Einar Andreassen"	"Larsenstykket 92, 4356 Karlsen"
"Karen Sandvik"	"Paulsenstubben 50B, 6946 Sivertsen"
"Emilie Bakke"	"Andersenalléen 60, 5185 Sivertsen"
"Arne-Markus Jacobsen"	"Henriksenlia 60, 3343 Kristoffersen"
"Erling Sandvik"	"Aligropa 906, 8903 Asbjørnsand"
"Jenny Arnesen"	"Sætherringen 1G, 6120 Gerdbø"
"Karl-Svein Jacobsen"	"Næsshagen 1C, 2274 Berntsen"
"Elin-Sofie Haug"	"Larsenholtet 73F, 5678 Birkeland"
"Britt-Anna Helland"	"Nilsenåsen 35, 3011 Knudsen"
"Kristoffer Bøe"	"Ellingsentunet 25, 2979 Rønning"
"Kjell-Eirik Andersen"	"Fredriksensvingen 918, 2574 Lunde"
"Prof. Frank Johannessen"	"Evensenstubben 94C, 1509 Larsberg"
"Karen Myklebust"	"Engenvika 18D, 3393 Torillberg"
"Ragnhild Solheim"	"Jakobseneggen 2E, 6985 Hansen"
"Olav Pedersen"	"Christensenløkka 5, 4664 Dagås"
"John Dahl"	"Ødegårdstubben 3, 5187 Annhelle"
"Frank Næss"	"Edvardsenstien 443, 5121 Tobiasstrøm"
"Gro-Hilde Lie"	"Mikkelsenløkka 7, 0757 Anetteø"
"Wenche Myhre"	"Sivertsengrenda 2A, 6651 Mathiashamn"
"Dr. Magne Kristoffersen"	"Rasmussenalléen 1, 5835 Kristensen"
"Kjell-Leif Berntsen"	"Solbergflata 70A, 7988 Tveit"
"Hilde Helland"	"Iversenmarka 74, 8098 Pedersen"
"Finn Fredriksen"	"Myklebustplassen 2, 4066 Dagvåg"
"Kjell Iversen"	"Eriksengata 884, 6884 Dahl"
"Kim Kristiansen"	"Brekkeringen 9, 2961 Ellingsen"
"Ellen Kristoffersen"	"Johansenvika 3, 1584 Haugen"
"Ola Henriksen"	"Thorsenalléen 56, 5956 Perfjell"
"Joakim Jakobsen"	"Sandvikskogen 17B, 0946 Thorvær"
"Olav Berge"	"Christensenholtet 5F, 5625 Abrahamsen"
"Hanne Kristoffersen"	"Nygårdholtet 51E, 6334 Strand"
"Kjell-Sebastian Larsen"	"Aasenkollen 24, 7849 Svendsen"
"Joakim Mathisen"	"Pedersengropa 88F, 9558 Annsjøen"
"Anita-Sigrid Myklebust"	"Fredriksenspranget 10F, 4700 Karlsen"
"Tone Dahl"	"Thorsenengen 53A, 2556 Hansen"
"Vidar-Dag Eriksen"	"Madsenflata 8D, 4724 Ødegård"
"Olav Lund"	"Fredriksenjordet 07, 6394 Tovedal"
"Odd Birkeland"	"Hansenåsen 81, 0595 Siljefjell"
"Ivar-Roar Mikkelsen"	"Aasberget 36, 8284 Juliehavn"
"Laila Ødegård"	"Larsenengen 64E, 7869 Andreasøy"
"Jens Lunde"	"Aasenstien 1, 9391 Kristinhelle"
"Kjersti Arnesen"	"Mathisenstien 54, 0485 Haugland"
"Maria Kristensen"	"Hanssenroa 52A, 6826 Lie"
"Erik Sivertsen"	"Bakkenstien 56B, 6180 Marenby"
"Elisabeth-Synnøve Andreassen"	"Thorsenbakken 40, 5418 Andersen"
"Knut Ali-Knudsen"	"Gulbrandsenstranda 51C, 0271 Jonås"
"Jon Lunde"	"Christensenjordet 41H, 7788 Arnebø"
"Monica Lien"	"Christensenspranget 75C, 5937 Mayfoss"
"Ivar Hauge"	"Dahlberget 5D, 8713 Audøy"
"Sverre Pedersen"	"Lundgrenda 4H, 6379 Johanstrøm"
"Siri Pettersen"	"Sivertsengropa 85, 8041 Nilsdal"
"Kjersti Berge"	"Ruudstykket 1, 7601 Magnusnes"
"Thor Johannessen"	"Ahmedskogen 10A, 7404 Rasmussen"
"Silje Aas"	"Tveitkroken 393, 0413 Johnsen"
"Mari Strand"	"Mathisenjordet 672, 7132 Arildø"
"Sander-Nils Ruud"	"Aunegjerdet 69, 6638 Lineø"
"Berit Mathisen"	"Rønningstubben 6H, 6157 Andresen"
"Marianne Aasen-Paulsen"	"Simonsenringen 11, 4425 Alexandersjøen"
"Jenny Lie"	"Iversenlia 90B, 1656 Mayhavn"
"Rita Martinsen"	"Tveitplassen 19G, 2684 Kristiansen"
"Magne Gulbrandsen"	"Alilia 27E, 4584 Dahl"
"Kjersti Berntsen"	"Moegrenda 7, 6075 Helland"
"Elisabeth Knudsen"	"Solheimgropa 6A, 2127 Bakke"
"Silje Pettersen"	"Haugeplassen 903, 4586 Kirstenvær"
"Roy Knutsen"	"Tveitgjerdet 2E, 7040 Gulbrandsen"
"Camilla Vik"	"Christensenskrenten 30, 0067 Strand"
"Torbjørn-Jens Berntsen"	"Knudsenringen 5, 7272 Madsen"
"Tom Evensen"	"Thomassenmyra 4H, 3060 Mariasjøen"
"Silje Lien"	"Eliassenjordet 4, 1372 Sivertsen"
"Martine Aas"	"Myhreløkka 100, 9959 Anettestrøm"
"Reidun Haug"	"Knudsenstykket 5, 9799 Annafoss"
"Kjersti Edvardsen-Jenssen"	"Tveitmoen 3, 3840 Solberg"
"Pål Lunde"	"Næsssvingen 99, 5974 Karlfoss"
"Gerd Sæther"	"Myklebustmyra 3, 0229 Ruud"
"Julie Larsen"	"Lundelunden 70, 0721 Åsegrunn"
"Hanne Knutsen"	"Andreassenlia 19, 9283 Simonsen"
"Julie Simonsen"	"Lundjordet 64, 5389 Marendal"
"Tom Danielsen"	"Johnsentjernet 24, 4935 Mettesund"
"Ruth-Inger Lie"	"Moengjerdet 51, 2413 Andersen"
"Arne Tangen"	"Andersenskrenten 7, 8845 Martinhavn"
"Mari Dahl"	"Nilsenstubben 04E, 3941 Rønning"
"Kjersti Evensen"	"Nygårdbråten 38, 8255 Eriksen"
"Rita Madsen"	"Dahlskogen 1, 3881 Sindreberg"
"Karin Ruud"	"Birkelandrøa 8, 4180 Engen"
"Kristoffer Kristensen"	"Moenkollen 28, 3433 Finnborg"
"Tobias Vik"	"Sørensenhavna 16D, 8169 Berntsen"
"Trine Sæther"	"Rønninghavna 37D, 7168 Lie"
"Reidun Gulbrandsen"	"Abrahamsenvika 23B, 2695 Tveit"
"Leif Edvardsen"	"Rønninghaugen 20, 0480 Bentesand"
"Maria Bakke"	"Eriksenfaret 7, 6452 Sørensen"
"Helge Haugland"	"Haugmoen 49H, 8581 Berg"
"Kjersti Fredriksen"	"Henriksenhaugen 5D, 7115 Tommyhelle"
"Eirik Mathisen"	"Henriksenhagen 1, 7400 Eriksen"
"Kristoffer Haug"	"Eliasseneggen 60G, 5764 Olevær"
"Ragnhild Aasen"	"Bøehagen 8H, 0971 Tommystad"
"Jonas Henriksen"	"Mathisenmoen 5, 7981 Engen"
"Emilie Lien"	"Kristoffersenekra 76H, 4079 Frodeås"
"Sebastian Haugland"	"Bergroa 60F, 6307 Ellingsen"
"Dag-Petter Jenssen"	"Strømplassen 56A, 5264 Fredriksen"
"Eirik Pedersen"	"Karlsenholtet 3H, 7544 Halvorsen"
"Fredrik Berge"	"Kristensenhøgda 2B, 9098 Monicaeid"
"Kjersti Holm"	"Christensenringen 59, 2363 Nguyen"
"Emma Johansen"	"Evensensvingen 170, 2618 Mikkelsen"
"Hilde Johnsen"	"Berntsenbråten 6, 0806 Kirstenvåg"
"Thomas Isaksen"	"Fredriksenstykket 9D, 9655 Jorunnvåg"
"Jørgen Dahl"	"Kristensenringen 5A, 2429 Henriksen"
"Sondre Fredriksen"	"Martinsenekra 577, 5645 Vildeodden"
"Jonas Hagen"	"Vikflata 84D, 4209 Frodeøy"
"Pål Sørensen"	"Aashavna 66B, 4437 Hegesand"
"Bente-Åse Madsen"	"Strømkollen 1, 1762 Mikkelsen"
"Leif Hauge"	"Alitunet 60, 1587 Kristensen"
"Kjersti Jacobsen"	"Halvorsenbakken 9, 9810 Knutsen"
"Bjørn Solheim"	"Pettersenlia 1, 2428 Haugen"
"Frank-Espen Ruud"	"Ahmedmoen 786, 2725 Mathisen"
"Astrid-Monica Nilsen"	"Isaksenfaret 2, 8462 Henrikstad"
"Simen-Leif Hauge"	"Aasplassen 1A, 6928 Knutsen"
"Bjørg Tveit"	"Sivertsenspranget 88C, 4017 Marimark"
"Åse Madsen"	"Kristoffersenstykket 7, 3561 Espenmark"
"Thea Knutsen"	"Dahlbråten 184, 9493 Rogerfjord"
"Dr. Kjetil Lunde"	"Solbergberget 3C, 7397 Andreassen"
"Nina Sandvik"	"Amundsenspranget 51C, 5031 Robertfjord"
"Kjersti Jakobsen"	"Haugenhavna 42, 6135 Robertdal"
"Kari-Silje Knutsen"	"Lundspranget 5A, 4543 Nielsen"
"Gro Ahmed"	"Jakobsenfaret 6, 1646 Monafoss"
"May Antonsen"	"Danielsenhøgda 2E, 0334 Evensen"
"Daniel Haugen"	"Knutsenvika 09, 2144 Linnodden"
"Arild Johannessen"	"Lundeeggen 365, 5517 Jakobsen"
"Jørgen Fredriksen"	"Ruudtunet 4, 0252 Antonsen"
"Henrik Engen"	"Birkelandplassen 9, 8260 Johnsen"
"Tor Solberg"	"Evenseneggen 58D, 3426 Strand"
"Grethe-Gerd Andresen"	"Mikkelsentjernet 94, 1735 Dagbø"
"Kjersti Lie"	"Jenssenrøa 1D, 6254 Andreaodden"
"Joakim-Finn Larsen"	"Gulbrandsenvollen 90, 0539 Simonsen"
"Hans Berg"	"Jenssenringen 38, 2304 Knutsen"
"Markus Ellingsen"	"Arnesengrenda 794, 4887 Kristoffersen"
"Ivar Bakke"	"Hagentoppen 5, 5089 Andersen"
"Øyvind Hagen"	"Bøehøgda 079, 6527 Knutsen"
"Kjersti Evensen"	"Halvorsenflata 8A, 3360 Haugen"
"Aud Rønning"	"Aasenstykket 1C, 5182 Janneborg"
"Silje Hagen"	"Hauggropa 95B, 5250 Strøm"
"Dr. Kåre Lunde"	"Svendsentjernet 793, 3093 Strand"
"Kjersti Ruud"	"Jensentoppen 972, 8710 Knutvik"
"Sebastian Hansen"	"Madsenstykket 4, 8183 Kristensen"
"Anita-Anne Aune"	"Myhrebråten 23, 5475 Svendsen"
"Jon Sørensen"	"Danielsengropa 00B, 4003 Kimodden"
"Inger Kristiansen"	"Simonsenspranget 35E, 4985 Gerdfjell"
"Astrid-Gro Bøe"	"Andreassenvika 05G, 5125 Karinvær"
"Vilde Næss"	"Nygårdflata 06A, 1506 Geirdal"
"Ellen Berge"	"Ødegårdplassen 3, 3490 Jonasgrunn"
"Siv Bakke"	"Hauglandroa 912, 6238 Kristianodden"
"Eivind-Magne Bakken"	"Eliassenskogen 3, 8037 Emilstrøm"
"Kjersti-Nora Jakobsen"	"Liegrenda 40, 3762 Torillmark"
"Silje Arnesen"	"Rønningstien 58, 7906 Paulsen"
"Elise-Kjersti Tangen"	"Knudsenengen 38, 3031 Holm"
"Ivar Aune"	"Ellingsenbakken 974, 4118 Tangen"
"Kåre-Håkon Knutsen"	"Mathisengjerdet 1B, 4203 Steinarbø"
"Kristian Jakobsen"	"Hellandskrenten 686, 2398 Ragnhildsjøen"
"Asbjørn Aas"	"Eliassenengen 7, 4974 Vegardfjell"
"Kenneth Jakobsen"	"Sandvikeggen 66A, 3728 Henriksand"
"Robert Thorsen"	"Hagenbråten 15C, 3054 Ali"
"Thomas-Thomas Ali"	"Larsenlunden 9, 2480 Bjørgbø"
"Kjetil Berge"	"Liestubben 3B, 9945 Olsen"
"Sissel-Åse Thorsen"	"Strandmoen 1A, 6998 Franksund"
"Odd Evensen"	"Pettersengropa 8, 8761 Jørgensand"
"Dr. Magnus Pedersen"	"Bergstien 87, 9298 Vik"
"Bente Berge-Martinsen"	"Isaksenberget 9, 9988 Marenborg"
"Kjersti Knudsen"	"Gundersenalléen 46, 8233 Roarø"
"Else-Randi Solheim"	"Lundalléen 8, 5321 Arnenes"
"Irene-May Fredriksen"	"Brekkehavna 74, 0454 Alffjell"
"Øystein Isaksen"	"Bøeskrenten 58, 3984 Jørgenø"
"Ingeborg Nielsen"	"Madsenbakken 82, 2831 Hannastrand"
"Kjetil Danielsen"	"Hanssengrenda 76, 3366 Olavgrunn"
"Elisabeth Jakobsen"	"Holmplassen 76, 9575 Ellenfjell"
"Roar-Tobias Sæther"	"Andresenstykket 20, 7240 Simenvåg"
"Robert Sørensen"	"Simonsenekra 19C, 6201 Nielsen"
"Ingeborg Berntsen"	"Pettersentunet 65C, 7605 Knutsen"
"Stine Halvorsen"	"Olsenvollen 9, 3021 Kårestrand"
"Malin Simonsen"	"Andersentunet 5C, 9348 Elisabetheid"
"Kristoffer Bøe"	"Christensenhavna 00, 8107 Eide"
"Jens Sæther"	"Olsenhaugen 6D, 9198 Toneborg"
"Kim Edvardsen-Johnsen"	"Andreassenflata 2, 9673 Einarnes"
"Kjetil Nygård"	"Myklebustmyra 7G, 2170 Oddgrunn"
"Dr. Marius Abrahamsen"	"Strømvika 3, 5729 Eliseby"
"Gro-Turid Myhre"	"Evensenalléen 6, 0943 Berntsen"
"Tove Ahmed"	"Hanssenhagen 41, 4967 Lenesjøen"
"Jenny Nygård"	"Rasmussenalléen 81, 3986 Bakken"
"Karin Jacobsen-Strand"	"Iversengjerdet 72D, 6474 Hansen"
"Dr. Bjørn Hanssen"	"Kristensenberget 6, 2104 Jorunnnes"
"Sissel Karlsen"	"Sivertsenåsen 59, 4342 Espenodden"
"Kjell Haug"	"Halvorsenlyngen 37F, 7052 Thomasfjell"
"Sara Simonsen-Nygård"	"Haugespranget 27, 5444 Svendsen"
"Kjetil Sæther"	"Andresenstykket 21, 6154 Birkeland"
"Jorunn Madsen"	"Bergehagen 42, 5582 Gulbrandsen"
"Inger Madsen"	"Bakkejordet 6, 5467 Vik"
"Daniel-Markus Bakke"	"Hauglandalléen 83A, 1054 Vik"
"Magne Jensen"	"Mathiseneggen 4, 2846 Bentefjell"
"Mona Ali"	"Jenssenberget 17, 0305 Kristinsund"
"Kenneth Arnesen"	"Haugegata 07, 0713 Helland"
"Bjørn-Terje Nguyen"	"Sætherbakken 7, 6913 Karihavn"
"Joakim Lund"	"Hagenbakken 56C, 8439 Ruud"
"Sondre Nilsen"	"Strømberget 4B, 7840 Andresen"
"Kjetil-Eivind Antonsen"	"Kristiansenspranget 774, 9028 Hauge"
"Elin Thorsen"	"Holmholtet 7A, 0296 Christensen"
"Erik Kristoffersen"	"Andreassenringen 3, 1439 Stineby"
"Sigurd Danielsen-Hansen"	"Haugroa 72A, 9034 Bakken"
"Trond Strøm"	"Bøehaugen 1, 8925 Eriksen"
"Per Martinsen"	"Ødegårdbakken 6, 4905 Bakken"
"Stein Eriksen"	"Eriksentjernet 33, 6965 Isaksen"
"Kristin Ali"	"Danielsenjordet 7, 3039 Aune"
"Hilde Lie"	"Bergtjernet 80, 1225 Kårestrand"
"Stine Johnsen"	"Hansenvika 61H, 4619 Erikfjord"
"Kjetil-Kristian Halvorsen"	"Nielsengropa 78, 9518 Gunnarvåg"
"Ivar Ahmed"	"Halvorsenstranda 1C, 7546 Kjerstihamn"
"Synnøve Hanssen"	"Næssengen 19, 4132 Jenssen"
"Karoline-Berit Holm"	"Hansenstykket 4G, 3667 Thorsen"
"Nils Tveit"	"Antonsenmoen 05, 4383 Nielsen"
"Nina Gulbrandsen"	"Amundsenstubben 5, 5977 Lund"
"Tobias Eliassen"	"Solheimengen 62B, 5834 Aune"
"Julie Sæther"	"Thorsengjerdet 95, 5606 Monafoss"
"Frank-Stian Knutsen"	"Jensenvika 624, 2742 Mathisen"
"Inger Hagen"	"Mathisenhavna 21, 8457 Thorstrand"
"Knut Berntsen"	"Sandvikvika 1, 8398 Monahelle"
"Prof. Einar Solberg"	"Christensenjordet 89A, 3112 Myklebust"
"Dag Antonsen"	"Nguyengata 6, 5316 Sæther"
"Helene Helland"	"Bergelunden 57, 6210 Myhre"
"Gunnar Aune"	"Olseneggen 8, 7514 Haugland"
"Emil Christensen"	"Ruudvollen 247, 4660 Hegehavn"
"Emil Kristensen"	"Nguyenalléen 6E, 3729 Rønning"
"Andrea Solheim"	"Bakkenvollen 6A, 7961 Andresen"
"Mona Brekke"	"Johnsenmoen 3, 2921 Erlingborg"
"Marie Thorsen"	"Berntsentunet 3, 7650 Cathrineeid"
"Knut Haugen"	"Madseneggen 352, 3180 Jacobsen"
"Joakim Moe"	"Bakketjernet 1, 8430 Brekke"
"Adrian Hagen"	"Myhregrenda 6, 4977 Kristiansen"
"Laila-Anna Ødegård"	"Eliassenkollen 567, 5583 Mortenhelle"
"Leif-Jørgen Næss"	"Berntsenalléen 5, 8814 Næss"
"Marius Sandvik"	"Eliassenvika 8, 5232 Roarsjøen"
"Alf Hauge"	"Kristoffersentjernet 20A, 5629 Pedersen"
