"अंजली अहेरजी","599 चव्हाण
नवी मुंबई-385520" 
"अनिल कोल्हेजी","39/82 दीपाली देशमुख
नाशिक 362594"
"अनिरुद्ध चव्हाण","13 कल्पना चौगुले
यवतमाळ-543202"
"धनंजय साने","80 चेतन मोरे
धुळे-101852"
"निखिल ठाकूरजी","233 मंगेश राऊत
जळगाव 778621"
"स्मिता जाधव","81/276 भूषण शिंदे
धुळे 945662"
"कल्पना सावंत","358 सुनील मोरे
सोलापूर 391118"
"मकरंद चव्हाण","8375 जगताप
सातारा 279667"
"श्रुती फडकेजी","24/073 शिरसाट
यवतमाळ-367749"
"श्रीमती गणेश ओक","65 विवेक पाटील
नवी मुंबई 827527"
"दीपक मानेजी","8/1 अपर्णा देशमुख
औरंगाबाद 588982"
"उमेश शिंदे","63/212 राहुल माने
पिंपरी-चिंचवड 619008"
"हर्षदा जोशीजी","0176 जगताप
ठाणे-212201"
"निखिल ओकजी","43/09 सावंत
मुंबई-262737"
"उमेश राऊत","5350 समीर कोल्हे
बीड 704078"
"श्री ईश्वर चव्हाण","5/8 देशपांडे
यवतमाळ 064751"
"मीनल गवळीजी","572 चव्हाण
औरंगाबाद 895492"
"श्रीमती हर्षद कुलकर्णी","85 कविता शिरसाट
अहमदनगर-110141"
"संदीप जाधव","1/8 निखिल देशमुख
यवतमाळ 085850"
"अंजली सानेजी","76/53 देशमुख
जळगाव-812217"
"हर्षदा पवारजी","0/5 फडके
धुळे 796248"
"कुमारी रीमा गायकवाड","635 देशमुख
हिंगोली 601053"
"श्री जितेंद्र फडके","38 कुलकर्णी
रत्नागिरी 089221"
"निखिल कांबळे","26/5188 उमेश ठाकूर
नांदेड-649617"
"मकरंद देशमुख","62 गवळी
अकोला-632623"
"भूषण शिरसाटजी","27/79 भूषण शिरसाट
नाशिक 059127"
"मोहन पाटीलजी","1/7 कदम
ठाणे-766973"
"श्रीमती कविता शिंदे","4 हर्षदा शिंदे
पिंपरी-चिंचवड 379072"
"अनिता देशमुख","4991 इशिता गवळी
सातारा-714885"
"रोहित मोरेजी","87/61 लता साळुंखे
परभणी-388831"
"श्री मिलिंद कांबळे","26 कल्पना जोशी
मिरज-162900"
"प्रकाश चव्हाण","46/023 आगरकर
सोलापूर-445915"
"संदीप जाधव","0/7 प्रकाश गायकवाड
उस्मानाबाद 971654"
"निखिल कोल्हे","09/667 किरण पाटील
पुणे-919459"
"श्रीमती चेतन कुलकर्णी","9775 जोशी
यवतमाळ-556940"
"कुमारी रोहिणी साने","7412 प्रवीण शिंदे
कोल्हापूर-040179"
"श्री चेतन राऊत","7/1 मोरे
धुळे-339576"
"हर्षदा चव्हाण","45/211 फडके
अकोला-507805"
"ज्योती सावंत","50/92 कांबळे
पुणे-148427"
"श्री सचिन शिंदे","191 कदम
नांदेड 864520"
"विकास कोल्हे","82/853 गवळी
सांगली 605586"
"सुनील ठाकूर","2 चेतन पवार
नांदेड-330852"
