"अंजली अहेरजी","6/9 अनिल आगरकर
अमरावती-978757" 
"राहुल कोल्हे","9946 साळुंखे
नवी मुंबई 546913"
"कुमारी स्वाती जोशी","63 अमित कांबळे
ठाणे 381769"
"मेघा मानेजी","0/7 ज्योती पाटील
रत्नागिरी 755645"
"कुमारी मेघा जाधव","77/44 किरण गायकवाड
मुंबई-538320"
"विकास मानेजी","5878 संदीप फडके
गोंदिया 878738"
"कैलास पवार","07/2249 माधव चव्हाण
पुणे-655498"
"वैशाली देशमुखजी","73/18 माधुरी जोशी
वसई 765113"
"प्रवीण साळुंखे","84/37 नेहा देशपांडे
वसई 730412"
"उमेश सावंतजी","4 पवार
औरंगाबाद-224192"
"श्री सुनील जाधव","54 पवार
वसई 219635"
"विकास ओकजी","88/86 मीनल पवार
अहमदनगर 527873"
"उमेश शिरसाटजी","811 पाटील
अकोला-057326"
"मेघा शिरसाट","9 गौरव जाधव
सातारा 519730"
"श्री कैलास भोसले","273 राऊत
सोलापूर 012286"
"कुमारी विनायक आगरकर","4 गवळी
कोल्हापूर 388950"
"श्री प्रकाश फडके","99/21 जगताप
वसई 060843"
"स्नेहा आगरकरजी","94/0604 कदम
धुळे 509236"
"श्री रोहिणी माने","8860 गायकवाड
नाशिक 662465"
"हर्षदा साळुंखेजी","80/421 जगताप
मिरज 399066"
"धनंजय राऊतजी","83/74 ओक
पुणे 593510"
"प्रवीण कुलकर्णी","2/4 सावंत
जळगाव 880015"
"श्रुती भोसलेजी","44/795 निलेश सावंत
नवी मुंबई 480086"
"मेघा सावंत","8 भूषण कांबळे
नागपूर 050751"
"राहुल पाटील","69/6824 आगरकर
नागपूर 146606"
"मकरंद कदम","79/7216 वैशाली राऊत
धुळे 991377"
"आदित्य चौगुले","46/35 चेतन सावंत
सातारा-116118"
"आकांक्षा कांबळेजी","4 अमोल ठाकूर
मिरज 510997"
"श्री पंकज कुलकर्णी","8/1 भोसले
नाशिक-200937"
"सुरेश गायकवाड","614 निलेश ओक
सांगली-345127"
"कुमारी दीपाली माने","8/1 मोरे
बीड-680507"
"पल्लवी पवारजी","84 सावंत
यवतमाळ-895236"
"श्रीमती सुनील कदम","73/5846 आगरकर
मिरज-211094"
"मेघा सावंतजी","7/0 महाजन
बीड-623411"
"पंकज ओकजी","19 सावंत
सोलापूर-907192"
"कुमारी चेतन कांबळे","46/1768 पूजा गायकवाड
नाशिक 815559"
"ज्योती चौगुलेजी","40 आकाश चव्हाण
पुणे-790068"
"कैलास जोशी","5 जाधव
कोल्हापूर 452401"
"आशा सावंत","411 आकांक्षा चौगुले
लातूर 667752"
"चेतना पाटील","83/15 चव्हाण
नागपूर-816052"
"दीपाली साळुंखे","27/089 कुलकर्णी
बीड-844912"
"चेतना आगरकरजी","80/05 तन्वी गायकवाड
उस्मानाबाद-231136"
"श्री ईश्वर चौगुले","60/12 भोसले
पुणे 259860"
"मोहन कदम","47/416 अहेर
नाशिक-520613"
"कैलास राऊत","3 महाजन
पुणे-982000"
"श्रीमती उमा साने","8977 गौरी मोरे
नवी मुंबई-785219"
