"अंजली आगरकर"|"7225 जाधव
नांदेड-416315" 
"अरुण जोशीजी"|"069 पाटील
अमरावती 205270"
"मानसी पवार"|"6139 माधुरी सावंत
जळगाव-105172"
"कैलास माने"|"9 जगताप
यवतमाळ-157119"
"पूजा कदमजी"|"97/8024 पूजा आगरकर
अकोला 480192"
"दीपाली देशपांडेजी"|"09/30 कदम
कोल्हापूर-172887"
"हर्षद फडकेजी"|"0/9 ओक
नवी मुंबई-324877"
"रेणुका गवळीजी"|"1/4 आगरकर
कोल्हापूर 040597"
"कुमारी चेतना गायकवाड"|"76/8400 माधव कदम
हिंगोली 124756"
"विनायक कुलकर्णी"|"826 चव्हाण
मुंबई-555967"
"सुरेश आगरकर"|"41/85 कदम
सातारा 768682"
"प्रज्ञा चौगुलेजी"|"55 अनिरुद्ध कदम
नवी मुंबई 983742"
"श्री ईश्वर गवळी"|"9 जगताप
चंद्रपूर 926875"
"श्रीमती आदित्य गायकवाड"|"964 समीर महाजन
पिंपरी-चिंचवड 238022"
"दत्तात्रेय कुलकर्णीजी"|"2182 माने
परभणी 865287"
"कुमारी प्रज्ञा गवळी"|"46/95 तन्वी जाधव
मिरज 108412"
"श्री विनायक आगरकर"|"43/76 दीपाली चव्हाण
पिंपरी-चिंचवड 082179"
"रेणुका जोशीजी"|"5 कीर्ती अहेर
औरंगाबाद 390996"
"मेघा भोसले"|"9692 गायकवाड
धुळे 184369"
"पंकज महाजनजी"|"0 शिरसाट
जळगाव-284864"
"किरण जोशीजी"|"41 जितेंद्र शिरसाट
पिंपरी-चिंचवड-397859"
"श्रीमती स्वाती कांबळे"|"0 दीपाली कोल्हे
सोलापूर 334288"
"श्रीमती पंकज चव्हाण"|"80/984 सावंत
अकोला-922923"
"स्मिता ठाकूरजी"|"4/0 मोरे
नांदेड-694069"
"श्रीमती माधव महाजन"|"43/8080 शिंदे
मिरज-973481"
"आकाश राऊतजी"|"5 आशा पाटील
पुणे-418618"
"श्रीमती वैशाली कुलकर्णी"|"38/70 जितेंद्र माने
सातारा-458070"
"रेणुका पाटील"|"8 मोरे
लातूर 257750"
"राहुल गवळीजी"|"39/081 आकांक्षा आगरकर
लातूर 434020"
"लता जगतापजी"|"444 भोसले
वसई-738840"
"श्रीमती अनिता कोल्हे"|"2 पाटील
अमरावती-244871"
"श्रुती फडकेजी"|"2 पवार
हिंगोली-983493"
"भूषण गवळी"|"722 तन्वी सावंत
मुंबई-689936"
"श्री पूजा शिरसाट"|"480 ठाकूर
नागपूर-107894"
"आकांक्षा महाजन"|"6595 तन्वी महाजन
सोलापूर-256522"
"पल्लवी माने"|"01/31 संदीप कुलकर्णी
कोल्हापूर 936787"
"प्रवीण ओक"|"6178 मीनल कोल्हे
नाशिक 703694"
"रेणुका भोसले"|"9/6 पवार
वसई 250404"
"दत्तात्रेय फडके"|"61/16 रेणुका साने
औरंगाबाद-538584"
"प्रकाश जोशी"|"75/635 कैलास सावंत
मुंबई-023411"
"चेतन साळुंखेजी"|"5 स्नेहा पवार
रत्नागिरी 128814"
"अनिल चौगुलेजी"|"6/6 ओक
उस्मानाबाद 238393"
"कैलास फडकेजी"|"2/0 माने
अहमदनगर 728431"
"सुनील चव्हाणजी"|"712 माने
नवी मुंबई 360648"
"मोहन मानेजी"|"1076 अशोक गवळी
मिरज 062435"
"उमा फडके"|"9 अनुष्का साळुंखे
परभणी 586853"
"रीमा कोल्हेजी"|"02/895 शिंदे
नांदेड-620092"
"रेणुका भोसले"|"9359 अहेर
अमरावती-483835"
"उमा देशमुख"|"64 जोशी
यवतमाळ-272198"
"सुनील कदमजी"|"35/91 पवार
बीड 983059"
"श्री चेतन पाटील"|"75/9531 साने
औरंगाबाद 759765"
"अनिता मोरे"|"943 शिरसाट
अमरावती-251975"
"तन्वी चौगुलेजी"|"928 सुरेश कुलकर्णी
मुंबई 098947"
"दीपाली फडके"|"1719 महाजन
गोंदिया-334289"
"अंजली ठाकूर"|"6/3 जोशी
मिरज-142996"
"मकरंद ओकजी"|"0 माने
हिंगोली-455902"
"विवेक चव्हाणजी"|"69/1344 प्रकाश ठाकूर
नागपूर 205187"
"रेणुका साने"|"362 दीपाली राऊत
बीड 028937"
"मंगेश मानेजी"|"23/8638 अरुण जगताप
हिंगोली 836983"
"विवेक देशपांडेजी"|"00/123 जगताप
वसई 066099"
"श्री आकाश मोरे"|"45/8697 जोशी
अकोला-361698"
"श्रीमती निलेश साने"|"7560 शिंदे
नागपूर-606137"
"श्रीमती स्नेहा गायकवाड"|"41/98 अपर्णा कोल्हे
लातूर 880563"
"कुमारी मीनल चौगुले"|"95/5897 स्नेहा कोल्हे
पिंपरी-चिंचवड-218093"
"श्री हर्षदा पवार"|"56 अनिल चौगुले
नांदेड-314671"
