"अंकिता जोशी","32 दासगुप्ता
भागलपुर 931548" 
"सम्मानात्मक एषा टंडन","92/13 यश प्रधान
फतेहपुर 058647"
"प्रबोध आचार्य","351 चतुर्वेदी
चित्रकूट 854638"
"माननीय अशोक नाथ","36/135 सरला मित्रा
असम 555215"
"आदरवाचक सुमन ताम्बे","34/169 महरा
अहमदनगर-009417"
"सम्मानसूचक कला मजूमदार","872 तिवारी
मोकामा 014610"
"सुनील वर्मा","57 डी’कोस्टा
मोकामा-808101"
"सुमती वर्मा","33/8401 सुनीती कदम
सभापतिने-008726"
"सम्मानसूचक विक्रम सरकार","79/366 अणिमा रॉय
देवगढ़ 333637"
"गौतम सुब्रमण्यम","23/04 इन्दिरा तमांग
फतहपुर-056763"
"नंद दासगुप्ताजी","5 तिवारी
इलाहाबाद 428845"
"कशोर हजारिका","3546 सेन
फतहपुर-982608"
"शर्म नायर","5455 रोद्रिगुएस
करना 070089"
"सम्मानसूचक प्रेम पिल्लई","81/303 गौतम अहलूवालिया
अकोला-221389"
"आदरसूचक ऐश्वर्या पाण्डेय","40/001 प्रमोद मंडल
इलाहाबाद-179730"
"कुणाल साहाजी","37 विद्या बुरुाह
विस्तारण 486968"
"अणिमा गोयलजी","98/743 अनिश प्रसाद
खडगपुर-497851"
"संमानित मुकेश मेनन","7/2 दास
अनंतनाग 344084"
"सारिका मित्रा","362 नायर
असम-127481"
"जयन्ती मालिकजी","18 सुमना शर्मा
बचेली-254741"
"नंद शुक्ला","86/62 पटेल
अनंतनाग-784104"
"सम्मानात्मक क्षितिज रंगन","8 यश तमांग
अनंतनाग-999739"
"मनीश भट्टाचार्य","94/99 बल देशपांडे
मोकामा-884714"
"पद्म जयरामनजी","000 दासगुप्ता
चंडीगढ 320268"
"पार्वती रॉय","913 आभा डी’सोउज़ा
अकोला 730362"
"ऐश्वर्या गुप्ताजी","78 सिंह
लखनऊ 756146"
"गणेश कौलजी","174 दास
चित्रकूट 713346"
"रीतिका कुमार","0 गावडे
चित्रदुर्ग 428197"
"संमानित मीरा द्विवेदी","6/7 आशा गोयल
लखनऊ-332841"
"संमानित माया रॉय","19/78 चटर्जी
पाकाला 024389"
"नंद सिंह","31/95 भटनागर
अजमेर 465175"
"राजन दासगुप्ता","66 द्विवेदी
फतहपुर-908229"
"माननीय कान्ता कदम","76/8463 राधा श्रीवास्तव
अमरावती 911116"
"जगजीत भटनागर","01/548 रिया प्रसाद
दादरा और नगर हवेली-676574"
"सम्मानसूचक शनि बलासुब्रमानियम","37 बल ताम्बे
दादरा और नगर हवेली 344007"
"श्यामला वेंकटएसन","53 प्रदीप मित्रा
मोकोकचुंग 665567"
"राधा जोशीजी","95/0378 भरद्वाज
मोकामा-493595"
"नरेन्द्र कपूरजी","53/85 दास
देहरा-427714"
"ज़स्विन्देर् प्रधानजी","0/2 अंकुर तिवारी
पाकाला 875876"
