"ავთანდილ აბდულაევი"|"აკურის ქ. 12, ყვარელი" 
"ვაჟა ლიპარტელიანი"|"ჩახრუხაძის ქ. 00, ლაგოდეხი"
"ლუდმილა მეფარიშვილი"|"ყუშიტაშვილის ქ. 41, დუშეთი"
"ლანა გოგიჩაშვილი"|"ძმობის ქ. 52, ზუგდიდი"
"მარია ჩაჩუა"|"ხვედელიანის ქ. 13, ცაგერი"
"ზაქარია ანთაძე"|"ხანძთელი გრიგოლის ქ. 91, კასპი"
"კახა შეყილაძე"|"მარტყოფის ქ. 67, თბილისი"
"ნანული ხატიაშვილი"|"წერონისის ქ. 71, ახალციხე"
"რეზო ალიევა"|"სააკაძის ქ. 53, ხობი"
"თინათინ ჩაჩანიძე"|"ილორის ქ. 61, ცხინვალი"
"კონსტანტინე ცაავა"|"სალხინოს ქ. 53, გალი"
"გოდერძი აბაშიძე"|"გომბორის ქ. 63, ლაგოდეხი"
"მარიამ ბლიაძე"|"სტამბის ქ. 00, ონი"
"თეიმურაზ ხუციშვილი"|"გოგოლაურის ქ. 62, თეთრიწყარო"
"კობა ფირცხალავა"|"ბოდბის ქ. 01, ლანჩხუთი"
"ქეთევან მარგველაშვილი"|"ოქროყანის ქ. 66, მარტვილი"
"კახა შუკაკიძე"|"იბრაჰიმ ისპაჰანელის ქ. 71, გურჯაანი"
"ბონდო სირბილაძე"|"მანჯგალაძე ეროსის ქ. 75, ვალე"
"ბესარიონ ქარდავა"|"ქობულეთის ქ. 21, ლაგოდეხი"
"მარინა ბოკუჩავა"|"იპოლიტე-ივანოვის ქ. 68, ჭიათურა"
"ტატიანა ასანიძე"|"კონსტიტუციის ქ. 32, ქარელი"
"ემზარ ხარატიშვილი"|"ხაზინის ქ. 13, ცხინვალი"
"კარლო ხაჩიძე"|"ბზიფის ქ. 51, საგარეჯო"
"ავთანდილ ბიწაძე"|"ბაღნარის ქ. 44, ბორჯომი"
"ბექა იმერლიშვილი"|"კვალეთის ქ. 32, სამტრედია"
"ევგენია სულაბერიძე"|"ნიშნიანიძის ქ. 97, ხაშური"
"კახა ჩხიკვაძე"|"ედისის ქ. 64, ნინოწმინდა"
"ხვიჩა ვალიევი"|"ცაგარელი არჩილის ქ. 12, ტყვარჩელი"
"ნადეჯდა გიორგაძე"|"შატილის ქ. 26, საჩხერე"
"ვახტანგ ტაკიძე"|"აბაშიძის ქ. 57, წალკა"
"ნიკოლოზ ლომიძე"|"გუდაუთის ქ. 52, ლანჩხუთი"
"ვლადიმერ მჭედლიძე"|"დვალის ქ. 59, წალენჯიხა"
"ხათუნა ლოლაძე"|"ლებარდეს ქ. 41, ცაგერი"
"ბესარიონ ახობაძე"|"დოესის ქ. 37, წნორი"
"ლეილა კანდელაკი"|"ტაშირის ქ. 47, ახმეტა"
"გრიგოლ კვინიკაძე"|"თამარაშვილი მიხეილის ქ. 04, ახალციხე"
"კახაბერ გორგოძე"|"მოსულიშვილის ქ. 18, ყვარელი"
"სოფიო ბერძენიშვილი"|"საბადურის ქ. 36, თერჯოლა"
"თეა პეტროსიანი"|"ხახანაშვილის ქ. 63, ახალქალაქი"
"ნიკოლოზ ხარაბაძე"|"ტყიბულის ქ. 12, გურჯაანი"
"ლალი კაცაძე"|"უბილავას ქ. 41, ამბროლაური"
"ნელი კალანდია"|"ივლეთის ქ. 11, ბოლნისი"
"ლამარა კვინიკაძე"|"ქუთათელაძე აპოლონის ქ. 05, ცხინვალი"
"ვერიკო ზურაბაშვილი"|"სამგორის ქ. 06, წალენჯიხა"
"თეონა პაპაშვილი"|"კოსტავას ქ. 18, სოხუმი"
"სოსო გუმბერიძე"|"თმოგველის ქ. 18, დმანისი"
"კახაბერ გრიგალაშვილი"|"რიონჰესის ქ. 81, სოხუმი"
"ალექსანდრე ძიძიგური"|"გროზნოს ქ. 59, ხაშური"
"ბელა გურეშიძე"|"სტურუას ქ. 39, სიღნაღი"
"ლიდა მანაგაძე"|"ღამბაშიძის ქ. 79, გორი"
"შორენა ქამადაძე"|"ალიხანიანის ქ. 69, დმანისი"
"ელისო როსტიაშვილი"|"თორაძის ქ. 83, ბათუმი"
"ვერა კინწურაშვილი"|"თეთნულდის ქ. 26, აბაშა"
"ამირან ხაჭაპურიძე"|"არგვეთის ქ. 38, ოზურგეთი"
"ნატალია დალაქიშვილი"|"წმ. ნიკოლოზის ქ. 80, ყვარელი"
