"אביאל אברמוב"|"צוקית 29, ברקת, 9769678" 
"עוז עזרן"|"לילינבלום 10, אל סייד, 0110153"
"אלטע קרן"|"בורסת היהלומים 47, גבעת כ""ח, 3236763"
"יצחק ימין"|"אלוורוד 91, עמקה, 0027025"
"אביגיל נסים"|"מזרחי יוסף 13, בני ציון, 7401166"
"אייל אבו ריא"|"טופז 48, אור הנר, 3471168"
"אדוה שאהין"|"שריג 15, נירן, 8013063"
"יונתן שטרית"|"המייסדים 04, פוריה - נווה עובד, 3816362"
"איתי דוידוב"|"העבודה 79, כפר יונה, 4598903"
"עטרה חזן"|"סומך עובדיה 05, אל סייד, 6745382"
"יחיא רביבו"|"הרשקו אברהם 63, נווה חריף, 6554865"
"הלל שגב"|"נוה עוז 22, עלי זהב, 9535768"
"מיכאל כהן"|"דיה 45, דולב, 7440383"
"קדם לוי"|"מנזר המארונים 61, הסוללים, 5185566"
"נתן ניר"|"יחזקאל הנביא 34, נווה חריף, 2809434"
"סארה רובין"|"הסיפון 23, כסלון, 8950030"
"אליאס עמר"|"ברקת 90, בני ציון, 8684731"
"טליה לאה יעקבי"|"עגור 70, אודם, 2947308"
"ישי יעקב"|"דרך הארץ 81, תלמי אליהו, 0181792"
"בנימין יצחקי"|"הסיפון 71, עמקה, 2209725"
"יחיא תמיר"|"אל-ט'הרה סמ7 14, עזר, 9231396"
"לני חיון"|"נצרת עילית 76, גיתית, 1308711"
"נועה טאהא"|"אברבנאל 28, עצמון שגב, 5017348"
"טום צברי"|"צוקית 07, גדות, 0487001"
"חנה חמו"|"אלכתאב 16, נתיב השיירה, 4655230"
"אורין גרוסמן"|"חוחית 17, נתיב השיירה, 7045883"
"מוחמד כהן"|"טופז 54, גן שורק, 3847173"
"רותם שרון"|"החצב 63, גבעת השלושה, 1894859"
"איתי שחאדה"|"אתר חפץ חיים 75, כפר אחים, 7994431"
"אור אמסלם"|"לוטם 98, עין השופט, 2631719"
"יחיאל ניסן"|"אתר חפץ חיים 34, מכמורת, 3384870"
"שירה שני"|"גבעת חיים )מאוחד( 15, משמר העמק, 3896890"
"שירה אבו ליל"|"פדויים 17, גונן, 4549588"
"איילה קורן"|"קרל נטר 13, בני ציון, 2431156"
"דן לוי"|"אלכסנדר ינאי 04, משמר העמק, 1190208"
"פנינה ח'לאילה"|"לח""י 13, גבעת כ""ח, 8251856"
"טליה ברדה"|"רח 7035 34, גיתית, 1577758"
"הלל איוב"|"רח 6020 90, שתולים, 1056387"
"יונתן אורן"|"הרדוף 94, בני ציון, 3499171"
"יעל אגבאריה"|"עידו הנביא 73, אבו רובייעה )שבט(, 3010971"
"יחיאל שלו"|"רח 68 50, עין צורים, 5352552"
"לאה לרנר"|"פקוד מרכז 27, מגן, 2837281"
"יונתן לרנר"|"אייר 10, אל סייד, 0915632"
"ליה דביר"|"רח 6073 89, אל סייד, 7248185"
"שחר כהן"|"ארבל 49, רגבה, 1229886"
"אביאל אוראל אלוני"|"שד גאולים 83, סער, 4462419"
"אלונה עובד"|"רש""י 26, נוקדים, 5334409"
"עטרה כהן"|"אורנים 33, גדות, 4909189"
"תהילה ח'לאילה"|"אל הודא סמ3 00, אליקים, 7390135"
"עובדיה לוי"|"ע הלל 34, זוהר, 9977460"
"ינאי כהן"|"לילינבלום 04, עמיר, 7385078"
"כרים עובדיה"|"החותרים 35, מכמורת, 9869398"
"אמילי סלאמה"|"אלפג'ר 72, נחלה, 5569359"
"מאיה זועבי"|"קדמת צבי 06, מגאר, 9497199"
"איילה שרון"|"החרובים 23, בית ברל, 8258254"
"שירה פנחס"|"התאנה 01, שדי תרומות, 3129673"
"אדל ממן"|"הנוטר 17, פוריה - נווה עובד, 6609515"
"רומי אליהו"|"בורסת היהלומים 48, דוב""ב, 0358282"
"מאיר חג'אזי"|"נוה עוז 82, אביחיל, 6283580"
"מוחמד סלימאן"|"משעול הסיפן 55, עמקה, 0608471"
"ינאי לוי"|"שכ נווה הדקל 96, גרופית, 4325360"
"אשר עזר"|"אילניה 99, ברקת, 9522597"
"צבי לנדאו"|"יהודה המכבי 64, אביחיל, 3070879"
"שמעון שטיין"|"החסידה 58, סגולה, 5235669"
"יאיר נחמני"|"מעונות ים 79, אביבים, 5241101"
"ברכה גולן"|"לבקוביץ 94, פוריה - נווה עובד, 0925013"
"יהל אברהם"|"הפרדס 07, מסד, 4462631"
"אדל פלד"|"אל-מקפה סמ9 01, מכמורת, 2417485"
"רות גולדמן"|"אייזיק ניוטון 77, גינתון, 8933151"
"אורי חזן"|"הר עצמון 11, עספיא, 6028290"
"ינאי מחמוד"|"הנוטר 97, כפר סירקין, 4410242"
"גיא גולדברג"|"סומך עובדיה 00, ברקת, 6644286"
"זוהר הלוי"|"הר צרור 06, נירן, 9889730"
"בן חוג'יראת"|"הנורית 46, כפר מסריק, 2998109"
"נתנאל ליברמן"|"בילינסון 46, בית חנן, 7608365"
"אופק לוי"|"סמ הבוסתן 69, צפרירים, 8439295"
"יהלי אור ליבוביץ"|"כהן אלי 83, בית ברל, 7854743"
"ליאן פרץ"|"ג'ו עמר 41, אורטל, 2821447"
"לין אבו טיר-בן לולו"|"גבע 44, משמר העמק, 0718306"
"גליה לוי"|"יהודה המכבי 95, כפר סירקין, 6709453"
"ינאי ממן"|"גבעת חיים )מאוחד( 29, רגבה, 2870797"
"איתן ברנשטיין"|"משעול פארן 39, העוגן, 5504789"
"נחמה יאסין"|"שד ח""ן 77, שדי תרומות, 3079465"
"תמר מחאמיד"|"יכין 63, בית ברל, 5033608"
"עדי אברהם"|"ש בבלי 58, גרופית, 8093320"
"עידו יוסף"|"משעול אבוקדו 21, אודם, 3143729"
"אפרת ביטון"|"מענית 27, באר מילכה, 5836982"
"יהודה חזן"|"השר ברזילי 81, ריינה, 1687751"
"אלימלך ח'ורי"|"מנזר המארונים 55, פקיעין חדשה, 4955080"
"איילה דהן"|"התקוה 21, עין אל-אסד, 4851439"
"ינאי שאהין"|"גבעת חיים )מאוחד( 10, כפר יונה, 2463472"
"אבראהים יוסף"|"יהודה המכבי 38, גנות הדר, 8873294"
"דניאל שפר"|"בית היוצר 23, אורטל, 8382405"
"אורן אלקובי"|"שכ 14 99, דוב""ב, 1715809"
"ריתאל זידאן"|"ההגנה 49, בית חנן, 4208364"
"הודיה רוזנברג"|"ההגנה 12, דולב, 1755546"
"מעיין זיו"|"ההגנה 02, מירון, 4350522"
"אלכס גרינברג-בר"|"אל-מחאג'ר סמ4 45, העוגן, 0070938"
"גלעד קדוש"|"מבצע חירם 81, נתיב השיירה, 6237843"
"איתן דביר"|"הפרדס 26, נוקדים, 7403985"
"ינון הורוביץ"|"גולדה מאיר 84, ברקת, 7027044"
"שון הורביץ"|"חזון איש 81, עמיר, 1298227"
"אודל אלבז"|"סמ מסילה א 77, מסד, 2991955"
"עדן שחאדה"|"המגינים 63, אור הנר, 2792882"
"מלאכי נעים"|"גבע 72, נורדיה, 5359604"
"רבקה סויסה"|"ש רמת אביב 41, כפר סירקין, 2274160"
"אביגיל עיסא"|"אזור תעשיה א' 76, בית חשמונאי, 3643747"
"שי לי משה-סולומון"|"אל-מחאג'ר סמ4 67, פוריה - נווה עובד, 7878362"
"מרים ישראלי"|"נשר 16, הר אדר, 5798027"
"רומי מור אסעד"|"צדוק הכהן 69, בית חנניה, 9831770"
"ינון עאמר"|"מעוז חיים 69, מירון, 3316958"
"אריאל לוי"|"החמנית 08, לקיה, 8350888"
"צפורה זהבי-כץ"|"הרימון 27, אל סייד, 1399993"
"נועה דהן"|"חרת א בוס 19, שדה אליהו, 7075192"
"יהונתן אהרון"|"החשמל 61, רגבה, 7376165"
"מנחם פינקלשטיין"|"סמ עין גנים 22, העוגן, 9125703"
"רום סולומון"|"העבודה 14, שתולים, 4691291"
"הדר שם טוב"|"יזרעאל 93, גרופית, 9274050"
"ג'וד נסים"|"מזרחי יוסף 57, אודם, 5625838"
"ינון אבו רמילה"|"נחלת צדוק 19, אורטל, 3042214"
"יסכה אטרש"|"עמנואל )רינגלבלום( 33, עמוקה, 2761800"
"חיה נסאר"|"מעוז חיים 81, מלאה, 3564227"
"ג'וליאן מנסור-כהן"|"אלזיתונה סמ7 26, גנות הדר, 6650959"
"מוסטפא סאלח"|"ידידה 12, כפר הנוער הדתי, 2654160"
"שמואל חלפון"|"הרב חכם שמעון 90, כסלון, 6424540"
"דור שורץ"|"גבעת חיים )מאוחד( 05, נטע, 5542516"
"רומי ביטון"|"מבצע הראל 55, אבו רובייעה )שבט(, 3092230"
"מיכל בוחבוט"|"רח 1238 06, נטע, 3940621"
"מוריה מזרחי"|"רח 6087 94, פקיעין חדשה, 8815330"
"ים אמיר"|"גבע 49, גדות, 6894917"
"יסכה שרביט"|"צוקית 11, גבעת כ""ח, 2901304"
"מיכאל שרון"|"ביכורים 67, גדות, 9301443"
"יעקב ברק"|"עמוס 75, אור הנר, 1546547"
"נחמה אזולאי"|"רמת האירוסים 72, נחלה, 7532059"
"שניאור סלמאן"|"אלכסנדר ינאי 76, נטע, 3181319"
"יונתן מוחמד גליק"|"דרב אלברג' 15, שדי תרומות, 3169444"
"לביא חדד"|"הרדוף 26, בית חנניה, 1641238"
"שניאור נבון"|"החותרים 94, נווה חריף, 2192214"
"דין סויסה"|"תפארת ישראל 92, בית חשמונאי, 9673890"
"שי אוחנה"|"הורדים 08, חשמונאים, 8402604"
"יסמין דהן"|"הרבי מליובאוויטש 79, בית חנן, 4122627"
"אדר סימן טוב"|"צדוק הכהן 11, בית חנניה, 4837996"
"מוחמד ברדה"|"פנינה 83, אביחיל, 3445879"
"שקד כהן"|"הינשוף 26, הסוללים, 7650873"
"יהודה טוויל"|"גבע 02, סער, 2116799"
"דבורה פינקלשטיין"|"בשמת 35, גיתית, 5002623"
"ליה משה"|"הרימון 92, עזר, 1355883"
"עילאי חיימוב"|"אלזאבוד 75, נוקדים, 8511855"
"שוהם רוט"|"רבקה אמנו 73, אביבים, 6335081"
"חנה סאלח"|"אל-פארוק סמ2 05, אליקים, 2474388"
"יסמין קינן"|"רח מו כ שלם 72, עספיא, 8924460"
"חן אגבאריה"|"אלעקבה 56, גרופית, 6058898"
"נועה שפירא"|"אלזיתונה סמ7 95, יד רמב""ם, 9631128"
"מוחמד אלבז"|"היקינטון 58, מירון, 5852710"
"לינוי אזולאי"|"משעול הסיפן 60, עספיא, 6116336"
"אופיר שרף"|"דרך הארץ 02, כפר אחים, 9068824"
"יוסף קאסם"|"סמ עינב 87, שעב, 6024274"
"תהילה ברוך"|"אלוורוד 50, פקיעין חדשה, 8923020"
"איילה פרץ"|"אסא המלך 48, מעונה, 5387495"
"דור מימון"|"אלול 05, רגבה, 1779312"
"יסמין שגיא"|"מבצע חירם 76, יד רמב""ם, 9034623"
"מאיה ויצמן"|"נשר 33, דולב, 9800632"
"נועה דוידוב"|"שכ רסקו 89, חצור הגלילית, 9933087"
"ברוך שמואל"|"גפן 76, רגבה, 8470358"
"נועם נעים-אזברגה"|"עגור 69, בית חשמונאי, 1498847"
"עדי עזר"|"המאה ואחד 84, גני מודיעין, 5915635"
"נדב סופר-אלוני"|"מעונות ים 82, נירן, 4144648"
"אדל אלפסי"|"האלונים 12, עין השופט, 0192356"
"סארה הייב"|"האילתית 86, תלמי אליהו, 3381192"
"נגה כהן"|"אלכנסת 65, מעונה, 1086767"
"יעל איילה הררי"|"הזיתים 08, טל-אל, 2344823"
"איה וקנין"|"אזור תעשייה מזרח 08, דולב, 3649386"
"אלה תורגמן"|"מורן 43, גונן, 8608276"
"מרים אזולאי"|"בן לברט 48, אביחיל, 5943624"
"נועה רוזנטל"|"אלתין 87, אביבים, 4099300"
"אריאל כהן"|"אלכנסת 59, מסד, 8766118"
"כרם יוסף כהן"|"פדויים 19, עספיא, 2875018"
"ג'נא רגב"|"רח 101 08, פוריידיס, 9872777"
"דניאל פנחס"|"שכ הפועל המזרחי ג' 37, בית הלוי, 8471387"
"שירה ח'טיב"|"רח מו כ שלם 22, זוהר, 3772881"
"יעל אמסלם"|"ש אסבסט צפון 01, גנות הדר, 2143629"
"גלי מוסקוביץ"|"שכ עראק אלשבאב 88, רמות מנשה, 1573661"
"שקד אטיאס"|"אביגיל 01, שפר, 2023831"
"אמיתי אברהם"|"ז'בוטינסקי 77, גן שורק, 8758308"
"סהר לוי"|"מבצע חירם 28, שדות מיכה, 6976780"
"נור משה"|"סמטת השחר 91, גני מודיעין, 0236560"
"עידו יאסין"|"האילתית 77, גנות הדר, 2442474"
"מוחמד פרי"|"הרב עוזיאל 81, נירן, 7507828"
"אלעד אבו ראס"|"סלעית 49, עמקה, 1008305"
"ראובן כהן"|"שמעון המכבי 08, אבו רובייעה )שבט(, 7929231"
"יעל ארז"|"מרווה 78, זוהר, 6653694"
"אריאל חסן"|"הנורית 39, כפר אחים, 5219385"
"אדם שור"|"דימיטר פשב 64, גרופית, 8831397"
"תמר עמר"|"יששכר 63, מעונה, 6598535"
"דור תומר שניידר"|"היוזם 37, עין צורים, 5400009"
"איתן חסן"|"הפעמון 77, נחלה, 0991051"
"דבורה גבאי"|"אורנים 53, רימונים, 5387552"
"שירה בן דוד"|"החשמל 27, באר מילכה, 6897116"
"איילה ברגר"|"עבד אל-גני 31, בית חשמונאי, 4793167"
"עדי עמירה"|"יד העפלה ממרוקו 13, כפר סירקין, 7629567"
"יעל בן שבת"|"יחזקאל הנביא 00, רמות מנשה, 6050918"
"מעיין עודה"|"ברקת 26, בית ברל, 7454266"
"נועם לוי"|"ענזה 62, רימונים, 9539275"
"סופיה כץ"|"משואות יצחק 80, עזר, 3575528"
"דבורה מאיר"|"אלתין 78, זוהר, 2747359"
"איתמר קפלן"|"מבצע הראל 76, נורדיה, 2835526"
"נתנאל מחמוד"|"משעול פארן 23, דולב, 5072028"
"לירון לוי"|"רמב""ן 79, חצור-אשדוד, 0975402"
"דבורה יפרח"|"האודם 29, האון, 6233418"
"נועם ברגר"|"גוטמכר 70, עמוקה, 2166012"
"יעל דרור"|"מרווה 27, פוריה - נווה עובד, 9357715"
"טליה גרינברג"|"עקבת א תות 31, מלאה, 8969923"
"אדל שאהין"|"קרן היסוד 64, האון, 2290886"
"משה עיסא"|"ש קואפרטיבים 24, חצור הגלילית, 6405953"
"ליה שגיא"|"גפן 37, כפר יונה, 5266528"
"חיים גדיר"|"אלפג'ר 32, שומרה, 3841925"
"אופק אדרי"|"לח""י 76, מעונה, 0918686"
"אורין נאסר"|"הורקנוס יוחנן 46, נווה חריף, 9378629"
"קרני אלנבארי"|"אולפן 44, מלאה, 5858858"
"מאי אשכנזי"|"כרם חמד 36, רגבה, 3258641"
"יעל הדר"|"צוקית 47, כפר יונה, 4076799"
"מרדכי כץ"|"יחזקאל הנביא 18, ריינה, 3735360"
"שלו שי"|"תפארת ישראל 65, עצמון שגב, 4940538"
"עומרי רבינוביץ"|"ככר ירדן 38, כפר סירקין, 2861886"
"שיר גאבר"|"לילינבלום 64, ברקת, 3228809"
"מאורי גרוס"|"המאה ואחד 19, הר אדר, 7905913"
"לינוי ברגר"|"ידידה 04, נטע, 1830021"
"אדל ג'בארין"|"ככר נחשון 17, פקיעין חדשה, 5032304"
"צור שלום"|"צובה 29, כפר אחים, 9327489"
"ינאי סעדי"|"נאות הדקל 06, גרופית, 4576552"
"יעל הרוש"|"צובה 17, בני ציון, 9512062"
"מלכה מחאמיד"|"הינשוף 49, ברקאי, 4463404"
"נועם יעקב"|"אל-מקפה סמ9 44, עדי, 0042953"
"אסתר אגבאריה"|"בית ראשון במולדת 74, פוריידיס, 8171896"
"אבישג ירושלמי"|"שקד 49, רמות מנשה, 3956401"
"שולמית אוריה אלקרינאוי"|"בית היוצר 20, רחוב, 4472341"
"מוחמד יונס"|"אייר 50, האון, 0470650"
"ברכה פרץ"|"בילינסון 24, אודם, 9797867"
"אברהם שני"|"אלחרש 36, שדות מיכה, 9943855"
