"Aada Viitala"|"Fallpakankatu 8
84238 Lohja" 
"Sami Liukkonen"|"Veropellonkuja 56
99071 Ähtäri"
"Olavi Miettinen"|"Jägerhorninkuja 73
45183 Kihniö"
"Maarit Kinnunen"|"Vanha Rajakatu 01
74905 Mäntyharju"
"Antti Niemi"|"Ahvenkoskenkuja 8
07172 Sauvo"
"Maria Hartikainen"|"Wavulininbulevardi 4
33143 Punkalaidun"
"Janne Koskinen"|"Jännebulevardi 07
96131 Lempäälä"
"Marjo Lehtinen"|"Bertha Pauligin kuja 8
70855 Liperi"
"Olavi Jokinen"|"Purjetuulenpolku 7
85170 Sysmä"
"Anne Kantola"|"Ehrensvärdinkatu 85
63398 Humppila"
"Marko Oksanen"|"Agnetankatu 41
83359 Kaavi"
"Santeri Leinonen"|"Sadebulevardi 41
08093 Hartola"
"Samu Hokkanen"|"Oravapolku 0
89456 Savonlinna"
"Maarit Kokkonen"|"Lemuntie 71
20896 Vieremä"
"Tapio Lahtinen"|"Kolubulevardi 53
33550 Savukoski"
"Tuomo Lehtonen"|"Tuomarinkyläntie 436
57710 Valtimo"
"Lotta Voutilainen"|"Vaarnakatu 66
30487 Pieksämäki"
"Anna Simola"|"Edelfeltinkuja 221
79167 Oripää"
"Emilia Kemppainen-Mäkinen"|"Vaakalinnunkuja 7
12539 Lieksa"
"Maria Sainio"|"Taavinkuja 623
39391 Pihtipudas"
"Emilia Nyman"|"Tuohikoivunkatu 9
31859 Kangasala"
"Mauri Kiviniemi"|"Puuskakuja 475
02974 Mikkeli"
"Tapani Jääskeläinen"|"Damaskuksentie 53
08990 Mäntyharju"
"Maarit Kärkkäinen-Ketola"|"Gotlanninkuja 4
77168 Kärkölä"
"Hannele Rauhala"|"Uskalikonpolku 5
45491 Perho"
"Margit Kauppinen"|"Zaidankatu 4
20988 Taipalsaari"
"Anneli Suomalainen"|"Lentokapteenin kuja 42
27682 Rääkkylä"
"Minna Määttä-Rajala"|"Lemunpolku 85
62529 Kontiolahti"
"Aino Kähkönen"|"Willebrandintie 25
13627 Ähtäri"
"Elli Tuovinen"|"Jätkäsaarenkatu 721
73638 Lemland"
"Hannele Tamminen"|"Laakavuorenbulevardi 554
02817 Hyvinkää"
"Väinö Seppä"|"Iltatähdentie 25
11842 Nakkila"
"Anne Lahtinen"|"Yllästunturinbulevardi 56
89614 Föglö"
"Maarit Miettinen"|"Fahlanderin puistotie 05
55966 Harjavalta"
"Seppo Heinonen"|"Maanmittarinkuja 5
21233 Somero"
"Marjatta Hämäläinen"|"Uunilinnunkuja 167
34566 Sotkamo"
"Arttu Virta"|"Ida Ekmanin tie 9
87020 Kankaanpää"
"Orvokki Tolonen"|"Jänkäkuja 99
38713 Hämeenlinna"
"Matias Korhonen"|"Osmonpolku 69
45337 Maarianhamina"
"Antero Kokko"|"Benktanpolku 6
89892 Asikkala"
"Tuukka Moilanen"|"Kolutie 3
92030 Muhos"
"Aurora Laakkonen"|"Ylä-Fallin bulevardi 372
43882 Kannus"
"Tapio Kilpeläinen-Haapanen"|"Iestie 47
54923 Kauhajoki"
"Maija Holappa"|"Bengalinkuja 51
77840 Kurikka"
"Oskari Lehtinen"|"Zaidanbulevardi 8
36921 Siikainen"
"Juhani Kukkonen-Ylitalo"|"Wavulininpolku 4
98710 Enontekiö"
"Emmi Kärki"|"Mannerheiminkatu 4
34229 Kolari"
"Ensio Mäki"|"Vesalanpolku 0
61609 Kiuruvesi"
"Kristian Nieminen"|"Döbelninpolku 00
29521 Tampere"
"Juhani Tuomi"|"Gadolininkuja 66
21294 Pälkäne"
"Petri Riihimäki"|"Runonlaulajantie 03
04423 Jokioinen"
"Julius Niemi-Lehtinen"|"Eduskuntakatu 84
74761 Iitti"
"Niina Kokkonen-Järvinen"|"Runoilijankuja 7
22632 Pyhäjärvi"
"Maija Huhtala-Viitanen"|"Runonlaulajanbulevardi 218
27661 Sastamala"
"Aino Karvonen"|"Iesbulevardi 90
48256 Rauma"
"Antero Niskanen-Anttila"|"Maneesikatu 867
48744 Järvenpää"
"Aapo Karppinen"|"Maasalonkuja 1
79492 Ähtäri"
"Ilmari Lahtinen"|"Eduskuntabulevardi 912
10412 Pello"
"Tellervo Kilpeläinen-Kettunen"|"Veropellonpolku 3
39285 Posio"
"Olivia Ruotsalainen"|"Puusepänkatu 789
00376 Kinnula"
"Jarmo Rossi"|"Louhikkokatu 763
66131 Tammela"
"Henrik Nyman"|"Betleheminkatu 46
10736 Ulvila"
"Antero Hartikainen"|"Gneissikatu 592
15640 Lieksa"
"Maija Huttunen"|"Poikasaartenpolku 88
11962 Laitila"
"Tiina Leino"|"Jätkäsaarentie 2
93167 Ruokolahti"
"Matti Blomqvist"|"Sahaajanpolku 378
50539 Pello"
"Jonna Pohjola"|"Lentokapteenin katu 2
74911 Lemi"
"Helena Lehtonen-Liimatainen"|"Runoilijankatu 253
18791 Kihniö"
"Johannes Laitinen-Nikula"|"Tukkisillanbulevardi 8
29454 Brändö"
"Anita Koponen-Rantala"|"Böstaksenkatu 82
60288 Kitee"
"Päivi Myllymäki"|"Katajaharjunkatu 5
46316 Ypäjä"
"Hannele Tirkkonen-Partanen"|"Taimistontie 435
32960 Ylöjärvi"
"Antero Vainio"|"Ylänköpolku 6
39422 Haapavesi"
"Maija Laakso"|"Rantavarastonkatu 3
45048 Ilomantsi"
"Kaarina Lindroos"|"Bengalinbulevardi 45
34401 Pieksämäki"
"Hilkka Backman"|"Eerik Pyhän katu 92
00752 Savonlinna"
"Tuomas Mononen"|"Eduskuntatie 559
45332 Tervola"
"Olavi Riikonen"|"Uunilinnuntie 3
41486 Alajärvi"
"Pekka Ikonen"|"Tyyneläntie 8
44663 Halsua"
"Eero Niemelä"|"Poikasaartenbulevardi 4
01053 Helsinki"
"Kari Haapala"|"Dosentinkuja 577
67025 Oulu"
"Antero Henriksson-Kuosmanen"|"Tuomarinkylänbulevardi 0
76279 Kangasniemi"
"Sanna Lahtinen"|"Jämsänkatu 441
78752 Oulainen"
"Maija Ojala"|"Harakkamyllyntie 106
86739 Sotkamo"
"Tapio Huovinen"|"Poikasaartenpolku 49
10242 Äänekoski"
"Marjatta Puhakka"|"Iltatähdenpolku 98
27906 Urjala"
"Juhani Niemi"|"Urkurintie 12
25463 Siuntio"
"Marjukka Jansson"|"Harakkamyllynpolku 936
64093 Petäjävesi"
"Juhani Jaakkola-Lehtinen"|"Gunnel Nymanin bulevardi 75
24763 Värdö"
"Sofia Lappalainen"|"Taavinkatu 61
95122 Ikaalinen"
"Marjukka Rissanen"|"Uunisepäntie 406
00364 Evijärvi"
"Marjatta Kuusisto"|"Taavetti Laitisen kuja 95
86329 Pirkkala"
"Markku Huttunen-Mattila"|"Ilkankuja 4
02119 Nakkila"
"Maija Ranta"|"Jänkäpolku 9
51948 Joensuu"
"Susanna Keränen"|"Waseniuksen puistobulevardi 16
47594 Imatra"
"Sonja Varis"|"Maasälvänkatu 0
10239 Alavus"
"Kaarina Kaikkonen"|"Bergankatu 692
97325 Padasjoki"
"Ritva Laine-Karjalainen"|"Porkkalantie 795
76892 Uusikaupunki"
"Ritva Mustonen"|"Bertel Jungin polku 280
92249 Kangasala"
"Heikki Aalto"|"Laurinniityntie 0
32433 Kauniainen"
"Arja Niemi"|"Sapilaskatu 3
00757 Kalajoki"
"Marko Kukkonen"|"Yhteiskouluntie 10
50509 Kangasniemi"
"Olavi Andersson-Heiskanen"|"Kukkaniitynpolku 287
38013 Kempele"
"Maire Savolainen"|"Saparonkuja 8
77985 Tuusniemi"
"Juha Tiihonen-Alanko"|"Dagmarintie 47
88654 Keuruu"
"Aleksi Mäenpää"|"Orasbulevardi 589
95231 Pelkosenniemi"
"Riitta Juvonen"|"Mamsellimyllyntie 04
26553 Sottunga"
"Marjo Karhunen"|"Veräjämäenpolku 02
51435 Lemland"
"Annikki Koistinen"|"Otermanbulevardi 27
78455 Föglö"
"Jonna Koski"|"Agroksenpolku 826
87146 Puolanka"
"Juho Koskinen-Mikkola"|"Ilkantie 762
19262 Ylöjärvi"
"Miia Lehtonen"|"Lepolankatu 58
67512 Isojoki"
"Alisa Laaksonen"|"Haaksibulevardi 33
94580 Uurainen"
"Margareta Pennanen"|"Kuhankeittäjänkuja 10
39380 Pyhäjärvi"
"Raimo Salonen"|"Chydeniuksenbulevardi 891
23058 Enontekiö"
"Riitta Parkkinen"|"Kolsinkatu 776
87445 Tampere"
"Outi Rautio-Eronen"|"Yrjönpolku 15
68903 Vesilahti"
"Irene Salminen"|"Agricolanbulevardi 242
55183 Lappajärvi"
"Elisa Kilpeläinen-Laurila"|"Elonpolku 766
43417 Nakkila"
"Liisa Immonen-Lehtola"|"Zaidantie 6
31509 Kokemäki"
"Katja Mäkelä-Ollila"|"Wallininpolku 244
55298 Kalajoki"
"Hannele Aalto"|"Kukkaniitynkuja 8
04815 Pyhäjoki"
"Markus Heinonen"|"Oravapolku 95
48536 Salo"
"Margareta Sipilä-Suominen"|"Maanmittarintie 090
82544 Hyvinkää"
"Samuli Jokela"|"Tuulilasinkuja 3
37922 Savukoski"
"Heidi Piirainen-Tolvanen"|"Runeberginkatu 23
96881 Oulu"
"Veikko Karvinen"|"Agnetanbulevardi 0
20746 Hirvensalmi"
"Tellervo Karlsson"|"Runoilijanpolku 3
82311 Pielavesi"
"Tuula Markkanen"|"Uurtajantie 3
76331 Valtimo"
"Ilmari Mäkinen"|"Laakavuorenbulevardi 6
11532 Helsinki"
"Julia Nurminen"|"Jyväbulevardi 363
36922 Parkano"
"Irene Jokela"|"Cygnaeuksentie 7
04607 Urjala"
"Ilona Turunen"|"Kolukuja 8
58872 Ikaalinen"
"Margit Tuominen-Kujala"|"Rukoushuoneenkatu 95
01493 Turku"
"Aino Lahti-Peltoniemi"|"Agroksenbulevardi 26
43747 Sonkajärvi"
"Marjatta Suominen"|"Oraspolku 0
91292 Porvoo"
"Juhani Saastamoinen"|"Haaksitie 4
23650 Ranua"
"Allan Kovanen-Venäläinen"|"Vesalantie 072
11914 Konnevesi"
"Sami Leinonen-Karlsson"|"Lautamiehenkuja 705
93073 Kokemäki"
"Kalevi Liukkonen"|"Franzéninbulevardi 45
02972 Joroinen"
"Alexander Jokela-Lähteenmäki"|"Maakatu 71
90960 Punkalaidun"
"Sofia Kumpulainen-Heikkilä"|"Osmonkatu 635
46308 Enonkoski"
"Leila Immonen"|"Kimmonkatu 18
52489 Joroinen"
"Mari Kinnunen-Pulkkinen"|"Eino Leinon kuja 1
21162 Hirvensalmi"
"Kristiina Mäki"|"Tyynelänpolku 28
14172 Oripää"
"Tuula Karvonen"|"Kukkaniitynkatu 93
56655 Ruokolahti"
"Marita Mäkelä-Manninen"|"Ormuspolku 00
85466 Rantasalmi"
"Tapani Simonen"|"Harakkamyllynbulevardi 650
68146 Orivesi"
"Helena Salo"|"Purjetuulentie 1
03939 Jämsä"
"Sakari Lappalainen-Hyttinen"|"Puusepänkuja 5
81841 Värdö"
"Kimmo Huotari"|"Tuohikoivunkatu 039
14317 Mäntyharju"
"Olavi Nuutinen"|"Eduskuntatie 8
78589 Humppila"
"Marja Kulmala"|"Bertel Jungin bulevardi 856
47782 Pyhäntä"
"Mari Pulkkinen"|"Gustav Pauligin katu 6
40996 Petäjävesi"
"Tapani Huttunen"|"Louhikkokatu 20
24732 Lemland"
"Alina Andersson"|"Elimäenkuja 349
58208 Luumäki"
"Kaarina Virta"|"Agronominpolku 141
62567 Lapinlahti"
"Jaakko Koponen"|"Uskalikontie 00
50157 Honkajoki"
"Raija Leppänen-Karjalainen"|"Tuohikoivunbulevardi 34
69691 Nivala"
"Ville Nieminen-Nevala"|"Ylätuvanbulevardi 205
13510 Kärsämäki"
"Juha Jokela-Hakala"|"Eerik Pyhän bulevardi 343
08787 Valtimo"
"Sanna Mäki"|"Berganbulevardi 5
17277 Soini"
"Tapani Koistinen"|"Orvokkipolku 2
99454 Tuusula"
"Maria Ahola"|"Rukoushuoneenkatu 719
65259 Ylöjärvi"
"Maaria Korpela"|"Gustav Pauligin kuja 8
80365 Luhanka"
"Elisa Heikkilä"|"Poikasaartenkuja 58
73538 Masku"
"Kari Pitkänen-Sipilä"|"Uussillanbulevardi 015
46331 Vöyri"
"Matias Kärkkäinen-Kokkonen"|"Maakatu 23
69177 Iitti"
"Teemu Jääskeläinen"|"Werner Wirénin bulevardi 7
18512 Toivakka"
"Oliver Väänänen"|"Eino Leinon katu 06
31566 Kustavi"
"Kaarina Ruotsalainen"|"Sapilastie 59
32029 Pornainen"
"Kalevi Leino"|"Kimmonkuja 68
18626 Varkaus"
"Jari Virtanen"|"Ida Ekmanin kuja 348
00249 Humppila"
"Maria Hakala"|"Runoilijankatu 277
69058 Kihniö"
"Juhani Korpela-Komulainen"|"Uurtajanbulevardi 057
64848 Kruunupyy"
"Eeva Savolainen"|"Uunisepäntie 1
73494 Punkalaidun"
"Pekka Vuorinen"|"Jälsipolku 896
11757 Leppävirta"
"Johannes Hänninen"|"Veropellonkuja 086
75327 Hyrynsalmi"
"Jari Timonen"|"Harbontie 892
67142 Mustasaari"
"Irja Hakkarainen"|"Ylä-Fallin polku 8
97532 Eurajoki"
"Marjatta Rautio"|"Rukkilanpolku 9
86321 Kustavi"
"Pia Holappa"|"Verkkokuja 147
37322 Sulkava"
"Tapani Lahtinen"|"Castréninpolku 603
46627 Ruovesi"
"Maria Hartikainen"|"Puusepänkuja 71
76354 Heinola"
"Anneli Viitala-Saarinen"|"Orisaarentie 383
16109 Sonkajärvi"
"Olavi Kivinen"|"Nils Westermarckin polku 826
96391 Evijärvi"
"Kristiina Rantala"|"Ilmattarenpolku 6
89128 Porvoo"
"Orvokki Kumpulainen"|"Yrttimaanpolku 1
43513 Sievi"
"Maria Salonen-Ikonen"|"Yhteiskouluntie 7
27146 Siikajoki"
"Inkeri Jalonen"|"Fahlanderin puistopolku 18
45757 Kolari"
"Helena Luukkonen"|"Jämsänpolku 64
94903 Pyhäjoki"
"Eveliina Partanen"|"Laajasalonpolku 65
08123 Jämijärvi"
"Vesa Ranta"|"Poikasaartentie 4
29126 Kontiolahti"
"Maria Heikkilä"|"Gneissitie 62
59365 Maalahti"
"Kaisa Ojala"|"Lepolankuja 62
31811 Hämeenkyrö"
"Annikki Marttila"|"Saparonkatu 80
93449 Koski Tl"
"Elisabet Aho"|"Kuhankeittäjänkatu 76
14882 Hattula"
"Irene Pulkkinen-Parviainen"|"Vaarnabulevardi 328
90250 Maalahti"
"Veli Turunen"|"Ormusbulevardi 72
80068 Parkano"
"Timo Puhakka"|"Niitynperänpolku 6
37183 Aura"
"Matias Leskinen"|"Santerlankatu 6
29957 Vöyri"
"Kalle Jokinen"|"Wallininkatu 2
34795 Somero"
"Jaakko Leppänen"|"Gunnel Nymanin kuja 351
33528 Tuusniemi"
"Maria Heikkinen"|"Berganbulevardi 51
54363 Sievi"
"Mikko Hirvonen"|"Maapadonpolku 62
96528 Vimpeli"
"Vilhelm Repo"|"Veropellonbulevardi 399
51066 Puumala"
"Johannes Haavisto"|"Lentokapteenin katu 6
39780 Somero"
"Kalevi Salo"|"Orapihlajakuja 95
35386 Lemland"
"Susanna Pennanen"|"Wallininbulevardi 107
83397 Luoto"
"Lauri Leino"|"Fahlanderin puistokuja 4
24955 Vesanto"
"Marja-Leena Leppänen"|"Fagottipolku 93
29831 Kitee"
"Johan Lampinen"|"Gotlanninbulevardi 90
70685 Kotka"
"Johanna Syrjälä"|"Degermosantie 6
92373 Paltamo"
"Maria Heikkinen-Räsänen"|"Jättiläisenbulevardi 4
62295 Evijärvi"
"Juhani Laitinen-Eskola"|"Wavulininkatu 49
09570 Jyväskylä"
"Juhani Tuominen"|"Jäkälätie 0
61634 Lestijärvi"
"Juhani Leino-Matilainen"|"Fagottikatu 2
11145 Uusikaarlepyy"
"Maaria Virtanen"|"Böstaksenkatu 1
56185 Parainen"
"Kirsi Lindroos"|"Walentin Chorellin kuja 35
15402 Kouvola"
"Olavi Holopainen"|"Mannerheiminkatu 054
75957 Valtimo"
"Sirpa Kantola"|"Järkälepolku 497
05718 Karstula"
"Mikael Kähkönen-Kärkkäinen"|"Maneesikatu 739
83112 Isojoki"
"Marita Gustafsson"|"Louhikkotie 213
21220 Lappajärvi"
"Maria Heino"|"Nils Westermarckin bulevardi 2
35493 Inkoo"
"Kalevi Mikkonen"|"Eerik Pyhän tie 0
41580 Pomarkku"
"Elias Timonen"|"Osuuskunnanbulevardi 3
92047 Honkajoki"
"Petri Toivonen-Karppinen"|"Elimäenbulevardi 428
38713 Ristijärvi"
"Minna Silvennoinen"|"Lemuntie 068
94079 Karvia"
"Sofia Lindgren"|"Adolf Lindforsin bulevardi 525
95863 Lumparland"
"Matias Haavisto"|"Niittylänbulevardi 761
00827 Loimaa"
"Susanna Lahtinen"|"Uurtajankatu 806
11162 Vantaa"
"Tapani Vainio"|"Capellan puistokuja 6
67010 Kalajoki"
"Lauri Pakarinen"|"Cygnaeuksenpolku 122
52060 Alajärvi"
"Maria Heiskanen"|"Saanatunturinpolku 5
24842 Parainen"
"Hilkka Kokkonen"|"Lepolanpolku 90
85005 Paimio"
"Olavi Latvala"|"Järkälepolku 754
00014 Raisio"
"Mirja Kuusela-Ahola"|"Kolsinpolku 239
37173 Kajaani"
"Sirkka Pääkkönen"|"Döbelnintie 09
49852 Lieto"
"Kristian Laaksonen"|"Vesakkobulevardi 8
71204 Savitaipale"
"Kari Autio"|"Tuulilasinpolku 01
18369 Pornainen"
"Joel Hiltunen"|"Kolutie 1
73362 Karijoki"
"Tanja Hannula"|"Saanatunturinbulevardi 0
76583 Hankasalmi"
"Tero Hämäläinen"|"Uskalikonkatu 50
63565 Hausjärvi"
"Maria Järvinen"|"Döbelninpolku 643
27887 Evijärvi"
"Annika Mikkola"|"Tuulilasinbulevardi 607
78377 Kaustinen"
"Mirja Korpela"|"Fallkullantie 0
35692 Lumijoki"
"Eero Rytkönen"|"Fallpakankatu 9
41858 Pukkila"
"Marko Pulkkinen"|"Dunckerinkatu 29
72300 Parkano"
"Sanni Paavola"|"Uunilinnunpolku 362
49462 Nurmes"
"Tuulia Nurminen"|"Jägerhornintie 82
20464 Vesilahti"
"Juhani Kettunen"|"Eduskuntakuja 47
78529 Laihia"
"Aleksandra Riihimäki-Hyvönen"|"Ilomäenbulevardi 5
89707 Oulainen"
"Tiina Hyttinen"|"Yrjönkuja 93
70074 Rautjärvi"
"Maria Karjalainen"|"Haagan pappilanpolku 0
95601 Parikkala"
"Merja Soininen"|"Bysantinbulevardi 393
52209 Kustavi"
"Rauno Lahtinen"|"Eduskuntatie 9
00671 Rovaniemi"
"Tuulia Saarinen"|"Vaarnakatu 7
99832 Hirvensalmi"
"Eija Kanerva"|"Haakoninlahdenbulevardi 1
67411 Juupajoki"
"Jukka Ruotsalainen"|"Tahtipolku 360
24835 Raisio"
"Tuija Virta"|"Uudenkaupungintie 54
86564 Maalahti"
"Aki Salmela"|"Tuohikoivunpolku 118
17849 Paltamo"
"Hannele Leino"|"Kukkaniitynkatu 493
81025 Sievi"
"Alisa Virtanen"|"Nordenskiöldinkatu 8
90918 Uusikaupunki"
"Maria Karjalainen"|"Jännetie 8
05607 Jyväskylä"
"Olavi Palomäki"|"Lepolantie 25
44192 Sipoo"
"Juhani Ihalainen"|"Porekatu 9
52352 Mikkeli"
"Johannes Sallinen"|"Aidasmäenkuja 7
76254 Kaskinen"
"Aarne Lahti"|"Uurtajankuja 288
26879 Naantali"
"Maria Jansson-Heikkinen"|"Kolukatu 8
29871 Enonkoski"
"Jani Salo"|"Uunisepäntie 376
19808 Sievi"
"Ilkka Virta"|"Degermosankuja 4
90309 Laukaa"
"Emilia Viljanen"|"Ormuspolku 26
23481 Lapinjärvi"
"Pauliina Matikainen"|"Haakoninlahdenkuja 872
44253 Hammarland"
"Maria Karvonen"|"Ahomäenkatu 909
63466 Rantasalmi"
"Aada Lindholm-Riikonen"|"Jäkälätie 871
64263 Pornainen"
"Maria Leppänen"|"Dosentintie 22
84124 Lappajärvi"
"Marja-Leena Perälä"|"Puroniityntie 46
04499 Salo"
"Jani Sallinen"|"Nervanderinkuja 2
71412 Polvijärvi"
"Orvokki Väisänen"|"Eino Leinon katu 74
10982 Marttila"
"Johannes Laaksonen"|"Runoilijanpolku 435
24830 Kokemäki"
"Tarja Peltola"|"Laajasalonkuja 466
19859 Kittilä"
"Kustaa Tolvanen"|"Fagottibulevardi 76
80622 Imatra"
"Ritva Sirén"|"Mamsellimyllynpolku 44
40979 Kuopio"
"Maria Kemppainen-Meriläinen"|"Nils Westermarckin bulevardi 9
60504 Toholampi"
"Kristian Heinonen"|"Louhikkotie 20
88935 Raisio"
"Esko Heikkinen"|"Osmonkatu 9
27699 Vaasa"
"Olavi Tuominen"|"Bengalinkatu 81
47493 Ristijärvi"
"Veikko Karttunen-Nurminen"|"Ormuskatu 1
64595 Lapinlahti"
"Anneli Kujala-Vuorinen"|"Salavapolku 0
56756 Saltvik"
"Marja Tuominen"|"Jälsikatu 580
59782 Kurikka"
"Alexandra Nevala"|"Laakavuorenpolku 695
19754 Hyvinkää"
"Laura Paavola"|"Vanha Rajakatu 321
23230 Koski Tl"
"Mikael Riihimäki"|"Graniittikatu 96
34211 Taipalsaari"
"Maria Koivisto-Kyllönen"|"Maapadonkuja 61
47334 Ii"
"Aleksanteri Kauppila"|"Urkurinkuja 99
47303 Konnevesi"
"Annikki Jäntti"|"Agnetankatu 92
43420 Oulainen"
"Teemu Jokinen"|"Iestie 77
67075 Siikajoki"
"Kristiina Karjalainen"|"Lemuntie 438
62752 Kumlinge"
"Marjaana Lindroos-Ojala"|"Ilveskatu 0
56077 Kuusamo"
"Eemil Kokko"|"Agronominkatu 0
19421 Mynämäki"
"Helena Rautio"|"Vaarnapolku 92
14214 Pudasjärvi"
"Eerik Koski"|"Lepolanpolku 19
40999 Suomussalmi"
"Oskari Meriläinen"|"Benktanbulevardi 323
98721 Hartola"
"Maria Kokkonen"|"Urheilukatu 27
42069 Kemiönsaari"
"Henna Kukkonen-Rauhala"|"Salakkapolku 3
65624 Lappajärvi"
"Tellervo Peltonen"|"Niitynperäntie 20
83180 Ypäjä"
"Suvi Karppinen"|"Fastbölenpolku 8
05512 Äänekoski"
"Atte Virtanen-Turunen"|"Gyldéninkatu 7
76073 Sipoo"
"Ilmari Viitala"|"Bergankuja 5
84416 Askola"
"Tero Ahonen-Tiainen"|"Ilkankuja 2
33466 Kauhava"
"Ensio Malinen"|"Sahaajankatu 6
15883 Kumlinge"
"Henna Karlsson"|"Kimmonkatu 160
68012 Jämijärvi"
"Pekka Ahonen-Kilpeläinen"|"Uudenkaupunginbulevardi 01
86094 Hyvinkää"
"Maria Korhonen-Koskinen"|"Sapilaskuja 827
38742 Savukoski"
"Eija Mäkinen"|"Neulapadonkuja 5
04894 Urjala"
"Raili Hakkarainen"|"Gotlanninbulevardi 3
08007 Marttila"
"Petteri Laukkanen"|"Capellan puistokatu 957
26773 Saltvik"
"Johannes Martikainen"|"Maasalonpolku 5
59117 Akaa"
"Olavi Väänänen"|"Oravapolku 7
28606 Kuopio"
"Johannes Erkkilä"|"Versokatu 27
54323 Saarijärvi"
"Kaarina Lappalainen"|"Harbonbulevardi 532
02819 Utajärvi"
"Pauliina Heikkilä"|"Orvokkikuja 5
66839 Sipoo"
"Sami Hiltunen"|"Neulapadonpolku 6
93803 Teuva"
"Maria Kortelainen"|"Oravatie 0
59351 Jämijärvi"
"Henrik Kainulainen"|"Kolsinkuja 68
67041 Naantali"
"Kaarlo Kiviniemi"|"Franzéninpolku 70
40731 Puolanka"
"Riku Lilja"|"Katajaharjunkatu 626
78183 Oulainen"
"Heikki Makkonen"|"Tuohikoivuntie 69
11273 Pudasjärvi"
"Aaron Heikkilä"|"Agricolankuja 15
93003 Koski Tl"
"Tiina Moilanen-Hyvärinen"|"Iltaruskonkuja 1
42518 Somero"
"Orvokki Hakala"|"Rantavarastonkatu 763
22209 Luoto"
"Annukka Aaltonen"|"Jämsänkuja 26
29662 Puumala"
"Ella Rantala"|"Nordenskiöldinkatu 74
89385 Somero"
"Maria Kulmala"|"Maapolku 073
18296 Kitee"
"Kai Karhu"|"Haagan pappilankuja 89
27750 Eura"
"Kirsti Eronen"|"Haravakuja 040
85817 Merijärvi"
"Ilmari Hyvönen-Nyman"|"Maasalonbulevardi 62
07265 Sottunga"
"Marjatta Koistinen-Korpela"|"Järkälekuja 7
32646 Raahe"
"Mikko Mustonen-Salonen"|"Uussillankuja 6
44440 Vesilahti"
"Heidi Räisänen"|"Gyldéninpolku 041
39860 Isokyrö"
"Martti Ojala"|"Tuomarinkylänbulevardi 17
94208 Hyrynsalmi"
"Susanna Johansson"|"Werner Wirénin polku 3
93939 Orimattila"
"Ulla Tervo-Korhonen"|"Fallinbulevardi 879
47134 Marttila"
"Maria Kuusela-Paananen"|"Bengalinkatu 4
94396 Savonlinna"
"Irene Laitinen"|"Biologinkatu 012
96524 Raasepori"
"Samuel Tuominen"|"Oraskatu 00
61459 Nousiainen"
"Jaakko Suhonen"|"Gustav Pauligin bulevardi 209
93774 Mänttä-Vilppula"
"Kristian Korhonen"|"Otermankuja 3
67400 Suomussalmi"
"Juha Koskinen-Mäkinen"|"Dagmarinpolku 69
81220 Nousiainen"
"Inkeri Kuusisto"|"Laakavuorenkatu 168
80072 Tampere"
"Tuulikki Karhu"|"Benktankatu 182
26866 Saarijärvi"
"Tapio Virtanen-Salonen"|"Ida Ekmanin tie 596
20432 Isojoki"
"Topias Marttila"|"Agnetantie 5
24709 Pyhäjoki"
"Maria Lahti"|"Pohjolankuja 5
22712 Vehmaa"
"Hellevi Vuorela"|"Katajaharjunpolku 1
73221 Puolanka"
"Sara Jauhiainen-Kulmala"|"Gneissikatu 58
69496 Hyvinkää"
"Pertti Lahtinen-Helenius"|"Dagmarinpolku 9
87700 Vaala"
"Leila Leppänen"|"Fagottitie 280
15293 Vöyri"
"Sanna Lindfors-Sihvonen"|"Kimalaistie 5
14943 Vantaa"
"Liisa Forsman-Piirainen"|"Haravabulevardi 1
22222 Turku"
"Kristiina Mattila"|"Porkkalankatu 144
87052 Pyhtää"
"Armas Kangas"|"Fallpakankatu 470
39168 Lapua"
"Harri Määttä-Leppänen"|"Laajasalontie 98
79731 Muurame"
"Maria Lahti"|"Rapolankuja 66
38443 Tuusniemi"
"Miika Jaatinen-Puranen"|"Neonbulevardi 3
31910 Posio"
"Johannes Leinonen-Kinnunen"|"Gneissitie 186
13735 Pyhäranta"
"Johanna Kilpeläinen"|"Eerik Pyhän bulevardi 2
08728 Pihtipudas"
"Aurora Koivunen"|"Haagan pappilankuja 1
15206 Koski Tl"
"Anneli Jokinen"|"Nils Westermarckin kuja 5
83217 Valtimo"
"Helena Kiuru"|"Eljaksenpolku 16
89861 Kärkölä"
"Matti Jokinen"|"Puroniityntie 221
59663 Kotka"
"Teemu Räsänen-Korhonen"|"Jägerhorninpolku 779
34380 Honkajoki"
"Mirja Lehtinen"|"Cygnaeuksenpolku 365
68994 Virrat"
"Maria Laine"|"Salakkatie 56
50273 Kumlinge"
"Väinö Andersson"|"Rapolankuja 93
20918 Pornainen"
"Helena Aaltonen-Virtanen"|"Gustav Pauligin katu 87
21570 Pirkkala"
"Tuula Salonen"|"Tuulilasinkatu 38
35673 Pyhäntä"
"Petteri Ranta"|"Gunillantie 11
27290 Lapua"
"Eveliina Puustinen-Niemi"|"Lautamiehenkatu 05
40694 Hartola"
"Helinä Manninen"|"Edelfeltintie 783
87916 Haapajärvi"
"Eemeli Salminen-Mäkelä"|"Lepolankuja 90
44524 Kruunupyy"
"Johanna Kyllönen"|"Laajasalonbulevardi 22
45691 Lempäälä"
"Juhani Jussila"|"Rapakivenkatu 62
98658 Posio"
