"Ada Bazydło"|"ul. Jagodowa 52
84-438 Żyrardów" 
"Olga Filas"|"aleja Krasińskiego 15/23
44-752 Lubartów"
"Kornel Ciepłuch"|"ul. Tartaczna 27
90-503 Brodnica"
"Kamila Ciemięga"|"al. Kopernika 71
85-363 Dąbrowa Górnicza"
"Cyprian Suchoń"|"aleja Kolorowa 112
99-230 Świnoujście"
"Gaja Mazanek"|"al. Fredry 96/89
87-032 Sieradz"
"Jan Kalinka"|"pl. Bolesława Chrobrego 756
01-833 Czeladź"
"Ernest Koj"|"pl. Sikorskiego 95/39
79-564 Warszawa"
"Cezary Duras"|"ulica Żeromskiego 712
98-092 Legnica"
"Kornelia Powązka"|"ul. Wróblewskiego 16/25
55-396 Ostróda"
"Jerzy Gleba"|"ulica Jana 87
44-341 Gniezno"
"Marek Kott"|"aleja Wrocławska 31/94
20-312 Piła"
"pani Anna Maria Tryka"|"aleja Morelowa 69/68
37-826 Chełm"
"Kamila Drobik"|"al. Kaszubska 69
21-740 Ostrołęka"
"Wojciech Włodyka"|"al. Wróblewskiego 571
17-753 Chorzów"
"Mariusz Marciniszyn"|"ulica Rzeczna 77/65
30-946 Wągrowiec"
"pani Anastazja Bejm"|"al. Wyzwolenia 760
06-267 Brzeg"
"pani Julianna Budniak"|"ul. Wolności 336
71-689 Zambrów"
"Anna Maria Bawoł"|"pl. Kosynierów 12/97
12-391 Ostrów Mazowiecka"
"pan Alex Kudra"|"al. Kolorowa 53
50-329 Mława"
"pani Sylwia Matyjas"|"plac Tysiąclecia 868
30-255 Chorzów"
"Błażej Gajdzik"|"ul. Fiołkowa 731
08-170 Czerwionka-Leszczyny"
"Urszula Kosak"|"al. Orzechowa 92/60
42-422 Gorzów Wielkopolski"
"Kamila Hnat"|"plac Jadwigi 639
03-909 Wrocław"
"pani Elżbieta Karwot"|"pl. Sienkiewicza 476
15-487 Żory"
"Cezary Barcz"|"ulica Wojska Polskiego 57/02
84-317 Ostrów Mazowiecka"
"Kaja Fitas"|"al. Składowa 06
18-097 Police"
"pani Kornelia Madera"|"ul. Głowackiego 81
25-498 Gorzów Wielkopolski"
"Aurelia Młodzik"|"plac Drzymały 64
26-205 Kościan"
"pan Radosław Krzystek"|"pl. Wybickiego 80/37
05-454 Rumia"
"Bartek Matura"|"aleja Orzeszkowej 93
46-258 Opole"
"Marika Wojcik"|"pl. Bema 50
21-679 Świecie"
"Andrzej Czerepak"|"ulica Toruńska 11/60
37-646 Kalisz"
"Kamila Nikołajuk"|"aleja Cmentarna 67
68-272 Pszczyna"
"Artur Dmoch"|"pl. Miłosza 173
22-360 Giżycko"
"Krzysztof Sycz"|"ulica Promienna 26/35
08-793 Przemyśl"
"Mikołaj Waluk"|"plac Kasprowicza 40/47
43-036 Rumia"
"pani Kaja Szok"|"plac Tysiąclecia 32
88-173 Słupsk"
"Witold Majnusz"|"aleja Zaułek 70
32-881 Czechowice-Dziedzice"
"Wojciech Mirgos"|"pl. Szymanowskiego 05
06-143 Suwałki"
"Wojciech Swatek"|"ulica Maczka 119
36-815 Malbork"
"Krzysztof Rajczak"|"plac Broniewskiego 356
67-743 Chojnice"
"pani Sandra Strama"|"ul. Korczaka 55/75
49-595 Piastów"
"Kamila Rembisz"|"ul. Jana Pawła II 124
18-474 Krosno"
"Roksana Cader"|"plac Bolesława Krzywoustego 38
13-661 Kętrzyn"
"Marianna Wesoły"|"ul. Narcyzowa 72/91
62-097 Mikołów"
"Tymoteusz Wyrobek"|"ulica Żwirowa 86
80-117 Nysa"
"Marianna Pruchnik"|"al. Średnia 76
06-022 Piotrków Trybunalski"
"Róża Martyn"|"aleja Pułaskiego 61/45
82-084 Wołomin"
"pan Jeremi Cop"|"ulica Przemysłowa 20
74-314 Warszawa"
"Miłosz Pryk"|"plac Waryńskiego 103
29-548 Nysa"
"Adrianna Brojek"|"al. Szewska 81
12-889 Jarocin"
"Maurycy Saran"|"aleja Rycerska 834
31-295 Wałcz"
"Kamila Wichłacz"|"ulica Paderewskiego 75
85-192 Olsztyn"
"Mieszko Łosiewicz"|"al. Skargi 28
76-918 Kielce"
"Sara Igras"|"ul. Kaszubska 57/09
82-209 Bełchatów"
"pani Nicole Wojtoń"|"al. Głogowa 10
12-043 Świętochłowice"
"Ida Kiciak"|"al. Chełmońskiego 08/33
37-885 Pruszcz Gdański"
"Fabian Wosiak"|"plac Chełmońskiego 18
23-089 Tarnowskie Góry"
"Marcelina Kus"|"plac Dąbrowskiej 12
33-297 Iława"
"Gabriel Leonowicz"|"aleja Kołłątaja 41
56-772 Września"
"Rozalia Rozumek"|"al. Źródlana 065
77-015 Bartoszyce"
"Ernest Lesner"|"plac Słowackiego 07
10-643 Gorzów Wielkopolski"
"Kamila Zera"|"ulica Staffa 88
31-066 Oleśnica"
"Hubert Pasierbek"|"pl. Wyzwolenia 14
25-821 Otwock"
"Eryk Duchnik"|"ul. Kościuszki 317
95-221 Sieradz"
"Rafał Kuster"|"plac Kościuszki 44/46
57-968 Żory"
"pani Julianna Dolega"|"aleja Wojska Polskiego 85
75-541 Jasło"
"Julian Pachołek"|"al. Prosta 252
02-680 Otwock"
"Nicole Kacperczyk"|"aleja Jana III Sobieskiego 08/00
19-480 Ostrów Mazowiecka"
"pani Roksana Matacz"|"ulica Kusocińskiego 941
04-342 Chełm"
"Inga Pasztaleniec"|"aleja Batalionów Chłopskich 621
21-907 Oława"
"Eliza Żabka"|"aleja Daszyńskiego 967
03-939 Siemianowice Śląskie"
"Karina Glenc"|"ul. Wiklinowa 03/06
98-025 Radom"
"Marcelina Buczma"|"ulica Opolska 576
10-077 Sanok"
"Ewa Beśka"|"al. Kreta 00/17
78-115 Goleniów"
"Borys Piaścik"|"ul. Sienkiewicza 78
29-212 Skierniewice"
"Anna Maria Wajdzik"|"aleja Żeromskiego 632
79-926 Szczytno"
"pan Jan Goral"|"aleja Harcerska 76/75
08-687 Krotoszyn"
"Melania Nalewajko"|"ulica Gałczyńskiego 64
49-116 Zambrów"
"Oliwier Rezmer"|"ul. Mieszka I 06/69
44-876 Będzin"
"Maurycy Kasper"|"aleja Kowalska 432
05-337 Żary"
"pani Melania Wiciak"|"ul. Konopnickiej 903
39-730 Kalisz"
"Karina Kaja"|"al. Chełmońskiego 40
69-503 Mikołów"
"pan Marcin Palica"|"ulica Śląska 74/52
68-586 Wałbrzych"
"Stefan Gogacz"|"aleja Widok 51
31-731 Gorlice"
"Lidia Szklarek"|"pl. Świerczewskiego 92
48-682 Legionowo"
"Alan Mosiołek"|"ul. Paderewskiego 69/40
99-393 Szczytno"
"Adam Borczyk"|"ulica Wąska 72/02
16-848 Cieszyn"
"Marcelina Związek"|"al. Żeglarska 52/40
22-716 Szczecin"
"pani Ada Januszko"|"ulica Kołłątaja 53/39
04-641 Kielce"
"Borys Baster"|"ulica Władysława Jagiełły 05
02-519 Zawiercie"
"Eliza Sorbian"|"aleja Bociania 08/75
15-587 Bydgoszcz"
"Karina Majerczyk"|"ul. Nałkowskiej 15/27
55-124 Ełk"
"Fryderyk Bik"|"pl. Kruczkowskiego 39/20
68-730 Bielsk Podlaski"
"Ewa Bojczuk"|"ulica Grunwaldzka 60
58-838 Nowa Sól"
"pani Kamila Kobryń"|"aleja Bolesława Chrobrego 27/42
94-065 Chojnice"
"Daniel Zdancewicz"|"pl. Pułaskiego 70/74
77-602 Inowrocław"
"pani Marcelina Micał"|"ul. Asnyka 839
93-396 Jastrzębie-Zdrój"
"Kalina Parzonka"|"al. Zakątek 31/39
96-379 Bochnia"
"Gaja Jaśkowiec"|"ul. Rejtana 62/68
27-831 Środa Wielkopolska"
"Tymoteusz Węgrzynowicz"|"ul. Matejki 836
02-390 Kraśnik"
"Lidia Szlaga"|"ul. Andersa 27/84
42-789 Kluczbork"
"Karina Nieborak"|"al. Maczka 54
12-663 Września"
"Arkadiusz Job"|"pl. Tuwima 216
44-105 Kluczbork"
"Fryderyk Ćwirko"|"ulica Morcinka 75
85-925 Siedlce"
"Angelika Szczesiak"|"al. Nałkowskiej 425
84-360 Jelenia Góra"
"Krystian Pasich"|"plac Bema 93
05-725 Żory"
"pani Blanka Linka"|"ul. Czereśniowa 33/24
21-069 Radomsko"
"Jacek Tryc"|"pl. Traugutta 47/53
57-192 Tczew"
"pan Maurycy Szafarz"|"al. Jana 49
81-135 Toruń"
"Patryk Szambelan"|"ulica Wilcza 53/79
75-065 Malbork"
"Adrian Hrabia"|"aleja Perłowa 22
55-283 Łaziska Górne"
"Karina Pokusa"|"ulica Fiołkowa 699
65-910 Nowy Sącz"
"Adrian Krzywoń"|"plac Armii Krajowej 914
92-116 Świętochłowice"
"Arkadiusz Kuchciak"|"al. Szczęśliwa 35/93
76-991 Ciechanów"
"pan Artur Krasa"|"ul. Bema 93/62
60-429 Płońsk"
"Ewelina Chlipała"|"aleja Tartaczna 461
02-576 Siemianowice Śląskie"
"Elżbieta Fabiszak"|"ul. Krasickiego 673
61-308 Piaseczno"
"Marika Pachołek"|"plac Kochanowskiego 80
19-375 Starogard Gdański"
"Tomasz Kilar"|"ulica Maja 202
22-035 Sochaczew"
"Igor Łuksza"|"aleja Powstańców 159
14-101 Będzin"
"Maciej Kielan"|"aleja Czarnieckiego 608
72-420 Gorlice"
"Karina Rusiniak"|"al. Skłodowskiej-Curie 158
79-116 Gliwice"
"pan Leonard Drygas"|"pl. Popiełuszki 30/49
29-422 Wyszków"
"pani Ewa Piaseczna"|"al. Turkusowa 88
42-244 Goleniów"
"Jeremi Piskor"|"al. Rycerska 94/30
06-079 Głogów"
"Bartek Fijoł"|"ul. Cisowa 00/24
13-835 Bełchatów"
"Stanisław Osman"|"ul. Rejtana 68
28-005 Wągrowiec"
"Kacper Kowalak"|"ulica Paderewskiego 01/95
46-760 Żywiec"
"pani Kamila Gierek"|"pl. Kołłątaja 007
69-922 Świdnik"
"pani Dagmara Lazarek"|"aleja Baczyńskiego 31/57
09-686 Świdnica"
"Melania Lesisz"|"al. Rolnicza 11
85-771 Puławy"
"Karina Szpyt"|"aleja Batalionów Chłopskich 23/96
37-107 Szczecin"
"pani Karina Nehring"|"ul. Kościuszki 63
42-271 Świebodzice"
"Mateusz Pietrus"|"pl. Kołłątaja 193
28-967 Wałbrzych"
"Gustaw Więckiewicz"|"plac Skargi 96/29
92-021 Jaworzno"
"Oliwier Tokaj"|"pl. Jana Sobieskiego 19
07-296 Siemianowice Śląskie"
"pan Jacek Żabka"|"ul. Bolesława Chrobrego 35
64-350 Piotrków Trybunalski"
"Urszula Lalak"|"plac Kochanowskiego 47
01-978 Świnoujście"
"Marianna Chylak"|"ulica Wróblewskiego 975
06-209 Żagań"
"Karol Gietka"|"ulica Tęczowa 16/57
29-491 Chojnice"
"Andrzej Gorgol"|"pl. Wieniawskiego 26/92
24-289 Luboń"
"Karina Turlej"|"pl. Moniuszki 720
43-081 Brzeg"
"Jeremi Staniczek"|"ulica Konarskiego 374
03-828 Koszalin"
"Kaja Imiela"|"ulica Jaśminowa 10/01
32-226 Chełm"
"Sebastian Kuster"|"aleja Wolności 100
45-266 Skierniewice"
"Natan Sadowy"|"plac Władysława Jagiełły 22
66-340 Ostrowiec Świętokrzyski"
"Kajetan Srokosz"|"al. Konstytucji 3 Maja 279
33-630 Oleśnica"
"pani Klara Olas"|"ulica Sowia 91/13
97-256 Jasło"
"Liwia Wilusz"|"al. Chabrowa 154
47-917 Krotoszyn"
"Alan Fraszczyk"|"pl. Kościuszki 996
24-797 Chrzanów"
"pani Apolonia Puc"|"ulica Lotnicza 41/60
28-111 Gdynia"
"Karol Adrian"|"plac Matejki 88/07
22-028 Stargard Szczeciński"
"Gustaw Rubaj"|"al. Chopina 375
98-352 Lubin"
"pani Marianna Władyka"|"ul. Kazimierza Wielkiego 534
52-679 Sieradz"
"Maksymilian Wenda"|"ulica Rycerska 39/84
65-359 Nowy Sącz"
"pan Łukasz Gamoń"|"plac Korczaka 25/42
89-253 Dąbrowa Górnicza"
"Jacek Znojek"|"aleja Wyspiańskiego 30/42
47-663 Bytom"
"pan Ryszard Kopyto"|"al. Wybickiego 327
17-152 Czerwionka-Leszczyny"
"pani Marianna Kożuszek"|"aleja Rynek 63/24
88-685 Pabianice"
"Alex Dobrosz"|"ul. Czereśniowa 40/84
30-265 Reda"
"pani Eliza Smektała"|"pl. Kasprowicza 46/31
78-438 Iława"
"Karol Dziewa"|"ul. Kraszewskiego 779
61-769 Otwock"
"pani Aurelia Szałaj"|"ul. Hallera 878
35-698 Leszno"
"Tymoteusz Świech"|"pl. Kusocińskiego 871
88-117 Pruszków"
"Józef Andrys"|"plac Korfantego 52
49-848 Czeladź"
"pani Janina Czenczek"|"ulica Strzelecka 52
68-832 Częstochowa"
"Kalina Prucnal"|"pl. Stefana Batorego 095
91-793 Płock"
"Jeremi Ludwik"|"ul. Dolna 68
72-090 Koszalin"
"Bruno Grzebyk"|"al. Olchowa 881
16-774 Giżycko"
"pan Jerzy Szaruga"|"aleja Krasińskiego 911
52-737 Dąbrowa Górnicza"
"Dariusz Sip"|"ul. Kołłątaja 06/59
13-840 Reda"
"Karol Grzywnowicz"|"al. Słowicza 717
06-907 Stalowa Wola"
"Adrian Wawrzkiewicz"|"ul. Maja 05/97
94-223 Bydgoszcz"
"Jan Ernst"|"ul. Promienna 491
76-257 Piła"
"pani Sylwia Kukawka"|"aleja Matejki 57
85-339 Radomsko"
"Jędrzej Koloch"|"ulica Batalionów Chłopskich 23/48
28-519 Skierniewice"
"Maurycy Herok"|"al. Krasickiego 34/41
08-543 Żary"
"Alex Ochnio"|"aleja Wyspiańskiego 573
11-447 Chorzów"
"Kajetan Grotek"|"plac Długosza 973
59-612 Tarnów"
"Rafał Swatek"|"ulica Handlowa 200
85-195 Tomaszów Mazowiecki"
"Wiktor Troć"|"ul. Skargi 62
87-765 Stargard Szczeciński"
"Karol Jantos"|"plac Kołłątaja 458
33-137 Katowice"
"Miłosz Matuszyk"|"ul. Rubinowa 04
99-632 Otwock"
"Kacper Twardy"|"pl. Piłsudskiego 61
50-887 Mikołów"
"Mieszko Linek"|"aleja Chmielna 96
11-453 Radom"
"Liwia Meissner"|"al. Nałkowskiej 49
13-278 Inowrocław"
"Olaf Matulewicz"|"pl. Słowackiego 84
17-771 Białystok"
"Alex Karpeta"|"plac Powstańców 04
69-709 Biłgoraj"
"pan Cezary Trzpil"|"pl. Kilińskiego 72/55
63-047 Radomsko"
"Marcelina Kamieniak"|"pl. Rejtana 12/87
03-597 Kwidzyn"
"pani Kamila Łokaj"|"ul. Tysiąclecia 33
90-324 Czechowice-Dziedzice"
"Karol Joszko"|"aleja Morcinka 590
99-583 Jelenia Góra"
"Apolonia Kasak"|"ulica Asnyka 78
86-764 Skierniewice"
"Alex Morek"|"aleja Cedrowa 52/87
95-484 Skierniewice"
"Borys Paleń"|"aleja Sikorskiego 03/69
59-887 Świdnik"
"pani Anita Hanc"|"al. Żeromskiego 753
85-048 Głogów"
"pani Inga Gołofit"|"pl. Władysława Łokietka 529
11-614 Zawiercie"
"Iwo Stempniak"|"plac Chopina 722
36-771 Piaseczno"
"Nicole Jaracz"|"plac Floriana 05/78
52-315 Zgorzelec"
"Hubert Dorynek"|"ulica Niecała 744
53-811 Otwock"
"Jan Peciak"|"al. Nałkowskiej 29
61-252 Police"
"Karol Kopyto"|"al. Powstańców Wielkopolskich 984
96-318 Tychy"
"Gabriel Lisoń"|"ul. Niecała 83
63-585 Bartoszyce"
"Jacek Dworniczak"|"al. Makuszyńskiego 25/33
75-860 Tomaszów Mazowiecki"
"pani Anita Matejczuk"|"al. Kolejowa 27/88
70-687 Wrocław"
"pan Artur Pierzak"|"al. Wesoła 19/32
56-026 Reda"
"Dawid Jama"|"plac Rynek 42/16
36-647 Ełk"
"Marek Golda"|"ulica Jagiellońska 36
45-546 Płońsk"
"pani Lidia Trzpil"|"al. Jaworowa 56
87-527 Czerwionka-Leszczyny"
"Jakub Nastały"|"plac Konstytucji 3 Maja 93
84-869 Otwock"
"Kalina Sobolak"|"plac Tysiąclecia 55
19-831 Biała Podlaska"
"Karol Kunda"|"ulica Malinowa 807
58-502 Zielona Góra"
"Fryderyk Kulon"|"al. Wrocławska 99
15-895 Jastrzębie-Zdrój"
"Nataniel Patoka"|"pl. Sucharskiego 274
80-717 Cieszyn"
"Inga Kozłowicz"|"aleja Złota 65/10
40-669 Jarosław"
"Melania Żółkiewicz"|"ul. Słowackiego 60
44-923 Ostrów Mazowiecka"
"Justyna Pęciak"|"aleja Majowa 71/88
81-249 Swarzędz"
"pani Róża Rychcik"|"pl. Malczewskiego 48/00
67-924 Bytom"
"Monika Kubasiewicz"|"ul. Rataja 92
01-440 Legnica"
"pani Janina Wąsek"|"ul. Drzymały 004
34-676 Wrocław"
"Kamila Dywan"|"ulica Solidarności 90/00
73-807 Lublin"
"Karol Machowicz"|"al. Kowalska 43
46-027 Dąbrowa Górnicza"
"Oskar Stojak"|"pl. Stycznia 04
33-632 Ostrów Mazowiecka"
"Patryk Czapiga"|"ul. Batalionów Chłopskich 050
61-691 Starachowice"
"pani Blanka Szymała"|"al. Korfantego 725
46-605 Koszalin"
"Julita Hołubowicz"|"pl. Armii Krajowej 29
14-616 Wągrowiec"
"Maks Mycek"|"ulica Harcerska 637
59-603 Wołomin"
"Natan Wochnik"|"pl. Kazimierza Wielkiego 47/89
85-618 Kwidzyn"
"pan Witold Olkowicz"|"plac Kościuszki 60/06
36-967 Mysłowice"
"Jakub Zadworny"|"aleja Popiełuszki 196
99-017 Jaworzno"
"Łukasz Plaskota"|"aleja Partyzantów 37/57
21-672 Mława"
"Karol Sieg"|"al. Spokojna 06/24
96-777 Łaziska Górne"
"pan Gustaw Pikor"|"al. Powstańców 50
73-906 Szczecinek"
"Eryk Sady"|"plac Hallera 74
73-732 Jelenia Góra"
"Kamila Majtczak"|"plac Bolesława Chrobrego 79/83
49-598 Dębica"
"Nikodem Gaudyn"|"pl. Grottgera 76
26-953 Piotrków Trybunalski"
"Błażej Keler"|"ul. Batalionów Chłopskich 953
13-671 Biała Podlaska"
"Aleksander Łusiak"|"aleja Kamienna 93/16
26-761 Gdańsk"
"Eryk Kazberuk"|"plac Chełmońskiego 35/08
85-229 Bydgoszcz"
"pani Karina Dyka"|"ul. Władysława Łokietka 64
21-686 Ruda Śląska"
"Melania Szynkiewicz"|"ulica Prusa 93
62-177 Wrocław"
"Karol Wiak"|"pl. Kołłątaja 34
53-424 Żagań"
"Janina Watras"|"al. Orkana 38
96-287 Radomsko"
"Witold Gebauer"|"plac Szarych Szeregów 42/52
45-776 Chrzanów"
"Daniel Dydak"|"aleja Gałczyńskiego 99
68-115 Świecie"
"pan Jerzy Starostka"|"aleja Stycznia 20
11-396 Słupsk"
"Jędrzej Balas"|"plac Kopernika 02/79
41-426 Żagań"
"Albert Wichłacz"|"aleja Konopnickiej 08/85
77-102 Turek"
"Maciej Tylman"|"al. Rolna 62
98-804 Tarnów"
"Jędrzej Wojtaszczyk"|"ulica Tysiąclecia 53
37-855 Kościerzyna"
"pani Ada Dering"|"ulica Wojska Polskiego 04/09
96-133 Sochaczew"
"Karol Wyłupek"|"aleja Daszyńskiego 22/96
48-267 Biała Podlaska"
"Kazimierz Grosz"|"ul. Mickiewicza 50
83-393 Tarnobrzeg"
"Krzysztof Zagrajek"|"aleja Słowicza 85/92
21-497 Zgorzelec"
"Albert Dyś"|"ulica Jasna 996
17-823 Wołomin"
"Olgierd Pacia"|"aleja Reja 04/27
66-055 Żary"
"Kaja Jargiło"|"ul. Jana Pawła II 82/22
55-211 Przemyśl"
"pan Ryszard Fiedorczuk"|"ulica Mickiewicza 530
67-038 Nowa Ruda"
"pan Paweł Kałwak"|"ulica Dąbrowskiego 64
03-291 Lublin"
"Kornelia Gotfryd"|"ulica Piaskowa 359
11-656 Mińsk Mazowiecki"
"Kamila Moneta"|"ul. Modrzewiowa 57/36
77-357 Świętochłowice"
"Karol Zajko"|"al. Wyszyńskiego 889
59-669 Kołobrzeg"
"Paweł Łepek"|"aleja Świerczewskiego 99
73-764 Kołobrzeg"
"pan Stefan Wrochna"|"ul. Szymanowskiego 849
68-300 Kościan"
"Urszula Żybura"|"ulica Dąbrowskiej 975
37-253 Piastów"
"pani Róża Piekara"|"ul. Kruczkowskiego 81
52-007 Skawina"
"Kornelia Czylok"|"ulica Matejki 92/50
50-269 Świnoujście"
"Krystyna Ornat"|"plac Waryńskiego 602
03-414 Mikołów"
"pan Olgierd Engler"|"aleja Czereśniowa 32/99
19-183 Łódź"
"Błażej Porwoł"|"pl. Czarnieckiego 46
92-532 Puławy"
"pani Ewa Miodek"|"al. Orla 00/11
65-663 Starachowice"
"Kazimierz Ciechowicz"|"ulica Mała 86
54-259 Zambrów"
"pani Justyna Machniak"|"al. Sosnowa 125
57-647 Gniezno"
"Marcelina Madejczyk"|"plac Maczka 71/50
51-593 Łódź"
"Marika Hanke"|"plac Konarskiego 593
75-908 Płońsk"
"pani Ada Szczechowicz"|"plac Kusocińskiego 71/94
82-107 Knurów"
"Marianna Jędral"|"plac Żeromskiego 059
20-391 Kalisz"
"pan Łukasz Rudolf"|"plac Wybickiego 18/88
23-533 Piaseczno"
"Julian Robaszkiewicz"|"ulica Bolesława Chrobrego 84
24-735 Będzin"
"Kajetan Kalista"|"aleja Rolnicza 03
87-011 Kutno"
"pan Olgierd Ślebioda"|"ul. Klasztorna 50/80
23-316 Kraków"
"Kazimierz Dziopa"|"plac Słowicza 07
59-745 Szczytno"
"Liwia Gorol"|"al. Jaśminowa 46
75-571 Gorzów Wielkopolski"
"Emil Nagórka"|"ulica Brzozowa 335
43-347 Piotrków Trybunalski"
"Michał Woronko"|"pl. Asnyka 87
51-678 Piotrków Trybunalski"
"pan Witold Kułach"|"aleja Gdańska 85/85
98-997 Wodzisław Śląski"
"Maks Makosz"|"aleja Nałkowskiej 923
79-637 Czerwionka-Leszczyny"
"Paweł Bronka"|"aleja Pałacowa 53
96-601 Rzeszów"
"Tola Sip"|"aleja Wałowa 968
17-180 Dębica"
"Kamil Sosnówka"|"aleja Staffa 02/00
66-499 Racibórz"
"Ida Dłubak"|"ulica Pałacowa 09/73
51-429 Łódź"
"Kazimierz Hermanowicz"|"aleja Głowackiego 189
64-182 Kędzierzyn-Koźle"
"pan Jan Durlik"|"al. Powstańców Śląskich 37/88
04-764 Sieradz"
"pan Iwo Bałdys"|"al. Pułaskiego 29/49
78-573 Polkowice"
"Aniela Capiga"|"al. Żeromskiego 11
81-258 Puławy"
"pani Angelika Herbut"|"ul. Stefana Batorego 41/59
96-766 Świdnik"
"Dorota Kostera"|"aleja Kraszewskiego 033
41-415 Łaziska Górne"
"Sara Wyrostek"|"plac Wyspiańskiego 139
44-690 Wałbrzych"
"Filip Prystupa"|"ulica Maja 495
52-132 Jarocin"
"Fabian Zadworny"|"plac Skargi 99
66-921 Olsztyn"
"Julianna Galica"|"plac Jana III Sobieskiego 706
27-005 Piastów"
"Kazimierz Michnowicz"|"plac Kilińskiego 14
86-097 Radomsko"
"Gustaw Roch"|"ul. Swierkowa 13/04
87-753 Pruszków"
"Krystian Kursa"|"pl. Malczewskiego 96
71-878 Bochnia"
"Monika Brańka"|"al. Maczka 366
98-224 Tarnowskie Góry"
"pan Miłosz Kuziora"|"aleja Głowackiego 07
23-294 Mława"
"pan Ksawery Drobny"|"aleja Jana 414
14-954 Łuków"
"Sylwia Kiełbowicz"|"al. Wrzosowa 25/94
92-225 Świdnica"
"pan Bruno Osiadacz"|"aleja Władysława Łokietka 40
94-301 Żywiec"
"Adrian Bernatowicz"|"ulica Jana Sobieskiego 141
72-494 Zduńska Wola"
"Eliza Huczko"|"al. Mieszka I 15
91-974 Ostrowiec Świętokrzyski"
"Kazimierz Półchłopek"|"ul. Kościuszki 07/13
93-395 Poznań"
"pani Blanka Oleśkiewicz"|"pl. Drzymały 10/33
95-780 Ostrołęka"
"Konrad Nyk"|"plac Armii Krajowej 37/53
03-730 Piaseczno"
"Blanka Bela"|"ul. Przechodnia 345
71-093 Zakopane"
"Malwina Opioła"|"ulica Sowia 66/72
82-890 Żyrardów"
"Alan Jakimiak"|"ulica Lotnicza 09/31
64-444 Siedlce"
"Liwia Łosiewicz"|"al. Morska 19/05
88-159 Kłodzko"
"Anita Gral"|"ulica Daszyńskiego 24/23
93-703 Brodnica"
"Karol Skałka"|"pl. Plater 886
12-204 Września"
"Arkadiusz Turlej"|"aleja Rolnicza 077
95-527 Sieradz"
"Kazimierz Ryfa"|"plac Maczka 85
85-217 Skawina"
"pani Malwina Szymków"|"plac Sucharskiego 53/95
94-131 Łuków"
"Marcin Wolan"|"ulica Torowa 25/95
25-982 Pruszków"
"Norbert Maleszka"|"pl. Daszyńskiego 51/28
74-879 Zduńska Wola"
"Oskar Rozynek"|"al. Łąkowa 24/29
37-944 Ostrowiec Świętokrzyski"
"pan Franciszek Kohut"|"ulica Strzelecka 612
99-548 Inowrocław"
"pan Bartek Marcińczyk"|"ul. Kraszewskiego 90
28-836 Łuków"
"Gustaw Łyczak"|"ulica Wąska 19/91
60-198 Przemyśl"
"Gaja Osica"|"plac Brzechwy 994
09-362 Łowicz"
"Urszula Wons"|"pl. Kazimierza Wielkiego 68
60-102 Wałbrzych"
"Kazimierz Wydmuch"|"plac Kossaka 495
04-887 Zamość"
"Marcin Kurant"|"plac Miłosza 753
90-957 Szczecin"
"Ernest Hinca"|"al. Okrzei 54
24-925 Kłodzko"
"pani Justyna Żugaj"|"pl. Traugutta 97/31
15-746 Kluczbork"
"pan Artur Gramza"|"pl. Floriana 477
84-167 Jelenia Góra"
"Cezary Godzik"|"al. Wojska Polskiego 00
61-499 Augustów"
"pani Bianka Rejniak"|"plac Bolesława Krzywoustego 884
83-757 Skierniewice"
"Sandra Mordak"|"ulica Wyszyńskiego 03
68-778 Lubartów"
"pani Nicole Bystrek"|"pl. Dąbrowskiej 90/92
39-083 Będzin"
"Elżbieta Wydrych"|"al. Sikorskiego 09/33
22-890 Piekary Śląskie"
"Klara Cogiel"|"ulica Skargi 67
66-611 Wodzisław Śląski"
"Łukasz Skotarczak"|"ulica Chabrowa 167
66-776 Myszków"
"Alex Połetek"|"plac Fredry 437
81-787 Piastów"
"Maksymilian Kuncewicz"|"ulica Powstańców Wielkopolskich 839
58-390 Tarnowskie Góry"
"pani Monika Gogola"|"pl. Maja 78/25
01-140 Świecie"
"pan Łukasz Kryk"|"aleja Towarowa 05
11-969 Lębork"
"Dorota Laszkiewicz"|"ul. Szewska 07
31-949 Jaworzno"
"pan Mieszko Szymocha"|"ulica Ogrodowa 92/19
19-281 Mińsk Mazowiecki"
"Kaja Świątkiewicz"|"ulica Kołłątaja 442
73-132 Bielawa"
"Elżbieta Och"|"ul. Kraszewskiego 22/12
63-960 Kielce"
"Klara Danisz"|"al. Konstytucji 3 Maja 64
60-351 Radomsko"
"pan Hubert Labus"|"ulica Powstańców 91
21-142 Zgorzelec"
"Tymoteusz Kuciel"|"aleja Jesionowa 35
04-069 Łuków"
"Marcelina Oleksa"|"plac Grottgera 886
05-195 Wrocław"
"Fryderyk Litwa"|"ulica Brzechwy 54
47-274 Lubliniec"
"Andrzej Dytrych"|"aleja Szymanowskiego 69
80-644 Tomaszów Mazowiecki"
"Arkadiusz Muzyk"|"plac Sawickiej 021
79-281 Żary"
"Dawid Kultys"|"aleja Malczewskiego 69/80
09-663 Szczecinek"
"Norbert Sałuda"|"al. Morcinka 236
11-305 Żywiec"
"Krystian Nalewajek"|"al. Robotnicza 77
79-938 Września"
"Klara Filus"|"ulica Jesionowa 443
10-982 Białogard"
"pan Ksawery Kopała"|"ulica Baczyńskiego 468
44-769 Świętochłowice"
"pan Igor Flisek"|"plac Kopernika 42/48
09-865 Świdnica"
