"Ada Balcewicz","ul. Miłosza 613
53-927 Chojnice" 
"Leon Pindral","plac Wróblewskiego 01/11
21-627 Ostrów Mazowiecka"
"Adrianna Buszta","ulica Sarnia 24/24
04-462 Jarosław"
"Nela Dudzicz","al. Spółdzielcza 07/48
85-924 Chorzów"
"Antoni Łudzik","plac Grottgera 35
72-185 Oleśnica"
"Urszula Olszyna","ul. Daleka 336
86-178 Czerwionka-Leszczyny"
"Karol Trznadel","plac Wyzwolenia 15/51
38-395 Inowrocław"
"pani Lidia Wiesiołek","plac Reja 25/50
74-234 Pruszków"
"Miłosz Mejer","ul. Staffa 54/31
79-051 Wrocław"
"pan Ksawery Bryja","ulica Kilińskiego 295
22-252 Zduńska Wola"
"Leonard Klejna","plac Andersa 957
62-064 Gdynia"
"Sara Rycerz","aleja Nadbrzeżna 00
99-197 Lubliniec"
"Blanka Maruszczak","aleja Słonecznikowa 833
68-580 Ciechanów"
"Nela Faltyn","ul. Żurawia 28/85
08-234 Chrzanów"
"Piotr Matula","pl. Solidarności 90/48
59-793 Kluczbork"
"pan Tymon Szyca","plac Miłosza 52
05-332 Ostrów Wielkopolski"
"Juliusz Doruch","aleja Piastowska 00
27-423 Starachowice"
"Dominik Samulak","ulica Skargi 72
12-580 Świdnik"
"Julianna Wesoły","ulica Wczasowa 866
54-985 Sochaczew"
"Jeremi Miszkiel","plac Konarskiego 45
44-845 Lubliniec"
"pan Alex Wielgat","al. Jastrzębia 20/66
11-808 Zabrze"
"pani Karina Gubernat","al. Kościuszki 93
30-064 Opole"
"Monika Syldatk","pl. Sienkiewicza 60
67-201 Kluczbork"
"Nela Franczuk","ul. Sowia 605
18-095 Radom"
"Aniela Dąbal","ul. Olchowa 678
84-172 Puławy"
"Jan Schwarz","pl. Długosza 943
89-083 Zielona Góra"
"Inga Milcarz","aleja Przemysłowa 14/78
29-803 Pszczyna"
"Adrianna Teodorowicz","ulica Wyzwolenia 65/41
87-894 Siemianowice Śląskie"
"Aleksander Przewłoka","pl. Narutowicza 32/92
86-868 Kraśnik"
"pani Dorota Dubik","al. Glówna 34
27-500 Gorlice"
"Filip Haraburda","ul. Bolesława Chrobrego 04
56-062 Kraków"
"Iwo Michalkiewicz","pl. Powstańców 27/44
32-928 Białystok"
"Przemysław Kleinschmidt","ulica Listopada 205
64-153 Zgierz"
"Nela Golon","pl. Stefana Batorego 331
99-454 Żagań"
"pani Dorota Klorek","al. Krokusowa 146
11-237 Lubartów"
"Arkadiusz Bździuch","plac Skargi 98/42
08-649 Włocławek"
"pan Tomasz Zbrzeźniak","plac Skłodowskiej-Curie 91
92-414 Koło"
"pani Apolonia Posłuszna","plac Kusocińskiego 85
25-970 Sandomierz"
"Alex Hrabia","al. Kusocińskiego 57
03-933 Siemianowice Śląskie"
"Maurycy Błażejak","ulica Jeżynowa 940
65-736 Sopot"
"Cezary Matyjasek","plac Wolności 62/79
13-531 Świnoujście"
"Melania Połom","pl. Żwirki i Wigury 91
67-860 Krosno"
"Kornel Swacha","plac Głowackiego 98/79
28-508 Śrem"
"Nela Lizoń","aleja Piaskowa 31
35-344 Słupsk"
"Bianka Grymuza","ul. Sienkiewicza 65
89-675 Żywiec"
"Urszula Roj","aleja Wrocławska 334
86-111 Grodzisk Mazowiecki"
"Przemysław Juras","ul. Borówkowa 627
64-229 Kraśnik"
"pani Urszula Szwaj","aleja Srebrna 69
23-033 Jarosław"
"Stanisław Tomaszuk","pl. Konstytucji 3 Maja 69/63
94-713 Wołomin"
"Iwo Lisak","ul. Warszawska 543
85-859 Otwock"
"Aleksander Kuncewicz","plac Plater 63
94-155 Wodzisław Śląski"
"Miłosz Obuchowicz","aleja Kolonia 75
60-387 Wyszków"
"pani Kornelia Breguła","aleja Rejtana 56/79
21-780 Łuków"
"Nela Panasewicz","ulica Armii Krajowej 63
09-411 Chrzanów"
"Jacek Gosik","ul. Zielna 62
12-387 Czechowice-Dziedzice"
"pani Agnieszka Midura","aleja Reja 83
67-969 Ciechanów"
"pani Malwina Kuryłowicz","ulica Powstańców 49
85-897 Zielona Góra"
"Arkadiusz Honkisz","pl. Skargi 99/82
76-931 Mysłowice"
"pan Konstanty Lenc","ulica Morcinka 571
69-500 Szczytno"
"Dagmara Delekta","pl. Wyzwolenia 52
77-495 Tarnów"
"pan Krzysztof Jessa","plac Partyzantów 49/42
19-053 Rumia"
"Aniela Potoczna","ul. Konwaliowa 324
12-496 Żory"
"Cezary Gendera","ulica Młyńska 404
98-336 Ostrów Mazowiecka"
"Nela Sornat","al. Gałczyńskiego 26/83
54-003 Wągrowiec"
"Kaja Machowicz","aleja Ceglana 77
02-698 Mikołów"
"Julian Piaseczna","ul. Lazurowa 32/28
44-870 Głogów"
"Marika Podsiadła","ul. Ogrodowa 496
49-202 Suwałki"
"Maks Suchojad","plac Jana Pawła II 42
47-572 Gorzów Wielkopolski"
"Cyprian Matacz","al. Letniskowa 431
36-415 Krosno"
"pan Tymon Wika","al. Mazurska 76
96-718 Chojnice"
"Konstanty Łodej","pl. Armii Krajowej 05
40-792 Malbork"
"Jan Pachuta","ulica Gajowa 20
42-580 Chojnice"
"Wojciech Rembisz","ulica Wrzosowa 04
01-920 Bielsko-Biała"
"Nela Taczała","aleja Dworcowa 39/43
31-846 Nowa Sól"
"Marianna Wołoszczuk","pl. Długosza 11
59-631 Krosno"
"Ewa Kudełka","plac Jana Sobieskiego 61
97-715 Gdańsk"
"Szymon Rycerz","ul. Kruczkowskiego 021
88-594 Gdynia"
"pan Patryk Kohut","ulica Sawickiej 39
68-351 Przemyśl"
"Gustaw Jas","pl. Konarskiego 75/01
75-083 Nowy Targ"
"Olga Staś","al. Wrocławska 029
13-769 Augustów"
"pan Rafał Bidas","ul. Mazowiecka 87
08-155 Czeladź"
"pan Piotr Sznura","al. Jadwigi 470
34-558 Ciechanów"
"Julita Stypa","pl. Powstańców Śląskich 570
18-726 Pruszków"
"Nela Zagozda","al. Wodna 454
70-162 Szczecinek"
"Bartek Gałat","al. Wojciecha 629
19-921 Wyszków"
"pani Dorota Jędrasiak","ulica Dąbrowskiego 830
42-699 Nysa"
"Mariusz Siergiej","al. Kowalska 56/41
19-384 Zgierz"
"Natasza Cyrek","pl. Krasickiego 01/25
86-445 Opole"
"Miłosz Łabuś","ulica Kochanowskiego 191
37-447 Sochaczew"
"Mikołaj Waluk","pl. Kopernika 545
69-459 Tomaszów Mazowiecki"
"Emil Kulisz","al. Morcinka 97
96-512 Bydgoszcz"
"Tomasz Osica","plac Batalionów Chłopskich 90
27-687 Kędzierzyn-Koźle"
"Andrzej Palej","ul. Orzechowa 72
40-697 Dąbrowa Górnicza"
"Nicole Gerlach","plac Floriana 97
49-995 Łódź"
"Natasza Ziarno","plac Orzeszkowej 485
26-038 Ostrów Wielkopolski"
"Leonard Miśko","ul. Bolesława Krzywoustego 67
68-501 Lublin"
"Józef Stypuła","al. Strumykowa 28/19
86-961 Gniezno"
"Gabriel Podpora","ul. Rynek 56/39
06-286 Gdańsk"
"Jerzy Sobel","ul. Robotnicza 50/48
31-001 Świecie"
"Sonia Bełz","aleja Sienkiewicza 268
53-053 Świebodzice"
"pani Sandra Miękus","al. Jaskółcza 823
32-160 Gliwice"
"Aleks Kwasek","plac Mieszka I 061
02-497 Czerwionka-Leszczyny"
"Leon Patalas","plac Rynek 039
41-465 Pszczyna"
"Nicole Królikiewicz","plac Maja 20
71-536 Świebodzice"
"pani Marcelina Dusik","plac Makuszyńskiego 343
27-131 Bielawa"
"Witold Jędral","al. Łąkowa 29/67
31-913 Nowy Dwór Mazowiecki"
"Melania Martynowicz","pl. Czarnieckiego 701
62-707 Zgorzelec"
"pan Fryderyk Imiołczyk","ul. Wybickiego 68
56-338 Łaziska Górne"
"Olaf Juroszek","aleja Sadowa 74
31-607 Dąbrowa Górnicza"
"Maciej Suchora","plac Baczyńskiego 11/27
81-932 Wieluń"
"Karina Kiedrowicz","plac Popiełuszki 069
56-417 Opole"
"Wojciech Zieniewicz","al. Widok 16/89
19-225 Stalowa Wola"
"pan Tomasz Bruzda","ul. Wiejska 93/67
04-581 Lubin"
"Nicole Kurzydło","plac Drzymały 71
56-782 Ostrołęka"
"Miłosz Hanus","ul. Diamentowa 955
78-650 Nowy Dwór Mazowiecki"
"Anita Kozica","al. Gałczyńskiego 258
38-768 Jelenia Góra"
"Agnieszka Ryfa","al. Konarskiego 20
36-398 Mysłowice"
"Kalina Anders","al. Strzelecka 61/21
73-838 Zduńska Wola"
"pan Maurycy Kucewicz","al. Kossaka 531
32-956 Łomża"
"Grzegorz Migda","ul. Wodna 26
27-500 Racibórz"
"Tadeusz Pawełkiewicz","al. Listopada 087
75-316 Piła"
"Anita Olszyna","ulica Szymanowskiego 10
81-581 Żagań"
"Anastazja Sydor","plac Moniuszki 51
69-637 Suwałki"
"Nicole Niebudek","al. Wysoka 903
18-149 Ostróda"
"Dominik Buszkiewicz","ulica Kusocińskiego 577
81-957 Świdnica"
"pan Hubert Soczówka","pl. Staffa 37/72
17-213 Stalowa Wola"
"Damian Staś","plac Korczaka 56/85
87-128 Legnica"
"Mieszko Kurant","ulica Kochanowskiego 206
21-903 Żary"
"Alex Apostel","plac Sienkiewicza 42/79
94-575 Szczecinek"
"pani Kamila Młyńczyk","ul. Wojska Polskiego 212
49-684 Starogard Gdański"
"Klara Durczok","plac Kruczkowskiego 953
84-214 Lublin"
"pani Urszula Draus","pl. Partyzantów 28/41
05-845 Kętrzyn"
"Karol Solis","ulica Baczyńskiego 031
60-332 Polkowice"
"Nicole Szczechowicz","ulica Krasickiego 98
36-159 Reda"
"Aurelia Pietraszkiewicz","plac Floriana 55/40
73-173 Nysa"
"Robert Glanc","ul. Baczyńskiego 97/36
13-181 Zduńska Wola"
"Julita Szczudło","plac Staszica 359
96-526 Tczew"
"Jakub Wiza","plac Nałkowskiej 471
88-593 Zgorzelec"
"Ewelina Hanc","ulica Narcyzowa 23/19
98-649 Swarzędz"
"Kajetan Stiller","aleja Mickiewicza 32/86
79-903 Sieradz"
"pani Marianna Żero","ul. Chmielna 20/10
81-815 Iława"
"pan Oliwier Wyroba","pl. Jana Sobieskiego 29
33-511 Nowa Sól"
"Roksana Gwardiak","al. Jesienna 89/01
11-865 Piotrków Trybunalski"
"Nicole Taczała","al. Cisowa 54
52-590 Police"
"pan Mateusz Miszkurka","pl. Orzeszkowej 628
83-741 Śrem"
"Krzysztof Moroń","al. Sikorskiego 66/12
93-065 Czerwionka-Leszczyny"
"Eliza Szmajda","pl. Wyspiańskiego 30
97-378 Łowicz"
"Julian Huczko","pl. Reja 04
68-923 Bartoszyce"
"pan Alan Gryciuk","aleja Piaskowa 208
53-279 Lubliniec"
"Kajetan Gwardiak","al. Skargi 183
33-047 Poznań"
"Andrzej Szałas","pl. Piłsudskiego 945
31-505 Pruszków"
"Arkadiusz Dyja","pl. Staffa 92/08
17-929 Nowy Sącz"
"Andrzej Czura","ulica Wolności 236
23-224 Chorzów"
"Nikodem Bernard","pl. Makuszyńskiego 73/34
83-293 Września"
"pani Anita Roś","ulica Paderewskiego 930
24-879 Marki"
"pani Angelika Malon","al. Grunwaldzka 49
81-873 Bielsko-Biała"
"Nikodem Mikus","ulica Boczna 80
82-443 Malbork"
"Karol Wac","aleja Łąkowa 25
69-248 Ostróda"
"pan Ryszard Michnik","al. Kwiatowa 80
95-889 Piekary Śląskie"
"pani Ada Aleksiejuk","al. Borówkowa 16/85
54-991 Żary"
"Gustaw Lelonek","plac Wolności 13/15
86-372 Cieszyn"
"pani Anita Bryczek","ulica Tuwima 01
37-072 Dzierżoniów"
"Jakub Sierpień","al. Torowa 03
94-696 Kościerzyna"
"Nikodem Dycha","ulica Kwiatowa 68
74-603 Grudziądz"
"pani Gaja Szymajda","ul. Tęczowa 801
80-972 Wałcz"
"pan Dominik Lamch","plac Kusocińskiego 194
28-211 Białogard"
"pan Grzegorz Dzwonnik","ul. Spacerowa 390
55-279 Bełchatów"
"Kamil Orwat","ul. Rycerska 98/90
24-785 Kalisz"
"Ewelina Lesner","pl. Armii Krajowej 70
05-091 Nowy Targ"
"Melania Borysiuk","aleja Handlowa 775
06-676 Zielona Góra"
"pani Lidia Zatoń","ul. Władysława Jagiełły 88
15-990 Kalisz"
"Ksawery Brząkała","ul. Gdańska 84
99-286 Słupsk"
"pani Anna Maria Daniec","ulica Drzymały 99
11-489 Tomaszów Mazowiecki"
"Nikodem Futyma","plac Kosynierów 57
23-159 Piaseczno"
"Leonard Koterba","ulica Wysoka 600
77-093 Sopot"
"Alan Simon","aleja Baczyńskiego 446
57-301 Wejherowo"
"Olaf Linke","ulica Spacerowa 65
08-067 Stalowa Wola"
"Adrianna Jędrys","al. Nadrzeczna 46/96
83-625 Bielsko-Biała"
"pan Julian Zięciak","ul. Robotnicza 00
81-173 Grodzisk Mazowiecki"
"pani Julita Kołsut","al. Okrzei 944
93-513 Ciechanów"
"Marcelina Rębiś","aleja Staszica 90
88-567 Brzeg"
"Arkadiusz Kominiak","ulica Czarnieckiego 38
83-913 Siedlce"
"Mateusz Hadała","plac Kosynierów 29
17-621 Świętochłowice"
"Nikodem Gonsior","pl. Wojciecha 08
01-686 Szczecinek"
"pan Wojciech Ławniczek","ulica Żurawia 057
85-821 Bielsko-Biała"
"Sara Pyziak","plac Bolesława Krzywoustego 75
38-401 Jelenia Góra"
"pan Andrzej Szłapka","al. Mazurska 88
66-821 Gdynia"
"Ernest Chołody","aleja Wyspiańskiego 64/35
19-015 Białystok"
"Sebastian Frelek","ulica Traugutta 13/60
92-485 Bielsk Podlaski"
"pan Iwo Połom","ul. Olchowa 43
87-033 Myszków"
"Dominik Siedlarz","pl. Poniatowskiego 245
74-746 Wieluń"
"pan Rafał Linda","al. Słowicza 91
40-798 Toruń"
"pan Łukasz Adrian","ulica Szkolna 95
63-845 Środa Wielkopolska"
"Nikodem Kiełek","aleja Waryńskiego 940
54-071 Wołomin"
"Róża Wylegała","ulica Wyzwolenia 561
92-704 Sopot"
"Artur Siemieniec","pl. Powstańców Śląskich 53
35-852 Goleniów"
"Grzegorz Golak","ulica Bociania 31
89-121 Koło"
"Urszula Ochota","plac Kossaka 46/83
02-282 Chojnice"
"Daniel Czermak","al. Wąska 95/57
13-040 Łomża"
"Tola Jędruszczak","pl. Hallera 526
95-398 Żywiec"
"Sara Kloska","ulica Głogowa 57/62
13-209 Bielawa"
"pani Agnieszka Matusewicz","ulica Armii Krajowej 043
75-117 Kwidzyn"
"Natasza Gajcy","pl. Kasprowicza 19/51
99-568 Wieluń"
"Nikodem Makoś","al. Jana 12/76
70-791 Poznań"
"Inga Rębiś","al. Gdańska 03
20-748 Pruszków"
"pani Sylwia Joszko","aleja Lisia 70/34
69-128 Otwock"
"pani Natasza Judek","aleja Malinowa 25/91
34-117 Gdynia"
"Miłosz Kozień","ulica Kalinowa 834
62-983 Tychy"
"Blanka Jażdżyk","plac Norwida 28/73
57-666 Toruń"
"Marek Janic","plac Norwida 457
69-578 Płońsk"
"Adam Wołczyk","aleja Odrzańska 45
05-992 Konin"
"pani Apolonia Wendt","ul. Widok 59/22
71-455 Chrzanów"
"Gustaw Kupaj","ulica Paderewskiego 54
53-659 Nowy Targ"
"Nikodem Miśko","al. Kraszewskiego 92/51
14-097 Ostrów Mazowiecka"
"Konstanty Kosidło","ul. Kochanowskiego 43
86-674 Częstochowa"
"pan Wiktor Kocurek","plac Listopada 191
06-492 Żyrardów"
"Alex Terka","plac Popiełuszki 521
27-211 Żywiec"
"Jacek Stochel","pl. Wieniawskiego 995
59-382 Lubin"
"Igor Mikoda","pl. Mickiewicza 18/48
58-779 Ruda Śląska"
"Albert Biesek","pl. Waryńskiego 920
84-075 Tarnobrzeg"
"Julianna Kiliszek","ulica Dworcowa 251
72-615 Biała Podlaska"
"Inga Reich","ul. Sokola 812
89-832 Zgorzelec"
"Sandra Matyjas","pl. Wojska Polskiego 820
99-145 Kluczbork"
"Nikodem Nowotnik","aleja Kolorowa 171
94-098 Lubartów"
"Dorota Bosek","ul. Cmentarna 43/27
19-710 Żyrardów"
"Tymoteusz Galos","ul. Stawowa 323
98-826 Jarocin"
"Bianka Błażejak","pl. Wyzwolenia 51
70-109 Żagań"
"Marcin Cudzich","ul. Hallera 856
37-368 Sopot"
"Igor Hołota","plac Żeromskiego 893
90-552 Zduńska Wola"
"pani Kalina Witko","plac Krasickiego 341
96-728 Szczecin"
"Józef Lica","al. Osiedlowa 409
25-477 Reda"
"pani Monika Bojdo","ul. Popiełuszki 668
47-356 Sochaczew"
"Inga Szczudło","al. Akacjowa 04/61
30-425 Bielsko-Biała"
"Nikodem Ryndak","aleja Armii Krajowej 538
48-165 Poznań"
"Łukasz Pacura","aleja Sawickiej 62/95
67-191 Chojnice"
"Arkadiusz Taranek","aleja Olchowa 544
01-116 Turek"
"Filip Perlik","pl. Reja 782
21-850 Stalowa Wola"
"Karina Spychaj","plac Norwida 47/93
03-056 Wodzisław Śląski"
"Klara Pietrusiak","pl. Wyspiańskiego 90/10
25-115 Wodzisław Śląski"
"Oliwier Żal","ulica Listopada 540
08-773 Płock"
"pani Julianna Sobstyl","pl. Kochanowskiego 68
85-537 Głogów"
"Hubert Fugiel","ulica Kolonia 35/86
40-960 Grodzisk Mazowiecki"
"Ernest Drgas","plac Plater 00
54-621 Gniezno"
"Nikodem Teterycz","aleja Rynek 517
09-027 Zamość"
"pani Ada Dziwak","plac Korfantego 66
76-570 Kalisz"
"Ignacy Szałaj","aleja Kreta 31/11
11-084 Głogów"
"Gustaw Młot","aleja Niepodległości 22
65-686 Kielce"
"pan Miłosz Hankiewicz","aleja Bałtycka 13/73
78-723 Zduńska Wola"
"Marcel Marach","plac Waryńskiego 12/67
77-269 Ostrów Mazowiecka"
"Sebastian Stawowczyk","plac Skargi 845
41-753 Swarzędz"
"Kornel Lemanowicz","pl. Armii Krajowej 781
45-824 Kraków"
"Sonia Bracha","al. Witosa 55
07-037 Żagań"
"pani Aurelia Twardy","ulica Powstańców 13/30
73-227 Piastów"
"Nikodem Wardzała","ul. Kreta 95
52-329 Lubartów"
"Oliwier Luberda","ulica Kilińskiego 63/83
09-750 Wodzisław Śląski"
"pani Melania Sporysz","pl. Armii Krajowej 52/01
25-948 Mława"
"Konstanty Szaruga","ul. Młynarska 621
61-155 Kłodzko"
"Nataniel Goss","ul. Wiatraczna 438
45-177 Żyrardów"
"pan Cyprian Józefczak","aleja Staszica 881
03-633 Puławy"
"pani Adrianna Brząkała","pl. Batalionów Chłopskich 051
44-495 Łowicz"
"Mariusz Kapałka","plac Staszica 14/01
83-194 Tarnobrzeg"
"Iwo Wiaderek","plac Bolesława Krzywoustego 55
07-003 Radom"
"Kornelia Rawa","al. Promienna 47/06
89-666 Będzin"
"Norbert Bastek","ulica Tuwima 51/96
08-387 Świdnik"
"pan Aleks Szymonik","aleja Sucharskiego 29
19-130 Opole"
"Liwia Suszko","aleja Nałkowskiej 92
63-130 Gliwice"
"Eryk Zapora","al. Rajska 43
63-869 Toruń"
"Igor Pezda","ul. Kosynierów 69
83-416 Gliwice"
"pan Mateusz Lesik","pl. Lelewela 973
88-247 Ełk"
"Leonard Uryga","aleja Bursztynowa 45
71-916 Police"
"pani Nela Dzierżak","al. Chopina 48
72-252 Brzeg"
"Tobiasz Gabara","al. Okulickiego 98/85
03-177 Biłgoraj"
"Iwo Żyto","pl. Krasińskiego 741
07-904 Ostrów Wielkopolski"
"Norbert Buszka","ul. Rózana 02/20
96-442 Lublin"
"Ida Plak","pl. Władysława Łokietka 72
89-606 Suwałki"
"Cezary Matejczyk","al. Miarki 62
08-111 Bełchatów"
"pani Tola Melka","ulica Gajowa 45/52
96-995 Gliwice"
"pan Olgierd Kuliberda","plac Stefana Batorego 24
86-032 Wałbrzych"
"Elżbieta Siewiera","pl. Rejtana 392
33-726 Tomaszów Mazowiecki"
"Józef Topa","pl. Kościuszki 07/69
05-249 Tomaszów Mazowiecki"
"Jan Korpal","aleja Sowia 349
90-824 Gniezno"
"Kalina Tasarz","al. Powstańców Wielkopolskich 46/43
22-818 Zabrze"
"Melania Rembisz","ulica Podgórna 14
46-295 Lubin"
"Norbert Pawlaczek","aleja Toruńska 55
49-834 Łódź"
"Wojciech Szlęk","plac Sienkiewicza 668
09-637 Słupsk"
"Mikołaj Manista","aleja Gdańska 74/73
01-724 Świdnik"
"Ewelina Sołoducha","plac Ściegiennego 92
20-457 Ząbki"
"Tadeusz Muc","plac Sawickiej 036
02-239 Świecie"
"Nicole Pyszka","al. Piłsudskiego 288
44-554 Szczecin"
"Marcelina Biernacik","ul. Konarskiego 729
40-852 Bartoszyce"
"Franciszek Kołaczyk","pl. Norwida 432
36-772 Bielsko-Biała"
"Jeremi Piechna","ulica Waryńskiego 867
84-177 Kościan"
"Klara Drywa","al. Kruczkowskiego 09
04-032 Ostrów Wielkopolski"
"Norbert Piksa","aleja Świerczewskiego 555
98-352 Przemyśl"
"Oliwier Białous","ul. Poziomkowa 027
46-179 Kwidzyn"
"Dominik Margas","pl. Reja 32
36-340 Kołobrzeg"
"Rafał Policht","ulica Tylna 01
64-899 Polkowice"
"Grzegorz Nocek","ulica Sienkiewicza 80
02-231 Chojnice"
"Krzysztof Piguła","ulica Solidarności 50
37-724 Wałcz"
"Witold Wiese","ul. Stycznia 53/35
64-296 Legnica"
"Ewa Jachimczak","plac Stefana Batorego 951
16-437 Siemianowice Śląskie"
"Mariusz Gorgol","al. Zapolskiej 23
67-967 Głogów"
"Hubert Ciereszko","plac Wieniawskiego 85/96
46-686 Zabrze"
"Norbert Turlej","aleja Osiedlowa 46
39-806 Żory"
"pan Maksymilian Klepka","al. Przemysłowa 61
96-266 Łowicz"
"Mikołaj Kubanek","aleja Sadowa 51/61
93-525 Mława"
"Marika Balas","aleja Kolonia 13
46-528 Ostrołęka"
"Apolonia Gąbka","ul. Krańcowa 60
37-191 Radomsko"
"pani Dorota Windak","pl. Stycznia 891
14-443 Ostróda"
"Urszula Łepek","aleja Tuwima 265
21-281 Grudziądz"
"Jerzy Korzeniak","al. Batalionów Chłopskich 03
85-144 Dębica"
"Albert Jaszczur","al. Towarowa 30
55-662 Starogard Gdański"
"pani Apolonia Piersa","al. Wybickiego 22
82-736 Jastrzębie-Zdrój"
"Olaf Dawiec","ulica Andersa 38
40-334 Gdańsk"
"Ksawery Wojtalewicz","plac Kilińskiego 671
97-356 Radom"
"Michał Krystkowiak","pl. Sikorskiego 17/11
21-279 Kraśnik"
"Justyna Graboś","pl. Hallera 21/81
22-967 Kędzierzyn-Koźle"
"pan Hubert Oskroba","plac Solidarności 55/10
26-949 Zduńska Wola"
"Julianna Bakun","plac Wolności 85/70
49-354 Nysa"
"Ida Aleksandrzak","ul. Reja 85/65
64-870 Świebodzice"
"Agnieszka Famuła","aleja Staffa 07/28
42-073 Wieluń"
"Klara Deneka","al. Wojciecha 37
02-006 Ostrowiec Świętokrzyski"
"Kamila Walkusz","aleja Jałowcowa 46/05
46-965 Piaseczno"
"Olaf Durys","ulica Kusocińskiego 67/71
89-654 Cieszyn"
"Dariusz Tondera","aleja Myśliwska 26
54-976 Radom"
"Jerzy Tereszkiewicz","plac Skłodowskiej-Curie 118
36-577 Kędzierzyn-Koźle"
"Kajetan Sałuda","aleja Poprzeczna 94/91
59-605 Elbląg"
"Sylwia Moj","pl. Kochanowskiego 50
04-722 Śrem"
"Aurelia Kubanek","aleja Morcinka 39
74-610 Stalowa Wola"
"pani Janina Krzeszowiec","plac Korfantego 62/01
78-232 Opole"
"pan Natan Panuś","pl. Kossaka 69/00
76-005 Skawina"
"pani Dorota Uzar","aleja Skargi 00/45
35-165 Krotoszyn"
"Inga Kral","pl. Kruczkowskiego 739
87-057 Czerwionka-Leszczyny"
"Olaf Herdzik","ul. Bursztynowa 19
77-509 Nowa Ruda"
"Liwia Fryś","aleja Wojska Polskiego 922
77-614 Sosnowiec"
"Marcel Matulewicz","ul. Szarych Szeregów 80
70-137 Mikołów"
"Bartek Kulus","aleja Ściegiennego 79
72-748 Sandomierz"
"Kalina Olbrych","pl. Powstańców Wielkopolskich 380
76-866 Wrocław"
"Piotr Filus","ulica Sadowa 30/93
21-473 Sanok"
"Marcelina Kołsut","ulica Sikorskiego 30/30
80-992 Piekary Śląskie"
"Marianna Hutnik","pl. Reja 72
89-685 Ruda Śląska"
"Igor Meler","aleja Miłosza 64/08
49-473 Bochnia"
"Lidia Lempart","plac Maja 417
66-771 Sieradz"
"Olaf Kubieniec","al. Graniczna 82/11
14-886 Poznań"
"pani Marianna Rychert","al. Wyzwolenia 22/99
98-977 Zawiercie"
"pani Elżbieta Lewicz","aleja Odrzańska 55/88
46-599 Lublin"
"Nicole Ośko","ulica Matejki 97/55
41-409 Bolesławiec"
"Fabian Tokarek","plac Reja 278
56-778 Świdnik"
"Tobiasz Bereś","aleja Truskawkowa 51/82
71-926 Świebodzice"
