"Aaron Lercher"|"Anabella-Pilz-Gasse 7
7053 Schwechat" 
"Selena Erber-Jungwirth"|"Laglerring 6/8
2538 Bischofshofen"
"Ing. Cristina Pokorny"|"Nathan-Wirth-Platz 32
7979 Hall in Tirol"
"Andrej Wiesbauer"|"Amanda-Resch-Ring 906
1295 Eggenburg"
"Sebastian Karrer-Braun"|"Grabnerring 40
5429 Groß-Siegharts"
"Sofija Ullmann"|"Aurora-Stelzl-Straße 56
4465 Bad Leonfelden"
"Rosa Lackner"|"Ronja-Lindner-Ring 3
7957 Murau"
"Dora Stiegler"|"Friedrichstr. 6
4109 Ebenfurth"
"Dr. Richard Adler"|"Yasmina-Wögerbauer-Weg 4
6025 Zeltweg"
"Lea-Sophie Harrer"|"Paulitschstr. 5/1
6138 Gänserndorf"
"Merlin Schrittwieser-Hofbauer"|"Mayrhoferring 7/4
9852 Güssing"
"Amanda Handler"|"Alice-Dietl-Ring 930
4029 Bad Leonfelden"
"Andjelina Kraxner"|"Schererstr. 943
9205 Friesach"
"Andjelina Harrer"|"Leni-Wiesinger-Ring 4
4522 Mariazell"
"Sven Ernst-Schmuck"|"Manuela-Gärtner-Platz 0/3
7074 Krems an der Donau"
"Nikolina Rössler"|"Koppensteinerstr. 2/5
3911 Rust"
"Xavier Bodner"|"Bernerstr. 36
7269 Ternitz"
"Erwin Krall"|"Bastian-Rosenberger-Weg 8
7968 Mautern an der Donau"
"Selena Neulinger"|"Heindlstraße 8
5800 Bregenz"
"Lea-Sophie Sieberer"|"Lucas-Knaus-Ring 921
5179 Wörgl"
"Felicitas Luttenberger"|"Enzingergasse 699
4204 Bad Sankt Leonhard im Lavanttal"
"Christoph Biedermann"|"Kocherweg 87
1572 Bregenz"
"Axel Wolf-Schwarzinger"|"Aurelia-Köck-Platz 0
5014 Schwechat"
"Raffael Eller-Danner"|"Clemens-Hell-Gasse 5/2
9614 Langenlois"
"Mathilda Dobler"|"Geigergasse 0
2991 Oberwart"
"Ralph Scherr"|"Dünserweg 566
5469 Wolkersdorf"
"Emilia Kaltenegger-Trauner"|"Schartnerring 3/5
4739 Klagenfurt"
"Lean Kriegl"|"Mittererstr. 4/9
8871 Geras"
"Vivian Feigl-Neuhold"|"Payerstr. 7/7
1576 Güssing"
"Leah Jauk"|"Fellnerplatz 966
5226 Heidenreichstein"
"Leonard Hubmann"|"Katharina-Hörmann-Ring 5/8
4699 Maissau"
"Dr. Bernhard Kerschbaumer"|"Aaron-Niederl-Ring 1/1
1612 Köflach"
"Soraya Stefan"|"Simon-Zeiler-Straße 12
4370 Hallein"
"Christine Becker-Schilcher"|"Sofie-Zechmeister-Gasse 03
4189 Geras"
"Prof. Elina Helm"|"Erina-Markl-Weg 5/5
9053 Zeltweg"
"Dr. Natalie Kaltenbrunner"|"Sarah-Steurer-Platz 131
9524 Weiz"
"Nikolas Obermüller-Aichinger"|"Linnea-Erler-Gasse 0/2
7093 Schladming"
"Nikolas Weber"|"Victoria-Neubauer-Platz 859
6777 Schrattenthal"
"Elisa Oswald"|"Häuslerweg 15
2149 Fehring"
"Lean Höglinger"|"Fischerstr. 2/2
8561 Ried im Innkreis"
"Oliver Schwendinger"|"Andjelina-Ernst-Gasse 0/6
5050 Poysdorf"
"Thomas Pacher"|"Andreas-Kaindl-Gasse 2
8371 Purbach am Neusiedler See"
"Leon Biedermann"|"Axel-Riedler-Platz 5/6
8473 Eggenburg"
"Robin Baumgartner-Grüner"|"Gregor-Seidl-Ring 8/6
8851 Wiener Neustadt"
"Raffaela Bischof-Lassnig"|"Mitterstr. 6
4406 Schrems"
"Cristiano Hagen"|"Leticia-Leeb-Straße 9
8276 Wieselburg"
"Herr Natan Thalhammer"|"Christian-Urban-Straße 4
2850 Friesach"
"Nadin Taucher"|"Carla-Hutter-Weg 947
7432 Kindberg"
"Lorena Ulrich"|"Ronja-Lindorfer-Straße 556
8127 Judenburg"
"Lean Mühlberger"|"Gratzring 52
8445 Rattenberg"
"Luise Kriegl"|"Schuhstr. 94
5045 Gerasdorf bei Wien"
"Gabriela Buchberger"|"Ronja-Kohler-Gasse 547
1377 Neusiedl am See"
"Dipl.-Ing. Marissa Reiterer"|"Isa-Veit-Gasse 455
7280 Traun"
"Elyas Stelzl"|"Jacob-Klein-Platz 5/5
4790 Mattighofen"
"Phillip Eberhard"|"Dana-Sattler-Gasse 52
8418 Bregenz"
"Herr Julius Kaltenbrunner"|"Schüllerring 47
3486 Frauenkirchen"
"Theo Schmidl"|"Christina-Fröhlich-Straße 3/9
8793 Steyregg"
"Leah Gattringer"|"Angelo-Martin-Weg 409
6817 Waidhofen an der Thaya"
"Univ.Prof. Gabriela Klammer"|"Kristina-Pucher-Weg 5/3
2867 Hainfeld"
"Leander Geiger"|"Nino-Jandl-Platz 6
5130 Ybbs an der Donau"
"Lia Keplinger"|"Konradweg 19
9886 Gleisdorf"
"Niklas Jovanovic"|"Jannis-Gosch-Straße 4
8169 Weitra"
"Ing. Yvonne Schatzl"|"Moosbruggerstraße 913
8824 Deutschlandsberg"
"Tim Berthold"|"Messnerstraße 48
5074 Bischofshofen"
"Karla Hubmann"|"Norah-Lettner-Ring 55
4090 Mattersburg"
"Arthur Lindorfer"|"Melisa-Haller-Straße 202
1568 Radenthein"
"Theresa Staudinger-Gritsch"|"Kunzring 34
4420 Fehring"
"Dr. Iris Schwarzinger"|"Yasmina-Putz-Ring 1
1948 Rottenmann"
"Paula Neuhauser"|"Amanda-Ecker-Ring 206
1742 Innsbruck"
"Leander Kaspar"|"Leni-Kummer-Gasse 5/8
5672 Oberwälz"
"Herr Alan Stern"|"Grillweg 76
7669 Mautern an der Donau"
"Ing. Jamie Reiter"|"Ariane-Leopold-Gasse 6
5337 Eisenerz"
"Mariana Ebner"|"Glaserweg 1/8
4897 Hainburg an der Donau"
"William Baumann-Klammer"|"Wernergasse 0/9
3434 Allentsteig"
"Frau Paula Wurzinger"|"Veitplatz 9
7111 Korneuburg"
"Irina Felder"|"Weissstr. 0/0
4018 Zeltweg"
"Ruben Steinkellner"|"Hellstraße 094
2935 Kindberg"
"Cornelius Maierhofer"|"Ronja-Knaus-Gasse 51
3410 Attnang-Puchheim"
"Nikolaus Staudinger"|"Aylin-Humer-Platz 4
5169 Eisenerz"
"Leander Kopp"|"Uhlstr. 2
2433 Groß-Gerungs"
"Mike Fuhrmann"|"Lena-Sagmeister-Platz 70
5459 Vöcklabruck"
"Lisa Seiler"|"Viola-Pucher-Ring 5
6271 Leoben"
"Ronja Laimer"|"Steidlstr. 3/6
6328 Attnang-Puchheim"
"Leni Anderl"|"Bachlerweg 339
6666 Tulln an der Donau"
"Marc Burtscher"|"Zöhrerplatz 49
3061 Mödling"
"Andrea Schreiber-Reichl"|"Schilcherstr. 64
4300 Hardegg"
"Gabriela Dittrich"|"Marc-Kugler-Straße 91
4791 Groß-Siegharts"
"Henri Kaiser"|"Hofmannstr. 48
4805 Korneuburg"
"Sofija Reichel"|"Leonie-Farkas-Platz 3/5
9974 Bad Ischl"
"Leander Stadler-Tanzer"|"Leni-Schrenk-Gasse 2/3
2830 Baden"
"Christina Zotter-Brandl"|"Mittermayrstr. 1
2561 Klosterneuburg"
"Lola Schulz"|"Haringring 1
7293 Mariazell"
"Siena Suppan"|"Landlgasse 0
9883 Voitsberg"
"Ing. Soraya Jahn"|"Steinbacherplatz 308
8324 Traiskirchen"
"Laurin Windisch"|"Feiglplatz 736
2679 Dornbirn"
"Irma Kucera"|"Irina-Hirsch-Platz 387
9352 Mariazell"
"Nina Jahn"|"Klara-Baumgartner-Ring 4
8250 Mattersburg"
"Jannis Zimmermann"|"Alara-Strasser-Gasse 659
8055 Lienz"
"Philipp Prohaska-Draxler"|"Miriam-Kraxner-Gasse 7/7
1267 Eferding"
"Leandra Fleck"|"Lilli-Prohaska-Ring 37
2120 Liezen"
"Prof. Gregor Schlager"|"Finkgasse 1/6
2720 Mürzzuschlag"
"Tim Müller"|"Plankweg 488
7433 Marchtrenk"
"Sandro Nagel"|"Tamara-Grünwald-Platz 964
9858 Schwechat"
"Karina Strohmaier"|"Rauchstraße 5/5
4620 Peuerbach"
"Timo Ziegler"|"Glückring 587
1258 Innsbruck"
"Vanessa Eberhard"|"Valentino-Böck-Ring 9
5984 Gallneukirchen"
"Lora Hammerl"|"Brandtnerweg 51
9763 Hainfeld"
"Dr. Nicolai Steurer"|"Hirschstr. 98
7463 Gmünd in Kärnten"
"Timo Zeilinger"|"Geigergasse 9/2
9885 Sankt Valentin"
"Leandra Polzer"|"Karim-Niederl-Ring 90
2634 Landeck"
"Karim Plattner"|"Karolina-Böck-Platz 87
1183 Villach"
"Mia Bruckner"|"Seifertstr. 42
2081 Purbach am Neusiedler See"
"Dipl.-Ing. Heinrich Schneider"|"Annabella-Kohler-Straße 18
8934 Deutsch-Wagram"
"Mateo Salcher"|"Gallerplatz 89
6778 Kindberg"
"Justin Mairhofer-Bachler"|"Thalerweg 2/1
4086 Berndorf"
"Peter Hammerl"|"Dora-Messner-Straße 3/1
5170 Wiener Neustadt"
"Merlin Schantl-Friedrich"|"Höflerring 7
3819 Sankt Veit an der Glan"
"Dipl.-Ing. Gabriela Rosenberger"|"Pascal-Eisner-Platz 4/2
5629 Ybbs an der Donau"
"Milo Knaus-Bergmann"|"Pehamstr. 38
7059 Laakirchen"
"Leandra Steinberger"|"Tina-Leitner-Platz 7
1420 Bleiburg"
"Dr. Diana Vogt"|"Leon-Rettenbacher-Platz 3/9
8755 Innsbruck"
"Matheo Hahn-Marte"|"Emilie-Strohmayer-Straße 71
6880 Radenthein"
"Ruben Eichberger"|"Geierring 2/7
2638 Ried im Innkreis"
"Linus Kopp"|"Steinkellnerstr. 07
5149 Stockerau"
"Valentino Postl"|"Koppstraße 934
7763 Wieselburg"
"Josef Bischof"|"Tom-Koller-Gasse 1
7690 Wels"
"Ariana Nagl-Eibl"|"Fernando-Knapp-Weg 06
9409 Pregarten"
"Univ.Prof. Ina Kaltenegger"|"Danglweg 9/2
4539 Klagenfurt"
"Mila Walch"|"Ottplatz 5
1834 Eisenstadt"
"Leandra Wiesner-Mayr"|"Suppanstraße 9/3
3817 Schwaz"
"Larissa Wurzinger"|"Reichelgasse 98
4497 Ried im Innkreis"
"Josefine Falkner"|"Emely-Pöschl-Straße 93
9060 Bleiburg"
"Ariana Geisler"|"Ricardo-Moritz-Weg 840
3040 Wieselburg"
"Karina Bachinger"|"Götzring 651
5516 Neunkirchen"
"Adriana Schauer-Steininger"|"Mittereggerring 1/6
9996 Weitra"
"Stephan Kolm"|"Gritschring 0
2434 Mautern an der Donau"
"Anika Schinnerl"|"Herbststraße 766
8740 Hainburg an der Donau"
"Dr. Philipp Baier"|"Stögerstr. 2
3483 Mannersdorf am Leithagebirge"
"Frida Horn"|"Theodor-Wilfinger-Platz 4/4
8000 Linz"
"Lena Larcher"|"Iris-Luger-Ring 1
5629 Straßburg"
"Niko Lechner"|"Vito-Schatz-Weg 90
7691 Drosendorf-Zissersdorf 1"
"Jessica Lengauer"|"Felicitas-Pühringer-Straße 77
1526 Gmünd in Kärnten"
"Emil Kremser"|"Sahra-Baldauf-Straße 763
5286 Hainburg an der Donau"
"Elyas Hämmerle"|"Igor-Fröschl-Platz 4/9
5703 Köflach"
"Marie Humer"|"Nils-Knapp-Ring 3/7
8359 Zwettl"
"Univ.Prof. Maurice Prantl"|"Eleonora-Wenzl-Gasse 36
1286 Retz"
"Marc Veit"|"Klockerplatz 340
5189 Mattighofen"
"Kilian Mader"|"Voglerstraße 1
4698 Rattenberg"
"Dr. Felicitas Rieser"|"Maksim-Egger-Ring 0
6299 Wilhelmsburg"
"Lena Mühlböck"|"Biedermannplatz 3/3
6842 Ferlach"
"Merlin Buchberger"|"Schweitzerstraße 5/5
1276 Lilienfeld"
"Nelly Bitschnau"|"Schauerplatz 34
5186 Schwechat"
"Leonhard Höller"|"Aleksandra-Salzmann-Ring 2/1
9894 Wolfsberg"
"Hannah Eisl"|"Jonas-Neulinger-Ring 3
7366 Bludenz"
"Dario Walch"|"Edda-Bischof-Platz 7/3
6881 Pregarten"
"Clara Luger"|"Staudingergasse 04
6660 Peuerbach"
"Jasper Wohlmuth"|"Adrian-Eichinger-Platz 3/5
5954 Schrattenthal"
"Maida Feichter"|"Tothgasse 9
9844 Imst"
"Luise Kapeller"|"James-Leitner-Gasse 2
5919 Vöcklabruck"
"Lena Schachner"|"Ajna-Dirnberger-Straße 1
5820 Bad Hall"
"Theresa Simon"|"Feichterplatz 71
2509 Freistadt"
"Alexander Leitner"|"Mayrring 951
8244 Kapfenberg"
"Univ.Prof. Nikita Jandl"|"Danilo-Schachinger-Platz 563
8158 Dürnstein"
"Raffael Haslauer"|"Amanngasse 77
3191 Freistadt"
"Annabelle Lagler"|"Verena-Schantl-Platz 3/1
7105 Schrattenthal"
"Adrian Jost"|"Raffaela-Bräuer-Gasse 084
3052 Radenthein"
"Peter Pfeifer"|"Hirschweg 0/8
1271 Retz"
"Linnea Franz"|"Joststraße 7/2
4410 Knittelfeld"
"Benjamin Reicher"|"Trattnerweg 75
8234 Laa an der Thaya"
"Lena Taucher"|"Pirkerstr. 4/1
9916 Peuerbach"
"Jannis Scherz-Schenk"|"Reschgasse 3/7
8443 Steyregg"
"Isabel Sattler-Zeilinger"|"Langplatz 66
5251 Schladming"
"Milica Dietl"|"Ela-Fischer-Platz 2/6
8349 Gmünd in Kärnten"
"Niklas Stütz"|"Ellie-Karner-Gasse 29
3153 Liezen"
"Zoe Pinter-Zeiler"|"Peerweg 552
5916 Gloggnitz"
"Timo Müllner"|"Stieglerstraße 732
6149 Kindberg"
"Johann Reinprecht"|"Nöbauerplatz 2/1
3076 Ybbs an der Donau"
"Christian Rohrer"|"Aron-Pucher-Gasse 9
1561 Bad Sankt Leonhard im Lavanttal"
"Richard Schnabl"|"Diana-Mitteregger-Platz 5
6061 Murau"
"Leni Baier"|"Carl-Mayer-Weg 1
6643 Liezen"
"Frau Dilara Steinbacher"|"Rosalie-Eisner-Ring 239
8697 Wolkersdorf"
"Lina Reischl"|"Leyla-Redl-Straße 0
7837 Melk"
"Daniela Wiesbauer"|"Ramsauerring 4
1281 Pulkau"
"Darko Hinteregger"|"Eichbergerstr. 2/9
4140 Wels"
"Adelina Mörth"|"Stefanie-Sieber-Straße 4
6507 Groß-Gerungs"
"Antonius Hödl"|"Jungplatz 458
8327 Hartberg"
"Julijana Pühringer-Klotz"|"Theodora-Siller-Straße 8
9066 Geras"
"Emanuel Schöller"|"Radlring 8/6
8148 Dürnstein"
"Aleksandra Leithner"|"Nikola-Holler-Platz 4/9
9864 Gallneukirchen"
"Leni Buchegger"|"Hainzlgasse 1
5038 Judenburg"
"Aleksandra Sattler"|"Karina-Zechmeister-Weg 8/6
1722 Sankt Valentin"
"Angela Kohler"|"Clarissa-Schönauer-Platz 5/3
4531 Laa an der Thaya"
"Steven Grasser"|"Lars-Schantl-Gasse 2
6101 Schrattenthal"
"Severin Reif-Pircher"|"Freitaggasse 4
5595 Heidenreichstein"
"Herr Leonardo Wachter"|"Leonard-Sorger-Straße 44
3718 Radenthein"
"Alice Rabl-Leibetseder"|"Yvonne-Engel-Weg 173
5413 Leoben"
"Liam Schlögl"|"Stockgasse 47
7447 Wels"
"Univ.Prof. Oliver Mandl"|"Boris-Hahn-Weg 70
2581 Feldkirchen"
"Alice Buchner-Peter"|"Domenica-Reiter-Straße 124
8894 Eferding"
"Leni Kellner-Probst"|"Staudingerweg 2/2
5054 Trofaiach"
"Dipl.-Ing. Anna-Lena Fitz"|"Calvin-Achleitner-Straße 56
3406 Bruck an der Mur"
"Marta Ziegler"|"Jennifer-Steiger-Weg 7
2467 Ternitz"
"Marko Lindner-Baldauf"|"Gamsjägerstr. 9/6
4035 Trofaiach"
"Leonardo Wachter-Hartl"|"Matheo-Fercher-Ring 3/9
7243 Waidhofen an der Thaya"
"Vivian Lerch"|"Fichtingerstr. 788
9194 Hainburg an der Donau"
"Annalena Neubauer"|"Jeneweinstraße 4/4
7697 Wieselburg"
"William Strohmaier"|"Unterwegerring 83
6275 Mödling"
"Bruno Windhager"|"Bräuerweg 56
7578 Stockerau"
"Maja Hofstetter"|"Sabrina-Klammer-Straße 002
7656 Fürstenfeld"
"Leni Köberl"|"Feichtnerplatz 2/0
8890 Zwettl"
"Ronja Lagler"|"Plattnerring 0
1358 Köflach"
"Nelly Staudinger"|"Payergasse 4
3598 Amstetten"
"Sabrina Schinnerl"|"Höllergasse 058
5028 Traun"
"Anna-Maria Schlögl"|"Schneebergerring 8/8
5211 Braunau am Inn"
"Elena Zauner"|"Lucie-Reich-Weg 525
2780 Bruck an der Mur"
"Alexandar Uhl"|"Annabell-Braun-Platz 71
8511 Korneuburg"
"Justus Schlögl"|"Ajna-Klinger-Ring 3/6
2372 Linz"
"Alex Riedl"|"Ela-Schubert-Weg 2/5
8041 Braunau am Inn"
"Annabell Hollaus"|"Christopher-Kager-Weg 8
2806 Perg"
"Leni Rainer"|"Gratzerstr. 3/7
2732 Sankt Valentin"
"Univ.Prof. Lino Messner"|"Sabrina-Steiger-Platz 6
2040 Krems an der Donau"
"Irina Krug"|"Luise-Hagen-Straße 6
4391 Wolfsberg"
"Nino Kohler"|"Nadja-Hermann-Ring 1/4
1477 Sankt Valentin"
"Rita Ziegler"|"Annabella-Neubauer-Ring 6/2
3889 Bärnbach"
"Viola Stelzl"|"Jaukstr. 367
8747 Salzburg"
"Theo Rinner"|"Ines-Kratzer-Ring 814
8901 Poysdorf"
"Leah Stütz-Beer"|"Hallergasse 47
2495 Gmünd in Kärnten"
"Dipl.-Ing. Timo Ludwig"|"Rieserstr. 393
6470 Peuerbach"
"Aurelia Klotz"|"Franziska-Hauer-Ring 74
4034 Bregenz"
"Lennard Bachmann"|"John-Denk-Platz 30
5955 Langenlois"
"Mathias Schranz"|"Teuflweg 80
5037 Zeltweg"
"Manuel Scheucher"|"Eislgasse 7/2
9481 Ried im Innkreis"
"Univ.Prof. Finn Kirschner"|"Pfeiferplatz 9
1306 Lienz"
"Norah Karner"|"Schröderweg 5/1
7978 Mattighofen"
"Ing. Kristina Posch"|"Tauberstr. 8/6
5315 Groß-Gerungs"
"Felicitas Gahleitner"|"Janischplatz 6/5
3188 Ebenfurth"
"Lily Hollaus"|"Thomas-Braun-Weg 2/2
5666 Knittelfeld"
"Nicola Pachler-Stöger"|"Farkasring 52
3751 Innsbruck"
"Dennis Nemeth"|"Ariana-Hummel-Platz 982
7932 Leibnitz"
"Lennard Nußbaumer"|"Amanda-Ofner-Straße 80
7776 Wels"
"Ing. Eduard List"|"Zoe-Pühringer-Platz 06
5237 Saalfelden am Steinernen Meer"
"Aron Wiesbauer"|"Fichtingerstraße 980
6340 Ferlach"
"Olivia Kral"|"Eda-Thalhammer-Gasse 5
1396 Rattenberg"
"Sophie Rabl-Parzer"|"Auingerweg 305
6677 Landeck"
"Frederik Jank"|"Carla-Kugler-Weg 4/9
2022 Freistadt"
"Theodor Geiger"|"Lisa-Geier-Ring 94
1043 Neunkirchen"
"Georg Ender"|"Kluggasse 1/9
1232 Kindberg"
"Dr. Nikolaus Huter"|"Caroline-Weinberger-Weg 8/0
1288 Ternitz"
"Alex Eichinger-Mühlböck"|"Reinthalerplatz 746
5059 Murau"
"Lennart Fleischmann"|"Ruth-Hofmeister-Gasse 57
6793 Oberpullendorf"
"Ing. Kyra Gratz"|"Neulingerstraße 2
1842 Maissau"
"Marcel Hinterleitner"|"Wilhelmring 71
9021 Frauenkirchen"
"Nick Luttenberger"|"Wegscheidergasse 5
9474 Wolkersdorf"
"Juliana Radl"|"Lina-Lorenz-Straße 3
8879 Deutschlandsberg"
"Armin Häusler"|"Steurerstr. 910
7720 Groß-Gerungs"
"Dr. Sarah Lenz"|"Paierstr. 11
3315 Eisenerz"
"Emilia Ziegler"|"Gratzplatz 4/0
6872 Murau"
"Alma Hafner"|"Kralplatz 4/7
8670 Deutschlandsberg"
"Michelle Hammerer"|"Paulina-Mader-Ring 89
6190 Wien"
"Lennart Klug"|"Schachnergasse 39
5766 Deutsch-Wagram"
"Emely Neureiter"|"Hanna-Schönauer-Ring 057
5492 Traun"
"Ing. Dominik Leitgeb"|"Fleckstr. 4
9335 Neulengbach"
"Robert Schöller"|"Matilda-Pfleger-Straße 140
4881 Klosterneuburg"
"Viola Keller"|"Steidlgasse 66
1442 Bärnbach"
"Pascal Kratzer"|"Reifweg 96
8276 Bruck an der Leitha"
"Luana Böhler"|"Steinböckring 3
8226 Amstetten"
"Lucia Scheidl"|"Jovana-Hofinger-Straße 4
8240 Schladming"
"Gustav Sammer"|"Maryam-Neumann-Gasse 3
6263 Ebenfurth"
"Dipl.-Ing. Emil Doppler"|"Sternweg 9
4955 Villach"
"Lennart Lassnig-Schartner"|"Hübnerstraße 07
8844 Raabs an der Thaya"
"Irma Kolb-Neuner"|"Marius-Ernst-Ring 8
9272 Hardegg"
"Matheo Galler"|"Hummelstr. 197
2545 Korneuburg"
"Annabelle Zenz"|"Daniel-Bäck-Platz 32
7837 Heidenreichstein"
"Katharina Klocker"|"Dilara-Lengauer-Gasse 8/2
8679 Trieben"
"Danilo Wurzinger"|"Aleksandra-Steiner-Straße 26
8850 Linz"
"Leo Kerschbaum"|"Bastian-Kohler-Weg 01
8747 Steyr"
"Henry Draxler"|"David-Dittrich-Weg 5
3696 Bad Vöslau"
"Calvin Hirsch-Jenewein"|"Eislplatz 377
2868 Neumarkt am Wallersee"
"Nadja Hammer"|"Neumayrring 539
5445 Bleiburg"
"Lennart Linder"|"Alice-Leeb-Platz 0
5275 Bruck an der Mur"
"Bernadette Ofner"|"Zöchlingplatz 591
5348 Voitsberg"
"Linda Haumer"|"Reinischstraße 7
6621 Frohnleiten"
"Erwin Arnold"|"Isabel-Ackerl-Ring 3/2
2603 Saalfelden am Steinernen Meer"
"Johannes Röck"|"Koppweg 1
9900 Bludenz"
"Lennart Pfeiffer-Reiterer"|"Wögerbauerstraße 515
8298 Gallneukirchen"
"Mia Rudolf"|"Kammererstr. 070
7380 Liezen"
"Marcel Aschauer"|"Trummerplatz 0/0
1149 Fehring"
"Daniel Weber"|"Louis-Rauch-Straße 38
6652 Stadtschlaining"
"Nikolina Schwab"|"Lean-Lammer-Weg 6
7266 Kapfenberg"
"Lennart Riegler"|"Braungasse 525
5644 Schladming"
"Daniel Gindl"|"Victoria-Knoll-Ring 615
7296 Heidenreichstein"
"Heinrich Schweiger"|"Luise-Kramer-Weg 6
3930 Purkersdorf"
"Leander Stifter-Schöpf"|"Trimmelstraße 0/8
3488 Feldbach"
"Michael Doppler"|"Stummergasse 942
1835 Saalfelden am Steinernen Meer"
"Florentin Zehetner"|"Dietrichplatz 9/0
5599 Schwaz"
"Franz Haring"|"Elisa-Hattinger-Straße 990
4309 Frauenkirchen"
"Mateo Blum-Langer"|"Noel-Schrempf-Straße 14
8629 Bad Ischl"
"Nicolas Pendl"|"Irma-Hofbauer-Gasse 86
3689 Frohnleiten"
"Estelle Eder"|"Waldnergasse 928
5408 Groß-Enzersdorf"
"Lennart Rotter-Mayrhofer"|"Polzerweg 9
5335 Landeck"
"Heinrich Geisler"|"Adrian-Buchberger-Platz 3
5303 Zistersdorf"
"Ilias Gasser"|"Pucherstraße 72
1508 Vils"
"Theo Ritter"|"Reisnerweg 24
6570 Friesach"
"Jan Taferner"|"Bayerring 9/2
3867 Sankt Johann im Pongau"
"Dipl.-Ing. Marc Holzinger"|"Zieglerstraße 6
6994 Hardegg"
"Finn Schrenk"|"Erberstr. 965
3386 Korneuburg"
"Lea Ritter"|"Aron-Weiser-Ring 4/9
6458 Zeltweg"
"Hanna Jandl-Neumann"|"Rieplstraße 56
7662 Fischamend"
"Tina Mayer-Hollaus"|"Bischofweg 269
5080 Frohnleiten"
"Lennart Strohmeier"|"Nikola-Himmelbauer-Straße 45
1344 Knittelfeld"
"Carolina Hufnagl"|"Rayana-Moosbrugger-Ring 540
9440 Linz"
"Elma Kopp"|"Bitschnaugasse 6/0
1596 Hardegg"
"Dipl.-Ing. Leander Steinbauer"|"Ruben-Schramm-Ring 065
8241 Bärnbach"
"Dominik Ferstl"|"Schoberring 4/2
3033 Ansfelden"
"Liam Gstrein"|"Constantin-Wirth-Platz 5/7
2460 Gerasdorf bei Wien"
"Dr. Markus Rudolf"|"Luana-Rupp-Ring 8/0
6096 Oberpullendorf"
"Prof. Benedict Bacher"|"Löfflerplatz 9/7
6542 Maissau"
"Dipl.-Ing. Marina Rabl"|"Arthur-Jandl-Straße 21
6122 Kindberg"
"Jana Peer"|"Miriam-Beer-Platz 7
1528 Frauenkirchen"
"Leo Erlacher"|"Violetta-Mark-Gasse 4
5044 Radstadt"
"Dora Wechselberger"|"Bachingerplatz 564
2773 Gallneukirchen"
"Ing. Daniel Moser"|"Hintereggerstr. 3
9768 Schladming"
"Sabrina Hammerer"|"Neumayerstraße 1/3
2269 Gänserndorf"
"Isabell Köhler"|"Unterwegerplatz 359
3283 Bleiburg"
"Dr. Julius Grassl"|"Mayerhoferring 652
1108 Feldbach"
"Mina Varga"|"Mayrhoferplatz 4/9
7744 Mank"
"Domenica Prenner"|"Oberhausergasse 79
1249 Schwanenstadt"
"James Wittmann"|"Estelle-Meusburger-Ring 2/2
1202 Villach"
"Herr Kilian Weiser"|"Karlplatz 2
7016 Gallneukirchen"
"Leo Kappel"|"Melissa-Grabher-Gasse 86
3165 Schwanenstadt"
"Axel Zotter"|"Niko-Spreitzer-Weg 8
3516 Gmunden"
"Marissa Penz"|"Dünserplatz 9
8881 Friedberg"
"Nicholas Dallinger"|"Laglerring 05
6136 Pulkau"
"Zoe Toth"|"Aschauerstraße 43
8772 Pinkafeld"
"Nikola Strohmaier"|"Pernergasse 2/8
8165 Mariazell"
"Elvira Trimmel"|"Meindlstr. 1
9302 Sankt Valentin"
"Univ.Prof. Filip Staudinger"|"Nora-Haider-Gasse 1
5030 Spittal an der Drau"
"Friedrich Jandl"|"Wiesingergasse 598
8408 Marchegg"
"Mira Barth"|"Eric-Frank-Platz 326
8297 Vöcklabruck"
"Leo Krenn"|"Christopher-Parzer-Weg 81
3265 Pregarten"
"Leander Rohrer"|"Nathan-Weigl-Weg 4/3
9747 Wolfsberg"
"Leontina Kölbl"|"Hörmannweg 9/0
1973 Hainfeld"
"Michael Weidinger"|"Hegergasse 6/6
7654 Laa an der Thaya"
"Maja Grasser"|"Julian-Schuller-Gasse 739
8653 Hardegg"
"Manuela Thaler"|"Valentina-Taucher-Weg 871
6498 Tulln an der Donau"
"Ing. Ellie Stern"|"Hannah-Felder-Weg 5/8
8336 Murau"
"Univ.Prof. Alara Adam"|"Elsa-Kessler-Ring 953
2497 Braunau am Inn"
"Anita Wittmann"|"Igor-Heinrich-Gasse 6
1965 Ebenfurth"
"Paulina Kaspar-Burgstaller"|"Leonora-Spreitzer-Straße 2
5943 Murau"
"Leo Staudinger"|"Pia-Handler-Weg 852
1809 Bleiburg"
"Johannes Puchner-Holler"|"Isabel-Dangl-Straße 4
2463 Völkermarkt"
"Moritz Grabher"|"Aignerring 20
1038 Imst"
"Lucie Heindl"|"Steinerplatz 497
2506 Grieskirchen"
"Laurin Mader"|"Mateo-Kaufmann-Weg 7/1
1217 Hartberg"
"Catharina Schönberger"|"Salcherplatz 5/2
6734 Bruck an der Mur"
"Dr. Anastasia Paier"|"Boris-Dorfer-Straße 16
4914 Purbach am Neusiedler See"
"Constantin Schön-Klinger"|"Kurzmanngasse 226
6096 Landeck"
"Robert Wurzer"|"Clemens-Trinkl-Gasse 7/4
3135 Ebreichsdorf"
"Prof. Madeleine Zimmermann"|"Calvin-König-Ring 6
9718 Eisenerz"
"Leo Widmann"|"Buchbergerplatz 1
3518 Rohrbach in Oberösterreich"
