"अंजली कुलकर्णी"	"861 चव्हाण
मिरज 990346" 
"वैशाली कदम"	"29/0782 चेतन सावंत
अकोला-029828"
"प्रज्ञा जगताप"	"0 हर्षदा गवळी
पुणे-275956"
"संदीप महाजन"	"22 कोमल राऊत
सातारा-150848"
"श्रुती गायकवाड"	"983 धनंजय मोरे
अमरावती 349807"
"गौरी कांबळेजी"	"6300 अनुष्का चव्हाण
पुणे-595096"
"कुमारी मकरंद पवार"	"968 गौरव कदम
परभणी 038376"
"कुमारी विकास गायकवाड"	"391 ठाकूर
अहमदनगर-331561"
"विवेक शिंदे"	"14/8646 कैलास कोल्हे
हिंगोली-284229"
"श्रीमती रोहिणी कुलकर्णी"	"47/447 मोरे
मिरज 644624"
"श्रुती गायकवाडजी"	"313 ओक
उस्मानाबाद 271392"
"चेतन कांबळे"	"90/6969 साळुंखे
जळगाव 590116"
"श्रीमती स्मिता कदम"	"4 शिरसाट
ठाणे 815290"
"प्रकाश गायकवाडजी"	"35/2825 अंजली साने
अहमदनगर-199137"
"श्री हर्षदा शिंदे"	"2/9 गवळी
गोंदिया-547515"
"जितेंद्र साने"	"90/7982 प्रशांत साळुंखे
लातूर 584430"
"श्री मिलिंद भोसले"	"49/58 माधुरी महाजन
मुंबई 882248"
"कुमारी अनिता पवार"	"06/4630 निलेश ठाकूर
नाशिक-924908"
"विवेक साळुंखेजी"	"41/2248 भूषण अहेर
जळगाव-899413"
"श्री किरण अहेर"	"4970 मानसी सावंत
अकोला 614474"
"कुमारी गौरव सावंत"	"26/1650 जोशी
सातारा-140658"
"अनिल कुलकर्णी"	"9894 कदम
हिंगोली-737218"
"श्री अभिषेक मोरे"	"26/4977 माने
नांदेड-256465"
"शिल्पा पाटीलजी"	"15/670 राहुल कदम
धुळे 447018"
"अमित गवळीजी"	"36/0267 अनिरुद्ध पवार
सांगली-462314"
"कैलास जोशीजी"	"4 कीर्ती कदम
ठाणे 335081"
"भूषण कुलकर्णीजी"	"0 साने
अकोला-477447"
"पूजा ठाकूर"	"57/897 आगरकर
पुणे 988878"
"विवेक सावंत"	"32/1150 दीपाली देशमुख
अहमदनगर-954345"
"प्रिया चौगुलेजी"	"3554 माधुरी कुलकर्णी
उस्मानाबाद-537882"
"श्री समीर जाधव"	"661 ठाकूर
सोलापूर-774890"
"कविता गायकवाड"	"94/37 फडके
सोलापूर-557844"
"स्वाती ठाकूर"	"80/15 देशमुख
बीड 995756"
"अनुष्का चव्हाण"	"3075 प्रज्ञा माने
लातूर-746096"
"स्नेहा महाजन"	"34/196 अहेर
गोंदिया 171950"
"वैशाली कांबळेजी"	"4 राऊत
नागपूर-695042"
"अभिषेक राऊत"	"1/7 राऊत
मुंबई 423319"
"कोमल कोल्हेजी"	"32/8543 अनिल देशमुख
मिरज-905976"
"विवेक सावंत"	"730 पल्लवी देशपांडे
उस्मानाबाद-068510"
"जितेंद्र गायकवाडजी"	"43/88 रोहिणी पवार
यवतमाळ 889972"
"मिलिंद राऊतजी"	"8/1 चव्हाण
चंद्रपूर-153644"
"माधुरी अहेरजी"	"01/54 जगताप
लातूर-171160"
"कविता पवार"	"386 शिंदे
हिंगोली-195889"
"श्री अनिल फडके"	"0/3 अनिरुद्ध शिंदे
यवतमाळ-863244"
"श्रीमती दीपक देशमुख"	"59/076 गौरव जोशी
मुंबई-516243"
"लता फडके"	"6/5 हर्षद कदम
सांगली 459528"
"मीनल गवळीजी"	"43/3590 आदित्य देशमुख
सातारा 631878"
"पल्लवी पाटीलजी"	"49 कल्पना सावंत
बीड 156184"
"वैशाली कुलकर्णीजी"	"38/40 पवार
नांदेड-626742"
"कोमल सावंतजी"	"84/054 सावंत
जळगाव-546160"
"समीर गवळी"	"7643 अनिल पाटील
नाशिक 265456"
"श्री प्रिया गवळी"	"98/55 दीपाली ठाकूर
परभणी 114068"
"श्री रीमा मोरे"	"0350 पाटील
लातूर 773521"
"श्रुती आगरकर"	"9/1 शिंदे
अहमदनगर-517881"
"श्रीमती हर्षदा पाटील"	"8/9 गौरी फडके
वसई 837414"
"श्री वैशाली कोल्हे"	"437 अंजली महाजन
चंद्रपूर-429728"
"श्री चेतना कोल्हे"	"59 अनुष्का राऊत
हिंगोली-375608"
"आदित्य शिंदेजी"	"1 उमा आगरकर
अकोला 582984"
"वैशाली कोल्हेजी"	"3 पाटील
गोंदिया-223935"
"सुरेश चव्हाणजी"	"62/026 संदीप ओक
नवी मुंबई 292082"
"प्रज्ञा गवळी"	"5017 गणेश चव्हाण
नागपूर 072093"
