"Aaron Ceulemans","Lisasteeg 10
6043 Tertre" 
"Dries Smets","Andrébaan 935
2420 Oelegem"
"Hugo Heylen","Katrienhof 448
2182
Velzeke-Ruddershove"
"Emma De Groote","Nelesteeg 382
4419
Berlaar"
"Magdalena Janssens","Stefaanlei 41
4003 Vaulx"
"Patricia Joos Houben","Ingeweg 7
3409
Meerbeek"
"Albert Andries","Eddypad 28
5328
Tintange"
"Lore Goyvaerts","Raymonddreef 48
9523
Appels"
"Karina Cools","Elkelaan 626
9013 Straimont"
"Rudy Derycke","Rudylaan 54
6050 Ravels"
"Christophe Jansen","Annelei 943
1142 Ruette"
"Tom Timmerman","Harryring 836
9134 Adinkerke"
"Anja Theunis","Moniquesteeg 49
5166 Ursel"
"Elise De Decker","Kensingel 085
9301
Gaasbeek"
"Magdalena Maes","Hildebaan 892
4970 Mark"
"Hilde Rombaut","Michelhof 077
6505
Hoves"
"Katrien De Wulf","Claudiabaan 033
1412
Yvoir"
"Wilfried Melis","Robertsingel 77
4652 Tongerlo"
"Karl Goris","Carolinering 85
1482 Wanne"
"Juan Claus","Hendrikring 868
8517
Balegem"
"Koen Cools","Fleurbaan 49
8004
Varendonk"
"Sophie Depoorter","Erikastraat 80
3427 Mere"
"Zita Bauwens","Nicolepad 960
3712 Loker"
"Guillaume Aerts","Guysingel 310
6965
Waarloos"
"Magdalena Vanderlinden","Marclaan 983
8439 Faimes"
"Nathalie Thijs Verstraeten","Nickboulevard 525
1612 Fauroeulx"
"Kim De Cock","Mariadreef 611
9849
Hees"
"Marina Janssens","Suzannestraat 8
3786 Arc-Wattripont"
"Frieda Verheyen","Annebaan 4
2057
Zandhoven"
"Ludovic Eeckhout","Beatrijsbaan 42
6611 Wolvertem"
"Valerie Christiaens","Amberring 161
8488 Ename"
"Marijke Martens Moens","Suzannering 036
1997 Neerpelt"
"Jochen Lemmens","Annboulevard 29
5299
Beverst"
"Maria Timmerman","Jacobussingel 812
4188 Boirs"
"Malika Colpaert","Patriciasingel 9
1546
Bourlers"
"Gregory Verbeeck","Anndreef 841
1803 Samrée"
"Danielle Geens","Carinedreef 896
5036
Neu-Moresnet"
"Léon Melis","Kobebaan 5
2565
Lummen"
"Philippe Huyghe","Marianneboulevard 982
4507 Han-sur-Lesse"
"Jeanne Verbrugghe Roels","Jacquelinebaan 68
2561
Tisselt"
"Julie Van den Broeck","Patrickstraat 6
7754
Erneuville"
"Davy Willems","Etiennepad 546
6158
Sint-Jan-in-Eremo"
"Kamiel De Waele","Joostdreef 525
5675 Rollegem-Kapelle"
"Marleen Heylen","Marclei 4
6679 Bois-de-Villers"
"Manon Helsen","Nathaliepad 36
5926 Havay"
"David Ali","Robinsteeg 569
5422
Landegem"
"Edward Deman","Franssingel 938
8013
Andrimont"
"Wout Martens","Mariabaan 7
9303
Verviers"
"Marc De Vos","Isabellelaan 497
3639 Kessel-Lo"
"Farah Schepers","Tomstraat 548
7248
Pondrôme"
"Eric Devos","Annsteeg 503
8017
Lens-Saint-Servais"
"Mohamed Segers","Nancystraat 7
5411 Bellevaux"
"Lara Verstraete","Jennylei 5
7201 Mont-Sainte-Geneviève"
"Lucie Van Driessche Hendrickx","Svenlaan 9
8849 Thulin"
"Manon Huybrechts","Georgeweg 0
1793 Ecaussinnes"
"Hendrik Marien","Martinepad 38
9500
Elouges"
"Maria Bogaerts","Peggysingel 0
7691 Heindonk"
"Lucia Smet Rosseel","Jeanlaan 0
7598
Oeudeghien"
"Brent Somers","Evapad 524
7942
Senzeille"
"Lara Cuypers","Christianepad 080
8326 Elst"
"Christine Nuyts","Wendyhof 58
7580 La Hestre"
"Elise Van den Bergh","Simonring 50
2612 Sluizen"
"Magda Vandecasteele","Veerlestraat 84
8784
Retinne"
"Ignace Lauwers","Femkebaan 511
4494
Wierde"
"Manuel Vanderheyden","Thomaspad 75
9164
Ostiches"
"Julie Boonen","Alexboulevard 679
7968
Steenhuffel"
"Wim Bogaert","Christinelei 78
7528 Ben-Ahin"
"Luc Huybrechts","Annabaan 111
8503 Jamagne"
"Adriaan Hoste","Zoëstraat 55
7369
Keumiée"
"Els Adriaensen","Marcellei 04
1338
Waterloo"
"Myriam Mariën","Etiennepad 35
4496
Opglabbeek"
"Femke Boon","Hildastraat 3
5008 Wihéries"
"Ingrid Bervoets","Eddyboulevard 60
8845 Verviers"
"Bruno Van Belle","Philipboulevard 36
5073
Grâce-Hollogne"
"Marc Bekaert","Gabriellebaan 78
1392 Waregem"
"Jeanine Vereecke","Astridlei 254
6492 Malmedy"
"Ilse Goethals","Ellasingel 99
7370 Vaux-sous-Chèvremont"
"Josée De Sutter","Tinaring 631
3071 Pondrôme"
"Sonia Kenis De Baere","Audreydreef 50
5589 Ougrée"
"Ann Devos","Saidring 6
8097 Grazen"
"Tina De Weerdt","Catherineboulevard 9
9912
Bunsbeek"
"Steven Ooms","Jeanstraat 699
9210 Monceau-Imbrechies"
"Simon Daniels","Mauricelei 7
9912 Grand-Reng"
"Luc Verschueren","Rosaliesingel 72
4534
Boechout"
"Marc Brouwers","Oliviaboulevard 9
6513
Leuze-en-Hainaut"
"Finn Neven","Diegosteeg 21
4575 Paulatem"
"Céline Buysse Wouters","Ingridboulevard 8
8599 Limal"
"Febe Van den Broeck","Jozefhof 3
5568 Solre-Saint-Géry"
"Melissa Wauters","Lilianesteeg 42
9436
Oostkerke-Damme"
"Roger Willems","Josephring 4
5491 Haine-Saint-Pierre"
"Bert Verbrugghe","Antoinettering 60
9730 Watermaal-Bosvoorde"
"Lucas De Sutter","Jeanring 3
6722
Dikkebus"
"Maria Geerts","Christellaan 1
8798 Galmaarden"
"Leon Pollet","Françoisboulevard 27
3312 Cortil-Noirmont"
"Marc Colman Van den Brande","Adrianstraat 00
8660 Ghlin"
"Robert Christiaens","Franklaan 231
3615 Herderen"
"Julie Mertens Snauwaert","Christianneweg 71
4752 Steendorp"
"Elias Pollet","Audreydreef 08
6027
Petit-Thier"
"Pieter Maes","Leonring 3
6308 Bambrugge"
"Lodewijk Deckers Claes","Marcsteeg 19
7208
Roly"
"Wendy Vandecasteele","Henricusstraat 481
2783 Doel"
"Patrick Smeets","Sofiepad 320
8845
Thorembais-Saint-Trond"
"Helena Van Driessche","Jarnolaan 454
6230
Barbençon"
"Elza Blommaert","Paulhof 746
2456
Kerkhove"
"Marc Cuypers Van Laere","Fienlei 8
1040
Beveren-Waas"
"Kelly Swinnen","Ludosingel 222
3531 Anseremme"
"Ludo Maes","Anitalei 3
5306
Budingen"
"Mohamed Demeulenaere","Landerweg 8
2211 Falisolle"
"Serge Peeters","Milapad 0
9771
Buvingen"
"Lukas Mertens","Marielei 073
3659 Membre"
"Anne De Wachter","Chloéweg 20
4183 Mater"
"Christine De Wulf","Yvettesingel 41
7071 Bekkerzeel"
"Patrick De Pauw","Christellaan 657
9610
Brye"
"Jurgen Goethals","Godelievepad 3
7100 Anzegem"
"Marc De Backer","Margotstraat 5
2656
Westrozebeke"
"Maria Gielen","Nathalieweg 1
8878 Trois-Ponts"
"Pascal Bruneel","Miladreef 864
2415
Saint-Vaast"
"Marie Boonen","Giannidreef 89
3657 Genoelselderen"
"Tom Rottiers","Ivohof 6
2237 Haut-Ittre"
"Martin Verheyden","Raymondsteeg 61
8650 Ellemelle"
"Sandra Van Looy","Ayaring 3
8390
Bouwel"
"Irena De Meyer","Willylaan 116
1692 Dendermonde"
"Jeannine Dekeyser","Franslei 104
8643
Dampicourt"
"Karel Colman","Nadineboulevard 962
6716
Aiseau-Presles"
"Marc Janssens","Ferrelaan 278
5417
Soulme"
"David Torfs","Michèlelei 134
5008 Komen"
"Tim Meersman","Cyriellei 67
8476 Fexhe-le-Haut-Clocher"
"Mohammed Loos","Mariaboulevard 4
7157
Uitkerke"
"Adam Bonte","Jacquelinering 357
8081
Alken"
"Hans Van den Brande","Jordydreef 25
7634 Villers-Perwin"
"Gert Van Driessche","Bostraat 4
8961
Dadizele"
"Sabine De Bruyn","Dannydreef 85
4417
Fernelmont"
"Jeannine Leysen","Rogerlei 0
1080
Buissenal"
"Luc Demeyer","Lisehof 958
9699 Treignes"
"Marc Maes Jacobs","Sylviabaan 0
3026
Villers-Saint-Amand"
"Beatrice Peeters","Anjasingel 262
4853 Jodoigne-Souveraine"
"Regina Dhondt","Ernaring 21
2196
Argenteau"
"Guido Smet","Leonhof 4
2553 Thieu"
"Ludovic Van Landeghem","Seppestraat 068
8984 Belgrade"
"Lauren Cuypers","Franssteeg 618
2847
Fosses-la-Ville"
"Niels Mestdagh","Robertlei 3
3937 Amay"
"Joren De Winter","Johanlei 779
2670 Goegnies-Chaussée"
"Yannick Pauwels","Stevendreef 12
4372
Linkhout"
"Ellen Van den Broeck","Patricksteeg 675
7173 Onkerzele"
"Marc Moonen","Mariamweg 62
1963 Nieuwkapelle"
"Marc Berghmans","Wernerboulevard 0
8176 Houtain-Saint-Siméon"
"Liv De Clercq","Jeannedreef 3
6512
Korbeek-Dijle"
"Marleen Claesen","Robinpad 31
9155
Wommersom"
"Antoine Mees","Nickdreef 745
7112 Onze-Lieve-Vrouw-Waver"
"Jurgen Wouters Van der Linden","Ayoubsingel 35
8857 Dadizele"
"Marnix Janssens","Ronnydreef 9
5902
Vollezele"
"Beatrice Bonte","Christinehof 4
5097 Bekkevoort"
"Anna Beeckman","Pedroboulevard 78
7212 Michelbeke"
"Stefanie Bertels","Kevinstraat 24
7965 Neerheylissem"
"Marc Neyens Bossuyt","Veerleboulevard 4
9718 De Haan"
"Kurt Driesen","Auréliering 22
6617 Houx"
"Loïc Holvoet","Jacquelinelaan 5
1700
Steenhuize-Wijnhuize"
"Jarne Adams","Catharinalaan 6
4534
Lanquesaint"
"Amber Melis","Dietersteeg 4
2085 Sint-Pieters-Kapelle"
"Eveline Ceulemans","Jordilei 99
6327 Saint-Maur"
"Rik Borremans","Katohof 09
7127 Herderen"
"Elise Engels","Nathalieweg 249
3914
Gouy-lez-Piéton"
"Ben Cornelis","Chantalsteeg 5
1021
Chaussée-Notre-Dame-Louvignies"
"Lieve Devos","Françoisepad 90
7815 Virelles"
"Marc Ramaekers","Sarabaan 845
7106 Louette-Saint-Denis"
"Erika Janssens","Jorispad 4
1137 Kester"
"Peter Mertens","Joeristraat 269
9375 Londerzeel"
"Kelly Aerts Bollen","Laurencelaan 86
7089 Sint-Katelijne-Waver"
"Kathleen Claes","Samilei 686
2452
Izegem"
"Nathalie Yildirim","Guillaumepad 2
8639 Steenkerque"
"Julienne Van Goethem","Christiaanring 077
6835 Bellevaux"
"Els Stevens","Samirahof 853
9698 Wortegem"
"Ward Kenis","Georgehof 75
3862
Glabais"
"Bruno De Coninck","Marceldreef 611
9007 Gozée"
"Marc Van de Velde","Marcdreef 7
2963 Micheroux"
"Kim Melis","Tessaring 937
5577 Passendale"
"Jef Declercq","Peterring 99
3059 Villers-aux-Tours"
"Tim Smeets","Tinebaan 148
9286 Zottegem"
"Lily De Cock","Danielring 871
7854 Momignies"
"Kevin Govaerts","Maartensingel 9
9683 Gleixhe"
"Yves Hermans","Franssingel 787
2570
Retinne"
"Muhammed Geerts Vandaele","Anaslei 597
2415
Jemeppe-sur-Meuse"
"Marcel Rogiers","Christianabaan 576
9607
Izier"
"Lize Vanderheyden","Kobelaan 5
2859
Treignes"
"Marc Vandendriessche","Lynnlaan 4
3380 Bellaire"
"Wendy Janssens","Simonlei 55
9365 Engelmanshoven"
"Magali Lenaerts","Kobeweg 9
8446 Gutschoven"
"Gerry Ceulemans Andries","Jeanhof 359
7624
Barvaux-Condroz"
"Marleen Vandekerckhove","Leonpad 9
3584
Bioul"
"Stephanie Bogaerts","Nancyring 6
4628
Desselgem"
"Ruben Thys","Etiennesingel 017
6161
Waret-l'Evêque"
"Felix Dejonghe","Robertbaan 069
6041 Ophain-Bois-Seigneur-Isaac"
"Jacques Singh","Ilseweg 419
2699
Montroeul-sur-Haine"
"Kris Buysse","Vickysingel 8
9006
Gruitrode"
"Marc Verhoeven","Rafhof 428
7215
Tavier"
"Nick Nelissen Dierickx","Janstraat 9
9520 Trooz"
"Greta Van Camp","Rosettelaan 2
2500
Damme"
"Frans Verhaeghe","Lucweg 67
2351 Mévergnies-lez-Lens"
"Lenn Vermeulen","Annepad 071
4930 Ophoven"
"Eduard Vermeulen","Johanhof 39
2113 Rochefort"
"Marleen De Bock","Vanessalaan 58
5289 Pepingen"
"Hanne De Smet","Christellehof 393
3141 Trivières"
"Denise Sanders","Jansteeg 9
9516
Merksplas"
"Peter Mariën Verdonck","Mariastraat 763
4241
Hamipré"
"Marc Vermeulen","Judithbaan 835
3941
Sint-Lievens-Esse"
"André Jacobs","Amélielaan 7
5123 Sint-Kruis-Winkel"
"Stijn De Paepe","Joëllebaan 174
6699 Haasrode"
"Wout De Bruyne","Lucpad 02
1925 Vezin"
"Tessa Van de Velde","Janring 073
8800 Oeren"
"Said Pauwels","Hendrikboulevard 0
9486 Sombreffe"
"Marina Devos","Dirkboulevard 6
2912 Roselies"
"Eddy Claes","Veerlesteeg 31
4468 Linter"
"Rebecca Maes","Moniquesteeg 89
9789
Oret"
"Pierre Bruggeman","Jorissingel 52
9836
Deurle"
"Marcel Hanssens","Estherweg 6
1593
Sint-Lambrechts-Herk"
"Dirk Diallo","Ericlaan 487
4025
Wakken"
"Julien Aerts","Geertlei 8
8028 Koninksem"
"Elena Callewaert","Baspad 130
3188
Oostnieuwkerke"
"Hannah Coppens","Gustaaflaan 4
9951
Binderveld"
"Lana Theunis","Julialei 180
6967
Biesmerée"
"Michael Maris","Nilssingel 87
4680 Bas-Oha"
"Tamara Lauwers","Franslei 4
3480 Zichem"
"Olga De Jonghe","Sarahring 3
2406
Wommelgem"
"Giuseppe Tielemans","Ritaboulevard 880
6947 Houffalize"
"Marcel Helsen","Juliepad 0
6504 Bande"
"Mustafa Michiels","Sandydreef 362
8248
Vlimmeren"
"Johnny Martens","Fatimahof 70
3112
Chantemelle"
"Marc Wouters","Marieweg 2
8093 Villers-la-Tour"
"Tatiana Bosmans","Hugolei 8
5221 Appels"
"Pascal Naessens","Lucring 057
3329
Odeigne"
"Jonas Peeters","Hermanstraat 668
3312
Faymonville"
"Manon Devos","Wernerbaan 7
6627 Laplaigne"
"Werner Rogiers","Cindyboulevard 54
9396 Aiseau"
"Tobias Deckers","Evelienhof 40
2897 Mechelen-aan-de-Maas"
"Marcel Peeters","Hansweg 048
5126
Opoeteren"
"Lucas De Mey Van Dessel","Andréweg 970
9082
Landegem"
"Laura Bekaert","Bryanring 147
6237 Beclers"
"Alice Hendrickx","Milanlaan 66
1127
Virelles"
"Frans Van Damme De Jonghe","Elsstraat 602
8512 Retie"
"Julien Andries","Luclei 591
3401 Manhay"
"Tim De Witte","Tommyboulevard 6
6216
Saint-Jean-Geest"
"Peter Daniels","Ilsesteeg 3
8773 Lot"
"Femke De Witte","Valeriering 455
5680 Fays-les-Veneurs"
"Ingrid Verheyen Timmermans","Barbararing 7
7287 Harsin"
"Marcel Sels","Stephanielei 6
5018 Kester"
"Aicha Van Laere","Veerlelei 8
5123
Sint-Huibrechts-Lille"
"Jeroen Casier De Wilde","Jonathandreef 62
2342 Forêt"
"Ludovicus Timmerman","Khadijastraat 08
2438 Oud-Turnhout"
"Christiane De Moor","Yvonnesingel 60
2633 Waudrez"
"Marie Van de Velde","Robinhof 9
9969
Thuillies"
"Rita Vanderlinden","Frederiksingel 78
3786 Borlo"
"Femke Moons Tielemans","Davyring 60
1724 Overboelare"
"Luc Maes","Marie-Thérèsesteeg 93
2479 Tellin"
"Ann Verheyen","Janstraat 986
6856 Waasten"
"Marcel Verlinden","Joachimweg 98
2663 Appelterre-Eichem"
"Stan Martens","Wesleyhof 450
3686
Sivry"
"Alain Devriendt","Magdaboulevard 44
9656 Lavoir"
"Samuel Wouters","Bohof 957
3817 Kooigem"
"Josiane Nys","Thomasbaan 539
9281
Sint-Maria-Latem"
"Brenda Dubois","Monasingel 32
1406
Ellikom"
"Lena Vanneste Fransen","Eveliensteeg 59
1397 Assenois"
"Zoë Sanders","Anjaring 974
8246
Sint-Amandsberg"
"Jan Callebaut","Mohamedlei 6
4795 Sint-Huibrechts-Hern"
"Rosa De Smet","Benoitring 70
9964
Melle"
"Marcel Verstraeten","Marcopad 57
2284 Zuienkerke"
"Jurgen Jansen","Giannibaan 21
1496 Grote-Spouwen"
"Liv Geerts","Cindylaan 6
7150 Oevel"
"Rosalie Goris","Cindybaan 51
5567
Herseaux"
"Gregory Vissers Nuyts","Karinhof 6
5457
Wéris"
"Sam Pauwels","Gerardlei 9
1681
Mesnil-Saint-Blaise"
"Kathleen Torfs","Johnnylaan 452
8054
Wardin"
"Franky Dierick Baetens","Noorstraat 3
3506 Sint-Maria-Latem"
"Michaël Bosmans","Koenstraat 476
6713 Maransart"
"Diana Van den Bergh","Geertboulevard 214
2443
Cour-sur-Heure"
"Marcella Jacobs","Wimsteeg 9
9914 Ronquières"
"Yvette De Smet","Marleenlaan 52
3095
Sint-Job-in-'t-Goor"
"Brian Leysen","Pierrelaan 82
2277
Ransberg"
"Seppe Michiels De Vos","Hildesingel 7
9358
Sint-Martens-Voeren"
"Kenny Coenen","Maximestraat 5
3783 Neerharen"
"Stefanie Vandecasteele","Wimlei 1
6124 Fraire"
"Sabrina Thijs","Louislei 03
9498 Alken"
"Katrijn Jacobs","Elslaan 42
1884 Genly"
"Bart Vermeersch","Victorhof 85
2958 Baudour"
"Wim De Cock","Viktorweg 955
4827
Warchin"
"Marcella Jansen","Robertsteeg 80
6221 Lahamaide"
"Gert Leysen","Vivianelei 4
4030
Focant"
"Leo Callens","Mariobaan 85
3198
Le Roeulx"
"Bram Vandenbussche","Jacquesbaan 881
5193 Maasmechelen"
"David Devolder","Celinestraat 9
6227
Hermeton-sur-Meuse"
"Abdul Jacobs","Miadreef 056
6702 Saint-Léger"
"Patricia De Smet","Maartenlei 91
3780 Zandvoorde-Oostende"
"Dave Van den Broeck","Jasonstraat 0
2855 Saint-André"
"Denise Ramaekers","Karelhof 949
2748
Hoogstade"
"Maria Maes","Wouterboulevard 96
2504 Serskamp"
"Marcella Lemmens","Stijnsteeg 815
7923
Wanzele"
"Annita Philips De Backer","Kurtsteeg 1
4695 Overrepen"
"Ann Buyse","Sienring 62
5140
Jollain-Merlin"
"Tine Debruyne","Sylvieboulevard 1
3639
Cognelée"
"Kristine Janssens","Maartenring 00
5224
Waret-l'Evêque"
"Monique Stas","Julielaan 85
2111 Hechtel-Eksel"
"Eva Seghers","Alfredhof 2
6974 Bende"
"Ilyas Faes","Ritaboulevard 382
1637 Elingen"
"Anja Wouters","Marjanhof 7
3048 Aywaille"
"Ronny Demeyer","Evysingel 285
2271
Assesse"
"Marcella Op de Beeck","Henriettehof 8
9072
Fronville"
"Hannelore De Bruyn","Matthiasstraat 5
1306
Koolskamp"
"Patrick Geerts","Jorenbaan 55
2760
Robertville"
"Dorine De Meyer","Patrickbaan 6
4357
Retie"
"Myriam Liekens","Ameliapad 29
8586 Waremme"
"Tatiana Thys","Emmaboulevard 64
6494
Gérouville"
"Valerie Van den Bossche","Julessteeg 5
3686 Loenhout"
"Geert Hoste","Emmahof 81
5509 Godinne"
"Lutgarde Janssens","Christaboulevard 707
9058
Zutendaal"
"Adam Peeters","Marchof 1
3562
Horebeke"
"Marco De Boeck","Antonioring 638
7989
Grammene"
"Bart Mertens","Godelievelaan 57
2333
Bohan"
"Alexander De Vuyst","Lenaring 3
7267 Châtelet"
"Christine Jacobs","Lindaring 34
6487 Sint-Maria-Oudenhove-Brakel"
"Luc Staelens","Eduardbaan 683
6025 Ciergnon"
"Jozef Braem","Anneleendreef 4
5303 Acoz"
"Ella Van Loo","Ericstraat 78
8784
Chercq"
"Maria Thijs","Mohamedsingel 73
2360 Verviers"
"Greta Vrancken","Martinadreef 555
4925 Evere"
"Marie Matthys","Juliennesingel 07
5389 Châtillon"
"Margaretha Bracke","Natasjadreef 082
6335 Assent"
"Filip De Cock Denys","Geoffreyhof 46
2571 Herten"
"Erik Vanhove","Irèneweg 6
6807
Belgrade"
"Eddy Derycke","Gilbertring 97
5821
Beek"
"Léon Declercq","Alicesingel 0
3723 Mater"
"Jozef Nys De Clerck","Sofieboulevard 868
8197
Lebbeke"
"Johan De Bock","Marcelbaan 0
4727
Herent"
"Lars Hoste Daniels","Carolinepad 2
9421
Freux"
"Vince Vanhoutte","Kristelweg 36
8102 Perwez"
"Walter Verhaeghe","Stefanieboulevard 149
1648 Beernem"
"Margaretha Mees","Willysingel 092
7862 Duisburg"
"Jozef Nuyts","Dannysteeg 16
2590 Wortegem-Petegem"
"Els De Wit","Hendrikdreef 21
9245
Fayt-lez-Manage"
"Anita Gielen Hendrickx","Lorestraat 48
6703 Forêt"
"Erna De Smet Hermans","Kellydreef 527
5911
Verlaine"
"Pierre Verschueren","Françoisweg 99
6226
Oosteeklo"
"Caroline Govaerts","Mathildebaan 039
3515 Kortenaken"
"Lies Vandenberghe","Iansingel 568
9598 Faulx-les-Tombes"
"Patrick De Vos","Katleenlei 26
8040 Ghoy"
"Henricus Van Gestel","Annsingel 9
1750
Overwinden"
"Margot Vandewalle","Andreasboulevard 52
7337 Komen-Waasten"
"Greta Buelens","Gertdreef 8
1083 Diksmuide"
"René Baeten","Lilianesteeg 17
4426 Brugge"
"Nick Jans","Tibedreef 88
3424 Nivelles"
"René Vanneste","Julieweg 579
4447
Bièvre"
"Lutgarde Vercruysse","Kristellaan 5
1538
Rebecq"
"Inge Willems","Karelhof 30
4734
Ville-Pommeroeul"
"Mauro Van Hove","Johanlei 254
9792 Sint-Joris-Beernem"
"Luc Demuynck","Kristelbaan 4
2973
Schellebelle"
"Agnès Vandenberghe Bonte","Andystraat 50
7231
Peer"
"Maria Baele","Thomasdreef 893
7928 Affligem"
"Chantal Segers","Silkeweg 148
1758 Erbisoeul"
"Luc Van Damme","Evelynring 382
1546
Morlanwelz-Mariemont"
"Kristof Van Bogaert","Lucasweg 3
8123 Mortroux"
"Alicia Swennen","Chrisboulevard 748
2124 Donstiennes"
"Mohammad Maertens","Sandraboulevard 21
4162
Berlare"
"Maarten De Decker","Jean-Pierresteeg 36
3228
Meslin-l'Evêque"
"Marc Thijs","Gilbertlei 0
9046
Calonne"
"André Bauwens","Martinestraat 6
8799 Dessel"
"Jacqueline De Backer","Evysingel 354
1119 Branchon"
"Maria Bogaerts","Jefstraat 20
9436 Clavier"
"Diederik Verstraeten","Krissteeg 9
9727 Herstal"
"Jean-Pierre Verbeeck","Patriciadreef 8
1954 Beselare"
"Kevin De Schrijver","Hugobaan 473
2817 Coutisse"
"Thijs Verhulst","Maartenweg 14
2485
Russeignies"
"Wilfried Colman","Stijnring 8
6248 Couture-Saint-Germain"
"Elke Blondeel","Isabelledreef 132
5051
Heppenbach"
"Charlotte Broeckx Blondeel","Jessicalaan 695
1667
Fraiture"
"Evy Van Damme","Waltersteeg 57
7934 Bredene"
"Elias Renders","Jacquelineweg 72
1282 Warsage"
"Maria Bogaerts","Nicolestraat 652
7131
Glons"
"Claudia Van Goethem","Magdalenahof 453
9776
Oreye"
"Isabelle Van Dyck","Ankesteeg 9
4533
Snellegem"
"Nicolas Casteleyn","Sabineweg 4
2974 Heuvelland"
"Veerle Helsen","Miellei 2
3874
Habay-la-Neuve"
"Joyce Smits","Nancylei 4
4742
Saint-Aubin"
"Stijn Slegers","Janbaan 73
7227
Waulsort"
"Geert Aerts","Michelinelei 518
8784
Yves-Gomezée"
"Vincent De Clerck","Muratdreef 8
5099 Boekhout"
"Anouk Peeters","Diederikboulevard 2
1942 Jesseren"
"Maria Bouckaert","Alicesingel 2
6198 Guirsch"
"Tim Willems Bruggeman","Leastraat 88
5083
Amonines"
"Linda Neyens","Jarnosteeg 6
5772
Noirefontaine"
"Kris Van Hecke","Lydiastraat 74
6626
Bleret"
"Erna Vanbrabant","Alfonsstraat 9
4029
Linden"
"Jonas De Graeve","Patrickring 97
7371 Sint-Eloois-Winkel"
"Dirk Slegers","Greetlaan 563
4207 Fize-Fontaine"
"Malika Cuyvers Tielemans","Annsteeg 202
9926 Grimbergen"
"Thomas Nuyts","Mustafalei 501
1112
Peissant"
"Ruben Devolder","Willemsteeg 883
7908 Gelrode"
"Maria Cuypers","Etiennedreef 79
3044 Ursel"
"Frederik Jansen","Filippad 39
4043
Vaulx"
"Marleen Claes","Peterbaan 59
5306
Familleureux"
"Christel Malfait","Ahmadsteeg 684
9845
Berchem"
