"Aaron Bruneel","Mauricesteeg 94
2260 Rijkhoven" 
"Davy Schepens","Svensingel 89
5615 Viemme"
"Luna Verschueren","Daisysingel 0
3950 Voeren"
"Koen De Wilde","Robertring 6
2850
Barbençon"
"Marijke Verstappen","Liamstraat 64
3788
Glabbeek-Zuurbemde"
"Lies Leemans","Natalialei 7
3909
Tongerlo"
"Karim Pieters","Patricksingel 40
2537
Buzet"
"Tommy Pieters","Lucapad 09
5369 Braives"
"Ahmet Claes","Marielei 688
4796
Bergilers"
"Ismail Moonen","Mohamedlei 04
3175 Lompret"
"Bruno De Vos","Ritaboulevard 19
8723
Rouvroy"
"Dirk Willems","Gerthof 1
7691 Langemark-Poelkapelle"
"Lutgarde Boone","Katrienlaan 282
9143
Hollange"
"Laura De Pauw","Bartstraat 738
9799
Opglabbeek"
"Annick Van den Bosch","Ilsestraat 48
9670
Bersillies-l'Abbaye"
"Nadia Cools","Stephandreef 33
1245 Dottenijs"
"Dorien Laenen","Ansingel 6
2796
Winksele"
"Paul Baeyens Coppens","Lucboulevard 2
4309
Massenhoven"
"Maria Willems","Theodoordreef 313
1360
Smuid"
"Ingrid Smet","Marthahof 4
8695 Herk-de-Stad"
"Mathis Vandewalle","Sienhof 0
5301
Neerheylissem"
"Julien Demeulenaere","Stijnring 0
1571
Bouvignies"
"Lutgardis Goethals","Riksteeg 40
8911
Nederboelare"
"Marie-Louise Verstraeten","Mariastraat 50
2197 Leefdaal"
"Joris Decoster","Paulinepad 99
8229 Hastière-par-Delà"
"Axel Vandamme","Tamarasteeg 7
2527
Sint-Joost-ten-Node"
"Kirsten Van Lierde","Juliedreef 735
9272
Marcourt"
"Kato Maes","Stefaanlei 2
3145
Villers-sur-Semois"
"Charlotte De Winter","Albertlaan 71
1154 Westerlo"
"Zoë Geens","Paulsteeg 28
7906
Wilderen"
"Ann Wellens","Andréboulevard 551
6175 Reuland"
"Maria Willaert","Hannespad 3
9202 Kleine-Spouwen"
"Lydia De Muynck Michiels","Marinahof 544
2017 Gentbrugge"
"Nils Bonte","Peterlaan 56
6533 Vodecée"
"Monique Van Looy","Seppedreef 386
6666 Viane"
"Sofie Hanssens","Chrislaan 99
2311
Couture-Saint-Germain"
"Robert Van Loon","Carolinalei 1
6700
Schelderode"
"Lisa Lemmens","Kellyboulevard 791
2977 Thimister-Clermont"
"Carine Vermeersch","Georgeslei 6
4280
Habay-la-Vieille"
"Quinten Willekens","Ilsesingel 302
7205
Haut-Fays"
"Rudy Moens","Matthiasring 60
9316
Gors-Opleeuw"
"Wouter De Block Peeters","Kattylaan 77
2220 Sint-Lambrechts-Woluwe"
"Lydia Knockaert","Joshualaan 376
8816
Grandmetz"
"Eva Wouters","Stefaanlei 16
6241 Rollegem"
"Liv Demeyere","Lynndreef 6
7207
Huppaye"
"Erik Jacobs","Marcstraat 51
6886 Jette"
"Marleen Pollet","Andystraat 450
9958 Gits"
"Victor Broeckx","Fredericring 7
4651 Nieuwkapelle"
"Franky Aerts","Louisebaan 8
7975 Petit-Roeulx-lez-Nivelles"
"Kobe Michiels Bogaerts","Karolienstraat 8
5978
Esneux"
"Luc De Meyer","Johanlei 8
7085 Chaineux"
"Ellen Meersman","Emmanuelsteeg 06
2562
Buvingen"
"Lydie Claes","Johansteeg 406
1964
Lembeke"
"Dries Mertens","Tomring 62
9547 Brasschaat"
"Jeanne Knockaert","Krisstraat 94
4223
Oostmalle"
"Jasper Segers","Driesstraat 1
9342 Salles"
"José Thys De Bock","Kimlei 85
3890
Markegem"
"Wouter Van Rompaey","Ingridboulevard 90
7664
Hendrieken"
"Tessa Wouters","Mariahof 76
4969 Torhout"
"Wesley Bracke","Karlpad 2
5046
Rotselaar"
"Victor Leemans","Kimstraat 0
2086 Poesele"
"Erwin Van Daele","Marceldreef 15
9939 Willerzie"
"Lydie Huysmans","Philippedreef 627
1160 Recht"
"Nathalie Geudens Vercruysse","Suzanneweg 34
2340
Jurbise"
"Chantal Roels","Mariannelei 919
3411
Grand-Axhe"
"Marjan Everaert","Stefaanhof 81
1337
Gougnies"
"Viviane Huyghe","Fransstraat 5
6815
Heyd"
"Olivia Luyten","Yolandaweg 4
4642
Geetbets"
"Kathleen Vermeersch","Denisesingel 565
6830
Lantremange"
"Erna De Smedt","Emielring 9
6186
Rhisnes"
"Jef De Bie","Anne-Mariestraat 5
5202
Ploegsteert"
"Jean-Marie Singh","Philipring 703
1705 Gottignies"
"Lynn Herman","Larssingel 219
7918 Saint-André"
"Christel Beeckman Theunis","Wesleysteeg 1
6988 Binche"
"Marc Mertens De Wolf","Annastraat 78
7542 Aywaille"
"Nick Van Lierde","Yasmineweg 888
6086
Dorinne"
"Raymond Willems","Bennylei 77
5435 Montroeul-au-Bois"
"Jill Ramaekers","Ivanstraat 91
7179 Ohain"
"Steven Van den Broeck","Davybaan 3
2042
Neervelp"
"Carine Vandenberghe","Roelsingel 164
4070
Sint-Goriks-Oudenhove"
"Dave Aerts","Cindyhof 577
3669
Chapelle-à-Oie"
"Christel Goossens","Bartbaan 8
8234 Steenokkerzeel"
"Maaike Wouters","Driesring 9
5024
Moorsel"
"Isabella De Vos","Patricksteeg 820
3817
Werbomont"
"Jasper Verhoeven","Carlalaan 7
7554
Waasten"
"Luc De Block","Richardring 4
1112 Gestel"
"Nele De Smedt","Mariabaan 51
2934
Pont-à-Celles"
"An Stevens","Mariapad 67
3741 Lantremange"
"Frederick Lambrechts","Christinering 771
3673 Pousset"
"Romain Beckers","Milanstraat 4
6547 Villers-la-Bonne-Eau"
"Marie Willems","Jeanninedreef 73
3108
Rouvreux"
"Lieven Vervoort","Kristinesteeg 9
5017
Vissenaken"
"Maarten De Rycke","Xavierhof 1
2143
Dailly"
"Magdalena Van den Bosch","Lydiebaan 0
5256 Saint-André"
"Margaretha De Meester","Michelstraat 02
5142 Vedrin"
"Thomas De Coster De Bock","Christophering 60
5723
Anseroeul"
"Christian Baert De Backer","Hendrikstraat 893
9751
Tilly"
"Patricia Vanneste","Jansteeg 54
1509
Romedenne"
"Daan Ceulemans","Björnbaan 4
5807
Harnoncourt"
"René Bouckaert","Jessicaweg 717
9419 Flémalle"
"Marieke Smolders De Wilde","Ludosingel 21
7286 Folx-les-Caves"
"Cindy Vandenberghe","Patricksteeg 769
2936 Eben-Emael"
"Maarten Smets De Clercq","Amypad 139
3905
Glimes"
"Simonne Heyvaert","Kristofboulevard 23
2904
Landenne"
"Marie De Block","Kristofboulevard 6
4965 Oignies-en-Thiérache"
"Joannes De Schutter","Leabaan 814
7225 Westende"
"Nils Thomas","Timdreef 844
7716
Emelgem"
"Betty Janssens","Ludostraat 5
1915
Werchter"
"Stefaan Verstraeten","Mariettedreef 58
3551 Langemark-Poelkapelle"
"Astrid Van Dessel","Marijkesingel 22
8200 Florennes"
"Marc Sels","Etiennesteeg 25
6884 Loker"
"Christophe Nijs","Koenboulevard 6
1322 Burst"
"Madeleine Verhaegen","Tomsingel 3
1825
Wellin"
"Elisabeth Bruggeman Reynders","Freddysteeg 65
8046
Wijer"
"Jeroen Moens","Patrickweg 06
1379
Schore"
"Jessica De Leeuw Schepers","Mariadreef 8
1312
Jandrain-Jandrenouille"
"Jana Hermans Bossuyt","Isabellaan 259
2558
Loenhout"
"Wout Colman","Sergeweg 815
6072 Ham-sur-Heure"
"Kathy Rosseel","Tanjapad 72
4444 Mechelen"
"Marie-José Moonen","Patrickboulevard 870
6205
Vlijtingen"
"Gerda Smeets","Bartring 7
2173
Haren-Tongeren"
"André Claessens","Annhof 9
7258 Broechem"
"Magali De Ridder","Kristofdreef 60
2240
Uikhoven"
"Arno Hoste","Patrickpad 06
8791 Jehonville"
"Kaat Smet","Francinering 91
3593 Ernage"
"Filip Goossens","Elkering 057
6390
Grandmetz"
"Erik Verstraete","Marialaan 0
1344
Bavegem"
"Cindy De Waele Geerts","Ilonaring 89
5028 Sint-Gillis"
"Katrien Dupont","Amirasteeg 5
9142 Varendonk"
"Hilda Decock","Marinasteeg 992
9753 Surice"
"Iris Hermans","Henkdreef 3
4029
Villers-la-Tour"
"Joseph Wellens","Ahmetstraat 3
8479
Tontelange"
"Magda Dubois","Rudidreef 95
7077
Strijpen"
"Michiel Delaere","Jeanninelei 16
9539
Hodeige"
"Rosette Declerck","Ronnydreef 151
4037
Lovenjoel"
"Wim Willems Beckers","Adampad 15
4758
Duisburg"
"Lise Vanbrabant","Alexiabaan 007
1471
Woumen"
"Luc De Mulder Vermeire","Patricksteeg 81
9703 Habay"
"Mila Baeten","Mohammedweg 78
9367
Neerlinter"
"Youssef De Bruycker","Danielpad 98
2056
Moen"
"Tania Van de Walle","Noahsingel 8
2216 Rocherath"
"Ann Decoster","Kellyweg 70
7578
Athus"
"Magda Hermans","Renébaan 09
3720 Bossut-Gottechain"
"Gunther De Coster","Katrijnboulevard 64
6347
Solre-Saint-Géry"
"Jayden Heymans","Wimhof 6
6335
Welden"
"Wout Verlinden","Jessicalei 658
4982 Porcheresse"
"Wim Janssens","Mariadreef 9
3484
Kwaremont"
"Sabine Poppe","Nadinehof 4
3057
Paulatem"
"Maurice Claes","Stijnsingel 102
3080 Merdorp"
"Didier Pollet","Anaïslaan 012
7741
Herzele"
"Marie Baeten","Björnlaan 1
8129 Mariakerke"
"Paul Van Hoof Moons","Tomsingel 5
7979 Blaasveld"
"Magda Michiels","Jeaninesteeg 43
5097
Neeroeteren"
"Els Segers","Krislaan 021
7718 Zulte"
"Jessica Smeets Liekens","Lisettebaan 137
8569
Spermalie"
"Pieter Verstraeten","Johannabaan 782
2918 Hemiksem"
"Bas De Pauw","Marinaboulevard 2
7202 Pepinster"
"Diana Goethals","Woutbaan 6
1337 Obigies"
"Willy Michiels","Martinehof 3
2053
Kalmthout"
"Vicky Vanneste","Constanthof 321
7042
Astene"
"Bart Verwimp","Saraweg 36
3427
Villers-le-Temple"
"Sophie Nys Engels","Josephinasteeg 39
5841
Hombourg"
"Magdalena Colman","Wimlei 303
8408 Saint-Martin"
"Charles Vermeulen","Isabellaan 327
7670
Bellefontaine"
"Kristof Baeten Vanhove","Paulbaan 7
3730
Houthem"
"Ann Depoorter","Alineweg 422
2578
Kortessem"
"Suzanne Pattyn Van Gorp","Mariadreef 7
1715 Baaigem"
"Charlotte De Meyer","Margarethastraat 2
5869 Angleur"
"Annie Ceulemans","Lorering 9
1947
's Herenelderen"
"Ronny De Meester","Robbepad 4
3717 Wannebecq"
"Lies Vercauteren","Arnesteeg 3
6452 Gottignies"
"Annie Ahmed","Willemstraat 12
1977
Mont-Saint-André"
"Magdalena Samyn","Luclei 052
4841
Bekkevoort"
"Tom Bruyninckx","Claudinestraat 19
5100
Geluwe"
"Greta Vlaeminck","Lennsingel 148
7263 Oteppe"
"Michaël Mariën","Victoriaboulevard 9
5951
Ecaussinnes-Lalaing"
"Dirk Smets","Bramsteeg 77
3436 Moelingen"
"Elke Brouwers","Guyring 78
6847
Sint-Lievens-Houtem"
"Christel Van Herck","Milanpad 1
9928
Hoogstade"
"Emiel Goossens","Erikhof 210
9868
Binderveld"
"Tina Slegers","Marielei 1
4337 Seny"
"Jarno Van Damme","Christapad 857
3487
Marneffe"
"Magdalena Van Parys","Janbaan 2
1582 Gourdinne"
"Ruben Smet","Mariering 9
6124
Evegnée"
"Hasan De Vos","Willemring 031
6138 Mesen"
"Silke Verfaillie","Jessedreef 2
4335 Bornem"
"Veronique Declercq","Xavierbaan 79
5318 Tongeren"
"Nancy Belmans","Johansingel 697
6812 La"
"Audrey Mertens","Christophelaan 4
9444 Floriffoux"
"Sophia Van Hecke","Mauricesteeg 20
8357 Bilstain"
"Eddy Leysen","Alfonsdreef 9
3098
Dikkebus"
"Ria Aerts","Christiannelaan 14
7572 Roclenge-sur-Geer"
"Magdalena Verhoeven","Vincelaan 93
4704
Saint-Remy"
"Melissa De Vos","Martinesingel 225
9863 Limelette"
"Regina Colman","Ritapad 775
9857 Lamain"
"Eddy Wouters","Sofiebaan 0
7162
Blicquy"
"Nina De Smet","Patricklei 511
1229 Heestert"
"Ronny Schepers","Geertlaan 2
4077
Calonne"
"August Ooms Cuypers","Anthonybaan 07
9989 Haasrode"
"Els Vervoort","Ginolaan 6
7800 Scheldewindeke"
"Tamara Willems Verelst","Sofiedreef 55
4958
Kluizen"
"Ibrahim Van der Linden","Rudipad 824
9775 Javingue"
"Malika Maertens","Lindabaan 43
4018 Kooigem"
"Anne-Marie Verheyen","Jeanring 3
6293
Saint-Nicolas"
"Jens Luyten","Kamielstraat 919
7081 Noville"
"Luc Van Praet","Alexandrabaan 15
6270 Hees"
"Liliane Lievens","Warrering 2
5426 Vaux-lez-Rosières"
"Claire Blomme","Stevendreef 493
9769
Arc-Wattripont"
"Martine Vlaeminck","Janadreef 33
8862
Rumsdorp"
"Lisa Van Driessche","Martinepad 8
3838
Gelinden"
"Elien Van Damme","Kellyweg 44
1699 Baal"
"Rita Matthys","Nielsweg 4
2193
Roosbeek"
"Malika Vandaele","Bartlaan 1
7958 Walhain"
"Willy Dewilde","Miekelei 2
6071 Hemiksem"
"Martine Dupont","Martinlei 249
4394
Hennuyères"
"Tim Daniels","Sonjalaan 18
2354 Marche-lez-Ecaussinnes"
"Ann De Meester Vermeir","Nicoleweg 9
3965
Pepinster"
"Marie De Ryck","Aminaring 6
5515
Belgrade"
"Philip Van de Walle","Lindadreef 82
1115 Sint-Michiels"
"Peter Verheyden","Marcussingel 657
4114 Sint-Gillis"
"Liesbeth De Keyser","Carinadreef 227
5507 Geest-Gérompont-Petit-Rosière"
"Yvan Aerts","Woutdreef 52
1961 Hoeleden"
"Manon Moens","Elkelei 69
4975
Javingue"
"Marie Vanhee","Mariehof 9
8995
Chantemelle"
"Wim Janssens","Christelsteeg 5
6649
Elverdinge"
"Yana De Winter","Josébaan 37
3991
Wanze"
"Els Van Acker","Lucienlei 0
4699 Bottelare"
"Johan Martens Verbeke","Elisabethstraat 16
4238
Jesseren"
"Virginie Andries Lemmens","Mathiasdreef 31
1785 Mortsel"
"Maria Swinnen","Kathleenbaan 95
7154 Gros-Fays"
"Fatima Vos","Manonweg 426
1667
Ohey"
"Albert Meersman","Wesleylaan 989
6134 Londerzeel"
"Marc Braem","Mariadreef 102
2634 Scherpenheuvel-Zichem"
"Pieter De Smet","Raoulhof 59
5270 Kobbegem"
"Piet Mahieu","Juliering 4
3562
Waarmaarde"
"Rita Van Belle","Mireilledreef 708
5918
Epinois"
"Martine Everaert Hens","Franshof 5
7320 Marke"
"Julia De Pauw","Evelynedreef 19
8380 Battignies"
"Godelieve De Cock","Nadinehof 674
2765
Lombise"
"Juul De Smet","Marialaan 17
6814
Quévy"
"Wim Verhaeghe","Hansboulevard 738
8182
Fosses-la-Ville"
"Carine Van Dessel","Mariesingel 02
3861
Hody"
"Marc Bruneel","Bilaldreef 107
1136
Abolens"
"Michelle De Smet","Glennsingel 029
9908 Vinalmont"
"Ruth De Vos","Julianweg 4
5256
Moerbeke-Waas"
"Florence De Keyser","Petraring 534
4481 Villerot"
"Rudy Nys","Tomhof 23
8802 Deftinge"
"Marie-Thérèse De Neve","Joeriboulevard 47
1513
Achel"
"José Vercammen","Charlotteweg 82
7205
Erpent"
"Tom Reynders","Myriamsingel 1
2619
Rummen"
"Fabienne Verbeeck Baeten","Marcweg 66
9313
Humain"
"Nadia Aerts Lievens","Lydiaweg 3
8493
Mere"
"Marc Callebaut","Auguststraat 809
7386 Chapon-Seraing"
"Marc Schepers","Lucsteeg 0
9866 Comblain-Fairon"
"Jacques Demeulenaere","Vincebaan 773
6351 Bleret"
"Mathieu Van Genechten","Franklaan 97
1404
Court-Saint-Etienne"
"Jan Michiels","Joeribaan 18
9061
Buvrinnes"
"David Adriaenssens","Melissapad 0
5403
Sint-Katherina-Lombeek"
"Victor Bossuyt Staelens","Nataliebaan 59
6400 Ellikom"
"Huguette Feys","Josephinepad 982
5722
Haasdonk"
"Ali Reynaert","Jennylaan 651
1879
Herdersem"
"Tom De Rycke","Iliasring 3
6937 Westende"
"Marc De Bie","Joannadreef 645
5382
Outrelouxhe"
"Justine Aerts","Lenaweg 4
9296
Neerwaasten"
"Filip Cornelis","Jasperring 814
6455 Denderbelle"
"Walter Mertens","Dirksteeg 54
5475
Doische"
"Alexander Samyn","Rosalaan 6
9914
Kortessem"
"Cathy Wouters","Nicolelaan 47
6119 Zwijndrecht"
"Kim Van Hecke","Jacquelinehof 1
2059 Oudekapelle"
"Patricia Van Laer","Ingridstraat 3
6670
Volkegem"
"Jenny Segers","Elenasteeg 31
1414 Londerzeel"
"Marleen Van de Voorde Thijs","Aurélielei 073
9793 Grote-Brogel"
"Marc De Groof Van den Bossche","Ellensteeg 174
2155 Hollebeke"
"Sander De Schryver","Adrianasteeg 3
1024
Aywaille"
"Frank Decock","Isabellesteeg 81
1095
Sart-lez-Spa"
"Kristof De Wulf","Mariolaan 0
7804 Sommethonne"
"Claudine Singh","Sandersteeg 79
8465
Lesve"
"Rune Polfliet","Lindehof 3
3007
Thimister-Clermont"
"Dirk Vandekerckhove","Rogerboulevard 966
9169 Grand-Axhe"
"Sarah Galle","Frederiksingel 0
7213 Outrelouxhe"
"Willy Segers","Christianestraat 6
1779 Gages"
"Jade Malfait","Moniquesingel 4
5808 Borsbeek"
"Marc De Smet","Kristahof 37
1433
Saint-Maur"
"Kathleen Pauwels D'hondt","Abdulsingel 01
8853
Overrepen"
"Emmanuel Aerts Hoste","Suzannesingel 2
3299
Rebaix"
"Amir Van Goethem","Antoniostraat 3
7440 Tielrode"
"Robert Jacobs","Svenstraat 140
3261 Melle"
"Sarah Devolder","Lieselotstraat 28
5676 Aublain"
"Herman Ali","Bosteeg 779
4742 Lesterny"
"Charles Van Landeghem","Ernahof 2
5457 Overboelare"
"Ida Yildirim","Katobaan 928
3212
Kortrijk"
"Sofie Van de Voorde","Jokesingel 71
8527
Sommethonne"
"Marc De Vos","Mariaweg 93
6516
Villers-le-Peuplier"
"Bernard Michiels","Jordihof 7
7467 Koningshooikt"
"Hans Janssens","Gastonweg 173
6271
Ligney"
"Silvia Timmermans Van de Velde","Anneleenpad 958
1584
Beerst"
"Kevin De Meyer","Rosabaan 7
8075
Moresnet"
"Kris Beernaert","Daviddreef 7
9491 Cerfontaine"
"Lisa Devos","Lottesteeg 187
7101 Keiem"
"Herman Demeyer","Williamring 6
7002 Hulsonniaux"
"Ludovic Leysen Desmet","Patricklei 2
6569
Hemiksem"
"Jacques Wouters","Brahimstraat 7
8147
Zomergem"
"Marc Diallo","Evelinedreef 39
6924
Surice"
"Yasmina Debruyne","Angelohof 3
4976 Montenaken"
"Mario De Jonghe","Patrickhof 4
7692
Guignies"
"Vincent Lenaerts","Bartlei 801
4744 Lendelede"
"Josephine Verlinden","Jeroenring 2
1586 Angreau"
"André Smets","Veroniquesingel 387
7408
Peissant"
"Maria Vandenbussche","Jozefring 029
1357 Lorcé"
"Yana De Schrijver","Elisabethboulevard 75
7087 Grosage"
"Elena Coene Maes","Yvettepad 301
3547
Sivry"
"Rita Vermeylen","Fernandhof 30
5211
Champlon"
"Marc Engels","Driesweg 447
4793
Marchovelette"
"Frieda Van der Auwera","Carladreef 678
5798
Rozebeke"
"Elif Timmerman","Bertpad 886
2124 Everberg"
"Tuur Janssens","Leopoldhof 08
4562
Comblain-Fairon"
"Antoine Cools","Daanstraat 253
6427 Stavelot"
"Christine Van Landeghem","Guillaumering 946
8178 Rognée"
"Marc Hellemans","Geertring 95
4781
Heure-le-Romain"
"Lukas Van Gorp","Lauraring 5
8708
Roy"
"Eveline Vrancken","Geertweg 8
2035 Beclers"
"Thomas De Roo","Hildesingel 4
5706
Haren-Tongeren"
"Marc Houben","Annyboulevard 010
6957
Welden"
"Jordy Verbeeck De Wit","Odettesteeg 175
3875 Koersel"
"Helga Verbruggen","Fiensteeg 784
7744
Thuin"
"Marleen Verstappen","Norberthof 280
8954
Ransberg"
"Dominique Lambrecht Claes","Lilianedreef 427
1267 Thy-le-Bauduin"
"Davy Schepens","Elslaan 438
6172
Thieusies"
"Ludo De Paepe","Godelievedreef 8
5426 Grimminge"
"Marc Stevens","Pascalsingel 591
7237
Montbliart"
"Fien De Schrijver","Vincedreef 6
6265 Nettinne"
"Tim Decock","Sylvieweg 24
4380
Houtain-le-Val"
"Marc Leys","Jean-Paulbaan 547
5920 Vissenaken"
"Remi Smet","Stevenpad 312
9010
Mont-sur-Marchienne"
"Charlotte De Coninck","Hildaring 9
6702 Zaventem"
"Etienne Kenis Lenaerts","Adamhof 5
2904 Haine-Saint-Pierre"
"Franciscus Dierick","Daviddreef 999
7805
Strée"
"Arne De Neve Vos","Marleenstraat 95
7229
Sovet"
"Marc Vermeulen","Jacquelinehof 372
4940
Walhain"
"Elena Hermans De Clercq","Luclei 96
7552
Daknam"
"Ann Van Loo","Fabiennesingel 27
5956
Onze-Lieve-Vrouw-Waver"
"Rony Slegers","Jellepad 8
3339
Nassogne"
"Marc Maes","Mayasteeg 61
6955
Oleye"
"Diane Van den Bossche","Irmaboulevard 38
7873 Odeur"
"Vincent Van Dyck","Christophelaan 1
4740
Genoelselderen"
"Kristof Vos","Walterstraat 122
8716 Heverlee"
"Dirk Singh","Franksingel 7
7847
Noiseux"
"Anita Vermeersch","Johanweg 5
4830 Morhet"
"Arno Coenen","Mariapad 615
9432
Boussu"
"Linda Verboven","Myriamsingel 54
5762 Spiennes"
"Chiara Pauwels","Emilybaan 47
8547 Sensenruth"
"Noël De Witte","Maximestraat 29
5120
Jamagne"
"Marc Nijs","Franciscusstraat 2
5974 Sleidinge"
"Jacques Maes","Geertring 56
2024 Bellevaux"
"Ingrid Van Hove","Saskiaweg 84
6287 Bourseigne-Vieille"
"Martin Hermans","Rudiboulevard 234
9022 Tertre"
"Hilde Singh","Christinaboulevard 671
5681
Vorst"
"Daniel De Bock","Laurahof 2
6615
Epinois"
"José Lemmens","Paulhof 0
5439
Wulveringem"
"Gunter Wellens","Jeroenweg 56
2763 Oeselgem"
"Hans Van Campenhout","Nelehof 0
2846
Mouzaive"
"Vic Decoster","Michelinesingel 8
6516
Naninne"
"Marc Proost","Florisbaan 1
9244 Soignies"
"Bruno Luyckx","Marcellasingel 4
4684 Ciergnon"
"Marianne Ali","Timothybaan 8
1082
Petit-Roeulx-lez-Nivelles"
"Charles Everaert","Febeweg 3
7852 Plainevaux"
"Ann Maertens Colpaert","Rosapad 0
8276 Falmagne"
"Albert Dhondt","Jeanpad 0
9817 Braine-l'Alleud"
"Dieter Devriendt","Martinering 4
4736 Nalinnes"
"Janne Desmet","Paulpad 53
6308 Hallaar"
"Kevin Yilmaz","Oscarstraat 87
2667
Tisselt"
"Giuseppe Van Damme","Kurtpad 7
6647 Anderlecht"
"Marc Roelandt","Nathanlaan 9
6811
Grandville"
"Evelien Blondeel","Juliettepad 5
7806
Rumsdorp"
"Mohammad Simons","Annelieslaan 29
4304
Alveringem"
"Vincent Op de Beeck","Elsring 41
3203
Poesele"
"Bart Verlinden","Viclaan 869
3363
Schorisse"
"Amelia Huyghe","Dianahof 71
1809
Nevele"
"Greet Somers","Hendriksteeg 602
6380
Geest-Gérompont-Petit-Rosière"
"Andrea Callewaert","Laurentstraat 553
4948 Linden"
"Margaux De Paepe Janssen","Gilbertlei 05
1047
Grobbendonk"
"Marc Michielsen","Christianelei 25
1493 Hanzinelle"
"Marc Stevens","Guidolaan 1
2614
Zottegem"
"Emma Mahieu","Alexandraboulevard 08
6576
Hermalle-sous-Huy"
"Rita Thys","Mohammedbaan 4
4149
Burst"
"Peter Desmet","Frankylaan 18
8529
Eksel"
"Sonja Wuyts","Frederickweg 61
2386
Assenede"
"Maxim Buyse","Linalaan 140
6407
Grand-Rechain"
"Robbe Smolders","Franciscuslei 962
7870
Sint-Jan-in-Eremo"
"Nadine De Weerdt","Robertboulevard 910
5167
Masnuy-Saint-Jean"
"Myriam De Keyser Cools","Mathishof 40
3322 Plombières"
"Kevin De Backer","Christianring 4
3458
Saint-Pierre"
"Marc Vandecasteele","Laurering 3
7808 Sint-Lambrechts-Woluwe"
"Nico Bauwens","Lodewijkweg 4
7295
Menen"
"Anthony Peeters","Guydreef 358
4780 Arbrefontaine"
"Edmond Geerts","Krisdreef 2
6842
Thy-le-Château"
