"Ѓорги Јовановски"|"Никола Вапцаров 711
87858 Битола" 
"Г-н Митко Мартиновски"|"Радовишка 2б/1
12526 Гевгелија"
"Г-н Тихомир Бојаџиев"|"Наум Охридски 8
47154 Дебар"
"Весна Спасовска"|"Тодор Александров 5в
88234 Пехчево"
"Проф. Ангела Ристовска"|"Стоби 4а/5
11550 Демир Хисар"
"Др. Игор Шакири"|"Славеј Планина 5б/3
91788 Скопје"
"Симона Мартиновска"|"Волгоградска 4а
49897 Пехчево"
"Др. Андреј Бојаџиев"|"Бриселска 2в
70037 Куманово"
"Г-ца Сузана Петровска"|"Николај Коперник 2б/3
48721 Скопје"
"Г-ѓа Данче Атанасова"|"Луј Пастер 3в
92218 Струга"
"Др. Петар Бојаџиев"|"Воденска 4а/9
59886 Берово"
"Нина Мојсова"|"Радовишка 8б/2
19765 Пехчево"
"Проф. Кирил Димовски"|"Букурешка 6а
00934 Куманово"
"Проф. Наум Николовски"|"Тодор Александров 9в
24595 Гевгелија"
"Коста Ѓорѓиевски"|"Јане Сандански 1б
27555 Богданци"
"Др. Емил Димитриев"|"Михаило Апостолски 1а
56487 Радовиш"
"Мирјана Симоновска"|"Македонија 6б/2
05931 Кавадарци"
"Др. Андреј Велков"|"Илинденска 8а/5
49140 Тетово"
"Благој Велков"|"Јане Сандански 0б/1
99536 Струмица"
"Проф. Трајче Наумовски"|"Кирил Пејчиновиќ 64
82108 Свети Николе"
"Др. Сузана Јовчева"|"Маршал Тито 9
59822 Неготино"
"Проф. Антон Петковски"|"Букурешка 0б
06195 Делчево"
"Роза Стојановска"|"Крушевска 50
38413 Гевгелија"
"Проф. Васил Јанев"|"Булевар Блаже Конески 7а
35113 Берово"
"Жарко Наумовски"|"Рибарска 04
83835 Валандово"
"Наташа Младеновска"|"Јасминска 11
92803 Пехчево"
"Г-ѓа Лина Иванова"|"Варшавска 2б
70984 Радовиш"
"Др. Андреј Гроздановски"|"Петар Поп Арсов 3б/0
49415 Неготино"
"Влатко Велков"|"Радовишка 38
73356 Кратово"
"Наташа Тодоровска"|"Пролетерска 00
43128 Берово"
"Иванка Шакири"|"Перо Наков 5в
35024 Виница"
"Михаил Алексовски"|"Климент Охридски 6а/9
27900 Штип"
"Симона Трајковска"|"Никола Вапцаров 0а
01196 Македонска Каменица"
"Цветан Николов"|"Шарпланинска 8б/2
80336 Демир Хисар"
"Лина Крстева"|"Тодор Александров 46
44023 Демир Хисар"
"Ристо Крстески"|"Никола Карев 0б/0
11918 Демир Хисар"
"Тања Георгиева"|"Софиска 0в
47529 Велес"
"Др. Андреј Иванов"|"Наум Охридски 114
54313 Крива Паланка"
"Др. Благица Лазаревска"|"Хелсинки 1а/2
20556 Куманово"
"Виолета Димитриева"|"Георги Димитров 0
27567 Кратово"
"Доне Митревски"|"Гоце Делчев 21
35829 Виница"
"Гордана Лазова"|"Михаило Пупин 7в
74997 Берово"
"Емил Петровски"|"Орце Николов 41
37921 Кратово"
"Г-ца Виолета Матевска"|"Димитар Влахов 12
23634 Ресен"
"Сузана Лазова"|"Перо Наков 8а
56077 Струга"
"Др. Оливера Јовчева"|"Скупи 9а
33201 Свети Николе"
"Др. Драган Марковски"|"Аристотел 3в
29680 Пехчево"
"Др. Андреј Стефановски"|"Македонија 0а/0
00351 Охрид"
"Проф. Марјан Димитриев"|"Михаило Апостолски 5
34821 Берово"
"Јовче Апостолов"|"Орце Николов 072
72785 Охрид"
"Др. Лазар Стојановски"|"Свети Климент Охридски 0а
47352 Кратово"
"Др. Јане Лазов"|"Јане Сандански 46
15124 Кратово"
"Др. Јован Крстев"|"Ибрахим Темо 4б
86088 Кочани"
"Даница Спасовска"|"Лазар Личеноски 3а
65255 Делчево"
"Г-ѓа Цветанка Зафировска"|"Луј Пастер 3б
25200 Пробиштип"
"Г-н Стефан Чулев"|"Рибарска 0
82867 Демир Хисар"
"Чедо Мусијановски"|"Варшавска 4а
38328 Гостивар"
"Др. Анета Митревска"|"Петар Поп Арсов 4а
90514 Охрид"
"Г-ца Мартина Арсовска"|"Николај Коперник 13
54871 Скопје"
"Проф. Влатко Стефановски"|"Радовишка 209
94934 Гевгелија"
"Валентина Стефановска"|"Партизански одреди 4б/9
80116 Богданци"
"Василка Лазаревска"|"Орце Николов 0а/1
16578 Дебар"
"Др. Стојан Лазов"|"Пролетерска 3а/6
57972 Кочани"
"Благица Крстева"|"Партизански одреди 4
46009 Кочани"
"Др. Момчило Спасов"|"Николај Коперник 3а/7
28666 Виница"
"Цвета Мојсова"|"Благој Давков 6б/0
88463 Свети Николе"
"Проф. Иван Михајловски"|"Јасминска 0в
83259 Прилеп"
"Др. Анета Тодоровска"|"Васил Главинов 3б
59346 Кичево"
"Проф. Оливера Климовска"|"Булевар Никола Карев 3в
98505 Пехчево"
"Г-н Цветан Николовски"|"Гоце Делчев 993
05630 Тетово"
"Др. Дарија Крстеска"|"Македонија 47
56044 Виница"
"Проф. Чедо Велков"|"Глигор Прличев 60
27219 Пробиштип"
"Магдалена Арсовска"|"Ибрахим Темо 8б/5
81272 Прилеп"
"Иван Чулев"|"Даме Груев 0б
95122 Делчево"
"Г-ца Александра Цветковска"|"Воденска 946
00455 Неготино"
"Г-ѓа Дарија Младеновска"|"Славеј Планина 9б
19924 Куманово"
"Г-ца Иванка Василева"|"Варшавска 6б
40817 Прилеп"
"Др. Анита Велкова"|"Булевар Гоце Делчев 4а/5
46042 Кочани"
"Др. Чедо Алексовски"|"Булевар Партизански одреди 4а
01385 Пробиштип"
"Стојан Ристовски"|"Востаничка 482
48270 Македонски Брод"
"Драган Заев"|"Илинденска 8а
63274 Охрид"
"Томе Петровски"|"Николај Коперник 7в
67786 Прилеп"
"Јане Крстев"|"Воденска 8а/3
56684 Македонска Каменица"
"Софија Ѓорѓиевска"|"Софиска 2в
15369 Струга"
"Емилија Поповска"|"Хелсинки 0
84047 Демир Хисар"
"Г-н Симон Лазов"|"Воденска 9а/4
67208 Дебар"
"Др. Никола Глигоров"|"Илинденска 2в
07461 Македонска Каменица"
