"Albina Dolić"	"Mesnička 8c
01290 Šibenik" 
"Aldo Tepeš"	"Krvavi most 4a/5
48780 Otok"
"Dušan Terlević"	"Javorovac 940
56320 Donji Miholjac"
"Lucija Bernardić"	"Ksaver 1b/1
68092 Imotski"
"Renata Balatinac"	"Krležin gvozd 4
10814 Pag"
"Davor Perak"	"Vitezovićeva 12
30793 Pregrada"
"Elizabeta Poslon"	"Streljačka 1
57253 Koprivnica"
"Mislav Filar"	"Arnoldova 5c/1
92096 Ploče"
"Marko Medved"	"Kamaufova 0
29586 Novalja"
"Stjepan Močibob"	"Horvatovac 4a
87086 Čazma"
"Antonio Ljubetić"	"Šalata 104
64132 Bakar"
"Alen Vuk"	"Glogovac 9
41770 Orahovica"
"Toni Andrijević"	"Čačkovićeva 0
20800 Osijek"
"Sanja Vuk"	"Zvonarnička 1c/9
70125 Grubišno Polje"
"Mateja Krajcar"	"Svibovac 6
71154 Oroslavje"
"Janja Herout"	"Mesnička 9a
24290 Buje"
"Ivana Radojković"	"Šumski prečac 5b
24137 Cres"
"Danijela Bunić"	"Palmotićeva 605
19564 Slavonski Brod"
"Marta Bojanić"	"Zvonarnička 7b/7
73103 Rijeka"
"Hana Gulan"	"Dverce 6
92801 Split"
"Mladen Darojković"	"Mletačka 13
43086 Rijeka"
"Mijo Odobašić"	"Dolac 56
23866 Velika Gorica"
"Anto Damjanović"	"Draškovićeva 98
13645 Našice"
"Ilija Čargonja"	"Naumovac 7
32813 Oroslavje"
"Saša Brcko"	"Dverce 9
60716 Pag"
"Martin Juretić"	"Male 4b
38690 Našice"
"Ivo Valentić"	"Mletačka 6a
79544 Vrlika"
"Sara Lisica"	"Gradec 7b/8
39416 Jastrebarsko"
"Marta Damijanić"	"Davor 9a
79785 Osijek"
"Andrea Ivšić"	"Svibovac 5b/0
17517 Buzet"
"Jadranka Matijević"	"Klanac Grgura Tepečića 80
03176 Imotski"
"Nika Žužić"	"Kozarčev vijenac 6b/6
49149 Rijeka"
"Viktor Gegić"	"Bosanska 5b
66683 Popovača"
"Alen Perišić"	"Zmajevac 2c/4
83833 Skradin"
"Anica Krajcar"	"Arnoldova 3a
39287 Požega"
"Jana Kaniški"	"Šestinski vrh 9b/3
97989 Ploče"
"Tea Dautović"	"Zelengaj 14
96222 Đurđevac"
"Božica Botić"	"Krležin gvozd 2a
08443 Opuzen"
"Marta Damjanović"	"Čačkovićeva 3
68117 Ivanec"
"Željko Milatić"	"Medveščak 4
22217 Križevci"
"Sara Puškarić"	"Medvedgradska 0a
48434 Pakrac"
"Barica Vuković"	"Pod zidom 9c/4
52479 Požega"
"Marica Šitum"	"Zavojna 7
15320 Klanjec"
"Romano Licul"	"Jurkovićeva 0
92933 Sveti Ivan Zelina"
"Kristijan Legović"	"Kamaufova 390
93610 Vrbovsko"
"Jelena Urlić"	"Arnoldova 232
54303 Kutjevo"
"Ružica Krpan"	"Hercegovačka 3c/6
63571 Nova Gradiška"
"Nevenka Barnaba"	"Klanac Grgura Tepečića 0a
34519 Buje"
"Marta Dujmović"	"Bučarova 2c
90866 Jastrebarsko"
"Marica Vranić"	"Kraljevečki ogranak 4a/1
12236 Oroslavje"
"Elizabeta Begonja"	"Male 7a/6
75186 Krapina"
"Ivka Žic"	"Goljak 0b
79847 Vukovar"
"Božica Viljevac"	"Kraljevečki odvojak 472
54647 Daruvar"
"Dominik Majdenić"	"Ilica 8b
98057 Makarska"
"Ana Milovac"	"Podgaj 458
24784 Nin"
"Danijela Perišić"	"Rockefellerova 4c
16020 Velika Gorica"
"Joso Bjeliš"	"Opatovina 3a/8
80967 Ludbreg"
"Jele Crnković"	"Šestinski vijenac 6a
02719 Hrvatska Kostajnica"
"Marta Galović"	"Zelengaj 2
97913 Osijek"
"Marica Vrabelj"	"Medveščak 7a/8
51097 Samobor"
"Dragica Kršanac"	"Donje Prekrižje 308
27487 Drniš"
"Lucija Ignac"	"Kožarska 5b/6
12340 Koprivnica"
"Ilija Štimac"	"Medvedgradska 558
50131 Pregrada"
"Barbara Prelec"	"Tkalčićeva 0a/6
97343 Vukovar"
"Đurđica Tuškan"	"Nemetova 3b
94128 Oroslavje"
"Ivan Katić"	"Mesnička 1b/6
16959 Zagreb"
"Lovro Bičak"	"Rikardove 641
38596 Lepoglava"
"Ružica Pandurić"	"Kamenjak 4c/7
51971 Vodnjan"
"Marta Kelečić"	"Rockefellerova 8
99550 Otok"
"Dominik Mikulčić"	"Ribnjak 6c
22840 Senj"
"Sara Perak"	"Klesarski put 9
39493 Ozalj"
"Mario Zrilić"	"Perivoj biskupa Stjepana II. 0b
91408 Trogir"
"Franjo Ladavac"	"Srebrnjak 1c/4
12851 Požega"
"Matija Putinja"	"Zamenhofove 1a/7
85186 Orahovica"
"Kristijan Kirinčić"	"Gračanska 66
16247 Vinkovci"
"Mara Vrban"	"Ksaver 74
32443 Križevci"
"Željko Pandurić"	"Wickerhauserova 0b/7
15210 Sisak"
"Ivo Matijaš"	"Višnjica 8b/9
26493 Beli Manastir"
"Marta Maletić"	"Krvavi most 1a
94779 Sveta Nedelja"
"Valter Živković"	"Mlinske 301
31778 Buje"
"Marina Mirosavljević"	"Vijenac 5b
34127 Biograd na Moru"
"Pero Karagić"	"Vrazovo šetalište 3b/5
93676 Otočac"
"Rudolf Miočić"	"Draškovićeva 3c/2
55570 Sisak"
"Luka Pavlović"	"Strossmayerovo šetalište 1b
77877 Umag"
"Dino Kunac"	"Medveščak 0a
21480 Umag"
"Ika Peša"	"Mlinovi 9a
90305 Delnice"
"Anto Radolović"	"Perivoj srpanjskih žrtava 5
99849 Ploče"
"Ilija Labinjan"	"Naumovac 5a/1
36997 Čakovec"
"Marta Mirt"	"Jurkovićeva 0a
49517 Sveti Ivan Zelina"
"Janko Hinić"	"Goljačke 29
21930 Solin"
"Andrea Pavković"	"Mletačka 0
25794 Otočac"
"Danijela Horvat"	"Perivoj srpanjskih žrtava 03
00117 Čabar"
"Jasminka Jasprica"	"Perivoj srpanjskih žrtava 2b
78267 Otok"
"Marica Rumora"	"Naumovac 182
17624 Duga Resa"
"Sara Žagar"	"Opatovina 7b/3
63195 Otočac"
"Martina Šošić"	"Arnoldova 0c
96359 Vrgorac"
"Antun Borojević"	"Draškovićeva 9c/6
29581 Pazin"
"Siniša Moslavac"	"Hercegovačka 3
38538 Kaštela"
"Marta Plantek"	"Horvatovac 4c
19843 Slunj"
"Ika Novosel"	"Kapucinske 5b
64581 Ogulin"
"Mladen Amidžić"	"Vlaška 67
58061 Virovitica"
"Mateja Ciganović"	"Remetska 5a/1
60020 Kutina"
"Pero Turudić"	"Magdićeve 9c/7
80068 Zaprešić"
"Valentina Zanoški"	"Jagodnjak 370
75291 Šibenik"
"Mira Ozimec"	"Istarska 1c/6
95365 Supetar"
"Fran Cafuk"	"Lobmayerove 6c
09538 Daruvar"
"Ane Mušćet"	"Lisinskoga 41
36546 Petrinja"
"Ankica Čuček"	"Orlovac 51
75380 Jastrebarsko"
"Marta Rašeta"	"Višnjičke 372
06925 Ivanić-Grad"
"Anton Popović"	"Splavnica 1b
12143 Komiža"
"Kristijan Turudić"	"Vijenac 4a
42820 Slavonski Brod"
"Veronika Kunac"	"Horvatovac 0b/3
38972 Novalja"
"Milan Amidžić"	"Zavojna 2b
80052 Vodnjan"
"Zvonko Šurina"	"Strossmayerovo šetalište 7c/1
25960 Oroslavje"
"Matea Kos"	"Zamenhofova 3b/6
50595 Daruvar"
"Tomislav Glavan"	"Šilobodov put 5b
16148 Sveta Nedelja"
"Jasminka Jasprica"	"Krležin gvozd 7a/6
44621 Osijek"
"Igor Puljiz"	"Višnjičke 5
67126 Vrbovec"
"Marta Sirotić"	"Opatička 8
15096 Ivanec"
"Veronika Žunec"	"Pod zidom 9c
96493 Velika Gorica"
"Manda Štimac"	"Arnoldova 9c
00043 Vis"
"Željka Licul"	"Jurkovićeva 5b
68697 Vinkovci"
"Juraj Sokač"	"Kraljevec 3c/9
83446 Ivanić-Grad"
"Miroslav Puharić"	"Rockefellerova 3
31927 Samobor"
"Marijan Jurković"	"Draškovićeva 9a/4
74627 Rab"
"Valter Čupić"	"Rokov perivoj 7
79796 Pag"
"Marija Debelić"	"Ribnjak 8b
62938 Valpovo"
"Dalibor Blažević"	"Svibovac 3c/0
21110 Ozalj"
"Martin Birkić"	"Orlovac 37
24396 Opatija"
"Aldo Marjanović"	"Klenovac 9c/7
13977 Samobor"
"Lovro Buljan"	"Zelengaj 653
59463 Jastrebarsko"
"Anđa Načinović"	"Dubravkin 7
82599 Hvar"
"Elizabeta Veić"	"Donje Prekrižje 4a/1
26702 Otok"
"Jelena Semialjac"	"Šumski prečac 906
51665 Šibenik"
"Danijela Duvančić"	"Mirogojska 2a/8
76248 Gospić"
"Nikola Svetličić"	"Zelenjak 1a/4
93712 Vukovar"
"Matej Hranj"	"Šilobodov put 6c
19157 Ploče"
"Viktor Triplat"	"Slavujevac 7b/7
21660 Kraljevica"
"Martin Bjeliš"	"Streljačka 916
60845 Buje"
"Milica Mirosavljević"	"Kraljevečki odvojak 2b/7
86501 Poreč"
"Romano Barać"	"Skalinska 1c/8
59113 Duga Resa"
"Mario Miličić"	"Rockefellerova 279
52015 Đurđevac"
"Anđa Hinić"	"Rikardove 3a
70648 Opuzen"
"Marijana Matovina"	"Rokov perivoj 536
17932 Poreč"
"Lucija Škunca"	"Mašekova 2a
01862 Karlovac"
"Mihael Zeba"	"Bakačeva 9
30015 Stari Grad"
"Dino Krželj"	"Šalata 3c
14616 Rijeka"
"Tatjana Barnaba"	"Zelenjak 9
16874 Ploče"
"Martin Boban"	"Kožarska 6a
39610 Poreč"
"Antun Lukinić"	"Šestinski vrh 0b/7
01526 Novigrad"
"Ivka Lešić"	"Perivoj srpanjskih žrtava 9
86601 Cres"
"Antun Bajan"	"Kamenita 909
83539 Buzet"
"Tatjana Carić"	"Ilica 7b/5
35688 Rab"
"Goran Dujmović"	"Rockefellerova 68
11365 Sisak"
"Mladen Blažević"	"Mala 5b/8
03235 Pazin"
"Ljubica Kovačević"	"Pantovčak 7c
34880 Hvar"
"Franciska Hanžek"	"Kraljevec II. 5b
47485 Križevci"
"Anita Radočaj"	"Perivoj biskupa Stjepana II. 191
74789 Benkovac"
"Martin Dujmović"	"Vinogradska 9b/9
11722 Bakar"
"Kristijan Pribanić"	"Horvatovac 4b
02501 Slavonski Brod"
"Vedran Štrbac"	"Remetska 6b/4
05125 Lepoglava"
"Ljubica Čargonja"	"Istarska 5b/1
46496 Nin"
"Nenad Zmaić"	"Ljubinkovac 2a/1
97484 Knin"
"Mara Rašić"	"Vinogradska 3
42800 Benkovac"
"Karlo Čupić"	"Splavnica 0c
47029 Krk"
"Lovro Tušek"	"Srebrnjak 4b/7
92815 Kutjevo"
"Mateja Živković"	"Male 2c
13004 Donji Miholjac"
"Lana Peterlik"	"Rokov perivoj 0b
57660 Križevci"
"Martin Jasprica"	"Bosanska 3
23976 Velika Gorica"
"Zdravko Bučanac"	"Dverce 21
82893 Slavonski Brod"
"Dora Gracin"	"Perivoj biskupa Stjepana II. 1
94741 Našice"
"Valentina Bašnec"	"Dubravkin 1c
09770 Zagreb"
"Stana Šipić"	"Kurelčeva 7c/1
87243 Garešnica"
"Franciska Mustapić"	"Mlinske 3c
60595 Varaždinske Toplice"
"Lidija Bernardić"	"Kraljevečki odvojak 9c/2
03083 Kutjevo"
"Rozalija Bajan"	"Svibovac 0b
41856 Sinj"
"Matija Licul"	"Krležin gvozd 1a/5
92247 Krk"
"Anita Golubić"	"Mesnička 87
21685 Kaštela"
"Martin Kupsjak"	"Nemetova 3a
00205 Bjelovar"
"Mislav Begonja"	"Ilica 32
77958 Rijeka"
"Biljana Zebec"	"Kraljevec II. 7b/1
51355 Zaprešić"
"Ivica Dragičević"	"Vončinina 7c/2
38818 Grubišno Polje"
"Ika Štrbac"	"Jagodnjak 1
29992 Daruvar"
"Biljana Fabijanić"	"Streljačka 6c/4
71905 Bakar"
"Dejan Mužić"	"Ružičnjak 0c/2
13628 Zlatar"
"Roko Mišak"	"Jurišićeva 2b/0
29276 Lipik"
"Rozalija Šantić"	"Demetrova 6c/5
93497 Novi Vinodolski"
"Erik Pokos"	"Ksaverska 3
20733 Hrvatska Kostajnica"
"Martin Petrović"	"Ksaverska 2b/1
59484 Hvar"
"Boris Mišković"	"Vinogradska 4a/3
78891 Požega"
"Fuma Gracin"	"Zelengaj 0
14695 Koprivnica"
"Dario Baksa"	"Ksaverska 3
34303 Sveta Nedelja"
"Šime Matijaš"	"Pod zidom 4b/3
26035 Novska"
"Branka Morić"	"Dubravkin 6c/8
74578 Petrinja"
"Janja Čotić"	"Medveščak 8
97977 Biograd na Moru"
"Juraj Lešić"	"Zamenhofova 1b
32810 Dubrovnik"
"Stana Jukić"	"Rikardove 2a/5
34589 Jastrebarsko"
"Lara Mikulandra"	"Klesarski put 619
13222 Virovitica"
"Martin Sardelić"	"Čačkovićeva 1c
41329 Pazin"
"Anica Plantek"	"Višnjica 796
97062 Gospić"
"Vesna Liović"	"Opatovina 87
30666 Mursko Središće"
"Elizabeta Pozder"	"Mlinske 38
34960 Hvar"
"Mara Erceg"	"Bosanska 6
02686 Šibenik"
"Marta Bajan"	"Bosanska 4a
22535 Oroslavje"
"Petra Bobanović"	"Mihaljevac 8
30095 Bjelovar"
"Sanja Hadrović"	"Kraljevec II. 65
51556 Trogir"
"Kristijan Oršulić"	"Kamenjak 1c/0
88128 Varaždin"
"Biserka Zakinja"	"Grič 025
03543 Ozalj"
"Martin Vučković"	"Orlovac 20
70564 Kraljevica"
"Mijo Ričko"	"Zamenhofova 58
75143 Kraljevica"
"Anton Priselac"	"Vitezovićeva 8c
70624 Virovitica"
"Anita Risek"	"Rokova 8c/3
11714 Kaštela"
"Dragan Nikolić"	"Zavojna 26
06062 Labin"
"Sanja Pajur"	"Krvavi most 3b
59123 Imotski"
"Romano Džapo"	"Magdićeve 66
36392 Donji Miholjac"
"Denis Hodak"	"Rokov perivoj 596
33492 Delnice"
"Tea Lukša"	"Paunovac 9a
00834 Ilok"
"Valter Gregov"	"Mirogojska 8a
90089 Trogir"
"Martina Barković"	"Šestinski vrh 1c/7
90899 Beli Manastir"
"Đuro Sirotić"	"Jezuitski trg 1a/7
41709 Grubišno Polje"
"Maja Štrljić"	"Goljak 6c/1
20592 Vrbovec"
"Sandra Rojnić"	"Šestinski vijenac 1c/1
71932 Zagreb"
"Marijan Palić"	"Kraljevečki ogranak 3a/2
83802 Opuzen"
"Zorka Blagaić"	"Strossmayerovo šetalište 1
70124 Glina"
"Vladimir Vučin"	"Gornje Prekrižje 7a
03452 Bjelovar"
"Tomo Dvojak"	"Gornje Prekrižje 3a/3
79581 Lepoglava"
"Matea Lasić"	"Opatička 0a
48105 Vodnjan"
"Barica Novosel"	"Harmica 0
38273 Slavonski Brod"
"Martina Borošak"	"Zavojna 5a/9
75574 Hvar"
"Kristijan Mihelčić"	"Ksaverska 828
50256 Kaštela"
"Mira Meić"	"Novi Goljak 7b/3
27610 Sveti Ivan Zelina"
"Josip Rebić"	"Zmajevac 2
30457 Popovača"
"Siniša Licul"	"Golubovac 2b/0
81299 Belišće"
"Tea Kukučka"	"Jurjevska 31
20767 Sveta Nedelja"
"Janja Amidžić"	"Svibovac 5b/0
15906 Našice"
"Pavao Karagić"	"Cmrok 7a/3
25448 Oroslavje"
"Franjo Batrac"	"Gračanska 94
74465 Ivanić-Grad"
"Filip Jurišić"	"Perivoj srpanjskih žrtava 7a
72122 Senj"
"Martina Cestarić"	"Jurjevska 2b
31853 Vrgorac"
"Miroslav Vrhovec"	"Gornje Prekrižje 5b
34207 Labin"
"Sanja Klarin"	"Rokova 5b/1
42318 Trogir"
"Mate Adžijević"	"Zvonarnička 9b
95013 Rijeka"
"Miroslav Hodak"	"Dvoranski prečac 7a/6
21922 Trogir"
"Igor Godinić"	"Rokova 6a
90114 Oroslavje"
"Kristijan Alković"	"Bučarova 0b/7
14989 Ivanić-Grad"
"Nikola Ćosić"	"Strossmayerovo šetalište 7b/7
36633 Rijeka"
"Štefanija Mušćet"	"Kamenita 1c/5
73630 Mali Lošinj"
"Danijel Plažanin"	"Rokova 1a
69371 Biograd na Moru"
"Martina Crevar"	"Kraljevečki ogranak 4a/1
84386 Buzet"
"Ivka Marković"	"Male 4
35435 Čakovec"
"Kate Urlić"	"Horvatovac 222
00122 Sinj"
"Lara Tomić"	"Perivoj biskupa Stjepana II. 2
55115 Trilj"
"Nikola Resanović"	"Glogovac 002
21442 Duga Resa"
"Danijel Vela"	"Skalinska 0b
47414 Lipik"
"Zlatko Bušljeta"	"Jabukovac 165
59779 Koprivnica"
"Branko Jović"	"Zvonarnička 5c
81987 Opuzen"
"Jadranka Ivandić"	"Nemetova 2a
15582 Čakovec"
"Barbara Bačak"	"Šestinski vijenac 5b/2
53605 Ivanić-Grad"
"Martina Galešić"	"Gračanska 5c/6
93031 Sisak"
"Janja Cafuk"	"Strossmayerovo šetalište 6b/7
62966 Popovača"
"Elizabeta Kosić"	"Šestinski vijenac 399
14738 Dubrovnik"
"Željko Kadija"	"Zvonarnička 9c/2
84273 Našice"
"Lara Bungić"	"Orlovac 9b/7
15559 Ludbreg"
"Ivanka Gržetić"	"Gupčeva zvijezda 385
51719 Donja Stubica"
"Ivana Mušćet"	"Šalata 8b/4
94733 Glina"
"Rozalija Fuček"	"Mesnička 5c
45351 Pakrac"
"Jasna Hršak"	"Cmrok 2a
59469 Pleternica"
"Janja Šimičić"	"Davor 4b/9
92734 Đurđevac"
"Martina Hadrović"	"Radnički dol 5b
08248 Donji Miholjac"
"Dominik Perak"	"Vitezovićeva 4
00332 Petrinja"
"Marin Obradović"	"Medvedgradska 2a/1
31420 Prelog"
"Fuma Barbieri"	"Zamenhofove 82
79733 Rovinj"
"Goran Mustapić"	"Bučarova 0
35664 Kutina"
"Martin Krznarić"	"Wickerhauserova 3
51411 Vrbovec"
"Vjekoslav Vuljak"	"Šumski prečac 5b
85721 Dubrovnik"
"Manda Kereković"	"Petrova 7b/3
57362 Labin"
"Anđela Butković"	"Medveščak 9c
42843 Otočac"
"Joso Žic"	"Bakačeva 2
69816 Garešnica"
"Martina Maržić"	"Jabukovac 5
79487 Ludbreg"
"Lana Mužina"	"Kraljevečki odvojak 7a
92117 Požega"
"Matea Tudić"	"Krležin gvozd 5c
15324 Buzet"
"Maja Peša"	"Jadranska 5a
62481 Dubrovnik"
"Nevenka Seničić"	"Čačkovićeva 1b/5
61482 Otok"
"Anica Predovan"	"Kraljevečki ogranak 09
35000 Trogir"
"Marta Nimac"	"Hercegovačka 6b/6
96318 Otok"
"Mijo Topić"	"Jurjeve 2c/4
53646 Zaprešić"
"Jana Mardešić"	"Jagodnjak 3b/0
06602 Vis"
"Barbara Knežević"	"Medveščak 0
32749 Vrbovec"
"Martina Maržić"	"Ribnjak 9c
55085 Dugo Selo"
"Juraj Trgovčić"	"Magdićeve 9a/1
46761 Sveti Ivan Zelina"
"Marina Škrnički"	"Jurkovićeva 7a
74564 Poreč"
"Zdenka Šimara"	"Horvatovac 9b/0
45019 Ozalj"
"Ane Halambek"	"Rockefellerova 2c/1
60677 Nova Gradiška"
"Matea Križan"	"Novi Goljak 5b
73789 Sinj"
"Biljana Didović"	"Radnički dol 4b
35499 Supetar"
"Igor Eršek"	"Klesarski put 3b
08076 Popovača"
"Ivka Čović"	"Jagodnjak 74
54897 Slunj"
"Lovro Rendulić"	"Mlinske 60
81474 Prelog"
"Mate Balatinac"	"Mihaljevac 66
37610 Požega"
"Stana Benčić"	"Mlinovi 7b
63685 Ploče"
"Ivanka Carić"	"Donje Prekrižje 09
56790 Požega"
"Ljubica Cukon"	"Svibovac 6b
09642 Zagreb"
"Valter Miklečić"	"Zavojna 56
27433 Delnice"
"Patrik Bačak"	"Ksaver 8
79414 Biograd na Moru"
"Mateja Matokanović"	"Klenovac 4a
75504 Vukovar"
"Mira Buršić"	"Splavnica 12
35947 Kastav"
"Luka Antonić"	"Kožarska 9b
87047 Drniš"
"Valentina Jakuš"	"Zmajevac 275
43039 Garešnica"
"Mate Bogdan"	"Vijenac 3c/5
82287 Zlatar"
"Anto Jakovljević"	"Ilica 3a
53634 Jastrebarsko"
"Vladimir Ćorić"	"Palmotićeva 9a/0
00529 Krk"
"Sara Vidaković"	"Bakačeva 1
30764 Sinj"
"Maria Labaš"	"Opatovina 3a
17633 Novalja"
"Aldo Čović"	"Radnički dol 8c
94409 Orahovica"
"Aldo Gržinčić"	"Bakačeva 4c/0
66969 Kastav"
"Maria Mičetić"	"Opatovina 540
51884 Virovitica"
"Maria Mamić"	"Kamaufova 3a
54284 Gospić"
"Filip Kuščević"	"Kamaufova 248
29282 Bakar"
"Mate Botić"	"Palmotićeva 9b
28627 Trogir"
"Barbara Milovac"	"Golubovac 4a
62497 Zagreb"
"Ivanka Govorčinović"	"Kožarska 2
99973 Metković"
"Barica Kuveždić"	"Vončinina 6a
99962 Pazin"
"Vera Blažičko"	"Mlinovi 6
40703 Čakovec"
"Darko Jovanovac"	"Visoka 6a
88802 Sinj"
"Lorena Gracin"	"Šestinski vrh 7b/3
77501 Pazin"
"Iva Blažek"	"Kamaufova 505
17991 Vrbovec"
"Dora Špika"	"Strossmayerovo šetalište 4b
07444 Čabar"
"Milka Čiš"	"Male 2a/2
93720 Rab"
"Mate Bradić"	"Ribnjak 1a/1
08810 Biograd na Moru"
"Mare Jovanovac"	"Jurjevska 2
65555 Sveta Nedelja"
"Anđela Ivandić"	"Tošovac 6b
91810 Vrgorac"
"Josip Vrhovec"	"Svibovac 0b/7
53663 Komiža"
"Petra Martić"	"Dubravkin 2a/5
86405 Daruvar"
"Dario Dominković"	"Kapucinske 04
16826 Umag"
"Ankica Načinović"	"Wickerhauserova 0a/9
88244 Poreč"
"Slavko Bertoša"	"Mirogojska 299
18369 Nin"
"Kate Žagar"	"Perivoj srpanjskih žrtava 1
70767 Valpovo"
"Anđela Pečur"	"Tkalčićeva 7b/2
68647 Virovitica"
"Mate Džapo"	"Jurišićeva 0
55129 Cres"
"Mario Čižmešija"	"Jezuitski trg 8c/5
26849 Pakrac"
"Petar Jureško"	"Pantovčak 669
40908 Drniš"
"Barica Jureško"	"Pod zidom 6c
78049 Metković"
"Matija Žiković"	"Visoka 77
50261 Vrbovsko"
"Željka Knežević"	"Klesarski put 9c/1
63818 Belišće"
"Štefanija Mesić"	"Tošovac 5
99877 Sisak"
"David Dominković"	"Jezuitski trg 7a
00915 Beli Manastir"
"Sanja Pikec"	"Jurjevska 2c
04681 Ivanić-Grad"
"Damir Bertoša"	"Kraljevec 1b/3
02159 Zabok"
"Mate Kurtoić"	"Krležin gvozd 639
82955 Drniš"
"Duje Radović"	"Gradec 9b
39827 Šibenik"
"Karla Bačak"	"Višnjičke 3a/7
63868 Nin"
"Ruža Baričević"	"Mala 9c
91678 Zagreb"
"Siniša Sokač"	"Klanac Grgura Tepečića 342
11509 Mursko Središće"
"Hana Cvrtila"	"Medvedgradska 4c
89320 Čabar"
"Darko Macan"	"Bijenička 6
67265 Zaprešić"
"Jadranka Blažević"	"Kožarska 875
87905 Ivanec"
"Elvis Boban"	"Male 7c/1
81925 Crikvenica"
"Slavko Horvatić"	"Rockefellerova 8b
36728 Labin"
"Mate Pavelić"	"Jezuitski trg 864
72532 Korčula"
"Rozalija Čupić"	"Medveščak 5
20544 Krk"
"Barica Odobašić"	"Orlovac 6
10350 Osijek"
"Matea Piljek"	"Harmica 0a/2
55849 Umag"
"Stjepan Žunec"	"Gračanska 7b/1
62131 Rijeka"
"Marko Morić"	"Kraljevec II. 9c
38643 Vinkovci"
"Miroslav Vugdelija"	"Mihaljevac 1c
85590 Daruvar"
"Antun Vidas"	"Pod zidom 51
08097 Virovitica"
"Vesna Milotić"	"Mletačka 928
80655 Ilok"
"Anto Galić"	"Medvedgradska 7a
57441 Nova Gradiška"
"Mate Plažanin"	"Kamenjak 8c/4
44579 Duga Resa"
"Kata Duvančić"	"Kraljevec 7a/8
65854 Lipik"
"Igor Bošnjaković"	"Zamenhofove 52
94094 Nin"
"Tomo Kuščević"	"Mlinovi 3c/5
30109 Slunj"
"Ana Markanjević"	"Lisinskoga 2b/0
09433 Kutjevo"
"Elizabeta Načinović"	"Slavujevac 9c/1
20933 Rovinj"
"Jelena Bušljeta"	"Splavnica 4c/2
24766 Vodice"
"Mateja Seničić"	"Mala 3c
71951 Bakar"
"Domagoj Ukić"	"Opatovina 0a
48227 Omiš"
"Jelena Turčinov"	"Radnički dol 826
52053 Zagreb"
"Mate Staničić"	"Zavojna 29
54597 Opuzen"
"Nada Ljubić"	"Tuškanac 76
09886 Supetar"
"Marina Sinožić"	"Orlovac 6c
72125 Biograd na Moru"
"Kate Žabjačan"	"Dolac 9c
20568 Stari Grad"
"Zdravko Pavković"	"Zmajevac 8
63997 Mali Lošinj"
"Mislav Ilinović"	"Jurišićeva 8c
28959 Zabok"
"Josip Škrtić"	"Istarska 4
60554 Mali Lošinj"
"Veronika Aničić"	"Mletačka 6b/5
41581 Senj"
"Danijel Šestak"	"Zamenhofove 0
36391 Trilj"
"Filip Krznarić"	"Dubravkin 3a
67018 Zabok"
"Mate Stojnić"	"Donje Prekrižje 6
31188 Čakovec"
"Nikolina Prskalo"	"Mletačka 4b/1
22045 Vrbovsko"
"Mate Bunić"	"Vitezovićeva 0b/2
31678 Metković"
"Mladen Miletić"	"Dubravkin 5a/1
22265 Belišće"
"Boris Pandurić"	"Perivoj srpanjskih žrtava 743
40991 Opatija"
"Kristijan Matokanović"	"Jadranska 1c/4
17413 Sveti Ivan Zelina"
"Milka Lukić"	"Donje Prekrižje 130
72405 Koprivnica"
"Ljubica Halambek"	"Perivoj srpanjskih žrtava 8c/4
86185 Daruvar"
"Luka Kraljić"	"Paunovac 6a/5
49409 Pakrac"
"Katica Jukić"	"Kraljevečki odvojak 1b
60979 Novska"
"Mate Terlević"	"Nemetova 8c/7
42779 Kutjevo"
"Anton Vuković"	"Javorovac 7a/2
42850 Koprivnica"
"Suzana Lešković"	"Istarska 8b
70647 Sveti Ivan Zelina"
"Dragutin Vidas"	"Gračanska 1b
15845 Grubišno Polje"
"Anka Hadrović"	"Šilobodov put 1c/2
82627 Vis"
"Tatjana Cindrić"	"Davor 5
03174 Vrgorac"
"Zdenka Urlić"	"Srebrnjak 9c
00846 Pag"
"Kristina Vrabelj"	"Mlinske 98
17326 Zadar"
"Milan Blažičko"	"Zelengaj 647
29035 Solin"
"Vesna Colić"	"Višnjica 1
45690 Zabok"
"Matea Bajan"	"Jurkovićeva 9
65978 Lipik"
"Vedran Blažičko"	"Voćarska 6
78630 Krapina"
"Antonija Šarić"	"Draškovićeva 8c/9
00290 Makarska"
"Miroslav Vukman"	"Lisinskoga 028
31393 Ivanić-Grad"
"Ivka Boljkovac"	"Ilica 4b
14903 Vis"
"Ante Perišić"	"Šestinski vrh 1
80156 Zaprešić"
"Ivan Botica"	"Bakačeva 111
37822 Metković"
"Mladen Viljevac"	"Vijenac 0b/0
90011 Sveti Ivan Zelina"
"Karla Marinović"	"Mala 2c
32649 Zadar"
"Anton Barbić"	"Nova Ves 8c
33024 Čazma"
"Matea Hrabar"	"Ksaverska 45
13360 Krk"
"Marko Ugrinić"	"Golubovac 1a/9
01017 Poreč"
"Zora Škara"	"Rokova 7a
16724 Zabok"
"Ivana Buršić"	"Zeleni dol 7b/5
45222 Kutjevo"
"Danijela Poropat"	"Vitezovićeva 2
83747 Karlovac"
"Ivanka Jelić"	"Podgaj 494
18388 Vrlika"
"Ivanka Grubišić"	"Srebrnjak 2a/3
01269 Gospić"
"Ivka Matulić"	"Wickerhauserova 8
98491 Oroslavje"
"Lovro Barešić"	"Mirogojska 7a
56504 Knin"
