"Albina Barišić","Jurkovićeva 7
44983 Rovinj" 
"Valter Galić","Goljačke 2c
63644 Kutjevo"
"Lara Colić","Magdićeve 0b
51587 Prelog"
"Tomo Totić","Male 7
10321 Trilj"
"Niko Plantek","Gornje Prekrižje 83
99413 Glina"
"Andrea Tuškan","Bijenička 4b
99448 Zaprešić"
"Marijan Pokos","Grič 967
58692 Slavonski Brod"
"Rudolf Nišević","Gupčeva zvijezda 3a
81743 Makarska"
"Katarina Ban","Zvonarnička 0
58356 Zabok"
"Vjekoslav Brlek","Kamaufova 0c
28313 Rijeka"
"Mirjana Koščević","Perivoj srpanjskih žrtava 1
35947 Križevci"
"Marko Pandurić","Ksaver 6b/2
28442 Drniš"
"Lara Crnković","Gradec 3c
11424 Crikvenica"
"Milan Komar","Klanac Grgura Tepečića 7c/8
12835 Orahovica"
"Matija Ferenac","Kamaufova 5a
05281 Ozalj"
"Štefica Jurković","Kamenjak 2c
85616 Kraljevica"
"Marica Perkov","Opatovina 1a
85718 Makarska"
"Marijana Katić","Klanac Grgura Tepečića 1a/0
36795 Hrvatska Kostajnica"
"Jelena Vučković","Kaptol 6c
21897 Pula"
"Dominik Radman","Srebrnjak 047
33193 Hvar"
"Dragan Matulić","Streljačka 8b/3
21152 Otok"
"Anita Dobrić","Tuškanac 85
84604 Koprivnica"
"Lara Kuščević","Rokov perivoj 1a/7
96439 Orahovica"
"Tomo Herceg","Mihaljevac 9a
80629 Čakovec"
"Božena Jovanovac","Ksaver 9
37106 Ploče"
"Igor Šalić","Vitezovićeva 2c/9
12903 Novalja"
"Lea Pečur","Jurišićeva 5c
03764 Donji Miholjac"
"Nina Ćosić","Mesnička 4a
30622 Rijeka"
"Josipa Vranić","Rockefellerova 76
47386 Buje"
"Mateja Jakuš","Zvonarnička 64
81655 Garešnica"
"Patrik Barušić","Mlinarska 7b/6
81306 Novi Vinodolski"
"Patrik Kelečić","Zvonarnička 7b
34776 Kraljevica"
"Lara Leščić","Ksaverska 2a
21886 Nin"
"Jakov Totić","Kozarčev vijenac 3
17290 Daruvar"
"Zdravko Lasić","Vinogradska 3c/5
03744 Stari Grad"
"Albina Flego","Draškovićeva 9b
19861 Koprivnica"
"Mateja Kahlina","Davor 563
69080 Đakovo"
"Toni Damjanović","Paunovac 2b/6
64318 Varaždinske Toplice"
"Antun Dražić","Dverce 98
64698 Umag"
"Dragan Eršek","Hercegovačka 20
06799 Zlatar"
"Zoran Stiperski","Vrazovo šetalište 393
71307 Vrlika"
"Danica Kujundžić","Zelenjak 286
86693 Opatija"
"Lara Matana","Golubovac 7c
27290 Makarska"
"Božica Amidžić","Šestinski vrh 2
98948 Pag"
"Goran Ričko","Zavojna 8
43290 Prelog"
"Niko Raspor","Ribnjak 8a
86668 Imotski"
"David Plantek","Mihaljevac 6a
08281 Ilok"
"Erik Modrić","Nemetova 576
31684 Pag"
"Jelena Krajcar","Svibovac 2
36883 Kaštela"
"Lucija Kupsjak","Kraljevec II. 9a
56398 Virovitica"
"Danica Štimac","Kamenjak 8c
66873 Omiš"
"Kata Bungić","Ilica 1b
61540 Sinj"
"Lara Orbanić","Mihaljevac 2c/3
06846 Čabar"
"Lucija Slavica","Rockefellerova 4b
22240 Vrbovec"
"Mato Hranj","Lobmayerove 3
12288 Obrovac"
"Zvonko Glavor","Tošovac 7a/8
66325 Pula"
"Darko Pamić","Klesarski put 493
07884 Vukovar"
"Dario Maršić","Šalata 4c/9
09058 Slatina"
"Kristina Benić","Ribnjak 0a
16277 Buzet"
"Lidija Franičević","Dvoranski prečac 2a/4
06888 Bakar"
"Aldo Papak","Ružičnjak 7c
12303 Samobor"
"Sandra Blažičko","Glogovac 7c/8
19651 Nova Gradiška"
"Lara Rađenović","Pod zidom 1
67073 Belišće"
"Lara Hrastinski","Wickerhauserova 1b
91685 Karlovac"
"Mia Buljan","Radnički dol 9c/7
82286 Beli Manastir"
"Biljana Vlašić","Hercegovačka 59
74586 Skradin"
"Božena Guštin","Opatička 3b/4
01075 Vodnjan"
"Zdravko Lisica","Golubovac 0b/2
09325 Novi Marof"
"Miroslav Pokos","Paunovac 5a/9
88561 Dubrovnik"
"Anka Škrlin","Gradec 8c/6
26520 Donja Stubica"
"Nikolina Bičak","Harmica 2b
35252 Novi Vinodolski"
"Zdenka Bjeliš","Opatovina 8a
27899 Ivanić-Grad"
"Lara Turudić","Magdićeve 9a
56177 Pazin"
"Janko Grubišić","Grič 11
87578 Glina"
"Ljiljana Viljevac","Arnoldova 6b/4
82032 Umag"
"Šime Oršulić","Jurjevska 0b/1
53818 Čabar"
"Julijana Mikić","Svibovac 7c/8
55694 Vis"
"Nika Terlević","Gračanska 8b/9
03470 Novigrad"
"Antonija Škugor","Ksaverska 5c/2
10657 Rab"
"Albina Raspor","Bijenička 4b/2
18506 Duga Resa"
"Dražen Koščević","Rokov perivoj 8b/9
69688 Mali Lošinj"
"Ivka Blažević","Radnički dol 4
99022 Valpovo"
"Lara Šalić","Ksaverska 058
68153 Cres"
"Đuro Zebec","Ružičnjak 7b
89770 Sinj"
"Robert Kosić","Splavnica 273
46817 Trilj"
"Vedran Mirt","Magdićeve 1a/0
51154 Solin"
"Marta Špoljarić","Zamenhofova 9a
71779 Kutina"
"Lidija Jurišić","Opatovina 5b/1
61419 Zagreb"
"Goran Novak","Dvoranski prečac 2c
74716 Nin"
"Viktor Šverko","Wickerhauserova 29
15278 Vinkovci"
"Nikša Godinić","Višnjica 91
25252 Ilok"
"Mate Orlić","Wickerhauserova 654
45163 Vrbovec"
"Laura Batrnek","Arnoldova 2a/5
95699 Bjelovar"
"Jakov Brlas","Jurjeve 81
98024 Opatija"
"Rudolf Liber","Bakačeva 7c/7
88818 Hvar"
"Slavica Hadžić","Šestinski vijenac 4b
08537 Petrinja"
"Jelena Kereković","Zamenhofova 4a/1
29662 Novalja"
"Manda Lukšić","Lobmayerove 0a
77935 Delnice"
"Ivana Ričko","Tkalčićeva 494
57253 Ivanić-Grad"
"Anica Rajn","Slavujevac 7b/0
27251 Benkovac"
"Marina Matošević","Lisinskoga 0b
67861 Kaštela"
"Željka Oršolić","Cmrok 6b/6
67939 Đurđevac"
"Laura Boljkovac","Magdićeve 1c/6
42625 Varaždin"
"Božo Vozila","Jagodnjak 3c
25000 Našice"
"Iva Miklečić","Vončinina 5a/8
41792 Osijek"
"Dušan Dominiković","Šilobodov put 5a/3
79002 Kastav"
"Rozalija Golubić","Gupčeva zvijezda 7b
83736 Vodnjan"
"Dario Vela","Cmrok 4
79325 Benkovac"
"Janko Rastija","Kapucinske 4
53031 Valpovo"
"Željka Semialjac","Mlinovi 0c
18556 Oroslavje"
"Luka Forjan","Klenovac 0
26678 Vis"
"Alen Bezić","Zmajevac 0a/4
04767 Metković"
"Laura Brandić","Jagodnjak 5c/3
27456 Crikvenica"
"Karlo Matulić","Bijenička 5a/0
73505 Zadar"
"Laura Viljevac","Višnjičke 8c/5
28647 Obrovac"
"Marijan Hrženjak","Remetska 199
58555 Daruvar"
"Anđa Županić","Kaptol 203
59374 Krapina"
"Antun Šoštarić","Ksaver 0b
39674 Obrovac"
"Matija Darojković","Dvoranski prečac 4a
57511 Nova Gradiška"
"Janko Mikić","Svibovac 51
58356 Metković"
"Štefanija Štrljić","Javorovac 9a/7
56566 Đakovo"
"Domagoj Josipović","Klenovac 1b/1
08749 Hrvatska Kostajnica"
"Laura Crevar","Visoka 8a/8
91182 Knin"
"Rudolf Trgovčić","Slavujevac 2c
06909 Jastrebarsko"
"Marija Sobota","Tkalčićeva 8a
22465 Našice"
"Milena Popović","Donje Prekrižje 56
43641 Donja Stubica"
"Biljana Žiković","Vrazovo šetalište 692
05818 Beli Manastir"
"Marina Šibalić","Bučarova 0c
79315 Vrbovsko"
"Lara Jurlina","Kožarska 9a
54006 Vrbovsko"
"Snježana Franjić","Jurišićeva 8a
20038 Samobor"
"Mihael Cafuk","Arnoldova 7a/9
29190 Slavonski Brod"
"Milica Nikolić","Horvatovac 0a/2
94432 Novi Vinodolski"
"Laura Derežić","Kurelčeva 4
16062 Skradin"
"Mate Dražić","Vrazovo šetalište 6b
09346 Buzet"
"Sara Bogović","Čačkovićeva 1a
28288 Lipik"
"Maria Brletić","Gračanska 0
05355 Pregrada"
"Katica Mudronja","Grič 0c/2
91505 Varaždin"
"Josip Pandurić","Lobmayerove 4b/0
74649 Stari Grad"
"Jele Štefanec","Vlaška 4b
58220 Pazin"
"Franciska Barešić","Vitezovićeva 07
48873 Stari Grad"
"Đuro Vukobratović","Pod zidom 8c/6
71702 Zlatar"
"Ane Sabol","Klenovac 70
88996 Cres"
"Laura Franušić","Čačkovićeva 6b
44827 Otok"
"Mia Penić","Nova Ves 161
43715 Velika Gorica"
"Kate Bićanić","Vijenac 4c
89492 Knin"
"Roko Mateša","Šilobodov put 7b/7
23857 Velika Gorica"
"Mira Škrtić","Ilica 301
46040 Mursko Središće"
"Bara Kadija","Pod zidom 7a/0
35860 Trogir"
"Dominik Cafuk","Mirogojska 5c/0
99357 Solin"
"Ika Roca","Ilica 7b
12718 Zagreb"
"Gordana Zebec","Perivoj biskupa Stjepana II. 9
40513 Ivanić-Grad"
"Mate Kadija","Dverce 3a
70465 Buje"
"Laura Jozić","Jagodnjak 7c/7
10752 Obrovac"
"Gordana Vuk","Glogovac 2a
54070 Benkovac"
"Saša Škara","Krvavi most 5c/4
95560 Krapina"
"Martin Grgurić","Čačkovićeva 5c
30669 Kastav"
"Mara Ljubičić","Splavnica 4b/3
77316 Vrbovec"
"Lana Beraković","Skalinska 8b/1
15853 Otočac"
"Toni Dončević","Jurjeve 2c/8
88648 Slatina"
"Kata Tomić","Hercegovačka 8c/3
61036 Hrvatska Kostajnica"
"Igor Glasnović","Čačkovićeva 2b
56379 Rijeka"
"Siniša Pikec","Mlinovi 6b
68498 Opatija"
"Laura Mustapić","Mletačka 6
94718 Šibenik"
"Viktor Horvat","Mašekova 5b
83019 Duga Resa"
"Đurđica Tisaj","Svibovac 514
37127 Vrbovsko"
"Ljiljana Tuđa","Pod zidom 3a/0
43032 Glina"
"Mia Kresonja","Palmotićeva 6
65974 Supetar"
"Ivka Marijanović","Tuškanac 38
00910 Kutjevo"
"Đuro Blažević","Kraljevec 843
24119 Glina"
"Joso Perišić","Bakačeva 3a
25271 Split"
"Danijel Peroš","Šilobodov put 3b
41458 Đakovo"
"Mirjana Bunčić","Nemetova 2a
77930 Popovača"
"Laura Perčić","Ksaverska 1c
89485 Đurđevac"
"Matej Mofardin","Zmajevac 14
71273 Zagreb"
"Renata Josipović","Vlaška 9a/8
45966 Opatija"
"Fran Šalić","Rokov perivoj 6b
93896 Drniš"
"Fran Papak","Klanac Grgura Tepečića 97
61354 Velika Gorica"
"Davor Birkić","Paunovac 6a
49259 Poreč"
"Domagoj Turčinov","Tkalčićeva 0c
92465 Vukovar"
"Valter Hren","Zvonarnička 7b
98056 Zaprešić"
"Dario Marjanović","Visoka 6
34315 Lepoglava"
"Vedran Štefović","Wickerhauserova 70
61831 Valpovo"
"Laura Rakuljić","Krvavi most 7a/9
06219 Nin"
"Josipa Bogović","Ružičnjak 55
10294 Zaprešić"
"Lucija Sikirić","Zamenhofova 755
80827 Kastav"
"Zdenka Cafuk","Jurjevska 847
89798 Vukovar"
"Mateja Grgurić","Gornje Prekrižje 5a
91853 Pula"
"Lucija Šošić","Golubovac 2b
17020 Opuzen"
"Patrik Godinić","Čačkovićeva 2c/1
74411 Požega"
"Nina Petričević","Jadranska 8a
42279 Novi Marof"
"Štefica Štrljić","Podgaj 3a/7
49431 Vrgorac"
"Nikola Maričević","Donje Prekrižje 705
73924 Zlatar"
"Laura Sokol","Gradec 958
11698 Bjelovar"
"Mia Jakuš","Kožarska 5b
80944 Krk"
"Slavko Licul","Dvoranski prečac 00
73179 Sinj"
"Zdenka Žerjav","Bosanska 2
19567 Rijeka"
"Ema Božičević","Zelengaj 0c
49859 Glina"
"Fran Mihaljević","Gradec 665
40647 Vodnjan"
"Željko Pecotić","Naumovac 221
79436 Slatina"
"Roko Vukušić","Jurkovićeva 7c/6
51167 Hvar"
"Stana Bijelić","Zamenhofova 765
62250 Oroslavje"
"Zvonko Trgovčić","Višnjičke 0c/6
98324 Donja Stubica"
"Laura Toić","Mlinarska 9c/0
94800 Cres"
"Jele Preočanin","Kaptol 360
17127 Jastrebarsko"
"Anica Odobašić","Jurjeve 1b/4
32827 Ilok"
"Mara Čubrić","Tošovac 5
35930 Skradin"
"Jana Mužić","Kamenita 7b/3
17111 Osijek"
"Ema Magić","Perivoj srpanjskih žrtava 9b/6
62245 Glina"
"Pavao Đurinić","Jezuitski trg 8b/6
79790 Sveta Nedelja"
"Zdenka Vidov","Kurelčeva 1c
50663 Hrvatska Kostajnica"
"Štefanija Beraković","Bosanska 5a
16933 Ivanec"
"Iva Miličić","Goljačke 2c/6
55341 Kastav"
"Laura Ukić","Mala 5c
62474 Gospić"
"Ivan Komar","Vitezovićeva 2c/3
32239 Lepoglava"
"Ivana Borojević","Klanac Grgura Tepečića 62
31787 Osijek"
"Jasminka Matko","Rokova 665
00033 Valpovo"
"Snježana Sedlar","Vončinina 3b
96025 Pag"
"Leon Barušić","Kraljevec II. 8a/2
30081 Drniš"
"Maria Bošnjaković","Kozarčev vijenac 444
33554 Sveti Ivan Zelina"
"Terezija Ćorić","Rikardove 4
35223 Kutjevo"
"Denis Radin","Golubovac 3c
98240 Nova Gradiška"
"Nenad Pozder","Arnoldova 4a/1
33829 Čabar"
"Lea Butković","Šestinski vijenac 33
90442 Koprivnica"
"Biljana Andrijević","Kaptol 3
92484 Velika Gorica"
"Jasminka Nižetić","Strossmayerovo šetalište 5b
59335 Đakovo"
"Antonija Babić","Kamenita 9a/0
12291 Kastav"
"Roko Džapo","Mlinarska 0b/7
95063 Duga Resa"
"Pavao Radman","Nova Ves 1b
85233 Belišće"
"Dominik Ercegović","Skalinska 257
25946 Opatija"
"Anđa Leščić","Pod zidom 899
33095 Kutina"
"Valentina Mužina","Glogovac 958
76044 Glina"
"Ika Erceg","Tuškanac 85
75673 Stari Grad"
"Lea Marasović","Dolac 4a
05183 Orahovica"
"Renata Barac","Jurišićeva 484
85469 Čakovec"
"Bara Andrašek","Svibovac 2c/5
28161 Senj"
"Ema Žagar","Lisinskoga 5b/1
09592 Imotski"
"Manda Škunca","Orlovac 4a
27395 Beli Manastir"
"Nikša Dončević","Šestinski vijenac 4c
34949 Velika Gorica"
"Ane Hadrović","Zamenhofova 3a/0
61423 Biograd na Moru"
"Ivka Mraović","Klanac Grgura Tepečića 0a
88334 Hrvatska Kostajnica"
"Viktor Barać","Rikardove 37
18261 Split"
"Matej Močibob","Pod zidom 1b/9
85239 Senj"
"Lea Pandurić","Voćarska 43
51258 Solin"
"Vesna Štefović","Šalata 60
92043 Mali Lošinj"
"Josipa Sršen","Kamaufova 2a/1
94049 Lepoglava"
"Franciska Pamić","Tuškanac 07
16649 Glina"
"Mario Močibob","Rokova 7c
81801 Virovitica"
"Lidija Mirosavljević","Zmajevac 3a/9
60255 Pag"
"Marin Vidović","Kraljevečki ogranak 0b
66884 Hvar"
"Joso Abramović","Tkalčićeva 0c/3
31313 Crikvenica"
"Lovro Dautanec","Voćarska 3b/9
23759 Ivanić-Grad"
"Milka Bračun","Opatička 735
68428 Biograd na Moru"
"Leon Botica","Nemetova 9a
26369 Beli Manastir"
"Mislav Bogadi","Orlovac 2
44682 Našice"
"Mara Šokčević","Pod zidom 01
46451 Skradin"
"Zvonko Bernardić","Draškovićeva 6c/7
87364 Slatina"
"Jakov Vladislavić","Strossmayerovo šetalište 2a
48249 Novska"
"Valter Kosić","Vončinina 7
11885 Stari Grad"
"Fran Mičetić","Šestinski vrh 4
52250 Crikvenica"
"Tea Eršek","Bosanska 8b/5
51529 Otok"
"Dragutin Štrljić","Nemetova 6b/7
78242 Ilok"
"Sanja Martinović","Harmica 4b/4
83725 Lepoglava"
"Leon Dončević","Rokov perivoj 1c/7
61404 Velika Gorica"
"Ružica Žufika","Višnjica 5
80728 Hvar"
"Mijo Prpić","Zvonarnička 0c/7
07253 Čabar"
"Tomo Bunčić","Horvatovac 2c
43095 Požega"
"Josip Kelečić","Zamenhofove 9a/4
68309 Bjelovar"
"Ante Beraković","Kurelčeva 1a
10771 Valpovo"
"Joso Pavin","Zelenjak 73
79015 Rovinj"
"Barbara Đurašević","Jagodnjak 85
39986 Skradin"
"Pero Josipović","Opatovina 4b/1
02909 Našice"
"Katarina Knezović","Magdićeve 893
70820 Slatina"
"Leon Klarić","Gradec 474
51191 Obrovac"
"Nenad Urlić","Kapucinske 4a/7
08330 Đurđevac"
"Štefanija Botić","Skalinska 2b/5
62619 Kutjevo"
"Erik Šalić","Strossmayerovo šetalište 9b
18204 Slatina"
"Matea Rogošić","Strossmayerovo šetalište 36
93497 Pazin"
"Toni Žuvela","Demetrova 28
21156 Vukovar"
"Anton Paradi","Dverce 038
69028 Slunj"
"Dražen Franičević","Višnjica 106
79745 Pregrada"
"Vera Sokić","Wickerhauserova 2a
54172 Sisak"
"Vlado Barišić","Voćarska 7a
23785 Nova Gradiška"
"Leon Kovač","Goljak 3a
23257 Donja Stubica"
"Matija Kostanić","Jadranska 781
37305 Biograd na Moru"
"Božena Pešić","Rockefellerova 0c
58923 Split"
"Marijana Vuković","Šestinski vijenac 4a/2
78762 Osijek"
"Katarina Čulina","Mlinovi 5a/2
61440 Novi Vinodolski"
"Ema Bazjak","Bučarova 2
13813 Poreč"
"Kata Špišić","Orlovac 681
05526 Vis"
"Jele Kolega","Kraljevečki odvojak 6c/5
91381 Kaštela"
"Biserka Dujmović","Vinogradska 408
54603 Dugo Selo"
"Antonio Odobašić","Opatička 8a
29543 Novi Marof"
"Leon Mirosavljević","Jurišićeva 7b/4
79453 Rijeka"
"Lara Balić","Vončinina 8b
61199 Prelog"
"Milica Perkov","Kraljevec 6a
52226 Skradin"
"Zlatko Marinković","Jurišićeva 0b
38661 Nova Gradiška"
"Katica Bobanović","Vijenac 2b
08769 Oroslavje"
"Nevenka Eterović","Mala 4a/8
62992 Klanjec"
"Marta Didović","Pod zidom 9b
64421 Novska"
"Hana Guberović","Klenovac 0a
49941 Drniš"
"Katarina Čupić","Mlinarska 514
05156 Samobor"
"Matija Bungić","Goljačke 3c/0
05902 Donji Miholjac"
"Leon Pajur","Donje Prekrižje 6b
17075 Vrbovec"
"Mario Peterlik","Čačkovićeva 8c/3
99944 Križevci"
"Karla Jerković","Bijenička 6
51536 Rovinj"
"Mislav Božičević","Vrazovo šetalište 4b
37646 Drniš"
"Đuro Marin","Kurelčeva 0c
10918 Buzet"
"Barica Kuščević","Gradec 431
00257 Vinkovci"
"Vjekoslav Culi","Bijenička 8
39706 Donja Stubica"
"Đuro Peroš","Nemetova 7a
75787 Đurđevac"
"Saša Plažanin","Kamenita 1
28195 Hrvatska Kostajnica"
"Marija Šimunić","Paunovac 1
62343 Nova Gradiška"
"Leon Roca","Zelenjak 87
35050 Vodnjan"
"Zdenka Marinković","Šumski prečac 9
51113 Komiža"
"Martin Maržić","Krvavi most 9c/3
81509 Pazin"
"Dalibor Špralja","Srebrnjak 0a
49433 Prelog"
"Janko Matulić","Klesarski put 6c
95966 Požega"
"Rozalija Gržetić","Zelenjak 89
10338 Novi Marof"
"Marica Mraović","Mlinske 5b/8
33863 Požega"
"Franciska Vukušić","Palmotićeva 8c
19716 Sveti Ivan Zelina"
"Maria Bogović","Šestinski vrh 193
52859 Sveti Ivan Zelina"
"Zvonko Pleše","Zelenjak 1a
14128 Donja Stubica"
"Leon Rojnić","Zvonarnička 0b
42997 Nin"
"Ivanka Nimac","Novi Goljak 2b/6
04094 Split"
"Juraj Hadžić","Lisinskoga 4a
00451 Beli Manastir"
"Nenad Lasić","Lisinskoga 9b
10813 Sinj"
"Matija Lešić","Harmica 6b
87020 Velika Gorica"
"Mare Branković","Remetska 1c
57966 Križevci"
"Siniša Pongrac","Orlovac 9c/5
17641 Ludbreg"
"Ivka Raguž","Zamenhofove 8
10622 Petrinja"
"Ivan Kevo","Wickerhauserova 0a/5
68835 Kutina"
"Karlo Grubišić","Orlovac 8c/8
39377 Varaždin"
"Leon Rubinić","Klenovac 4b/2
44871 Donja Stubica"
"Marija Valjetić","Ksaver 1b
61281 Kastav"
"Domagoj Resanović","Šestinski vijenac 9c/2
90620 Vrbovsko"
"Dragutin Šimunović","Tkalčićeva 7
54758 Trogir"
"Juraj Zakinja","Pantovčak 984
77405 Vodice"
"Janko Pečur","Orlovac 8b
67361 Komiža"
"Gordana Ćorić","Tkalčićeva 5c/5
07840 Hrvatska Kostajnica"
"Đurđica Terzić","Dverce 4
13580 Omiš"
"Božo Trutanić","Jurjeve 3b/9
72202 Ilok"
"Julijana Staničić","Medveščak 4a
07445 Otok"
"Leon Trnski","Kraljevec 3b/2
71271 Novigrad"
"Manda Toić","Jurjevska 0b
00068 Beli Manastir"
"Stana Đurašević","Ljubinkovac 6a
42594 Metković"
"Ivka Legović","Vončinina 0b
34288 Crikvenica"
"Milka Štifanić","Mlinarska 1b/9
39733 Vodice"
"Mare Perak","Dubravkin 5c
83845 Pazin"
"Jasna Zanoški","Visoka 0a
89813 Korčula"
"Mare Karlović","Demetrova 641
35613 Grubišno Polje"
"Dora Mustač","Kurelčeva 931
31896 Vodice"
"Tatjana Bazjak","Javorovac 414
43088 Kaštela"
"Leon Vela","Kraljevec 5
09060 Ivanec"
"Ilija Hrabar","Rokova 7b/1
54978 Slunj"
"Kristijan Blažek","Javorovac 2a/0
19892 Hrvatska Kostajnica"
"Vladimir Guštin","Vrazovo šetalište 628
89329 Zlatar"
"Štefanija Pečur","Glogovac 8c/7
69507 Kutina"
"Marijana Zebec","Javorovac 1b
06933 Lipik"
"Jelena Obratov","Čačkovićeva 7
54387 Obrovac"
"Marija Dominković","Jurkovićeva 3c/5
84351 Benkovac"
"Ivica Varga","Kožarska 6b
00325 Popovača"
"Željko Kolarec","Glogovac 814
43062 Donja Stubica"
"Leon Vižintin","Medveščak 8b
45219 Zlatar"
"Milan Amanović","Donje Prekrižje 9b
16948 Umag"
"Snježana Matulić","Jurjeve 3c/3
31202 Vinkovci"
"Lea Tudić","Gupčeva zvijezda 6b/5
37691 Oroslavje"
"Elvis Turina","Zelengaj 6a
50816 Sinj"
"Mira Stipanović","Šalata 62
83440 Čakovec"
"Vladimir Jurišić","Pantovčak 5a
77612 Krk"
"Štefica Tepeš","Šilobodov put 7c/9
36457 Vrgorac"
"Saša Čiš","Višnjica 1a/4
69914 Rijeka"
"Valentina Sabol","Kraljevečki odvojak 1
15570 Grubišno Polje"
"Leon Čuljak","Nemetova 4a
27650 Mali Lošinj"
"Zora Tisaj","Perivoj biskupa Stjepana II. 618
73271 Novigrad"
"Mihael Tonc","Pod zidom 15
10345 Karlovac"
"Viktor Čulina","Vlaška 21
84363 Kraljevica"
"Dušan Cestarić","Ljubinkovac 4a
42404 Glina"
"Patrik Radolović","Mlinovi 047
95879 Dugo Selo"
"Zdravko Benčić","Ilica 1b/7
90150 Buzet"
"Anka Šverko","Ružičnjak 2c
18500 Trilj"
"Petar Kovač","Vinogradska 223
92816 Zabok"
"Maria Šestan","Srebrnjak 5
90805 Prelog"
"Leon Živić","Jurišićeva 41
50868 Novi Marof"
"Martin Maćešić","Lisinskoga 6
28950 Ilok"
"Romano Majstorović","Gradec 6c/9
03823 Opuzen"
"Mirko Nakić","Davor 2a/0
70575 Ilok"
"David Bukvić","Krležin gvozd 7c
01562 Virovitica"
"Lea Deže","Šestinski vrh 3b
76309 Imotski"
"Marica Ugrinić","Opatička 556
31723 Garešnica"
"Joso Slavica","Kaptol 2c
74712 Vrgorac"
"Branka Nimac","Rockefellerova 019
54111 Senj"
"Valter Makovac","Zmajevac 7a
36568 Pula"
"Lidija Aničić","Kraljevec II. 1b/0
07138 Sinj"
"Šime Ljubić","Jurkovićeva 9a
20579 Donji Miholjac"
"Barbara Mušćet","Strossmayerovo šetalište 6c/9
56261 Poreč"
"Matea Kupsjak","Rikardove 2c
59221 Vis"
"Erik Damijanić","Mlinarska 1
76012 Dubrovnik"
"Joso Požega","Kraljevec II. 39
30108 Umag"
"Matej Gotić","Horvatovac 9a/1
27331 Pag"
"Snježana Prelec","Novi Goljak 7
12394 Split"
"Đuro Hodak","Arnoldova 2
05795 Varaždin"
"Elvis Nimac","Jadranska 465
49212 Ogulin"
"Lidija Bebić","Tuškanac 2c/6
31825 Pregrada"
"Saša Mustač","Medvedgradska 1c/8
50983 Obrovac"
"Ana Tušek","Jabukovac 3
48090 Pleternica"
"Vjekoslav Hrvojić","Kamaufova 3c/0
54515 Stari Grad"
"Juraj Kovač","Jurjevska 95
52966 Vrlika"
"Alen Čulina","Dverce 153
01747 Šibenik"
"Roko Blagaić","Kaptol 819
82484 Popovača"
"Romano Štifanić","Donje Prekrižje 0c/1
21880 Buje"
