"Άγγελος Βουτσελας","Ναούμ 22,
ΤΚ 25983 Λαμία" 
"Μαρωτέσα Χριστοφόρη","Πλακάδου 54,
ΤΚ 45364 Θεσσαλονίκη"
"Θεοδόσης Αετόπουλος","Ξανθοχωρίου 027,
029 20 Ηράκλειο"
"Κλημεντίνη Τριανταφύλλου","Λεωφ. Καστελλάνων Γύρου 32-03,
76188 Βέροια"
"Σπάρτη Καφαντάρη","Τετραλόφου 95,
867 66 Σπάρτη"
"Ευθύμιος Μουτουσίδης","Παπουτσοπούλου 39,
ΤΚ 94935 Κέρκυρα"
"Κίμων Παπαδημητράκης","Τροπαιούχου 19,
70277 Κατερίνη"
"Δαμασκηνός Φωκάς","Δημητσάνης 23,
873 69 Ηγουμενίτσα"
"Δέσποινα Μέλανι","Πλατεία Αριστοδημείου 3,
ΤΚ 85488 Ρόδος"
"Αριστομένης Γρίβας","Δελή 08-05,
66098 Κιλκίς"
"Θεόφραστος Σκουλαρίδης","Καλλιανού 95,
ΤΚ 984 92 Κατερίνη"
"Ματίνα Μαρτζούκου","Δραγασιάς 7,
ΤΚ 88749 Κιλκίς"
"Βαρδής Αγγελίκας","Κατωγής 30,
07869 Έδεσσα"
"Ιωάννης Μακρυκώστας","Πάροδος Αμμουδιάς 564,
787 94 Λευκάδα"
"Ρόζα Βαϊραμίδου","Κανελή 9,
ΤΚ 29332 Ναύπλιο"
"Θεόδουλος-Έξαρχος Γεωργακόπουλος","Γερούκη 374-817,
02421 Κόρινθος"
"Οδυσσεύς Βαμβακάς","Καστριωτίσσης 90,
ΤΚ 119 03 Άρτα"
"Ανδρόνικος Μαραγκός","Καλάμου 48-17,
ΤΚ 510 29 Καβάλα"
"Ολύμπια Κάκκα","Ξηροκάμπου 84-87,
48943 Τρίπολη"
"Αρετή Χαμαλίδου","Μαντινείας 946-839,
99308 Φλώρινα"
"Αυγέρης Γιαννόπουλος","Σιόλου 71-64,
ΤΚ 926 30 Αλεξανδρούπολη"
"Ματίνα Παυλή","Βαλσαμονέρου 55,
43897 Σπάρτη"
"Ευμορφία Βουλγαρίδου","Παραλίου Άστρους 60-91,
ΤΚ 08512 Καρδίτσα"
"Κλεομένης Λιόλιος","Ιτέα 6,
ΤΚ 52881 Ηγουμενίτσα"
"Καλομοίρα Δημητρίου","Δίβρης 62,
67253 Κοζάνη"
"Ελισσαίος Τσέλλος","Τρικόρφου 764-064,
55261 Κομοτηνή"
"Καλλίνικη Συνοδινού","Λαλαούνη 9,
617 87 Ρέθυμνο"
"Ευστάθιος-Σόλων Δακαναλής","Κοντοπουλίου 86,
ΤΚ 366 86 Καρπενήσι"
"Μελπομένη Εμμανουηλίδου","Πλ. Αγία Παρασκευή 02-45,
07581 Αθήνα"
"Αθηνά Μπούζα","Ανθήλης 61,
ΤΚ 843 92 Δράμα"
"Νίκων Δουκατζής","Πάροδος Κούμανη 9,
155 01 Αθήνα"
"Ματίνα-Πουλχερία Νικολουδάκη","Πάρ. Αλοίδων 45-05,
ΤΚ 413 33 Κόρινθος"
"Κυριαζής Τακαντζάς","Φιλίππου 70-81,
49394 Βόλος"
"Λητώ Καλογιάννη","Μαυρολόφου 252-356,
ΤΚ 14245 Σπάρτη"
"Αλέξανδρος-Επαμεινώνδας Γάτος","Οβριάς 171-077,
ΤΚ 72192 Ξάνθη"
"Κωνσταντίνος-Αύγουστος Σικαλίδης","Παλαιού Ελευθεροχωρίου 316,
ΤΚ 495 26 Ξάνθη"
"Αντιγόνη Δρίβα","Λεωφ. Ανύδρου 38,
ΤΚ 734 38 Αργοστόλι"
"Κυβέλη Εμμανουηλίδου","Πάρ. Κριτσάς 495-482,
ΤΚ 61763 Κοζάνη"
"Πηγή-Χαρίκλεια Μαυρίδου","Διακουμή 0,
76265 Καρπενήσι"
"Έξαρχος Τσώτσης","Ράμιας 114,
ΤΚ 58440 Θεσσαλονίκη"
"Ορέστης Μπαλουκίδης","Λεπτινίου 35-34,
66225 Λιβαδιά"
"Ματθίλδη Παυλάκη","Κορθίου 33,
60514 Λαμία"
"Ήρα-Χάρη Αραπάκη","Λεωφ. Δροσερού 4,
59649 Κομοτηνή"
"Αυγέρης Κουλουριώτης","Δάφνου 93,
913 81 Μεσολόγγι"
"Αναξαγόρας Αγκυρόπουλος","Ζαχαριουδάκη 891-150,
ΤΚ 70224 Βέροια"
"Δαβιδούλα Ποταμιάνου","Δερλώπα 4,
82521 Ιωάννινα"
"Καλλίνικη Υφαντή","Αρφαρών 25-81,
699 98 Καστοριά"
"Αδάμ Γκικόπουλος","Λεύκτρων 836-991,
86198 Πύργος"
"Κομνηνός-Φιλήμων Φωτόπουλος","Δάφνη 46,
66655 Άμφισσα"
"Γαβριήλ Παπαπανός","Ροδαυγής 28,
ΤΚ 47130 Σπάρτη"
"Χρυσάνθη Γεωργίτση","Πραισού 244,
ΤΚ 815 05 Κατερίνη"
"Ματθίλδη Φυτιλή","Πετρούπολης 27,
ΤΚ 884 01 Ρόδος"
"Σταυρούλα Σιμιτζή","Διχομοιρίου 94,
460 65 Αργοστόλι"
"Βαρδής Γρηγορόπουλος","Ξυλοκέρας 9,
21096 Καλαμάτα"
"Κυράτσα Ιωακειμίδου","Μονοδενδρίου 9,
83720 Σέρρες"
"Λεμονιά Συνοδινού","Πάροδος Πραμάντων 3,
75872 Ηράκλειο"
"Χρυσαφένια-Ηλέκτρα Κουκουβά","Πάροδος Βαλανείου 342-078,
ΤΚ 86692 Ερμούπολη"
"Αθηνοδώρα Τζιρατούδη","Διοπούλου 25,
17683 Αργοστόλι"
"Πελαγία Δουλάμη","Χαλαζονίου 24,
69172 Αγ. Νικόλαος"
"Σπήλιος Ζιώγος","Σπαρτύλα 2,
281 48 Αθήνα"
"Ανδροκλής-Γιώργος Λαγοπάτης","Αχλαδέ 464-445,
ΤΚ 28539 Λαμία"
"Ματθίλδη Χορτάτου","Πάροδος Κερασιάς 3,
ΤΚ 765 93 Ζάκυνθος"
"Θεοχάρης Μητσόπουλος","Δίβρης 0,
228 34 Κέρκυρα"
"Βαλεντίνος Αγκυρόπουλος","Μιστεγνών 47-54,
ΤΚ 011 76 Καλαμάτα"
"Λευκοθέα Τζιόβα","Ανοίξεως 70,
272 38 Ξάνθη"
"Διαμαντής Ζυγούρης","Σταγιατών 80,
ΤΚ 608 88 Άρτα"
"Ιωσήφ Μασγαλάς","Πλ. Σκαδού 09,
ΤΚ 569 39 Λαμία"
"Αλέξανδρος Κατσιλής","Πάροδος Πετρούσσης 6,
802 87 Μυτιλήνη"
"Τατιάνα Δημητριάδου","Αγιωργιτίκων 9,
680 53 Ηγουμενίτσα"
"Γερασιμούλα-Κασσάνδρα Καρκαλέτση","Φαμίλας 14-56,
ΤΚ 487 26 Ναύπλιο"
"Θεόκλητος Πιπεράκης","Πλ. Ροβιών 14,
959 23 Καρπενήσι"
"Ματθαίος Μαμμής","Λημερίου 26,
ΤΚ 447 69 Σάμος"
"Πανορμίτης Παπουλής","Παραδεισίου 98,
933 23 Αργοστόλι"
"Ηρόδοτος Τζουμάκης","Πάροδος Μανασσή 88,
51638 Άμφισσα"
"Αρετή Δαρσακλή","Λουτροπόλεως Θερμής 343,
363 35 Βόλος"
"Φλωρεντία Καπουρνιώτη","Εξωχωρίου 18-52,
39842 Τρίπολη"
"Πανδώρα Τσαμπούρη","Τριποταμιάς 30,
648 80 Καβάλα"
"Ιοκάστη Σταυρίδου","Διαμαντοπούλου 93,
ΤΚ 54489 Καρδίτσα"
"Ζήνων Ντόκος","Σκαφιδακίου 93,
40814 Σάμος"
"Διονύσιος Καρυπίδης","Χωτούσσης 69,
ΤΚ 326 78 Ναύπλιο"
"Αγησίλαος Σαραφίδης","Τοσούνη 548,
64272 Βέροια"
"Ματρώνη Εμμανουηλίδου","Νικολαιίκων 5,
ΤΚ 298 42 Γρεβενά"
"Πηνελόπη-Κρινιώ Ζυγούρη","Πάρ. Βερίνου 00,
ΤΚ 48660 Αγ. Νικόλαος"
"Ανέστης Σταματιάδης","Ανοιξιάτικου 0,
99538 Κατερίνη"
"Βλάσης Μόναχας","Χαβριάτων 422-867,
ΤΚ 084 90 Καρδίτσα"
"Λέανδρος Ρέντζος","Αλεποχωρίου Μπότσαρη 36-24,
ΤΚ 416 10 Πρέβεζα"
"Παράσχος Καλαμπαλίκης","Καπελέτου 1,
ΤΚ 350 02 Κόρινθος"
"Αμαλία-Ανθούλα Μάλαμα","Πετροκεράσων 649-913,
945 33 Βέροια"
"Όλγα Γκόβα","Γιαννοπούλου 10-83,
41323 Βόλος"
"Θαλασσινή Κουθούρη","Γεωργιουπόλεως 5,
34088 Τρίπολη"
"Ζησούλα Μπότζα","Αρμενοχωρίου 396-197,
328 73 Κομοτηνή"
"Μαυρίκιος Γιατρομανωλάκης","Πλ. Φισίνης 54,
947 13 Ερμούπολη"
"Πολύδωρος-Αλκιβιάδης Κατσαρός","Λεωφ. Κοκκινιάς 80,
75321 Καρπενήσι"
"Δημήτριος-Λεμονής Ντόκος","Μυρίκης 500-789,
04809 Αγ. Νικόλαος"
"Γεράσιμος Μίχος","Σαλονίκης 34-28,
33800 Γρεβενά"
"Αναστασία-Αριστέα Κυριακοπούλου","Δένδρου 42-25,
369 44 Δράμα"
"Σαράντης Μοσχόπουλος","Ποτειδαίας 1,
ΤΚ 03768 Καστοριά"
"Αντώνιος Σαμακίδης","Πάροδος Σέσκλου 55,
ΤΚ 694 62 Έδεσσα"
"Φραντζέσκα Μαργιά","Κορφών 4,
21431 Σπάρτη"
"Ιερόθεος-Μελέτιος Καναβός","Λεωφ. Άκρης 27,
903 10 Άμφισσα"
"Λάμπρος Βώσσος","Τουλούπη 3,
ΤΚ 066 07 Ηγουμενίτσα"
"Μαυρίκιος Λουπασάκης","Μαχαιράδου 19,
11692 Άμφισσα"
"Βασίλειος Μιχαλέλλης","Πλατεία Φραγκουλαιίκων 746,
05076 Κατερίνη"
"Χάιδω Τσετσέρη","Πλατεία Κυρτώνης 415-280,
65221 Κομοτηνή"
"Καλυψώ Πολατίδου","Δρίβα 001-783,
ΤΚ 26773 Πάτρα"
"Ερωφίλη Παπαδημητροπούλου","Φωτιάδου 094,
03593 Βέροια"
"Ρόζα Καραθανάση","Αφράτων 94-82,
ΤΚ 328 58 Δράμα"
"Θαλασσινή-Ελπίδα Γρηγοροπούλου","Αστριτσίου 23,
81171 Χαλκίδα"
"Αηδόνα Τουρνά","Πεμούση 40,
91612 Άμφισσα"
"Λουλουδένια Αραπίδου","Βραΐλας 7,
ΤΚ 034 02 Βέροια"
"Αρίσταρχος Ορφανιώτης","Γραικικού 5,
27989 Ζάκυνθος"
"Μαυρίκιος Παπαδάκης","Αφιδνών 61,
27956 Ρέθυμνο"
"Αθηναγόρας Χατζησαββίδης","Λεωφόρος Αγίου Θωμά 197,
00450 Καλαμάτα"
"Πελαγία-Συμέλα Σακκή","Γκούρας 52,
32365 Σάμος"
"Πίνδαρος Ρουπακάς","Δελφίνου 566,
ΤΚ 010 06 Κοζάνη"
"Αντύπας Κοντογιάννης","Πλ. Πεντολάκκου 41,
604 26 Κόρινθος"
"Χρυσή Μαγκαφοπούλου","Ψυρρή 66,
219 24 Φλώρινα"
"Ροδάνθη Γαβριήλ","Ναυπάκτου 07-23,
022 55 Χαλκίδα"
"Νερατζιά Κουζουλά","Τρικκαίων 740-221,
ΤΚ 77978 Φλώρινα"
"Μαργαρίτα Καλογιαννάκη","Πάρ. Εχίνου 30,
45735 Κοζάνη"
"Θωμαίς Φυτιλή","Καλλιόπης 57,
85661 Κομοτηνή"
"Μαυρίκιος-Αίας Γραμματικός","Μοδίου 520-561,
ΤΚ 902 32 Ξάνθη"
"Ιγνάτιος-Αγαμέμνων Καζανόπουλος","Δαμασίου 622,
61202 Άμφισσα"
"Ιουλιανός Χουδαλάκης","Πάροδος Ρεντίνας 7,
ΤΚ 53390 Βόλος"
"Μακάριος Καλιτσουνάκης","Σγουράδων 83,
39159 Ιωάννινα"
"Νομική Κανελλοπούλου","Πάρ. Περάμου 2,
61400 Κόρινθος"
"Υβόννη Μπελέκου","Διασέλλων 46,
ΤΚ 295 08 Κατερίνη"
"Χριστόδουλος Χρονόπουλος","Βάρνακα 476-364,
67264 Κατερίνη"
"Φιλιώ Κουμάρα","Χανίων 29,
ΤΚ 60780 Πρέβεζα"
"Φιλήμων Χριστάκης","Ελευθερών 06-17,
17680 Βόλος"
"Ροδαμάνθη Σκοτάδη","Κοπάνης 6,
ΤΚ 98188 Λάρισα"
"Μαυροειδής Λιθοξοΐδης","Καμπούρη 69-71,
336 60 Μυτιλήνη"
"Βενετία Σύψα","Λεωφ. Λάτα 98-42,
ΤΚ 190 99 Αγ. Νικόλαος"
"Ιοκάστη Τουλούπη","Πυλωρίου 86,
ΤΚ 141 76 Τρίκαλα"
"Λητώ Βαλσαμίδου","Πετροσιάν 88-94,
200 28 Γρεβενά"
"Ροδαμάνθη Μπαφίτη","Πάρ. Ερυθρών 7,
76505 Δράμα"
"Βικτόρια Τσιωλξ","Σπανοχωρίου 86,
08666 Ρέθυμνο"
"Χάιδω Ξενάκη","Λεωφ. Μόρφης 513,
ΤΚ 82196 Ζάκυνθος"
"Δικαία Μπαφίτη","Παπαευαγγελίου 08,
ΤΚ 59962 Έδεσσα"
"Λαυρέντιος Πίσσιος","Μικροπόλεως 8,
56737 Αλεξανδρούπολη"
"Ευτύχιος Σταμέλος","Δάφνη 426-955,
61297 Γρεβενά"
"Μαυροειδής Μαυρογονάτος","Πλατεία Στροφή 72,
ΤΚ 603 58 Λιβαδιά"
"Κίμων Πετρογιάννης","Πάρ. Δυσβάτου 75,
ΤΚ 24025 Τρίκαλα"
"Σαββούλα Καφφέ","Κασμιρλή 88,
28597 Χαλκίδα"
"Φοίβος Κουρσουμίδης","Ριζών 8,
839 51 Ρόδος"
"Ρέα Κανταρελή","Πλατεία Βαλανιδούσσας 0,
77412 Έδεσσα"
"Στέργιος Περράκης","Θεσσαλονίκης 69,
368 15 Χαλκίδα"
"Ταξιάρχης Τσαραμιάδης","Μουλιανών 38,
850 08 Σέρρες"
"Κλειώ Σταυρίδου","Τσαγκαροπούλου 99,
011 41 Βέροια"
"Αδαμάντιος Γαλατούλας","Μπατζάνη 04,
21826 Σάμος"
"Γιάννης Βασιλείου","Βλαχοπούλου 12,
ΤΚ 077 00 Καρδίτσα"
"Μαυροειδής Μποτσώλης","Κιμώλου 24,
89638 Καρδίτσα"
"Παρθένα Καραογλάνη","Οινουσσών 65-15,
794 69 Ηγουμενίτσα"
"Γαλήνη Καπνιά","Λαμπείας 64,
ΤΚ 48345 Κοζάνη"
"Φρύνη Πιπερίδη","Λεωφόρος Στεφανινών 79-13,
59296 Ναύπλιο"
"Ζαμπία Κλεινάκη","Βρίας 063,
ΤΚ 78063 Ιωάννινα"
"Μενέλαος Ρουσιανός","Παλλήνης 110-401,
09745 Χαλκίδα"
"Ιορδανία-Οδύσσεια Κετεσίδου","Αυλιωτών 82,
ΤΚ 138 88 Ηράκλειο"
"Σταμάτιος-Βησσαρίων Καζανόπουλος","Γεωργή 2,
585 06 Καβάλα"
"Ελπίς Γιακαμόζη","Πάρ. Αγίου Γεωργίου Σητείας 51,
21105 Λαμία"
"Φώτιος Γενετζάκης","Τήνου 45,
88476 Πρέβεζα"
"Μαυροειδής Παντζαρτζίδης","Κάσου 7,
ΤΚ 512 88 Καρδίτσα"
"Ελέσσα Χρήστου","Κεφάλου 12,
ΤΚ 32818 Ρέθυμνο"
"Πασχαλιά Πετρίδου","Τσάκων 11,
05482 Σπάρτη"
"Απολλωνία Γκαλίου","Σαμίων 15,
450 13 Γρεβενά"
"Γαρύφαλλος Σύκας","Μεγάλου Κεφαλοβρύσου 04,
ΤΚ 98112 Σπάρτη"
"Υπαπαντή Κυρίτση","Αχινού 23-26,
ΤΚ 72093 Κιλκίς"
"Οδυσσεύς Τσιτούρας","Καστανέας Επιδαύρου Λιμηράς 4,
02314 Γρεβενά"
"Ξανθή Κατσιμάνη","Παρθενίου 82,
70219 Λιβαδιά"
"Χιονιά Σαμπάνη","Μεταξάδων 91-65,
11215 Αλεξανδρούπολη"
"Ντανιέλα Δούβαλη","Θαλαμών 31,
ΤΚ 84180 Αγ. Νικόλαος"
"Μαυροειδής Χατζηγρηγοράκης","Διαμαντοπούλου 87,
ΤΚ 42616 Κατερίνη"
"Λέανδρος Νικουλής","Ανοιξιάτικου 76,
ΤΚ 79084 Ερμούπολη"
"Ηρόδοτος Λελεδάκης","Λεωφ. Γελάνθης 7,
ΤΚ 77417 Ιωάννινα"
"Αργύριος Βασιλείου","Λυρή 6,
565 40 Έδεσσα"
"Ευδόξιος-Ραχήλ Χατζησαββίδης","Πλατεία Χουδετσίου 4,
ΤΚ 58859 Κατερίνη"
"Βελισσάριος-Αντίπατρος Τσότρας","Πάρ. Λαμύρων 662-317,
ΤΚ 69818 Βέροια"
"Ζαφείρης-Πολύδωρος Κριτσέλης","Λαιίκων 77,
39692 Ηγουμενίτσα"
"Μαρωτέσα Μυτάρη","Καραγιοβάννη 538,
99083 Ηγουμενίτσα"
"Παρασκευή-Αγάθη Βράσκου","Διγελιωτίκων 625-623,
804 64 Σάμος"
"Φιλαρέτη Γαβριηλίδη","Γερακλίου 705-654,
ΤΚ 93218 Κιλκίς"
"Μαυροειδής-Σταύρος Παπαγεωργίου","Λύρας 13-57,
ΤΚ 54488 Ξάνθη"
"Βενέτιος Χαλατσής","Μαυρίδη 24,
31508 Χίος"
"Μιχαήλ Κονδυλίδης","Μεσορρουγίου 311-212,
80525 Καβάλα"
"Βασίλης Κουκουλιάντας","Πετράκη 37,
16175 Λαμία"
"Χρυσόστομος Συργής","Λεήμονα 97,
26887 Κόρινθος"
"Παρασκευάς Γκίκας","Πάντου 9,
39811 Κατερίνη"
"Μαυρίκιος Βαχουθιανάκης","Πλ. Μελισσίων 94,
ΤΚ 246 98 Θεσσαλονίκη"
