"Ѓорги Велков","Крушевска 509
37695 Битола" 
"Кристина Поповска","Даме Груев 7б
73525 Берово"
"Борис Андоновски","Зелезничка 6
32767 Македонски Брод"
"Др. Невена Арсовска","Лазар Личеноски 0
75789 Кавадарци"
"Др. Мирјана Димовска","Глигор Прличев 8а/1
23383 Валандово"
"Др. Елена Лазаревска","Питу Гули 35
87966 Скопје"
"Видое Глигоров","Женевска 9а
94982 Демир Хисар"
"Г-н Даниел Младеновски","Јане Сандански 1б/9
63546 Струга"
"Мартина Стојановска","Софиска 30
78056 Штип"
"Кирил Дамјановски","Партизански одреди 1б/1
70185 Пробиштип"
"Весна Јовановска","Христијан Тодоровски Карпош 7в
16385 Македонски Брод"
"Проф. Александра Крстеска","Булевар Александар Македонски 5б/4
24991 Ресен"
"Г-ѓа Драгана Мојсова","Михаило Пупин 1
44756 Скопје"
"Др. Никола Илиев","Наум Охридски 7б
36022 Кратово"
"Г-н Петар Климовски","Софиска 564
82126 Делчево"
"Петар Илиев","Маршал Тито 53
86918 Прилеп"
"Теодора Спасова","Македонија 4в
12565 Демир Капија"
"Проф. Иван Гроздановски","Природна 0б/0
03819 Крива Паланка"
"Др. Невена Трајковска","Димитар Влахов 501
70578 Македонска Каменица"
"Јована Гроздановска","Васил Главинов 051
28760 Демир Хисар"
"Проф. Трајче Мусијановски","Виенска 5в
39846 Битола"
"Г-ѓа Елена Дамјановска","Никола Вапцаров 6а/9
17897 Валандово"
"Г-ца Даница Крстева","Јасминска 6а
30554 Гевгелија"
"Др. Нина Митревска","Булевар Партизански одреди 29
60833 Македонски Брод"
"Г-н Цветан Глигоров","Ибрахим Темо 2а/6
89922 Дебар"
"Г-ца Цвета Митревска","Самоилова 9
49049 Кратово"
"Драган Јовчев","Софиска 065
70413 Ресен"
"Проф. Трајче Матевски","Јасминска 1а
56581 Велес"
"Г-н Емил Иванов","Хелсинки 2б
29533 Кочани"
"Г-н Митко Дурловски","Едвард Кардељ 45
77072 Охрид"
"Ристо Дешановски","Кеј Македонија 6а
61050 Кичево"
"Милена Јовчева","Лазар Личеноски 227
77879 Куманово"
"Др. Стефан Петковски","Булевар Цветан Димов 4а
88848 Крива Паланка"
"Др. Нина Николова","Булевар Александар Македонски 8б
49796 Кочани"
"Надица Глигорова","Луј Пастер 0
63482 Куманово"
"Петре Ѓоргиев","Трета македонска бригада 2б
56727 Крушево"
"Др. Симон Атанасов","Востаничка 0а/8
06114 Прилеп"
"Ѓорги Петровски","Природна 389
69205 Тетово"
"Дамјан Чулев","Благој Давков 0а/0
09686 Валандово"
"Невена Михајловска","Булевар Цветан Димов 1б
19577 Ресен"
"Др. Марјан Николовски","Ленинградска 2а/0
57272 Струмица"
"Г-ца Снежана Јовчева","Бриселска 2а/6
11935 Струга"
"Г-ѓа Гордана Андоновска","Никола Вапцаров 8а
98119 Ресен"
"Др. Огнен Дамјановски","Јован Хаџи Константинов Џинот 0а/2
38989 Струга"
"Г-н Кирил Спасовски","Будимпештанска 0б/2
03165 Демир Хисар"
"Г-н Ѓорче Ѓоргиев","Михаило Пупин 0а/1
37090 Богданци"
"Гордана Пановска","Булевар Партизански одреди 7а/8
44817 Струга"
"Проф. Емилија Мартиновска","Булевар Гоце Делчев 7
68654 Дебар"
"Г-ѓа Виолета Спасова","Трета македонска бригада 4
25547 Велес"
"Петар Бојаџиев","Свети Климент Охридски 3а/1
72432 Прилеп"
"Проф. Бојан Димитриев","Женевска 4в
87099 Свети Николе"
"Проф. Билјана Дамјановска","Востаничка 7б
85556 Неготино"
"Доне Бојаџиев","Булевар Александар Македонски 2
02845 Скопје"
"Др. Огнен Мојсов","Крушевска 9а/8
29206 Дебар"
"Г-ѓа Маја Петровска","Васил Главинов 2в
63933 Пробиштип"
"Доне Заев","Илинденска 591
83980 Штип"
"Г-н Петар Спасов","Георги Димитров 1а/4
80958 Кратово"
"Сара Димитриева","Востаничка 0в
41656 Крушево"
