"Adriana Almeida","Av Leal, 59
8518-401 Funchal" 
"Joaquim do Anjos","Rua Larissa Paiva, S/N
6371-880 Maia"
"Daniel Garcia","Av Marques, 321
3642-264 Olhão"
"Luana da Baptista","Largo de Miranda, 1
9518-618 São João da Madeira"
"Francisca Pinho-Figueiredo","Alameda de Cruz, 45
8187-484 Miranda do Douro"
"Andreia-Ana Sousa","Largo do Conde de Óbidos, 97
9184-854 Montemor-o-Novo"
"Isabela-Emília Brito","R. de Reis, S/N
8173-327 Espinho"
"Duarte Henriques","Avenida Baptista, 39
9590-052 Tavira"
"Gustavo Batista","Av de Fernandes, 7
1576-887 Reguengos de Monsaraz"
"Vicente Cunha","Avenida de Morais, 261
2916-292 Ponta Delgada"
"Rúben Maia","R. Beatriz Assunção, 65
5246-254 Seia"
"Gil Cruz-Rodrigues","Alameda Tristão da Silva, 7
6331-403 Cartaxo"
"Leonor Fonseca","Alameda Victória Moura, 64
8085-679 Angra do Heroísmo"
"Luana da Pinto","Travessa Isabela Pires, 2
3360-658 Marco de Canaveses"
"Pilar Neto","Av de Moura, 2
6747-942 Fátima"
"Mia Miranda-Azevedo","Largo de Alves, 93
2210-188 Valbom"
"Yara Carvalho","Avenida de Matias, 71
9571-670 Moura"
"Joel Marques","Av de Soares, 4
1957-749 Quarteira"
"Luca Amaral","R. de Coelho, 96
4956-216 Vale de Cambra"
"Pedro Costa","Alameda Guerreiro, 76
3599-531 Guimarães"
"Carlos da Moura","Avenida de Jesus, S/N
7198-127 Sintra"
"Anita Branco","Largo Juliana Mota, S/N
5928-727 Sines"
"Frederico Castro","Av de Pinheiro, 32
2718-733 Ovar"
"Luana de Esteves","Alameda Miranda, S/N
4255-421 Mangualde"
"Joel Neto","Rua Pacheco, 89
8731-085 Vendas Novas"
"Melissa Rodrigues","Largo Filipa Pinheiro, 99
9259-677 Gafanha da Nazaré"
"Mara Amorim","Praça Barros, 7
7184-310 Beja"
"Raquel da Neves","Avenida Magalhães, 8
2966-406 Ovar"
"Ivo Esteves-Amaral","Largo do Barredo, S/N
2421-720 Gandra"
"Benjamim Pinto","Rua Antunes, 35
3242-541 Amadora"
"Lucas Rocha","Largo de Baptista, 560
3355-225 Chaves"
"Lúcia Barros","Rua Pinto, 87
6755-634 Faro"
"Renato da Borges","Praça Fabiana Vicente, 167
2453-159 Vila do Conde"
"Luana de Nunes","R. Nuno Tavares, 572
5380-689 Porto Santo"
"Rafael Amorim-Silva","Largo de Andrade, 22
9053-705 Évora"
"Nádia Amorim","Travessa Loureiro, 7
8444-913 Santiago do Cacém"
"Dinis Batista","R. Alexandra Miranda, 98
6932-684 Lixa"
"Júlia Matias","Rua do Varejão, 53
8245-878 Santana"
"Juliana Teixeira","Travessa dos Flamingos, 8
6141-494 Portimão"
"Bárbara Barbosa","Largo do Sobreirinho, S/N
1743-084 Ponta Delgada"
"Pilar Matias","Rua Gabriel Freitas, S/N
8136-245 Felgueiras"
"Alexandra Barros","R. Nogueira, 687
4316-282 Olhão"
"Nuno Nogueira","Rua Lorena Rodrigues, 80
5992-051 Ílhavo"
"Luana-Rafaela Anjos","Avenida Petra Baptista, 74
5197-655 São João da Madeira"
"Simão Tavares-Barbosa","Rua Mário Soares, 20
9692-552 Fiães"
"Madalena Matos","Largo da Bela Vista, 16
9895-615 Lamego"
"Sara Pinho","R. Sul do Bairro da Encarnação, 1
2057-418 Guimarães"
"Jaime Paiva","R. de Mota, 33
9966-660 Cartaxo"
"Luana de Soares","Praça do Beato, 327
7451-455 Elvas"
"Fabiana Pinheiro","Travessa Brito, 89
1773-871 Ribeira Grande"
"Alexandra Santos","Rua dos Pinheiros, 49
5356-824 Gondomar"
"Valentina Moura","Rua Ribeiro, S/N
6590-617 Loulé"
"Violeta Domingues","Alameda Érica Vaz, 38
6276-548 Torres Novas"
"Luca Barros","Avenida de Moura, 70
7500-483 Alcobaça"
"Sérgio Amorim","Alameda Leal, 78
8276-982 Covilhã"
"Renata-Alexandra Vaz","Alameda Professor Gonçalves Ferreira, 1
4055-224 Entroncamento"
"Mário Mota-Andrade","Travessa de Figueiredo, 8
6268-259 Santana"
"Laura Cruz","Largo Ricardo Anjos, S/N
3124-837 Oliveira do Hospital"
"Helena do Coelho","Praça Clara Valente, 30
7736-399 Espinho"
"Flor Nogueira","Largo das Laranjeiras, 67
2595-786 Gouveia"
"Igor Moreira","Av General Afonso Botelho, 86
3558-899 Oliveira do Bairro"
"Marta Lourenço","Travessa Gonçalves, 43
8584-461 Trancoso"
"Anita do Santos","Avenida de Vicente, 47
6067-651 Torres Novas"
"Luca Barros","Travessa Sul do Bairro da Encarnação, 2
6722-616 Mangualde"
"Micael Moura","R. Mariana Valente, 46
1846-291 Agualva-Cacém"
"Emília da Nunes","Praça de Guedes de Oliveira, 29
5989-601 Trofa"
"Salomé Campos","Rua de Santo António dos Capuchos, 142
5033-841 Rebordosa"
"Noa Ferreira","Largo de Lima, 27
6420-064 Fiães"
"Lia Martins","Travessa de Mendes, S/N
4370-487 Alcácer do Sal"
"Simão Reis","Praça Sá, 24
3464-670 Lixa"
"Ricardo Soares","Travessa de São Vicente, 866
4066-584 Porto Santo"
"Iara Neves","R. Gil Fonseca, 2
6716-012 São Mamede de Infesta"
"André de Brito","Largo Cardoso, 540
9519-694 Tondela"
"Luca Cunha","Alameda de Abreu, S/N
3297-033 Valongo"
"Soraia Araújo","R. de Mota, 117
2559-910 Pinhel"
"Cláudio de Paiva","Rua de Faria, 441
3862-104 Loures"
"Erica-Iara Pacheco","Travessa Joel Leite, 56
5499-697 Lixa"
"Leonor da Magalhães","Avenida de Pires, 57
2643-831 Abrantes"
"Henrique Borges-Vaz","Praça Luciana Nogueira, 90
2660-099 Loulé"
"Isabela Moura","Largo Violeta Nunes, 45
5109-390 Serpa"
"Jéssica Carneiro","Praça do Chinquilho, S/N
3611-853 Torres Novas"
"Erika Vaz","Avenida de Correia, 372
1850-831 Loures"
"Carlos Barbosa","Alameda de Neves, 57
9229-494 Fafe"
"Luca Cunha","Travessa Fonseca, 76
4190-363 Vila Real de Santo António"
"Alice Martins-Neves","Praça Correia, 769
6081-518 Valbom"
"Carolina-Larissa Henriques","R. Figueiredo, 26
2064-424 Maia"
"Frederico Gonçalves","Travessa Pacheco, 378
8002-317 Alcobaça"
"Gaspar Freitas","Alameda de Araújo, 14
1970-770 Lamego"
"Sara Pacheco","Praça Luísa Coelho, S/N
7490-155 Loulé"
"Emma Figueiredo","Avenida Vicente, 413
4928-317 Sintra"
"Cristiano Assunção","Travessa Nascimento, 770
5570-101 São Salvador de Lordelo"
"Ângela Barros","R. da Lingueta, 679
8018-074 Entroncamento"
"Bernardo Baptista","Travessa André Mota, 17
1121-909 Cartaxo"
"Luca Fonseca","Av Cunha, 29
9449-571 Ponte de Sor"
"Mafalda Borges","Travessa de Pinheiro, S/N
3393-202 Montemor-o-Novo"
"António da Mota","Largo D. Carlos I ao Parque das Nações, 6
1999-560 Moura"
"Camila Rocha","Alameda de Augusto Gomes, 82
6219-976 Vila Real de Santo António"
"Gabriel Castro","Praça do Conde de Óbidos, S/N
5037-860 Sines"
"Noa Oliveira","Largo do Calvário, 7
7710-846 Funchal"
"Valentina Neto","R. de Cruz, 69
5288-964 Paços de Ferreira"
"Luísa Pinheiro","R. Pilar Matias, S/N
9024-094 Penafiel"
"Wilson da Costa","Alameda de Brito, 30
6661-042 Penafiel"
"Fernando Neto-Fernandes","R. dos Argonautas, S/N
8717-244 Coimbra"
"Luca Paiva","Praça de Neto, 22
8193-229 Peso da Régua"
"Petra Gaspar","Avenida Gaspar Pereira, 3
1424-109 Vale de Cambra"
"Yara do Nunes","Travessa Kevin Martins, 77
3056-162 Marco de Canaveses"
"Henrique Nogueira","Av Pacheco, 915
9235-501 Mirandela"
"Flor Rodrigues","Praça de Pereira, S/N
2560-913 Anadia"
"Bruno Reis","Avenida Pinto, 92
4642-369 Oliveira do Hospital"
"Joel Sousa-Lourenço","Praça de Morais, 354
6351-686 Moura"
"Gonçalo Coelho","Travessa Mendes, 357
9942-881 Miranda do Douro"
"Lorena Faria","Alameda Iara Nogueira, 909
1112-109 Ponte de Sor"
"Enzo Almeida","Travessa de Garcia, 277
3753-759 Abrantes"
"Luca Soares","Av Costa, 949
5935-834 Albufeira"
"Naiara Branco","Travessa Amaral, 7
3295-790 Abrantes"
"Letícia Valente","Alameda de Azevedo, S/N
7135-261 Bragança"
"Martim Leite-Morais","Alameda da Igreja, 48
2532-362 Amora"
"Lúcia Miranda","Rua Sá, 917
3611-429 Ílhavo"
"Luna Anjos-Marques","R. de Nun'Álvares Pereira, S/N
4200-340 São Mamede de Infesta"
"Mário Monteiro","Largo de Vieira, 412
1091-870 Alverca do Ribatejo"
"Rodrigo Jesus","Avenida de Francos, 86
1005-506 Fundão"
"Helena Jesus","Avenida Yasmin Lopes, 4
3476-504 Peniche"
"Tomás do Sá","Rua de Baptista, S/N
3475-298 Estarreja"
"Luca de Carvalho","R. de Monteiro, 602
9644-515 Loures"
"Madalena Campos","Av de Luís António Verney, 90
2887-812 Lisboa"
"Joaquim Leal-Moreira","Alameda de Batista, 581
8871-291 Esmoriz"
"Paulo Pinheiro","Avenida José Torres, S/N
3426-914 Vila do Conde"
"Alexandre Henriques","Rua de São Vicente de Paulo, 396
5578-640 São Mamede de Infesta"
"Cristiano de Ribeiro","Av do Pedregulho, 52
8206-421 Santana"
"Erica-Bruna Freitas","Rua de Alves, S/N
3581-923 Leiria"
"Beatriz Rocha","Praça Martim Magalhães, 69
6968-562 Ovar"
"Íris Martins","Av Azevedo, S/N
1309-340 Abrantes"
"David da Melo","R. Figueiredo, 24
7614-794 Praia da Vitória"
"Luca do Machado","Rua de Azevedo, 45
5695-008 Silves"
"José Barros","Largo do Campo da Bola, 87
8871-076 Viana do Castelo"
"Luís Pinto","Travessa de Leal, 7
7201-085 Moura"
"Fernando Lopes","Travessa Luís Ferreira, 29
2028-646 Sines"
"Caetana Oliveira","Avenida da Bouça, 72
7527-088 Barcelos"
"Naiara-Isabela Abreu","Av Luna Campos, 5
2635-261 Angra do Heroísmo"
"Gabriel Coelho-Mendes","Travessa de Nun'Álvares Pereira, S/N
2521-361 Ribeira Grande"
"Júlia Cruz","R. dos Aliados, 656
6808-349 Rio Tinto"
"Jorge Guerreiro","Avenida Beatriz Morais, 98
5755-315 Vila Nova de Santo André"
"César Rodrigues","Alameda Mário Maia, 463
9984-065 Valbom"
"Lucas Abreu","R. da Pasteleira, 32
1332-518 Gouveia"
"Emília Costa","Avenida de Ribeiro, 46
7123-937 Trofa"
"Isabela-Ariana Mendes","Rua Sebastião Simões, 548
5043-898 Rebordosa"
"Isaac Tavares","Avenida de Rodrigues, S/N
5669-643 Estarreja"
"Lorena Simões","R. Goelas de Pau, S/N
9450-968 Póvoa de Santa Iria"
"Afonso Costa-Valente","Alameda de Batista, S/N
7421-944 Trofa"
"Júlia Moura","Praça da Quinta do Guarda-Mor, 8
4623-056 Oliveira do Hospital"
"João Esteves","Praça do Forno Velho, 90
4826-301 Olhão"
"Renata Gonçalves","Alameda de Sá, 93
4353-445 Peniche"
"Mara Gaspar","Praça de Pinho, 64
1067-578 Amarante"
"Lucas Cunha","Avenida Costa, S/N
1059-943 Mealhada"
"Ema Loureiro","R. Figueiredo, 567
6431-111 Angra do Heroísmo"
"Dinis Pereira","Alameda Marcos Garcia, 82
2134-511 Peso da Régua"
"Clara Sousa","R. da Bouça, 142
5452-468 Vale de Cambra"
"Lia Azevedo-Pacheco","Rua da Carvalhosa, S/N
4169-523 Leiria"
"Tiago Marques","Largo Sara Moreira, S/N
1114-409 Silves"
"Amélia Cunha","Largo Amaral, 52
5296-892 Abrantes"
"Leonor Ferreira","R. Mota, 57
5696-962 Alverca do Ribatejo"
"Bárbara Moura","Avenida de Carvalho, 51
4553-313 Fiães"
"Emma Simões","Alameda de Miranda, 5
6754-301 Lourosa"
"Lucas Matias","Rua Micael Nogueira, 9
8711-318 Valongo"
"Rúben Vicente","Rua Neves, 17
5566-128 Odivelas"
"Jaime Oliveira","Largo Daniel Almeida, 4
8706-458 Estarreja"
"Tatiana Cunha","Av Neves, S/N
3110-465 Montijo"
"Catarina Sá-Simões","Avenida de Grijó, 37
5080-542 Fátima"
"Ivo Fernandes","Praça Joaquim Fernandes, 32
1336-342 Tavira"
"Mateus Anjos","Rua Pereira, 551
7632-939 Mealhada"
"Vítor Domingues","Praça do Leal, 349
1898-496 Amarante"
"Juliana Amaral","R. Paris (Poente), 169
1899-267 Funchal"
"Mara Branco","Avenida Lourenço, 298
6973-070 Penafiel"
"Lucas Miranda","Rua do Bom Sucesso, 345
5765-559 Lagoa"
"Flor da Mendes","Avenida de Soares, S/N
3509-911 Oliveira do Bairro"
"Pedro Castro","Largo João Magalhães, 892
2767-758 Amadora"
"Vera Barbosa","R. Maria Ramos, 48
4500-844 Bragança"
"Bruno Soares","Rua de Antunes, 7
8826-622 Bragança"
"Gaspar Pinheiro","Largo da Rainha D. Leonor, 31
8060-727 Santana"
"Mauro Andrade","Praça de Maceda, 66
7741-525 Guimarães"
"Ângelo Simões","Alameda de Pereira, 39
7043-768 São Salvador de Lordelo"
"Inês Marques","Rua Leal, 89
3623-768 Viana do Castelo"
"Carolina de Morais","Travessa de Garcia, 65
3392-954 Santiago do Cacém"
"Lucas Ribeiro","Alameda de Lourenço, 418
2805-841 Santa Cruz"
"Micael Coelho","Alameda de Fernandes, 1
6559-563 Pinhel"
"Leonardo Nogueira","Alameda do Calhau, 293
1283-581 Penafiel"
"Bryan Mendes","Avenida Pinto, 29
2220-702 Portalegre"
"Andreia Neves","Rua Matilde Paiva, 62
7181-198 Santarém"
"Alícia Assunção","Travessa do Chinquilho, 5
9319-516 Póvoa de Santa Iria"
"Larissa Brito","Praça de Mendes, 85
1154-295 Rio Tinto"
"Rúben Miranda","Largo de Azevedo, 3
6172-477 Loulé"
"Valentina Domingues","Praça Luís Matos, 42
4112-098 Ponta Delgada"
"Sara Marques","Praça do Cidral de Cima, 4
2769-889 Vendas Novas"
"Lucas Silva","Largo do Brasil (Porto), 1
6318-719 Vila Nova de Gaia"
"Valentim Castro","Rua de Mendes, S/N
3970-762 Alverca do Ribatejo"
"Matilde-Mara Vieira","Rua David Martins, 8
2090-377 Ribeira Grande"
"Filipe Miranda-Lopes","Avenida Marta Santos, 584
8728-161 Serpa"
"Irina Fonseca","Rua de Henriques, 6
9048-398 Marinha Grande"
"Eduarda Borges","Av de Faria, 63
9606-511 Lagos"
"Ema Costa","Largo Manuel Leal, 65
5502-321 Póvoa de Varzim"
"António do Gonçalves","R. Melissa Carneiro, 18
2227-034 Trofa"
"Rúben Valente","Alameda de Palma de Cima, 7
6322-571 Setúbal"
"Catarina-Eduarda Batista","Avenida Rocha, 94
3807-195 Marinha Grande"
"Lucas Sá","Alameda de Cunha, S/N
5576-779 Gandra"
"Ivo Miranda","Largo Luísa Amaral, 9
4443-821 Peniche"
"Alícia Araújo","Travessa Cruz, 72
6958-060 Loulé"
"Marta de Pinto","Largo de Monchique, 89
5790-878 Albufeira"
"Marta Fernandes","Av de Henriques, 59
4122-889 Peso da Régua"
"Fernando do Gaspar","Rua Guerreiro, 974
6351-537 Torres Novas"
"Miguel Vaz","Alameda de Pereira, 82
9390-304 Anadia"
"Renata Reis","Avenida Pinheiro, 50
7861-401 Cartaxo"
"Beatriz Anjos","Praça de Leal, 10
5731-691 Rio Tinto"
"Hugo de Anjos","Avenida Elisa Baptista de Sousa Pedroso, 35
5563-399 Rebordosa"
"Lucas do Nunes","Travessa de Mendes, 1
7904-787 Lisboa"
"Flor Neves","Largo Figueiredo, 8
4980-525 Ílhavo"
"Emma da Pinto","Alameda de Luís António Verney, 420
2705-441 Trancoso"
"Marco Moreira-Sousa","Largo de Pires, 28
5804-169 Cartaxo"
"Martim Garcia","Alameda Loureiro, 55
7205-529 Vila Nova de Santo André"
"Letícia Amorim","Rua de Leite, 90
2893-461 Angra do Heroísmo"
"Samuel Marques","Alameda Vitória Gomes, 93
4857-095 Ponta Delgada"
"Francisca Pires","Praça Leal, 39
1282-483 Gandra"
"Wilson Maia","R. Kyara Matias, 7
3528-474 Horta"
"Mia Moura","Rua Salomé Campos, S/N
7427-408 Peniche"
"Luciana Batista","Avenida Vicente, 4
8280-970 Vila do Conde"
"Matilde Tavares","Alameda de Oliveira, 8
2400-806 Coimbra"
"Lia Torres","Av Antunes, 88
4674-445 Ponte de Sor"
"Juliana da Henriques","Travessa da Rainha D. Leonor, 32
4562-454 Vila Nova de Foz Côa"
"Raquel Faria","Rua de Martins, 50
9966-357 Póvoa de Varzim"
"Débora Coelho","Rua de Barros, 94
8231-576 Portimão"
"Nádia Morais","Praça das Sereias, 40
6977-771 Ourém"
"Yara Fonseca","Avenida André Domingues, 94
7642-633 Aveiro"
"Jorge Soares","Rua de Valente, 47
8490-942 Beja"
"Luís Amaral","Av Vaz, 6
5511-337 Albufeira"
"Luciana Coelho","Largo Nunes, 86
2483-922 Póvoa de Varzim"
"Luna Mota","Alameda Ramos, 3
2499-530 Odivelas"
"Alexandre Barros","Av de Maria Pia, 80
4844-774 Santa Maria da Feira"
"Nádia Freitas","Praça do Bicalho, 7
1227-814 Oliveira do Hospital"
"Isabela Costa","Rua do Adro, 9
9926-174 Loulé"
"Emanuel de Araújo","Rua de Bernarda Ferreira Lacerda, 6
8221-107 Queluz"
"Filipe Pinheiro","Alameda Marta Andrade, S/N
8161-089 Serpa"
"Carlos Teixeira","Travessa Mateus Abreu, 18
4425-557 Caniço"
"Henrique Moreira","Largo Correia, 45
9671-177 Fafe"
"Gabriela Henriques","Avenida Diogo Mendes, 88
7098-602 Câmara de Lobos"
"Luciana Costa","R. de Lourenço, 18
3737-771 Seia"
"Xavier Barros","Largo Morais, 58
3100-852 Almada"
"Lara Silva","Av Moreira, 903
2461-753 Sacavém"
"Samuel Andrade","Travessa Laura Leal, 80
9039-565 Estremoz"
"Bryan Neves","Praça de Branco, 91
6282-360 Castelo Branco"
"Miriam Teixeira","R. de Loureiro, 78
5136-532 Vila Nova de Santo André"
"Mateus Araújo","Av Amélia Vieira, 282
7812-995 Caniço"
"Tatiana-Joana Gomes","Avenida Rocha, 88
6169-865 Oliveira de Azeméis"
"Gabriela Morais-Valente","Alameda Gonçalo Ramos, 14
2063-697 Aveiro"
"Violeta Paiva","Praça de Santo Estêvão, S/N
4472-576 Seixal"
"Luciana Domingues","Travessa Núria Fonseca, 8
5028-257 Angra do Heroísmo"
"Naiara da Martins","Largo Nicole Matias, S/N
6808-529 Estarreja"
"Petra da Melo","R. de Jesus, 403
7566-051 Vila Nova de Santo André"
"Leonor Antunes","Travessa de Barros, 951
9439-554 Amarante"
"Kévim Campos-Matias","R. Leandro Assunção, 27
3131-647 Ovar"
"Amélia Teixeira","Travessa António Cunha, 33
2158-797 Funchal"
"João Sousa","Avenida Margarida Moura, 96
6460-340 Gandra"
"Mauro da Azevedo","Av Tomé Tavares, 5
4136-782 Tarouca"
"Alexandra do Borges","R. de Monteiro, 63
9027-459 Vizela"
"Rita-Soraia Valente","Praça Fonseca, 83
8550-254 Costa da Caparica"
"Luciana Matos","Rua Clara Barros, 18
4517-729 Felgueiras"
"Gonçalo do Silva","Alameda Tavares, 36
3413-717 Rio Maior"
"Andreia Nascimento","Rua de Palma, 34
5622-066 Sacavém"
"José Tavares-Torres","R. de Paiva, S/N
8423-604 Santa Cruz"
"Pedro da Campos","Avenida Velho do Outeiro, S/N
5992-316 Santana"
"Cristiano Amaral","Rua de Monteiro, 35
8334-693 Amadora"
"Renato Borges","Praça do Dr. António Macedo, 47
1096-044 Santo Tirso"
"Mauro do Barbosa","Avenida Erika Miranda, 83
1133-498 Estremoz"
"Jorge Brito-Morais","Largo de Azevedo, 82
4184-151 Santiago do Cacém"
"Salomé Cruz","Praça de Gaspar, 619
3150-340 Pinhel"
"Luciana Miranda","Travessa de Pinto, 725
7242-450 Santa Cruz"
"Alícia Araújo","Avenida Lourenço, 52
7347-396 Loures"
"Vera Cardoso","Largo Artur Agostinho, 230
4245-106 Alcobaça"
"Sérgio Correia","R. Coelho, 70
1354-650 Almeirim"
"Matias Pinheiro","Rua Neto, 187
2002-096 Peso da Régua"
"Fábio Assunção","Praça do Chinquilho, 55
6181-331 Seixal"
"Artur Martins","Praça Duarte Fonseca, 45
6703-408 Évora"
"Catarina Neto","Alameda de Magalhães, 50
4078-281 Covilhã"
"Gabriela-Fabiana Carneiro","Travessa Visconde de Alvalade, 8
9985-530 Tarouca"
"Ivo Pinto","Travessa da Igreja, 9
8987-138 Praia da Vitória"
"Luciana Nascimento","Praça Brian Pinto, 47
9034-819 Ponte de Sor"
"Lia Teixeira","Alameda Faria, 333
5225-593 Ourém"
"Miguel Mendes","Alameda de Nascimento, S/N
5780-071 São Mamede de Infesta"
"Soraia Sousa-Guerreiro","Alameda de Rodrigues de Freitas, 621
9790-645 Castelo Branco"
"Wilson Pinheiro-Marques","Avenida Anjos, 80
5415-631 Angra do Heroísmo"
"Luís Sá","Avenida de Cardoso, 29
8477-822 Loures"
"Simão Carneiro","Av de Faria, 68
3871-066 Santa Cruz"
"Jaime da Silva","Travessa Manuel Pinto de Azevedo Júnior, 59
7436-082 Anadia"
"Cláudio Ribeiro","Av de Fonseca, 102
3914-697 Oliveira do Bairro"
"Raquel-Irina Gonçalves","Alameda Mota, 7
2484-360 Felgueiras"
"Luciana Reis","Avenida Cunha, 938
5893-150 Paços de Ferreira"
"Victória Fernandes","Rua de Simões, 466
9342-552 Estarreja"
"Valentina Vaz","Rua de Brito, 39
2755-231 Costa da Caparica"
"Cristiano Loureiro","Avenida das Comunidades Portuguesas, 2
8623-752 Freamunde"
"Ângela Vieira","Praça Íris Lourenço, 99
7299-967 Trofa"
"Gaspar Garcia","Avenida Moreira, 827
2063-974 Torres Novas"
"Luís da Nogueira","Largo da Quinta de Santo António, 15
8037-882 Angra do Heroísmo"
"Francisca Mendes-Guerreiro","Praça de Dom Fradique, 90
2074-696 Rio Maior"
"Frederico Coelho","R. de Ribeiro, 22
4137-028 Tondela"
"Iara Sousa","Rua de Costa, 245
2620-045 Fundão"
"Luciana Vieira","Avenida Baptista, 952
1502-197 Portimão"
"Raquel Guerreiro","Rua de Coelho, 46
3216-261 Paços de Ferreira"
"Afonso Matias","Praça da Boa Viagem, 60
6477-273 Rio Maior"
"Ângelo Castro","Av de Neto, 2
3231-190 Tavira"
"Joel Andrade","R. de José Serra, 301
8753-563 Miranda do Douro"
"Lúcia-Érica Borges","Av Álvaro Neto, 42
4105-229 Aveiro"
"Leandro Branco","Avenida das Congostas, 5
5362-556 Ermesinde"
"Tatiana-Francisca Valente","Av Soares, 184
2755-242 Peso da Régua"
"Tatiana da Alves","Alameda Costa, S/N
1345-089 Trofa"
"Noah Maia","Rua de São Lourenço, 335
7171-483 Bragança"
"Luciana de Azevedo","Avenida de Fernandes, S/N
4440-031 Barcelos"
