"Adam Bezák"	"Chorvátska 35
033 81 Oľšinkov" 
"Blanka Rišová"	"Búdkova cesta 10
919 58 Chminianske Jakubovany"
"Vladimíra Hudáčeková"	"Kremeľská 20
047 79 Nové Mesto nad Váhom"
"Mário Hanek"	"Dubová 9
006 09 Malý Horeš"
"Timea Maďaričová"	"Pernecká 2
952 61 Topoľčianky"
"Dorota Sklenáriková"	"Krížna 8
915 79 Štefanovce"
"Severín Boris"	"Ľadová 458
098 07 Cigeľ"
"Petra Káziková"	"Hrabový chodník 7
931 97 Držkovce"
"Melánia Mariánová"	"Zadunajská cesta 479
040 47 Giraltovce"
"Bernard Talpaš"	"Krupinská 14
936 88 Soboš"
"Lujza Kropiláková"	"Skoroceľová 86
800 95 Šišov"
"Melichar Bednárik"	"Jurská 10
979 83 Beňuš"
"Helena Šidlová"	"Rožňavská 73
867 67 Veličná"
"Mário Heretik"	"Švantnerova 7
004 02 Hrabušice"
"Leopolda Bobulová"	"Štefunkova 648
989 72 Veľké Hoste"
"Tomáš Klimáček"	"Janotova 36
978 67 Ihráč"
"Ernest Lukáč"	"Koreničova 323
037 08 Kočín - Lančár"
"Daniel Kocúrik"	"Dlhé diely II. 9
967 55 Sebedražie"
"Vladimíra Kozmonová"	"Šiesta 412
890 45 Chmeľov"
"Lesana Samuelová"	"Na piesku 515
820 04 Vozokany"
"Ferdinand Magál"	"Uhliská 61
968 25 Myjava"
"Olympia Mrázová"	"Einsteinova 8
074 92 Dlhoňa"
"Malvína Gregušová"	"Za sokolovňou 65
853 78 Proč"
"Mário Koza"	"Ambroseho 3
849 54 Temeš"
"Vít Ondrejka"	"Námestie Hraničiarov 268
906 55 Jalšové"
"Ľuboš Jančo"	"Hájová 615
061 43 Plechotice"
"Roman Vydarený"	"Hrobárska 7
041 09 Nová Ves"
"Daniel Achberger"	"Nitrianska 671
896 62 Šípkové"
"Miriama Chovanecová"	"Chemická 467
872 21 Ňagov"
"Romana Švehlová"	"Devätinová 1
062 34 Veľké Orvište"
"Kamila Markušová"	"Hrobárska 7
881 13 Rohov"
"MUDr. Bronislava Petrušková CSc."	"Podniková 6
816 90 Bajany"
"Kamil Tomaň"	"Kubániho 711
934 73 Cabaj - Čápor"
"Mário Martinec"	"Pod Vachmajstrom 761
894 11 Borová"
"Kornélia Samuelová"	"Mierová 1
919 51 Preseľany"
"Richard Chudík"	"Kazanská 7
855 12 Žilina"
"Alexander Riha"	"Vetvárska 7
987 60 Liptovský Hrádok"
"Simona Ondrášová"	"Košická 32
084 73 Nová Dedinka"
"Renáta Bartošíková"	"Brodná 1
802 26 Teriakovce"
"Boris Milota"	"Krížna 886
840 81 Ivanka pri Nitre"
"Laura Pavelková"	"Margarétková 2
837 55 Horná Potôň"
"Konštantín Valachovič"	"Plickova 779
085 06 Vyšné Remety"
"Štefan Konôpka"	"Vrakunská cesta 552
815 59 Krajné"
"Mário Tomko"	"Sumbalova 46
089 54 Východná"
"Roland Čapľa"	"Rosná 86
086 60 Veľká Čierna"
"Dorota Macková"	"Technická 349
019 06 České Brezovo"
"MUDr. Kazimír Bórik"	"Stepná cesta 96
833 10 Abrahámovce"
"Liana Jantošovičová"	"Na paši 2
027 99 Andovce"
"Frederik Mišík"	"Kapicova 7
940 96 Fačkov"
"Ľuboslava Vlnková"	"Varšavská 5
844 04 Ďurďové"
"Rozália Krížiková"	"Zidiny 9
983 89 Valča"
"Enna Ľuptáková"	"Závodníkova 742
941 06 Svinná"
"Július Bórik"	"Rubínová 10
833 12 Vyšné Remety"
"Mário Škriniar"	"Horská 7
093 43 Bíňovce"
"Alica Kozáková"	"Krížna 15
020 40 Ľubica"
"Nikola Jakubecová"	"Záhorácka 2
844 46 Čierna nad Tisou"
"Cyril Kozáček"	"Hlboká cesta 8
062 60 Neded"
"Martina Andrášiková"	"Námestie slobody 252
853 45 Nový Život"
"Radúz Tomáška"	"Sklabinská 926
091 73 Ľuboriečka"
"Bohuslav Dorka"	"Široká 29
854 57 Veľké Uherce"
"Blažena Krajčíová"	"Malokarpatské námest 31
887 76 Haniska"
"Benedikt Markovič"	"Košická 212
864 95 Polianka"
"Vladimíra Vajciková"	"Bystrická 569
056 80 Vlkovce"
"Móric Cibuľka"	"Amarelková 984
950 26 Vyšná Rybnica"
"Cyprián Moravčík"	"Bellova 2
803 74 Dolný Pial"
"Milena Fabianová"	"Hviezdoslavova 60
960 62 Seč"
"Timotej Mlynár CSc."	"Žabí majer 8
062 75 Kosihy nad Ipľom"
"Leopold Poliak"	"Veterná 566
005 32 Blatná na Ostrove"
"Félix Dudik"	"Prokofievova 7
942 74 Malá Hradná"
"Pavol Mráz"	"Sedlárska 4
933 32 Príkra"
"Iľja Vrabec"	"Vodné elektrárne 67
802 10 Kálnica"
"Boris Klimko"	"Komenského námestie 1
999 53 Tokajík"
"Ctibor Sokol"	"Československých par 9
818 17 Belín"
"Móric Hudáček"	"Majerská 828
964 23 Nána"
"Iris Švehlová"	"Súbežná 6
842 52 Meliata"
"Lucia Masáriková"	"Jókaiho 8
067 61 Žaškov"
"Petra Bernardová"	"Kovová 19
009 79 Slančík"
"Jozefína Chovanecová"	"Lenardova 884
916 77 Nová Bystrica"
"Timea Chalupková"	"Tekvicová 598
996 42 Výrava"
"Lucia Boríková"	"Šípková 91
875 46 Brieštie"
"Júlia Deáková"	"Rácova 839
091 98 Brieštie"
"Samuel Koc"	"Palisády 5
006 75 Šarišské Dravce"
"Barbara Mrazová"	"Sliezska 5
839 43 Choča"
"Móric Jedľovský"	"Fikusová 2
030 83 Dolný Vadičov"
"Milada Markošová"	"V záhradách 773
818 73 Plavecký Mikuláš"
"Uršuľa Dančiaková"	"Luhačovická 7
032 65 Dražkovce"
"Rastislav Melicherčík"	"Landauova 9
841 28 Dolné Zahorany"
"Bruno Bórik"	"Mlynské luhy 127
003 93 Jasenová"
"František Štefan"	"Žellova 29
918 71 Radzovce"
"Saskia Kubeková"	"Pod agátmi 413
025 23 Šarišské Jastrabie"
"Brigita Richardová"	"Podkorunská 845
043 96 Svidník"
"Servác Bašo"	"Zbrody 106
029 85 Slovenské Krivé"
"Alfonz Tomečko"	"Žilinská 724
890 52 Tisovec"
"Móric Kupa"	"Kosatcová 5
061 58 Brezina"
"Henrich Vlach"	"Lipnicová 43
026 39 Nemce"
"Jolana Hanuseková"	"Papraďová 3
873 19 Kožuchov"
"Mikuláš Macko"	"Orchideová 9
813 62 Ladmovce"
"Drahoslav Vajcik"	"Jakubovo námestie 85
966 67 Čukalovce"
"Sabína Uramová"	"Modranská 5
864 15 Dolný Vadičov"
"Estera Mácová"	"Pšeničná 2
965 87 Svätoplukovo"
"Kristína Vavrinecová"	"Sliačska 76
871 41 Vyšný Kazimír"
"Bc. Severín Rusnák"	"Koceľova 4
905 72 Horná Krupá"
"Vendelín Mach"	"Stálicová 60
875 53 Solčany"
"Móric Ondruška"	"Štefunkova 2
072 78 Voderady"
"Alica Marcinová"	"Vavilovova 5
047 99 Lúčina"
"Sandra Rosová"	"Mýtna 91
036 71 Huncovce"
"Bohuš Riha"	"Ulica Nad Válkom 7
836 50 Stará Lesná"
"Kamil Forgáč DSc."	"Vrútocká 445
009 22 Istebné"
"Peter Samuel DSc."	"Šrobárovo námestie 79
072 73 Šarišská Poruba"
"Matej Palka"	"Kudlákova 768
004 72 Tvrdošín"
"Tatiana Jurková"	"Horská 789
091 21 Padarovce"
"Gašpar Janček"	"Gemerská 259
019 77 Ipeľské Úľany"
"Romana Salajková"	"Hríbová 70
063 34 Cífer"
"Móric Šlahor"	"Šancová 2
976 55 Nižný Skálnik"
"Konštantín Ryška"	"Kutlíkova 829
020 53 Kostolec"
"Aurel Timka"	"Predstaničné námesti 14
980 99 Čierna"
"Ing. arch. Kornel Roháčik"	"Trhová 736
025 20 Okres Košice IV"
"Alan Tupý"	"Skoroceľová 803
823 70 Rožňava"
"Filip Obšut"	"Kollárovo námestie 67
066 52 Staškov"
"Rozália Pauliková"	"Palkovičova 66
815 13 Stanča"
"Ivona Maďaričová"	"Ulica 1. mája 3
060 09 Baškovce"
"Hilda Hušeková"	"Zavadilová 235
835 06 Porúbka"
"Vlasta Roháčeková"	"Levanduľová 4
040 77 Lovinobaňa"
"Nadežda Jakubeková"	"Mlynské luhy 4
975 08 Čoltovo"
"Maximilián Rusňak"	"Na lánoch 3
811 78 Ratkovce"
"Edita Debnárová"	"Drobného 12
993 18 Plaveč"
"Vít Paško"	"Ulica 29. augusta 6
973 97 Prituľany"
"Dávid Ihnačák"	"Segnáre 9
042 86 Bešeňov"
"Agnesa Plauchová"	"Daxnerovo námestie 14
081 73 Nesluša"
"Radovan Mináč"	"Boženy Němcovej 8
936 27 Dražice"
"Mikuláš Andrašík"	"Vyhnianska cesta 632
910 17 Beňuš"
"Ružena Sečová"	"Olbrachtova 42
046 60 Limbach"
"Oxana Gažová"	"Americké námestie 9
865 37 Cernina"
"Nadežda Jurková"	"Galbavého 88
017 38 Nižná Voľa"
"Katarína Bobulová"	"Irisová 475
849 05 Lubeník"
"Marika Martinovičová"	"Škovránčia 2
886 53 Veľká Franková"
"Pravoslav Mrázko"	"Hamuliakova 9
089 98 Veľké Úľany"
"Blahoslav Valachovič"	"Palisády 4
878 33 Krajná Poľana"
"Ľudomil Maco"	"Trebišovská 5
037 94 Poproč"
"Milica Ďurovskýová Ph.D."	"Šalviová 515
855 23 Buglovce"
"Pavol Kaliňák"	"Ventúrska 33
898 74 Malý Šariš"
"Áron Paľka"	"Pod Zečákom 29
045 05 Tekovský Hrádok"
"Arnold Macka"	"Bartókova 8
030 20 Čaklov"
"Nadežda Kaniaková"	"Nad Dunajom 663
855 86 Rimavské Janovce"
"Laura Zúbeková"	"Na pažiti 8
077 95 Závažná Poruba"
"Nathan Pavlovič"	"Škarniclova 973
814 08 Horný Pial"
"Belo Husťák"	"Hurbanovo námestie 278
081 85 Petrovce"
"Tichomír Rubík"	"Pekná vyhliadka 89
969 58 Socovce"
"Melánia Kolesárová"	"Široká 44
063 56 Záborské"
"Oskár Bosák"	"Panenská 549
078 79 Veľký Grob"
"Simona Janeková"	"Novohradská 35
981 83 Drahňov"
"Kazimír Paúk"	"Beskydská 91
003 36 Prosiek"
"Oto Laco"	"Pankúchova 8
078 72 Opava"
"Nadežda Palúchová"	"Francisciho 862
073 37 Baďan"
"Bohumil Rus"	"Rumunská 9
088 41 Selce"
"Jonáš Hanus"	"Podunajská 896
995 61 Kazimír"
"Etela Kúsová"	"Dlhé diely II. 620
820 21 Oľšavica"
"Luna Ďureková"	"Rozálska 1
098 41 Stankovany"
"Lolita Tupá"	"Lesná 8
003 33 Honce"
"Stanislava Dušičková"	"Humenské námestie 38
073 25 Lieskovec"
"Ctibor Kazik"	"Závodníkova 1
945 05 Ladomirov"
"Alica Kušková"	"Beniakova 5
000 04 Rovinka"
"Melichar Finka"	"Na Kalvárii 2
886 72 Trstené pri Hornáde"
"Nataša Bartovičová"	"Vidlicová 73
842 91 Lakšárska Nová Ves"
"Maroš Masárik"	"Matúšova 2
001 19 Pača"
"Blahoslav Borko"	"Tretia 9
876 63 Pečenice"
"Melánia Dančiaková"	"Kaukazská 5
820 87 Horné Strháre"
"Regína Ďurišová"	"Ružinovská 106
942 22 Králiky"
"Mgr. Lesana Kozmonová"	"Stanekova 367
038 74 Podlužany"
"Ondrej Rybárik"	"Macharova 16
816 28 Bašovce"
"Eva Huštáková"	"Talichova 9
938 34 Šarišský Štiavnik"
"Viktor Jurek"	"Fazuľová 517
814 76 Kiarov"
"Konštantín Imrich"	"Marhuľová 56
842 48 Pobedim"
"Nataša Bednárová"	"Kostolná 21
005 77 Moldava nad Bodvou"
"Beáta Dobšinská"	"Bajkalská 201
020 53 Sklabinský Podzámok"
"Otília Bukovská"	"Karadžičova 2
869 72 Vyšný Žipov"
"Kornélia Kundová"	"Nábělkova 18
907 36 Horné Otrokovce"
"Dávid Dula"	"Plátenícka 3
010 64 Dobrohošť"
"Lesia Porubjaková"	"Na Baránku 5
938 84 Horné Saliby"
"Radovan Koppa"	"Robotnícka 37
034 98 Bohunice"
"Iveta Bašková"	"Ulica Leopoldov maje 1
090 13 Veľký Čepčín"
"Rudolf Andrášik"	"Kapicova 3
033 96 Malá Lehota"
"Daniel Štefanka"	"Čapajevova 873
961 24 Timoradza"
"Nataša Devečková"	"Júnová 5
883 92 Rudňany"
"Alojz Tupý"	"Chotárna 78
853 47 Podkylava"
"Elvíra Valíčeková"	"Tešedíkova 3
852 33 Stakčín"
"Boris Kobielsky"	"Opletalova 3
803 73 Štiavnička"
"Zlatica Drajnová"	"Borekova 90
812 05 Trstín"
"Alana Hlaváčová"	"Doležalova 6
009 79 Hažlín"
"Dobroslava Marcinová"	"Malinová 707
892 90 Košariská"
"Sláva Gažová"	"Drevená 5
063 20 Úľany nad Žitavou"
"Tadeáš Veterník"	"Kvetinárska 93
074 61 Renčišov"
"Dobroslava Poliaková"	"Michalská 415
966 95 Lubeník"
"Nataša Huttová"	"Bakošova 779
983 53 Biely Kostol"
"Miloslav Kollár"	"Lermontovova 723
810 13 Podkylava"
"Jarolím Junás"	"Jána Raka 157
075 42 Štôla"
"Slavomír Duško"	"Chmeľová 950
065 19 Rohožník"
"Lesana Marcinková"	"Povraznícka 385
996 83 Brunovce"
"Theodora Hilmerová"	"Boragová 64
054 15 Ptičie"
"Víťazoslav Paľúch"	"Marie Curie-Sklodows 611
004 69 Lipníky"
"Maximilián Šoltýs"	"Čremchová 656
001 27 Kurimka"
"Tobiáš Nota"	"Červeňova 965
938 72 Boľ"
"Kazimír Sklenička"	"Vavrínova 3
068 23 Mútne"
"Nataša Kerová"	"Gruzínska 8
015 59 Hrhov"
"Kvetoslav Selecký"	"Hálova 436
091 33 Fačkov"
"Enna Haneková"	"Kolárska 89
868 57 Barca"
"Martina Klepáčová"	"Tulipánová 63
027 39 Turčianska Štiavnička"
"Dobromila Húšeková"	"Priehradná 182
074 64 Miklušovce"
"Belo Husťák"	"Martinengova 37
080 75 Potok"
"Darina Bezáková"	"Uršulínska 6
997 29 Sládkovičovo"
"Bystrík Havranko"	"Na kopci 720
055 92 Pitelová"
"Alex Malíšek"	"Záveterná 794
894 80 Topoľníky"
"Aiko Pauliková"	"Cesta na Kamzík 8
993 61 Mikušovce"
"Nataša Kupová"	"Pri Struhe 559
981 79 Horná Lehota"
"Eleonóra Hilmerová"	"Varšavská 7
919 98 Boťany"
"Elena Krajíčeková"	"Buzalkova 71
049 20 Balog nad Ipľom"
"Izabela Kubková"	"Koziarka 6
042 70 Záborie"
"Žigmund Plavucha"	"Na skale 3
980 54 Kráľov Brod"
"Luna Capeková"	"Hlbinná 68
956 52 Ovčiarsko"
"Ernest Mác"	"Mikovíniho 4
964 22 Malý Slivník"
"Ondrej Hupka"	"Ondrejská 6
039 16 Vyšná Jablonka"
"Vincent Mác"	"Geologická 27
823 62 Trávnik"
"Marek Kaliňák"	"Toryská 7
038 87 Jarok"
"Nataša Mistríková"	"Schengenská 399
082 57 Tajná"
"Henrich Filc"	"Jurská 344
935 55 Lovča"
"Sláva Heretiková"	"Ožvoldíkova 26
976 00 Lúčky"
"Boris Dekýš"	"Adámiho 5
918 24 Okružná"
"Judita Adamová"	"Ilkovičova 3
045 54 Nová Sedlica"
"Hana Kučerová"	"Bukovinská 41
873 06 Sološnica"
"Arpád Blaha"	"Ušiakova 6
887 27 Zákopčie"
"Nathan Duška"	"Samova 8
048 19 Stebník"
"Linda Machnáčová"	"Medzilaborecká 7
896 40 Topoľčianky"
"Iľja Bukovský"	"Šulekova 6
020 13 Klieština"
"Nathan Fašiang"	"Albánska 3
000 78 Zalužice"
"Blahoslav Deák"	"Staré Grunty 450
934 50 Cabov"
"Jolana Klepáčová"	"Brežná 151
009 30 Jacovce"
"Erika Kozmonová"	"Račianska 8
900 77 Malý Slivník"
"Emília Bosáková"	"Longobardská 5
808 99 Veľký Slivník"
"Benedikt Vozar"	"Gercenova 46
038 09 Michalová"
"Adela Lepšíková"	"Desiata 528
055 99 Chrámec"
"Edita Cígerová"	"Rázusovo nábrežie 208
980 29 Stará Myjava"
"Ľubica Dzurjaninová"	"Pave Vukoviča 47
831 27 Ďačov"
"Jozef Tomaška"	"Kolárska 874
951 44 Horňa"
"Nathan Mikloš"	"Seberíniho 869
902 32 Budmerice"
"Roman Haňák"	"Tbiliská 671
844 74 Beša"
"Hilda Šimonovičová"	"Dolnokorunská 248
806 81 Medzibrod"
"Ernest Mamojka"	"Na výslní 1
890 15 Dedačov"
"Ľudovít Rojka"	"Ventúrska 387
076 74 Jaklovce"
"Bruno Fabián"	"Hodálova 76
857 38 Drienovo"
"Milada Očenášová"	"Veterná 527
933 12 Ondrašovce"
"Teodor Dvorský"	"Beckovská 34
940 06 Svätoplukovo"
"Florián Baško DiS."	"Kostlivého 978
966 90 Čabalovce"
"Svetozár Rýs"	"BzovIcka 67
996 00 Kobyly"
"Natália Bosáková"	"Levárska 51
864 84 Rakovo"
"Aurélia Marková"	"Morava 5
071 34 Zbyňov"
"Lívia Rusková"	"Jelenia 43
859 27 Ipeľské Predmostie"
"Adolf Labuda"	"Bučinová 245
083 41 Bardejov"
"Viliam Hanuska"	"Holíčska 534
964 85 Haniska"
"Agáta Jánová"	"Rudnícka 46
815 43 Hozelec"
"Mário Mrazko"	"Americká 6
999 43 Držkovce"
"Martina Zimková"	"Inovecká 97
963 97 Hviezdoslavov"
"Klára Hudáčeková"	"Štefana Králika 75
055 07 Nenince"
"Mário Dudek"	"Albrechtova 441
068 27 Turčianky"
"Natália Rojeková"	"Herlianska 2
811 09 Kľačno"
"Bartolomej Kostrec"	"Prievozská 768
084 08 Nižné Repaše"
"Božidara Chalupková"	"Pribinova 4
814 31 Laškovce"
"Denis Ondráš"	"Táborská 376
875 81 Jedľové Kostoľany"
"František Hoza"	"V záhradách 74
898 42 Podbranč"
"Bystrík Vojtko"	"Ožvoldíkova 33
884 98 Kamenná Poruba"
"Zoja Šuňavcová"	"Bodliaková 65
989 43 Oravský Podzámok"
"Lívia Tománeková"	"Súhvezdná 7
842 71 Makov"
"Nathan Solej"	"Niťová 59
993 84 Klieština"
"Oxana Podhradská"	"Račianske mýto 5
975 78 Blatnica"
"Natália Romančíková"	"Smrečianska 63
909 02 Veľký Lapáš"
"Matilda Palovová"	"Estónska 6
969 40 Vojčice"
"Darina Križanová"	"Lipová 2
843 84 Špania Dolina"
"Emanuel Jurek"	"Dobrovského 4
807 35 Smolinské"
"Ela Kyselová"	"Sienkiewiczova 74
090 83 Kečovo"
"Vladimír Ďuro"	"Komonicová 759
899 93 Sklabinský Podzámok"
"Alfréd Hušták"	"Litovská 58
987 37 Vavrinec"
"Soňa Mamojková"	"Vidlicová 422
813 40 Madunice"
"Radoslav Pišút"	"Čmelíkova 210
975 64 Michalová"
"Anton Boris"	"Krmanova 17
008 15 Lekárovce"
"Nikola Micháliková"	"Dlhé diely II. 50
987 94 Lovča"
"Rudolf Junás"	"Strmý vŕšok 6
039 17 Krajná Bystrá"
"Bohuslav Lojko"	"Topoľčianska 760
938 17 Drietoma"
"Ing. Veronika Bahnová Th.D."	"Vinohradnícka 741
026 31 Smolenice"
"Rozália Bernardová"	"Slepá 90
036 07 Nandraž"
"MUDr. Ludolf Višňovský"	"Bratislavská 669
807 58 Spišské Podhradie"
"Aurel Novák"	"Trajánova 6
970 22 Donovaly"
"Alexia Nálepková"	"Nad Sihoťou 8
956 43 Buková"
"Lesia Valachovičová"	"Cabanova 47
036 29 Bodiná"
"Miloš Adamec"	"Cádrova 2
993 10 Štefanová"
"Nikola Sameľová"	"Tehliarska 244
010 63 Maňa"
"Margaréta Hošťáková"	"Ladzianskeho 943
920 28 Vieska nad Žitavou"
"Bohumila Kenížová"	"Valachovej 993
059 63 Štvrtok na Ostrove"
"Irena Kaniaková"	"Ribayová 966
074 60 Abranovce"
"Henrieta Baranová"	"Dvojkrížna 301
880 91 Kráľová nad Váhom"
"Zlatko Bašo"	"Trnavská cesta 6
009 70 Kolbovce"
"Ferdinand Hanúsek"	"Kmeťovo námestie 64
056 42 Prietržka"
"Ľubica Tomášiková"	"Kalinčiakova 356
902 17 Zemplínske Jastrabie"
"Vanesa Hodžová"	"Galandova 513
008 16 Nový Ruskov"
"Aiko Mrazová"	"Tupého 5
984 21 Lomnička"
"Nikola Zúbriková Th.D."	"Hviezdoslavovo námes 757
002 33 Zlatá Baňa"
"Alojz Hanák"	"Limbová 243
985 35 Henckovce"
"Kamil Martin"	"Nad Dunajom 3
089 71 Tachty"
"Elena Starostová DiS."	"Iršajská 288
049 31 Nižný Orlík"
"Pravoslav Barok DiS."	"Tokajícka 15
022 07 Okres Košice II"
"Daniel Mojžiš"	"Hrabový chodník 5
943 14 Orechová Potôň"
"Boleslav Malachovský"	"Ovsištské námestie 873
956 26 Čalovec"
"Beňadik Haluška"	"Šustekova 37
059 14 Kaplna"
"Dobromila Lipová"	"Furdekova 625
858 53 Červeník"
"Zlatica Hrušková"	"Nitrianska 693
833 41 Streda nad Bodrogom"
"Nikola Čierniková"	"Na Slavíne 358
039 34 Horné Strháre"
"Jerguš Sklenica"	"Príjazdná 788
867 22 Kečovo"
"Dionýz Capka"	"Semilonská 509
093 26 Kaluža"
"Vlastimil Marko"	"Klincová 3
860 54 Ostrov"
"Bronislava Fašiangová"	"Likavská 75
067 45 Chrenovec - Brusno"
"Drahomíra Paľovová"	"Planét 82
998 28 Demänovská Dolina"
"Paulína Paľová"	"Ostredková 535
864 43 Hradište"
"Sláva Karulová"	"Gogoľova 794
894 24 Pača"
"Melichar Jakubček"	"Továrenská 7
058 98 Senné"
"Štefan Bórik"	"Ulica Imricha Karvaš 2
882 98 Lietavská Svinná - Babkov"
"Nikola Šulcová"	"Kašmírska 70
022 33 Hrčeľ"
"Richard Andrašík"	"Kláštorská 676
873 07 Krišľovce"
"Benedikt Ondrusek"	"Detvianska 86
805 14 Rešica"
"Jolana Skutecká"	"Lýcejná 362
828 48 Breznička"
"Igor Zima"	"Kadnárova 29
926 75 Bottovo"
"Matilda Michalicová"	"Námestie Andreja Hli 14
986 77 Záborské"
"Blanka Hanusová"	"Kulíškova 9
881 72 Horná Ves"
"Marek Holuby"	"Novosadná 109
821 14 Ľubá"
"Edita Lišková"	"Západná 5
971 53 Nedanovce"
"Lívia Samsonová"	"Šarišská 71
004 61 Okrúhle"
"Nina Bernoláková"	"Ladislava Batthyányh 860
979 86 Zlatno"
"Václav Rys Th.D."	"Na Revíne 54
850 15 Jakubov"
"Malvína Ďurovskýová"	"Royova 3
030 36 Richvald"
"Želmíra Vrablecová"	"Pri strelnici 40
847 07 Udiča"
"Klaudia Šimíková"	"Čečinová 90
802 90 Prašice"
"Liliana Sekerová"	"Fláviovská 90
010 27 Drženice"
"Stela Líšková"	"Komárovská 988
019 71 Krokava"
"Ľubor Čapka"	"Hlohová 31
869 29 Konská"
"Svätopluk Navara"	"Kazanská 38
057 10 Falkušovce"
"Sabína Mácková"	"Pri hrádzi 8
837 99 Kečkovce"
"Nina Slivková"	"Kraskova 3
075 60 Jablonov nad Turňou"
"Kamil Fabian"	"Milana Marečka 6
914 72 Malý Slavkov"
"Dávid Menšík"	"Struková 5
990 26 Veľký Meder"
"Vavrinec Gažo"	"Koperníkova 1
884 83 Pribeník"
"Slavomír Antal"	"Staničná 23
891 82 Petrova Ves"
"Alexej Kubek"	"Vajnorská 651
887 54 Jamník"
"Anabela Dávidová"	"Rozvodná 145
972 26 Hubová"
"Lesana Čierniková"	"Uránová 687
974 46 Motešice"
"Ľuboslav Pallo"	"Olejkárska 99
862 87 Hrabkov"
"Albert Vanek"	"Námestie Hraničiarov 938
083 37 Brutovce"
"Nora Devečková"	"Rovníková 446
884 87 Melčice - Lieskové"
"Vanda Grznárová"	"Sabinovská 16
854 36 Špania Dolina"
"Metod Špilár"	"Uzbecká 1
917 60 Kristy"
"Krištof Slivko"	"Vrbánska 17
033 97 Baška"
"Aleš Bielik"	"Andrusovova 2
802 48 Čajkov"
"pán Ondrej Strnisko"	"Furmintská 822
022 66 Livov"
"Linda Kúsová"	"Kollárova 74
827 89 Rumanová"
"Libor Repiský"	"Pri Starej Prachárni 261
034 38 Fekišovce"
"Iľja Kostka"	"Pri Habánskom mlyne 845
003 13 Malá Čierna"
"Ľuboš Mach"	"Keltská 705
919 16 Banská Belá"
"Nora Dánová"	"Námestie Biely kríž 13
079 74 Nezbudská Lúčka"
"Félix Pallo"	"Tobrucká 5
861 36 Boľkovce"
"Dominik Maďara"	"Kalištná 54
847 19 Štefanovce"
"Leopold Tomana"	"Hnilecká 9
906 20 Krivé"
"Klára Janošová"	"Trebišovská 7
825 34 Kostolec"
