"Achim Ababei"	"Intrarea Voinea
Sfantu Gheorghe, 845829" 
"Melina Ardelean"	"Intrarea Dora Diaconu
Babeni, 534783"
"Bogdana Eftimie"	"Soseaua Sinică Toma Nr. 41
Turnu Magurele, 871861"
"Florina Barbu"	"Soseaua Marin Nr. 71
Vlahita, 227745"
"Manole Ionescu"	"Soseaua Clarisa Stan
Peretu, 248643"
"Robertina Popescu"	"Intrarea Georgescu Nr. 55
Plosca, 505468"
"Tudorița Albu"	"Drumul Ardelean
Chitila, 356625"
"Coralia Ababei"	"Intrarea Stana Florea
Homocea, 251647"
"Vasile Popescu"	"Aleea Marin
Raducaneni, 869058"
"Martin Oprea"	"Strada Cristea Nr. 85
Ramnicu Sarat, 768337"
"Dalia Tudor"	"Strada Sabrina Dumitrescu Nr. 401 Bl. 81  Sc. 72 Ap. 907
Remetea, 654082"
"Melina Diaconu"	"Drumul Eufrosina Pop
Brasov, 205763"
"Răducu Mocanu"	"Aleea Georgescu Nr. 490 Bl. 19  Sc. 89 Ap. 474
Modelu, 417676"
"Teodosia Mazilescu"	"Aleea Aanei Nr. 912
Corabia, 773188"
"Beatrice Popescu"	"Intrarea Aurică Stancu Nr. 55
Pipera (Voluntari), 398278"
"Gheorghe Ene"	"Drumul Raluca Ioniță Nr. 22 Bl. 83  Sc. 56 Ap. 920
Bosanci, 845707"
"Sabina Cristea"	"Intrarea Ioniță Nr. 332 Bl. 49  Sc. 70 Ap. 791
Oravita, 887106"
"Zenovia Ababei"	"Bulevardul Marcheta Suciu
Craiova, 722792"
"Elisabeta Cristea"	"Soseaua Eugen Marin
Corabia, 304340"
"Zina Pop"	"Strada Stan
Mogosoaia, 433854"
"Lorena Popescu"	"Intrarea Marin Nr. 44
Roman, 648268"
"Melina Ene"	"Aleea Melania Mocanu
Moinesti, 331136"
"Zeno Mocanu"	"Aleea Cristea
Vicovu de Jos, 123890"
"Fabia Mocanu"	"Intrarea Mihail Stan Nr. 820
Cugir, 395803"
"Cantemir Dumitrescu"	"Bulevardul Nistor Nr. 26 Bl. 56  Sc. 94 Ap. 834
Tulcea, 653702"
"Dan Toma"	"Drumul Suciu
Orsova, 295073"
"Olivia Oprea"	"Intrarea Petronela Preda
Braila, 647186"
"Simion Dinu"	"Strada Eduard Ababei Nr. 752
Sangeorz-Bai, 316037"
"Frusina Eftimie"	"Intrarea Popescu Nr. 793
Urlati, 611877"
"Draga Popa"	"Strada Alina Dumitrescu
Fundeni, 570997"
"Eleonora Stănescu"	"Strada Salomea Nistor Nr. 892
Sighisoara, 640438"
"Melina Florea"	"Strada Tabacu Nr. 50
Pitesti, 182008"
"Cezar Nemeș"	"Intrarea Pop Nr. 779 Bl. 87  Sc. 37 Ap. 977
Oltenita, 842423"
"Codrin Aanei"	"Drumul Dumitrescu
Segarcea, 159538"
"Ariana Popa"	"Strada Mazilescu
Valea Mare (Babeni), 359192"
"Nicușor Stoica"	"Intrarea Dumitrescu Nr. 78 Bl. 83  Sc. 45 Ap. 630
Motatei, 634162"
"Ghenadie Oprea"	"Bulevardul Alin Albu
Vulcan, 125411"
"Albertina Mocanu"	"Aleea Stancu Nr. 29 Bl. 59  Sc. 11 Ap. 425
Giroc, 176784"
"Aleodor Stănescu"	"Soseaua Anuța Georgescu
Prejmer, 838394"
"Dumitra Voinea"	"Intrarea Dobre Nr. 548
Husi, 767662"
"Mitruț Cristea"	"Drumul Diaconescu Nr. 93
Pancota, 852951"
"Melina Nistor"	"Bulevardul Suciu
Sacele, 291346"
"Mirabela Suciu"	"Intrarea Georgescu Nr. 59 Bl. 21  Sc. 93 Ap. 566
Balan, 980322"
"Monica Nistor"	"Drumul Pușcașu
Sangeorz-Bai, 104952"
"Leonard Stoica"	"Strada Sandu Mazilescu Nr. 134 Bl. 51  Sc. 79 Ap. 431
Dej, 641126"
"Traian Nemeș"	"Strada Stan
Seini, 395963"
"Paraschiva Tudor"	"Bulevardul Oprea Nr. 17
Resita, 629462"
"Consuela Dochioiu"	"Soseaua Cristea Nr. 828
Toflea, 118575"
"Virginia Stan"	"Soseaua Ionescu Nr. 59
Beius, 668108"
"Sonia Ardelean"	"Bulevardul Traian Gheorghiu
Negresti, 915417"
"Romanița Ardelean"	"Bulevardul Albu Nr. 186
Insuratei, 656311"
"Mihaela Ababei"	"Soseaua Marin
Eforie Nord, 465227"
"Lioara Mocanu"	"Bulevardul Pop
Tunari, 393471"
"Nicușor Dochioiu"	"Soseaua Nistor
Modelu, 296362"
"Sofia Dobre"	"Intrarea Alice Popa Nr. 50
Lupeni, 579869"
"Gheorghe Stancu"	"Soseaua Manole Nr. 52 Bl. 84  Sc. 31 Ap. 660
Santana, 855216"
"Amza Dima"	"Intrarea Georgel Gheorghiu
Branesti, 925389"
"Achim Nemeș"	"Soseaua Aanei Nr. 771 Bl. 31  Sc. 54 Ap. 374
Breaza de Sus, 354099"
"Mihai Gheorghiu"	"Bulevardul Toma Nr. 17
Giurgiu, 872732"
"Smaranda Diaconu"	"Bulevardul Toma
Moldova Veche, 763468"
"Iridenta Manole"	"Strada Georgescu Nr. 31
Cluj-Napoca, 176630"
"Mihaela Gheorghiu"	"Strada Mocanu Nr. 888
Tudora, 556827"
"Veta Suciu"	"Drumul Mazilescu
Caracal, 398489"
"Zamfira Marin"	"Drumul Dimitrina Stoica
Curtea de Arges, 859511"
"Cosmina Stănescu"	"Intrarea Tomescu Nr. 589
Petrila, 566247"
"Robertina Mocanu"	"Intrarea Albu
Prejmer, 855613"
"Teofil Diaconescu"	"Bulevardul Gheorghiu Nr. 95
Jibou, 190397"
"Maia Preda"	"Soseaua Nae Ababei Nr. 86
Popesti-Leordeni, 251187"
"Stana Nistor"	"Drumul Dobre Nr. 64 Bl. 45  Sc. 42 Ap. 344
Savinesti (Poiana Teiului), 428108"
"Tatiana Stoica"	"Bulevardul Nistor Nr. 34 Bl. 41  Sc. 70 Ap. 680
Dabuleni, 351689"
"Frusina Mazilescu"	"Bulevardul Lică Barbu Nr. 56 Bl. 24  Sc. 68 Ap. 284
Pucioasa, 811841"
"Mihaela Manole"	"Drumul Cristea Nr. 96 Bl. 98  Sc. 42 Ap. 326
Techirghiol, 435794"
"Stana Mocanu"	"Bulevardul Casandra Dobre Nr. 136 Bl. 65  Sc. 55 Ap. 168
Sangeorgiu de Mures, 333996"
"Smaranda Dima"	"Strada Dobre Nr. 98 Bl. 62  Sc. 56 Ap. 571
Campulung, 626266"
"Severina Nistor"	"Soseaua Venera Dumitrescu Nr. 15
Botosani, 459671"
"Simion Dochioiu"	"Bulevardul Voinea
Branesti, 686755"
"Jeana Voinea"	"Soseaua Nistor
Otelu Rosu, 431033"
"Iasmina Pop"	"Drumul Remus Nistor
Focsani, 902264"
"Crenguța Ardelean"	"Strada Dumitrescu
Filiasi, 512712"
"Semenica Popa"	"Strada Ghenadie Marin
Marginea, 731376"
"Crina Stan"	"Intrarea Mina Mazilescu
Baile Borsa, 921542"
"Mihai Ababei"	"Soseaua Niță Nr. 15
Videle, 597055"
"Laura Voinea"	"Strada Diaconu Nr. 682
Mioveni, 201782"
"Codruța Diaconu"	"Bulevardul Stancu Nr. 95 Bl. 46  Sc. 14 Ap. 367
Buftea, 223876"
"Antonia Preda"	"Bulevardul Adriana Ababei Nr. 77
Iasi, 112487"
"Rebeca Manole"	"Bulevardul Niță
Iernut, 487689"
"Vladimir Dochioiu"	"Strada Ilie Diaconescu Nr. 213
Rasnov, 405616"
"Carina Ene"	"Aleea Mitruț Dumitrescu Nr. 52
Giarmata, 854768"
"Mihai Voinea"	"Strada Nistor Nr. 574
Comanesti, 771566"
"Adrian Manole"	"Soseaua Ene Nr. 14
Piatra-Neamt, 107974"
"Gianina Barbu"	"Aleea Iurie Stancu Nr. 143 Bl. 55  Sc. 66 Ap. 105
Rasinari, 711347"
"Mihai Dima"	"Bulevardul Sanda Nistor Nr. 53
Hunedoara, 182525"
"Gelu Dobre"	"Aleea Toma Nr. 929
Siria, 694639"
"Cosmin Dima"	"Intrarea Florea Nr. 96 Bl. 69  Sc. 25 Ap. 875
Fundeni, 218556"
"Heracleea Oprea"	"Strada Tomescu Nr. 691
Magurele, 507405"
"Lorelei Suciu"	"Aleea Niță
Roman, 224551"
"Domnica Nemeș"	"Strada Semenica Stoica
Floresti, 941925"
"Edmond Tomescu"	"Soseaua Adi Popa
Urziceni, 251145"
"Ștefania Ababei"	"Bulevardul Dobre Nr. 457 Bl. 83  Sc. 81 Ap. 687
Fagetel (Remetea), 824630"
"Florin Stănescu"	"Strada Florea
Lipova, 266732"
"Violeta Preda"	"Bulevardul Voinea Nr. 746 Bl. 90  Sc. 85 Ap. 839
Uricani, 447791"
"Mihai Niță"	"Soseaua Niță
Chitila, 529433"
"Ofelia Ionescu"	"Intrarea Dobre Nr. 199
Bistrita, 531641"
"Zenovia Eftimie"	"Drumul Alistar Nemeș Nr. 11
Vatra Dornei, 266470"
"Nidia Marin"	"Strada Gheorghiu Nr. 29 Bl. 76  Sc. 73 Ap. 505
Santana, 810073"
"Vera Dobre"	"Soseaua Ioniță Nr. 142 Bl. 66  Sc. 69 Ap. 962
Chisineu-Cris, 722137"
"Ovidiu Ene"	"Drumul Stancu Nr. 826
Drobeta-Turnu Severin, 738104"
"Consuela Tudor"	"Strada Nicu Barbu Nr. 37
Vladimirescu, 325184"
"Iuliu Toma"	"Intrarea Cristea
Targu Jiu, 763820"
"Stan Stancu"	"Intrarea Tabacu Nr. 210
Fagaras, 788631"
"Laura Ababei"	"Aleea Aanei Nr. 172
Corabia, 891786"
"Mihai Suciu"	"Strada Dorian Albu
Otopeni, 791212"
"Camil Popescu"	"Soseaua Dobre Nr. 70
Fieni, 492137"
"Erica Ene"	"Soseaua Ștefana Stănescu Nr. 12
Ianca, 838740"
"Isabela Ardelean"	"Intrarea Casandra Dobre
Cernavoda, 576424"
"Cristina Ene"	"Soseaua Janina Eftimie Nr. 596 Bl. 57  Sc. 95 Ap. 326
Videle, 540044"
"Jeana Mazilescu"	"Bulevardul Dumitrescu
Ramnicu Sarat, 713802"
"Casandra Dima"	"Soseaua Iancu Toma Nr. 46 Bl. 35  Sc. 38 Ap. 198
Odorheiu Secuiesc, 401578"
"Ivan Oprea"	"Strada Ababei Nr. 90 Bl. 92  Sc. 14 Ap. 638
Cluj-Napoca, 312806"
"Niculina Popa"	"Strada Gheorghiu Nr. 816
Odobesti, 185203"
"Erica Tomescu"	"Aleea Mădălin Pop
Nasaud, 964342"
"Mihail Gheorghiu"	"Aleea Tabacu
Gura Humorului, 219974"
"Alberta Toma"	"Aleea Preda
Fundeni, 272130"
"Laurian Gheorghiu"	"Soseaua Niță Nr. 58
Brad, 177790"
"Eufrosina Nistor"	"Bulevardul Toma
Pancota, 312331"
"Ciprian Georgescu"	"Strada Jenel Tudor Nr. 728 Bl. 69  Sc. 33 Ap. 661
Sacele, 188665"
"Iolanda Tudor"	"Aleea Tomescu
Buzau, 454970"
"Tudorița Tomescu"	"Drumul Marin
Piatra-Neamt, 180375"
"Pleșu Popa"	"Drumul Lucrețiu Dima
Turda, 434680"
"Raluca Stancu"	"Strada Paul Tabacu
Toflea, 974119"
"Ovidiu Stan"	"Intrarea Valter Albu Nr. 308 Bl. 93  Sc. 78 Ap. 729
Tomesti, 114107"
"Mihail Pușcașu"	"Strada Beniamin Tomescu Nr. 930
Cornetu, 721967"
"Anastasia Niță"	"Soseaua Tudor Nr. 48 Bl. 35  Sc. 79 Ap. 228
Tufesti, 852095"
"Ernest Tomescu"	"Drumul Preda Nr. 201
Lumina, 657506"
"Rada Toma"	"Intrarea Cristea Nr. 83 Bl. 67  Sc. 15 Ap. 876
Vatra Dornei, 880089"
"Norica Tudor"	"Aleea Dobre
Bals, 611919"
"Mugur Cristea"	"Soseaua Cristian Nistor Nr. 90 Bl. 17  Sc. 80 Ap. 313
Cornetu, 719668"
"Ionelia Nistor"	"Drumul Giorgiana Mazilescu
Strejnicu, 576245"
"Simina Marin"	"Strada Gianina Toma Nr. 95
Victoria, 389886"
"Haralambie Pop"	"Bulevardul Gheorghiu
Filiasi, 827880"
"Nechifor Florea"	"Intrarea Dinu Nr. 35 Bl. 40  Sc. 58 Ap. 609
Pantelimon, 248619"
"Mihail Stoica"	"Soseaua Dinu Nr. 536 Bl. 13  Sc. 47 Ap. 267
Sadova, 934441"
"Jan Oprea"	"Drumul Ene
Radauti, 139573"
"Narcis Dochioiu"	"Drumul Georgescu Nr. 83
Harsova, 293199"
"Adelina Eftimie"	"Soseaua Pușcașu Nr. 273
Oradea, 312671"
"Vanesa Eftimie"	"Aleea Doru Ardelean Nr. 347 Bl. 21  Sc. 67 Ap. 836
Petrila, 329788"
"Silviana Diaconu"	"Drumul Stănescu Nr. 991
Moreni, 214477"
"Dina Marin"	"Intrarea Marin Nr. 66
Homocea, 227454"
"Lucențiu Albu"	"Intrarea Cedrin Gheorghiu
Dumbravita, 246778"
"Romulus Toma"	"Drumul Nemeș Nr. 53
Salonta, 153911"
"Pavel Marin"	"Intrarea Ababei Nr. 65 Bl. 71  Sc. 62 Ap. 412
Amara, 181193"
"Mihail Suciu"	"Bulevardul Dobre Nr. 146
Giarmata, 135606"
"Elvira Nistor"	"Soseaua Tatiana Cristea Nr. 41 Bl. 40  Sc. 95 Ap. 303
Onesti, 803023"
"Horea Dochioiu"	"Intrarea Grațian Tabacu Nr. 48
Comanesti, 697812"
"Cornel Suciu"	"Intrarea Ababei Nr. 858 Bl. 51  Sc. 16 Ap. 280
Hateg, 162361"
"Aida Tomescu"	"Strada Nemeș Nr. 355 Bl. 75  Sc. 77 Ap. 391
Medgidia, 465058"
"Lucrețiu Popa"	"Aleea Suciu
Sibiu, 269859"
"Octaviana Diaconescu"	"Soseaua Dima Nr. 792 Bl. 62  Sc. 55 Ap. 267
Vicovu de Jos, 421976"
"Dafina Aanei"	"Strada Emanuel Nistor Nr. 83
Zalau, 218980"
"Floriana Mazilescu"	"Intrarea Popa
Satu Mare, 555512"
"Dumitrana Manole"	"Soseaua Ene Nr. 485
Straja, 366108"
"Mihnea Ardelean"	"Soseaua Axinte Ionescu
Topoloveni, 467238"
"Marta Mazilescu"	"Aleea Aanei Nr. 67
Fagetel (Remetea), 382813"
"Flora Niță"	"Soseaua Horia Georgescu Nr. 504 Bl. 82  Sc. 98 Ap. 291
Aiud, 869039"
"Norman Dochioiu"	"Soseaua Barbu
Sandominic, 446351"
"Cristobal Mazilescu"	"Aleea Preda
Sighetu Marmatiei, 158221"
"Dorian Nemeș"	"Soseaua Luana Florea Nr. 38
Braila, 460572"
"Fiona Eftimie"	"Drumul Dima
Otopeni, 894982"
"Augustin Toma"	"Intrarea Dobre
Iasi, 779554"
"Minodora Dima"	"Soseaua Rebeca Nemeș
Prejmer, 170363"
"Todor Florea"	"Drumul Popescu
Gilau, 528557"
"Mihnea Dinu"	"Drumul Diaconescu Nr. 96
Pipera (Voluntari), 918995"
"Steliana Nistor"	"Intrarea Despina Oprea Nr. 26 Bl. 92  Sc. 41 Ap. 895
Radauti, 854826"
"Lioara Tudor"	"Soseaua Dumitra Mocanu
Cisnadie, 522419"
"Minodora Stoica"	"Aleea Tudor
Oravita, 263474"
"Grațiela Dinu"	"Soseaua Dima Nr. 432 Bl. 71  Sc. 65 Ap. 430
Cristuru Secuiesc, 607729"
"Carla Gheorghiu"	"Aleea Dobre Nr. 15
Rodna, 174613"
"Nicoară Pop"	"Intrarea Stan Nr. 443 Bl. 29  Sc. 77 Ap. 767
Campia Turzii, 896943"
"Bernard Mazilescu"	"Aleea Dochioiu
Mogosoaia, 234015"
"Sofia Suciu"	"Aleea Cristea Nr. 36
Boldesti-Scaeni, 678879"
"Aurora Niță"	"Drumul Popa Nr. 419
Pipera (Voluntari), 928303"
"Mihnea Ene"	"Strada Ene Nr. 544 Bl. 65  Sc. 30 Ap. 746
Calarasi, 663302"
"Iasmina Stănescu"	"Strada Suciu Nr. 909
Afumati, 640972"
"Gheorghiță Voinea"	"Drumul Toma Nr. 25 Bl. 81  Sc. 27 Ap. 372
Onesti, 647771"
"Anișoara Diaconu"	"Aleea Diaconu
Iasi, 783799"
"Ducu Florea"	"Drumul Crina Florea Nr. 921 Bl. 28  Sc. 52 Ap. 603
Pascani, 730088"
"Ludmila Popescu"	"Bulevardul Geta Diaconu
Gugesti, 830521"
"Agata Popescu"	"Bulevardul Ilarion Georgescu Nr. 45 Bl. 17  Sc. 74 Ap. 560
Gura Humorului, 436527"
"Rozalia Mocanu"	"Drumul Rareș Preda Nr. 882 Bl. 50  Sc. 74 Ap. 855
Dorohoi, 792681"
"Delia Diaconescu"	"Aleea Tomescu
Sabaoani, 536085"
"Gheorghiță Aanei"	"Aleea Sânziana Ababei Nr. 82
Calarasi, 774975"
"Mihnea Florea"	"Aleea Leopoldina Preda Nr. 591
Petrosani, 881024"
"Octavia Ene"	"Aleea Grațiela Georgescu Nr. 12 Bl. 13  Sc. 85 Ap. 197
Modelu, 785004"
"Eftimie Eftimie"	"Soseaua Beniamin Eftimie
Toflea, 197170"
"Ica Mocanu"	"Intrarea Tudor
Valea Mare (Babeni), 960937"
"Dumitrana Tudor"	"Strada Norica Diaconescu
Amara, 491808"
"Dalia Georgescu"	"Bulevardul Florea
Strejnicu, 139845"
"Dochia Stancu"	"Bulevardul Mocanu Nr. 69 Bl. 22  Sc. 36 Ap. 414
Sinaia, 798673"
"Matei Pop"	"Strada Ludmila Florea Nr. 458 Bl. 49  Sc. 92 Ap. 160
Corabia, 801007"
"Georgia Suciu"	"Bulevardul Diaconu Nr. 65 Bl. 20  Sc. 56 Ap. 498
Sebes, 720900"
"Zenovia Nistor"	"Drumul Mazilescu Nr. 679
Peris, 889076"
"Mihnea Ioniță"	"Aleea Ionescu Nr. 293 Bl. 16  Sc. 83 Ap. 230
Giarmata, 961118"
"Cosmin Stănescu"	"Bulevardul Stoica
Sfantu Gheorghe, 228856"
"Cosmina Diaconu"	"Strada Speranța Niță
Bocsa, 823450"
"Gregorian Stan"	"Strada Ababei Nr. 120
Avrig, 416193"
"Daniel Dinu"	"Bulevardul Ioniță Nr. 875
Pogoanele, 814111"
"Octavia Dumitrescu"	"Drumul Stoica Nr. 111
Tudora, 279324"
"Bartolomeu Ionescu"	"Bulevardul Antonie Manole Nr. 294 Bl. 20  Sc. 95 Ap. 423
Toflea, 190884"
"Smaranda Albu"	"Drumul Toma Nr. 18 Bl. 98  Sc. 35 Ap. 303
Campulung, 918004"
"Ilarie Mocanu"	"Drumul Nistor
Borcea, 123316"
"Luciana Niță"	"Soseaua Zeno Niță
Sadova, 389545"
"Mihnea Manole"	"Intrarea Niță Nr. 67 Bl. 61  Sc. 75 Ap. 968
Barlad, 552591"
"Laura Pop"	"Intrarea Ladislau Ioniță Nr. 52 Bl. 16  Sc. 98 Ap. 231
Resita, 474437"
"Varvara Pușcașu"	"Strada Severina Stoica
Curtea de Arges, 192669"
"Virginia Tabacu"	"Aleea Catrinel Dumitrescu Nr. 361 Bl. 36  Sc. 18 Ap. 851
Greci, 196621"
"Antonia Nistor"	"Aleea Florea
Sabaoani, 717553"
"Lia Preda"	"Aleea Carmen Tudor Nr. 91
Bosanci, 118545"
"Ina Mazilescu"	"Aleea Stancu
Buzau, 965162"
"Adrian Ene"	"Bulevardul Oprea Nr. 838 Bl. 57  Sc. 86 Ap. 960
Cajvana, 889335"
"Didina Dinu"	"Bulevardul Tomescu Nr. 45
Carei, 512904"
"Dorian Albu"	"Soseaua Nistor Nr. 317
Raducaneni, 544978"
"Milena Nistor"	"Aleea Mocanu Nr. 902
Bistrita, 821728"
"Octavian Oprea"	"Intrarea Stancu Nr. 68 Bl. 10  Sc. 46 Ap. 752
Mihail Kogalniceanu, 840957"
"Izabela Ababei"	"Intrarea Voinea
Stei, 833401"
"Luana Ioniță"	"Bulevardul Eustațiu Ardelean Nr. 656 Bl. 58  Sc. 37 Ap. 876
Dragu-Brad, 688074"
"Catrinel Florea"	"Intrarea Nemeș Nr. 29 Bl. 66  Sc. 28 Ap. 488
Corabia, 370316"
"Raul Preda"	"Drumul Sergiu Dochioiu Nr. 57 Bl. 92  Sc. 40 Ap. 241
Dumbravita, 746809"
"Ernest Georgescu"	"Aleea Dima Nr. 96
Dabuleni, 943191"
"Venera Dochioiu"	"Bulevardul Stan
Salonta, 362536"
"Benone Stănescu"	"Drumul Albu Nr. 74 Bl. 89  Sc. 86 Ap. 766
Mizil, 271759"
"Francesca Cristea"	"Intrarea Stancu
Valea lui Mihai, 164087"
"Mina Aanei"	"Strada Pop Nr. 720 Bl. 11  Sc. 60 Ap. 202
Turnu Magurele, 869994"
"Șerban Dinu"	"Soseaua Aanei Nr. 19 Bl. 69  Sc. 11 Ap. 280
Toplita, 196051"
"Giorgiana Mocanu"	"Bulevardul Barbu Nr. 289
Giroc, 612340"
"Florina Albu"	"Bulevardul Ababei
Rodna, 235738"
"Livia Stancu"	"Intrarea Dumitrescu Nr. 11 Bl. 96  Sc. 87 Ap. 376
Toflea, 538287"
"Zeno Stoica"	"Intrarea Marin Nr. 495 Bl. 67  Sc. 91 Ap. 577
Lunca Cetatuii, 524058"
"Vicenția Nistor"	"Drumul Niță
Savinesti (Poiana Teiului), 311925"
"Bucur Voinea"	"Soseaua Pușcașu Nr. 275 Bl. 81  Sc. 80 Ap. 195
Vaslui, 826258"
"Marin Manole"	"Aleea Voinea
Pantelimon, 288891"
"Măriuca Cristea"	"Aleea Stancu Nr. 368 Bl. 86  Sc. 41 Ap. 165
Fieni, 835992"
"Mina Dochioiu"	"Intrarea Stan Nr. 306 Bl. 94  Sc. 21 Ap. 954
Negresti-Oas, 234730"
"Victoria Tudor"	"Drumul Preda Nr. 73 Bl. 15  Sc. 53 Ap. 652
Calan, 798667"
"Jean Stănescu"	"Soseaua Pompilia Pop Nr. 59 Bl. 84  Sc. 31 Ap. 311
Sangeorgiu de Mures, 429839"
"Valeriu Tabacu"	"Bulevardul Ilona Stan Nr. 675 Bl. 59  Sc. 63 Ap. 367
Constanta, 611620"
"Miron Barbu"	"Intrarea Cerasela Tabacu Nr. 70
Bolintin-Vale, 847615"
"Iulia Preda"	"Aleea Tabacu Nr. 489
Pucioasa, 110135"
"Octaviu Manole"	"Soseaua Aanei Nr. 944 Bl. 40  Sc. 80 Ap. 721
Simeria, 102868"
"Rebeca Diaconu"	"Strada Dobre Nr. 82
Aiud, 835650"
"Tatiana Ionescu"	"Soseaua Cristobal Oprea Nr. 40 Bl. 51  Sc. 40 Ap. 828
Lumina, 914947"
"Aura Barbu"	"Strada Aurelia Voinea
Sebes, 232161"
"Mina Dumitrescu"	"Strada Tomescu Nr. 18
Hunedoara, 760836"
"Sorin Nemeș"	"Soseaua Tiberia Stan
Negresti, 788884"
"Antonie Dumitrescu"	"Soseaua Nemeș
Motatei, 105586"
"Jeana Ioniță"	"Drumul Preda Nr. 84 Bl. 13  Sc. 57 Ap. 415
Beius, 688573"
"Cedrin Popescu"	"Drumul Voinea
Miercurea-Ciuc, 428913"
"Emilian Tabacu"	"Soseaua Eftimie Nr. 90
Ianca, 558740"
"Marinela Ionescu"	"Intrarea Toma
Victoria, 538634"
"Severin Stancu"	"Intrarea Mocanu
Blaj, 984488"
"Martin Dochioiu"	"Soseaua Ardelean Nr. 48 Bl. 10  Sc. 39 Ap. 447
Oravita, 120177"
"Florența Marin"	"Drumul Eftimie Nr. 719 Bl. 86  Sc. 10 Ap. 422
Amara, 930529"
"Minodora Ababei"	"Bulevardul Smaranda Toma Nr. 47
Vaslui, 981793"
"Teona Florea"	"Bulevardul Florea Nr. 845 Bl. 93  Sc. 36 Ap. 361
Moreni, 485412"
"Vicenția Georgescu"	"Aleea Speranța Florea Nr. 28 Bl. 23  Sc. 11 Ap. 976
Sabaoani, 514052"
"Matilda Nistor"	"Soseaua Pop
Barlad, 877347"
"Luiza Dima"	"Strada Flaviu Manole Nr. 33 Bl. 69  Sc. 47 Ap. 591
Codlea, 407645"
"Zaraza Suciu"	"Bulevardul Ene Nr. 52
Tomesti, 475790"
"Iulian Aanei"	"Drumul Eftimie Nr. 43
Arbore, 620131"
"Andreea Popa"	"Soseaua Dima Nr. 405 Bl. 30  Sc. 91 Ap. 456
Motru, 313824"
"Gicu Tomescu"	"Soseaua Tudor
Beius, 532509"
"Bebe Georgescu"	"Strada Dima Nr. 302 Bl. 70  Sc. 78 Ap. 818
Dej, 657121"
"Minodora Gheorghiu"	"Aleea Dima
Roseti, 747512"
"Cezar Voinea"	"Soseaua Caterina Toma
Ploiesti, 988227"
"Elena Gheorghiu"	"Drumul Tabacu Nr. 848
Slobozia, 925513"
"Livia Ene"	"Soseaua Tomescu
Campulung Moldovenesc, 521410"
"Stela Toma"	"Strada Aanei Nr. 576 Bl. 41  Sc. 24 Ap. 153
Baia Mare, 863933"
"Ecaterina Barbu"	"Intrarea Lavinia Pop
Petrosani, 851359"
"Miruna Nemeș"	"Drumul Nistor
Reghin, 299186"
"Olimpia Manole"	"Soseaua Daniela Georgescu Nr. 79 Bl. 37  Sc. 65 Ap. 793
Boldesti-Scaeni, 937881"
"Cosmin Georgescu"	"Aleea Ioniță Nr. 79
Pucioasa, 174329"
"Marga Mocanu"	"Aleea Eftimie Nr. 967 Bl. 91  Sc. 57 Ap. 852
Gheorgheni, 293606"
"Minodora Marin"	"Aleea Albu Nr. 31 Bl. 60  Sc. 34 Ap. 877
Cajvana, 791261"
"Georgel Ene"	"Drumul Ene Nr. 335 Bl. 70  Sc. 31 Ap. 841
Baia, 424235"
"Profira Georgescu"	"Intrarea Vera Ioniță Nr. 428 Bl. 63  Sc. 33 Ap. 412
Ineu, 713961"
"Marius Diaconu"	"Intrarea Mocanu
Busteni, 553198"
"Robert Toma"	"Drumul Agnos Preda
Cornetu, 491777"
"Domnica Georgescu"	"Aleea Ababei
Moldova Veche, 608000"
"Daiana Stancu"	"Drumul Nemeș Nr. 75 Bl. 33  Sc. 94 Ap. 998
Ineu, 964559"
"Jana Georgescu"	"Drumul Preda Nr. 73
Vatra Dornei, 458446"
"Letiția Ioniță"	"Strada Ababei Nr. 65 Bl. 94  Sc. 76 Ap. 764
Beclean, 320960"
"Alistar Stan"	"Drumul Sidonia Tudor Nr. 910 Bl. 23  Sc. 43 Ap. 747
Pogoanele, 278715"
"Mioara Dima"	"Aleea Cristea Nr. 590 Bl. 56  Sc. 67 Ap. 648
Medgidia, 578543"
"Codruța Popa"	"Strada Marin
Peretu, 545383"
"Eliza Florea"	"Intrarea Stan
Mizil, 622654"
"Pompiliu Stan"	"Bulevardul Dinu Nr. 36 Bl. 58  Sc. 89 Ap. 788
Pancota, 275820"
"Smaranda Dinu"	"Aleea Nistor Nr. 52
Sighetu Marmatiei, 252052"
"Zenovia Mocanu"	"Strada Casian Dochioiu Nr. 22
Rucar, 967511"
"Daciana Stancu"	"Aleea Florea Nr. 84 Bl. 95  Sc. 76 Ap. 542
Chitila, 571077"
"Emilia Ardelean"	"Bulevardul Anca Mazilescu Nr. 348
Mizil, 490313"
"Teodora Dobre"	"Intrarea Mazilescu Nr. 806
Tufesti, 582760"
"Irina Suciu"	"Strada Smaranda Voinea Nr. 544 Bl. 93  Sc. 35 Ap. 920
Beclean, 517124"
"Mioara Ionescu"	"Drumul Xenia Tudor
Teius, 123756"
"Cătălina Ababei"	"Soseaua Niță
Giarmata, 854771"
"Codruța Tudor"	"Bulevardul Nistor Nr. 411
Boldesti-Scaeni, 441533"
"Petre Ardelean"	"Soseaua Dumitrescu Nr. 755 Bl. 21  Sc. 52 Ap. 364
Ocna Mures, 328534"
"Stelian Ioniță"	"Soseaua Stancu Nr. 101 Bl. 28  Sc. 60 Ap. 193
Targu Mures, 325496"
"Cleopatra Albu"	"Strada Niță
Targu Secuiesc, 508785"
