"Ada Hamerla"	"pl. Świerczewskiego 98
76-081 Bielawa" 
"Angelika Dobrosz"	"ulica Reymonta 63
71-296 Inowrocław"
"Witold Kazior"	"ulica Sosnowa 63/28
88-862 Katowice"
"pan Franciszek Tomalak"	"al. Piaskowa 85/48
34-845 Luboń"
"Konrad Szarzec"	"pl. Rynek 23
18-892 Słupsk"
"Ida Stawczyk"	"al. Turystyczna 90/88
55-795 Wągrowiec"
"Marcelina Berus"	"pl. Wróblewskiego 58/49
37-587 Lubin"
"pan Kamil Sławik"	"ulica Tuwima 58
09-114 Piaseczno"
"Blanka Tryka"	"aleja Chopina 75
90-410 Wałcz"
"Olaf Butrym"	"pl. Kościuszki 67/58
35-757 Bielsko-Biała"
"pani Kalina Piaseczna"	"plac Krasickiego 22
01-960 Jastrzębie-Zdrój"
"Tomasz Sztuczka"	"ulica Brzechwy 688
99-021 Rumia"
"Jacek Linkiewicz"	"plac Matejki 429
87-537 Wałbrzych"
"Tadeusz Glica"	"ulica Szeroka 323
71-694 Chojnice"
"Stefan Święs"	"ul. Słowackiego 65/56
70-440 Tychy"
"Leon Sznura"	"al. Chopina 764
15-673 Gorzów Wielkopolski"
"Marcelina Byzdra"	"aleja Spacerowa 775
16-900 Chrzanów"
"pani Kamila Cabała"	"aleja Zakole 86/19
28-976 Starachowice"
"Tadeusz Jenek"	"al. Jaśminowa 845
98-832 Zamość"
"Anna Maria Walenciak"	"ul. Zaułek 92
82-734 Knurów"
"Inga Kościelak"	"pl. Szarych Szeregów 731
27-535 Zielona Góra"
"Stanisław Bona"	"ulica Bolesława Krzywoustego 35
21-520 Płońsk"
"pani Kornelia Miętka"	"ulica Kościuszki 008
80-064 Zduńska Wola"
"Borys Siergiej"	"aleja Koralowa 09
78-906 Kętrzyn"
"Olga Paściak"	"plac Sikorskiego 604
67-475 Oleśnica"
"Inga Kawulok"	"plac Bolesława Chrobrego 34
44-417 Skawina"
"Marcelina Hyjek"	"aleja Zamkowa 15
74-826 Warszawa"
"pan Olaf Kandziora"	"ul. Mazurska 45/41
37-047 Piotrków Trybunalski"
"Artur Prucnal"	"pl. Sucharskiego 875
97-955 Chojnice"
"Aleksander Pazik"	"ul. Andersa 81
45-643 Knurów"
"pan Kazimierz Maron"	"ulica Bukowa 189
38-388 Ostrów Wielkopolski"
"Cezary Jambor"	"ul. Sportowa 58/94
82-233 Rumia"
"pan Bartek Zięcik"	"al. Jana Sobieskiego 073
66-590 Ruda Śląska"
"Alan Arendarczyk"	"al. Skośna 878
31-390 Łowicz"
"Bartek Sobel"	"aleja Ściegiennego 230
86-422 Ostrołęka"
"Kamila Jakubiuk"	"aleja Sikorskiego 07
22-037 Wieluń"
"Marcelina Langier"	"ulica Mazowiecka 03
79-266 Wałbrzych"
"Jędrzej Dynak"	"pl. Kosynierów 33/77
99-916 Pruszcz Gdański"
"pani Dorota Łyczek"	"pl. Konopnickiej 144
83-322 Tarnów"
"pan Norbert Ślęczka"	"al. Paderewskiego 39
04-382 Świecie"
"Ida Młyńczyk"	"ul. Listopada 53
56-325 Ostrów Wielkopolski"
"Stefan Panuś"	"ul. Ptasia 203
52-034 Iława"
"Marika Nytko"	"pl. Tuwima 009
05-072 Brzeg"
"Tola Tyka"	"ul. Miła 53/09
72-464 Nowa Sól"
"Leon Putek"	"aleja Wolności 619
72-880 Biała Podlaska"
"Radosław Łokietek"	"pl. Stycznia 23/34
11-660 Nowy Sącz"
"Marcelina Mućka"	"ulica Kopernika 29
21-598 Polkowice"
"Sylwia Kruszona"	"al. Korfantego 666
89-314 Skawina"
"Leon Chomik"	"aleja Tartaczna 23/59
57-590 Wrocław"
"Marika Zimniak"	"pl. Prusa 767
70-403 Bytom"
"Olgierd Koral"	"plac Konstytucji 3 Maja 61
70-176 Kościerzyna"
"Bartek Kaszkowiak"	"ulica Spółdzielcza 82/58
43-519 Pruszcz Gdański"
"Albert Miechowicz"	"ulica Żeromskiego 18/86
49-454 Tarnowskie Góry"
"Stanisław Budzyń"	"aleja Popiełuszki 80/14
67-980 Bydgoszcz"
"Bartek Fronczek"	"plac Maczka 579
03-181 Świętochłowice"
"Agnieszka Ellwart"	"aleja Paderewskiego 10
56-231 Knurów"
"Marcelina Palej"	"aleja Wyspiańskiego 21
64-588 Stargard Szczeciński"
"Igor Żołna"	"ul. Korczaka 37
07-117 Czeladź"
"Tobiasz Tabiś"	"ulica Władysława Łokietka 26/17
09-536 Oława"
"pan Eryk Golon"	"ul. Sokola 77
08-663 Czerwionka-Leszczyny"
"Aniela Namysło"	"al. Żytnia 85/74
22-489 Piła"
"Stefan Wudarczyk"	"al. Łanowa 81/23
18-967 Lubin"
"Kamil Fraszczyk"	"plac Powstańców Śląskich 20/05
58-515 Toruń"
"Dorota Machul"	"ulica Działkowa 16/79
74-364 Czeladź"
"Janina Karpik"	"aleja Konarskiego 39
90-500 Sochaczew"
"Gabriel Siemieniec"	"pl. Bema 32
95-279 Jaworzno"
"Marcelina Pitala"	"aleja Andersa 497
70-047 Wejherowo"
"Natasza Nurek"	"aleja Sawickiej 51/24
86-652 Katowice"
"pan Tymoteusz Wydrych"	"pl. Rynek 13/14
88-574 Ostrów Wielkopolski"
"pan Borys Kolbusz"	"al. Storczykowa 01
50-224 Sosnowiec"
"pan Fabian Sądej"	"plac Świerczewskiego 07/88
11-638 Inowrocław"
"Maks Balik"	"pl. Bolesława Chrobrego 18
46-600 Dąbrowa Górnicza"
"Klara Czura"	"pl. Plater 502
43-006 Legionowo"
"Wiktor Kondej"	"ul. Broniewskiego 10/62
33-607 Gniezno"
"Melania Kik"	"aleja Jaśminowa 35
76-416 Sopot"
"Józef Warchał"	"aleja Fabryczna 44/81
04-303 Racibórz"
"Marcelina Sych"	"ul. Jesionowa 192
66-356 Szczecinek"
"Franciszek Tondera"	"ulica Władysława Łokietka 177
11-523 Zamość"
"Tola Posłuszna"	"aleja Piłsudskiego 31/28
86-455 Bielsk Podlaski"
"Mateusz Rodzeń"	"aleja Malczewskiego 81/65
13-152 Swarzędz"
"pani Nicole Kiełbowicz"	"pl. Sienkiewicza 26/41
59-714 Turek"
"Adrianna Przeklasa"	"pl. Czarnieckiego 390
53-387 Dębica"
"Jeremi Roszko"	"al. Agrestowa 42
82-671 Łaziska Górne"
"pan Jerzy Matraszek"	"ulica Północna 63/51
62-970 Kutno"
"Dorota Grab"	"ulica Fabryczna 71/16
56-972 Konin"
"Stanisław Baka"	"ul. Cmentarna 96
27-778 Konin"
"Marcelina Szymocha"	"aleja Rzeczna 752
24-472 Kędzierzyn-Koźle"
"Aniela Mędrala"	"ulica Sawickiej 28
29-341 Kluczbork"
"Kajetan Osipiuk"	"ul. Plater 98/47
10-906 Koło"
"Alan Kroczak"	"al. Słowicza 04
35-588 Zambrów"
"Jeremi Lampa"	"aleja Konarskiego 63/26
46-821 Goleniów"
"Marek Czuryło"	"ulica Towarowa 05
41-701 Jelenia Góra"
"pan Damian Politowicz"	"pl. Sikorskiego 31/84
25-512 Nowy Targ"
"Adrian Fornalik"	"aleja Szarych Szeregów 82/02
25-701 Środa Wielkopolska"
"Bartek Kmak"	"plac Wolności 779
90-583 Bytom"
"Kamil Zdobylak"	"al. Prosta 06
78-151 Jarosław"
"Marcelina Wabik"	"al. Ludowa 00/71
36-520 Środa Wielkopolska"
"Maciej Sulich"	"ul. Miłosza 889
43-204 Chrzanów"
"pan Hubert Józwik"	"ul. Wiślana 90/45
98-573 Czerwionka-Leszczyny"
"Krystyna Zioła"	"aleja Dobra 40
53-664 Warszawa"
"Jędrzej Hanas"	"ulica Tęczowa 71/96
30-657 Grudziądz"
"Sonia Krochmal"	"plac Staffa 54/35
63-074 Legionowo"
"Sylwia Bieszke"	"ul. Miła 52/48
47-249 Jasło"
"pan Dominik Pitek"	"pl. Bema 29
11-383 Tomaszów Mazowiecki"
"Aleksander Taranek"	"ul. Podmiejska 80
19-102 Katowice"
"Witold Bartoś"	"ul. Jagodowa 100
55-970 Bielsko-Biała"
"Marcin Abramczuk"	"pl. Andersa 00
39-058 Bartoszyce"
"Jacek Prejs"	"al. Wolności 33
99-235 Krotoszyn"
"Elżbieta Fronczek"	"pl. Prusa 26/86
36-121 Puławy"
"Ksawery Trybuś"	"plac Wyszyńskiego 08
84-995 Reda"
"Jędrzej Mętel"	"aleja Konwaliowa 84/33
07-980 Zduńska Wola"
"pani Nicole Madziar"	"ul. Wiślana 88
35-948 Kłodzko"
"Sandra Kandziora"	"ul. Ciasna 71
90-651 Łódź"
"pan Aleks Hanke"	"aleja Wilcza 18
76-751 Police"
"Artur Mizgała"	"aleja Miłosza 82/45
11-951 Żary"
"pani Angelika Drynda"	"aleja Miłosza 15
21-635 Gdańsk"
"Marcin Barszczak"	"pl. Skargi 00
47-973 Sanok"
"pani Eliza Drabczyk"	"ul. Kasprowicza 63/81
31-252 Kielce"
"Sara Łój"	"al. Kasprowicza 897
58-624 Biała Podlaska"
"Kajetan Janic"	"ul. Przemysłowa 95
22-366 Skierniewice"
"Melania Patalas"	"ul. Broniewskiego 49
07-911 Chrzanów"
"Sylwia Fijoł"	"aleja Lelewela 81
82-149 Legnica"
"Ksawery Solnica"	"pl. Nałkowskiej 57
42-366 Nowa Ruda"
"Maciej Bernatek"	"ul. Miłosza 25
70-907 Szczecinek"
"pan Marcel Młynarz"	"plac Lelewela 83
40-486 Nowy Targ"
"pan Daniel Pieszak"	"pl. Mieszka I 85
20-607 Biała Podlaska"
"Marcin Fiołka"	"ul. Gajowa 733
17-505 Kędzierzyn-Koźle"
"Sandra Fronczyk"	"aleja Pomorska 52
71-272 Wieluń"
"pani Roksana Naumiuk"	"ul. Krasińskiego 90/46
58-986 Tomaszów Mazowiecki"
"Julita Obarzanek"	"aleja Skośna 675
04-352 Sieradz"
"Roksana Domoń"	"ul. Armii Krajowej 26/05
33-367 Nowa Sól"
"Nicole Gierach"	"plac Jana Sobieskiego 02
83-847 Wałbrzych"
"pani Anna Maria Kurpanik"	"pl. Kasprowicza 89
27-961 Police"
"pani Olga Żelazo"	"pl. Kasprowicza 130
49-705 Mikołów"
"Dominik Rogal"	"plac Lelewela 277
44-996 Zgorzelec"
"Kornel Kupidura"	"plac Konarskiego 423
43-146 Czechowice-Dziedzice"
"Marcin Kopytko"	"ulica Traugutta 846
47-832 Bytom"
"Łukasz Wakuła"	"ul. Chopina 81
53-138 Toruń"
"pani Ada Klebba"	"aleja Staszica 72
85-674 Starachowice"
"Miłosz Nieścioruk"	"plac Popiełuszki 410
20-480 Kętrzyn"
"Tadeusz Sudak"	"pl. Sienkiewicza 926
83-569 Sosnowiec"
"Gabriel Drewicz"	"ul. Glówna 51
89-987 Nysa"
"Julianna Strzała"	"ul. Zaciszna 88/24
63-428 Bolesławiec"
"Ernest Pyć"	"ulica Robotnicza 271
09-388 Jastrzębie-Zdrój"
"Ernest Ziemak"	"pl. Kościuszki 99/91
19-434 Bełchatów"
"pani Marcelina Pawliszyn"	"aleja Matejki 96/61
89-152 Jaworzno"
"Marcin Maślankiewicz"	"ul. Fiołkowa 89/75
39-964 Malbork"
"Dagmara Karwot"	"plac Mieszka I 41
50-600 Rumia"
"Józef Jarczyk"	"aleja Kazimierza Wielkiego 424
82-575 Piekary Śląskie"
"Miłosz Neugebauer"	"al. Podleśna 11/59
69-046 Kościerzyna"
"Klara Świerad"	"al. Kreta 00/93
16-641 Ciechanów"
"Marianna Kuffel"	"ulica Broniewskiego 747
32-893 Białogard"
"Nikodem Ziółko"	"al. Mokra 25/57
76-233 Zduńska Wola"
"Maks Wiertel"	"ul. Kossaka 09/93
54-860 Siedlce"
"pan Jędrzej Kazimierczyk"	"plac Popiełuszki 09
57-294 Włocławek"
"Marcelina Dyja"	"aleja Pszenna 35/18
01-253 Żagań"
"Marcin Miszkurka"	"ulica Niepodległości 02
71-200 Mikołów"
"pan Maurycy Pioch"	"pl. Powstańców Śląskich 58/75
71-061 Żary"
"Oliwier Drewicz"	"aleja Śląska 12/36
07-043 Tychy"
"Fabian Kastelik"	"al. Długosza 45/09
66-351 Lubartów"
"Maurycy Martyn"	"al. Jana Pawła II 96
32-226 Radom"
"pan Ryszard Pacholak"	"ul. Kruczkowskiego 773
97-471 Olsztyn"
"pan Norbert Ciaś"	"aleja Szarych Szeregów 28/08
83-621 Biłgoraj"
"Tobiasz Woszczak"	"pl. Jadwigi 74/96
20-858 Legnica"
"Lidia Wiertel"	"pl. Matejki 84
62-510 Warszawa"
"Janina Byzdra"	"al. Agrestowa 029
98-550 Jastrzębie-Zdrój"
"Marek Bogusiewicz"	"plac Słowackiego 11/83
48-161 Mysłowice"
"Urszula Kosak"	"ulica Kossaka 412
93-154 Kołobrzeg"
"pan Konrad Kurcz"	"pl. Floriana 32
86-255 Warszawa"
"Krystian Warmuz"	"pl. Sucharskiego 68/11
87-573 Kielce"
"pan Damian Kierat"	"al. Skośna 158
94-923 Kołobrzeg"
"Oskar Piotrak"	"ul. Tylna 449
23-443 Konin"
"pan Franciszek Dubik"	"aleja Fredry 79/85
95-912 Wałbrzych"
"Anastazja Wojczuk"	"al. Krokusowa 282
60-405 Chorzów"
"Ida Szwiec"	"plac Tuwima 293
34-244 Lębork"
"Liwia Hrabia"	"ulica Środkowa 44
73-933 Wejherowo"
"Marek Drożdżal"	"aleja Torowa 852
24-282 Grodzisk Mazowiecki"
"pani Marika Orszulik"	"aleja Mazurska 59/23
86-679 Żywiec"
"Dominik Patrzałek"	"pl. Sucharskiego 094
67-927 Zgierz"
"pani Gaja Smoter"	"pl. Kraszewskiego 14/79
51-647 Katowice"
"Leonard Olas"	"pl. Reja 42
83-633 Tarnobrzeg"
"pani Sandra Jędrys"	"al. Osiedlowa 332
17-932 Chorzów"
"Ksawery Kurczak"	"aleja Kruczkowskiego 73
92-968 Piastów"
"Olga Potoczek"	"pl. Powstańców Śląskich 658
96-944 Sochaczew"
"Michał Matyjas"	"ul. Storczykowa 47
44-858 Kętrzyn"
"Kajetan Lepka"	"plac Powstańców Śląskich 964
12-936 Żory"
"Marek Drynda"	"al. Cyprysowa 24
37-027 Jarosław"
"Malwina Sapa"	"al. Broniewskiego 32/61
43-515 Tychy"
"Adrianna Piotrak"	"ul. Prusa 80
05-560 Ostrów Mazowiecka"
"pan Iwo Kociemba"	"al. Grottgera 05
11-677 Siedlce"
"Konstanty Draus"	"plac Staszica 699
01-596 Sosnowiec"
"pani Eliza Kabza"	"ul. Dworcowa 988
20-419 Wrocław"
"Eryk Wolańczyk"	"pl. Żeromskiego 503
10-825 Kościan"
"Radosław Wiesiołek"	"ulica Wyszyńskiego 28/81
67-777 Biała Podlaska"
"Andrzej Hermanowicz"	"ul. Morska 94/36
80-942 Żary"
"pani Anastazja Tokarek"	"ul. Żabia 24/66
10-604 Świdnik"
"Marek Grzywnowicz"	"pl. Asnyka 493
98-098 Koło"
"Jakub Nieradzik"	"pl. Długosza 87
25-511 Czechowice-Dziedzice"
"Ida Koniec"	"pl. Mieszka I 68/76
65-700 Lubartów"
"Adam Janoszek"	"al. Diamentowa 22/88
77-511 Szczecinek"
"Blanka Przewoźnik"	"aleja Matejki 58
44-490 Starogard Gdański"
"Karol Wosiak"	"plac Powstańców Śląskich 39
95-969 Słupsk"
"Bianka Maciocha"	"ul. Maja 76/91
96-130 Płońsk"
"Mariusz Gal"	"ulica Pogodna 60/09
88-214 Łomża"
"pan Artur Kabza"	"plac Rynek 216
62-469 Białystok"
"Józef Wojtoń"	"plac Kołłątaja 47/69
05-461 Krosno"
"Marek Kornek"	"ul. Jaskółcza 97/90
39-088 Kwidzyn"
"Robert Lorenz"	"plac Kosynierów 83
86-196 Zambrów"
"Mariusz Dytrych"	"pl. Władysława Jagiełły 99/84
32-949 Wałcz"
"Błażej Grymuza"	"ul. Morcinka 33
12-037 Białogard"
"Anita Witoń"	"ul. Wyspiańskiego 79
10-373 Czeladź"
"Mateusz Jarmużek"	"ulica Powstańców Śląskich 603
10-346 Toruń"
"Dominik Bujko"	"aleja Władysława Łokietka 691
60-882 Otwock"
"Ada Thiel"	"aleja Kasprowicza 963
44-822 Jastrzębie-Zdrój"
"Franciszek Smektała"	"ulica Floriana 11/08
40-549 Bydgoszcz"
"Elżbieta Tuzimek"	"aleja Kołłątaja 55
53-158 Rybnik"
"Marek Langier"	"al. Ściegiennego 81/63
53-936 Piastów"
"Nataniel Konrad"	"ulica Orzeszkowej 951
22-826 Tczew"
"Agnieszka Chorążewicz"	"aleja Sucharskiego 81
97-709 Tomaszów Mazowiecki"
"Natan Niesporek"	"pl. Norwida 576
37-593 Kraków"
"pani Monika Soroko"	"ul. Diamentowa 679
05-128 Wejherowo"
"pani Roksana Ochota"	"al. Traugutta 24
94-372 Gniezno"
"Marcel Fidos"	"ulica Krucza 52/48
01-549 Bielsk Podlaski"
"Roksana Szkoła"	"aleja Opolska 75/61
85-160 Piekary Śląskie"
"Daniel Kandora"	"aleja Strażacka 73
71-278 Będzin"
"Jerzy Powązka"	"plac Wyszyńskiego 199
80-772 Marki"
"Marek Pasich"	"aleja Górna 598
64-847 Oświęcim"
"pani Róża Gumieniak"	"ulica Głowackiego 42
96-844 Dąbrowa Górnicza"
"Nela Cyroń"	"al. Skłodowskiej-Curie 32
97-718 Ciechanów"
"pani Bianka Karkocha"	"plac Asnyka 01/17
44-400 Zielona Góra"
"Alex Rzeszutko"	"aleja Zakole 13/92
55-293 Mikołów"
"Hubert Mirgos"	"ulica Mieszka I 50/11
25-674 Łódź"
"Tadeusz Goj"	"plac Broniewskiego 200
26-078 Koło"
"pan Bruno Buś"	"plac Witosa 93
05-584 Szczecin"
"pan Fabian Duży"	"pl. Wyspiańskiego 15
04-356 Radom"
"Tymon Kazana"	"ul. Daszyńskiego 04
86-418 Olsztyn"
"Marek Prygiel"	"plac Partyzantów 70
27-640 Skarżysko-Kamienna"
"Adrianna Zubowicz"	"plac Staffa 662
18-545 Jasło"
"Elżbieta Celuch"	"al. Wrocławska 51/60
69-434 Żary"
"pani Kornelia Majzner"	"aleja Wolności 674
59-410 Tarnowskie Góry"
"Kajetan Prokopczuk"	"aleja Prosta 717
99-441 Lębork"
"Olaf Kłysz"	"al. Hallera 39
89-633 Kalisz"
"Nataniel Kijas"	"pl. Stycznia 464
37-655 Bydgoszcz"
"Marika Kuśka"	"plac Narutowicza 69/51
23-145 Rzeszów"
"Adrian Gołoś"	"plac Rejtana 823
41-396 Świecie"
"pani Ewelina Bełza"	"ul. Reja 58/76
26-674 Jelenia Góra"
"Marek Wojtach"	"plac Kraszewskiego 931
58-019 Piastów"
"Klara Marciniszyn"	"ul. Okulickiego 87
61-982 Piła"
"Radosław Sornat"	"pl. Sucharskiego 176
62-446 Tomaszów Mazowiecki"
"Albert Pyś"	"ul. Koralowa 62/80
45-756 Wołomin"
"Maks Milczarczyk"	"aleja Żeglarska 97
50-779 Lębork"
"pan Przemysław Kuba"	"pl. Batalionów Chłopskich 36/58
44-005 Tarnobrzeg"
"Ada Szczerbiak"	"pl. Korczaka 61
57-924 Gliwice"
"Jeremi Sacharczuk"	"ul. Gajowa 84/32
39-425 Myszków"
"Tomasz Członka"	"ulica Diamentowa 13
47-706 Luboń"
"Kaja Bodziony"	"plac Popiełuszki 10/75
80-064 Kłodzko"
"Marek Zapadka"	"aleja Mazowiecka 694
09-704 Koło"
"pan Tomasz Pronobis"	"aleja Pomorska 93/45
39-125 Dąbrowa Górnicza"
"Kazimierz Pawlaczek"	"ulica Korfantego 839
71-846 Nowy Sącz"
"pani Sylwia Bobel"	"plac Kopernika 63
40-719 Łomża"
"Aurelia Palonek"	"al. Waryńskiego 32/00
85-452 Świdnik"
"Wiktor Złotek"	"al. Lubelska 78
92-434 Jarocin"
"pani Sylwia Drobny"	"al. Popiełuszki 21
10-320 Kalisz"
"Nela Witkowicz"	"plac Broniewskiego 701
39-547 Ostrów Wielkopolski"
"pani Kaja Choina"	"pl. Andersa 97
29-153 Płock"
"Justyna Paździora"	"al. Piłsudskiego 13
15-833 Grudziądz"
"Marek Łokietek"	"aleja Boczna 857
15-632 Zabrze"
"Urszula Sakwa"	"aleja Wyzwolenia 623
31-306 Kraśnik"
"Igor Wacławiak"	"plac Wróblewskiego 42/84
96-796 Swarzędz"
"Aleks Stupak"	"aleja Tulipanowa 146
47-388 Zambrów"
"Bruno Lewko"	"aleja Norwida 59
54-108 Kluczbork"
"Kalina Broszkiewicz"	"plac Moniuszki 10/00
56-211 Mielec"
"Nataniel Wyrwał"	"aleja Batalionów Chłopskich 78
54-449 Marki"
"Gaja Palica"	"pl. Popiełuszki 72
73-707 Toruń"
"pan Szymon Nytko"	"plac Pułaskiego 80
06-101 Olkusz"
"pan Kazimierz Ludwisiak"	"pl. Kossaka 53
40-170 Zgorzelec"
"Marianna Babij"	"ul. Bankowa 67/94
98-265 Przemyśl"
"pani Apolonia Kosidło"	"ul. Mała 712
95-940 Pruszcz Gdański"
"Aurelia Sadlak"	"aleja Myśliwska 642
63-470 Chorzów"
"pan Gustaw Zemanek"	"al. Bukowa 598
13-167 Suwałki"
"pan Piotr Ceran"	"aleja Młyńska 59
33-373 Piekary Śląskie"
"Eryk Radziewicz"	"ul. Listopada 100
35-738 Piła"
"Olgierd Balas"	"aleja Daszyńskiego 95/89
75-704 Będzin"
"Maurycy Biernacik"	"plac Miłosza 244
50-710 Piaseczno"
"Kornelia Sus"	"ulica Malczewskiego 769
31-169 Świnoujście"
"Daniel Jeżyna"	"ulica Graniczna 35
71-867 Tarnobrzeg"
"Marianna Borysiuk"	"plac Kopernika 146
63-086 Chełm"
"pani Ewelina Młyńczak"	"plac Wieniawskiego 37
33-546 Grudziądz"
"pan Ryszard Skomra"	"pl. Powstańców 24
29-880 Sieradz"
"Andrzej Stein"	"plac Żeromskiego 49/92
26-357 Grudziądz"
"Adrianna Soliwoda"	"ulica Żabia 99/90
40-932 Sopot"
"pan Mateusz Pyrz"	"al. Bursztynowa 88/22
33-375 Mława"
"pani Eliza Hass"	"al. Kochanowskiego 45
38-908 Rzeszów"
"pani Olga Kawula"	"plac Makuszyńskiego 102
07-420 Leszno"
"Roksana Muniak"	"al. Armii Krajowej 86
85-254 Kwidzyn"
"pani Kornelia Łaskawiec"	"pl. Świerczewskiego 539
28-249 Jawor"
"Marianna Czerepak"	"ulica Traugutta 633
48-766 Sandomierz"
"Julita Kapuścik"	"aleja Batalionów Chłopskich 15
66-692 Ciechanów"
"Rafał Żołnierczyk"	"ul. Okulickiego 12
79-277 Kościan"
"pani Monika Sawko"	"aleja Plater 787
79-441 Nowa Ruda"
"Angelika Wiszowaty"	"pl. Solidarności 299
78-360 Dzierżoniów"
"Maciej Luks"	"ul. Wałowa 679
41-645 Szczecin"
"Agnieszka Kołton"	"plac Żwirki i Wigury 774
09-710 Otwock"
"Olaf Niewiara"	"plac Fredry 20/93
72-933 Kraków"
"Roksana Gonet"	"ulica Jana Pawła II 253
12-117 Bielsk Podlaski"
"Konrad Labudda"	"pl. Listopada 17/76
72-915 Żagań"
"Marianna Dreszer"	"plac Kazimierza Wielkiego 564
43-845 Września"
"pan Paweł Krefta"	"ul. Zaciszna 93
77-243 Mikołów"
"Damian Karłowicz"	"plac Floriana 227
37-216 Wyszków"
"Apolonia Ryguła"	"plac Drzymały 851
32-420 Brodnica"
"Malwina Mudlaff"	"plac Stefana Batorego 11/26
43-937 Szczytno"
"Marianna Smolec"	"plac Malczewskiego 07/47
07-277 Tczew"
"Gustaw Rduch"	"plac Popiełuszki 100
82-641 Kościerzyna"
"Borys Gietka"	"plac Jadwigi 80
16-569 Pruszcz Gdański"
"pan Maurycy Żołnierczyk"	"ul. Polna 390
89-965 Środa Wielkopolska"
"Eryk Matuszyk"	"pl. Hallera 56
17-013 Bielawa"
"Marianna Fura"	"al. Słowackiego 66
17-342 Wrocław"
"Dominik Bernard"	"ulica Floriana 53
05-724 Rumia"
"Kacper Stępka"	"ul. Solidarności 216
38-629 Skarżysko-Kamienna"
"pan Cezary Sarota"	"ul. Batalionów Chłopskich 294
11-598 Przemyśl"
"Aurelia Ceran"	"ulica Kochanowskiego 36/10
77-319 Ostrów Wielkopolski"
"Kacper Anders"	"ul. Szarych Szeregów 461
53-101 Kościan"
"Tobiasz Zmarzły"	"pl. Świerczewskiego 774
26-438 Radomsko"
"Dominik Buk"	"aleja Baczyńskiego 67/45
45-435 Wieluń"
"Tomasz Pośnik"	"plac Głowackiego 96/52
49-909 Puławy"
"pan Artur Kazimierczyk"	"ulica Rubinowa 86
99-446 Ostrów Wielkopolski"
"Marianna Garbacik"	"plac Piłsudskiego 30
12-130 Czechowice-Dziedzice"
"Maks Lepak"	"al. Bałtycka 44/96
76-184 Bielsko-Biała"
"Kaja Krzykała"	"pl. Wyspiańskiego 07/53
14-840 Jasło"
"Aleksander Grębowiec"	"pl. Mieszka I 454
21-686 Ełk"
"Jerzy Dyrek"	"al. Sybiraków 50
36-798 Lublin"
"pani Marianna Wawrzyczek"	"ulica Listopada 39/22
39-092 Olkusz"
"pani Malwina Subocz"	"pl. Rynek 764
09-803 Gdańsk"
"Sebastian Duc"	"plac Skargi 63
81-349 Dąbrowa Górnicza"
"Julianna Kurnik"	"ulica Baczyńskiego 51
54-487 Świdnica"
"Dominik Bandyk"	"ul. Orzechowa 31
48-281 Przemyśl"
"Marianna Jaszczur"	"pl. Bema 675
23-353 Świdnica"
"pani Melania Suszka"	"aleja Bema 55
12-872 Ostrowiec Świętokrzyski"
"Aurelia Bas"	"pl. Tysiąclecia 09/54
70-136 Mysłowice"
"pan Kamil Dybiec"	"al. Irysowa 31/68
80-379 Oleśnica"
"Kajetan Ochwat"	"aleja Słowackiego 235
27-035 Knurów"
"Angelika Rybus"	"ul. Rajska 58
45-283 Świnoujście"
"Ada Kokosza"	"pl. Wyspiańskiego 28/50
47-187 Dębica"
"Anita Misiuk"	"al. Rózana 30/44
94-303 Kluczbork"
"pan Miłosz Luks"	"ul. Wysoka 89
75-477 Dębica"
"Julita Sidorczuk"	"ulica Boczna 10
98-257 Inowrocław"
"Marianna Kurzac"	"pl. Kopernika 84/18
54-107 Nowy Dwór Mazowiecki"
"Andrzej Goliszek"	"plac Orzeszkowej 09/14
01-154 Przemyśl"
"Paweł Dumin"	"al. Witosa 36
75-539 Pabianice"
"Patryk Klyszcz"	"ul. Grzybowa 79/62
66-236 Kielce"
"Anna Maria Bobik"	"al. Środkowa 18
79-075 Nysa"
"Krystian Tecław"	"pl. Głowackiego 81
36-007 Łomża"
"Andrzej Dąbrowicz"	"plac Pułaskiego 46
26-760 Zielona Góra"
"Alex Chmielak"	"ulica Listopada 84/32
94-096 Kluczbork"
"pan Rafał Anioła"	"ulica Rataja 90/52
26-152 Giżycko"
"Maciej Kaczmar"	"aleja Kazimierza Wielkiego 00
95-300 Nowy Dwór Mazowiecki"
"Marianna Majzner"	"pl. Piłsudskiego 23/94
50-885 Ząbki"
"Kaja Panasiewicz"	"aleja Błękitna 26/71
08-518 Chojnice"
"pan Jędrzej Lelito"	"pl. Broniewskiego 769
52-380 Zamość"
"Patryk Labocha"	"ulica Chmielna 10
65-102 Mińsk Mazowiecki"
"Nicole Druszcz"	"plac Norwida 77
19-918 Zamość"
"Julianna Cyrek"	"ul. Rolna 85
83-900 Żywiec"
"Marika Bernard"	"ulica Borowa 50
31-564 Kalisz"
"pan Krystian Wietecha"	"pl. Słowicza 39/64
66-697 Opole"
"pani Dagmara Smagacz"	"ul. Jagiellońska 57
72-649 Kwidzyn"
"pan Jędrzej Pudełek"	"ul. Czereśniowa 26
87-974 Żary"
"Marianna Rembacz"	"aleja Konopnickiej 770
73-429 Żory"
"Szymon Rejmer"	"plac Traugutta 768
59-616 Płock"
"Ignacy Komander"	"pl. Rejtana 281
62-407 Gliwice"
