"A. Fehér Gábor","Kereszthidai utca 215.
H-1269 Dunakeszi" 
"Pintér Imrené","Mindszentkőrösi utca 12.
H-7695 Fürdőfa"
"Dr. Pintérné Fazekas Fanni","Tótnádasdi utca 77.
H-3352 Újmellékvára"
"Dr. Baloghné Horváth Dóra","Balatonhídi utca 166.
H-5024 Hódmezővásárhely"
"Papp Anita","Tatabányai utca 203.
H-6037 Eger"
"Nagy Róza Zsuzsanna","Székhalasi utca 216.
H-1776 Drávatapolcavár"
"Kovács Gáborné Balogh Anikó","Arany jános utca 119.
H-4164 Szolnok"
"Dr. Pásztor Péterné","Bajai utca 178.
H-9534 Bakonymártonvára"
"Dr. Tóth A. Gyula","Hídkövesdi út 156.
H-3244 Hetvenberény"
"A. Nagy Klára","József attila utca 58.
H-7678 Mosonhetvendevecser"
"Dr. Nagy M. Andrea","Bácsmártoni utca 189.
H-4934 Tótháza"
"Balázs Ottó Kálmán","Alsószéki utca 84.
H-6645 Némethetvenhida"
"Dr. Tóth Gergelyné Tóth Ilona","Orosztamásii utca 216.
H-2496 Mindszentvára"
"Horváthné Dr. Lakatos Katalin Nikolett","Békésmindszenti utca 201.
H-4440 Györgyfalva"
"Dr. Kovács B. Klára","Némettóti utca 94.
H-2421 Budapest"
"Biró Tóth János","Békési utca 100.
H-7946 Vác"
"Kovács Ilona","Miskolci utca 139.
H-1203 Hetvenfalu"
"Dr. Molnár Zsolt","Oroszmártoni utca 127.
H-3578 Pilisfürdőfa"
"Tamásné Molnár Mónika Éva","Tapolcanémetii utca 207.
H-3935 Kecskemét"
"Dr. Somogyi C. János","Belsőligeti utca 100.
H-1192 Bakonytótharaszti"
"Papp Béla","Szabadság utca 17.
H-1652 Szeged"
"Dr. Kerekes Gyulané","Fürdőberényi utca 29.
H-4147 Tótváros"
"Kiss J. László","Tótberényi út 168.
H-7180 Eger"
"Halász Anikó","József attila utca 93.
H-5427 Berény"
"Nagy Ágnes Andrea","Mosonmagyaróvári utca 249.
H-4350 Érd"
"Dr. Kovács Andrásné","Fürdőharasztii utca 113.
H-8531 Békéshídváros"
"Kovács Istvánné Oláh Viktória","Zalaegerszegi utca 166.
H-3967 Nyírhídvárad"
"Németh C. Imre","Hódmezővásárhelyi utca 75.
H-7441 Cegléd"
"Némethné Takács Krisztina","Kossuth utca 218.
H-1394 Mártonbánya"
"Dr. Tóthné Török Judit","Ady endre tér 41.
H-8410 Debrecen"
"Tóth Ilona Krisztina","Zalaegerszegi tér 131.
H-3031 Tiszamellékhalas"
"Dr. Nagy Gáborné","Ady endre utca 200.
H-3794 Fürdőfalu"
"Dr. Kis G. Dávid","Soproni utca 129.
H-8333 Székvárad"
"Takács Mária Márta","Arany jános utca 55.
H-5045 Mellékhida"
"Kovácsné Farkas Andrea","Hídkövesdi utca 113.
H-8507 Fürdőnémeti"
"Nagyné Dr. Nagy Anikó Edit","Kunfürdői utca 109.
H-3242 Nagykanizsa"
"Kovács Jakab András","József attila utca 155.
H-6672 Kereszthalas"
"Kiss Horváth Ilona","Pusztafürdői utca 97.
H-7152 Hátkövesd"
"J. Horváth Erzsébet","Salgótarjáni út 217.
H-5026 Nyíregyháza"
"Magyar Lászlóné","Zalaegerszegi utca 143.
H-8581 Nagykanizsa"
"Farkas A. István","Székvárosi utca 78.
H-3334 Nyírmindszentvég"
"Varga Gábor Bence","Tótbányai utca 166.
H-9008 Kecskemét"
"Szabó Imre Tibor","Petőfi utca 201.
H-5223 Borsodtamásiapáti"
"Kovács Imre László","Szegedi utca 70.
H-4313 Kaposvár"
"Dr. Nemes Róbert István","Nagykereszti utca 179.
H-1412 Székfa"
"Balogh Sándorné","Hetvenkövesdi utca 115.
H-8980 Hajdúgyörgybánya"
"Kovács Jenőné Szabó Krisztina","Arany jános tér 88.
H-8196 Hajdúszékkőrös"
"Pálné Prof. Dr. Szabó Edit","Pécsi utca 132.
H-6854 Dunakeszi"
"Fekete Csabané Vörös Ilona","Ligetnádasdi utca 14.
H-1428 Tapolcaháza"
"Dr. Fehér E. Mária","Dunaújvárosi utca 27.
H-4425 Györgynádasd"
"Kiss Istvánné","Mártonkőrösi utca 198.
H-1928 Borsodgyörgyfa"
"Dr. Varga Tóth Bianka","Budatapolcai utca 171.
H-3373 Pusztaszékfa"
"Dr. Molnár Zoltán","Petőfi utca 29.
H-9517 Fa"
"Tóthné Szabó Anett Dóra","Bajai utca 237.
H-6549 Debrecen"
"M. Nagy Lajos","Béke utca 80.
H-5747 Nagyfürdőváros"
"Balogh Kovács Vilmos","Dunaújvárosi körút 221.
H-2887 Békéscsaba"
"Kovács Judit Éva","Keresztnádasdi utca 36.
H-9258 Hajdúvára"
"Dr. J. Nemes Mária","Arany jános utca 34.
H-8094 Némethídháza"
"Dr. Kovács Irén Valéria","Tamásifai utca 94.
H-4656 Drávakőrös"
"Dr. Mezei Sándorné","Keresztvárai út 53.
H-4614 Cegléd"
"Dr. Nagy László Balázs","Miskolci utca 162.
H-8142 Györgyvég"
"Takács C. Júlia","Petőfi sándor utca 156.
H-1972 Nyíregyháza"
"Papp Simon Mária","Béke utca 149.
H-4459 Mátratapolcaháza"
"Orsós Józsefné Kovács Klára","Győri tér 33.
H-6528 Nagykanizsa"
"Szabó E. Márta","Székházai út 70.
H-9704 Kecskemét"
"Dr. Horváth Lászlóné","Bácskereszti utca 70.
H-3990 Györgyapáti"
"Kovács János Ferenc","Arany jános utca 63.
H-6744 Felsőmellékvárad"
"Gáspárné Dr. Halász Ágnes","Békéscsabai utca 97.
H-3342 Pécs"
"Molnárné Dr. Kiss Eszter","Törökmelléki út 207.
H-2587 Eger"
"Kovácsné Dr. Mészáros Gabriella","Mezőkereszti utca 240.
H-9922 Mindszentharaszti"
"Dr. Balogh Molnár Roland","Németkereszti utca 108.
H-8050 Tamásivár"
"Szabó Hanna","Szegedi utca 44.
H-5331 Érd"
"Dr. Nagy Sándorné","Székvégi út 230.
H-6930 Zalaegerszeg"
"Pál K. István","Ligetváradi utca 11.
H-1921 Baja"
"I. Jakab Tamás","Hídkövesdi utca 82.
H-9063 Budaváros"
"A. Tóth Ilona","Érdi utca 25.
H-7604 Veszprém"
"Kovács János","Nádasdi tér 208.
H-2304 Debrecen"
"Tamás Csabané Simon Andrea","Petőfi sándor utca 73.
H-6727 Györgybánya"
"Farkasné Dr. Juhász Katalin","Mártonvári utca 71.
H-7635 Váckeresztfalu"
"Kerekes Szabolcs László","Mindszentvárosi út 161.
H-3740 Tapolcanádasd"
"Dr. Orsós Máténé","Dunafürdői út 167.
H-9793 Tiszamártonháza"
"Bálintné Molnár Katalin","Györgyházai út 192.
H-4125 Dunamártonvár"
"Kovácsné Szabó Éva Anna","Arany jános körút 163.
H-3657 Keresztháza"
"Dr. Á. Tóth Mária","Békéscsabai utca 192.
H-7765 Székháza"
"Szücs Tibor","Bakonymindszenti tér 241.
H-5744 Fürdőváros"
"Bartané Major Rita","Soproni utca 182.
H-9648 Hídhida"
"Kovács K. Anna","Győri utca 56.
H-6012 Dunakeszi"
"Dr. Némethné Varga Kinga","Szegedi utca 203.
H-1511 Budapest"
"Mészáros Tamás Dániel","Székesfehérvári út 98.
H-7058 Békéscsaba"
"Balogh József","Érdi utca 225.
H-6207 Györgyvár"
"Dr. Németh László Lajos","Béke utca 2.
H-5646 Tamásibánya"
"Borbélyné Varga Ágnes","Székesfehérvári utca 92.
H-2064 Mártonharaszti"
"Molnárné Dr. Kovács Éva","Szolnoki utca 198.
H-8823 Nagykanizsa"
"Dr. Tóthné Kovács Ilona","Tamásifalui utca 154.
H-5746 Baja"
"Dr. Szabó Etelka","Váci utca 145.
H-7278 Győr"
"Farkas Terézia","Tatabányai út 163.
H-6035 Széknémeti"
"Kovács Katalin Éva","Arany jános utca 67.
H-3386 Mártonfa"
"Máté Horváth Erzsébet","Bajai utca 216.
H-3345 Hídháza"
"Lengyel Jolán Zsuzsanna","Váci utca 20.
H-4213 Kaposvár"
"Tóth Imrené","Újhídi utca 124.
H-3030 Bácshátdevecser"
"Dr. Tóthné Szilágyi Ibolya","Hetvenvárosi tér 29.
H-4077 Békésgyörgykőrös"
"Dr. Katona Viktória Ágnes","Dózsa györgy tér 196.
H-5423 Ózd"
"Juhászné Dr. Hajdu Melinda Márta","Hídvári utca 90.
H-6939 Kaposvár"
"Tóthné Kerekes Éva Henrietta","Mellékberényi utca 179.
H-5550 Ózd"
"Fülöp Varga Krisztián","Debreceni tér 110.
H-5397 Pécs"
"Tóth Horváth Magdolna","Nyírgyörgyi utca 12.
H-8706 Németfürdőbánya"
"Kovács László András","Szombathelyi utca 107.
H-7450 Sopron"
"Bogdán Istvánné Szabó Mária","Mindszentvárai út 32.
H-6508 Kecskemét"
"Virág D. Piroska","Tamásinémetii utca 52.
H-5176 Békéscsaba"
"Dr. Horváthné Kiss Katalin","Fürdőhidai utca 9.
H-3295 Melléknémeti"
"Dr. Farkas Tímea Henrietta","Arany jános út 249.
H-9447 Háthalas"
"Z. Farkas Márton","Váci utca 235.
H-2436 Győr"
"Dr. Balogh Erzsébet Katalin","Budapesti utca 83.
H-6399 Mártonhida"
"Dr. Varga Lajos","Rácszéki utca 42.
H-4490 Szolnok"
"Dr. E. Takács Szilvia","Fürdőkövesdi utca 237.
H-7249 Zalaegerszeg"
"Rácz L. János","Dózsa györgy utca 181.
H-9783 Kunhídharaszti"
"Kovács László Ervin","Pécsi utca 213.
H-4024 Pusztafürdőváros"
"Dr. Molnár Andrea Erika","Hídberényi út 163.
H-5770 Vác"
"Dr. Horváth M. Hanna","Debreceni utca 101.
H-1014 Hajdúfürdődevecser"
"Dr. Nagy Mihályné","Nagykanizsai utca 232.
H-3561 Mellékháza"
"Dr. Kiss Szabó Beáta","Hódmezővásárhelyi utca 39.
H-7148 Bakonyhátvárad"
"A. Fehér Béla","Egeri utca 226.
H-9779 Pécs"
"Dr. Somogyi Magdolna Zsófia","Budakereszti utca 207.
H-8814 Vác"
"A. Rácz Mónika","Érdi utca 43.
H-2989 Tapolcakövesd"
"Németh K. Nóra","Lajoskereszti utca 43.
H-7097 Vác"
"Dr. Kovács Istvánné Oláh Enikő","Hátharasztii utca 74.
H-8850 Györgyvég"
"Kovács Marianna Tünde","Egyházasháti utca 7.
H-5692 Szolnok"
"J. Fülöp Balázs","Fürdődevecseri utca 62.
H-5333 Borsodszékkőrös"
"Dr. Halász M. Rebeka","Békéscsabai út 9.
H-9763 Debrecen"
"Farkas Mészáros Péter","Békéstamásii utca 138.
H-2305 Budamindszentvárad"
"Kovács Juhász Pál","Nagytamásii utca 246.
H-8092 Mátrahídfa"
"Fazekas Lajosné Tóth Melinda","Fürdőnémetii tér 104.
H-7169 Mellékbánya"
"Nagy Erzsébet","Arany jános utca 12.
H-8681 Tiszamártonkövesd"
"Tóth Zsanett Eszter","Petőfi sándor utca 127.
H-9494 Budapest"
"Fehérné Szabó Eszter Gizella","Petőfi sándor tér 249.
H-9261 Érd"
"Dr. Török Kiss Viktória","Györgyharasztii utca 186.
H-3997 Eger"
"Kovács Martin","Miskolci utca 89.
H-7036 Györgyfalu"
"Oláh Gergő","Kistapolcai utca 49.
H-9073 Veszprém"
"B. Sipos Balázs","Ózdi utca 129.
H-3617 Lajoshetvenbánya"
"Dr. Tóthné Szabó Ágnes Nóra","Bányai tér 15.
H-6954 Vác"
"Rácz Istvánné Jakab Anna","Németii utca 234.
H-1208 Budapest"
"G. Takács Sándor","Ady endre tér 89.
H-9864 Székberény"
"Dr. Pintér József","Somogymelléki tér 2.
H-4402 Budatapolcavár"
"Dr. Szűcs Horváth József","Bakonyháti utca 144.
H-9832 Pilisfürdővára"
"Dr. Nagy B. Gábor","Kövesdi út 115.
H-2826 Hódmezővásárhely"
"Dr. Németh Árpád Viktor","Arany jános út 110.
H-8767 Szigetszentmiklós"
"Kovács Mihály József","Hídváradi utca 64.
H-3950 Szeged"
"Orsós J. Ákos","Fürdőkőrösi utca 128.
H-4589 Mártonapáti"
"Gál Veronika","Drávahetveni utca 93.
H-5295 Hídfalu"
"Ráczné Kovács Ibolya Réka","Hajdúmindszenti utca 148.
H-3765 Mindszentkőrös"
"Major János László","József attila utca 7.
H-4395 Miskolc"
"Vargané Kovács Judit","Kossuth út 66.
H-2742 Somogytamásiváros"
"Szabóné Dr. Nagy Erzsébet","Petőfi utca 159.
H-9561 Székfa"
"Dr. Varga Istvánné","Mindszentváradi utca 48.
H-5284 Mártonharaszti"
"Dr. László Bernadett Barbara","Háthalasi sétány 207.
H-8627 Ligetkövesd"
"Kerekesné Magyar Zsuzsanna Klára","Tótnémetii utca 248.
H-3190 Baja"
"Kovács Mária","Székberényi út 232.
H-1172 Fa"
"Dr. Balázs Győzőné Juhász Mária","Hátfalui utca 244.
H-7960 Borsodligetvár"
"Csonka Lászlóné Papp Veronika","Petőfi utca 130.
H-8797 Fürdőváros"
"Dr. Simon László Richárd","Hetvenfai utca 175.
H-8721 Kereszthalas"
"Dr. Juhász G. Zoltán","Béke út 156.
H-1652 Salgótarján"
"Kiss Imre Péter","Szegedi utca 208.
H-6394 Salgótarján"
"Nagy J. István","Széknádasdi utca 102.
H-4266 Hetvennádasd"
"Dr. Farkas Jánosné","Veszprémi utca 76.
H-6322 Nagyhídvárad"
"Molnár Gergő","Mosonmagyaróvári utca 108.
H-5588 Baja"
"Orsós Milánné Takács Ilona","József attila utca 86.
H-2723 Vár"
"Kovács Márton György","Tótvégi utca 166.
H-9553 Tiszatapolcaváros"
"Dr. Rácz Gáspár Irén","Petőfi utca 30.
H-4521 Ligetapáti"
"Lakatos T. Zoltán","Tamásikövesdi utca 45.
H-8824 Hídfalva"
"Dr. Illés Nagy Ákos","Kisfürdői utca 164.
H-9020 Szerbhátvárad"
"Vassné Varga Anna","Kossuth utca 111.
H-7848 Németmindszentkőrös"
"Farkas Hegedűs Ilona","Szabadság utca 183.
H-3294 Nyíregyháza"
"Biró B. Gyula","Tiszahídi utca 142.
H-3315 Mindszentharaszti"
"Balázs Zsuzsanna","Keresztvárosi utca 245.
H-4932 Tótvárad"
"Prof. Dr. Kovács Imre Zsolt","Balatonháti utca 162.
H-1167 Baja"
"H. Kiss Ferenc","József attila utca 109.
H-4845 Hetvenfalva"
"Kovács Máténé Fekete Ilona","Mindszentfai utca 120.
H-9684 Vácmindszentvára"
"Dr. Orosz Józsefné","Ady endre út 45.
H-7442 Ráctótfalva"
"Varga Dóra","Hátvégi utca 209.
H-9734 Győr"
"I. Pap József","József attila út 128.
H-2361 Székesfehérvár"
"Dr. Fazekas Viktor József","Dózsa györgy utca 55.
H-6326 Pécs"
"Tóth István","Nyéktapolcai utca 102.
H-8308 Szeged"
"Fülöp Fekete Nikolett","Kossuth utca 6.
H-4052 Hódmezővásárhely"
"Hajdu Varga Csaba","Magyartapolcai utca 76.
H-1238 Cegléd"
"Lakatos Erzsébet Szilvia","Zalaegerszegi utca 84.
H-4077 Szolnok"
"A. Kiss Erzsébet","Szolnoki utca 4.
H-1751 Tamásiharaszti"
"Kovács Pál","Bácsi utca 232.
H-1059 Pusztahídhalas"
"Dr. Jónás Zoltánné","Miskolci utca 53.
H-2076 Keresztkövesd"
"Dr. Horváth Ferenc Bálint","Budapesti utca 88.
H-8966 Hetvenhalas"
"Tóth I. Kitti","Somogymártoni tér 250.
H-8187 Magyargyörgyberény"
"Dr. J. Máté Csaba","Borsodmártoni utca 22.
H-9499 Szenttapolcabánya"
"Dr. Tóth Károlyné Kovács Anikó","Somogyfürdői utca 24.
H-4604 Szolnok"
"Dr. Nagy R. Márta","Hetvendevecseri utca 168.
H-8854 Keresztbánya"
"Molnár Lilla","Pilismelléki utca 157.
H-4661 Nagykanizsa"
"Horváth M. Valéria","Pilisgyörgyi utca 146.
H-6471 Dunabánya"
"Boros Brigitta","Törökmindszenti út 87.
H-1447 Felsőtótvár"
"Kovács Rozália Zsuzsanna","Győri utca 232.
H-8452 Székfa"
"Dr. Tóth Farkas Róbert","Kossuth utca 4.
H-7368 Hetvenhalas"
"Szabó Balogh Éva","Székvári tér 74.
H-5820 Szombathely"
"Kis Andrea Dóra","Petőfi sándor út 92.
H-1220 Székesfehérvár"
"Dr. Tóthné Balla Zsuzsanna","Arany jános út 124.
H-3792 Ráctapolcanádasd"
"K. Tóth István","Tótkőrösi utca 31.
H-9153 Györgyváros"
"Dr. Nagyné Kovács Mária","Arany jános utca 67.
H-7937 Mátraszékvárad"
"Horváth Sándorné Kovács Anikó","Balatongyörgyi út 186.
H-1482 Pécs"
"Horváth Anna Gizella","Bakonygyörgyi tér 168.
H-1408 Hetvenvárad"
"Nagyné Tóth Ilona","Kecskeméti utca 146.
H-8885 Pécs"
"Kovács Soós Gábor","Békésligeti utca 41.
H-1513 Budavárad"
"Kissné Kovács Klára","Ózdi utca 97.
H-7104 Szolnok"
"T. Molnár Csaba","Kossuth utca 203.
H-6598 Alsótapolcadevecser"
"Varga K. István","Nagykanizsai utca 67.
H-6978 Tamásiberény"
"Dr. Fodor Tamás Ádám","Kunmelléki utca 93.
H-9863 Kunkeresztapáti"
"Varga Bognár Mária","Arany jános utca 13.
H-5669 Cegléd"
"Kiss Kiss Milán","Miskolci út 139.
H-2320 Tapolcahalas"
"Dr. Horváth Kiss Éva","Petőfi sándor tér 93.
H-8834 Szeged"
"Varga Istvánné Takács Klára","Törökligeti utca 15.
H-1156 Veszprém"
"M. Horváth Antal","Fürdőharasztii utca 209.
H-1420 Nyékmindszentapáti"
"Kovács Szabó Anna","Béke út 179.
H-4481 Tamásiberény"
"Dr. Nagy Gábor Bálint","József attila utca 238.
H-7788 Ligetnádasd"
"Dr. Kiss Anita Tímea","Pilistapolcai tér 172.
H-4592 Sopron"
"Dr. Tóth Anett Gyöngyi","Mindszentfai tér 69.
H-3793 Hódmezővásárhely"
"K. Kovács Erzsébet","Melléknémetii utca 2.
H-8004 Mindszenthalas"
"Dr. Varga Péter Zoltán","Drávakereszti tér 7.
H-9169 Mindszentfalu"
"Dr. Molnár Zsuzsanna Zsuzsanna","József attila utca 101.
H-3193 Zalaegerszeg"
"Baloghné Farkas Erika","Székfalvai utca 94.
H-1878 Tótkövesd"
"Szabó Marianna Nikoletta","Ráci utca 131.
H-3520 Nagyligethalas"
"Dr. Sárközi G. Vince","Érdi utca 189.
H-8812 Sopron"
"Kovács Szabó Kitti","Szabadság tér 228.
H-4776 Hódmezővásárhely"
"Szabó Róbertné Balog Ildikó","Tiszafürdői út 238.
H-8194 Balatontamásibánya"
"Dr. Boros Csabané","Tamásidevecseri utca 132.
H-4758 Tatabánya"
"Dr. Horváth L. János","Ceglédi utca 81.
H-4712 Tótfalva"
"Deák Melinda Mária","Egeri utca 227.
H-8636 Belsőtapolcavárad"
"Nagy K. Erik","Budapesti utca 19.
H-8126 Hódmezővásárhely"
"Kiss J. Mihály","Kossuth utca 238.
H-5769 Bakonyháthalas"
"Major O. Judit","Ligetfai út 49.
H-4795 Fürdőkövesd"
"Dr. Takács Mária","Kisfürdői utca 98.
H-3359 Borsodtótvárad"
"Dr. Szilágyi Jánosné Bognár Noémi","Somogytapolcai utca 204.
H-2933 Hódmezővásárhely"
"Kovács Szabó Zsanett","Mellékfai utca 57.
H-4757 Keresztfa"
"Kis Zoltán István","Apátii utca 230.
H-4518 Salgótarján"
"Csonka Ilona Virág","Hódmezővásárhelyi utca 112.
H-1641 Pusztaszékapáti"
"Horváth M. Krisztina","Györgyharasztii utca 137.
H-4046 Piliskeresztháza"
"Farkasné Dr. Szabó Anett Lili","Szegedi utca 35.
H-8024 Pusztamellékháza"
"Barna Balázsné Nagy Erzsébet","Hódmezővásárhelyi utca 119.
H-7856 Dunakeszi"
"Dr. Horváth Major László","Borsodmindszenti tér 27.
H-4968 Érd"
"Szabóné Kiss Hajnalka Orsolya","Bakonyhídi út 229.
H-3078 Vár"
"Dr. Gulyás Csaba","Béke út 114.
H-6354 Borsodmártonkövesd"
"Kovács Balázs Norbert","Székvégi utca 164.
H-2769 Békéscsaba"
"Kovács Szilágyi Alexandra","Drávagyörgyi utca 66.
H-6617 Keresztnádasd"
"Fülöpné Dr. Gulyás Nikolett","Kossuth utca 66.
H-5137 Debrecen"
"Fazekas P. László","Béke út 90.
H-2696 Kecskemét"
"Dr. Molnár Ferenc Mátyás","Hídkőrösi utca 54.
H-3139 Hajdúgyörgyvég"
"Dudás Erik István","Keresztfalvai utca 37.
H-1475 Budahetvenvár"
"Dr. Tóthné Nagy Erika Erzsébet","Tótapátii utca 120.
H-4432 Györgyháza"
"Kerekesné Dr. Fazekas Mariann","Hátbányai tér 218.
H-4627 Hátbánya"
"Farkasné Balogh Katalin Katalin","Arany jános út 15.
H-2636 Hídkőrös"
"A. Varga Éva","Szabadság tér 7.
H-5681 Györgyvár"
"Dr. Horváthné Szilágyi Krisztina","Alsómindszenti utca 186.
H-9401 Szolnok"
"Kovács Szilárd","Szegedi utca 178.
H-7914 Kunkeresztfalu"
"Szabó Kerekes Lajos","Pécsi utca 29.
H-2916 Sopron"
"Dr. Nagy Rolandné","Mellékharasztii tér 164.
H-9661 Vác"
"C. Vincze László","Mellékkövesdi utca 80.
H-6017 Hódmezővásárhely"
"Dr. Mészáros Erzsébet Irén","Dózsa györgy út 235.
H-4270 Szolnok"
"Gulyásné Tóth Emese","Mezőmindszenti utca 98.
H-2761 Tapolcakövesd"
"Péter Imre Pál","Béke tér 247.
H-4287 Tótkövesd"
"Dr. Márton Ádámné","Felsőtapolcai utca 153.
H-2547 Mosontótnémeti"
"Dr. Orsósné Bálint Ildikó","Hídnémetii utca 87.
H-6478 Mátratapolcavárad"
"Horváth Jánosné Boros Anna","Ady endre utca 230.
H-4268 Felsőkeresztvárad"
"Kovács Sándorné","Zalaegerszegi utca 5.
H-6360 Mindszentvár"
"Kiss Dóra Erzsébet","Petőfi sándor utca 32.
H-4226 Borsodtapolcadevecser"
"Pap Máté","Szabadság út 117.
H-9123 Magyarligethida"
"Takács Nagy Erzsébet","Veszprémi út 132.
H-1181 Békéshídvára"
"Dr. Boros Nagy János","Béke utca 169.
H-5237 Mátragyörgyberény"
"Kovács K. Éva","Lajosfürdői utca 188.
H-1154 Mellékkövesd"
"Szalai Béla","Arany jános utca 244.
H-8320 Sopron"
"Dr. Nagy Magdolna Beáta","Mindszentváradi utca 87.
H-5244 Baja"
"Dr. Nagy Andorné","Ady endre utca 131.
H-6919 Vácmelléknémeti"
"Hajduné Nagy Erzsébet","Felsői utca 36.
H-9850 Tamásiharaszti"
"Kovács T. Roland","Zalaegerszegi utca 86.
H-1468 Békéshátvárad"
"Csonka Nagy Balázs","Oroszhídi tér 137.
H-8047 Hídvárad"
"Molnár A. Klára","Ady endre utca 126.
H-3547 Zalaegerszeg"
"Dr. Deákné Kovács Ilona","Keresztházai utca 84.
H-9288 Nyíregyháza"
"Farkasné Dr. Balogh Erzsébet","Somogymelléki utca 107.
H-4289 Alsókeresztfa"
"Dr. Virág Bencené","Töröktapolcai utca 200.
H-4406 Bácstapolcaberény"
"Dr. I. Fekete Anita","Mosonmagyaróvári utca 46.
H-6734 Pécs"
"Dr. Tóth Mária","Végi utca 103.
H-7019 Hátfalva"
"S. Szücs József","Falvai utca 177.
H-7272 Vác"
"Gálné Dr. Balogh Hajnalka","Kunhídi utca 36.
H-6757 Szigetszentmiklós"
"Kovács Tibor Miklós","Mellékvárosi utca 34.
H-6943 Szolnok"
"Prof. Dr. Kovácsné Jónás Ildikó","Hetvenfalvai utca 135.
H-7421 Tiszaligetvég"
"Mészárosné Dr. Nagy Judit","Tamásiapátii tér 102.
H-1032 Somogyszékháza"
"Kovács A. Ábel","Nagykanizsai utca 90.
H-4287 Györgyharaszti"
"G. Tóth Zsuzsanna","Tiszafürdői utca 115.
H-7673 Györgynémeti"
"Dr. Kovács Zoltánné Szabó Viktória","Debreceni utca 62.
H-7658 Nyíregyháza"
"Molnár György","Tóthidai utca 169.
H-5869 Nyírmellékhalas"
