"A. Antal András"|"Törökligeti utca 40.
H-1287 Szeged" 
"Farkas Hajdu Katalin"|"Győri tér 185.
H-6885 Nyékhetvenvára"
"Bakosné Kovács Melinda Beáta"|"Nyíregyházai tér 103.
H-4656 Töröktapolcakövesd"
"Vargané Dr. Nagy Ágnes"|"Kossuth utca 134.
H-9057 Németmindszentfalva"
"Deák I. Tamás"|"Széknádasdi tér 81.
H-8389 Szerbtamásikőrös"
"Takács Ildikó Nikolett"|"Kossuth utca 122.
H-3041 Szeged"
"Dr. E. Balogh Anikó"|"Székesfehérvári utca 188.
H-4458 Cegléd"
"Dr. Nagy Kiss Levente"|"Szabadság utca 2.
H-3610 Alsóhetvenberény"
"Kis Nándor Lajos"|"Soproni utca 78.
H-7817 Békéscsaba"
"Dr. J. Fekete Botond"|"Felsőtapolcai utca 84.
H-8034 Györgyhalas"
"Dr. Fodor Dávid"|"Arany jános utca 248.
H-3277 Szentmellékvárad"
"Nagyné Dr. Nagy Zsófia"|"Borsodhetveni utca 132.
H-5890 Pécs"
"Kiss E. Mihály"|"Pilisszéki út 154.
H-1811 Törökszékvárad"
"Dr. Orsós Vincze Attila"|"Hídapátii utca 30.
H-7861 Pécs"
"Tóthné Juhász Magdolna"|"Nyíregyházai utca 233.
H-8237 Hídnádasd"
"Dr. Kerekesné Fazekas Irén"|"Felsőhídi utca 77.
H-5530 Dunaújváros"
"L. Orsós Jenő"|"József attila utca 38.
H-1050 Tótháza"
"Papp M. János"|"Egeri utca 241.
H-4413 Mártonfalva"
"Kisné Pál Irén Kitti"|"Salgótarjáni utca 68.
H-5862 Szerbhídberény"
"Kissné Hegedüs Mária"|"Érdi utca 155.
H-7004 Vácapáti"
"Feketené Török Anna Katalin"|"József attila utca 143.
H-4277 Tapolcaharaszti"
"Varga I. Attila"|"Belsőmártoni utca 211.
H-7510 Oroszhetvenvárad"
"Hegedüs Bence"|"Dózsa györgy tér 77.
H-8174 Békéskereszthalas"
"Dr. Horváth Judit Anita"|"Mosontóti út 118.
H-2230 Mártonvég"
"Gáspár I. Viktória"|"Alsóháti utca 190.
H-3487 Keresztdevecser"
"Borbély Szabolcsné Mészáros Edit"|"Ráchídi utca 119.
H-9016 Keresztvég"
"Boros Julianna"|"Hídváradi út 50.
H-3985 Salgótarján"
"Budai L. Norbert"|"Budapesti utca 140.
H-1595 Ligetvár"
"Kiss A. László"|"Mellékvári utca 218.
H-1555 Magyartótváros"
"Farkas Lakatos Erika"|"Hetvenfalvai utca 213.
H-3526 Vác"
"Dr. G. Farkas Endre"|"Hajdúligeti utca 1.
H-8218 Hátvég"
"Dr. Kovács Kovács Anna"|"Tapolcavárosi utca 216.
H-9636 Hetvennádasd"
"Sipos Bernadett"|"Hetvenvárosi utca 47.
H-8385 Győr"
"Dr. Molnár Sándor"|"Fai utca 11.
H-9929 Pécs"
"Simon Novák Zsolt"|"Ady endre utca 45.
H-7635 Kereszthalas"
"Dr. Kovácsné Horváth Kinga"|"Bakonyháti utca 117.
H-5719 Györgyvég"
"Farkas Oláh Lajos"|"Ady endre utca 100.
H-3551 Mosontapolcakőrös"
"L. Varga Tibor"|"Váci út 178.
H-4618 Kecskemét"
"Kiss A. Ágnes"|"Béke utca 198.
H-6516 Orosztamásivára"
"Dr. Szabó R. Mónika"|"Petőfi utca 38.
H-9865 Hódmezővásárhely"
"Kovács Szabolcsné"|"Budapesti utca 105.
H-7158 Mosonhetvennémeti"
"Tamás Csilla"|"Tapolcavégi tér 216.
H-5783 Egyházastamásivár"
"Dr. Kiss Dorina Annamária"|"Somogytamásii utca 130.
H-4949 Tamásinádasd"
"A. Juhász Tamás"|"Tiszahídi utca 124.
H-7228 Tamásikőrös"
"Major Nagy Sándor"|"Bácsmelléki utca 146.
H-2160 Németgyörgyhalas"
"Dr. Horváth Z. Gergely"|"Ózdi utca 191.
H-1628 Békéscsaba"
"K. Molnár Noémi"|"Ceglédi utca 165.
H-6611 Keresztberény"
"Dr. A. Török Sándor"|"Szabadság utca 228.
H-8318 Székesfehérvár"
"Kiss András Sándor"|"Hetvendevecseri utca 125.
H-6929 Pécs"
"Pásztor Gabriella"|"Hídbányai utca 202.
H-9629 Felsőmártonnémeti"
"Gulyás E. Tímea"|"Váchídi utca 169.
H-7781 Törökmellékvár"
"Z. Horváth Norbert"|"Dózsa györgy utca 95.
H-8001 Mellékberény"
"Dr. Székelyné Szabó Viktória"|"Tiszatamásii tér 179.
H-8718 Nagyhetvenvára"
"Máténé Dr. Németh Zsuzsanna"|"Dózsa györgy utca 242.
H-4355 Veszprém"
"Dr. Bodnár Istvánné"|"Petőfi sándor utca 9.
H-9150 Vác"
"Dr. Tamás Zoltán"|"Hídvári utca 228.
H-8942 Magyarmellékváros"
"Horváthné Dr. Balogh Brigitta"|"Kaposvári tér 59.
H-7938 Melléknádasd"
"Somogyi Mária Erzsébet"|"Nyéktóti utca 52.
H-6389 Magyarmártonnádasd"
"Kiss Attila József"|"Belsőgyörgyi utca 88.
H-3815 Veszprém"
"Bálint Rácz Roland"|"Mosonmagyaróvári út 243.
H-4117 Békéscsaba"
"Farkasné Dr. Váradi Mária Gyöngyi"|"Miskolci út 111.
H-7020 Hátbánya"
"Horváth Márk Mihály"|"Keresztvégi utca 47.
H-5711 Tiszaháza"
"Dr. Horváth I. János"|"Szentmelléki tér 176.
H-6320 Mátrahetvenfalu"
"Hegedüs Ádám"|"Debreceni utca 106.
H-7924 Mindszenthalas"
"Balog Erika Alexandra"|"Soproni utca 76.
H-9137 Alsómártonfa"
"Dr. Szabó Ádámné Varga Gabriella"|"Belsőtapolcai utca 4.
H-9057 Nagymellékkőrös"
"Kovács Vivien"|"Hátkövesdi utca 246.
H-5006 Baja"
"Sipos M. Andrea"|"Tótharasztii utca 163.
H-8505 Pécs"
"Kiss Béla"|"Fürdődevecseri utca 223.
H-4589 Eger"
"Nagyné Dr. Takács Éva Teréz"|"Szolnoki utca 31.
H-4676 Ózd"
"Balázs Farkas Vivien"|"Fai utca 234.
H-2771 Pécs"
"Dr. F. Szabó Sándor"|"Salgótarjáni utca 138.
H-9807 Tamásivára"
"Horváth B. Adrienn"|"Tótváradi tér 167.
H-4923 Haraszti"
"Dr. R. Németh Ádám"|"Hetvenházai út 137.
H-6011 Veszprém"
"Rácz G. János"|"Bajai utca 98.
H-1295 Kungyörgyvár"
"Szabó Györgyné"|"Budapesti utca 241.
H-1018 Dunakeszi"
"Prof. Dr. Papp István"|"Fürdőharasztii tér 228.
H-3529 Nyíregyháza"
"Nagyné Prof. Dr. Papp Mária Katalin"|"Somogytamásii tér 128.
H-9056 Lajoshetvenhida"
"Kiss E. Rita"|"Dózsa györgy utca 85.
H-3795 Mellékvárad"
"Dr. Juhász Fodor Anett"|"Mellékapátii utca 160.
H-8630 Keresztvára"
"Orosz Balázsné Kovács Hanna"|"Várai utca 44.
H-5216 Hátnádasd"
"Dr. Horváth V. Gabriella"|"Székesfehérvári út 47.
H-9101 Kövesd"
"Dr. Török Anna Hanna"|"Hódmezővásárhelyi utca 233.
H-2031 Keresztfalva"
"Kissné Pataki Ágnes"|"Balatonhetveni utca 245.
H-1047 Mindszentvég"
"Kiss Anna Ilona"|"Bajai utca 241.
H-1205 Kaposvár"
"Dr. Katona E. Zsuzsanna"|"Ady endre utca 122.
H-3088 Székesfehérvár"
"Kiss Dezsőné"|"Béke utca 3.
H-3086 Mosonmagyaróvár"
"Varga Csilla"|"Fürdőfalvai út 249.
H-1487 Budapest"
"Kiss Edit"|"Egyházastamásii út 41.
H-5822 Nagyligetkövesd"
"Antal Anikó Viktória"|"Hajdútapolcai utca 159.
H-8423 Debrecen"
"Dr. Bálint M. Gabriella"|"Hídvári utca 9.
H-4846 Alsókeresztbánya"
"Prof. Dr. Nagy Imre"|"Újligeti utca 106.
H-7557 Mellékfa"
"Tóth Máté"|"Hetvenfalvai tér 220.
H-7544 Györgynádasd"
"Nagy A. Zsolt"|"Ózdi utca 20.
H-8026 Székvárad"
"Dr. Fábián Edina Judit"|"Ligetfalui utca 142.
H-3357 Lajoshátharaszti"
"Horváth Sándor"|"Tamásidevecseri utca 242.
H-7333 Mindszenthalas"
"G. Molnár Gábor"|"Lajoskereszti utca 176.
H-5523 Pécs"
"Szabó János"|"József attila utca 201.
H-2701 Némethetvenvára"
"Kiss Gáborné Jakab Renáta"|"Némettóti utca 155.
H-1938 Bácstamásifalu"
"Antal Julianna Julianna"|"Pusztamártoni utca 181.
H-6792 Váchetvennádasd"
"Tóth Nagy Lajos"|"Ceglédi utca 54.
H-1673 Ózd"
"Farkas K. Piroska"|"Bakonyi utca 244.
H-7801 Hajdúgyörgyvég"
"Dr. Tóth C. Irén"|"Dunahetveni utca 122.
H-1643 Tatabánya"
"Szekeres Erika"|"Felsőkereszti út 201.
H-5590 Hátberény"
"Sipos Dominikné Szalai Mária"|"Szabadság utca 190.
H-2178 Hetvenbánya"
"Fekete Tóth András"|"József attila utca 182.
H-8235 Budaszékberény"
"D. Kelemen László"|"Győri utca 98.
H-7032 Debrecen"
"Prof. Dr. Bálint Horváth Magdolna"|"Petőfi utca 11.
H-5178 Nagytapolcaharaszti"
"Kiss I. László"|"Kunháti utca 104.
H-1696 Tapolcavárad"
"Bogdánné Tóth Ibolya"|"Székapátii utca 141.
H-5334 Szombathely"
"Dr. Lakatos Jázmin Lilla"|"Tapolcafalui utca 94.
H-5650 Törökhídhalas"
"Péter Z. Szabolcs"|"Mártonvári utca 140.
H-5688 Somogymindszentdevecser"
"Tóth Balogh Laura"|"Arany jános tér 74.
H-4154 Ózd"
"Dr. Szűcs Csabané Máté Tímea"|"Váci utca 209.
H-4176 Kisfürdőkőrös"
"Dr. Farkas Róbert Imre"|"Lajoshídi tér 139.
H-8336 Zalaegerszeg"
"Dr. Nagy Judit"|"Kossuth tér 9.
H-3019 Szentkeresztfa"
"Németh Attilané Varga Valéria"|"Halasi utca 116.
H-6877 Borsodharaszti"
"Dr. Kovács Katalin"|"Székberényi utca 88.
H-5616 Pilisfürdővárad"
"Kiss Ilona"|"Kossuth utca 128.
H-7000 Mindszentkövesd"
"Kelemen Renáta Katalin"|"Magyarligeti utca 84.
H-4414 Bakonytamásibánya"
"L. Váradi Katalin"|"Petőfi utca 33.
H-1121 Magyarmellékhida"
"Dr. A. Tóth Gergely"|"Szerbtamásii utca 160.
H-6777 Oroszligetfalu"
"Varga J. Gergely"|"Nagyhetveni tér 21.
H-8092 Fürdőbánya"
"Magyar Mihály"|"Mindszentnémetii utca 239.
H-3721 Tapolcavár"
"Dr. Nagy G. Miklós"|"Bácsháti utca 57.
H-2899 Mosonmagyaróvár"
"Bognárné Nagy Julianna Klára"|"Petőfi sándor utca 171.
H-5037 Dunaújváros"
"Dr. Kovács Csaba Milán"|"Szabadság utca 75.
H-1553 Nagytóthalas"
"Dr. J. Juhász Krisztián"|"Bakonyi utca 43.
H-6230 Békéscsaba"
"Kiss J. Roland"|"Ceglédi utca 58.
H-2788 Érd"
"Lakatosné Kovács Anna"|"Drávakereszti út 231.
H-7948 Győr"
"Rácz Ágnes Mária"|"Hódmezővásárhelyi tér 84.
H-1833 Németmellékvég"
"Dr. Lengyel Farkas Zsuzsanna"|"Mártonházai utca 16.
H-5848 Debrecen"
"S. Tóth János"|"Végi út 32.
H-5964 Piliskeresztvárad"
"Dr. Oláh Nagy Ákos"|"Mellékkövesdi utca 176.
H-8945 Keresztdevecser"
"Tóthné Tóth Noémi"|"Budai utca 137.
H-8311 Hetvenvár"
"Dr. Szabóné Kerekes Nikolett"|"Arany jános utca 72.
H-7544 Székesfehérvár"
"Horváth Andrásné Németh Diána"|"Kecskeméti utca 132.
H-2477 Orosztapolcaapáti"
"Szabó Istvánné Nagy Andrea"|"Szombathelyi utca 105.
H-7658 Nagyhídvárad"
"Kiss Judit Vivien"|"Újfürdői utca 105.
H-7268 Híddevecser"
"H. Kovács Balázs"|"Pécsi utca 183.
H-7993 Pusztahátkövesd"
"Dr. Farkas Károlyné"|"Mártonbányai utca 131.
H-8376 Hátvég"
"Molnár Ákosné Szilágyi Éva"|"Mosonkereszti utca 183.
H-9981 Belsőhídhalas"
"Nemes Péterné"|"Borsodmindszenti utca 149.
H-6002 Tótvárad"
"Magyar Sipos Ágnes"|"Szabadság utca 19.
H-1890 Kiskereszthida"
"Dr. Varga P. László"|"Debreceni út 13.
H-7212 Györgydevecser"
"Fazekas K. Tamás"|"Béke utca 152.
H-1755 Eger"
"Jakab Ildikó Katalin"|"Kossuth utca 208.
H-8498 Hódmezővásárhely"
"Molnár Irén"|"Nagytóti utca 20.
H-7389 Tatabánya"
"Kiss Julianna Enikő"|"Törökmelléki utca 104.
H-2895 Veszprém"
"Kovács Zoltánné Horváth Tímea"|"Kossuth utca 113.
H-6462 Hajdúmindszentvára"
"Szabó Dávidné Kovács Katalin"|"Petőfi sándor utca 179.
H-4188 Ligetvára"
"Horváth M. Csilla"|"Soproni tér 6.
H-3449 Dunakeszi"
"Dr. Mezei Péterné"|"Borsodfürdői utca 34.
H-5599 Hódmezővásárhely"
"Tóth Tóth Árpád"|"Bakonyi út 58.
H-9290 Vég"
"Bakos Sándor"|"Bajai utca 47.
H-2025 Fa"
"Antal I. József"|"Vácháti tér 13.
H-6790 Somogyszékháza"
"Kovácsné Dr. Nagy Zsuzsanna Edit"|"Borsodi tér 165.
H-8606 Némettapolcafalu"
"Hegedűsné Fekete Nóra"|"Dunamártoni utca 153.
H-9397 Békéscsaba"
"Kiss János"|"Petőfi utca 244.
H-7696 Hátvár"
"Horváth É. Erzsébet"|"Dózsa györgy utca 195.
H-8766 Kisgyörgyhida"
"Biró Lajosné Gáspár Eszter"|"Ózdi utca 204.
H-8420 Tamásifa"
"Szabó V. Klára"|"Györgyházai utca 176.
H-3767 Bácstótfalva"
"Dr. Török Mária Katalin"|"Fürdőváradi utca 38.
H-9113 Váctamásikőrös"
"Dr. M. Juhász Roland"|"Petőfi utca 75.
H-1811 Dunakeszi"
"Dr. Kovácsné Varga Gabriella"|"Dózsa györgy utca 39.
H-8110 Szigetszentmiklós"
"Dr. Kovács Gyöngyi"|"Nyírhídi utca 136.
H-6022 Salgótarján"
"Kovács Z. Erzsébet"|"József attila utca 38.
H-1165 Hátháza"
"Tamás Németh Patrik"|"Fürdőberényi utca 155.
H-3714 Cegléd"
"Kiss József Vilmos"|"Felsőligeti tér 38.
H-4923 Miskolc"
"Dr. Horváth Zoltán Gábor"|"Fürdővári utca 29.
H-5643 Tótháza"
"Kovács Szalai László"|"Mosonmagyaróvári utca 81.
H-7908 Salgótarján"
"Dr. Nagy Olivérné"|"Tótbányai utca 21.
H-2090 Bakonytótbánya"
"Dr. Mészáros Istvánné Farkas Magdolna"|"Petőfi sándor út 157.
H-6047 Mártonvárad"
"Péter Éva"|"Kecskeméti utca 55.
H-4245 Pusztahátháza"
"Balogh Attila"|"Petőfi sándor utca 201.
H-6732 Mindszentkőrös"
"Dr. Kelemen Varga Brigitta"|"Felsőfürdői utca 52.
H-2816 Budahátdevecser"
"Bodnár Dominikné"|"Szolnoki utca 91.
H-9288 Tapolcavárad"
"G. Tóth Ádám"|"Arany jános utca 201.
H-3849 Hódmezővásárhely"
"Kiss Józsefné Szücs Annamária"|"Salgótarjáni utca 183.
H-3224 Györgyvárad"
"R. Varga Julianna"|"Belsőhídi utca 95.
H-3441 Ózd"
"Dr. Kovács Faragó Gergő"|"Arany jános út 56.
H-7318 Tapolcahida"
"Simon Róbert József"|"Mellékhalasi utca 225.
H-5577 Székesfehérvár"
"Szűcs Péter"|"Pilishetveni utca 120.
H-4437 Mellékkövesd"
"Nagy Imrené Virág Veronika"|"Kaposvári utca 118.
H-9348 Mártonfalva"
"Dr. Deák Mária Beáta"|"Kaposvári tér 159.
H-1584 Tamásibánya"
"Dr. László Jánosné"|"Budapesti utca 50.
H-2703 Zalaegerszeg"
"Dr. Biró Károlyné Halász Virág"|"Fürdőkőrösi utca 204.
H-2574 Mellékbánya"
"Dr. Fodor Ákosné Nagy Margit"|"Somogyszéki utca 17.
H-3224 Györgyvára"
"Kiss K. Anna"|"Hetvenhidai utca 239.
H-9996 Nyékfürdőkőrös"
"Horváth R. Levente"|"Kaposvári utca 134.
H-3711 Oroszhetvenvára"
"Takács Varga Anett"|"Szabadság út 178.
H-7201 Kunmártonváros"
"Dr. Baloghné Boros Alexandra Anikó"|"Érdi utca 161.
H-2869 Mártonnémeti"
"Kissné Dr. Szabó Györgyi"|"Szerbhetveni utca 117.
H-2074 Baja"
"Kovács Levente Béla"|"Kossuth utca 93.
H-9683 Ligetfa"
"Kovács I. Margit"|"Petőfi sándor utca 187.
H-5818 Györgyháza"
"Dr. Kovács I. Edina"|"Bácsmelléki tér 80.
H-2009 Mártonbánya"
"I. Sándor Dávid"|"Egyházasmindszenti út 242.
H-2285 Dunakeszi"
"Balogné Varga Gyöngyi"|"Béke utca 196.
H-2447 Melléknémeti"
"Kiss K. Péter"|"Debreceni utca 14.
H-2083 Keresztdevecser"
"G. Tóth Rozália"|"Tatabányai utca 65.
H-7964 Keresztfalu"
"Kovácsné Dr. Horváth Gabriella"|"Szegedi utca 101.
H-8088 Szombathely"
"Farkas Tóth Lajos"|"Kossuth utca 191.
H-6923 Salgótarján"
"Nagy Bodnár Éva"|"Hátnémetii utca 99.
H-9577 Borsodligetvár"
"J. Pap Béla"|"Törökhídi utca 140.
H-7398 Hetvenvárad"
"Horváth Sándor Barnabás"|"Béke tér 48.
H-6551 Székvár"
"Dr. Mészáros Patrikné Lakatos Mária"|"Dunakeszii utca 33.
H-4828 Hátbánya"
"Szabóné Dr. Szilágyi Katalin"|"Petőfi sándor utca 40.
H-8892 Szeged"
"Dr. Horváth M. Ilona"|"Mellékváradi utca 87.
H-7607 Eger"
"Kiss Katalin"|"Szabadság utca 93.
H-6966 Mosonmindszentberény"
"Dr. Lakatosné Budai Éva"|"Keresztberényi utca 109.
H-3541 Tótháza"
"Tóth Gergely"|"Petőfi sándor utca 100.
H-2484 Kecskemét"
"Székelyné Nagy Erzsébet Ibolya"|"Petőfi út 182.
H-7497 Hajdútapolcaberény"
"Dr. Horváth Zoltán"|"Györgydevecseri utca 196.
H-7465 Bácshetvenfa"
"Dr. Farkas Ilona Gabriella"|"Tótfai utca 149.
H-4473 Szolnok"
"B. Katona Alex"|"Rácmártoni utca 25.
H-2458 Veszprém"
"D. Szűcs Gábor"|"Petőfi sándor utca 73.
H-2988 Mártonkőrös"
"Dr. Farkas Ferenc József"|"Tamásivárai utca 2.
H-2748 Halas"
"Fábián János Norbert"|"Váci utca 27.
H-4109 Nagykanizsa"
"Kiss Kristóf István"|"Debreceni utca 19.
H-3902 Mosonmindszentberény"
"Dr. Kiss Irén"|"Nyékhídi tér 104.
H-3482 Győr"
"Dr. Kovács Zoltánné Tóth Dóra"|"Fürdőharasztii utca 76.
H-8117 Mátratótkőrös"
"B. Orbán István"|"Mosonmagyaróvári utca 172.
H-3964 Híddevecser"
"A. Tóth Etelka"|"Szolnoki utca 104.
H-9090 Drávamindszentkőrös"
"Dr. Kocsis Csabané Horváth Tünde"|"Vácszéki utca 17.
H-3935 Keresztapáti"
"Dr. Juhász Edit Petra"|"Ady endre utca 71.
H-1234 Lajosmellékfalu"
"Dr. Szabó Zsolt Balázs"|"Dózsa györgy utca 182.
H-2907 Nagykanizsa"
"Balogh Lajos Jenő"|"Hetvenfalui utca 39.
H-9284 Melléknádasd"
"Balogné Farkas Tímea"|"Kunmártoni utca 236.
H-7325 Hajdúszékvárad"
"Kiss Margit Erzsébet"|"Szombathelyi utca 129.
H-6835 Mártonfa"
"Dr. Németh Gáborné"|"Tóthalasi utca 64.
H-2315 Keresztfa"
"Lakatos Molnár László"|"Pécsi utca 131.
H-9322 Bakonyfürdőharaszti"
"Nagyné Dr. Bodnár Zita Anett"|"Miskolci út 15.
H-4589 Tamásiharaszti"
"Dr. Hegedűs Olivér"|"Kossuth tér 214.
H-5311 Törökkeresztvárad"
"Dr. Nagyné Vörös Etelka"|"Balatonhetveni utca 93.
H-8370 Ligetbánya"
"Fehér Jolán"|"Egyházastóti utca 61.
H-4482 Törökhátvárad"
"Szabó F. Károly"|"Szigetszentmiklósi utca 211.
H-9543 Hátdevecser"
"Dr. Varga Zoltánné Kiss Terézia"|"Ady endre utca 83.
H-8967 Veszprém"
"Jakab Ákos"|"Szabadság utca 132.
H-2278 Mezőkeresztháza"
"Kiss Margit"|"Háthalasi tér 163.
H-9440 Tamásiberény"
"Dr. Németh Péterné"|"Pécsi utca 219.
H-9046 Nagyszékvár"
"Dr. Nagy Nagy Ilona"|"Mezőháti tér 100.
H-3600 Hídvár"
"Csonkané Kiss Piroska"|"Hetvenvárosi utca 100.
H-1792 Tamásivég"
"Major Erzsébet Mónika"|"Dózsa györgy utca 144.
H-7125 Szombathely"
"Mezei Z. Zoltán"|"Békéscsabai utca 34.
H-4844 Eger"
"Dr. Kissné Pap Teréz Jolán"|"Tatabányai tér 117.
H-1172 Budapest"
"Nagy Katona Endre"|"Egeri út 71.
H-5097 Mindszentvég"
"Dr. S. Fehér József"|"Debreceni utca 134.
H-4308 Szolnok"
"G. Szilágyi István"|"Ady endre utca 135.
H-2885 Hida"
"Kiss Milán Ferenc"|"Petőfi utca 137.
H-7862 Mátrafürdőkőrös"
"Z. Szilágyi Tibor"|"Tiszaháti utca 180.
H-3614 Salgótarján"
"Tóth Rácz Erzsébet"|"Béke tér 46.
H-1869 Keresztnádasd"
"Deákné Balogh Judit"|"Hetvennádasdi utca 219.
H-5643 Győr"
"Dr. Tóthné Jakab Jázmin"|"Mátrahídi utca 86.
H-8285 Dunaszékapáti"
"Kocsis Klára Erzsébet"|"Béke utca 70.
H-4764 Mellékberény"
"Bálint Melinda Erzsébet"|"Dózsa györgy utca 112.
H-3194 Mosontamásibánya"
"Horváth Anita Eszter"|"Váci utca 19.
H-4288 Nyírhetvenvég"
"É. Bakos Annamária"|"Arany jános utca 87.
H-6797 Sopron"
"Molnár Zoltán"|"Mártonhidai utca 35.
H-4222 Bakonyhetvenberény"
"Kiss Norbertné Varga Erika"|"Mindszentdevecseri utca 107.
H-5674 Nyékmindszentharaszti"
"Juhászné Varga Hajnalka"|"Tiszamártoni út 129.
H-3576 Szenttamásihida"
"Dr. Lakatos T. Erzsébet"|"Szerbtóti utca 124.
H-5250 Borsodmindszentfa"
"Dr. C. Balog Ádám"|"Újligeti utca 79.
H-1039 Hátkőrös"
"Dr. Tóth Csaba Zoltán"|"Magyarhetveni utca 104.
H-3186 Szeged"
"Gál Zoltánné Mészáros Enikő"|"Keresztapátii tér 64.
H-1604 Ózd"
"Mészáros Zoltán Szabolcs"|"Szabadság utca 154.
H-5597 Nagykanizsa"
"B. Kiss Adrienn"|"Hódmezővásárhelyi utca 87.
H-2862 Tótfalva"
"Z. Csonka István"|"Székberényi utca 201.
H-1147 Vác"
"Dr. Horváth Balázs Julianna"|"Dózsa györgy utca 81.
H-1663 Alsótapolcanádasd"
"Kiss Olivér"|"Nyírtamásii utca 59.
H-2047 Németligetfalva"
"Dr. Baloghné Szilágyi Zsuzsanna"|"Salgótarjáni utca 51.
H-9173 Mosonmagyaróvár"
"G. Lakatos Máté"|"Szombathelyi utca 47.
H-8516 Tamásivára"
"Majorné Dr. Barta Bianka"|"Béke utca 73.
H-6187 Nyékgyörgyhida"
"Dr. Kovácsné Máté Brigitta Hanna"|"Hetvenkőrösi utca 171.
H-2301 Szolnok"
"Papp Lajos Gábor"|"Tiszatóti tér 120.
H-2889 Kecskemét"
"Varga Ernőné"|"Mátrahídi utca 135.
H-5645 Dunaújváros"
"Nagy M. Veronika"|"József attila utca 77.
H-1195 Nagyfürdővára"
"Dr. Feketené Varga Erzsébet Teréz"|"Hetvennádasdi utca 145.
H-3493 Kecskemét"
"Dr. P. Nagy Julianna"|"Dózsa györgy utca 164.
H-5819 Bakonytótfa"
"Kiss Pál István"|"Lajosmindszenti utca 130.
H-2737 Nagykanizsa"
"Pappné Horváth Judit"|"Hátnémetii utca 208.
H-5561 Németkeresztnémeti"
"Dr. Szabó Richárd"|"Kunszéki utca 57.
H-6444 Székfalu"
"Oláhné Dr. Fehér Ilona"|"Béke utca 26.
H-8605 Szentkeresztkőrös"
"Hegedűsné Dr. Szűcs Dóra Edina"|"Fürdőapátii utca 61.
H-2415 Szolnok"
"Vassné Nagy Erika Mária"|"Petőfi utca 31.
H-3030 Újmellékvár"
"Dr. Feketené Kerekes Ildikó"|"Hetvenházai utca 93.
H-2036 Pécs"
"Dr. Simonné Kovács Judit Margit"|"Székvárai utca 88.
H-6786 Ligetvára"
"Takács Eszter"|"Dózsa györgy út 156.
H-1811 Tiszaligetkövesd"
"Hajdu A. Gergő"|"Fürdőberényi utca 114.
H-4298 Mindszentfalu"
"Kiss Rita"|"Törökgyörgyi utca 237.
H-7902 Szeged"
"Orsós László"|"Szegedi utca 123.
H-2346 Drávafürdőhalas"
"Dr. Szabó Kinga"|"Dunaújvárosi utca 129.
H-8921 Ózd"
"R. Balázs István"|"Borsodhídi utca 42.
H-6662 Mindszentharaszti"
"Németh Viktória"|"Mindszentbányai utca 113.
H-9113 Székberény"
"Novák Endrené"|"Mellékházai utca 214.
H-7903 Hódmezővásárhely"
"Hegedüs Bognár Sándor"|"Mellékhidai tér 149.
H-8752 Szigetszentmiklós"
"Dr. Nagy Jánosné"|"Balatontóti utca 105.
H-3720 Ligetharaszti"
"Szilágyi András Bence"|"Hajdúligeti utca 111.
H-3170 Mellékháza"
"Nagy Ilona"|"Nyékligeti utca 155.
H-9782 Haraszti"
"Kiss Sándorné"|"Hetvenvégi utca 115.
H-8532 Tótbánya"
"Varga András"|"Arany jános utca 108.
H-7091 Fürdőhalas"
"Szilágyi L. Lajos"|"Petőfi tér 199.
H-5349 Györgyfalu"
"Szalai I. Gábor"|"Borsodtapolcai utca 90.
H-4174 Kaposvár"
"Molnár Dánielné Molnár Boglárka"|"Keresztapátii utca 8.
H-2074 Alsógyörgynémeti"
"Mészáros Takács Lajos"|"Mátramártoni utca 128.
H-9487 Németfa"
"G. Szabó Béla"|"Hátfalvai utca 183.
H-2746 Pécs"
"Dr. Szilágyiné Takács Nikoletta"|"Fürdővégi tér 117.
H-6452 Lajosmellékbánya"
"Szabó Kitti"|"Kaposvári utca 197.
H-7222 Szeged"
"Szabóné Dr. Orosz Ibolya"|"Tótfai utca 212.
H-8044 Györgyapáti"
