"A. Balog Lajos"	"Tamásiházai utca 81.
H-7599 Tatabánya" 
"Dr. Farkas Zsuzsanna"	"Békéscsabai utca 200.
H-7262 Ózd"
"Bognárné Dr. Tóth Erika"	"Kuntóti tér 55.
H-2756 Hátfalu"
"Kocsis Erika"	"Arany jános utca 230.
H-2383 Györgyhida"
"Horváth J. Lajos"	"Szigetszentmiklósi utca 158.
H-7592 Székesfehérvár"
"Kissné Tóth Ildikó Veronika"	"Kungyörgyi utca 184.
H-5487 Székdevecser"
"Dr. Szabó Gergőné"	"Somogyi utca 27.
H-1077 Pusztatótdevecser"
"Takács K. Attila"	"Háthalasi utca 22.
H-6384 Pusztahátkövesd"
"Nagy Tóth László"	"Székkőrösi utca 235.
H-5428 Tapolcakövesd"
"Prof. Dr. Kovács Erzsébet"	"Fürdőhidai utca 71.
H-9134 Hódmezővásárhely"
"Dr. Juhász L. Ferenc"	"Veszprémi utca 28.
H-7820 Békéscsaba"
"Varga Marianna"	"József attila utca 95.
H-6396 Hajdúhetvenkőrös"
"Tóth András"	"Györgyapátii utca 108.
H-8292 Nyírmellékkőrös"
"K. Lakatos Zsolt"	"Hetvenvégi utca 92.
H-4158 Mosonhídberény"
"Dr. Horváthné Vincze Ágnes"	"Nyíregyházai tér 178.
H-2693 Alsótótkőrös"
"Kocsis A. Piroska"	"Szolnoki utca 205.
H-2849 Debrecen"
"Orbán Lászlóné Balázs Renáta"	"Bajai utca 5.
H-8353 Ózd"
"Dr. Kiss H. Ágnes"	"Petőfi utca 176.
H-8091 Zalaegerszeg"
"Dr. Horváth Zoltán Ferenc"	"Dózsa györgy utca 132.
H-7919 Szombathely"
"Dr. Horváth Gábor"	"Petőfi utca 174.
H-8631 Mindszentfa"
"Horváth R. Márta"	"Miskolci utca 184.
H-6796 Németmellékvárad"
"Fazekasné Dr. Fülöp Erzsébet"	"Lajostóti tér 167.
H-2557 Mellékberény"
"Hajduné Dr. Fülöp Erzsébet Beatrix"	"Arany jános utca 136.
H-7730 Győr"
"Farkas Tiborné"	"Arany jános tér 236.
H-2396 Nyékmártonfalva"
"Dr. Molnárné Biró Terézia"	"Soproni utca 3.
H-2118 Miskolc"
"Kocsis András"	"Győri tér 221.
H-9919 Törökhetvenváros"
"Major Varga Etelka"	"Nyíregyházai utca 146.
H-2042 Oroszligetharaszti"
"Dr. Balázsné Fülöp Marianna"	"Keresztváradi út 30.
H-4806 Tiszatóthalas"
"Dr. Major Győző"	"Szabadság utca 98.
H-9732 Pusztakövesd"
"Varga Gergelyné"	"Mártonberényi utca 228.
H-2280 Hetvenharaszti"
"Németh Tóth Ibolya"	"Nyékgyörgyi út 63.
H-4003 Egyházasmártonfalva"
"Dr. Bognár Attila Lajos"	"Györgyhalasi utca 28.
H-2850 Hajdúhetvenváros"
"Dr. Farkas Szilágyi Sándor"	"Mátratapolcai utca 144.
H-6048 Nagygyörgybánya"
"Dr. Tóth Varga Zsuzsanna"	"Györgykőrösi utca 187.
H-4331 Kecskemét"
"Balogh Ferencné"	"Szabadság utca 93.
H-5101 Mindszentapáti"
"Kocsis Györgyné Bognár Mária"	"Arany jános utca 108.
H-4035 Nyírfürdőnémeti"
"Gáspár Jánosné Balogh Nikoletta"	"Törökkereszti utca 75.
H-8185 Város"
"Kovács Beatrix Mária"	"Ligetváradi utca 215.
H-4750 Szolnok"
"Kovácsné Tamás Katalin Anna"	"Salgótarjáni utca 133.
H-8866 Szerbkeresztberény"
"Fekete Istvánné Balogh Anna"	"Pusztahídi utca 77.
H-8707 Mellékháza"
"Dr. Nagy Anna Róza"	"Ózdi utca 186.
H-3215 Ózd"
"Dr. Tóth Lászlóné Horváth Mária"	"Szabadság utca 168.
H-6252 Nyírtamásiapáti"
"Balogh Balogh Katalin"	"Tamásifalvai utca 11.
H-6367 Balatonhetvendevecser"
"Dr. Veres Attilané"	"Kossuth út 17.
H-7150 Borsodszékapáti"
"Bakosné Dr. Kovács Marianna"	"Fürdőházai utca 219.
H-7162 Cegléd"
"Kocsis Kis Sándor"	"József attila út 44.
H-7362 Vác"
"Pintér Tóth Lajos"	"Somogymártoni út 168.
H-9037 Györgyfalu"
"Nagy Balogh Gyula"	"Szigetszentmiklósi utca 117.
H-8333 Székkőrös"
"Kiss Hegedűs Gabriella"	"Bakonykereszti utca 56.
H-3244 Kunvár"
"Dr. Vargané Tóth Adrienn Mária"	"Dózsa györgy utca 118.
H-1899 Vác"
"Dr. Pap Péter"	"Mindszentnádasdi út 183.
H-1569 Somogymártonfalu"
"Kis K. László"	"Némettapolcai utca 53.
H-7789 Nyírmindszentháza"
"Fodor F. Zoltán"	"Zalaegerszegi utca 69.
H-7037 Bácshídhalas"
"Fekete István András"	"Bakonytóti utca 145.
H-5177 Érd"
"Dr. Nagy Gáspár Károly"	"Arany jános utca 160.
H-4156 Fürdőharaszti"
"Kocsis Mészáros Andrea"	"Petőfi sándor köz 135.
H-4220 Bakonyhetvenvárad"
"Nagy I. Krisztina"	"Érdi tér 126.
H-3490 Belsőszékfalva"
"Farkasné Varga Mária"	"Ady endre utca 47.
H-3492 Háza"
"Szabóné Dr. Balázs Hanna"	"Miskolci utca 21.
H-1466 Dunakeszi"
"Dr. Nagy Imrené Kozma Zsuzsanna"	"Dózsa györgy utca 65.
H-2924 Érd"
"Németh Z. Dániel"	"Kossuth utca 86.
H-1126 Kisszéknádasd"
"Szabóné Simon Tímea"	"Egeri utca 228.
H-5351 Belsőhátháza"
"Dr. Horváth Tamás László"	"Tapolcakőrösi utca 158.
H-4098 Miskolc"
"Á. Varga Boglárka"	"Némethetveni utca 235.
H-5304 Széknémeti"
"Fülöp Péterné Kovács Alexandra"	"Ceglédi utca 116.
H-2395 Nyéktótfalu"
"Kocsis Péter Andrea"	"Tapolcaberényi utca 91.
H-3379 Székkövesd"
"Dr. Horváth Szabó Róza"	"Pécsi út 191.
H-1368 Mosonváros"
"Dr. Molnár Nagy Irén"	"Dózsa györgy utca 51.
H-3415 Szolnok"
"Dr. Dudásné Nagy Éva"	"Salgótarjáni utca 234.
H-8376 Belsőtamásikőrös"
"M. Horváth Edit"	"Ózdi utca 13.
H-3343 Mátraszékkövesd"
"Lakatos Istvánné Csonka Erzsébet"	"Dunaújvárosi utca 139.
H-1446 Tamásiharaszti"
"Molnár Martinné"	"Nagyligeti utca 20.
H-6483 Sopron"
"Horváth Péter"	"Székesfehérvári utca 72.
H-1621 Hetvenvára"
"Dr. Nagy Melinda"	"Szegedi utca 238.
H-3350 Baja"
"Szabó Horváth Benedek"	"Ligetvári utca 129.
H-4385 Keresztbánya"
"Kocsis Richárd Andor"	"Szolnoki sétány 184.
H-9738 Mártonhalas"
"M. Horváth Gabriella"	"Debreceni utca 198.
H-3495 Eger"
"Dr. Orsósné Varga Krisztina"	"Ceglédi utca 242.
H-8155 Székesfehérvár"
"Horváth Márkné Szabó Lili"	"Budahídi út 48.
H-3419 Falu"
"Dr. Juhász Jánosné"	"Tamásifalui út 39.
H-2441 Mellékháza"
"Dr. Szűcs Zsolt Tamás"	"József attila utca 231.
H-8605 Ózd"
"Dr. Nagy Kiss Zsuzsanna"	"Ceglédi utca 226.
H-5863 Szerbkeresztnémeti"
"Dr. Horváth Tamásné Varga Szilvia"	"Pusztamelléki utca 49.
H-8812 Belsőmártonbánya"
"Antal Nagy Balázs"	"Salgótarjáni tér 233.
H-1001 Tapolcabánya"
"Horváth János György"	"Szegedi utca 244.
H-5418 Felsőfürdővég"
"Kocsis Éva"	"Magyarháti tér 145.
H-4538 Györgyvára"
"Molnár L. Márton"	"Béke utca 118.
H-5022 Hetvenfa"
"Dr. Vörös I. Tímea"	"Hátnémetii utca 40.
H-4272 Nyíregyháza"
"Takács Kiss Ilona"	"Nagykanizsai utca 10.
H-2681 Vácmindszentfalva"
"Nagy Anna"	"Lajosi utca 79.
H-6927 Hódmezővásárhely"
"Tóth Nagy Piroska"	"Dunakeszii út 217.
H-7322 Hátvár"
"Fekete Kiss Tibor"	"Felsőmindszenti utca 39.
H-7537 Mártonfalva"
"K. Szűcs Katalin"	"Mindszentvári utca 218.
H-8728 Cegléd"
"Molnár R. Henrietta"	"Békéscsabai tér 59.
H-2123 Cegléd"
"B. Kiss István"	"József attila utca 243.
H-6965 Hajdútamásikőrös"
"Kovács A. József"	"Fürdőnémetii út 57.
H-5589 Szigetszentmiklós"
"Bodnár F. Zoltán"	"Kossuth utca 118.
H-9109 Kereszthalas"
"Dr. Kovács János Sándor"	"Dózsa györgy utca 43.
H-5283 Székesfehérvár"
"Dr. Kiss Mária"	"Bácsmindszenti út 230.
H-4606 Tóthida"
"Kiss Szűcs Roland"	"Mosontapolcai utca 86.
H-6167 Veszprém"
"Dr. Horváth Krisztoferné"	"József attila utca 23.
H-5605 Hídvár"
"Balogh Csaba László"	"Mellékvárosi utca 204.
H-7509 Fürdődevecser"
"A. Kiss Klaudia"	"Alsógyörgyi utca 246.
H-4660 Székesfehérvár"
"Dr. Oláh Ferencné"	"Kossuth út 101.
H-8994 Érd"
"Nagyné Horváth Anita"	"Mellékfalvai utca 157.
H-6575 Ligethalas"
"Kovács Barna Gyöngyi"	"Szabadság utca 140.
H-6041 Mártonharaszti"
"Juhászné Szabó Margit"	"Petőfi utca 204.
H-3205 Dunaújváros"
"Dr. Farkas J. Anita"	"Szabadság utca 5.
H-5585 Pilismindszentvég"
"Fábián E. Éva"	"Kaposvári utca 134.
H-2311 Kuntótvár"
"Németh G. Barnabás"	"Váctapolcai utca 29.
H-1851 Tótvárad"
"Bognár Sándor Zoltán"	"Kossuth utca 45.
H-7828 Fürdőhalas"
"Borbélyné Kovács Barbara"	"Ady endre tér 68.
H-1383 Debrecen"
"Dr. Kozma Sándor Attila"	"Arany jános utca 144.
H-5996 Székvég"
"Szalai Lukács József"	"Nyékligeti utca 234.
H-7104 Hídvárad"
"Farkas Lakatos István"	"Mindszentharasztii utca 145.
H-8136 Veszprém"
"Kovács Barnabásné"	"Tótnémetii utca 102.
H-9130 Hetvenfalva"
"Szabóné Horváth Hajnalka"	"Györgyapátii út 55.
H-1025 Kecskemét"
"Gál Németh Máté"	"József attila utca 132.
H-4369 Vác"
"Nagy I. Roland"	"Szabadság utca 102.
H-8821 Hetvenkőrös"
"Farkas Margit"	"Kossuth utca 68.
H-4131 Tamásiharaszti"
"Molnár Zoltánné"	"Ceglédi utca 208.
H-7918 Tamásifa"
"T. Rácz József"	"Mindszentvárai utca 242.
H-9705 Újmártonvára"
"Kelemen R. Tibor"	"Háthidai utca 26.
H-9357 Hódmezővásárhely"
"Dr. Nagy Áronné"	"Lajosligeti utca 32.
H-3070 Szenttapolcaapáti"
"Dr. P. Nagy József"	"Hídfai utca 101.
H-8865 Nagytamásiharaszti"
"Kovács Bence"	"Tótváradi utca 148.
H-6792 Drávahátkövesd"
"Németh Rozália"	"Szabadság utca 46.
H-4214 Váctamásifalva"
"Nemes Máté Pál"	"Mosonmagyaróvári utca 107.
H-1723 Tiszaváros"
"Kovács V. Anikó"	"Fürdőfalvai utca 210.
H-2929 Oroszmártonvára"
"Dr. Horváth Bencené Balogh Erika"	"Dózsa györgy utca 146.
H-3828 Újszékkőrös"
"Bogdánné Sipos Sára Magdolna"	"Debreceni út 229.
H-2704 Érd"
"Vörösné Pap Margit"	"Béke utca 241.
H-5274 Vác"
"Hegedüs Mária Klára"	"Györgyharasztii út 105.
H-6787 Fürdővár"
"P. Máté Szabolcs"	"Mosonmagyaróvári utca 186.
H-6723 Keresztbánya"
"Oláh Boros István"	"Keresztnádasdi utca 223.
H-4457 Budatamásinémeti"
"Kovács Csabané Kovács Anita"	"Pusztai utca 32.
H-8207 Újmindszentharaszti"
"Varga András"	"Hódmezővásárhelyi út 82.
H-6893 Berény"
"Németh Erzsébet Anna"	"Szentháti utca 115.
H-8506 Szerbszékfa"
"Kovács Nagy József"	"Kaposvári utca 181.
H-8656 Dunafürdőváros"
"Kiss Szalai Alexandra"	"Hídhidai tér 77.
H-5790 Zalaegerszeg"
"Fábián Mária"	"Pusztahetveni utca 145.
H-4822 Zalaegerszeg"
"Illésné Szabó Mónika Anikó"	"Dunakeszii utca 186.
H-8346 Törökgyörgyberény"
"Dr. Kovács Margit"	"Dunaújvárosi utca 86.
H-7632 Szigetszentmiklós"
"Dr. Faragóné Kovács Zsuzsanna"	"Békéscsabai utca 238.
H-5567 Keresztfalva"
"Molnár Ágnes Erzsébet"	"Petőfi utca 247.
H-4344 Tamásiapáti"
"Kovács E. Gabriella"	"József attila utca 72.
H-1636 Hódmezővásárhely"
"Kisné Szücs Róza"	"Újhetveni utca 30.
H-4750 Mezőmellékbánya"
"Németh Péter Zsolt"	"Györgykőrösi utca 182.
H-1826 Újszékberény"
"Székely Tiborné Simon Anikó"	"Belsőmelléki utca 76.
H-1663 Hajdúhátkőrös"
"Dr. I. Szabó Géza"	"Belsőháti utca 235.
H-5677 Baja"
"Dr. Kovács Á. Szilvia"	"Váci utca 211.
H-6237 Pécs"
"Dr. Lakatos A. István"	"Hátvégi utca 186.
H-5622 Nagyfürdőbánya"
"Kovácsné Fehér Anna Anna"	"Nagyháti utca 60.
H-2272 Keresztapáti"
"Szilágyi Vilmosné Bogdán Erzsébet"	"Váci utca 88.
H-3130 Háthida"
"Szilágyiné Dr. Nagy Bianka"	"Ligetfalui utca 7.
H-7254 Tiszakeresztnádasd"
"Kovács E. Sára"	"Újhetveni utca 116.
H-9645 Pécs"
"Nagy József"	"Szegedi utca 159.
H-6485 Mosonmagyaróvár"
"Takácsné Dr. Horváth Margit Katalin"	"Tótnádasdi utca 168.
H-8808 Dunakeszi"
"D. Bálint János"	"Pusztatamásii utca 149.
H-3117 Székhida"
"Jónás B. István"	"Szombathelyi utca 62.
H-8305 Mátramellékkövesd"
"Dr. Bálint Andrea Judit"	"Budapesti utca 150.
H-7903 Szolnok"
"L. Tóth Ákos"	"Újgyörgyi utca 39.
H-1561 Zalaegerszeg"
"Novákné Dr. Horváth Julianna"	"Hídnádasdi utca 3.
H-4228 Mátratamásiapáti"
"Kovács Erika"	"Zalaegerszegi út 89.
H-8253 Mártonapáti"
"S. Horváth Richárd"	"Váradi utca 199.
H-1586 Ligethalas"
"Kovács Erika Ibolya"	"Ceglédi utca 112.
H-5152 Pusztaligetvára"
"Dr. Lukács Bianka"	"Szerbszéki utca 115.
H-4071 Zalaegerszeg"
"Vass Krisztina Edit"	"Székbányai utca 124.
H-9441 Szentmindszentvár"
"Dr. É. Varga Irén"	"Hódmezővásárhelyi tér 249.
H-5090 Tamásiháza"
"Fodor Horváth Irén"	"Miskolci utca 147.
H-9526 Nagyfürdővég"
"Dr. Katona Z. Krisztina"	"Hátkövesdi utca 134.
H-1983 Békésvár"
"Simon Attilané"	"Tatabányai utca 22.
H-9703 Mellékbánya"
"Simonné Dr. Pintér Annamária"	"Dunakeszii utca 198.
H-2685 Szolnok"
"Gál E. Tamás"	"Györgyfalvai utca 207.
H-4069 Salgótarján"
"Dr. Kis Marianna Mónika"	"Arany jános utca 75.
H-8658 Zalaegerszeg"
"Kovács Erika Veronika"	"Kossuth utca 234.
H-4478 Nyíregyháza"
"Nagy Kovács Gyöngyi"	"Bácsmindszenti utca 199.
H-6140 Mezőligetváros"
"Dr. Pintér M. Mónika"	"Mártonvárosi utca 69.
H-5636 Mártonhida"
"Balogh Péter Bence"	"Ady endre utca 110.
H-4412 Törökgyörgyharaszti"
"Lengyel Juhász József"	"Hídfai utca 162.
H-1914 Pilishetvenvára"
"Dr. E. Fülöp Anna"	"Salgótarjáni tér 38.
H-6742 Somogyligetváros"
"A. Horváth Gábor"	"Szabadság utca 64.
H-5522 Balatongyörgynémeti"
"Varga T. György"	"Drávamelléki utca 39.
H-5851 Györgyfalva"
"Dr. S. Kovács Péter"	"Arany jános utca 214.
H-6058 Balatonfalva"
"B. Fülöp István"	"Béke utca 63.
H-9910 Balatonhetvenvár"
"Kovács Erzsébet"	"József attila utca 11.
H-2565 Mártonkövesd"
"Dr. Varga Ákos"	"Ligetnémetii utca 141.
H-4105 Tatabánya"
"T. Varga Tibor"	"Dózsa györgy utca 150.
H-6119 Szeged"
"Tóth I. László"	"Szombathelyi utca 84.
H-5445 Sopron"
"Dr. Bogdán Éva Vivien"	"Petőfi út 244.
H-3232 Törökmártonkőrös"
"Dr. Rácz Zoltánné"	"Ózdi sétány 244.
H-6941 Vác"
"Oláh J. Attila"	"Belsőtóti tér 164.
H-8128 Törökkőrös"
"Mészáros Papp Mária"	"Szegedi utca 120.
H-4476 Balatonmártonapáti"
"Dr. Jónás Mihályné Juhász Judit"	"Petőfi út 46.
H-3685 Kungyörgyvárad"
"Kis Ilona"	"Miskolci utca 16.
H-6634 Oroszmellékváros"
"Kovács Eszter"	"Borsodgyörgyi tér 26.
H-7000 Tamásivárad"
"Bodnár Márta"	"Kereszthidai utca 135.
H-1936 Zalaegerszeg"
"Dr. Tóth A. Erika"	"Egyházasgyörgyi utca 130.
H-1182 Törökfürdővég"
"Dudás Istvánné"	"Szolnoki utca 246.
H-3504 Debrecen"
"Balog Nagy Csaba"	"Petőfi utca 127.
H-7570 Tapolcahida"
"Dr. Sipos Juhász Tamás"	"Dózsa györgy tér 174.
H-8869 Budaszékbánya"
"Dr. Jónás Sándor István"	"Egeri utca 111.
H-3423 Hetvenvárad"
"Tóth M. József"	"Kunmártoni utca 235.
H-2513 Törökkeresztkövesd"
"Németh Milán"	"Salgótarjáni utca 69.
H-3203 Tapolcafalva"
"Farkas Kinga"	"Mezőmindszenti utca 238.
H-4018 Hídvára"
"Kovács Ferencné"	"Oroszkereszti utca 150.
H-6573 Mosonmindszentberény"
"A. Varga Magdolna"	"Mindszentfalvai tér 133.
H-4590 Tamásifalu"
"Dr. Hajdu Z. Ilona"	"Békésmindszenti utca 59.
H-2210 Nagykanizsa"
"Dr. A. Tóth Marianna"	"Mindszentnémetii utca 211.
H-4984 Borsodgyörgyfalu"
"Vörös Zsuzsanna"	"Petőfi utca 202.
H-5894 Székesfehérvár"
"Nagy K. Ferenc"	"Békésgyörgyi tér 46.
H-7228 Ligetváros"
"Rácz M. Krisztina"	"Mindszentnádasdi út 173.
H-4914 Ligetkőrös"
"Dr. Veres Farkas Sára"	"Mártonnádasdi utca 95.
H-5022 Tamásidevecser"
"Dr. Magyar Dóra Edina"	"Hátváradi utca 172.
H-2414 Szigetszentmiklós"
"Fábiánné Nagy Erzsébet Eszter"	"Drávatamásii utca 9.
H-6178 Szenthátnémeti"
"Kovács Gergőné Farkas Fanni"	"Hídváradi utca 203.
H-8394 Vég"
"Illés Rolandné"	"Ady endre utca 188.
H-1918 Bakonygyörgykövesd"
"Rácz A. Árpád"	"Békéstapolcai utca 81.
H-4375 Kaposvár"
"Balázsné Dr. Vörös Katalin"	"Györgyfalui utca 113.
H-9543 Eger"
"Dr. Pásztor Jánosné"	"Somogymártoni utca 209.
H-4536 Hátapáti"
"Tóth N. András"	"Mellékharasztii utca 199.
H-8228 Kistapolcavég"
"Simonné Szabó Éva"	"Ady endre utca 125.
H-7372 Kunváros"
"Dr. A. Nagy Éva"	"Nyékháti utca 167.
H-4239 Borsodtamásihalas"
"Nagyné Dr. Szücs Andrea"	"Mezőtamásii tér 51.
H-7611 Székapáti"
"Dr. Biró Jánosné"	"Mezőtapolcai utca 91.
H-8584 Ózd"
"Kovács Gézané Horváth Ildikó"	"Tiszahídi utca 197.
H-4636 Fürdőbánya"
"Dr. Fodor Erzsébet Rozália"	"Bakonyszéki tér 106.
H-9814 Fürdőkövesd"
"B. Varga Nándor"	"Újkereszti utca 109.
H-9717 Győr"
"Kiss Erzsébet Edina"	"Veszprémi utca 120.
H-1328 Belsőfürdőberény"
"A. Varga Anna"	"Mártonfalui út 94.
H-5520 Hetvenkőrös"
"Dr. Vincze Benjámin József"	"Hátapátii utca 155.
H-8153 Kaposvár"
"Szalainé Dr. Kozma Klára"	"Petőfi utca 182.
H-3027 Kereszthida"
"Némethné Kovács Erzsébet"	"Borsodtamásii utca 249.
H-2543 Fürdőharaszti"
"Némethné Prof. Dr. Kovács Margit Éva"	"Szentszéki utca 10.
H-8561 Békéscsaba"
"Tamás Gábor József"	"Hetvenberényi utca 67.
H-3727 Mártonfalva"
"Kovács H. Jolán"	"Mindszentváradi út 42.
H-9260 Fürdőharaszti"
"Dr. L. Balog Emil"	"Györgyapátii utca 201.
H-8539 Szombathely"
"Juhász Balogh István"	"Kossuth utca 136.
H-6295 Felsőtamásibánya"
"Dr. Horváth L. Gyula"	"Szabadság tér 94.
H-8979 Budatapolcaváros"
"Dr. Kozma Ilona Hanna"	"Debreceni tér 37.
H-2850 Székapáti"
"Horváth Gergely"	"Somogytamásii út 31.
H-1731 Keresztbánya"
"Dr. Kovács Lajosné Horváth Éva"	"Petőfi sándor utca 43.
H-2782 Kaposvár"
"Nagy Varga Mihály"	"Nyírfürdői utca 31.
H-4825 Tamásivár"
"Takács Gergőné Kiss Judit"	"Petőfi utca 74.
H-9131 Hídkövesd"
"Dr. Szabó Mihályné Takács Viktória"	"Szabadság utca 145.
H-4730 Tamásikőrös"
"Kovács Hajdu Zsolt"	"Balatoni tér 194.
H-8815 Békésszékvár"
"Kiss Gábor Csongor"	"Petőfi sándor utca 97.
H-6635 Tapolcaapáti"
"M. Balogh Julianna"	"Dózsa györgy út 185.
H-5208 Tamásivég"
"Dr. H. Gáspár Krisztina"	"Lajostamásii tér 16.
H-7579 Mártonfa"
"Dr. Szabó A. Erzsébet"	"Budatamásii utca 91.
H-8778 Dunaújváros"
"Balogh P. József"	"József attila utca 6.
H-8919 Mártonfalu"
"Tóth József"	"Szabadság utca 239.
H-9694 Hajdútótdevecser"
"Tóth Farkas László"	"Hetvenházai utca 165.
H-8645 Tamásinémeti"
"M. Horváth Mária"	"Ligetbányai utca 104.
H-4836 Szolnok"
"Dr. Balázs Mariann Mónika"	"Béke utca 153.
H-8823 Sopron"
"Kovács Halász Tibor"	"Petőfi sándor utca 70.
H-9728 Mártonkövesd"
"Kovácsné Szilágyi Krisztina"	"Béke utca 79.
H-5506 Tótkőrös"
"Horváth Bence István"	"Szombathelyi utca 125.
H-8940 Salgótarján"
"Dr. Kissné Tóth Tímea"	"Mindszentkőrösi utca 39.
H-3967 Mártonberény"
"Horváth Nikoletta Éva"	"Miskolci utca 176.
H-4161 Nyékszékharaszti"
"Dr. Király Simon Kitti"	"Felsőkereszti utca 108.
H-8269 Mosonkeresztfalva"
"Vörös Szabó Tamás"	"Ady endre tér 17.
H-9077 Székesfehérvár"
"Dr. Veres Zoltánné Major Erzsébet"	"Salgótarjáni tér 15.
H-5591 Budapest"
"Molnár Gyula István"	"Petőfi sándor utca 152.
H-8925 Tiszanádasd"
"Deák R. Krisztina"	"Székkövesdi utca 75.
H-6020 Nyékligetfalu"
"Kovács I. Nóra"	"Veszprémi utca 6.
H-4068 Tótkőrös"
"Szűcs Biró Zsolt"	"József attila utca 15.
H-6717 Pécs"
"I. Tóth Zsuzsanna"	"Hetvenkőrösi utca 128.
H-1972 Budapest"
"Szabóné Barna Erika"	"Tatabányai utca 10.
H-8503 Békéscsaba"
"Dr. E. Horváth Noémi"	"Hátfalvai utca 200.
H-8767 Eger"
"Gulyás Ilona"	"Dózsa györgy utca 5.
H-2133 Budafürdőkövesd"
"Molnár Sára Adrienn"	"Petőfi sándor tér 246.
H-8143 Szeged"
"Lengyel I. Melinda"	"Hídvárosi utca 122.
H-9971 Kaposvár"
"Lakatosné Szekeres Annamária"	"Ady endre utca 175.
H-3379 Mellékfa"
"Budai F. Mihály"	"Dunakeszii tér 223.
H-5304 Egyházasmártonfalu"
"Kovács I. Éva"	"Balatoni út 8.
H-4189 Tapolcahalas"
"Molnár Luca Erzsébet"	"Kaposvári utca 3.
H-8772 Mellékbánya"
"Dr. Papp Henrietta"	"Mosonháti út 163.
H-1391 Mártonhalas"
"Somogyi E. Mária"	"Mátrahídi utca 143.
H-1949 Mezőgyörgynémeti"
"Nagy Jánosné"	"Kaposvári út 164.
H-4332 Mártonnádasd"
"Dr. Szabó Istvánné Mészáros Julianna"	"Szabadság utca 5.
H-7532 Szentmindszentkövesd"
"Dr. Török Márton"	"Kossuth utca 43.
H-6760 Törökkeresztváros"
"Tóthné Kovács Gabriella Erzsébet"	"Bajai tér 173.
H-1281 Nagykanizsa"
"Vinczené Dr. Kis Ilona Mária"	"Kecskeméti utca 23.
H-3201 Szerbgyörgyberény"
"Molnár Klaudia Gabriella"	"Tiszatamásii utca 216.
H-9740 Keresztnémeti"
"Kovács I. Éva"	"Béke utca 73.
H-4064 Háza"
"Dr. E. Kocsis János"	"Mosonmelléki út 57.
H-7498 Kunháthalas"
"Dr. G. Sándor Benedek"	"Falui utca 83.
H-7847 Somogyhetvenvég"
"G. Jakab Szilvia"	"Györgyfai utca 104.
H-7500 Borsodfa"
"Németh Bence"	"Arany jános utca 102.
H-3510 Oroszhátfalva"
"Némethné Nagy Erzsébet"	"Egyházashídi utca 173.
H-9287 Tiszahídkövesd"
"Kerekes Sándor"	"József attila utca 214.
H-9135 Dunaújváros"
"Vass Lajos Bence"	"Hajdúháti utca 171.
H-6372 Tamásiharaszti"
"Szilágyi Juhász Árpád"	"Tiszamártoni út 15.
H-9240 Vác"
"Molnárné Dr. Farkas Róza"	"Ceglédi utca 21.
H-8315 Érd"
"Kovács Ilona"	"Dunaújvárosi utca 58.
H-3459 Eger"
"Dr. R. Nagy Mária"	"Arany jános utca 63.
H-8630 Miskolc"
"Dr. Borbély J. András"	"Váci út 177.
H-8854 Dunaújváros"
"Dr. Varga L. János"	"Pilishídi utca 18.
H-7468 Békéscsaba"
"Mészáros Virág"	"Mindszentnémetii utca 166.
H-3983 Hátdevecser"
"Simon Varga Szabolcs"	"Szegedi tér 57.
H-6532 Nyékmellékharaszti"
"Dr. S. Horváth Imre"	"Hetvenváradi utca 56.
H-5005 Németi"
"Dr. Nagyné Gáspár Andrea"	"Petőfi utca 224.
H-1496 Mellékháza"
"Szabó Tamás István"	"Veszprémi utca 9.
H-7891 Cegléd"
"Balogh Benjáminné Vass Katalin"	"Szigetszentmiklósi utca 146.
H-6639 Tamásifalu"
"Kovács Irén Erzsébet"	"Petőfi sándor utca 154.
H-5694 Györgyháza"
"Dr. Németh Tóth Mária"	"Hajdúháti utca 221.
H-9209 Székbánya"
"Kis R. Máté"	"Hódmezővásárhelyi utca 86.
H-3637 Budagyörgyvára"
"Tóthné László Ágnes"	"Somogygyörgyi utca 106.
H-8358 Pilistapolcavég"
"Vargané Horváth Bernadett"	"Pécsi utca 101.
H-6277 Hódmezővásárhely"
