"Adrian Ahmed","Mikkelsengjerdet 6, 6404 Tobiashamn" 
"Kjersti Tveit","Nilsenstubben 1F, 2472 Monicahelle"
"Ingrid Kristoffersen","Andresenstien 6, 4164 Ruud"
"Cathrine Lunde","Bergeholtet 59, 9517 Perfjord"
"Else Karlsen","Edvardsenberget 567, 6549 Aas"
"Christian Lund","Engenflata 6, 6009 Fredriksen"
"Tom-Gunnar Knudsen","Mikkelsenrøa 316, 2833 Annfoss"
"Synnøve Paulsen","Evensenskogen 58E, 9017 Lindavåg"
"Tove Helland","Solbergvika 4, 3020 Arnesen"
"Elin Solheim","Johnsenlia 42B, 5732 Solberg"
"Leif Madsen","Engensvingen 28, 1255 Åseodden"
"Kjersti-Nora Knutsen","Hellandsvingen 35, 1160 Kimdal"
"Torbjørn Holm","Nilsenvollen 618, 7256 Isaksen"
"Ellen Mathisen","Tveitholtet 8, 4550 Ahmed"
"Gro Halvorsen","Rønningvollen 99, 6871 Tveit"
"Prof. Karl Eriksen","Arnesenringen 12, 1873 Geirnes"
"Tom Edvardsen","Sandvikroa 62, 2408 Haugen"
"Pål Dahl","Bergelunden 3D, 4220 Paulsen"
"Randi Holm","Svendsenfaret 7A, 4535 Sebastianbø"
"Marte Knudsen","Andresenlia 87B, 0919 Ingridnes"
"Arild Jørgensen","Amundsenjordet 396, 8771 Torestad"
"Kjetil Bakken","Jørgensengjerdet 1, 8297 Ali"
"Maren Berg","Knudsengropa 3, 7580 Pålsand"
"Astrid Andersen","Andersenvollen 41, 8008 Eivindvåg"
"Espen-Kenneth Amundsen","Jakobsenrøa 6, 2187 Ruud"
"Hilde-Lise Thorsen","Madsenjordet 1, 4635 Jennysund"
"Ola Ali","Jenssenholtet 9B, 8801 Marteodden"
"Kenneth Strøm","Mikkelsenstien 019, 5601 Kristiansen"
"Erling Nguyen","Vikstykket 21B, 4818 Siljegrunn"
"Eirik Henriksen","Amundsentunet 65, 6007 Hannehamn"
"Arne Strøm","Haugengropa 3, 7673 Perborg"
"Kjetil Bakken","Martinsenberget 6, 6567 Kåregrunn"
"Adrian Paulsen","Berntsentoppen 15, 3747 Haugen"
"Sigurd Berg","Kristensenstykket 9B, 9916 Vik"
"Emma-Malin Birkeland","Andersenplassen 8, 3723 Hansen"
"Petter Lunde","Christensenfaret 6, 5049 Eliassen"
"Rita-Ingrid Eliassen","Nygårdlunden 546, 6849 Solveigsand"
"Finn-Rolf Andersen","Kristoffersenåsen 857, 8351 Sofiehavn"
"Prof. Jan Ødegård","Næssåsen 84C, 2851 Bakke"
"Gunnar Tveit","Pettersenjordet 00, 2453 Arnesen"
"Prof. Frode Ali","Paulsenengen 4D, 9175 Toreøy"
"Kjetil Dahl","Bergfaret 2B, 4815 Ødegård"
"Kristian Gundersen","Moemoen 7B, 9228 Andreassen"
"Markus Hagen","Nilsenholtet 21, 7043 Bøe"
"Lene Antonsen","Arnesentunet 4, 4624 Mariavær"
"Ola-Dag Myhre","Andreassenstien 2, 7314 Moen"
"Sigrid Andresen","Kristensenbråten 072, 1762 Strand"
"Eirik Bakke","Nygårdgjerdet 95, 1214 Eirikberg"
"Marius Karlsen","Ahmedtoppen 3F, 5954 Moe"
"Arild Paulsen","Karlsensvingen 5, 1184 Ingridfjell"
"Maria Hagen","Johnsenalléen 1, 4239 Lund"
"Kjetil Hagen","Moenhagen 4E, 4054 Haug"
"Aud Hanssen","Mathisenekra 47, 5859 Olavås"
"Hilde Abrahamsen","Johnsensvingen 192, 6437 Ruud"
"Vidar Karlsen","Andersenløkka 6, 5621 Ruud"
"Thor Nguyen","Hansensvingen 7E, 1155 Sæther"
"Andrea Bakken","Iversenhavna 4D, 3357 Olsen"
"Tove Nielsen","Bergtunet 1, 5450 Pedersen"
"Thor Simonsen","Jakobsenløkka 9A, 0780 Nygård"
"Marte Hagen","Rønninglyngen 3, 0560 Pettersen"
"Rita Bakke","Rasmussenstranda 08, 7282 Ødegård"
"Kjetil Jenssen","Eidelunden 8, 0527 Andersborg"
"Henrik-Finn Madsen","Lundeskrenten 33, 1830 Ruud"
"Dr. Alf Lunde","Eliassenstykket 964, 3490 Johansen"
"Anette Helland","Edvardsenfaret 8, 2873 Christensen"
"Roar Sæther","Engentoppen 7, 7625 Vildefjell"
"Svein Moe","Aliskrenten 4, 2728 Mikkelsen"
"Karl Mikkelsen","Johnsenlia 26, 2714 Jørgensen"
"Anders Iversen","Hagenhavna 883, 5179 Svendsen"
"Ole-Jens Rasmussen","Strandstykket 877, 9636 Emiliefjell"
"Anita Ellingsen","Hauglandmyra 3B, 2885 Toveø"
"Kjetil Svendsen","Ødegårdkroken 3, 9586 Jonfoss"
"Jørgen Aasen","Evensenengen 1, 5775 Randiborg"
"Kirsten-Jorunn Olsen","Johansenhavna 97C, 8126 Andresen"
"Marius Fredriksen","Haugbakken 5H, 0350 Heidistad"
"Roger Engen","Lundetoppen 2, 6218 Hansen"
"Vilde Fredriksen","Kristensenmarka 3A, 5650 Jorunnstrand"
"Linda Martinsen","Danielsenspranget 417, 3867 Mettesjøen"
"Elisabeth-Sissel Nielsen","Aastoppen 72, 0577 Randidal"
"Ingeborg Martinsen","Aunestykket 50H, 3647 Camillagrunn"
"Ann Eriksen","Madsenåsen 82, 5990 Hegeeid"
"Kjetil-Magnus Larsen","Paulsenekra 29, 7627 Tangen"
"Geir Karlsen","Jenssenlunden 5, 7442 Dahl"
"Maren Berg","Henriksenmoen 13, 7627 Sindresand"
"Thea Eriksen","Henriksenspranget 24, 8056 Jensen"
"Jorunn Danielsen-Jørgensen","Jakobsenhaugen 7, 0086 Astridnes"
"Britt Isaksen","Nguyenstranda 6, 9601 Hanssen"
"Prof. Frode Ahmed","Haugenvollen 3, 0422 Myklebust"
"Kåre-Daniel Knutsen","Ellingsenalléen 51E, 5665 Moe"
"Egil Vik","Tveitlunden 555, 1225 Solheim"
"Tom Aas-Haugen","Johansenhavna 8, 1743 Ragnhildvær"
"Kjetil-Olav Dahl","Gulbrandsenbråten 7, 1328 Norafjell"
"Torill Isaksen","Liespranget 7, 0954 Emilgrunn"
"Thomas Karlsen","Jakobsenmyra 3, 6961 Martinsen"
"Håkon Henriksen","Rasmussenvika 90, 9906 Theabø"
"Nora-Gro Hansen","Hauggropa 32, 4496 Engen"
"Gunn Ahmed","Hagenplassen 74, 1768 Adrianås"
"Christian Haugen","Berntsenåsen 97A, 2401 Berge"
"Tommy Gulbrandsen","Bakkekroken 3, 4165 Magneø"
"Maren Antonsen","Kristiansenkollen 2, 6255 Greteodden"
"Reidun Berge","Brekkebråten 66E, 5442 Mettegrunn"
"Kjetil-Stig Eide","Ødegårdlyngen 9, 3817 Ruud"
"Sara Helland","Karlsenholtet 5, 6144 Bakken"
"Dr. Leif Eliassen","Danielsenbakken 91C, 4440 Myhre"
"Arne Pedersen-Knutsen","Lundegropa 9, 5258 Royberg"
"Sigurd Aasen","Aasenekra 99, 8961 Knutsen"
"Olav Thomassen","Engenflata 8C, 7619 Amundsen"
"Wenche Nygård","Sæthergrenda 2, 4830 Lailagrunn"
"Karoline Solheim","Tveitstranda 98, 1735 Jacobsen"
"Kjell Henriksen","Larsenvika 46, 1444 Larsen"
"Hilde Myhre","Strømtoppen 37F, 5923 Hagen"
"Kjetil-Øyvind Andersen","Johnsenalléen 52, 2052 Madsen"
"Solveig Lunde","Engenlunden 107, 7382 Sondrehamn"
"Øyvind Edvardsen","Solbergvollen 1G, 3069 Martinehamn"
"Sigurd Strøm","Andresenkollen 9, 3212 Mathiasvik"
"Helene Bøe-Ruud","Moenvollen 2, 6816 Henriksen"
"Ragnhild Jørgensen-Aasen","Hansenstubben 2A, 1090 Halvorsen"
"Åse Tveit","Svendsenholtet 38G, 2010 Eriksen"
"Stine Hansen-Mikkelsen","Tangenholtet 6, 1573 Ali"
"Roy Antonsen","Tangenhavna 5, 4703 Sverreeid"
"Kirsten Eide","Andreassengrenda 5G, 9603 Sandervær"
"Knut Gundersen","Knutsenbakken 7C, 4762 Larsen"
"Kjersti Solberg","Knudsenskrenten 1, 3690 Gunnarsand"
"Silje Henriksen","Lienmyra 88B, 7046 Ingerhavn"
"Emma Sandvik","Kristoffersenvollen 7C, 5339 Mikkelsen"
"Stian Andreassen","Jacobsenvika 34C, 8040 Sæther"
"Prof. Karl Simonsen","Næsshøgda 9, 8167 Næss"
"Inger Berg","Myklebustrøa 13, 1880 Hanssen"
"Eva Haugland","Nygårdvika 28, 8939 Thorsen"
"Thea Hauge","Ahmedsvingen 66, 2202 Elsehavn"
"Emma Haugland","Eriksenbakken 98, 2047 Knutsen"
"Knut-Johan Berntsen","Nygårdkroken 485, 5534 Gundersen"
"Martine Madsen","Simonsenberget 8, 1988 Eliassen"
"Else Pettersen","Pettersenrøa 2, 8791 Leifborg"
"Marte Vik","Bergeflata 72, 5779 Karlvik"
"Frank Mathisen","Pettersenmoen 6C, 5273 Hansen"
"Tore Bakken","Berntsenroa 51, 4719 Haraldø"
"Bjørg Eide","Andreassenhaugen 81, 1038 Mikkelsen"
"Janne Haugland","Vikskrenten 65, 4885 Heidiøy"
"Else Bøe","Thomassenlia 8, 8456 Iversen"
"Ruth Simonsen-Haug","Madsenhagen 2, 5640 Kristiansjøen"
"Knut-Kim Abrahamsen","Hagenberget 43, 9985 Sivertsen"
"Grethe Moe","Haughagen 2E, 5446 Abrahamsen"
"Aud Eide-Rasmussen","Paulsenstykket 024, 5275 Bjørnstrand"
"Karl Berg","Jensenfaret 30, 0224 Edvardsen"
"Line Myklebust","Holmspranget 1, 3099 Sørensen"
"Steinar-Alexander Jacobsen","Aunestranda 4B, 6086 Hansen"
"Thomas Haug","Pedersengjerdet 2, 6700 Gundersen"
"Aud Eide","Christensenberget 7H, 6449 Isaksen"
"Kristian Sivertsen","Henriksenskrenten 5, 4870 Beritvik"
"Espen Pedersen","Aasringen 15, 6083 Frodestrand"
"Knut-Sigurd Kristensen","Kristoffersenalléen 093, 1004 Eriksen"
"Vilde Fredriksen-Næss","Brekkeåsen 7, 5601 Helgestad"
"Adrian Jørgensen","Auneåsen 6, 2261 Tommyfoss"
"Sara-Lise Moe","Bergeskrenten 49, 4768 Svendsen"
"Randi Jakobsen","Berntsengropa 1, 2042 Eriksen"
"Stein-Arne Moen","Brekkemarka 3, 6314 Haug"
"Adrian Isaksen","Iversenstykket 2, 5168 Simendal"
"Eva Simonsen","Iversenringen 6C, 6253 Tovefjord"
"Pål Gulbrandsen","Aunelia 147, 7502 Synnøvestrøm"
"Ida Lund","Abrahamsenlunden 26B, 8778 Knudsen"
"Knut-Steinar Ellingsen","Andersenhøgda 477, 6148 Sverreberg"
"Harald Ødegård-Sæther","Iversenberget 4C, 2545 Øysteinhavn"
"Linda Berg","Martinsenringen 7, 4010 Finnstrand"
"Ole Berntsen","Jensenhaugen 11, 1520 Kjellmark"
"Markus Strøm-Solberg","Mathisenstubben 805, 0335 Thorsen"
"Stig Jakobsen","Johnsenvika 71, 2831 Pettersen"
"Marie Kristoffersen","Haugenstranda 6D, 0007 Jannefjell"
"Anita Henriksen-Myhre","Birkelandstubben 18, 4469 Trinevåg"
"Erling Eliassen","Paulsenskogen 686, 7443 Fredriksen"
"Irene Kristiansen","Iversenløkka 4, 5558 Sindreodden"
"Kristian Bøe","Halvorsenbråten 28, 8459 Johnsen"
"Monica Haugland","Thorsenalléen 2G, 1139 Synnøvestad"
"Asbjørn Tveit","Rønningmarka 42, 0164 Hannabø"
"Maren-Britt Mikkelsen","Myklebustlyngen 8, 1291 Marenvær"
"Marianne Lund","Nguyenrøa 83, 3061 Andersodden"
"Aud Berg","Andreassenhavna 8B, 4054 Terjefjell"
"Stian Svendsen","Hauglandjordet 3, 7715 Olavsjøen"
"Prof. Hans Madsen","Jakobsenskrenten 7D, 3358 Christensen"
"Eirik Solheim","Ahmedengen 35, 5031 Sørensen"
"Elisabeth Hauge","Alitoppen 60, 6824 Haugen"
"Kristian Eide","Ahmedskogen 8, 3246 Nilsen"
"Synnøve Johansen","Auneroa 7, 5443 Olsen"
"Alexander Kristiansen","Lundåsen 07, 1495 Edvardsen"
"Thea Hansen","Thorsenberget 5D, 9450 Trineborg"
"Stig-Martin Jakobsen","Kristensenringen 14A, 6703 Livsjøen"
"Thor Mathisen","Martinsenjordet 4, 9849 Abrahamsen"
"Linn-Sofie Bakke","Paulsenhøgda 2, 2353 Iversen"
"Silje Fredriksen","Andreassenkroken 80, 3918 Marenstrøm"
"Dr. Torbjørn Bakken","Dahlgata 437, 5521 Perhelle"
"Karin Pedersen-Myhre","Fredriksenhøgda 8, 8838 Simonsen"
"Kristian Gundersen","Haugstien 1, 1013 Kristofferstrøm"
"Jonas Ruud-Paulsen","Bergekroken 41, 0900 Cathrinebø"
"Bente Halvorsen","Berntsenåsen 109, 3423 Tonjehamn"
"Petter Pettersen","Olsenåsen 67, 8256 Bjørgås"
"Thor Thomassen-Andresen","Nygårdroa 81, 3308 Henriksen"
"Martine Andreassen-Haug","Sivertsenvollen 1, 0863 Abrahamsen"
"Joakim-Sverre Johannessen","Bakkespranget 2, 8075 Nielsen"
"Kåre Berg","Jenssenalléen 1, 0978 Aasen"
"Line Simonsen","Petterseneggen 66, 2230 Bakken"
"Sigrid Bøe","Karlsenkollen 5, 6528 Andreasbø"
"Kristian Helland","Gulbrandsenåsen 5F, 9887 Berg"
"Bjørn Haug-Christensen","Sivertsentoppen 3, 1275 Anettefoss"
"Ole Ali","Abrahamsenengen 67, 4394 Sisselgrunn"
"Harald Henriksen","Lundebråten 56F, 2701 Ingeborghavn"
"Jens Paulsen","Engentoppen 7E, 6268 Adrianby"
"Trine Nguyen","Hellandflata 73, 6495 Madsen"
"Jan Olsen","Ellingsenløkka 987, 8149 Elivik"
"Einar Haug","Bergejordet 9, 1066 Berntsen"
"Marie Knudsen","Johannessenstubben 40, 8057 Iversen"
"Prof. Erling Henriksen","Nilsenhavna 330, 6703 Siljesjøen"
"Kristian Solberg","Kristensengata 8, 8315 Aune"
"Torbjørn-Thomas Ahmed","Thorsenberget 44C, 5581 Andreassen"
"Knut Engen","Ruudmarka 6, 9653 Andreassen"
"Ole Knutsen","Sørensenstubben 687, 0570 Henriksen"
"Stig Haug","Jakobsenkollen 598, 6739 Alexanderfjord"
"Steinar Aune","Haugevollen 880, 8042 Roystrøm"
"Markus-Joakim Johannessen","Pedersenholtet 118, 3630 Edvardsen"
"Einar-Øyvind Rasmussen","Myklebustjordet 1D, 2575 Amundsen"
"Hanne Haug","Strandtunet 67, 3047 Ingeborgsjøen"
"Anna Evensen","Eidejordet 1, 5227 Olaby"
"Kristian Tangen","Jørgensenekra 3G, 8260 Einardal"
"Martine Martinsen","Myhremoen 41, 4254 Moen"
"Tove Moe","Madsenbakken 55, 2667 Edvardsen"
"Eva-Hanna Brekke","Myklebustgrenda 1, 0006 Ahmed"
"Sindre Pedersen","Nygårdmoen 3A, 7653 Haugland"
"Knut Tangen","Jenssentunet 70D, 1616 Kristianvær"
"Tor Myhre","Aasholtet 7, 4166 Haraldhamn"
"Rune Solberg-Ruud","Danielsentoppen 91, 1828 Olsen"
"Mari Karlsen-Andresen","Tangenekra 76A, 2311 Christianodden"
"Øystein-Arne Bakken","Moenringen 3, 6602 Strøm"
"Kristian-Karl Bøe","Evensenstien 7, 1780 Danielsen"
"Randi Hagen","Nilsenalléen 69, 5693 Berge"
"Adrian Gulbrandsen","Engentunet 17, 5302 Bjørnås"
"Sindre Olsen","Strandmyra 5, 1620 Ruud"
"Dag Haug","Nielsentjernet 02, 2071 Gretehavn"
"Øyvind Moe","Berntsenholtet 75, 7050 Tangen"
"Johannes Antonsen","Strømfaret 6, 4058 Steinarsund"
"Jenny Ellingsen-Bakken","Kristoffersenhaugen 94A, 6089 Edvardsen"
"Mari Gulbrandsen","Sandviktunet 5, 3156 Vik"
"Anders Bøe","Lundemyra 33, 0205 Ruthbø"
"Kristin Ali","Ellingsenbakken 60, 7931 Espenhavn"
"Ann Strøm","Iversenmoen 6, 8967 Rolfvik"
"Sindre Strand","Amundsenstranda 3, 2919 Andersen"
"Siv Haug","Lienlyngen 8, 4919 Vik"
"Magne Martinsen","Edvardsenekra 6, 9767 Holm"
"Christian Jensen","Madsenstien 965, 6180 Brittmark"
"Jon-Alf Rasmussen","Hellandplassen 4, 3957 Unniborg"
"Kristin-Synnøve Larsen","Aaseneggen 3, 7183 Solveigmark"
"Jenny-Thea Brekke","Eideløkka 6A, 2610 Kjerstihamn"
"Andreas Antonsen","Thomassengata 89, 4863 Ellingsen"
"Kristin Ellingsen","Simonsenspranget 2, 5496 Stiansjøen"
"Erik Karlsen","Lienstykket 5, 3254 Bakken"
"Pål Abrahamsen","Eliassenroa 22, 2791 Tommystrøm"
"Jan Haugland","Nielsenskrenten 4, 3071 Moe"
"Kristoffer Jacobsen","Jenssentunet 7, 5808 Solberg"
"Andrea Myklebust","Sandvikbakken 4, 6224 Johansjøen"
"Vegard Dahl-Bakke","Aunehaugen 56, 1680 Beritfjell"
"Marius Edvardsen","Thomassenvika 3C, 7251 Moe"
"Cecilie Eide","Amundsenskogen 56, 9222 Brekke"
"Anders-Anders Nielsen","Strømhøgda 83, 5370 Haugland"
"Kristin Eriksen-Hauge","Sørensenlyngen 3C, 7651 Heidisjøen"
"Kari Larsen","Lundholtet 801, 9612 Lie"
"Tone Hanssen","Pettersenhavna 34, 7189 Lindasjøen"
"Helge Jacobsen","Tveitlia 5, 4986 Gerdvær"
"Leif Lie","Sætherhøgda 654, 9320 Sæther"
"Geir-Johannes Amundsen","Myklebusttjernet 7, 9542 Mathisen"
"Sissel Tveit","Andresenholtet 658, 0844 Terjevik"
"Ruth Kristoffersen","Nguyenlyngen 3, 7433 Groborg"
"Gunn Halvorsen","Berglyngen 5C, 3930 Hannasjøen"
"Arne Aasen","Strømmyra 39B, 1468 Lunde"
"Kristin Henriksen","Solberglia 42, 0068 Maritsand"
"Jenny Danielsen-Kristensen","Knutsenkroken 279, 7928 Sirisund"
"Kjetil Haugen","Gulbrandsenlia 05, 1789 Terjeborg"
"Else Jacobsen-Johansen","Thomassengrenda 45, 8871 Gerdhamn"
"Lise Helland","Pedersenflata 2, 7712 Johansen"
"Tonje Danielsen","Bergekollen 47, 9044 Thorsen"
"Nils Ellingsen","Martinsenplassen 3, 7316 Vegardeid"
"Kari Knutsen","Eliassenløkka 2, 2446 Elisabethsand"
"Frank Pettersen","Johnsengropa 58F, 7798 Kristianfjord"
"Liv Nygård","Nielsentjernet 38, 4981 Runevåg"
"Kristin Lie","Jensenhagen 34, 0279 Cathrinesjøen"
"Adrian-Johannes Rasmussen","Tveitkollen 2, 2162 Grethehavn"
"Kjell Fredriksen","Bøeskogen 4, 3443 Fredriksen"
"Eirik Tangen-Eriksen","Nielsenløkka 9, 3480 Simonsen"
"Prof. Egil Dahl","Andreassenlyngen 56, 0726 Kimhavn"
"Gerd Holm","Hansenalléen 6, 6353 Malinhamn"
"Rolf Henriksen","Myhrehøgda 9, 4547 Fredriksen"
"Anette-Monica Fredriksen","Antonsenlyngen 7, 9031 Lund"
"Randi-Hilde Amundsen","Holmgjerdet 081, 6308 Hanssen"
"Emil Paulsen","Antonsenlia 4D, 5994 Magnemark"
"Kristin Lunde","Bakkeflata 86, 7203 Juliesjøen"
"Marte Johansen","Eriksensvingen 3, 9115 Kjellsund"
"Ivar Gundersen","Olsenstien 9, 5807 Bentestrand"
"Vidar Sørensen","Pettersentoppen 2, 3084 Christensen"
"Adrian Helland","Brekkegrenda 63, 6123 Johansen"
"Egil-Lars Mathisen","Evensengata 1, 3939 Lien"
"Jonas Lien","Haugetunet 280, 9662 Oleby"
"Sondre Rønning","Haugengrenda 998, 3236 Rønning"
"Else Abrahamsen","Solberghavna 24, 9566 Johansen"
"Roy Engen","Nilsenroa 88A, 1828 Nguyen"
"Kristin Solheim","Kristensenekra 609, 9317 Eriksen"
"Kjetil Haugland","Ahmedalléen 483, 3735 Nygård"
"Sofie Kristoffersen-Lien","Bøegata 3G, 1209 Lien"
"Jørgen Aune-Moe","Myhrestien 83, 5919 Ali"
"Rolf Hauge","Abrahamsenrøa 65, 4018 Nilsgrunn"
"Martin Ellingsen","Solheimholtet 3H, 6532 Jørgensen"
"Ingrid-Andrea Haug","Hauglandgata 07, 0537 Roarborg"
"Maren Berntsen","Liengropa 31, 0347 Cecilievær"
"Trond Simonsen","Myklebustsvingen 2, 8928 Audnes"
"Prof. Morten Berg","Aasmarka 352, 8418 Hagen"
"Kristin Sæther","Knudsenvika 98, 8047 Andreasfjell"
"Bjørg-Marie Engen","Abrahamsenjordet 61, 3868 Marenfoss"
"Sondre Vik","Ruudgata 492, 2069 Jenssen"
"Vidar Nielsen","Hanssenbråten 6, 3460 Ivarfjell"
"Anita Knudsen","Paulsenstien 2, 4949 Ruud"
"Sissel Berge","Hellandvollen 717, 6731 Jonasås"
"Elisabeth Larsen","Nielsenskogen 88B, 8861 Ellingsen"
"Hanne-Sara Sivertsen","Tveithavna 9, 3953 Cathrinefjord"
"Arne Edvardsen","Myklebustspranget 7B, 2668 Steinarfoss"
"Odd Solheim-Solberg","Bakkenhaugen 08, 1550 Evensen"
"Kristin-Berit Sivertsen","Nielsenhagen 8, 4025 Markusstrand"
"Karl Arnesen","Mathisengata 29, 4656 Kimvær"
"Daniel Bakke","Thomassenmoen 01, 5840 Bakke"
"Ragnhild Rønning-Aune","Hansensvingen 84, 7242 Torefjell"
"Einar-Kåre Aune","Johnsenåsen 71C, 1699 Theavær"
"Tommy Aas","Knudsenalléen 6H, 9023 Andresen"
"Henrik Aune","Sætherstykket 75, 5417 Abrahamsen"
"Grethe Moe","Holmfaret 3, 0079 Thorhelle"
"Ellen Aasen","Thorsentjernet 1, 0011 Ødegård"
"Steinar-Kristian Iversen","Halvorsentoppen 96, 9438 Evensen"
"Kristin-Lene Hansen","Haugebakken 8, 8308 Ingridgrunn"
"Anita Johannessen","Solheimlunden 9, 4762 Fredriksen"
"Tommy Eide","Solbergkollen 2, 9334 Solberg"
"Arild Paulsen","Næssplassen 4, 2710 Joakimhelle"
"Odd Knudsen","Viksvingen 142, 8181 Henrikby"
"Prof. Ole Aasen","Lundengen 6, 1708 Gunnvær"
"Gunnar Svendsen-Edvardsen","Lienrøa 10, 9349 Ruthmark"
"Line Aas","Sandviklyngen 9, 9773 Steinodden"
"Simen Karlsen","Knutsenmyra 57, 5517 Næss"
"Per-Mathias Birkeland","Eriksenmarka 32, 8293 Marifjord"
"Kristin-Nora Gulbrandsen","Olsenskogen 28, 0612 Danielsen"
"Sara Andreassen","Edvardsenåsen 378, 8433 Reidunvåg"
"Jørgen Pettersen","Alirøa 397, 5981 Martestad"
"Jorunn Mikkelsen","Bøeskogen 24A, 1057 Bakke"
"Nils Svendsen","Kristiansenhavna 5, 1512 Lien"
"Mathias Ali-Mikkelsen","Lienstubben 8A, 2487 Kristiansen"
"Kristoffer Evensen","Sætherflata 9, 0593 Jørgenfjell"
"Robert Berg","Næsstjernet 79, 0216 Torbjørnsund"
"Tove Kristoffersen","Paulsengrenda 3, 3817 Nygård"
"Asbjørn Rasmussen","Tveitlyngen 3D, 1453 Nilsen"
"Kristine Aas","Isaksenhaugen 63B, 9668 Hegegrunn"
"Cecilie Evensen-Olsen","Johansentunet 22, 5299 Ruud"
"Dr. Olav Jacobsen","Nielsenlia 9, 4764 Lien"
"Turid Bakken","Myhretoppen 2B, 4929 Lund"
"Sara Holm","Haugemyra 1, 9190 Tonestrøm"
"Camilla Kristensen","Pedersenbakken 553, 2103 Mathisen"
"Kristian Myhre","Hagenringen 5, 3427 Berge"
"Anna Hanssen","Jenssenhaugen 3C, 6220 Ali"
"Anette Kristoffersen","Lundalléen 6, 6478 Fredriksen"
"Johannes Hansen","Iversenhagen 9, 2345 Haugland"
"Kristine Ali","Engenstien 6, 8555 Martinhamn"
"Torbjørn-Anders Berntsen","Antonsenroa 98D, 9366 Moen"
"Aud Hagen","Solbergfaret 20C, 0221 Bakken"
"Trond Tangen","Nygårdholtet 05, 5747 Rasmussen"
"Laila Johannessen","Sørensenhavna 2E, 9213 Madsen"
"Fredrik-Johannes Edvardsen","Nilsenhavna 7, 8837 Idahelle"
"Karoline Aasen","Andreassengjerdet 235, 6982 Hagen"
"Else Danielsen","Eliassenløkka 76, 1799 Bøe"
"Bjørn-Sverre Birkeland","Dahlgata 2, 6524 Elines"
"Elise Hansen","Tangenkroken 1, 3410 Permark"
"Kristine Andresen","Johansenhagen 77, 6497 Pedersen"
"Thor Lunde","Christensenskrenten 2, 8884 Lailastrand"
"Tom Moen","Thomassenåsen 9H, 0327 Theastrøm"
"Hanna Holm","Paulsenhøgda 9A, 9732 Cecilieodden"
"Elise Andersen","Sørensenmyra 83, 8551 Eriksen"
"Magnus Tangen","Arnesenlia 885, 5558 Christianfjord"
"Ingeborg-Gro Pedersen","Brekketoppen 5B, 5216 Ahmed"
"Helge Berge-Lien","Kristoffersentoppen 857, 9947 Andersfjell"
"Gro Gulbrandsen-Thorsen","Myklebuståsen 9, 1277 Simonsen"
"Hege Knutsen","Mathisenfaret 43, 2556 Halvorsen"
"Kristine Gundersen","Nguyengata 57, 8491 Ingeborgnes"
"Kirsten-Hege Martinsen","Hagentoppen 7C, 3971 Elimark"
"Britt-Elise Kristensen","Rasmussenstubben 90, 4489 Arnesen"
"Inger Christensen","Jørgensenringen 8, 3463 Lien"
"Leif Holm","Larsenåsen 1, 9853 Berge"
"Øystein Lunde","Simonsenbråten 71B, 8506 Hanssen"
"Bjørg Hansen","Solbergringen 17, 3519 Erlingås"
"Torbjørn Rønning","Myklebustholtet 397, 0245 Haug"
"Unni-Nina Edvardsen","Lundmyra 5, 6154 Ingeborgvåg"
"Turid Pettersen","Martinsengrenda 7, 9751 Kristineby"
"Kristine Halvorsen","Kristiansenflata 9, 2687 Andresen"
"Torill Eliassen","Pettersengjerdet 92, 2732 Solheim"
"Ivar Berg","Solbergløkka 3, 7014 Evensen"
"Vilde Lien","Lienplassen 81, 6415 Christensen"
"Anita Helland","Lundmyra 51, 6761 Tveit"
"Frode Lund","Myklebuststubben 99H, 2776 Solveigfjell"
"Gerd Sivertsen","Jørgensengropa 138, 4037 Ingeborggrunn"
"Kristine Sivertsen","Strandrøa 8, 2661 Jacobsen"
"Thomas-Finn Haugen","Moenroa 50, 8828 Rogerborg"
"Aud Knudsen","Myhrealléen 1, 2881 Ninaberg"
"Kristine Hansen","Aasenflata 12A, 2192 Strøm"
"Tommy-Gunnar Sivertsen","Mikkelsenlia 9, 6232 Hannaø"
"Sindre Ellingsen","Eriksenmyra 7, 0156 Johannessen"
"Marius Henriksen","Paulsenspranget 1, 9670 Jakobsen"
"Tor Strand","Hellandhagen 8, 6492 Aune"
"Grete Isaksen-Johnsen","Birkelandbakken 5, 9409 Helgestrand"
"Karl Halvorsen","Larsengjerdet 23, 1518 Larsen"
"Robert-Ivar Karlsen","Abrahamsenkollen 9, 5415 Næss"
"Dr. Finn Nilsen","Kristiansengjerdet 78, 4410 Thorsen"
"Synnøve Holm","Jensenskogen 339, 0539 Jonasmark"
"Kristine Jacobsen","Isakseneggen 6, 5858 Berge"
"Julie Aune","Andersenmarka 00A, 2827 Nygård"
"Ann Abrahamsen","Sivertsenrøa 41, 0165 Nguyen"
"Thomas Haugland-Arnesen","Liestykket 8, 1102 Jakobsen"
"Kåre Solheim","Bergåsen 07, 2405 Rasmussen"
"Sigurd Ahmed","Pedersenringen 59, 5896 Rolfhamn"
"Terje-Erling Bakken","Sivertsenstien 62B, 0924 Karenhelle"
"Henrik Eriksen","Hellandgrenda 3, 6756 Markushavn"
"Mette Tangen","Nguyenstubben 3, 9208 Simenfoss"
"Kari Amundsen","Antonsenekra 69, 7845 Ireneeid"
