"Aaron Svensson"	"Storvägen 011
22772 Göteborg" 
"Ahmed Björklund"	"Ekvägen 9
68612 Umeå"
"Leif Linder"	"Idrottsvägen 707
94122 Uddevalla"
"Lisa Jonsson"	"Idrottstorget 907
86728 Karlstad"
"Mustafa Öberg"	"Grantorget 8
23183 Örnsköldsvik"
"Elton Hansen"	"Ängsvägen 3
38208 Landskrona"
"Lars Hellström"	"Kyrkostigen 56
12141 Umeå"
"Göran Grahn"	"Storstigen 126
55413 Trelleborg"
"Hannele Sjögren Halvarsson"	"Grangränd 0
35757 Östersund"
"Isak Samuelsson"	"Strandgränd 49
93723 Nyköping"
"Anders Bengtsson Nilsson"	"Ängsgatan 46
74324 Gävle"
"Göran Wilhelmsson Åström"	"Skolstigen 666
43953 Karlskrona"
"Ester Samuelsson"	"Parkgränd 004
71708 Borlänge"
"Veronica Wall"	"Ringvägen 6
70673 Uddevalla"
"Hans Mårtensson"	"Strandgränd 0
36013 Lund"
"Lise-Lotte Engman"	"Nyvägen 660
70426 Lidingö"
"Lars Issa"	"Ektorget 3
88466 Göteborg"
"Ingrid Gustavsson"	"Grangatan 959
71224 Trollhättan"
"Anna Persson"	"Gengatan 2
53776 Karlstad"
"Elisabet Salomonsson"	"Strandstigen 0
54981 Karlskrona"
"Börje Palmgren Åkesson"	"Industrigatan 4
87244 Varberg"
"Margit Johnsson"	"Nyvägen 416
37493 Landskrona"
"Ann-Kristin Bergström"	"Björkvägen 52
85216 Trollhättan"
"Christina Ahmed Berg"	"Industrigatan 7
56969 Karlskrona"
"John Brodin"	"Storgatan 128
60703 Varberg"
"Ali Nord"	"Järnvägstorget 67
75755 Halmstad"
"Lars Johansson"	"Industrigatan 6
82188 Varberg"
"Theo Westerlund-Isaksson"	"Kyrktorget 9
56682 Örebro"
"Christina Jakobsson"	"Ringstigen 54
92357 Lidingö"
"Josefin Svensson"	"Aspvägen 992
13046 Karlstad"
"Anna Höglund"	"Ringgatan 591
54367 Norrköping"
"Jessica Karlsson-Hansen"	"Skogsgränd 644
60440 Växjö"
"Folke Karlsson"	"Kyrkovägen 7
58205 Trelleborg"
"Elisabeth Sandin"	"Aspvägen 68
93874 Trollhättan"
"Karl Larsen"	"Kyrkstigen 230
98760 Växjö"
"Börje Karlsson"	"Ängsvägen 05
53893 Uppsala"
"Lars Karlsson"	"Backgränd 02
55864 Eskilstuna"
"Joakim Johansson"	"Gengatan 787
73683 Skövde"
"Yvonne Nilsson"	"Gentorget 597
85366 Göteborg"
"Kristoffer Åberg"	"Parkstigen 217
69426 Karlskrona"
"Maria Karlsson"	"Villastigen 06
89195 Örnsköldsvik"
"Elin Johansson"	"Backtorget 33
59124 Örebro"
"Johan Lindén"	"Ringtorget 50
91862 Jönköping"
"Lena Eriksson"	"Åkergatan 536
36114 Skövde"
"Mimmi Sandberg"	"Nyvägen 755
64847 Nyköping"
"Monica Falk"	"Åkertorget 5
59974 Kalmar"
"Lars Karlsson"	"Järnvägsvägen 6
35520 Skellefteå"
"Elisabeth Sundström"	"Granvägen 280
83787 Linköping"
"Göran Nilsson Karlsson"	"Trädgårdsstigen 6
41816 Luleå"
"Christian Magnusson"	"Åkergränd 877
94110 Umeå"
"Jamal Farah-Alfredsson"	"Industrivägen 9
60107 Mölndal"
"Pontus Strömberg Persson"	"Ringgatan 9
56655 Växjö"
"Rolf Wahlström"	"Parktorget 371
47763 Landskrona"
"Vilhelm Nilsson"	"Strandgatan 16
69753 Örebro"
"Margareta Lindell"	"Backstigen 3
68047 Örnsköldsvik"
"Håkan Karlsson"	"Parkgatan 155
17970 Uddevalla"
"Lars Larsson"	"Björkgatan 6
95431 Umeå"
"Marie Karlsson"	"Trädgårdstorget 71
50074 Piteå"
"Elliot Carlberg"	"Ängstorget 159
35463 Lund"
"Elsa Nilsson"	"Järnvägsgatan 25
24560 Södertälje"
"John Nilsson"	"Björktorget 49
34723 Lidingö"
"Julia Karlsson"	"Nygatan 6
15692 Stockholm"
"Victoria Jonsson"	"Industrivägen 17
57474 Nyköping"
"Sune Eklund"	"Kyrkogatan 5
91547 Gävle"
"Maj Holm"	"Kyrkgatan 989
63493 Varberg"
"Kevin Gustafsson"	"Bäckvägen 2
10722 Kristianstad"
"Lars Lindqvist Karlsson"	"Kvarnstigen 5
70796 Karlstad"
"Moa Gustafsson"	"Björkgatan 0
21937 Östersund"
"Lise-Lott Andersson"	"Kvarntorget 878
57071 Landskrona"
"Kristina Adolfsson-Bergström"	"Skolstigen 281
54295 Göteborg"
"Helen Gren"	"Kyrkovägen 81
15043 Varberg"
"Katarina Ahlberg"	"Industristigen 66
50454 Helsingborg"
"Jens Andersson"	"Villagränd 955
21078 Skellefteå"
"Stig Ståhl"	"Fabriksstigen 2
99898 Jönköping"
"Jonas Davidsson-Andersson"	"Kyrkostigen 63
67716 Karlskoga"
"Birgitta Engberg Hedberg"	"Åkertorget 939
93181 Uddevalla"
"Lars Lundin"	"Skogsgatan 1
53564 Skövde"
"Eva Häggström"	"Industrivägen 257
18789 Malmö"
"Christian Moberg"	"Stationstorget 4
45412 Landskrona"
"Mattias Ekman Jansson"	"Genvägen 33
73941 Jönköping"
"Sten Arvidsson"	"Björktorget 58
53158 Lidköping"
"Oskar Lindkvist"	"Nygatan 248
32607 Falun"
"Ragnar Andersson"	"Åkervägen 288
73043 Uddevalla"
"Viktor Nordström Östman"	"Ekgatan 504
76591 Malmö"
"Linnéa Eriksson"	"Skolvägen 410
36895 Borlänge"
"Ingeborg Nyman"	"Storgatan 263
38395 Jönköping"
"Lars Persson"	"Bäckgatan 45
14428 Gävle"
"Cecilia Berg"	"Ängsgatan 065
50231 Växjö"
"Carl Bäckström Axelsson"	"Åkergatan 4
13202 Piteå"
"Sam Andersson-Andrén"	"Villagränd 202
67668 Borås"
"Karl Hassan"	"Industrigatan 57
33773 Trollhättan"
"Rafael Israelsson Ekman"	"Skogsgatan 656
24161 Karlstad"
"Kristina Sandgren"	"Bäckgatan 01
69076 Helsingborg"
"Marcin Karlsson"	"Trädgårdsvägen 449
11604 Sandviken"
"Therése Dahl"	"Backgatan 6
35143 Karlskrona"
"Magnus Alexandersson"	"Skogsstigen 30
16777 Ängelholm"
"Lars Petersson-Blom"	"Genvägen 264
48193 Sandviken"
"Maria Bergkvist-Nilsson"	"Kyrkvägen 9
30766 Göteborg"
"Teresia Hammarström"	"Idrottstorget 69
81022 Kalmar"
"Kerstin Karlsson"	"Fabriksvägen 55
62682 Jönköping"
"Tina Danielsson"	"Gengränd 426
93398 Lidköping"
"Mari Eriksson Dahl"	"Bäckgatan 93
35313 Umeå"
"Elsa Svahn"	"Aspvägen 3
11547 Eskilstuna"
"Claes Lindholm-Lindberg"	"Strandstigen 4
50415 Södertälje"
"Margaretha Viklund"	"Ängsgatan 57
79315 Skellefteå"
"Per Lundblad"	"Åkergränd 139
92550 Gävle"
"Lars Österberg"	"Grangatan 0
19638 Örnsköldsvik"
"Victor Brolin"	"Skogstorget 84
18383 Halmstad"
"Oskar Olausson"	"Kvarnvägen 5
38929 Västerås"
"Nelly Thulin"	"Strandgatan 5
82963 Lidköping"
"Asta Söderlund"	"Parkgatan 42
43803 Halmstad"
"Emanuel Sjölander"	"Ekvägen 011
87013 Örebro"
"Ove Malmqvist-Einarsson"	"Bäckstigen 8
94925 Kalmar"
"Ingrid Karlsson"	"Kyrkogränd 509
81153 Luleå"
"Siv Nordin"	"Kyrkvägen 1
43006 Trelleborg"
"Mohamed Andersson"	"Storstigen 243
14001 Malmö"
"Lars-Göran Lundin"	"Industritorget 183
11817 Karlskoga"
"Fabian Simonsson"	"Idrottsvägen 9
41587 Västerås"
"Kerstin Karlsson Löfgren"	"Trädgårdsgatan 316
90327 Örebro"
"Anton Berg-Lundberg"	"Gengatan 2
53345 Borås"
"Andreas Lindgren-Vilhelmsson"	"Furutorget 11
98694 Göteborg"
"Ludvig Björklund"	"Kyrkgatan 8
21343 Sundsvall"
"Max Persson"	"Åkergränd 618
89434 Sandviken"
"Lisa Pettersson Eriksson"	"Trädgårdsstigen 9
13360 Ängelholm"
"Julia Nyström"	"Genstigen 62
35594 Linköping"
"Mats Persson"	"Kvarnstigen 24
89887 Trollhättan"
"Lars-Göran Magnusson"	"Ringtorget 883
27788 Borlänge"
"Erik Nilsson"	"Fabriksvägen 972
48141 Skövde"
"Ahmed Larsson"	"Fabriksgatan 606
81276 Halmstad"
"Christina Lundin"	"Backgatan 125
50178 Helsingborg"
"Joel Persson"	"Skolgränd 02
37468 Trollhättan"
"Lars Johansson"	"Backvägen 815
70321 Nyköping"
"Elisabeth Hallberg"	"Backgatan 908
38730 Norrköping"
"Rune Andersson"	"Villagränd 7
63721 Halmstad"
"Sofia Blom"	"Skogsgränd 9
53903 Stockholm"
"Karin Wiberg"	"Storgatan 97
36351 Landskrona"
"Laura Ekström"	"Björkgatan 729
12409 Örnsköldsvik"
"Fredrik Jonsson"	"Strandtorget 37
31307 Östersund"
"Stellan Andersson"	"Järnvägsvägen 1
96156 Alingsås"
"Adam Andersson"	"Fabriksvägen 3
35601 Skövde"
"Anders Samuelsson"	"Parkvägen 7
86646 Varberg"
"Jakob Lindgren"	"Industrigatan 4
89330 Motala"
"Moa Ljung"	"Kyrkgränd 4
58216 Umeå"
"Marco Friberg"	"Skogstorget 194
75987 Södertälje"
"Natalia Persson"	"Idrottsvägen 64
81746 Skellefteå"
"Ruth Gustavsson"	"Kyrkovägen 9
92117 Östersund"
"Laura Jansson-Wikström"	"Järnvägsvägen 586
38529 Luleå"
"Alexander Hallin"	"Ängsgatan 72
44226 Kristianstad"
"Benjamin Olsson"	"Järnvägsgatan 86
24988 Luleå"
"Elisabet Berg"	"Idrottsgatan 186
35178 Skellefteå"
"Karl Hedlund"	"Gengatan 0
78135 Malmö"
"Theresia Carlberg"	"Ängsgränd 3
74299 Östersund"
"Eva Berglund"	"Ekvägen 2
28512 Nyköping"
"Cecilia Sjöberg Andersson"	"Bäckgatan 893
66384 Luleå"
"Christer Karlsson"	"Skolgatan 89
46405 Helsingborg"
"Torbjörn Gustafsson Holm"	"Nygatan 2
90131 Piteå"
"Leah Storm"	"Backvägen 485
82832 Landskrona"
"Mario Söderholm"	"Ringvägen 7
75737 Malmö"
"Marcus Larsson"	"Kyrkogatan 288
86489 Örnsköldsvik"
"Martin Larsson"	"Kyrkovägen 23
40612 Gävle"
"Stina Göransson"	"Åkergränd 529
94861 Västerås"
"Christoffer Larsson-Fransson"	"Aspgränd 241
76864 Nyköping"
"Birgitta Pettersson"	"Järnvägstorget 15
89406 Nyköping"
"Sven Nyström"	"Storgatan 5
68550 Sundsvall"
"Esther Khalil"	"Bäckstigen 7
87482 Sundsvall"
"Louise Nilsson"	"Bäckgränd 54
26834 Jönköping"
"Leif Andersson"	"Parkvägen 07
14604 Stockholm"
"Vera Rosén"	"Fabrikstorget 2
72153 Karlskoga"
"Mats Larsson"	"Kvarngränd 5
40144 Borås"
"Maria Andersson"	"Parktorget 1
14416 Lidköping"
"Mimmi Engström"	"Skogsgatan 7
17027 Linköping"
"Johan Davidsson"	"Kyrkgatan 5
20504 Karlstad"
"Emma Olsson-Strand"	"Strandgatan 6
35691 Skövde"
"Ian Hansson"	"Furutorget 55
54514 Landskrona"
"Anders Halvarsson"	"Industritorget 9
82813 Halmstad"
"Alexander Johansson"	"Bäckstigen 395
35394 Sandviken"
"Leif Blom"	"Storvägen 2
69001 Lidingö"
"Miranda Hedström"	"Ängsstigen 589
22099 Lund"
"Lova Smith"	"Järnvägsgränd 4
48619 Linköping"
"Viktoria Jönsson"	"Villagatan 7
33373 Skövde"
"Jan Pettersson"	"Fabriksgatan 63
29169 Sundsvall"
"Christin Wallin"	"Björktorget 19
84950 Motala"
"Anas Eriksson"	"Skolvägen 476
28938 Umeå"
"Henrik Öberg"	"Parkstigen 1
97220 Östersund"
"Lena Forsberg"	"Skolvägen 893
36010 Växjö"
"Gerhard Magnusson"	"Aspgatan 912
88061 Lidköping"
"Leif Jakobsson"	"Furugatan 667
93699 Sandviken"
"Anders Holmberg"	"Furuvägen 234
34685 Helsingborg"
"Börje Eriksson Hansson"	"Skolgränd 73
82170 Varberg"
"Marie Lundh"	"Åkerstigen 583
63611 Karlstad"
"Cecilia Jansson-Olsson"	"Industrigatan 957
49645 Mölndal"
"Rickard Johansson"	"Bäckgränd 635
28158 Falun"
"Viveka Lundgren"	"Stationsvägen 02
65185 Linköping"
"Jarl Olsson"	"Nyvägen 7
15958 Helsingborg"
"Viktoria Bergman"	"Granvägen 70
54519 Kalmar"
"Hans Singh Lindgren"	"Stationsgränd 9
80960 Uddevalla"
"Leif Karlsson-Sjöblom"	"Industristigen 61
54470 Gävle"
"Margareta Vesterlund-Brännström"	"Villatorget 34
73672 Helsingborg"
"Sofia Johansson"	"Storgränd 17
41459 Helsingborg"
"Elisa Berggren"	"Granstigen 55
62386 Örebro"
"Karl Svensson"	"Skolgatan 91
95332 Borlänge"
"Annika Pettersson"	"Skogsstigen 563
47692 Borås"
"Tommy Olsson"	"Ringgatan 9
68549 Kristianstad"
"Gunnar Lindgren"	"Industrivägen 98
25473 Kristianstad"
"Julian Olofsson-Engström"	"Skolgränd 66
49604 Karlskoga"
"Marjatta Ahlqvist"	"Järnvägsgränd 19
28860 Nyköping"
"Leif Lindquist-Ljungqvist"	"Stationsgatan 760
53362 Stockholm"
"Lise-Lott Engström"	"Kvarngatan 36
83873 Karlskoga"
"Alexander Eriksson"	"Parkgatan 96
48903 Sundsvall"
"Maria Nyström"	"Skolgatan 1
54294 Östersund"
"Annika Lundqvist"	"Nytorget 8
73991 Halmstad"
"Vincent Granberg"	"Industrigränd 437
86153 Uddevalla"
"Roland Skoog"	"Ekvägen 687
60391 Mölndal"
"Leif Carlsson"	"Kyrkogatan 665
91816 Kalmar"
"Eva Eriksson Friberg"	"Ringvägen 9
52392 Landskrona"
"Urban Lundin Emanuelsson"	"Bäckgränd 9
54850 Skellefteå"
"Leif Nilsson"	"Björkvägen 368
33169 Lund"
"Per Westman"	"Storvägen 6
31513 Skellefteå"
"Elisabeth Blom-Skoglund"	"Kyrkstigen 93
30334 Västerås"
"Mats Larsson"	"Skolgatan 33
20921 Helsingborg"
"Christian Mohammad"	"Storstigen 568
97037 Norrköping"
"Ruth Johansson"	"Björkvägen 606
82545 Trelleborg"
"Karl Nygren"	"Skogstorget 9
38729 Eskilstuna"
"Lena Knutsson Dahlberg"	"Ringvägen 16
86781 Trollhättan"
"Sophie Olsson"	"Skogsgränd 8
51491 Varberg"
"Daniel Hansson"	"Järnvägsgatan 5
36712 Ängelholm"
"Lena Arvidsson"	"Bäckvägen 0
79046 Lidköping"
"Sarah Törnqvist"	"Villavägen 310
91901 Skellefteå"
"Therése Olsson-Öberg"	"Kvarngatan 340
90634 Borlänge"
"Maja Ahmed"	"Genvägen 6
80695 Sandviken"
"Cecilia Lindell"	"Parkvägen 77
57386 Eskilstuna"
"Maria Eriksson"	"Parkvägen 2
65902 Landskrona"
"Jenny Larsson"	"Järnvägsstigen 47
40992 Växjö"
"Rita Svensson Petersson"	"Kyrkotorget 54
24974 Lund"
"Lars Lundström"	"Furugränd 66
56207 Stockholm"
"Ola Carlsson Sandgren"	"Ringgränd 841
17159 Östersund"
"Lena Boman"	"Strandvägen 707
35518 Stockholm"
"Kenth Malm"	"Nyvägen 5
34336 Lidköping"
"Elisabet Sundqvist"	"Björkgränd 7
63921 Sundsvall"
"Johan Norén-Olsson"	"Industrivägen 718
25002 Umeå"
"Maria Ali"	"Åkergatan 33
52311 Halmstad"
"Per Jansson Nilsson"	"Industrivägen 7
94324 Helsingborg"
"Maria Nylander"	"Ringstigen 1
20388 Gävle"
"Clara Jonsson"	"Stationsgatan 1
94569 Jönköping"
"Axel Ljungberg"	"Fabriksgatan 786
75935 Karlstad"
"Lovis Liljegren-Hansson"	"Järnvägsstigen 043
85833 Lidingö"
"Lena Carlsson"	"Idrottsgatan 021
57556 Luleå"
"Tilda Sundberg"	"Villavägen 8
58413 Borås"
"Signe Sjögren"	"Granvägen 159
37150 Skellefteå"
"Per Lindström"	"Skogsgatan 5
40689 Linköping"
"Amir Wikström"	"Storgatan 7
75525 Karlstad"
"Anna Svensson"	"Åkergränd 404
66881 Mölndal"
"Therése Öberg"	"Ekvägen 3
81917 Karlstad"
"Iris Larsson"	"Furuvägen 299
17967 Piteå"
"Märta Ekholm"	"Fabriksvägen 543
27328 Örnsköldsvik"
"Viola Hallin"	"Kyrkovägen 82
69615 Borås"
"Lena Danielsson"	"Skoltorget 0
64787 Norrköping"
"Thomas Martinsson"	"Villavägen 797
75687 Umeå"
"Anette Johansson"	"Bäckvägen 5
94059 Eskilstuna"
"Axel Söderberg"	"Granstigen 80
28095 Varberg"
"Göran Olsson"	"Bäckstigen 508
39556 Sandviken"
"Elin Larsson"	"Backvägen 15
62223 Örnsköldsvik"
"Sanna Khan"	"Ekvägen 2
82937 Södertälje"
"Boel Andersson"	"Ekvägen 571
60269 Östersund"
"Hannele Holmström Melander"	"Skogsgatan 5
31072 Lidingö"
"Erik Samuelsson"	"Kyrkstigen 381
81388 Nyköping"
"Lena Forsberg Holmberg"	"Ringtorget 847
77078 Ängelholm"
"Linn Hedlund"	"Stationsvägen 58
29982 Linköping"
"Holger Lundqvist"	"Fabriksstigen 66
44504 Stockholm"
"Monika Rosén"	"Villatorget 54
74057 Uppsala"
"Siv Arvidsson"	"Kvarngatan 1
36282 Norrköping"
"Oliver Edvardsson"	"Storvägen 464
49928 Karlskrona"
"Cecilia Bylund-Svensson"	"Nygatan 676
49594 Helsingborg"
"Ralf Höglund"	"Nyvägen 8
61243 Kalmar"
"Anne Dahlgren-Pettersson"	"Kvarngränd 81
18350 Alingsås"
"Anders Berglund"	"Trädgårdsvägen 536
85314 Linköping"
"Lena Gullberg Eriksson"	"Backvägen 765
22740 Västerås"
"Maria Claesson"	"Strandstigen 95
21278 Norrköping"
"Tore Andersson"	"Furuvägen 519
82567 Helsingborg"
"Sara Olsson"	"Ängsgatan 883
20808 Luleå"
"Marie-Louise Larsson-Almgren"	"Backvägen 4
16900 Nyköping"
"Yvonne Westlund"	"Kyrkgatan 76
91362 Skellefteå"
"Sofi Westberg"	"Åkertorget 02
79734 Motala"
"Lena Lindmark"	"Björktorget 992
42879 Trelleborg"
"Louise Johansson"	"Järnvägsvägen 65
44334 Ängelholm"
"Klara Johansson"	"Bäckgatan 315
80996 Malmö"
"Lena Jakobsson Arvidsson"	"Skolvägen 4
65850 Linköping"
"Lars Nordström Blomqvist"	"Parkstigen 812
69906 Göteborg"
"Magnus Westin-Hjalmarsson"	"Kyrkvägen 725
31410 Växjö"
"Ronny Simonsson"	"Åkergatan 127
31440 Skövde"
"Gustav Engström-Martinsson"	"Storgränd 913
32860 Örnsköldsvik"
"Alexander Gustafsson"	"Kvarnstigen 63
18394 Västerås"
"Elisabeth Karlsson"	"Furugatan 1
13580 Luleå"
"Frans Wallin"	"Parkvägen 7
80797 Uppsala"
"Linnéa Pedersen"	"Järnvägstorget 42
96937 Alingsås"
"Lennart Johansson"	"Backstigen 03
51292 Halmstad"
"Lena Johansson"	"Idrottsvägen 57
93253 Växjö"
"Sandra Fransson"	"Industrigatan 07
48370 Alingsås"
"Tore Blom"	"Ängsvägen 4
38760 Skellefteå"
"Jari Bengtsson Nilsson"	"Parkvägen 95
54587 Ängelholm"
"Lars Hussein"	"Gentorget 15
18406 Göteborg"
"Elina Åslund"	"Stationsgatan 5
29245 Örebro"
"Magnus Strömberg"	"Granstigen 0
92578 Karlstad"
"Christian Lundberg"	"Ekgatan 594
74107 Nyköping"
"Benny Andreasson-Svedberg"	"Järnvägstorget 564
28742 Karlskoga"
"Britt Persson"	"Parkvägen 458
61436 Varberg"
"Lena Karlsson"	"Industrivägen 22
80274 Södertälje"
"Henrik Sahlin"	"Björkgatan 683
11421 Kristianstad"
"Siv Karlsson"	"Stationsgatan 1
94803 Luleå"
"Catarina Hjalmarsson"	"Kyrkvägen 049
34431 Trelleborg"
"Milo Nilsson"	"Parktorget 85
90733 Jönköping"
"Mariana Westberg"	"Kyrkvägen 3
30147 Lidingö"
"Cecilia Nielsen"	"Parktorget 35
83779 Karlskoga"
"Joel Nilsson"	"Villavägen 189
98011 Stockholm"
"Gunnar Westin"	"Strandgatan 76
68138 Södertälje"
"Eva Johansson"	"Ekstigen 8
35167 Ängelholm"
"Lena Lindström"	"Stationstorget 34
59679 Ängelholm"
"Maj-Britt Johansson"	"Grangatan 03
89582 Linköping"
"Jonas Öberg"	"Storvägen 4
32553 Borås"
"Gunilla Lindgren"	"Kyrkgatan 61
44821 Jönköping"
"William Melin"	"Björkgatan 64
59397 Skellefteå"
"Linnéa Nilsson"	"Parkgatan 783
38904 Skellefteå"
"Mikael Eliasson"	"Järnvägsstigen 196
46562 Umeå"
"Emily Larsson"	"Ekgatan 7
64139 Umeå"
"Lars Karlsson-Eriksson"	"Gentorget 6
43247 Uppsala"
"Gustaf Lindström"	"Bäckgränd 272
28244 Stockholm"
"Lena Palm"	"Nyvägen 512
31820 Södertälje"
"Kenneth Johansson"	"Björkgatan 43
73896 Örnsköldsvik"
"Christina Pettersson"	"Storgränd 5
78041 Uddevalla"
"Erik Nilsson"	"Trädgårdsstigen 5
86211 Norrköping"
"Irma Lundell"	"Parkstigen 4
63253 Lund"
"Allan Åström Sandberg"	"Ringvägen 3
62693 Ängelholm"
"Maria Mohamed-Ahmad"	"Kyrkgatan 42
67148 Sundsvall"
"Erik Karlsson"	"Björkstigen 4
76003 Västerås"
"Bror Dahlberg Eriksson"	"Idrottsvägen 7
52918 Växjö"
"Anna Lundberg"	"Ekvägen 435
26839 Karlskoga"
"Lennart Eriksson"	"Strandvägen 702
98909 Sandviken"
"Nathalie Persson"	"Kvarnvägen 7
93782 Norrköping"
"Ingemar Pålsson"	"Villagatan 60
72125 Varberg"
"Sofia Björklund"	"Kyrkovägen 1
64453 Lidingö"
"Gunnar Gunnarsson"	"Ekvägen 6
51481 Motala"
"Elisabet Johansson"	"Idrottsgränd 3
91705 Ängelholm"
"Eva Eriksson"	"Skogsgatan 3
37869 Sandviken"
"Kristina Andersson"	"Ringvägen 3
88376 Trelleborg"
"Håkan Juhlin"	"Parkgränd 592
71242 Uddevalla"
"Maria Lantz-Carlsson"	"Kyrkstigen 301
82984 Södertälje"
"Lennart Hansson"	"Granvägen 5
20777 Trelleborg"
"Anette Eriksson-Frid"	"Backvägen 3
34438 Trollhättan"
"Thomas Ibrahim"	"Strandtorget 400
93603 Karlstad"
"Carl Jonsson"	"Backgatan 0
60850 Alingsås"
"Ann-Mari Gabrielsson"	"Skolgatan 30
51007 Landskrona"
"Maria Bengtsson"	"Kyrkstigen 38
66497 Umeå"
"Richard Karlsson"	"Järnvägsvägen 860
67600 Uppsala"
"Ida Gustafsson"	"Skogsvägen 1
20951 Uppsala"
"Lars Falk"	"Nygatan 66
19022 Varberg"
"Mohamed Ågren"	"Järnvägsvägen 645
69818 Malmö"
"Lennart Hansson"	"Kyrkstigen 2
15636 Östersund"
"Christina Nyberg"	"Trädgårdsvägen 84
31508 Södertälje"
"Marie Larsson Blomberg"	"Järnvägsgatan 1
91464 Lidingö"
"Evelina Pedersen"	"Kyrkvägen 66
26070 Karlstad"
"Jesper Lindgren"	"Industrigränd 0
61389 Umeå"
"Maria Eriksson"	"Ringgatan 167
13421 Sundsvall"
"Max Wallin"	"Parkvägen 49
76010 Lidingö"
"Karl Blomkvist"	"Industrigatan 8
46591 Varberg"
"Leopold Hansen Magnusson"	"Gentorget 31
24965 Piteå"
"Elisabeth Karlsson"	"Trädgårdstorget 51
32649 Malmö"
"Lennart Karlsson"	"Björkgatan 077
57194 Falun"
"Ruth Lundin"	"Backgatan 434
54567 Karlstad"
"Gunnel Abdi"	"Nytorget 2
80360 Malmö"
"Camilla Gunnarsson"	"Stationsvägen 6
81784 Falun"
"Anna Lantz"	"Järnvägsgatan 90
71751 Stockholm"
"Lena Olsson"	"Björkvägen 5
56456 Trollhättan"
"Mathias Carlberg"	"Furugatan 849
72356 Norrköping"
"Elisabet Lindström-Eriksson"	"Furustigen 2
18191 Uddevalla"
"Erik Brandt"	"Skolgränd 86
90244 Borås"
"Emil Melin-Gustafsson"	"Skogsgatan 011
64060 Sundsvall"
"Lennart Mårtensson"	"Ekvägen 95
28320 Kristianstad"
"Rune Abdullah-Nilsson"	"Kyrkogatan 3
80907 Örebro"
"Teresa Lindberg"	"Skolstigen 4
23257 Västerås"
"Alexander Oskarsson"	"Nygatan 00
46737 Falun"
"Anders Johansson"	"Kyrkgatan 78
31030 Karlstad"
"Ulf Lindberg"	"Strandstigen 8
53145 Mölndal"
"Arvid Sjöberg Dahlström"	"Skolgatan 570
12456 Västerås"
"Gunhild Ibrahim"	"Ängsstigen 28
41914 Lidingö"
"Anne Andersson Söderberg"	"Industrivägen 5
46681 Eskilstuna"
"Måns Sjöberg"	"Nygatan 6
18049 Ängelholm"
"Lennart Svensson Bengtsson"	"Kyrkgränd 30
27637 Lidingö"
"Artur Svärd"	"Parkvägen 11
41943 Växjö"
"Elin Blom"	"Industrivägen 6
29185 Lidköping"
"Otto Jakobsson"	"Grangatan 55
40868 Växjö"
"Maria Strandberg"	"Ringvägen 4
46855 Lidköping"
"Inger Johansson Eriksson"	"Skolgränd 590
70236 Umeå"
"Jenny Palm"	"Björkgatan 38
39048 Lidköping"
"Kent Persson-Lövgren"	"Ekvägen 507
22050 Motala"
"Sofia Olsson"	"Fabriksvägen 125
55234 Alingsås"
"Nils Paulsson Dahlberg"	"Parkvägen 5
64331 Trollhättan"
"Leo Ericsson"	"Parkgränd 604
64129 Skövde"
