"Abelone Dahl","Stenløsevej 856
8842 Roskilde" 
"Mads Carlsen-Johnsen","Hyttehusvej 245
8596 Bogø By"
"Margit Madsen","Linnésvej 294
6770 Gilleleje"
"Tage Simonsen","Kornblomstvej 6
4854 Brøndby Strand"
"Fru Agnete Rasmussen","Athensvej 6
1097 Horsens"
"Carla Kjær","Brofogedvej 282
9333 Virum"
"Fru Liva Schultz","Nokken Strandgade 1
6181 Stege"
"Noah Johnsen","Røde Mellemvej 629
4375 Nørresundby"
"Ida Thomsen-Iversen","Lindenborg Allé 500
2714 Skælskør"
"Robin Jespersen","Gaunøvej 89
1654 Marstal"
"Fru Cecilie Thygesen","Ågade 69
3020 Sjølund"
"Xenia Larsen","Hardangergade 321
5141 Lemming"
"Margrethe Henriksen","Bangsbostræde 2
3711 Ruds Vedby"
"Pete Hermansen","Krudtmøllegårdsvej 44
5422 Regstrup"
"Dr. Robert Lassen","Marmor Allé 2
6719 Rødkærsbro"
"Michelle Iversen","Emdrupvej 6
3612 Brønshøj"
"Richardt Christensen-Schmidt","Parosgade 743
4327 Viuf"
"Mikael Krogh","Thurebyholmgade 12
3655 Skårup"
"Nanna Clausen","Kildebrøndestræde 53
6995 Rønne"
"Marcus Holm","Toftebakkestræde 29
5201 Havndal"
"Kirsten Jessen","Portugalsstræde 5
9281 Sunds"
"Louise Nørgaard","Grøndals Parkvej 1
3327 Trustrup"
"Margrethe Jespersen-Bruun","Højmosevej 98
2400 Melby"
"Ronni Lauritsen","Skibelundvej 71
4573 Torrig"
"Hr Ronnie Carlsen","Søndre Allé 5
8067 Sulsted"
"Leonora Schultz-Jakobsen","Svanestræde 4
2323 Ringe"
"Klara Mogensen","Rentemestergade 2
3786 Stokkemarke"
"Gunnar Mathiesen","Christiansmindestræde 4
8291 Holte"
"Gunhild Olesen-Vestergaard","Teglbrændervej 614
4369 Trustrup"
"Fru Julie Nissen","Tåsingevej 8
1576 Snertinge"
"Albert Jepsen","Ungarns Allé 42
6691 Bogø By"
"Margrethe Skov","Åbakkevej 8
7652 Nykøbing F"
"Margrethe Schou","Valhalsstræde 8
4585 Værløse"
"Fru Mette Jepsen","Spanagervej 6
8556 Varde"
"Nikolai Brandt","Vennemindevej 6
3087 Løkken"
"Olivia Skov","Guldstjernevej 659
9933 Glamsbjerg"
"Asger Lind-Johansen","Bymosevej 2
3009 Jelling"
"Justina Jeppesen","Lundehusvej 7
1063 Låsby"
"Adam Sørensen","Kielstræde 4
5160 Glumsø"
"Steen Johnsen","Aarestrupsvej 78
9960 Egå"
"Karlo Koch","Livøvej 60
9764 Viuf"
"Michelle Jakobsen","Vordingborgstræde 1
1340 Tarm"
"Maria Kristoffersen","Hjortdalsgade 6
5586 Skamby"
"Katrine Rasmussen","Løv Allé 9
4026 Østbirk"
"Hr Lasse Sørensen","Teglholmsvej 647
9900 Søndersø"
"Odeline Søndergaard","Verdisstræde 97
6884 Nørresundby"
"Birte Schultz","Håbetsvej 641
5587 Slangerup"
"Dina Andresen","Neapelgade 8
2608 Sjølund"
"Nils Kristoffersen","Gråbynke Allé 21
2555 Svenstrup"
"Univ.Prof. Nicoline Mikkelsen","Dunhammer Allé 958
2964 Sejerø"
"Prof. Merethe Ravn","Ålstrupgade 8
6546 Sabro"
"John Iversen-Nielsen","P.D. Løvsvej 807
5287 Helsinge"
"Maria Mathiasen-Søndergaard","Strandlodsgade 72
8049 Charlottenlund"
"Sofia Frederiksen","Vibekestræde 62
9332 Errindlev"
"Torben Johansen","Frankrigsstræde 5
9736 Skælskør"
"Fru Mimi Iversen","Svankærvej 3
8462 Hasselager"
"Minna Nissen","Tagensgade 8
1912 Viby J"
"Erna Christoffersen","Bøllemosegårdsstræde 81
2866 Horbelev"
"Frans Toft","Haldagergade 386
2002 Dalby"
"Lucas Pedersen","Mimersgade 40
6553 Jordrup"
"Hr Oskar Thygesen","Humlebækstræde 2
8816 Sønder Felding"
"Hr André Kjeldsen","Trangravsgade 4
5675 Løgstrup"
"Marianne Schou","Luganogade 9
8061 Fjerritslev"
"Johnnie Thomsen","Blåmejsestræde 1
1279 Værløse"
"Univ.Prof. Naja Schmidt","Uglevej 39
5418 Pandrup"
"Hr Esben Dahl","Slagelsegade 835
7786 Nørresundby"
"Thomas Madsen","Dag Hammarskjöldsstræde 13
6691 Storvorde"
"Univ.Prof. Berta Friis","Hagbardvej 828
7529 Tim"
"Univ.Prof. Victor Christensen","Skotlandsvej 10
4170 Hørve"
"Arne Bach-Bruun","Teglholmvej 157
6409 Lemvig"
"Line Mortensen","Kertemindevej 88
7160 Væggerløse"
"Dagmar Svendsen","Spøttrup Allé 603
7671 Sjællands Odde"
"Marie Skov","Æginastræde 902
8461 Helsingør"
"Prof. Agnete Jepsen","Puggaardsgade 8
4860 Ålbæk"
"Jack Lauridsen-Christoffersen","Lille Kongensvej 35
2821 Slagelse"
"Yda Steffensen","Kvæsthusstræde 34
7992 Hørsholm"
"Johannes Steffensen","Thomas Koppelsgade 971
4655 Bandholm"
"Alf Dam","Borthigsgade 5
3353 Haslev"
"Otto Nissen","Thy Allé 8
7779 Rødby"
"Cathrine Iversen","Gertsgade 48
3143 Ugerløse"
"Christian Simonsen","Poppelgade 5
2287 Gelsted"
"Nick Nilsson","Burgundy Allé 78
8845 Kvistgård"
"Marius Bach","Broksøvej 610
2450 Gedsted"
"Dr. Ragner Frederiksen","Oldermandsgade 93
9886 Føllenslev"
"Pia Christoffersen","Helgolandsstræde 538
3737 Øster Ulslev"
"Johannes Christiansen","Tibirke Allé 14
1291 Skærbæk"
"Frederikke Thygesen","Gernersgade 617
9225 Brøndby Strand"
"Hr Borris Danielsen","Rebekka Allé 745
9994 Søllested"
"Katcha Dam","Antwerpenstræde 85
4729 Horsens"
"Prof. Carsten Lassen","Luganovej 64
1880 Bagsværd"
"Kurt Vestergaard","Lergravsvej 142
5160 Jyllinge"
"Univ.Prof. Gunner Carlsen","Dronningensvej 6
5116 Bramming"
"Marius Toft","Veronavej 56
3492 Hillerød"
"Hanne Holst","Øresundsvej 43
4714 Flemming"
"Michael Iversen","Eskildsgade 90
9878 Frøstrup"
"Åge Gregersen","Røde Mellemvej 9
1588 Rødkærsbro"
"Sten Schou","Rismosevej 588
7200 Nordborg"
"Ron Gregersen","Møllestræde 64
5471 Lunderskov"
"Elna Mathiesen-Thygesen","Tingskrivervej 493
7486 Kettinge"
"Odeline Schultz","Flidsagervej 652
1151 Lunderskov"
"Dr. Mark Toft","Væbnergade 893
8749 Oure"
"Prof. Catrine Møller","Katholmvej 886
7393 Viuf"
"Mark Kjær","Engelstedsstræde 9
2225 Sydals"
"Ruben Mortensen","Tårnholmsvej 944
8983 Eskebjerg"
"Ellen Holm","Efterslægtsvej 59
1179 Årslev"
"Åge Sørensen","Skyggelunds Allé 1
1388 Ulfborg"
"Prof. Alex Mogensen","Emdrup Enggade 9
8905 Karrebæksminde"
"Ron Jessen","Snare Allé 55
6268 Hårlev"
"Univ.Prof. Clavs Koch","Adriansvej 657
6146 Branderup"
"Olga Overgaard-Schmidt","Kinastræde 89
5658 Vejle Øst"
"Nikolai Holm-Steffensen","Øster Farimagsvej 238
3618 Ølsted"
"Berit Bech","Ramsingsgade 6
2993 Valby"
"Mark Ravn-Winther","Strickersgade 39
1593 Bindslev"
"Ørni Jensen","Fenrisgade 17
1578 Stenderup"
"Emma Christensen-Clausen","Nordrupvej 277
4615 Almind"
"Naja Lauritsen","Æginavej 686
4192 Grevinge"
"Frede Koch","Tibirke Allé 764
6232 Vesløs"
"Dr. Yngve Jacobsen","Brønshøjvej 46
3598 Bjert"
"Hr Einer Nissen","Teglholm Tværvej 123
9139 Brædstrup"
"Lucas Kristoffersen-Koch","Dronning Dagmarsstræde 32
4250 Nakskov"
"Marcus Jespersen","Gammel Køge Landevej 7
3146 Aars"
"Hr Joachim Holm","Silkegade 9
1697 Fjenneslev"
"Marlene Frederiksen","Høsterkøbvej 903
7557 Christiansfeld"
"Tage Vestergaard","Georginevej 5
2274 Ørum Djurs"
"Jens Andreasen","Engblommevej 29
6890 Ejby"
"Pia Mortensen-Frandsen","Hestemøllevej 5
5023 Hedehusene"
"Prof. Isabella Christiansen","Elstarvej 53
2205 Hørning"
"Paw Jeppesen","Uralgade 6
2806 Henne"
"Prof. Regitze Karlsen","Stenvej 48
3377 Risskov"
"Klavs Madsen-Rasmussen","Antonigade 7
7452 Toftlund"
"Prof. Margit Koch","Mølle Allé 7
7805 Vejby"
"Prof. Rune Larsen","Lilliendalsvej 541
8254 Næstved"
"Marlene Jepsen","Lerchenborgvej 558
9526 Tureby"
"Univ.Prof. Christopher Dam","Berggreensstræde 20
8502 Hørve"
"Univ.Prof. Frank Klausen","Sonnerupvej 483
4007 Guldborg"
"Univ.Prof. William Mathiesen","Sejlklub Allé 596
8556 Nørre Snede"
"Univ.Prof. Mette Iversen","Gerbrands Allé 55
7524 Nørre Snede"
"Kristina Pedersen-Petersen","Tøjmestergade 651
3018 Gredstedbro"
"Frida Gregersen","Slutteri Allé 90
6891 Bjæverskov"
"Vera Friis","Holbækmotorenvej 681
5044 Kolind"
"Åge Christensen","Vigerslev Godsvej 184
5401 Strandby"
"Dr. Natasha Nissen","Puggaardsvej 6
5282 Gudbjerg"
"Marlene Jørgensen-Jacobsen","Fossgårdsgade 392
9841 Dalby"
"Bente Jeppesen","Lukretiavej 730
9742 Ruds Vedby"
"Britta Andersen","Clausholmstræde 89
8181 Vils"
"Helge Madsen","Ahrenkildesvej 980
3621 Århus"
"Heidi Kjær","Karlslundestræde 378
9318 Hanstholm"
"Dr. Sine Poulsen","Stokhus Allé 479
7094 Jerslev"
"Mike Kjær","Ottiliagade 301
3877 Helsinge"
"Malou Andersen-Christiansen","Dortheagade 683
6505 Balle"
"Frank Lind","J.P.E. Hartmannsstræde 52
6441 Hampen"
"Henriette Schultz","Asnæs Allé 737
7709 Kongerslev"
"Marlene Schultz","Førslevvej 20
6512 Borre"
"Bruno Eriksen","Bardenflethsvej 445
1056 Herning"
"Selma Simonsen-Thygesen","Signelilvej 41
1081 Dalmose"
"Ron Iversen","Ahlmannsgade 7
7176 Vemb"
"Yvonne Bruun","Svendsvej 2
5759 Lynge"
"Ingrid Mathiasen","Brammingegade 548
4461 Fredensborg"
"Asger Olsen","Helsingborgvej 18
8961 Rømø"
"Mathias Simonsen","Tersløsegade 8
8684 Frederikssund"
"Agnes Østergaard","Eng Allé 54
9389 Løgumkloster"
"Verner Kristoffersen","Arkonastræde 191
1562 Allinge"
"Martin Jakobsen","Vendsysselgade 67
1367 Balle"
"Hr Ivan Mathiasen","Vognborgvej 779
4777 Måløv"
"Alex Andresen","Bornholms Allé 1
8182 Ulfborg"
"Kenn Johansen","Krokodille Allé 8
7361 Dronningmølle"
"Tim Hermansen-Henriksen","Meldahlsvej 6
9412 Regstrup"
"Andrea Hermansen","Vejlandsgade 473
7946 Jelling"
"Tonny Mathiasen","Pæonvej 247
8611 Egernsund"
"Ole Iversen","Rumæniensvej 6
8113 Bjert"
"Bob Sørensen","Sverrigsgade 649
3143 Blommenslyst"
"Jens Bach","Århusstræde 1
5586 Tappernøje"
"Martin Klausen","Floridagade 209
9068 Lemvig"
"Christopher Iversen","Toftager Allé 9
9811 Sørvad"
"Hr Christoffer Johansen","Rundholts Allé 82
8278 Holeby"
"Univ.Prof. Gunhild Simonsen","Turesensstræde 468
3892 Gistrup"
"Ulf Winther","Vendsyssel Allé 634
5462 Horslunde"
"Josephine Bech","James Grievevej 83
4389 Skagen"
"Leonora Steffensen","Morgenduggade 19
3788 Nørreballe"
"Benny Gregersen","Ejler Billesvej 16
5815 Bredebro"
"Frode Christiansen","Rubinsteinsvej 8
8330 Allingåbro"
"Ulrik Jacobsen-Kristiansen","Sakskøbingvej 24
2320 Føvling"
"Mathias Andreasen","Thors Allé 6
4221 Hanstholm"
"Prof. Ritt Kjær","Keldsøgade 5
7275 Glumsø"
"Paula Lauritsen-Jeppesen","Kattingegade 33
9022 Ørum Djurs"
"Erna Toft-Kjær","Nordborgvej 8
8814 Rude"
"Prof. Naja Møller","Vognborg Allé 4
6328 Skørping"
"Prof. Julie Kjær","Stenløsegade 187
8146 Lejre"
"Jannie Larsen","Bred Allé 315
5901 Kolding"
"Silje Koch","Helsingborgvej 898
3412 Skive"
"Univ.Prof. Anders Frandsen","Glentevej 975
4973 Højbjerg"
"Jonathan Petersen","Skelbækvej 8
3064 Havndal"
"Mathilde Brandt","Retort Allé 15
3839 Munke Bjergby"
"Beth Bech","Ny Blegdamsgade 18
9630 Gilleleje"
"Borris Skov","Nystedvej 6
6526 Højbjerg"
"Univ.Prof. Karl Jakobsen","Nørre Søvej 90
5419 Ølgod"
"Lasse Frederiksen","Nordregade 4
2663 Uldum"
"Øivind Mortensen","Ramsingsstræde 797
3687 Nivå"
"Ragner Pedersen","Frimestervej 39
7852 Tarm"
"Nete Karlsen-Christensen","Vejlandsvej 237
9794 Daugård"
"Tilde Carlsen","Skagerrakvej 9
7412 Dalby"
"Sigrid Thorsen","Primulavej 5
3051 Holme-Olstrup"
"Mathilde Lassen","Brofoged Allé 2
4167 Bælum"
"Nicoline Andreasen-Schou","Stubmøllegade 374
8402 Gesten"
"Prof. André Søndergaard","Valhøjstræde 52
6234 Almind"
"Majken Simonsen","Sadelmagerstræde 97
1783 Valby"
"Dr. Gert Jacobsen","Stemannsvej 166
7195 Mørke"
"Timmy Pedersen","Floridavej 18
7125 Vejby"
"Jacobine Laursen","Kleinsvej 919
5079 Brovst"
"Benjamin Gregersen","Englandsvej 6
1024 Rømø"
"Prof. Mimi Lauridsen","Sofievej 15
3580 Nimtofte"
"Maria Poulsen","Sundby Parkvej 60
4416 Faaborg"
"Mathilde Nielsen","Æginagade 4
4071 Glostrup"
"Ruben Overgaard","Korsørstræde 845
2540 Morud"
"Prof. Leonora Berg","Nøddebostræde 28
2574 Brøndby"
"Alberte Christiansen","Nørre Voldvej 3
9320 Horbelev"
"Ragnhild Gregersen","Tøjmestervej 147
5438 Horbelev"
"Birger Hermansen-Lassen","Jupiterstræde 672
5428 Føvling"
"Bobby Madsen","Valborgvej 41
9622 Herlufmagle"
"Ragnar Nilsson","Windsorgade 534
3150 Gudhjem"
"Ditte Svendsen","Trepkasvej 882
5687 Søndersø"
"Dr. Yannick Lassen","Skippinge Allé 719
3359 Nørre Alslev"
"Mathilde Petersen","Guldagerstræde 94
7942 Haderslev"
"Hr Paw Overgaard","Lundedalsvej 1
9600 Fejø"
"Dr. Jack Frandsen","Jernbanegade 3
1272 Hornsyld"
"Nikolaj Carlsen","Gamle Vasbyvej 2
6841 Viby J"
"Hr Yannick Iversen","Ingerslevsvej 8
3579 Hedensted"
"Alf Eriksen","Rugagervej 6
1268 Glumsø"
"Prof. Jenny Carlsen","Flyhangargade 480
6202 Gudhjem"
"Zenia Schou","Elselillegade 7
6005 Holbæk"
"Dr. Nanni Møller","Danstrupgade 645
6414 Føvling"
"Paul Mogensen","Faksevej 6
4991 Errindlev"
"Mathilde Thomsen","Lynæsstræde 978
7451 Kalvehave"
"Ester Mortensen","Primulavej 591
6187 Tim"
"Cecilie Jensen","Antwerpengade 8
3201 Klampenborg"
"Nicolaj Mortensen-Nielsen","Limfjords Allé 4
3620 Tinglev"
"Zara Krogh","Slejpnersstræde 930
3313 Nærum"
"Dr. Hugo Berg","Containergade 78
6139 Ølsted"
"Dorthe Østergaard","Hjortøgade 42
9251 Borup"
"Amanda Johnsen","Ingerslevs Allé 43
1251 Gesten"
"Julie Eriksen","Ravennagade 12
6773 Millinge"
"Frederikke Petersen","Åbjerg Allé 4
9807 Aakirkeby"
"Mathilde Toft","Knabrogade 825
5537 Brøndby"
"Fru Jacobine Holst","Bryggerstræde 25
1980 Bogø By"
"Josephine Laursen","Gammel Kongegade 5
6299 Thorsø"
"Prof. Zehnia Nissen","Arne Jacobsens Allé 5
5186 Ryslinge"
"Mogens Jakobsen","Fajance Allé 23
7698 Brøndby"
"Dr. Holger Brandt","Fengersvej 68
9627 Læsø"
"Andrea Hansen","Lillevej 48
3901 Asaa"
"Maria Henriksen","Hvedestræde 72
3968 Toftlund"
"Mark Overgaard","Lyrskovvej 1
5142 Frederikshavn"
"Christian Bech","Shetlandsstræde 8
4722 Tikøb"
"Mathilde Winther-Olsen","Hejre Allé 139
4596 Frederikshavn"
"Silas Petersen","Fussingsvej 31
8913 Viby J"
"Univ.Prof. Lona Thygesen","Platanstræde 123
7695 Horsens"
"Andrea Kjeldsen","Rigavej 4
9771 Glamsbjerg"
"Mie Frandsen","Ny Kongensvej 862
3629 Espergærde"
"Ruben Jespersen","Pallesgade 412
3393 Ikast"
"Joakim Jørgensen","Grønløkkevej 790
9649 Odense"
"Sam Thygesen","Ny Kongensstræde 19
3575 Løgstrup"
"Uffe Eriksen","Stenderupstræde 44
6987 Pandrup"
"Katrine Hansen","Stærevej 17
9972 Nørre Aaby"
"Matthias Johansen-Brandt","Vindruevej 40
9202 Ringkøbing"
"Dr. Ragnhild Nilsson","Ehlersvej 955
1100 Sunds"
"Prof. Øvli Karlsen","Vestbanegade 74
6891 Ejby"
"Fru Ellen Petersen","Fiskedamsgade 7
3426 Aalborg"
"Rikke Dahl","Kejsergade 34
9928 Hedensted"
"Zahra Nilsson","Backersvej 83
5490 Bredebro"
"Gurli Jepsen","Isafjordsgade 675
7301 Sulsted"
"Berta Friis","Beategade 8
5084 Højby"
"Mik Svendsen","Skipper Clementsvej 405
8526 Øster Ulslev"
"Ulf Nilsson-Ravn","Marskensgade 27
3921 Brædstrup"
"Matthias Knudsen","Esthersstræde 976
9225 Vejen"
"Robert Ravn","Adriansgade 22
2707 Borup"
"Kasper Frandsen-Andresen","Mantuastræde 34
8201 Rask Mølle"
"Marcus Mikkelsen","Marathongade 25
3886 Frøstrup"
"Lene Frederiksen","Rialtovej 6
7988 Aakirkeby"
"Univ.Prof. Boris Jørgensen","Gasværksvej 2
7795 Skårup"
"Jano Carlsen","Valkyriegade 61
2082 Ålbæk"
"Univ.Prof. Thea Laursen","Tomsgårdsgade 63
6282 Nimtofte"
"Prof. Jakob Petersen","Eliasvej 4
4381 Jystrup"
"Jacob Jespersen-Frandsen","Uffesvej 959
9793 Dronninglund"
"Matthias Koch","Birkagervej 94
1539 Kruså"
"Elias Hermansen","Støvringvej 909
4914 Køge"
"Tim Paulsen","Valby Langvej 57
2888 Vipperød"
"Nadia Vestergaard-Poulsen","Faksegade 8
2045 Hasle"
"Alf Petersen-Søndergaard","Hovgaards Allé 2
5501 Hurup Thy"
"Timmy Petersen","Spiræa Allé 7
1182 Løgstrup"
"Hugo Dam-Bertelsen","Langhusvej 58
2363 Farum"
"Ingelise Mortensen-Lassen","Scherfigs Allé 5
2500 Jerslev"
"Jonathan Paulsen-Thygesen","November Allé 264
5452 Søndersø"
"Carl Kristoffersen","Fladstjernevej 809
5960 Store Heddinge"
"Maya Frandsen","Håbetsvej 9
7513 Nyrup"
"Rebecca Mikkelsen-Mortensen","Amerikavej 53
7533 Janderup"
"Beth Lauritsen","Mælkeengade 8
6096 Bogø By"
"Univ.Prof. Ib Toft","Bellida Allé 45
9417 Humlebæk"
"Hr Torben Dam","Haldagervej 59
1766 Glamsbjerg"
"Fru Anette Møller","Vester Voldvej 5
6060 Vanløse"
"Prof. Trine Rasmussen","Nebraskagade 42
8170 Bogense"
"Ritt Christensen","Gjorslevvej 149
7029 Virum"
"Tonny Laursen","Schuberts Allé 770
3845 Asaa"
"Klaus Krogh","Masteskursvej 6
1553 Dalby"
"Maya Frederiksen-Sørensen","Sylviavej 649
8682 Præstø"
"Prof. Bruno Jessen","Thorsgade 26
5754 Padborg"
"Øyvind Søndergaard","Nordrupvej 25
7201 Kruså"
"Zenia Nielsen","Rådvadsvej 7
3002 Haderslev"
"Timmy Andresen","Oliefabriksstræde 52
5434 Hørning"
"Ellen Iversen","Tinggade 84
6280 Helsinge"
"Nicoline Hermansen","Bogfinkegade 419
9050 Maribo"
"Thomas Lauritsen","Thingvalla Allé 269
4024 Stenlille"
"Prof. Ivan Overgaard","Bjergmarksgade 434
6219 Sjællands Odde"
"Grethe Koch-Frandsen","Refsnæsstræde 3
3205 Egtved"
"Maya Jensen-Schultz","Trondhjems Allé 17
9776 Bindslev"
"Pernille Steffensen","Vesterbrogade 8
8466 Vorbasse"
"Dr. Leonora Frandsen","Slotsholmsgade 59
5035 Stege"
"Else Dahl","Palnatokesgade 901
2822 Svaneke"
"Ragna Christiansen","Pasteursgade 9
8140 Aalestrup"
"Dr. Tanja Jørgensen","Hysken Allé 58
8679 Vemmelev"
"Claus Gregersen","Mantuagade 39
9945 Væggerløse"
"Bjarne Knudsen","Gothersvej 853
3769 Bording"
"Dr. Lennarth Berg","Farum Allé 5
7213 Rønnede"
"Maria Holst","Rumæniensgade 3
9196 Middelfart"
"Maya Jespersen","Husumstræde 5
3304 Ugerløse"
"Prof. Dagmar Jeppesen","Hammershusvej 2
2084 Hadsund"
"Prof. Zacharias Nielsen","Frankrigsgade 2
2589 Veflinge"
"Prof. Liva Mathiasen","Reverdilsgade 5
8715 Bække"
"Nicolai Schultz-Klausen","Hesseløstræde 4
7726 Hvidovre"
"Emily Pedersen","Krokodillevej 57
3613 Vanløse"
"Janne Iversen","Gjorslevvej 3
8245 Jelling"
"Niels Brandt","Telemarksstræde 9
4958 Bramming"
"Dr. Rolf Nielsen","Strandagervej 1
2548 Bogø By"
"Carina Mathiasen","Risagervej 5
5604 Havdrup"
"Maya Jessen-Bech","Ålstrupvej 822
8537 Redsted"
"Merete Brandt","Arabiens Allé 456
2418 Sønder Omme"
"Univ.Prof. Rita Krogh","Eriksgade 927
7143 Varde"
"Hr Jan Holst","Irmingersvej 18
1050 Sønderborg"
"Dr. Paw Svendsen","Larsbjørnsvej 19
6743 Bandholm"
"Prof. Winni Mortensen","Ib Schønbergsvej 77
9201 Tårs"
"Regitze Thomsen-Lauridsen","Kuglegårdsgade 48
5210 Jordrup"
"Natasha Holm","Derbygade 1
4201 Hurup Thy"
"Jan Jakobsen","Holsteinborg Allé 44
2410 Vejen"
"Dr. Birger Olsen","Bandholmgade 7
9429 Farum"
"Merete Christiansen","Mellemfortsvej 8
1608 Haslev"
"Inga Christiansen","Vognmager Allé 957
5285 Ærøskøbing"
"Maria Olesen","Boyesstræde 122
5582 Ranum"
"Noah Poulsen","Nokken Hovedngade 13
8699 Dybvad"
"Prof. Yannick Nissen","Hammerichsgade 65
3472 Malling"
"Natasja Pedersen","Pommerns Allé 137
4568 Bække"
"Ronny Frederiksen","Strødamgade 504
5555 Låsby"
"Dr. Mette Jakobsen","Nattergalegade 3
2390 Vissenbjerg"
"Hanne Petersen-Schmidt","Falkevej 9
8136 Gredstedbro"
"Vivian Bech","Kurlandsvej 575
5094 Bevtoft"
"Merete Mortensen","Montagnevej 8
5804 Vadum"
"Freja Hermansen","Ungarns Allé 8
7286 Veflinge"
"Erna Christensen","Trekronervej 68
6988 Haslev"
"Prof. Søren Andreasen","Hejre Allé 86
8874 Ålbæk"
"Søs Brandt-Jensen","Vesterstræde 96
2732 Ejby"
"Isabella Andersen","Seline Allé 458
6333 Hemmet"
"Benny Klausen-Eriksen","Krudtmøllegårdsstræde 4
3643 Hørve"
"Sara Lund","Lindenovsvej 95
7989 Videbæk"
"Birgitte Jørgensen-Lauritsen","Hollandsstræde 39
7075 Kirke Såby"
"Marianne Andreasen","Gammel Jernbanegade 79
7940 Tårs"
"Merete Nilsson","Container Allé 430
2638 Stouby"
"Sam Simonsen","Ålholmstræde 4
9380 Horslunde"
"Øyvind Bech","Støberigade 849
4658 Blokhus"
"Philip Gregersen","Gormsvej 94
5615 Kjellerup"
"Alberte Møller","Berggreensvej 96
9560 Hillerød"
"Herbert Olesen","Solskiftevej 457
4456 Mårslet"
"Cecilie Svendsen","Houmannsvej 81
4056 Sandved"
"Richardt Poulsen","Gjorslev Allé 846
9729 Regstrup"
"Naja Kristensen","Istedstræde 270
2257 Sulsted"
"Hr Ole Friis","Heinesgade 7
5130 Hedehusene"
"Merete Toft-Mogensen","Haldagerstræde 9
7396 Rask Mølle"
"Dagmar Johnsen","Kvæsthusvej 14
7031 Sydals"
"Solvej Lind-Johansen","Horsekilde Allé 4
3276 Vestervig"
"Fru Mille Schou","Gullandsgade 54
3394 Hillerød"
"Ellen Nørgaard","Nystedvej 33
3169 Hovedgård"
"Cirkeline Østergaard","Malmøvej 7
2869 Outrup"
"Vera Møller","Dragsholmvej 17
5795 Klovborg"
"Katcha Johansen","Ottiliagade 10
2195 Kværndrup"
"Fru Marianne Andersen","Bechgaardsvej 3
1400 Herfølge"
"Inga Gregersen","Nørrebrogade 12
5606 Spjald"
"Merethe Thomsen","Sporemagergade 24
3148 Blommenslyst"
"Dorte Thomsen","Gefionsgade 8
4011 Ølgod"
"Ziggy Hansen-Sørensen","Snertingevej 200
7120 Rude"
"Albert Christiansen","Lemnos Allé 29
3713 Rungsted Kyst"
"Hans Nissen","Bjerregårdsgade 122
4615 Vildbjerg"
"Dr. Anne Christiansen","Degnemosegade 9
9920 Gistrup"
"Prof. Emil Lauritsen","Faksingegade 6
5779 Dalby"
"Kirstin Frederiksen","Ravneholmsvej 61
5555 Dronninglund"
"Ernst Andresen","Slagtehusgade 8
4743 Højslev"
"Bettina Mogensen","Bjergmarksvej 6
7548 Støvring"
"Mette Jespersen-Christiansen","Speditørvej 815
8896 Værløse"
