"Aage Christiansen"	"Vognmagervej 581
9515 Flemming" 
"Abelone Andresen"	"Ærtelandsvej 3
9298 Karrebæksminde"
"Johannes Henriksen"	"Ferring Allé 89
1755 Barrit"
"Inger Hermansen"	"Krusågade 5
1046 Løgumkloster"
"Dr. Yrsa Jensen"	"Vendersgade 7
9724 Bredebro"
"Univ.Prof. Sam Gregersen"	"Tscherningsgade 5
4229 Grenaa"
"Hr Svenning Frandsen"	"Elmelundegade 86
5386 Them"
"Dr. Herman Jepsen"	"Høffdingsgade 14
9158 Ringsted"
"Simon Krogh"	"Stenlillegade 9
7454 Padborg"
"Cirkeline Østergaard"	"Toftegårdsvej 93
5147 Helsingør"
"Henriette Østergaard-Laursen"	"Brorsonsgade 4
4604 Tølløse"
"Prof. Regitse Lauritsen"	"Angelvej 247
8500 Asaa"
"Iben Henriksen"	"Sejlklubvej 2
5662 Ikast"
"Erling Jørgensen"	"Nordbanevej 57
5745 Hejls"
"Gerda Danielsen"	"Brobergsstræde 44
6972 Rudkøbing"
"Amalie Schmidt-Overgaard"	"Marbjergstræde 5
7497 Føllenslev"
"Hr Tommy Petersen"	"Vangehusstræde 71
5230 Vissenbjerg"
"Hr Rolf Eriksen"	"Lyonvej 252
2034 Broby"
"Verner Thorsen"	"Mullerupvej 277
1677 Vordingborg"
"Karsten Holst"	"Kattinge Allé 11
1431 Karise"
"Jakob Poulsen"	"Spartavej 9
4907 Humlebæk"
"Univ.Prof. Conny Christoffersen"	"Sundholmsstræde 5
3121 Rønne"
"Christine Søndergaard"	"Tibirkestræde 173
9396 Storvorde"
"Prof. Hjalte Koch"	"Utterslevstræde 2
7624 Bagenkop"
"Øyvind Andresen"	"Sjællandsvej 34
9073 Vamdrup"
"Birthe Johnsen"	"Hirsevej 491
9888 Janderup"
"Hr Troels Pedersen"	"Ægirs Allé 3
3121 Slangerup"
"Hr Henry Carlsen"	"Borneovej 832
9812 Løkken"
"Vagn Andresen"	"Langkærvej 642
1556 Sporup"
"Prof. Ruth Ravn"	"Tingskifte Allé 9
6899 Ikast"
"Prof. William Madsen"	"Pæonvej 483
9547 Vodskov"
"Univ.Prof. Ane Poulsen"	"Morgendugvej 27
7646 Løgstrup"
"Minna Clausen"	"Judithsvej 340
5108 Gedved"
"Stig Søndergaard-Laursen"	"Laplandsvej 849
1924 Sorø"
"Karlo Mortensen"	"Gearhalsgade 99
3903 Gistrup"
"Tim Simonsen-Nielsen"	"Øster Søvej 78
1610 Svebølle"
"Hr Verner Schmidt"	"Landlystvej 44
7824 Skødstrup"
"Prof. Peter Lauritsen"	"Tomsgårdsstræde 79
8305 Klippinge"
"Hr Richard Jessen"	"Vasbygade 629
9011 Sakskøbing"
"Nina Jensen-Olesen"	"Reersøstræde 91
8439 Them"
"Univ.Prof. Conny Schmidt"	"Verasstræde 18
5971 Farsø"
"Dr. Jens Kristiansen"	"Havnevej 915
2054 Holte"
"Brian Gregersen"	"Venøvej 79
5278 Gjern"
"Johnnie Andreasen"	"Urbansvej 194
8902 Sydals"
"Univ.Prof. Emma Brandt"	"Klaipedavej 5
7337 Ringkøbing"
"Karen Eriksen"	"Nivåvej 80
9985 Fakse Ladeplads"
"Hr Villads Bach"	"Philip De Langesgade 857
4519 Langå"
"Prof. Simone Knudsen"	"Uglegade 3
4086 Arden"
"Julius Laursen"	"Ålandsgade 68
7479 Ringsted"
"Isabella Toft"	"Kongshøjvej 1
6433 Hampen"
"Hr Bent Nørgaard"	"Steinsgade 473
5374 Sindal"
"Britt Holm"	"Gunhildsgade 396
5808 Aabenraa"
"Curt Christensen"	"Parnasstræde 611
7118 Sandved"
"Dr. Zelma Nørgaard"	"Nordborg Allé 50
1835 Asnæs"
"Tine Berg-Karlsen"	"Stenløsegade 87
9599 Stouby"
"Gert Nielsen"	"Krystalgade 416
8384 Tønder"
"Hr Zacharias Danielsen"	"Herlufsholmstræde 76
7953 Frederikshavn"
"Bente Kjær-Jakobsen"	"Kjærstrupgade 89
8865 Tistrup"
"Bitten Schultz"	"Torbenfeldtvej 46
4830 Jelling"
"Alvin Bruun-Jacobsen"	"Hornemansgade 9
4063 Bogense"
"Fru Kirsten Kristoffersen"	"Marstals Allé 24
1406 Viuf"
"Alvin Vestergaard"	"Grøndalsvængegade 3
9737 Ullerslev"
"Fru Merethe Thomsen"	"Teglstrupvej 767
2291 Strandby"
"Doris Clausen"	"Adelstræde 794
3780 Vemb"
"Amalie Krogh"	"Bådehavnsvej 36
8065 Hundslund"
"Yda Frederiksen"	"Heldbogade 38
8002 Trige"
"Hr Åbjørn Andersen"	"Mimers Allé 3
3892 Løgstrup"
"Michael Nielsen-Knudsen"	"Tomsgårds Allé 3
4777 Viby J"
"Frans Gregersen"	"Dragsholmgade 73
9859 Solbjerg"
"Gerda Jespersen"	"Tønnesvej 2
9828 Sporup"
"Jakob Schou"	"Haifa Allé 577
1407 Løgstrup"
"Klara Schultz"	"Drejøvej 53
4530 Vesterborg"
"Uffe Toft-Kristoffersen"	"Gearhalsvej 55
5592 Bylderup-Bov"
"Nicolai Nørgaard"	"Birkholmvej 51
4073 Hanstholm"
"Olga Nørgaard-Klausen"	"Dige Allé 627
1495 Dragør"
"Ludvig Jepsen"	"Sigerstedvej 7
1482 Stakroge"
"Hugo Dam"	"Sønderborgstræde 50
2481 Øster Ulslev"
"Jenny Bech"	"Gransangervej 4
9581 Højbjerg"
"Fru Patricia Iversen"	"Weysesvej 75
6661 Skjern"
"Prof. Susanne Jeppesen"	"Sibelius Allé 3
4200 Grindsted"
"Esmarelda Bach-Dahl"	"Saabyesvej 300
3446 Glumsø"
"Alvin Lind"	"Weimargade 7
9570 Dybvad"
"Astrid Møller"	"Løgæblegade 23
1729 Svenstrup"
"Connie Nissen-Rasmussen"	"Eskjærstræde 165
2459 Holeby"
"Yan Svendsen"	"Haderslevvej 8
4250 Bjæverskov"
"Univ.Prof. Sara Eriksen"	"Horsekildegade 3
1963 Morud"
"Ib Johnsen"	"Haldagerstræde 4
1003 Nyrup"
"Ester Mathiesen-Jeppesen"	"Lyneborggade 9
5391 Hedensted"
"Hr Richardt Bruun"	"Store Strandvej 83
6658 Ølsted"
"Dr. Oda Bertelsen"	"Ingolfsvej 44
5924 Sjællands Odde"
"Hr Peter Hansen"	"Kirsteinsvej 8
3291 Birkerød"
"Robert Poulsen"	"Nordbanevej 6
5356 Maribo"
"Steve Christensen-Christensen"	"Baldersgade 911
3727 Østermarie"
"Stig Schultz"	"Livøgade 33
7565 Slangerup"
"Beth Kristiansen"	"Vognmagervej 733
1801 Solrød Strand"
"Preben Østergaard"	"Fajancevej 865
9537 Thyborøn"
"Iben Bach"	"Tranegade 30
6376 Ullerslev"
"Nikolai Overgaard"	"J.P.E. Hartmannsgade 9
5108 Fejø"
"Laust Hermansen-Andresen"	"Turesensvej 639
1697 Frederikshavn"
"Dr. Lars Iversen"	"Korinthgade 562
4364 Tisvildeleje"
"Jannie Frederiksen"	"Skjulhøjvej 4
8326 Hjerm"
"Prof. Lennarth Lassen"	"Lerfosgade 305
5369 Dalby"
"Flemming Kjær"	"Weidekampsvej 205
6895 Roskilde"
"Filippa Thomsen"	"Smørumvej 1
9828 Brørup"
"Richard Paulsen"	"Njalsvej 309
6491 Vejle Øst"
"Øvli Brandt-Sørensen"	"Pakkerivej 4
4394 Rynkeby"
"Iben Gregersen"	"Christian II'svej 5
8103 Svaneke"
"Dr. Øystein Steffensen"	"Klitmøllergade 46
3660 Padborg"
"Benedicte Mortensen"	"Persiensgade 983
9015 Skive"
"Gertrud Jensen-Thomsen"	"Danshøjvej 1
3179 Egå"
"Univ.Prof. Bente Kristensen"	"Bygmestergade 728
2231 Hedehusene"
"Hjalte Lund"	"Kalkbrænderihavnsvej 62
2786 Aulum"
"Prof. Esben Schmidt"	"Bellmansgade 59
6456 Dalmose"
"Dr. Simone Kjær"	"Rørmosegade 74
7219 Sæby"
"Univ.Prof. Kurt Johnsen"	"Lysefjordsvej 821
2705 Sydals"
"Bjarne Simonsen"	"Pommernsgade 3
1304 Rønnede"
"Iben Lauritsen-Friis"	"Mellemforts Allé 27
6648 Hårlev"
"Joachim Andersen"	"Åløkkevej 5
7288 Hjortshøj"
"Ditte Winther"	"Sternberggade 678
7466 Harpelunde"
"Morten Rasmussen"	"Stenosgade 6
9799 Thyholm"
"Nick Kristensen"	"Tallinngade 94
2190 Janderup"
"Casper Klausen"	"Sandbygårdgade 41
8022 Hirtshals"
"Prof. Matthias Klausen"	"Donau Allé 759
5161 Hørve"
"Jim Lassen-Kjeldsen"	"Skyttegårdstræde 82
9557 Næstved"
"Else Jeppesen"	"Rådmandsvej 86
4166 Grevinge"
"Ronja Petersen"	"Rosenborgvej 139
5157 Torrig"
"Ida Christensen"	"Fjenneslevvej 517
6049 Nysted"
"Dr. Nicolaj Mikkelsen"	"Asminderødgade 694
9149 Bolderslev"
"Tina Simonsen"	"Sværtevej 451
1960 Ålsgårde"
"Gunnar Lund-Simonsen"	"Fafnersstræde 905
7390 Hemmet"
"Fru Josefine Henriksen"	"Bilbaostræde 1
2978 Harlev"
"Univ.Prof. Bjarne Kristensen"	"Klaksvigs Allé 54
3380 Nivå"
"Sine Lassen-Koch"	"Gartnerivej 381
1467 Hinnerup"
"Prof. Gunhild Larsen"	"Schleppegrellsgade 701
6180 Store Merløse"
"Sussie Kristiansen"	"Emdrupgårdsvej 28
6857 Jyderup"
"Dr. Boris Møller"	"Biensvej 9
6166 Hjerm"
"Ida Christiansen"	"Formosa Allé 7
4535 Ebberup"
"Bruno Carlsen"	"Præstegårdsgade 9
8979 Skævinge"
"Ludvig Thygesen-Schultz"	"Middelfartvej 3
7174 Mariager"
"Lars Lassen"	"Vølundsvej 39
7357 Rønne"
"Alexander Frederiksen"	"Kentiavej 952
6991 Rynkeby"
"Charlotte Skov-Lind"	"Galionsgade 2
7089 Esbjerg"
"Ragnar Hansen"	"Kattingegade 7
8833 Jelling"
"Andrea Petersen"	"Wildersstræde 77
3060 Greve"
"Hr Mogens Lauritsen"	"Kroghsvej 3
3274 Kirke Eskilstrup"
"Univ.Prof. Birthe Mogensen"	"Gyrstingegade 589
5293 Haderslev"
"Ida Karlsen-Nørgaard"	"Ægirs Allé 58
4404 Rødovre"
"Zacharias Kristoffersen-Nilsson"	"Løgæblevej 93
4202 Herfølge"
"George Nielsen-Jørgensen"	"Beethovensvej 514
1382 Grevinge"
"Malthe Thomsen-Jepsen"	"Jernæblestræde 226
7516 Boeslunde"
"Valdemar Friis"	"Rosendalsstræde 207
6992 Humlebæk"
"Rikke Kjeldsen"	"Bygårdvej 4
6117 Aarup"
"Camilla Jensen-Jakobsen"	"Sassnitzstræde 647
8190 Brovst"
"Marianne Simonsen"	"Rødelandsvej 6
1749 Tylstrup"
"Kjeld Møller"	"Svankærgade 1
3118 Bredsten"
"David Eriksen"	"Kalkbrænderihavnsvej 999
1505 Skævinge"
"Ida Nissen-Nilsson"	"Gyldenlakgade 15
5395 Bramming"
"Robin Danielsen-Eriksen"	"Sommerstedvej 6
7330 Aabybro"
"Bo Madsen"	"Gerdasvej 814
5814 Jystrup"
"Susanne Paulsen"	"Ahornsgade 2
5806 Asnæs"
"Fru Ingelise Mortensen"	"Kristianiastræde 386
3792 Asaa"
"Tanja Frandsen"	"Bjergsted Allé 3
2518 Karby"
"Allan Olsen-Vestergaard"	"Skyttegård Allé 840
6815 Anholt"
"David Bach"	"Middelfart Allé 207
1351 Tikøb"
"Karina Jørgensen"	"Matthæusstræde 119
6673 Broby"
"Anton Thomsen-Hansen"	"Brønshøj Kirkevej 85
1649 Sunds"
"Ida Poulsen-Nielsen"	"Gammel Kongegade 898
9156 Kokkedal"
"James Lind"	"Toftegårdsvej 531
6087 Vils"
"Ida Christensen"	"Majrose Allé 50
3140 Ansager"
"Brian Knudsen"	"Gammel Køge Lande Allé 786
4549 Farsø"
"Dr. Bitten Simonsen"	"Høsterkøbgade 392
4508 Snertinge"
"Nana Friis"	"Roskilde Allé 711
8775 Hornsyld"
"Yngve Friis"	"Emdrup Engstræde 7
9452 Skals"
"Ester Dam-Jepsen"	"Ulrik Birchsvej 622
5817 Hellerup"
"Carsten Kjær"	"Hindestræde 6
2548 Espergærde"
"Solveig Kristensen"	"Rebslagervej 4
8034 Hundslund"
"Ida Ravn"	"Admiralgade 68
6490 Balle"
"Johnny Kjeldsen"	"Bykildevej 45
7221 Hasle"
"Ronja Brandt-Jeppesen"	"Caprivej 28
7267 Vissenbjerg"
"Dr. Maria Thorsen"	"Ruths Allé 83
6693 Jerslev"
"Jean Iversen"	"Kaldæagade 787
5595 Fur"
"Vera Lassen"	"Brynhildevej 289
9415 Vejers Strand"
"Kristina Holst"	"Aldersrovej 381
3360 Lemming"
"Borris Frandsen"	"Burmeistersgade 8
1559 Humlebæk"
"Fru Merete Skov"	"Nøragervej 4
5962 Søborg"
"Randi Andreasen"	"Toldskrivervej 2
7505 Søby Ærø"
"Inga Bech"	"Sæbygade 1
6225 Harboøre"
"Univ.Prof. Ragnar Lauridsen"	"Lundingsstræde 3
4789 Knebel"
"Univ.Prof. Rolf Christensen"	"Valkyriegade 4
8457 Øster Ulslev"
"Flemming Mikkelsen-Dahl"	"Pomona Allé 550
7681 Martofte"
"Mie Brandt"	"Prinsesse Allé 72
1799 Branderup"
"Ester Henriksen"	"Lille Søndervoldvej 88
8941 Gelsted"
"Prof. Merethe Holm"	"Calaisvej 68
6779 Veksø Sjælland"
"Jarl Holst"	"Uffesvej 320
9811 Padborg"
"Øivind Jacobsen"	"Ærtelandsvej 323
8984 Maribo"
"Sebastian Dam"	"Herslev Allé 898
8938 Ringsted"
"Inga Kjeldsen"	"Ny Vestervej 8
2999 Hvide Sande"
"Dr. Sine Østergaard"	"Højmose Allé 184
6487 Broby"
"Britt Mathiasen"	"Stenlillevej 277
6207 Lintrup"
"Trine Mogensen-Schultz"	"Tscherningsgade 165
5739 Vejby"
"Amanda Schmidt"	"Vilhelm Thomsensstræde 7
6329 Rask Mølle"
"Prof. Lone Kristiansen"	"Eriksgade 788
8882 Hejnsvig"
"Jonas Bach-Kristensen"	"Folke Bernadottesvej 61
4605 Slangerup"
"Susanne Steffensen-Christoffersen"	"Sigurds Allé 9
4359 Næstved"
"Stig Klausen"	"Vognborgvej 768
9384 Stensved"
"Dr. Carina Skov"	"Limfjordsgade 195
2830 Borup"
"Inga Lauritsen"	"Ulvsundvej 624
2237 Rødby"
"Christine Kjeldsen"	"Amagerfælledvej 3
9102 Engesvang"
"Fru Sandra Brandt"	"Myggenæs Allé 177
1260 Gudhjem"
"Fru Karin Søndergaard"	"Tyborønvej 504
1926 Årre"
"Philip Svendsen"	"Boltongade 128
6550 Fredensborg"
"Dr. Trine Brandt"	"Hansstedvej 71
4347 Børkop"
"Herdis Lauritsen"	"Hvalsøgade 694
9680 Hellerup"
"Univ.Prof. Sussanne Kjeldsen"	"Hestemøllevej 94
6313 Nibe"
"Prof. Iben Søndergaard"	"Holsteinborggade 67
7683 Lille Skensved"
"Charlotte Bech"	"Ebbe Rodesvej 607
2667 Hjerm"
"Inga Laursen"	"Koldingstræde 8
6684 Vig"
"Odeline Kjær"	"Knabrostræde 82
5255 Middelfart"
"Univ.Prof. Bodil Poulsen"	"Lille Søndervoldgade 27
1142 Hillerød"
"Dr. Maya Overgaard"	"Odins Tværgade 303
8952 Måløv"
"Birgit Lassen"	"Ib Schønbergsvej 96
4039 Bedsted Thy"
"Nadia Holm-Friis"	"Løgæblevej 70
8851 Blokhus"
"Iver Winther"	"Brigade 281
2537 Gørløse"
"Ella Winther-Danielsen"	"Morbærgade 8
4746 Roskilde"
"Sandra Clausen"	"Kraftværksstræde 146
9999 Harlev"
"Prof. Kirstine Andreasen"	"Gyrstinge Allé 5
8345 Bogense"
"Inga Lund"	"Egegade 56
1862 Korsør"
"Aage Bertelsen"	"Gerlevgade 9
3315 Knebel"
"Dr. Einar Olsen"	"Øster Farimagsvej 5
8996 Bjerringbro"
"Univ.Prof. Lona Eriksen"	"Tromsøvej 585
4204 Nykøbing Sj"
"Dr. Jacob Frandsen"	"Klintevej 15
7937 Østermarie"
"Lotte Mortensen"	"Thoravej 270
2835 Fakse Ladeplads"
"Kasper Klausen"	"Knivholtvej 159
7103 Hillerød"
"Prof. Jacqueline Dahl"	"Vestregade 17
1141 Sulsted"
"Prof. Marie Thomsen"	"Rebekkagade 172
6625 Vallensbæk Strand"
"Sten Kjeldsen"	"Mariehamnvej 46
3527 Veflinge"
"Inge Mogensen"	"Reykjaviksgade 4
5164 Nykøbing Sj"
"Univ.Prof. Katja Jessen"	"Rugagergade 780
3704 Søby Ærø"
"Univ.Prof. Randi Dahl"	"Gudenåvej 131
2185 Rynkeby"
"Jakob Madsen"	"Shetlandsvej 5
9465 Mariager"
"Ragnhild Friis"	"November Allé 438
9871 Jyllinge"
"Bodil Koch"	"Brøndkær Allé 61
3905 Haderslev"
"Nicolai Friis"	"Ågerupvej 607
7381 Søby Ærø"
"Prof. Oda Kjær"	"Malmø Allé 8
3688 Knebel"
"Yasmin Carlsen"	"Bjelkesgade 92
2877 Måløv"
"Irma Thorsen"	"Herlufsholm Allé 820
6939 Hurup Thy"
"Inge Nilsson"	"Sigerstedvej 1
6012 Væggerløse"
"Dr. Flemming Olsen"	"Gunløgsvej 23
6253 Store Heddinge"
"Erling Schultz"	"Jægersprisvej 829
2030 Hjørring"
"Yda Winther"	"Dyvekesvej 53
8105 Vadum"
"Prof. Øvli Dam"	"Vatna Allé 177
4398 Højer"
"Helge Berg"	"Samsø Allé 45
2929 Vils"
"Sofia Olsen"	"Hjertensfrydsvej 460
8030 Havdrup"
"Dr. Nikolaj Jakobsen"	"Vogtervej 15
9579 Terndrup"
"Gyda Steffensen"	"Alsstræde 22
5828 Risskov"
"Dr. Jens Pedersen"	"Vånings Allé 37
5603 Bøvlingbjerg"
"Inge Winther"	"Heimdalsvej 434
7920 Randers"
"Julius Eriksen"	"Birkholm Allé 11
7452 Tjæreborg"
"Klaus Brandt-Jørgensen"	"Jordbær Allé 956
1459 Guldborg"
"Clavs Skov-Nørgaard"	"Høgholtstræde 5
5653 Broby"
"Jørgen Overgaard"	"Nærumstræde 17
3941 Fjenneslev"
"Prof. James Eriksen"	"Ulrik Birchs Allé 32
4990 Vemmelev"
"Daniella Bertelsen"	"Rugagervej 440
2668 Horbelev"
"Prof. Klaus Jespersen"	"Højsager Allé 205
6040 Rødovre"
"Laust Lassen-Dahl"	"Rossinisvej 97
6712 Augustenborg"
"Nicklas Jacobsen-Møller"	"Holsteinborgvej 2
1674 Nordborg"
"Ingelise Thorsen"	"Vennemindevej 9
1448 Hampen"
"Georg Lind"	"Marmorvej 1
7537 Lundby"
"Hr Lennarth Madsen"	"Enveloppegade 761
3344 Tranbjerg J"
"Hans Klausen-Brandt"	"Fruebjergvej 45
1579 Asaa"
"Ingelise Svendsen"	"Kabbelejevej 843
9918 Borre"
"Prof. Odette Østergaard"	"Speditørgade 926
4899 Spjald"
"Thea Vestergaard"	"Gørtlervej 3
5794 Holte"
"Adam Østergaard"	"Hvidkildegade 24
6574 Ryomgård"
"Iver Danielsen"	"Lauravej 373
2066 Thyholm"
"Oskar Petersen-Carlsen"	"Ålandsstræde 5
3022 Stubbekøbing"
"Ingelise Thorsen"	"Ørhagevej 210
1303 Kibæk"
"Gurli Lind"	"Meklenborgvej 26
2333 Nørreballe"
"Prof. Ruben Schultz"	"Bristolvej 43
3587 Rynkeby"
"Olga Paulsen"	"Rønnebærvej 3
9292 Gråsten"
"Prof. Frederikke Klausen"	"Gislingevej 525
8144 Bryrup"
"Fru Tina Iversen"	"Møllegårdsvej 210
9312 Bryrup"
"Fru Rosa Thygesen"	"Guldstjernevej 940
3727 Redsted"
"Dr. Flemming Østergaard"	"Skaffervej 85
6623 Sandved"
"Maiken Ravn-Kristoffersen"	"Bækkeskovgade 161
3200 Regstrup"
"Klaus Bruun-Bach"	"Bomhusvej 5
3050 Vallensbæk"
"Inger Andresen"	"Rosenørnsgade 914
7603 Nimtofte"
"Lucas Mathiesen"	"Rygårdsgade 74
7354 Holeby"
"Signe Schultz"	"Thingvallagade 77
4853 Stubbekøbing"
"Maria Berg"	"Rørsangergade 8
4818 Lundby"
"Dr. Julie Rasmussen"	"C.F. Møllers Allé 1
8683 Solrød Strand"
"Sara Johansen"	"Amager Strand Allé 6
2688 Kjellerup"
"Ester Kristoffersen-Mathiesen"	"Middelgrundsvej 7
6984 Valby"
"Signe Mogensen-Jespersen"	"Oceanvej 2
1004 Viby J"
"Ken Henriksen"	"Hannovervej 14
5163 Hundslund"
"Catrine Lind"	"Fuglefængerstræde 4
4835 Arden"
"Inger Bach-Jespersen"	"Rundholtsvej 10
9491 Snedsted"
"Alberte Olsen"	"Toftebakkestræde 928
1474 Føllenslev"
"Fru Regitze Skov"	"Bangsbovej 949
3779 Rødby"
"Steen Mathiesen"	"Vestermarksstræde 2
9061 Store Merløse"
"Amanda Bertelsen"	"Knabstrupgade 4
7818 Grenaa"
"Dr. Øjvind Hansen"	"Hørdumsstræde 184
1807 Skærbæk"
"Susanne Svendsen"	"Liflandsstræde 9
5809 Svendborg"
"Ludvig Vestergaard-Olsen"	"Saxostræde 5
2197 Hasselager"
"Clara Andersen"	"Biensvej 862
9346 Dianalund"
"Ole Jacobsen"	"Havnegade 441
1885 Kruså"
"Inger Lind-Sørensen"	"Slusegade 847
1125 Gislinge"
"Dr. Yda Thomsen"	"Portlandsstræde 72
7504 Dronningmølle"
"Kaspar Lind"	"Olymposgade 8
7335 Skælskør"
"Fru Berta Thorsen"	"Ramsingsgade 59
6126 Værløse"
"Dr. Clara Mogensen"	"Obdamsvej 34
8409 Bredsten"
"Johannes Bertelsen"	"Gudenåvej 123
5087 Outrup"
"Vera Jessen"	"Saabyesvej 84
4029 Store Merløse"
"Prof. Christina Skov"	"Grevingevej 724
7055 Jerup"
"Nils Larsen"	"Pistolgade 802
7526 Valby"
"Dr. Tanja Overgaard"	"Blytækkervej 6
6317 Viby Sjælland"
"Inger Mathiesen"	"Frimestergade 221
7652 Ry"
"Curt Schou"	"Vejrø Allé 4
2956 Ølstykke"
"Hr Jimmy Mogensen"	"Leifsgade 97
2920 Søllested"
"Richard Kjeldsen"	"Kronborgvej 55
3567 Humlebæk"
"Laus Laursen"	"Hannovervej 8
4618 Jelling"
"Beth Overgaard"	"Sokkelundsstræde 541
1398 Dannemare"
"René Simonsen"	"Syvstensvej 15
4221 Trustrup"
"Margit Schou"	"Mansas Allé 6
3474 Gentofte"
"Olga Andresen-Jeppesen"	"Helsingborggade 44
6822 Redsted"
"Curt Jeppesen"	"Amager Strandgade 8
4018 Ullerslev"
"Inger Petersen"	"Metrovej 4
2412 Løkken"
"Joakim Nissen"	"Pasteursvej 1
9042 Brovst"
"Selma Jepsen"	"Trekløvervej 55
9691 Hørning"
"Jon Ravn"	"Rahbeksgade 415
1387 Thyholm"
"Bertil Schmidt-Mathiasen"	"Fanøvej 18
3564 Lunderskov"
"Dr. Ellen Jensen"	"Neapelgade 535
4446 Dybvad"
"Clavs Johansen"	"Nelson Mandelasgade 8
8844 Højbjerg"
"David Schmidt-Klausen"	"Dag Hammarskjöldsvej 3
9174 Jerslev"
"Ronny Møller"	"Istanbulgade 99
2623 Thyborøn"
"Jakob Henriksen"	"Slåengade 704
5827 Østermarie"
"Ingrid Bruun"	"Kongelundsgade 456
4040 Aalborg"
"Prof. Grete Holm"	"Grækenlandsstræde 847
8006 Egernsund"
"Elsebeth Petersen"	"Teglbrændervej 82
5445 Gandrup"
"Prof. Øystein Frandsen"	"Rigastræde 331
6193 Nørre Snede"
"Åge Berg"	"Guldagerstræde 9
7770 Tylstrup"
"Thomas Thomsen"	"Tryggevældevej 544
2579 Asperup"
"Åbjørn Toft"	"Gørtlervej 81
3478 Langeskov"
"Hr Gustav Johnsen"	"Dronning Dagmars Allé 85
2005 Gilleleje"
"Martin Knudsen-Krogh"	"Bohrsgade 41
5037 Ans by"
"Villads Toft"	"Arkonastræde 6
4451 Gjern"
"Ingrid Christiansen"	"Grønagergade 913
7480 Tistrup"
"Prof. Ruth Kjeldsen"	"Klaipedavej 24
3440 Vestbjerg"
"Dr. Ludvig Frandsen"	"Isafjordsgade 645
2097 Torrig"
"Hr Yngve Jørgensen"	"Mimersstræde 88
3655 Nexø"
"Josefine Skov"	"Birkholmvej 199
6954 Sønder Felding"
"Annemette Jørgensen"	"Absalonsgade 545
3839 Jyllinge"
"Zenia Christiansen"	"Østrigsgade 9
5800 Stubbekøbing"
"Univ.Prof. Claus Klausen"	"Præstemarksstræde 8
7427 Hagersten"
"Jean Thygesen"	"Husumgade 8
7546 Fårup"
"Kenneth Paulsen"	"Krogagervej 59
7473 Anholt"
"Ingrid Hermansen-Laursen"	"Hedegaardsvej 5
4474 Spjald"
"Ronnie Kristoffersen"	"Toftøjestræde 598
2747 Brøndby Strand"
"Prof. Britta Simonsen"	"Lønstrup Allé 58
6601 Fredericia"
"Univ.Prof. Hannah Kjær"	"Krogerupvej 595
9043 Glamsbjerg"
"Clara Holm"	"Nikolajvej 6
6635 Viby J"
"Frode Thomsen"	"Vestermarksgade 1
9135 Rødovre"
"Rasmus Paulsen-Gregersen"	"Dagø Allé 16
1316 Havndal"
"Prof. Johan Steffensen"	"Smålandsgade 783
9647 Glamsbjerg"
"Britta Jespersen-Jessen"	"Eng Allé 692
2803 Hasselager"
"Ruth Ravn"	"Serridslevstræde 91
6593 Dalby"
"Ingrid Schmidt-Andersen"	"Raunstrupgade 336
6027 Dronningmølle"
"Hr Aksel Dam"	"Vangsgade 2
2801 Hørve"
"Univ.Prof. Ludvig Nielsen"	"Hvidtjørnestræde 3
6853 Ugerløse"
"Carl Henriksen"	"Masnedøgade 509
7876 Søborg"
"Ziggy Møller"	"Gransangerstræde 996
9192 Sejerø"
"Hans Johansen"	"Dyvekesstræde 2
7074 Frørup"
"Univ.Prof. Bertil Nilsson"	"Saltøvej 382
5391 Østermarie"
"Prof. Gitte Petersen"	"Stokhusvej 215
6901 Hesselager"
"Werner Paulsen-Bach"	"Danstrup Allé 86
6464 Tårs"
"Mik Paulsen"	"Koldingvej 63
5421 Rude"
"Irma Bech"	"Vestagergade 915
3893 Kruså"
"Natasha Jeppesen"	"Haldager Allé 58
2100 Langå"
"Ragnar Kristiansen"	"Emdrup Allé 85
7717 Skagen"
"Prof. Esmarelda Petersen"	"Blåmunke Allé 4
5662 Svebølle"
"Prof. Hannah Christoffersen"	"Kongsdalgade 33
7487 Sulsted"
"Mille Holm"	"Karensvej 833
5675 Fjerritslev"
"Emil Mikkelsen"	"Jollegade 31
9375 Ølsted"
"Hr Alf Simonsen"	"Bjergstedvej 735
3369 Skødstrup"
"Ludvig Thorsen"	"Valhøjgade 352
6399 Vordingborg"
"Kristina Steffensen"	"Kertemindegade 82
6348 Søndersø"
"Irma Brandt-Jeppesen"	"Bordeauxvej 877
4894 Harboøre"
"Johan Holm"	"Birkestræde 13
1847 Kolding"
"Dr. Marius Kristensen"	"Fanøstræde 101
6640 Thyborøn"
"Joakim Andresen"	"Selevej 6
3655 Grevinge"
"Dan Thygesen"	"Dragsholmgade 929
5969 Vallensbæk"
"Marie Østergaard"	"Cylindervej 9
7045 Skærbæk"
"Univ.Prof. Gurli Christensen"	"Stoltenbergsvej 169
3221 Jerslev"
"Dorte Schou"	"Hammelstrup Allé 329
3624 Hurup Thy"
"Grethe Thomsen"	"Holsteinborgvej 144
7021 Malling"
"David Dam-Madsen"	"Bygmestervej 53
6557 Brøndby Strand"
"Irma Henriksen"	"Sadelmagervej 6
1196 Lemvig"
"Jacqueline Clausen-Danielsen"	"Speditørvej 95
6985 Ringkøbing"
