"Aage Dahl"|"Jeppes Allé 29
9602 Risskov" 
"Herman Ravn"|"Jyderupvej 69
4945 Horbelev"
"Fru Amalie Dahl"|"Forbindelsesgade 7
3700 Harpelunde"
"Prof. Ulla Christoffersen"|"Borger Allé 61
7364 Kibæk"
"Univ.Prof. Johannes Vestergaard"|"Stadfeldtsvej 8
9158 Rynkeby"
"Mads Laursen-Lauridsen"|"Sibeliusgade 888
1595 Asnæs"
"Dr. Preben Bertelsen"|"Tudskærgade 87
2821 Hellebæk"
"Naja Schou"|"Brohusgade 606
7714 Aulum"
"Ingrid Johansen-Bech"|"Sofienhøjvej 51
8833 Faaborg"
"Ruth Østergaard"|"Dybbølsgade 6
7985 Hanstholm"
"Nete Paulsen-Johnsen"|"Borupsvej 20
7811 Nørager"
"Nils Dahl"|"Platanvej 5
4362 Stouby"
"Ronni Carlsen"|"Børglumvej 7
9606 Ferritslev Fyn"
"Kenn Laursen-Christoffersen"|"Lautrups Allé 728
9709 Stensved"
"Yda Clausen"|"Hammershusvej 8
4565 Søby Ærø"
"Univ.Prof. Grete Clausen"|"Sætersdalstræde 34
8583 Randbøl"
"Iver Winther"|"Vester Voldgade 984
9021 Ruds Vedby"
"Øvli Møller"|"Gearhalsvej 5
8246 Frederiksværk"
"Prof. Julie Thygesen"|"Bulbjergvej 1
3905 Hårlev"
"Nicoline Mathiesen"|"Rødkildevej 77
4854 Aalborg"
"Nick Berg-Christensen"|"Limfjords Allé 896
8826 Egtved"
"Gertrud Poulsen"|"Gdanskvej 5
1019 Gudbjerg"
"Johnny Sørensen"|"Lilliendalsvej 8
1980 Dalmose"
"Lene Carlsen-Kristoffersen"|"Vendersstræde 33
1560 Rønne"
"Birgitte Jakobsen-Olsen"|"Kingosvej 1
7789 Vanløse"
"Prof. Dennis Andresen"|"Skovløbervej 7
5963 Skælskør"
"Tejs Laursen"|"Løvstræde 3
9817 Jerslev"
"Prof. Viola Svendsen"|"Agnetevej 5
7175 Støvring"
"Hr Jonas Hermansen"|"Kvægtorvsvej 62
4491 Struer"
"Karla Olsen"|"Küchlersgade 270
7975 Havndal"
"Nick Christoffersen"|"Herfølgegade 9
3773 Svinninge"
"Lennarth Olsen"|"Verdisvej 62
2119 Gistrup"
"Silje Poulsen"|"Støbegodsvej 10
4458 Stakroge"
"Vivian Møller"|"Horserødvej 7
1648 Grenaa"
"Jakob Hermansen"|"Havdrupvej 7
3437 Karlslunde"
"Yannick Lauritsen"|"Sigbritsvej 89
3051 Haarby"
"Univ.Prof. Kim Vestergaard"|"Arabiensvej 42
1133 Gørding"
"Fru Sys Mikkelsen"|"Løgstørvej 8
3165 Vadum"
"Charlotte Lauridsen"|"Strandagerstræde 6
4914 Højslev"
"Oscar Laursen"|"Majrosevej 895
5445 Kokkedal"
"Nick Rasmussen"|"Vestre Kirkegårdsvej 3
5347 Hampen"
"Jørgen Andreasen"|"Støvring Allé 15
5323 Morud"
"Univ.Prof. Henry Klausen"|"Sankt Jørgensvej 397
3116 Hurup Thy"
"Fru Solveig Schmidt"|"Nebraskagade 89
3405 Spjald"
"Winni Dahl"|"Sturlasvej 577
8619 Svaneke"
"Viola Koch"|"Ærtegade 820
8803 Greve Strand"
"Kent Hansen"|"Keplersgade 7
1580 Kongerslev"
"Vivian Andreasen-Andresen"|"Nygårdsstræde 772
4171 København"
"Zelma Berg"|"Henriksgade 799
8256 Farsø"
"Prof. Jean Jespersen"|"Grøndalsvænge Allé 9
1616 Bøvlingbjerg"
"Nicklas Danielsen"|"Veronavej 410
7595 Kvistgård"
"Univ.Prof. Esmarelda Poulsen"|"Hjortdalsstræde 1
8180 Daugård"
"Sigrid Dahl"|"Harboørevej 94
9438 Kruså"
"Frode Lauritsen"|"Sofienhøjgade 55
9223 Kolding"
"Nicklas Larsen"|"Pakhus Allé 5
9605 Søby Ærø"
"Fru Henriette Andresen"|"Hanstholmgade 96
6796 Stenderup"
"Hans Petersen"|"Kroghsstræde 9
5236 Stenløse"
"David Gregersen"|"Tåstrupvej 961
1067 Tranekær"
"Solveig Clausen"|"Sølvvej 416
8954 Skævinge"
"Dr. Hannah Kjeldsen"|"Vejlandsvej 40
8345 Boeslunde"
"Nicklas Holst-Nissen"|"Oldfuxvej 935
3081 Ishøj"
"Jeppe Danielsen-Krogh"|"Bredvej 67
7662 Arden"
"Søs Johansen-Karlsen"|"Obdamsvej 5
8424 Hørning"
"Gorm Andersen"|"Magvej 5
9851 Lejre"
"Dr. Gyda Iversen"|"Turesens Allé 4
6882 Lejre"
"Christian Larsen-Mikkelsen"|"Søllerødgade 6
9703 Sønder Stenderup"
"Brian Frederiksen"|"Baggesensvej 42
9536 Ferritslev Fyn"
"Benjamin Christensen"|"Nordre Fasanvej 3
3368 Fakse"
"Christine Lauritsen"|"Elværksvej 832
7991 Søby Ærø"
"Jarl Sørensen"|"Postholder Allé 1
9298 Grevinge"
"Nicklas Jessen"|"Rosenvængetsstræde 857
2975 Nørre Alslev"
"Benjamin Lauritsen"|"Stærevej 55
1096 Skagen"
"Lona Østergaard"|"Marthavej 7
9478 Løsning"
"Ronja Holst-Kristiansen"|"Borgskrivervej 4
7119 Blokhus"
"Ronni Nilsson"|"Alliancevej 635
2281 Hundested"
"Dr. Frida Christoffersen"|"Rosenvængetsvej 617
2301 Redsted"
"Simon Nissen"|"Sibeliusgade 3
8369 Kirke Eskilstrup"
"Elna Simonsen"|"Messinagade 970
3811 Brovst"
"Clara Kristiansen"|"Teglholmsvej 94
4432 Nyborg"
"Silje Lund-Nørgaard"|"Svalehale Allé 55
3021 Vandel"
"Nicklas Karlsen"|"Gavlhusvej 81
2219 Egtved"
"Lea Søndergaard"|"Mansasgade 10
4519 Ebeltoft"
"Sys Brandt"|"Mirabellevej 8
7742 Nysted"
"Prof. Patrick Toft"|"Nordre Fasanvej 77
5268 Klemensker"
"Line Johansen"|"Sæbyholmsstræde 7
6905 Martofte"
"Poul Petersen-Sørensen"|"Bramminge Allé 2
2487 Nykøbing Sj"
"Asger Svendsen-Danielsen"|"Overskous Allé 30
7915 Give"
"Casper Svendsen"|"Bispebjerggade 450
6826 Vinderup"
"Simon Hansen"|"Vagtmestervej 43
1315 Svenstrup"
"Henry Bertelsen"|"Slotsholmsstræde 65
7637 Ferritslev Fyn"
"Nicklas Krogh"|"Poppelgade 69
6636 Nysted"
"Prof. Benthe Kjeldsen"|"Sele Allé 5
8921 Vinderup"
"Klavs Kjeldsen"|"Vævervej 235
7244 Trustrup"
"Fru Victoria Johansen"|"Oxfordvej 285
2023 Stakroge"
"Sonja Karlsen"|"Fensmarkgade 3
4519 Torrig"
"Marcus Bruun"|"Gerdasgade 3
6749 Søllested"
"Gurli Eriksen-Andersen"|"Slutteri Allé 88
7246 Struer"
"Prof. Gertrud Christensen"|"Spaniensvej 7
8783 Borre"
"Ritt Thomsen"|"Byagervej 30
3928 Rødkærsbro"
"Univ.Prof. Lærke Iversen"|"Nøddebogade 36
8655 Nørre Snede"
"Nicklas Nilsson-Bertelsen"|"Livøvej 7
5247 Bælum"
"Dr. Sofie Pedersen"|"Ejderstedgade 68
5944 Årre"
"Dan Andreasen"|"Bangerts Allé 2
2191 Tølløse"
"Yda Steffensen"|"Birkagergade 3
4924 Harpelunde"
"Brian Johansen-Hermansen"|"Rymarksgade 9
7420 Vandel"
"Dr. Zara Jeppesen"|"Kulstræde 9
2559 Padborg"
"Øivind Eriksen"|"Tølløsevej 34
3289 Skærbæk"
"Frederikke Lauridsen"|"Snorresvej 4
1588 Sakskøbing"
"Simon Eriksen"|"Knuthenborgvej 90
3805 Nibe"
"Prof. Ritt Jacobsen"|"Snarevej 65
7610 Køge"
"Nicolaj Jepsen"|"Istanbulvej 12
9922 Tinglev"
"Anna Mortensen"|"Stokhusvej 49
5819 Hornbæk"
"Mathilde Christiansen"|"Frederiksstadsgade 717
3685 Bording"
"Univ.Prof. Nicklas Kristensen"|"Eskadrevej 6
4038 Årre"
"Kirsten Mortensen"|"Knuthenborgstræde 9
1601 Flemming"
"Ivan Koch"|"Ejler Billesvej 9
1118 Gudme"
"Jeppe Christoffersen"|"Valhalsvej 7
6445 Skørping"
"Hr Steven Lauridsen"|"Mimosa Allé 57
8947 Jystrup"
"Tejs Bach"|"Tartinis Allé 8
6519 Ålbæk"
"Jarl Pedersen"|"Egholmstræde 4
5360 Lejre"
"Nicolaj Kjeldsen"|"Visbystræde 7
1200 Thyborøn"
"Lotte Christiansen"|"Ny Kongensvej 33
2062 Boeslunde"
"Univ.Prof. Merete Nielsen"|"Istanbulgade 1
2008 Hobro"
"Casper Jepsen"|"Reberbanegade 5
4927 Snertinge"
"Katja Larsen"|"Smørum Allé 5
1806 Erslev"
"Stephan Nilsson-Laursen"|"Oehlenschlægersvej 24
4523 Galten"
"Nadia Henriksen"|"Thystræde 6
7769 Vandel"
"Fru Ester Andreasen"|"Mark Allé 90
2099 Karise"
"Åge Nilsson"|"Radisevej 70
2693 Vejby"
"Hr Ragner Johnsen"|"Ulvefodgade 6
7410 Maribo"
"Nicolaj Olsen"|"Eckersbergsgade 32
6644 Juelsminde"
"Fru Carla Simonsen"|"Solrødvej 575
7364 Asnæs"
"Øvli Eriksen"|"Brønshøjholmsvej 804
9860 Fuglebjerg"
"Jesper Vestergaard"|"Øresundsvej 939
7076 Ishøj"
"Gertrud Skov"|"Blåmunkegade 327
5523 Vissenbjerg"
"Marcus Kristensen"|"Lønborggade 8
5815 Munkebo"
"Lone Simonsen-Thomsen"|"Vingårdvej 520
8230 København"
"Sonja Kristoffersen"|"Ålholmvej 40
2349 Hvidovre"
"Dr. Mads Frederiksen"|"Stavnstrupgade 453
7601 Højslev"
"Annemette Thorsen"|"Jordbærstræde 337
1102 Fuglebjerg"
"Nicolaj Rasmussen"|"Jemtelandsvej 514
6277 Sejerø"
"Kristian Nilsson"|"Bagerstræde 40
1120 Martofte"
"Jano Bertelsen"|"Rovsingsvej 428
4663 Gudbjerg"
"Natasha Olsen"|"Hestemøllevej 8
2368 Randers"
"Gustav Hermansen"|"Ydunsvej 3
3904 Vesløs"
"Yrsa Kristensen"|"Kløverbladsgade 67
7081 Solrød Strand"
"Tine Larsen"|"Helsinkigade 4
8485 Hemmet"
"Iver Mortensen-Skov"|"Jyllingevej 3
7890 Glesborg"
"Mie Brandt"|"Grøndalsvængestræde 5
1659 Vestervig"
"Sabine Hansen"|"Søfortgade 3
8412 Bækmarksbro"
"Nicolaj Rasmussen"|"Kalkbrænderihavnsgade 14
6730 Græsted"
"Dr. Øjvind Bech"|"Lundsgade 38
3382 Føvling"
"Bent Dam"|"Ny Vestergade 11
3819 Hanstholm"
"Tobias Danielsen"|"Weidekampsvej 485
2806 Taastrup"
"Tina Christiansen"|"Valhalsvej 830
9875 Odense"
"Naja Frederiksen"|"Kronborgvej 4
8800 Brædstrup"
"Prof. Pernille Overgaard"|"Gadstrupvej 5
8905 Vipperød"
"Hr Henry Brandt"|"Voldmesterstræde 5
9322 Toreby"
"Adam Paulsen"|"Mysundevej 91
1426 Nyrup"
"Sine Danielsen-Sørensen"|"Nordborgvej 13
3391 Haderslev"
"Nicolaj Skov"|"Sionsvej 4
9259 Sulsted"
"Elsebeth Carlsen"|"Jemtelandsgade 1
3842 Egtved"
"Univ.Prof. Benedicte Steffensen"|"Schubertsgade 11
8809 Bjert"
"Osvald Jørgensen-Johansen"|"Rubikonvej 674
6191 Hejls"
"Anette Jeppesen"|"Petersborgvej 234
1575 Stenderup"
"Dr. Maria Koch"|"Siamgade 545
6587 Asnæs"
"Ritt Skov-Eriksen"|"Firkløverstræde 753
3695 Saltum"
"Tobias Laursen-Simonsen"|"Hardangervej 526
3050 Eskebjerg"
"Univ.Prof. Benthe Jørgensen"|"Bechgaardsgade 73
5062 Præstø"
"Katrine Carlsen"|"Emdrupvej 7
9450 Ebeltoft"
"Nicoline Andersen"|"Teglholmsgade 331
2704 Lejre"
"Jonas Krogh"|"Mandalsgade 52
9696 Hornslet"
"Prof. Camilla Frederiksen"|"Finlands Allé 5
1919 Haderup"
"Fru Edith Petersen"|"Tåstrupvej 9
5093 Struer"
"Rebecca Nissen"|"Farverstræde 79
4496 Sporup"
"Grethe Mortensen"|"Krügersgade 53
3947 Tikøb"
"Mathias Overgaard"|"Limfjordsgade 9
7423 Stubbekøbing"
"Kirstin Jessen"|"Holstebrovej 105
3686 Fakse"
"Nete Friis"|"Vasbygade 45
8208 Gandrup"
"Åbjørn Jacobsen"|"Risagergade 2
9959 Hasselager"
"Nicoline Johansen"|"Lindenborg Allé 6
2195 Hørsholm"
"Leonora Carlsen"|"Mantuastræde 68
4239 Videbæk"
"Vivian Henriksen"|"Ingrid Marie Allé 5
8835 Vissenbjerg"
"Nikolaj Frandsen-Christensen"|"Bordeauxstræde 266
8105 Tranekær"
"Silas Vestergaard"|"Volosgade 501
1203 Gedved"
"Prof. Åse Sørensen"|"Hedemannsstræde 33
7803 Ballerup"
"Jens Frederiksen-Jensen"|"Solrødgade 25
3401 Munkebo"
"Mads Karlsen"|"Horsensstræde 314
8319 Ulstrup"
"Sabine Johansen-Holm"|"Rønnebærgade 121
3516 Gørlev"
"Randi Lauritsen"|"Tværager Allé 3
6486 Store Fuglede"
"Niels Mathiesen"|"Sjællandsvej 57
3341 Sønder Stenderup"
"Mimi Christiansen"|"Weysesvej 69
1625 Mørkøv"
"Univ.Prof. Dagny Jensen"|"Lindenovs Allé 78
2387 Årre"
"Joan Henriksen"|"Store Kannikegade 4
6446 Ørsted"
"Agnete Overgaard"|"Farumgade 9
4178 Harndrup"
"Kent Winther"|"Øster Farimagsgade 6
9863 Nykøbing M"
"Fru Gitte Klausen"|"Milanovej 9
6592 Hasle"
"Susanne Schultz"|"Firkløverstræde 97
4755 Rømø"
"Nora Overgaard"|"Rosenholmsvej 48
8158 Åbyhøj"
"Mikkel Jensen-Simonsen"|"Slangerupgade 29
9012 Nysted"
"Niels Pedersen"|"Kristianiagade 79
1844 Sindal"
"Prof. Amalie Jespersen"|"Borneogade 3
4518 Bælum"
"Susanne Knudsen"|"Tryggevælde Allé 6
3930 Bryrup"
"Kjeld Holst"|"Ceylongade 646
2067 Holbæk"
"Herbert Vestergaard"|"Assensvej 920
5067 Stubbekøbing"
"Univ.Prof. Majken Lind"|"Landskrona Allé 781
4425 Brenderup"
"Fru Sophie Holst"|"Overbysgade 351
3882 Helsingør"
"Susanne Dam-Henriksen"|"Borthigsvej 140
2063 Tommerup"
"Mille Jacobsen-Nilsson"|"Dorthea Allé 127
5166 Munke Bjergby"
"Prof. Hans Holst"|"Kjeldsgårds Allé 5
9733 Kastrup"
"Niels Schou"|"Berggreensgade 68
5531 Munkebo"
"Prof. Karen Rasmussen"|"Ege Allé 88
7729 Bylderup-Bov"
"Maya Christensen-Gregersen"|"Teglværksvej 325
7196 Vejstrup"
"Malou Olesen"|"Murer Allé 820
2992 Nivå"
"Tom Jepsen-Koch"|"Store Søndervold Allé 90
5723 Ruds Vedby"
"Justina Clausen-Friis"|"Børglumvej 441
5598 Korsør"
"Ulf Nilsson"|"Koldinggade 651
3545 Blokhus"
"Tove Møller"|"Amager Allé 93
1821 Christiansfeld"
"Univ.Prof. Brian Dam"|"Holbækgade 639
9016 Gislev"
"Prof. Kristian Mortensen"|"Hagbardgade 6
5931 Vonge"
"Niels Svendsen"|"Hellebækgade 9
8608 Varde"
"Dorte Thomsen-Krogh"|"Følfod Allé 6
2139 Gesten"
"Yngve Vestergaard"|"Theisgade 697
5650 Aalborg"
"Arne Knudsen"|"Store Strand Allé 3
8088 Espergærde"
"Silje Olsen-Thomsen"|"Hedemannsgade 3
7194 Gudme"
"Freja Olsen"|"Fredensborggade 367
6366 Stouby"
"Karoline Johansen"|"Dronningens Tvær Allé 63
6018 Ryslinge"
"Prof. Ole Gregersen"|"Visbygade 84
7696 Dronninglund"
"Univ.Prof. Erik Friis"|"Ulriksdalgade 599
8334 Ebberup"
"Prof. Hanne Friis"|"Sakskøbingstræde 59
2089 Langeskov"
"Nikolai Bertelsen"|"Utterslevgade 46
1629 Skodsborg"
"Tilde Kjeldsen"|"Prisholmgade 5
1098 Eskilstrup"
"Ludvig Hermansen"|"Bornholmsgade 1
7093 Billund"
"Grete Sørensen-Poulsen"|"Kurlandsgade 79
7296 Brøndby Strand"
"Dr. Ronnie Mikkelsen"|"Classensgade 663
2084 Havndal"
"Mathias Winther-Laursen"|"Rumæniensvej 5
3244 Ribe"
"Edith Winther"|"Dompapvej 301
4839 Horbelev"
"Majken Rasmussen"|"Tømrervej 36
9446 Øster Vrå"
"Prof. Else Andreasen"|"Ålekistevej 110
7107 Frederikssund"
"Amanda Møller-Berg"|"Hovgaardsvej 41
8121 Brøndby"
"Nikolai Schmidt"|"Elværksstræde 855
7812 Galten"
"Gunnar Knudsen"|"Løgstørvej 8
2719 Ebeltoft"
"Annette Johansen-Andreasen"|"Hovmål Allé 527
9652 Vejle"
"Ronnie Andersen"|"Hjørringvej 79
8477 Sønderborg"
"Pia Henriksen"|"Annekestræde 934
7059 Asperup"
"Winni Johnsen-Johnsen"|"Nærumvej 79
7148 Hammel"
"Gunner Jepsen"|"Heises Allé 66
5610 Bedsted Thy"
"Prof. Finn Lauritsen"|"Brønshøjgade 59
1642 Hjerm"
"Fru Simone Poulsen"|"Lille Strandgade 31
7295 Nærum"
"Hr Bo Krogh"|"Vesterhavs Allé 631
5315 Marstal"
"Nikolaj Jakobsen"|"Kraftværksvej 97
8901 Oksbøl"
"Matthias Eriksen"|"Bedford Allé 68
4640 Trige"
"René Kristoffersen"|"Nyborggade 112
4584 Blokhus"
"Sørine Madsen"|"Kalkbrænderihavnsvej 463
2185 Bredsten"
"Hr Jarl Jeppesen"|"Gilbjerggade 97
4548 Viuf"
"Ivan Christoffersen"|"Paradisæblevej 65
2099 Nykøbing F"
"Ane Mathiesen-Jørgensen"|"Hellasvej 69
5149 Charlottenlund"
"Dr. Sys Christiansen"|"Jorisgade 2
4464 Ålbæk"
"Anne Ravn"|"Marstalsgade 88
1493 Ejby"
"Helle Poulsen"|"Grøndals Parkvej 13
8571 Blokhus"
"Nikolaj Jessen"|"Asylvej 6
8279 Ranum"
"Lena Gregersen"|"Hagbardvej 402
7924 Otterup"
"Prof. Olfert Klausen"|"Trapsvej 459
1448 Augustenborg"
"John Danielsen"|"Enveloppegade 4
1031 Sejerø"
"Marcus Bertelsen"|"Kongelundsvej 15
9876 Horsens"
"Christoffer Mathiesen"|"Vallekildevej 72
9390 Kvistgård"
"Johan Ravn"|"Vulkanvej 42
8407 Terndrup"
"Jean Koch"|"Hardangervej 956
6777 Åbyhøj"
"Kasper Christoffersen"|"Gyldenlakgade 372
6800 Nykøbing Sj"
"Arne Lauritsen"|"Svenstrup Allé 68
4773 Hinnerup"
"Nikolaj Kjær"|"Store Regnevej 35
8186 Hovborg"
"Christine Knudsen"|"Uggerløsestræde 85
9125 Ørsted"
"Leonora Poulsen"|"Hjortdalsvej 21
1525 Vissenbjerg"
"Nana Johnsen"|"Hammershusvej 97
2630 Asperup"
"Anders Johnsen"|"Oliemøllevej 9
9942 Nørre Alslev"
"Tommy Carlsen"|"Dunhammervej 1
7157 Hundslund"
"Katcha Hansen"|"Hemsedals Allé 5
5170 Mesinge"
"Bent Jeppesen"|"Tranehavegade 7
5754 Jelling"
"Kurt Dahl"|"Kongshøjvej 282
4230 Gudme"
"Gundhild Andresen"|"Egholmvej 5
8279 Nibe"
"Nikolaj Mathiesen"|"Gammel Køge Landevej 48
2080 Solrød Strand"
"Sine Svendsen"|"Strandengade 484
6760 Brøndby"
"Prof. Karl Jacobsen"|"Schleppegrellsvej 9
4064 Måløv"
"Julius Mathiasen"|"Faksegade 38
3391 Vesterborg"
"Prof. Paul Eriksen"|"Tscherningsgade 227
2691 Tørring"
"Nicolaj Mogensen"|"Børsvej 2
1979 Nyborg"
"Dr. Olivia Christensen"|"Japanstræde 75
6238 Aakirkeby"
"Cecilie Jakobsen"|"Teglværksvej 75
9357 Sønder Felding"
"Fru Åse Frandsen"|"Lyonvej 6
3047 Lintrup"
"Janni Lind"|"Javavej 308
6673 Lemvig"
"Nikolaj Mathiesen"|"Hasselstræde 17
3777 Thisted"
"Boris Skov"|"Brohus Allé 16
1741 Skovlunde"
"Jannie Krogh"|"Lundsfrydvej 29
4363 Nykøbing Sj"
"Marianne Vestergaard"|"Pladehalsgade 293
3294 Daugård"
"Flemming Winther"|"Skydebanevej 969
1353 Skødstrup"
"Asger Kjær"|"Ahlmannsvej 185
2448 Millinge"
"Dr. Stig Mortensen"|"Gilbjergvej 37
1401 Bagsværd"
"Oda Ravn"|"Kongelunds Allé 8
7718 Assens"
"Tom Bruun"|"Brønshøj Kirkevej 124
2005 Dronninglund"
"Victor Holst"|"Sokkelundsstræde 28
2158 Kokkedal"
"Nikolaj Pedersen"|"Guldager Allé 18
7247 Brønderslev"
"Prof. Carsten Søndergaard"|"Svendsgade 752
3047 Glesborg"
"Osvald Nissen"|"Kastrupgade 3
2946 Helsinge"
"Helge Nissen-Mathiasen"|"Overdrevsvej 3
9112 Hanstholm"
"Bo Nørgaard"|"Sumatrastræde 94
5483 Kirke Såby"
"Lotte Østergaard"|"Bellahøjvej 248
2505 Harpelunde"
"Tine Nissen"|"Efterslægtsgade 29
3281 Glumsø"
"Dr. Lennarth Mathiasen"|"Lundsgade 582
8942 Juelsminde"
"Tanja Berg-Kjeldsen"|"Statholder Allé 22
4091 Nimtofte"
"Prof. Katcha Pedersen"|"Danneskiold-Samsøesstræde 252
2420 Kalundborg"
"Nikolaj Poulsen"|"Gasværksstræde 24
4606 Tommerup"
"Morten Olesen"|"Fenrisgade 59
1228 Kolind"
"Prof. Rebecca Johansen"|"Nørager Allé 58
6066 Sulsted"
"Univ.Prof. Majken Eriksen"|"Paradisæblegade 1
1200 Skærbæk"
"Dr. Gustav Hermansen"|"Veksøvej 59
1348 Ølsted"
"Flemming Mathiesen"|"Krogerup Allé 54
8842 Kvistgård"
"Werner Nilsson"|"Arnesvej 865
5667 Hejls"
"Prof. Uffe Søndergaard"|"Olymposgade 5
4078 Egtved"
"Daniella Olsen-Henriksen"|"Nyropsvej 7
5296 Bramming"
"Gunner Clausen"|"Værkstedvej 210
4028 Stakroge"
"Nina Olesen"|"Antonivej 2
1654 Langeskov"
"Prof. Tilde Petersen"|"Galionsgade 499
9575 Charlottenlund"
"Marius Lauridsen"|"Asylgade 20
9756 Sulsted"
"Laus Dahl-Holm"|"Lyshøjgårdsgade 116
7651 Blåvand"
"Paula Laursen"|"Bjelkesvej 61
9462 Sindal"
"Dina Christoffersen-Paulsen"|"Jyllingestræde 5
2017 Kibæk"
"Ulla Brandt"|"Sparresholm Allé 67
4109 Øster Assels"
"Jasmin Iversen"|"Rodosgade 285
7246 Espergærde"
"Dr. Signe Clausen"|"Limfjordsvej 462
5165 Lundby"
"Kåre Lind-Østergaard"|"Breidablikvej 3
9599 Vodskov"
"Noah Andresen"|"Højbovej 9
4701 Karlslunde"
"Signe Lassen"|"Finlandsgade 1
9350 Hovborg"
"Lennarth Ravn"|"Leifs Allé 31
5448 Gedser"
"Birger Johansen"|"Borthigsstræde 138
3350 Viby Sjælland"
"Univ.Prof. Ruth Bech"|"Sofienhøjvej 1
7087 Rude"
"Julius Schultz"|"Njalsgade 192
3382 Strandby"
"Jean Henriksen"|"Kornerupgade 9
4310 Vestervig"
"Claus Frederiksen"|"Persiensvej 54
2184 Sørvad"
"Prof. Birgitte Andresen"|"Portugalsstræde 7
1523 Aarup"
"Marcus Iversen"|"Timiansgade 2
1047 Skødstrup"
"Noah Bertelsen"|"Lundehusstræde 3
2756 Herlev"
"Dr. Karina Poulsen"|"Middelfartvej 10
5400 Ølsted"
"Elsebeth Madsen"|"Petersborggade 2
9617 Sabro"
"Andreas Lassen"|"Engelstedsvej 452
8896 Blommenslyst"
"Dr. Johannes Lassen"|"Stavnstrupvej 399
9507 Stoholm"
"Bettina Toft"|"Strynøgade 591
6603 Ejstrupholm"
"Anton Christoffersen"|"Gammel Konge Allé 254
1186 Øster Ulslev"
"Univ.Prof. Øjvind Sørensen"|"Herjedalvej 31
6541 Herning"
"Richard Frederiksen"|"Skagerrakvej 120
7499 Hårlev"
"Univ.Prof. Ruben Ravn"|"Hammelstrupvej 4
2128 Strandby"
"Noah Nørgaard"|"Godthåbsgade 610
8210 Torrig"
"Jannie Schmidt"|"Formosa Allé 6
3810 Stoholm"
"Sørine Henriksen"|"Borgskrivervej 613
8718 Herlev"
"Univ.Prof. Winnie Holst"|"Fredenshøjvej 5
6052 Broby"
"Lona Mikkelsen"|"Biensgade 1
9183 Hornslet"
"Prof. Simon Lauridsen"|"Lynæsgade 415
7789 Kettinge"
"Fru Regitze Klausen"|"Pakhus Allé 63
4340 Stenderup"
"Ron Frandsen"|"Birmavej 23
3791 Græsted"
"Christina Poulsen"|"Amager Strand Allé 477
5425 Holbæk"
"Klavs Danielsen-Johnsen"|"Trekronervej 9
1715 Lynge"
"Noah Petersen"|"Slåenvej 2
9506 Fakse Ladeplads"
"Jørgen Christoffersen"|"Enighedsvej 4
8868 Støvring"
"Nete Olsen-Christoffersen"|"Brynhildegade 5
5598 Farsø"
"Dr. Kjeld Mogensen"|"Hammerensgade 6
5448 Højslev"
"Jens Brandt"|"Dompapstræde 67
7650 Bredebro"
"Freja Bech"|"Gyrstingestræde 357
9016 Hasselager"
"Mie Gregersen"|"Kjeldsgårdsgade 68
6159 Nexø"
"Flemming Rasmussen"|"Krusemyntegade 7
6529 Bogense"
"Tage Brandt-Bertelsen"|"Mikkel Skovsvej 4
5667 Branderup"
"Bob Karlsen"|"Damagervej 59
6272 Grindsted"
"Nora Dam"|"Frilandsvej 8
2749 Viby Sjælland"
"Sebastian Lund"|"Kingstonvej 1
4702 Fårvang"
"Univ.Prof. Andrea Gregersen"|"Agger Allé 146
2707 Branderup"
"Einar Danielsen"|"Nordre Fasan Allé 5
5192 Veflinge"
"Edith Overgaard"|"Montagnevej 7
4619 Hejls"
"Katcha Thomsen-Jensen"|"Valgårdsvej 666
5526 Daugård"
"Prof. Gitte Kristensen"|"Langøstræde 4
4534 Føvling"
"Rita Lassen"|"Luftmarinevej 83
6407 Greve Strand"
"Simone Frandsen"|"Nysøvej 4
5887 Fredensborg"
"Fru Zelma Jeppesen"|"Dublin Allé 98
8414 Melby"
"Nora Dam"|"Kvæsthusgade 26
1407 Hurup Thy"
"Dr. Frida Søndergaard"|"Händelsvej 10
6604 Brønshøj"
"Dr. Carla Olsen"|"Oldfuxstræde 56
3011 Padborg"
"Jon Jørgensen"|"Persillevej 84
4766 Sunds"
"Prof. Doris Schmidt"|"Kertemindevej 748
5181 Tjele"
"Dagmar Krogh"|"Kejsergade 8
9918 Ikast"
"Tim Larsen"|"Snorresvej 861
6298 Uldum"
"Nick Nissen-Nissen"|"Fensmarkstræde 3
6282 Uldum"
"Peder Thorsen"|"Tikøbstræde 30
6175 Kalvehave"
"Frank Mortensen"|"Christianshavns Voldstræde 63
7925 Østermarie"
"Oda Jeppesen"|"Cylindervej 806
5148 Gedser"
"Gundhild Andresen"|"Gammel Jernbanevej 9
1810 Munkebo"
"Frida Carlsen"|"Serbiensgade 694
3120 Ryomgård"
"Åge Jørgensen"|"Perlestikkervej 64
4466 Lejre"
"Werner Pedersen"|"Lupingade 9
6592 Errindlev"
"Laust Christiansen"|"Krystalvej 9
6123 Kokkedal"
"Prof. Rune Christiansen"|"Krimsstræde 77
8288 Stensved"
"Hr Ruben Lind"|"Lærkegade 328
5506 Otterup"
"Dr. Joan Winther"|"Sixtusvej 8
6060 Fårup"
"Dr. Peder Rasmussen"|"Griffenfeldsstræde 652
5573 Gedved"
"Oda Nilsson-Ravn"|"Stenvej 61
3306 Vejers Strand"
