"ავთანდილ გაბელია"	"ლიხაურის ქ. 13, ახალციხე" 
"ნუნუ ბარამიძე"	"ჯავახიშვილი ივანეს ქ. 30, გუდაუთა"
"გოჩა მიმინოშვილი"	"ახვლედიანი ელენეს ქ. 85, ახალციხე"
"მარი ბიწაძე"	"მარტვილის ქ. 90, დედოფლისწყარო"
"მაკა გველესიანი"	"ქინძმარაულის ქ. 53, ქარელი"
"ხათუნა ისაევი"	"რკინის ქ. 36, გალი"
"მარი კახიძე"	"ფილიას ქ. 27, მცხეთა"
"მამუკა კაკაურიძე"	"ქუჩიშვილის ქ. 41, ტყვარჩელი"
"ციური მამალაძე"	"თვალჭრელიძის ქ. 26, ზუგდიდი"
"კარლო გვასალია"	"უკლება კირილეს ქ. 69, ნინოწმინდა"
"ჯაბა ქორიძე"	"ერევნის ქ. 95, ახალქალაქი"
"ჯაბა ინასარიძე"	"ქუმსიაშვილის ქ. 18, თეთრიწყარო"
"თეა ლომთაძე"	"ტრანსპორტის ქ. 47, ჯვარი"
"უჩა მუშკუდიანი"	"შინდისის ქ. 18, ცხინვალი"
"მაკა ონიანი"	"მიჩურინის ქ. 57, თეთრიწყარო"
"დიანა აბესაძე"	"აბაშიძე ჰეიდარის ქ. 59, საგარეჯო"
"ვაჟა ნაკაშიძე"	"ჯორჯაძის ქ. 25, ქუთაისი"
"კლარა გოგუაძე"	"ჩოხელის ქ. 36, საგარეჯო"
"ქეთო კუბლაშვილი"	"მამრაძის ქ. 01, ახალციხე"
"მიხეილ გუჯაბიძე"	"გამცემლიძე შოთას ქ. 08, კასპი"
"მთვარისა მახარაძე"	"ცაიშის ქ. 86, თბილისი"
"ირინე მესხი"	"დეპოს ქ. 49, ლაგოდეხი"
"მანანა ასანიძე"	"ფასანაურის ქ. 53, კასპი"
"ნუცა კვანტალიანი"	"კრწანისის ქ. 53, გაგრა"
"მაკა ჟორჟოლიანი"	"ჩხიკვაძის ქ. 37, ლანჩხუთი"
"ზაირა მაჭარაშვილი"	"თამარაშვილი მიხეილის ქ. 58, გარდაბანი"
"მალხაზ ჩხიკვაძე"	"მირზაანის ქ. 58, სამტრედია"
"ზინა როსტიაშვილი"	"გულისაშვილის ქ. 72, თელავი"
"ზურაბ დარბაიძე"	"კალოუბნის ქ. 43, ახალქალაქი"
"ციური მჟავანაძე"	"ინგოროყვა პავლეს ქ. 12, წალენჯიხა"
"თამარი მოსიაშვილი"	"იდუმალას ქ. 84, აბაშა"
"მინდია გორგილაძე"	"თევდორე მღვდლის ქ. 71, საგარეჯო"
"ელისო ჩხარტიშვილი"	"ზეინკლის ქ. 94, აბაშა"
"მურთაზ შველიძე"	"კალატოზის ქ. 37, აბაშა"
"მაკა ჩიხლაძე"	"სოხუმის ქ. 50, გარდაბანი"
"სოფია ქირია"	"ქიზიყის ქ. 13, ვანი"
"ტარიელ კოხრეიძე"	"ნიორაძის ქ. 50, სიღნაღი"
"ცისანა ნასყიდაშვილი"	"ძევერის ქ. 19, მცხეთა"
"ლანა მაღრაძე"	"მოსაშვილის ქ. 74, ნინოწმინდა"
"სუსანა თურმანიძე"	"ნარგიზის ქ. 87, მარნეული"
"ბადრი ფიცხელაური"	"გუმბრის ქ. 23, ახალქალაქი"
"ელენა კვაჭაძე"	"წიწამურის ქ. 24, ხაშური"
"ემა ფხალაძე"	"ზარზმის ქ. 21, სიღნაღი"
"მაკა მერაბიშვილი"	"კაკაბაძეების ქ. 25, ბაღდათი"
"მაკა ძნელაძე"	"ბაკურციხის ქ. 12, ცაგერი"
"ვარდო ახობაძე"	"კიკეთის ქ. 36, გალი"
"გიორგი კუპრაშვილი"	"აბესაძე გიას ქ. 69, ოზურგეთი"
"ჯულიეტა დევიძე"	"ზოვრეთის ქ. 01, დუშეთი"
"სოფია შავაძე"	"ბაკურიანის ქ. 54, ნინოწმინდა"
"ზაირა ირემაშვილი"	"მებაღიშვილის ქ. 34, დედოფლისწყარო"
"ოთარ ქარჩავა"	"მარელისის ქ. 35, მარტვილი"
"ივანე ჩხეიძე"	"სარკინეთის ქ. 27, ლანჩხუთი"
"ჯაბა ასათიანი"	"მარელისის ქ. 07, გარდაბანი"
"სიმონ ქუთათელაძე"	"უწერის ქ. 09, ახალციხე"
"მალხაზ ბერულავა"	"ორბეთის ქ. 02, ცხინვალი"
"რეზო შალამბერიძე"	"შერვაშიძის ქ. 01, გორი"
"დიანა ბერიძე"	"ცისკრის ქ. 06, თეთრიწყარო"
"ფატიმა არაბული"	"ლიკანის ქ. 59, ჭიათურა"
"სალომე მაღლაკელიძე"	"ჩიტაიას ქ. 26, თელავი"
"ინგა დუმბაძე"	"პუშკინი ალექსანდრეს ქ. 46, წყალტუბო"
"აკაკი სოფრომაძე"	"მიროტაძის ქ. 24, წალენჯიხა"
