"ავთანდილ დალაქიშვილი","თვალჭრელიძის ქ. 25, ჭიათურა" 
"მთვარისა ყურაშვილი","ჯორჯაძის ქ. 79, ყვარელი"
"რომან გაბაიძე","ჯამბულის ქ. 46, ტყვარჩელი"
"ზაზა ღვინჯილია","ახალქალაქის ქ. 06, ხონი"
"მაყვალა როსტიაშვილი","ლანჩხუთის ქ. 77, ნინოწმინდა"
"ლია აბრამიშვილი","ბელიაშვილი აკაკის ქ. 09, ოჩამჩირე"
"რომან ბერაძე","ბოდბის ქ. 57, ცხინვალი"
"ემზარ ხუციშვილი","ვეძინის ქ. 21, თბილისი"
"ომარ კილასონია","ასათიანი ლადოს ქ. 73, სენაკი"
"თემურ შარიქაძე","ხაჩატურიანის ქ. 00, ქობულეთი"
"ლამარა პაპიძე","ტარიელის ქ. 54, სენაკი"
"მედეა ჯანიაშვილი","გოგოლაურის ქ. 76, დმანისი"
"იაგო აფციაური","მეველეს ქ. 79, ცხინვალი"
"მაგდა დვალიშვილი","ასხინის ქ. 59, ქარელი"
"ბესარიონ ნაკაშიძე","სტანისლავსკის ქ. 04, წალკა"
"არტურ ბერუაშვილი","წუწხვატის ქ. 51, საგარეჯო"
"ვანო სეხნიაშვილი","გროზნოს ქ. 47, ხონი"
"მარინე კინწურაშვილი","კაკაბაძეების ქ. 40, სენაკი"
"ოთარ ირემაშვილი","ბროსეს ქ. 39, მარნეული"
"ციალა შავაძე","ჭანტურია გიას ქ. 30, გარდაბანი"
"ლამარა პატარაია","არარატის ქ. 49, ამბროლაური"
"ლიანა ბახტაძე","მაღალაშვილის ქ. 65, ცაგერი"
"ლეილა ყოლბაია","ახუთის ქ. 89, ონი"
"თეა ჭიღლაძე","ხრესილის ქ. 21, ჯვარი"
"ნატო გოგუაძე","ენისელის ქ. 79, ხობი"
"როლანდ შელია","ტელეგრაფის ქ. 58, სენაკი"
"ლევან გოგინაშვილი","ზანდუკელი მიხეილის ქ. 05, ბაღდათი"
"ლუიზა წურწუმია","თერგის ქ. 94, ჯვარი"
"ლია ყურაშვილი","ოქრომჭედლების ქ. 92, ლაგოდეხი"
"მანანა შენგელია","სულხან-საბას ქ. 26, ახალციხე"
"ლამარა შაინიძე","გუდაურის ქ. 07, გურჯაანი"
"გოდერძი გურეშიძე","ოქრომჭედლების ქ. 57, სამტრედია"
"ზაზა წურწუმია","ბეთანიის ქ. 31, ყვარელი"
"ლეილა მიქაძე","ბიჭვინთის ქ. 18, ბოლნისი"
"რევაზ ვეკუა","სააკაძე პაატას ქ. 80, ზესტაფონი"
"მაყვალა სარალიძე","დაისის ქ. 52, ქუთაისი"
"ვერა ყურაშვილი","მიჩურინის ქ. 29, ჭიათურა"
"ლანა კუპატაძე","საბაშვილის ქ. 66, წალკა"
