"Aada Andersson"	"Hannukselankuja 91
81292 Kivijärvi" 
"Anna Leinonen"	"Rukokatu 405
32839 Pyhäranta"
"Valtteri Mustonen"	"Ormusbulevardi 683
46001 Hankasalmi"
"Saara Helenius"	"Ilvespolku 33
77131 Enontekiö"
"Katariina Kosonen"	"Laurinniitynpolku 7
80042 Outokumpu"
"Leo Soini-Partanen"	"Taimistontie 2
38341 Laitila"
"Linnea Mustonen"	"Lepolanbulevardi 30
15150 Luoto"
"Eliisa Alatalo"	"Vellikellonpolku 903
92759 Parainen"
"Tellervo Perälä"	"Castrénintie 1
43286 Ylitornio"
"Marita Tamminen"	"Ida Ekmanin katu 48
80505 Sodankylä"
"Irja Jokela"	"Döbelninkatu 337
40881 Riihimäki"
"Ville Tamminen-Malinen"	"Kolsinbulevardi 5
73302 Taivassalo"
"Ensio Mäkinen"	"Maasalonkatu 7
25126 Lapinlahti"
"Riitta Virtanen"	"Gotlanninkatu 2
26570 Kouvola"
"Aurora Tervo"	"Ida Ekmanin bulevardi 7
74043 Uusikaarlepyy"
"Leo Tiainen"	"Bergantie 1
78183 Karvia"
"Jouko Hirvonen"	"Saramäenkatu 061
47713 Liminka"
"Juha Mikkola"	"Puuskapolku 794
33728 Lohja"
"Margareta Kulmala-Mikkonen"	"Runonlaulajanpolku 2
09483 Teuva"
"Tapani Rajala"	"Eino Leinon polku 4
71715 Miehikkälä"
"Joel Moisio"	"Pohjolanbulevardi 1
82854 Vimpeli"
"Antero Ahonen-Suominen"	"Ahomäenpolku 0
61777 Vieremä"
"Anja Hakkarainen"	"Capellan puistokatu 2
05075 Ypäjä"
"Matti Heikkinen"	"Nikonkuja 26
31843 Juuka"
"Emil Korhonen"	"Gyldéninbulevardi 24
47427 Pyhäntä"
"Liisa Anttonen"	"Fabianinpolku 52
23865 Luumäki"
"Valtteri Laitinen"	"Jägerhornintie 45
38208 Jyväskylä"
"Kristiina Salmela"	"Bertha Pauligin katu 404
58856 Sonkajärvi"
"Ilmari Lappalainen"	"Maasälvänpolku 40
39784 Mäntsälä"
"Antero Mattila"	"Harakkamyllynbulevardi 1
83798 Rautjärvi"
"Matti Jansson"	"Malminkartanonkatu 88
00019 Sodankylä"
"Ilmari Kaikkonen"	"Katajaharjunpolku 845
14098 Siilinjärvi"
"Maria Koivisto"	"Ormuskuja 0
20415 Joutsa"
"Margareta Paananen"	"Gustav Pauligin kuja 9
43908 Liperi"
"Sinikka Komulainen"	"Laajasalonbulevardi 834
31219 Rovaniemi"
"Liisa Asikainen"	"Runokylänkatu 28
44350 Rautavaara"
"Valtteri Männistö"	"Cygnaeuksentie 2
91725 Isokyrö"
"Eija Makkonen"	"Degermosantie 31
88661 Masku"
"Sini Laine"	"Tyynylaavankatu 64
90971 Jyväskylä"
"Paula Hämäläinen"	"Nikontie 90
54697 Rääkkylä"
"Ilkka Paananen"	"Otermanpolku 7
45787 Jomala"
"Tapani Reinikainen"	"Hannukselantie 5
48546 Pori"
"Hannele Tuovinen"	"Verkkobulevardi 3
46990 Kannus"
"Mikael Ahola"	"Freesenkatu 3
99990 Kuhmo"
"Suvi Virtanen"	"Nordenskiöldinkuja 831
70635 Oulainen"
"Liisa Forsman"	"Rapolankatu 010
33390 Uurainen"
"Katariina Hämäläinen-Anttila"	"Runokylänkatu 97
55459 Vieremä"
"Maria Nyman"	"Jäkäläkatu 3
14886 Ähtäri"
"Johanna Nylund"	"Agricolanbulevardi 89
28956 Inkoo"
"Markku Lehtola"	"Taimistonbulevardi 6
98281 Rautalampi"
"Tiina Karjalainen-Hakkarainen"	"Mamsellimyllyntie 33
53880 Kinnula"
"Eeva Heikkinen"	"Fagottipolku 8
91439 Pukkila"
"Marja Linna-Nieminen"	"Santerlantie 1
04261 Suomussalmi"
"Pirkko Alanen"	"Maapadonkatu 181
81818 Uusikaarlepyy"
"Kari Hyvönen"	"Yläkaskentie 165
27316 Lieto"
"Liisa Hakkarainen"	"Sahaajantie 093
38565 Iisalmi"
"Anneli Ojanen"	"Ormuspolku 725
05134 Sund"
"Juha Rissanen"	"Puuskatie 13
91209 Vieremä"
"Karoliina Palomäki"	"Ostostie 09
20854 Multia"
"Keijo Lahtinen"	"Granfeltintie 168
03384 Vesilahti"
"Tuulia Anttila"	"Jänkäkatu 102
61638 Parainen"
"Kai Penttinen"	"Osuuskunnankatu 73
22977 Pälkäne"
"Aila Kinnunen"	"Rukokuja 18
14836 Kumlinge"
"Marko Penttinen"	"Hankasuonpolku 5
09197 Riihimäki"
"Outi Salonen-Leppänen"	"Vaakalinnunkatu 838
88339 Sotkamo"
"Liisa Järvinen"	"Immolanpolku 01
41477 Jokioinen"
"Aleksandra Peltonen-Rossi"	"Fahlanderin puistokatu 98
96568 Kuusamo"
"Seppo Partanen"	"Salamabulevardi 1
35630 Pyhäntä"
"Tuulikki Kärkkäinen"	"Uunisepänpolku 3
93646 Siikalatva"
"Riikka Kuusisto-Jussila"	"Ilkantie 4
87343 Karstula"
"Antti Mikkonen"	"Hankasuonbulevardi 6
58678 Brändö"
"Pauliina Pekkala-Koponen"	"Salamakatu 713
44753 Imatra"
"Ilmari Holm"	"Fallinkatu 0
68122 Kemi"
"Eeva Niskanen"	"Uskalikonkatu 565
26847 Viitasaari"
"Laura Haataja-Leinonen"	"Tukkisillanpolku 001
40967 Siilinjärvi"
"Liisa Kilpeläinen"	"Jättiläisenbulevardi 4
73286 Karstula"
"Hannu Palomäki"	"Gunillankatu 63
30109 Merikarvia"
"Väinö Kivinen-Hytönen"	"Wallinintie 460
41682 Rauma"
"Antero Turunen"	"Vanha Rajabulevardi 7
98111 Tervola"
"Katri Rintala-Kanerva"	"Betonibulevardi 1
63664 Taivassalo"
"Taina Karvonen"	"Gyldéninpolku 39
43060 Hamina"
"Johannes Hirvonen"	"Agnetanpolku 355
32713 Joensuu"
"Irene Salminen"	"Sapilasbulevardi 349
32423 Kalajoki"
"Olavi Kivistö"	"Saparontie 15
71174 Savukoski"
"Leena Ronkainen"	"Hannukselantie 50
89273 Kirkkonummi"
"Liisa Koskinen"	"Purjetuulenkatu 1
93605 Nurmijärvi"
"Jyrki Jääskeläinen"	"Ehrensvärdinpolku 2
87641 Raasepori"
"Marja Ikonen"	"Berganbulevardi 3
15767 Siuntio"
"Anu Ojala"	"Immolankatu 1
49213 Kemi"
"Eero Manninen"	"Ylä-Fallin polku 992
03797 Parkano"
"Kyllikki Rinne"	"Purjetuulenkatu 857
59399 Konnevesi"
"Annikki Ahola"	"Dosentintie 8
00019 Lappajärvi"
"Kalle Laitinen"	"Lukkarimäenkatu 898
74869 Imatra"
"Juhani Hirvonen"	"Betonitie 29
64177 Järvenpää"
"Juha Gustafsson-Hänninen"	"Uussillankuja 1
99707 Pori"
"Liisa Kumpulainen"	"Saanatunturinbulevardi 9
99543 Orimattila"
"Petteri Pasanen"	"Vanha Rajabulevardi 87
68409 Ikaalinen"
"Maria Koskinen"	"Rukopolku 8
57385 Kemijärvi"
"Tarja Alatalo-Väänänen"	"Ida Ekmanin polku 059
09499 Pelkosenniemi"
"Marita Ruuskanen"	"Veropellontie 2
64248 Varkaus"
"Kristina Mustonen"	"Kolsinkatu 686
96908 Siuntio"
"Aki Nyman"	"Fastbölenpolku 1
44593 Humppila"
"Kalervo Järvi"	"Yhteiskoulunbulevardi 10
12016 Kustavi"
"Esteri Airaksinen"	"Graniittikatu 339
82382 Vesanto"
"Pekka Moilanen-Männistö"	"Ida Ekmanin kuja 6
51649 Harjavalta"
"Liisa Laakso-Valtonen"	"Uurtajankuja 453
39105 Sonkajärvi"
"Johanna Lehto"	"Biologinkatu 526
48350 Evijärvi"
"Ossi Hyvönen"	"Degermosankatu 0
69799 Kokemäki"
"Sakari Valkonen-Voutilainen"	"Fahlanderin puistokuja 05
20263 Heinävesi"
"Linnea Mäkelä"	"Ostosbulevardi 561
51757 Janakkala"
"Tuulikki Suhonen"	"Laakavuorenkatu 421
63360 Juuka"
"Joonatan Kauppila"	"Jyväpolku 5
85535 Imatra"
"Johanna Kärkkäinen"	"Rukoushuoneenkuja 791
05780 Lestijärvi"
"Anna Kettunen"	"Santerlantie 58
31223 Kaarina"
"Ensio Harju"	"Waseniuksen puistokuja 916
76899 Raahe"
"Liisa Laine-Puhakka"	"Eljaksenbulevardi 870
01392 Tornio"
"Matilda Salminen"	"Iltatähdenkatu 410
42681 Pyhäranta"
"Elisabet Helenius"	"Urkurintie 898
58846 Multia"
"Juhani Lehto"	"Uussillantie 4
02726 Kärsämäki"
"Otto Eskelinen"	"Berganpolku 0
21210 Janakkala"
"Antti Leskinen-Pitkänen"	"Osuuskunnantie 593
82065 Mäntsälä"
"Ari Laitinen"	"Porinbulevardi 62
76915 Nakkila"
"Marika Lehto"	"Ostospolku 90
68318 Kivijärvi"
"Seppo Sihvonen"	"Wäinö Aaltosen kuja 10
20591 Leppävirta"
"Eelis Luukkonen"	"Iltaruskonbulevardi 091
79601 Marttila"
"Liisa Latvala"	"Porinkatu 65
14393 Hämeenkyrö"
"Suvi Makkonen"	"Saparontie 4
81771 Föglö"
"Olavi Hyvärinen"	"Kolupolku 496
34418 Hämeenkyrö"
"Emilia Eskelinen"	"Agricolanbulevardi 675
05663 Porvoo"
"Raija Parviainen"	"Walentin Chorellin bulevardi 4
35531 Sauvo"
"Henna Ollila"	"Uskalikonkuja 582
26405 Liperi"
"Sirpa Tuomi"	"Porebulevardi 164
41463 Lemland"
"Matti Peltonen"	"Katajaharjunkatu 319
96649 Kemiönsaari"
"Maria Sirén"	"Walentin Chorellin polku 855
78772 Lapinlahti"
"Helena Juvonen"	"Saramäenpolku 38
76852 Nakkila"
"Liisa Lehtonen"	"Runoilijankatu 66
25484 Teuva"
"Emilia Hirvonen"	"Benktanpolku 297
68899 Pirkkala"
"Ilari Varis"	"Vellikellonkatu 097
03686 Harjavalta"
"Johannes Ollila-Räsänen"	"Uunisepänpolku 9
52678 Hollola"
"Anja Kangas"	"Ilomäenbulevardi 9
55108 Sulkava"
"Antero Peltoniemi"	"Kuhankeittäjänbulevardi 426
68619 Tohmajärvi"
"Laura Savolainen"	"Niitynperänbulevardi 8
87768 Lapinjärvi"
"Arto Lehtinen"	"Agnetanpolku 5
59375 Kuopio"
"Sakari Lähteenmäki"	"Mannerheiminbulevardi 0
07895 Kirkkonummi"
"Eelis Koski"	"Kukkaniityntie 6
04350 Sauvo"
"Liisa Leinonen-Haapaniemi"	"Porinkuja 66
57620 Jämijärvi"
"Heli Rantanen"	"Järkälebulevardi 0
64850 Lappeenranta"
"Petri Parviainen"	"Fabianinpolku 44
73942 Hailuoto"
"Viivi Tuovinen"	"Orvokkikatu 73
03155 Hattula"
"Katja Laurila"	"Bergantie 365
15909 Pöytyä"
"Pauliina Niskanen"	"Bysantintie 57
47547 Inkoo"
"Johanna Korpi"	"Damaskuksentie 77
10265 Kankaanpää"
"Kari Leppänen"	"Eino Leinon katu 597
89806 Viitasaari"
"Aili Väisänen"	"Pohjolanpolku 922
52509 Kitee"
"Vuokko Tikkanen"	"Agroksenkatu 9
84171 Konnevesi"
"Liisa Markkanen"	"Tahtikuja 0
91500 Taivalkoski"
"Jorma Vuorela"	"Urkurinpolku 6
94331 Pietarsaari"
"Olli Koski"	"Vaarnakuja 45
12411 Virolahti"
"Laura Mäkinen-Pelkonen"	"Katajaharjunkatu 74
90547 Posio"
"Raili Ahola"	"Niemibulevardi 40
46663 Puolanka"
"Essi Laine"	"Uskalikontie 221
06671 Muonio"
"Hannu Pasanen"	"Ylä-Fallin tie 31
25900 Mynämäki"
"Janne Hänninen"	"Tuohikoivuntie 047
99397 Toholampi"
"Lauri Räsänen"	"Birger Kaipiaisen katu 11
74777 Porvoo"
"Ilmari Heiskanen"	"Castréninkuja 0
74692 Tornio"
"Liisa Mäkinen"	"Maneesikatu 525
06946 Lempäälä"
"Amanda Salminen"	"Kimalaistie 5
57629 Heinävesi"
"Erik Hakala"	"Yhteiskoulunkuja 55
18087 Sotkamo"
"Orvokki Viljanen"	"Rukoushuoneenpolku 895
54088 Tervo"
"Susanna Virtanen"	"Maasälväntie 070
17387 Kempele"
"Matti Helin"	"Yrjö-Koskisen tie 346
26645 Rautavaara"
"Johanna Leinonen"	"Ylä-Fallin bulevardi 46
49572 Hämeenlinna"
"Anniina Turunen-Pesonen"	"Franzéninbulevardi 9
71770 Järvenpää"
"Hannu Heikkinen"	"Ilmattarenkuja 9
89214 Finström"
"Maarit Penttinen"	"Elonpolku 167
85129 Föglö"
"Liisa Pekkala"	"Edelfeltinpolku 126
57503 Pello"
"Liisa Lilja"	"Fagottikuja 948
17216 Ylivieska"
"Liisa Aalto"	"Kolutie 1
01837 Lappajärvi"
"Valtteri Määttä"	"Pohjolankatu 40
57049 Lahti"
"Olavi Rautiainen"	"Edelfeltintie 1
03325 Oulu"
"Joonatan Pehkonen"	"Laajasalonkatu 700
84712 Orivesi"
"Otto Saarela"	"Sahaajankuja 25
91813 Jyväskylä"
"Petteri Laukkanen"	"Fastbölentie 62
74072 Taipalsaari"
"Matias Jokinen-Uusitalo"	"Freesentie 78
84736 Jokioinen"
"Eetu Nurminen"	"Franzéninkatu 1
67509 Tuusula"
"Liisa Ranta-Hietala"	"Kukkaniitynbulevardi 03
54525 Virrat"
"Markus Koponen"	"Vaakalinnunkatu 99
92944 Taivalkoski"
"Maarit Kukkonen"	"Nils Westermarckin polku 6
94778 Pelkosenniemi"
"Otto Halme"	"Nervanderinkatu 1
12307 Hattula"
"Vesa Martikainen"	"Elimäentie 16
14983 Isokyrö"
"Onni Voutilainen-Rinne"	"Waseniuksen puistokuja 04
71470 Tornio"
"Tuulikki Leinonen-Backman"	"Fagottibulevardi 274
21470 Joroinen"
"Onni Huotari"	"Betleheminbulevardi 3
75387 Vesanto"
"Matilda Anttila"	"Salamatie 25
08321 Hyvinkää"
"Tiia Suomalainen"	"Walentin Chorellin bulevardi 2
99260 Tervola"
"Liisa Rossi-Mäkinen"	"Kimalaispolku 167
02192 Siikajoki"
"Antti Toivanen-Syrjälä"	"Kimalaiskuja 825
45418 Kuhmoinen"
"Mika Hautala"	"Fredrikinkatu 7
56587 Muurame"
"Tuula Kivimäki"	"Ehrensvärdintie 09
79105 Eurajoki"
"Katja Lankinen"	"Werner Wirénin kuja 786
83011 Juupajoki"
"Nina Salo"	"Ehrensvärdinkatu 881
04089 Kristiinankaupunki"
"Pauli Härkönen"	"Ida Ekmanin tie 3
72435 Kemiönsaari"
"Tuulikki Lammi-Häkkinen"	"Fallkullankuja 9
18318 Lappeenranta"
"Tapio Keinänen"	"Jälsibulevardi 298
96971 Urjala"
"Pirjo Peltola"	"Orisaarenpolku 5
90347 Pedersören kunta"
"Liisa Salo"	"Betleheminpolku 263
09583 Padasjoki"
"Anne Luoma-Salminen"	"Ylä-Fallin polku 86
39012 Kuhmoinen"
"Juhani Laaksonen-Saarinen"	"Chydeniuksentie 70
84815 Pälkäne"
"Juulia Huhtala"	"Nils Westermarckin kuja 45
96686 Ristijärvi"
"Ensio Vuorinen-Komulainen"	"Immolankatu 382
09835 Kuopio"
"Johanna Lehtimäki-Lepistö"	"Fredrikinkuja 940
00037 Outokumpu"
"Matilda Ylinen"	"Maatullinkuja 04
73023 Vesilahti"
"Pekka Salminen"	"Rapakiventie 6
33781 Hanko"
"Anna Seppälä-Peltonen"	"Tuulilasinpolku 5
33519 Pöytyä"
"Olavi Heikkinen"	"Jäkälätie 72
06086 Ypäjä"
"Liisa Tolonen"	"Iltaruskonkuja 45
24776 Savitaipale"
"Olavi Lappalainen"	"Verkkotie 3
36378 Iitti"
"Ossi Lindström"	"Oraskuja 910
08439 Pyhäjärvi"
"Hillevi Hakala-Lassila"	"Urheilupolku 44
01722 Utsjoki"
"Maria Salonen"	"Taavinkuja 64
35833 Lapua"
"Tomi Valkama"	"Osmontie 2
45030 Evijärvi"
"Juhani Heikkinen"	"Kimalaiskatu 62
97620 Akaa"
"Merja Savolainen"	"Runeberginbulevardi 661
93985 Kumlinge"
"Jussi Hyvärinen"	"Maasälvänpolku 9
84152 Juupajoki"
"Veeti Lepistö"	"Ehrensvärdinkuja 91
21794 Jämijärvi"
"Lilja Järvinen"	"Yrttimaanbulevardi 52
75965 Riihimäki"
"Jonna Hämäläinen"	"Dosentinpolku 6
79129 Sievi"
"Martti Järvinen"	"Ostostie 58
74452 Kuhmoinen"
"Anneli Kivimäki"	"Böstaksenbulevardi 54
32670 Sottunga"
"Edvard Salonen"	"Uunisepänpolku 5
92542 Ruovesi"
"Markus Rantala"	"Lautamiehentie 8
22014 Nurmijärvi"
"Matti Ollila-Nieminen"	"Ilmattarenpolku 113
58147 Somero"
"Kalevi Piirainen"	"Ahvenkoskenkatu 07
18438 Raahe"
"Seija Heinonen"	"Ormusbulevardi 0
57356 Loppi"
"Matti Holm"	"Salakkabulevardi 0
88037 Pyhtää"
"Lilja Kauppinen-Immonen"	"Vellikellonbulevardi 214
73945 Kuhmoinen"
"Kalevi Nurminen"	"Taavinbulevardi 521
89118 Lappeenranta"
"Tanja Kauppinen"	"Rapakivenbulevardi 49
40815 Enonkoski"
"Eemeli Juvonen-Nylund"	"Kukkaniitynpolku 0
23298 Ruovesi"
"Johannes Savolainen"	"Sapilastie 89
62942 Mäntyharju"
"Lasse Kolehmainen"	"Hannukselankuja 46
26214 Finström"
"Marjatta Kokkonen-Laitinen"	"Wallininbulevardi 130
71793 Alavieska"
"Kirsi Leskinen-Sjöblom"	"Osuuskunnankatu 62
59101 Urjala"
"Juhani Tolonen"	"Purjetuulentie 438
11961 Tammela"
"Laura Kosonen"	"Urheilubulevardi 502
71357 Ruovesi"
"Lilja Keinänen"	"Bysantinpolku 2
48593 Lumijoki"
"Päivi Ahola"	"Neulapadonkatu 4
54599 Karijoki"
"Juhani Savolainen"	"Werner Wirénin bulevardi 88
31709 Nousiainen"
"Katariina Ojala"	"Betonipolku 04
46600 Kustavi"
"Juhani Vartiainen"	"Louhikkobulevardi 76
40104 Turku"
"Emilia Pennanen"	"Fallpakanpolku 64
15754 Tuusula"
"Antti Pesonen"	"Jänkäpolku 0
44603 Hämeenkyrö"
"Kyllikki Viitanen"	"Yhteiskoulunkatu 33
76306 Sastamala"
"Kristian Nikula"	"Wallininpolku 023
54617 Lapinlahti"
"Kaarina Andersson"	"Jälsibulevardi 4
98035 Salo"
"Linda Laukkanen"	"Tuomarinkyläntie 09
21316 Pori"
"Julia Nuutinen"	"Gneissipolku 28
60039 Karstula"
"Jarmo Ruotsalainen-Raatikainen"	"Dagmarinkuja 20
27480 Närpiö"
"Aulis Ojala"	"Tuulilasinpolku 40
02851 Punkalaidun"
"Sari Kortelainen-Immonen"	"Uunisepänpolku 4
47863 Kyyjärvi"
"Jesse Parkkinen"	"Betonikuja 45
37614 Salo"
"Liisa Karvonen"	"Hankasuonkatu 448
75836 Jämijärvi"
"Daniel Laakso"	"Gadolininpolku 86
34766 Ylivieska"
"Oona Mäkinen"	"Iltaruskonpolku 05
32572 Leppävirta"
"Matti Hiltunen"	"Runonlaulajanpolku 9
68269 Uusikaupunki"
"Linda Salo-Nylund"	"Ilmattarenkuja 19
91005 Hammarland"
"Tuulikki Nieminen-Tuominen"	"Fabianinpolku 7
39888 Akaa"
"Timo Eklund"	"Vesakkobulevardi 564
31367 Rovaniemi"
"Jarkko Pesonen"	"Fagottikatu 9
08012 Asikkala"
"Jari Juvonen"	"Katajaharjunkuja 83
11605 Espoo"
"Jouko Ruotsalainen-Salmi"	"Eduskuntabulevardi 035
49189 Sulkava"
"Iida Lahti"	"Porkkalantie 003
59081 Pedersören kunta"
"Hannele Karjalainen"	"Cygnaeuksenpolku 385
68654 Kuopio"
"Jarmo Nieminen"	"Wavulininbulevardi 817
45249 Sysmä"
"Erkki Koivula"	"Sapilastie 48
38786 Mustasaari"
"Linda Savolainen-Haataja"	"Taavinkuja 8
89050 Vieremä"
"Emma Saari"	"Uunisepänkatu 440
08677 Savitaipale"
"Susanna Alatalo"	"Runoilijankuja 2
17853 Loviisa"
"Pekka Sipilä"	"Ilotulituskuja 25
46690 Pori"
"Mikko Ranta-Lehtonen"	"Haaksitie 6
65331 Vehmaa"
"Jarmo Kivinen"	"Urheilutie 53
70267 Ruovesi"
"Elina Kivistö"	"Vellikellonbulevardi 36
65146 Lahti"
"Sami Vartiainen"	"Osmonkuja 5
18563 Virolahti"
"Vilhelmiina Lipponen"	"Bertha Pauligin katu 9
53742 Imatra"
"Tiina Nissinen"	"Lemunbulevardi 880
30829 Kokkola"
"Linda Simola"	"Edelfeltintie 17
32466 Karvia"
"Jalmari Haapaniemi"	"Oravapolku 17
20182 Luhanka"
"Pekka Paavilainen"	"Aidasmäentie 59
08806 Eurajoki"
"Johannes Mäkinen"	"Ida Ekmanin tie 5
59479 Joroinen"
"Seppo Heino"	"Degermosanbulevardi 2
36705 Karstula"
"Venla Ranta"	"Jännekuja 164
32656 Alavieska"
"Aulis Lappalainen-Suomalainen"	"Jämsäntie 038
39440 Laukaa"
"Juhani Sainio-Leinonen"	"Nelikkopolku 176
87166 Virolahti"
"Kirsi Salmi"	"Agnetantie 65
77456 Tervo"
"Ari Lappalainen"	"Fahlanderin puistokatu 7
37817 Kerava"
"Linnea Jaakkola"	"Puusepänkuja 91
83504 Kannus"
"Ella Saarinen"	"Ylätuvantie 88
74631 Pelkosenniemi"
"Jouni Luoma"	"Wecksellinkatu 22
90586 Ähtäri"
"Elisabet Sirviö"	"Haagan pappilankatu 5
85636 Pihtipudas"
"Marja Karvonen"	"Haahkabulevardi 14
65769 Juupajoki"
"Martta Pitkänen"	"Ahomäentie 55
45923 Pedersören kunta"
"Erika Simonen"	"Birger Kaipiaisen polku 09
48119 Pieksämäki"
"Hannele Hietala-Virtanen"	"Bysantinkatu 0
98151 Alavieska"
"Antti Väisänen"	"Franzéninkatu 20
02013 Juva"
"Ensio Rantala"	"Ilveskatu 919
73891 Laukaa"
"Linnea Nykänen"	"Eljaksenpolku 6
45260 Hirvensalmi"
"Harri Pennanen-Lindqvist"	"Saparonkuja 003
60248 Nokia"
"Elsa Huttunen"	"Ahdekaunokinkatu 223
80889 Rovaniemi"
"Eija Ojala-Saarinen"	"Zaidanbulevardi 3
60093 Kauniainen"
"Sonja Leppänen"	"Jänkäbulevardi 059
13644 Espoo"
"Noora Nylund"	"Disanbulevardi 1
76405 Koski Tl"
"Pirjo Hytönen-Karhunen"	"Maapolku 97
50761 Rautavaara"
"Alexander Haataja-Lindgren"	"Eerik Pyhän katu 01
33693 Outokumpu"
"Emilia Lindgren-Nurmi"	"Bertel Jungin polku 578
51868 Helsinki"
"Antero Niemi"	"Uunisepänbulevardi 909
30731 Akaa"
"Linnea Suomalainen-Kivimäki"	"Ahomäenkuja 3
81813 Rusko"
"Tapani Pekkarinen"	"Urheilukatu 767
67521 Suonenjoki"
"Juhani Lehtinen"	"Runonlaulajanbulevardi 38
64425 Lapua"
"Petteri Meriläinen-Valtonen"	"Jännekuja 539
22902 Kemiönsaari"
"Riitta Heino-Virta"	"Birger Kaipiaisen kuja 31
26770 Enontekiö"
"Elina Harju"	"Ahdekaunokinbulevardi 43
98994 Alavieska"
"Leena Kangas"	"Fastbölentie 87
04862 Vimpeli"
"Tapani Ranta"	"Bengalinpolku 8
29745 Kemiönsaari"
"Ilmari Heikkilä"	"Kimalaistie 808
38007 Reisjärvi"
"Erkki Niemelä-Lassila"	"Kolvikatu 5
77524 Ylöjärvi"
"Lotta Mäki"	"Yrjö-Koskisen polku 460
44107 Pihtipudas"
"Tapio Salonen"	"Kuhankeittäjänkatu 008
61592 Pyhtää"
"Mikael Savolainen-Vuorela"	"Kimalaistie 8
84055 Kauniainen"
"Valtteri Eklund-Seppälä"	"Granfeltintie 0
50953 Miehikkälä"
"Olavi Jaakkola"	"Haaksikuja 69
62558 Kemiönsaari"
"Liisa Lehtinen"	"Elontie 265
26525 Multia"
"Johan Ahonen"	"Aidasmäenkatu 66
56785 Jokioinen"
"Kalevi Juntunen-Peltonen"	"Nikontie 10
39792 Nivala"
"Mikael Sirén"	"Porekatu 6
24676 Lohja"
"Jarno Ahola"	"Fallkullantie 49
11748 Espoo"
"Maaria Kuisma"	"Tukkisillankatu 62
29549 Geta"
"Marita Saari"	"Kuhankeittäjänkuja 9
37875 Oulu"
"Elisabet Haapala"	"Kolvipolku 77
01004 Orivesi"
"Alexandra Mäkinen"	"Granfeltintie 245
67727 Kokkola"
"Keijo Salmi"	"Hankasuonpolku 3
13918 Parikkala"
"Kalevi Tuomi"	"Saanatunturinkuja 01
97748 Harjavalta"
"Juhani Jansson"	"Uunisepänpolku 00
93725 Ranua"
"Sofia Heikkilä"	"Porkkalankuja 543
96007 Virrat"
"Esa Saarinen-Haavisto"	"Neulapadontie 835
77415 Espoo"
"Eeva Karjalainen"	"Nikonpolku 46
61071 Kivijärvi"
"Maaria Väyrynen"	"Taavinpolku 2
21567 Geta"
"Pentti Voutilainen"	"Nordenskiöldinbulevardi 28
77359 Utajärvi"
"Antero Koskela"	"Mannerheiminkuja 8
84190 Ylitornio"
"Mirjami Uusitalo"	"Wallininkuja 03
88426 Askola"
"Jukka Asikainen"	"Agricolanpolku 8
81050 Pielavesi"
"Inkeri Rytkönen"	"Puusepänpolku 603
93539 Janakkala"
"Tuula Tamminen"	"Saramäenkatu 283
29884 Rauma"
"Kerttu Holm"	"Ilvesbulevardi 1
56407 Kuhmoinen"
"Lotta Lehtonen"	"Ehrensvärdinkuja 818
27651 Eurajoki"
"Miika Seppälä"	"Jätkäsaarentie 726
33602 Pirkkala"
"Maarit Eskelinen"	"Rantavarastonkuja 332
11048 Sievi"
"Sebastian Tolonen"	"Harakkamyllynkatu 5
21265 Utajärvi"
"Reijo Jokinen"	"Tukkisillanbulevardi 3
23208 Virrat"
"Iida Lehtonen"	"Kilpolankatu 9
67889 Eurajoki"
"Arto Leppänen"	"Malminkartanontie 821
91076 Petäjävesi"
"Risto Kantola-Jaakkola"	"Iltaruskonkatu 959
01782 Närpiö"
"Terttu Viitanen"	"Caloniuksenbulevardi 60
36084 Puumala"
"Timo Toivonen-Koskinen"	"Runokylänkatu 985
02068 Nurmes"
"Hannele Korpi-Järvenpää"	"Sadepolku 7
43345 Ristijärvi"
"Inkeri Ruotsalainen"	"Pohjolankatu 002
53356 Sulkava"
"Maarit Heikkilä"	"Fagottipolku 823
24877 Kemijärvi"
"Ensio Miettinen"	"Fahlanderin puistopolku 79
11276 Joroinen"
"Juhani Niemelä"	"Bertha Pauligin katu 434
32989 Juupajoki"
"Hannele Laakso"	"Oraskatu 9
92486 Pornainen"
"Yrjö Vuorinen-Suomalainen"	"Rukoushuoneenkuja 311
15521 Koski Tl"
"Kaarina Halonen"	"Iltatähdenpolku 284
67663 Laukaa"
"Henrik Mäkelä-Nyman"	"Neulapadonkatu 14
48657 Janakkala"
"Irmeli Ahola"	"Katajaharjunkuja 50
50514 Tammela"
"Juhani Räty"	"Haaksikuja 48
48248 Mynämäki"
"Marjatta Oksanen-Räsänen"	"Iltatähdenbulevardi 130
42039 Kaskinen"
"Maarit Karjalainen"	"Katajaharjunkatu 531
00302 Saltvik"
"Eila Eloranta-Saarela"	"Rapolantie 2
24189 Suonenjoki"
"Maria Hietala"	"Fahlanderin puistobulevardi 0
44397 Loppi"
"Tellervo Halonen"	"Fallkullanbulevardi 843
81123 Teuva"
"Juhani Kallio"	"Sahaajantie 66
48323 Korsnäs"
"Juhani Väisänen"	"Ilkanbulevardi 58
79191 Loimaa"
"Katariina Pöllänen"	"Jäkäläbulevardi 398
35726 Mynämäki"
"Antero Rissanen"	"Runoilijankatu 93
69001 Kaarina"
"Joona Ollila-Holm"	"Uurtajanpolku 1
97405 Siikainen"
"Maaria Seppälä"	"Vaarnatie 9
31829 Pielavesi"
